"โรงพยาบาล","B","A","อัตรา(100)"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","60","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0.00"
"10753  :  โรงพยาบาลบางพลี","1,594","0","0.00"
"10754  :  โรงพยาบาลบางจาก","1","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","1,480","2","0.14"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","2,048","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","81","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","1,104","2","0.18"
"28785  :  โรงพยาบาลบางเสาธง","0","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","394","1","0.25"
"10757  :  โรงพยาบาลบางใหญ่","2,233","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","478","0","0.00"
"10759  :  โรงพยาบาลไทรน้อย","1,485","1","0.07"
"10760  :  โรงพยาบาลปากเกร็ด","1,731","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","448","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","38","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","584","2","0.34"
"10762  :  โรงพยาบาลธัญบุรี","1,579","3","0.19"
"10763  :  โรงพยาบาลประชาธิปัตย์","1,474","1","0.07"
"10764  :  โรงพยาบาลหนองเสือ","435","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","495","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","5","0","0.00"
"10767  :  โรงพยาบาลสามโคก","312","3","0.96"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","178","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","1,011","40","3.96"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","0","0","0.00"
"10770  :  โรงพยาบาลบางไทร","255","4","1.57"
"10771  :  โรงพยาบาลบางบาล","142","3","2.11"
"10772  :  โรงพยาบาลบางปะอิน","1,003","2","0.20"
"10773  :  โรงพยาบาลบางปะหัน","114","0","0.00"
"10774  :  โรงพยาบาลผักไห่","71","0","0.00"
"10775  :  โรงพยาบาลภาชี","496","3","0.60"
"10776  :  โรงพยาบาลลาดบัวหลวง","207","1","0.48"
"10777  :  โรงพยาบาลวังน้อย","611","11","1.80"
"10778  :  โรงพยาบาลบางซ้าย","297","7","2.36"
"10779  :  โรงพยาบาลอุทัย","90","1","1.11"
"10780  :  โรงพยาบาลมหาราช","100","3","3.00"
"10781  :  โรงพยาบาลบ้านแพรก","107","1","0.93"
"10689  :  โรงพยาบาลอ่างทอง","46","0","0.00"
"10782  :  โรงพยาบาลไชโย","160","1","0.63"
"10784  :  โรงพยาบาลป่าโมก","349","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","170","4","2.35"
"10786  :  โรงพยาบาลแสวงหา","375","5","1.33"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","513","1","0.19"
"10788  :  โรงพยาบาลสามโก้","79","1","1.27"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","158","1","0.63"
"10789  :  โรงพยาบาลพัฒนานิคม","709","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","732","2","0.27"
"10791  :  โรงพยาบาลชัยบาดาล","1,101","5","0.45"
"10792  :  โรงพยาบาลท่าวุ้ง","233","1","0.43"
"10793  :  โรงพยาบาลท่าหลวง","427","9","2.11"
"10794  :  โรงพยาบาลสระโบสถ์","646","18","2.79"
"10795  :  โรงพยาบาลโคกเจริญ","359","1","0.28"
"10796  :  โรงพยาบาลลำสนธิ","331","5","1.51"
"10797  :  โรงพยาบาลหนองม่วง","365","6","1.64"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","663","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","140","0","0.00"
"10798  :  โรงพยาบาลบางระจัน","248","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","339","22","6.49"
"10800  :  โรงพยาบาลพรหมบุรี","295","6","2.03"
"10801  :  โรงพยาบาลท่าช้าง","208","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","10","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","347","1","0.29"
"10803  :  โรงพยาบาลวัดสิงห์","257","1","0.39"
"10804  :  โรงพยาบาลสรรพยา","123","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","409","2","0.49"
"10806  :  โรงพยาบาลหันคา","413","0","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","62","5","8.06"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","2,668","7","0.26"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","450","7","1.56"
"10808  :  โรงพยาบาลหนองแค","890","7","0.79"
"10809  :  โรงพยาบาลวิหารแดง","315","19","6.03"
"10810  :  โรงพยาบาลหนองแซง","248","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","421","6","1.43"
"10812  :  โรงพยาบาลดอนพุด","161","1","0.62"
"10813  :  โรงพยาบาลหนองโดน","465","5","1.08"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","384","5","1.30"
"10815  :  โรงพยาบาลมวกเหล็ก","722","26","3.60"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","2,072","16","0.77"
"11485  :  โรงพยาบาลค่ายอดิศร","1,331","3","0.23"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","1,925","0","0.00"
"10818  :  โรงพยาบาลหนองใหญ่","448","5","1.12"
"10819  :  โรงพยาบาลบางละมุง","2,673","1","0.04"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","224","2","0.89"
"10821  :  โรงพยาบาลพานทอง","577","4","0.69"
"10822  :  โรงพยาบาลพนัสนิคม","900","2","0.22"
"10823  :  โรงพยาบาลแหลมฉบัง","5,253","57","1.09"
"10824  :  โรงพยาบาลเกาะสีชัง","277","45","16.25"
"10825  :  โรงพยาบาลสัตหีบกม10","2,367","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","299","2","0.67"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","495","2","0.40"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","1,190","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","18,887","3","0.02"
"28005  :  โรงพยาบาลเมืองพัทยา","1,047","1","0.10"
"28006  :  โรงพยาบาลเกาะจันทร์","462","6","1.30"
"10663  :  โรงพยาบาลระยอง","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","603","8","1.33"
"10828  :  โรงพยาบาลบ้านฉาง","2,564","5","0.20"
"10829  :  โรงพยาบาลแกลง","373","0","0.00"
"10830  :  โรงพยาบาลวังจันทร์","384","7","1.82"
"10831  :  โรงพยาบาลบ้านค่าย","479","4","0.84"
"10832  :  โรงพยาบาลปลวกแดง","2,140","2","0.09"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","183","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","297","4","1.35"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","0.00"
"10834  :  โรงพยาบาลขลุง","0","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","14","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","445","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","380","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","821","33","4.02"
"10839  :  โรงพยาบาลมะขาม","83","3","3.61"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","519","5","0.96"
"10843  :  โรงพยาบาลนายายอาม","199","1","0.50"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","471","10","2.12"
"10696  :  โรงพยาบาลตราด","466","1","0.21"
"10845  :  โรงพยาบาลคลองใหญ่","1,038","3","0.29"
"10846  :  โรงพยาบาลเขาสมิง","371","0","0.00"
"10847  :  โรงพยาบาลบ่อไร่","383","3","0.78"
"10848  :  โรงพยาบาลแหลมงอบ","400","5","1.25"
"10849  :  โรงพยาบาลเกาะกูด","78","2","2.56"
"13816  :  โรงพยาบาลเกาะช้าง","55","0","0.00"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","337","9","2.67"
"10850  :  โรงพยาบาลบางคล้า","1,458","0","0.00"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","1","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","189","1","0.53"
"10854  :  โรงพยาบาลพนมสารคาม","958","1","0.10"
"10855  :  โรงพยาบาลสนามชัยเขต","468","4","0.85"
"10856  :  โรงพยาบาลแปลงยาว","660","1","0.15"
"13747  :  โรงพยาบาลราชสาส์น","526","1","0.19"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","140","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","890","1","0.11"
"10858  :  โรงพยาบาลนาดี","447","3","0.67"
"10859  :  โรงพยาบาลบ้านสร้าง","277","0","0.00"
"10860  :  โรงพยาบาลประจันตคาม","481","0","0.00"
"10861  :  โรงพยาบาลศรีมหาโพธิ","577","2","0.35"
"10862  :  โรงพยาบาลศรีมโหสถ","581","15","2.58"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","1,520","2","0.13"
"10698  :  โรงพยาบาลนครนายก","1,061","4","0.38"
"10863  :  โรงพยาบาลปากพลี","86","1","1.16"
"10864  :  โรงพยาบาลบ้านนา","358","2","0.56"
"10865  :  โรงพยาบาลองครักษ์","196","2","1.02"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","74","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","134","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","0","0","0.00"
"10866  :  โรงพยาบาลคลองหาด","633","7","1.11"
"10867  :  โรงพยาบาลตาพระยา","399","2","0.50"
"10868  :  โรงพยาบาลวังน้ำเย็น","1,447","23","1.59"
"10869  :  โรงพยาบาลวัฒนานคร","613","9","1.47"
"10870  :  โรงพยาบาลอรัญประเทศ","670","14","2.09"
"13817  :  โรงพยาบาลเขาฉกรรจ์","309","1","0.32"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","625","34","5.44"
"10872  :  โรงพยาบาลเสิงสาง","736","4","0.54"
"10873  :  โรงพยาบาลคง","589","18","3.06"
"10874  :  โรงพยาบาลบ้านเหลื่อม","278","2","0.72"
"10875  :  โรงพยาบาลจักราช","698","2","0.29"
"10876  :  โรงพยาบาลโชคชัย","596","15","2.52"
"10877  :  โรงพยาบาลด่านขุนทด","746","2","0.27"
"10878  :  โรงพยาบาลโนนไทย","639","44","6.89"
"10879  :  โรงพยาบาลโนนสูง","602","15","2.49"
"10880  :  โรงพยาบาลขามสะแกแสง","530","5","0.94"
"10881  :  โรงพยาบาลบัวใหญ่","413","8","1.94"
"10882  :  โรงพยาบาลประทาย","790","5","0.63"
"10883  :  โรงพยาบาลปักธงชัย","497","20","4.02"
"10884  :  โรงพยาบาลพิมาย","559","8","1.43"
"10885  :  โรงพยาบาลห้วยแถลง","743","8","1.08"
"10886  :  โรงพยาบาลชุมพวง","509","7","1.38"
"10887  :  โรงพยาบาลสูงเนิน","1,188","25","2.10"
"10888  :  โรงพยาบาลขามทะเลสอ","5","0","0.00"
"10889  :  โรงพยาบาลสีคิ้ว","1,556","28","1.80"
"10890  :  โรงพยาบาลปากช่องนานา","300","0","0.00"
"10891  :  โรงพยาบาลหนองบุญมาก","284","5","1.76"
"10892  :  โรงพยาบาลแก้งสนามนาง","8","0","0.00"
"10893  :  โรงพยาบาลโนนแดง","351","12","3.42"
"10894  :  โรงพยาบาลวังน้ำเขียว","248","7","2.82"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","638","4","0.63"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","132","1","0.76"
"11608  :  โรงพยาบาลลำทะเมนชัย","347","1","0.29"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","917","25","2.73"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","1,238","21","1.70"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","137","1","0.73"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","325","1","0.31"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","629","4","0.64"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","0","0.00"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","266","12","4.51"
"27839  :  โรงพยาบาลบัวลาย","196","6","3.06"
"27840  :  โรงพยาบาลสีดา","187","0","0.00"
"27841  :  โรงพยาบาลเทพารักษ์","0","0","0.00"
"10667  :  โรงพยาบาลบุรีรัมย์","0","0","0.00"
"10895  :  โรงพยาบาลคูเมือง","964","5","0.52"
"10896  :  โรงพยาบาลกระสัง","552","12","2.17"
"10897  :  โรงพยาบาลนางรอง","2,178","3","0.14"
"10898  :  โรงพยาบาลหนองกี่","464","8","1.72"
"10899  :  โรงพยาบาลละหานทราย","804","3","0.37"
"10900  :  โรงพยาบาลประโคนชัย","953","15","1.57"
"10901  :  โรงพยาบาลบ้านกรวด","1,516","9","0.59"
"10902  :  โรงพยาบาลพุทไธสง","490","8","1.63"
"10904  :  โรงพยาบาลลำปลายมาศ","1","0","0.00"
"10905  :  โรงพยาบาลสตึก","999","16","1.60"
"10906  :  โรงพยาบาลปะคำ","370","10","2.70"
"10907  :  โรงพยาบาลนาโพธิ์","177","10","5.65"
"10908  :  โรงพยาบาลหนองหงส์","366","0","0.00"
"10909  :  โรงพยาบาลพลับพลาชัย","604","3","0.50"
"10910  :  โรงพยาบาลห้วยราช","223","11","4.93"
"10911  :  โรงพยาบาลโนนสุวรรณ","440","8","1.82"
"10912  :  โรงพยาบาลชำนิ","170","5","2.94"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","234","1","0.43"
"10914  :  โรงพยาบาลโนนดินแดง","692","2","0.29"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","122","4","3.28"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","462","1","0.22"
"23578  :  โรงพยาบาลแคนดง","381","8","2.10"
"28020  :  โรงพยาบาลบ้านด่าน","345","18","5.22"
"10668  :  โรงพยาบาลสุรินทร์","0","0","0.00"
"10915  :  โรงพยาบาลชุมพลบุรี","653","16","2.45"
"10916  :  โรงพยาบาลท่าตูม","1,069","36","3.37"
"10917  :  โรงพยาบาลจอมพระ","411","18","4.38"
"10918  :  โรงพยาบาลปราสาท","892","30","3.36"
"10919  :  โรงพยาบาลกาบเชิง","453","1","0.22"
"10920  :  โรงพยาบาลรัตนบุรี","876","9","1.03"
"10921  :  โรงพยาบาลสนม","293","5","1.71"
"10922  :  โรงพยาบาลศีขรภูมิ","795","9","1.13"
"10923  :  โรงพยาบาลสังขะ","792","13","1.64"
"10924  :  โรงพยาบาลลำดวน","494","18","3.64"
"10925  :  โรงพยาบาลสำโรงทาบ","558","14","2.51"
"10926  :  โรงพยาบาลบัวเชด","584","1","0.17"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","80","0","0.00"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","205","0","0.00"
"27842  :  โรงพยาบาลเขวาสินรินทร์","151","4","2.65"
"27843  :  โรงพยาบาลศรีณรงค์","300","1","0.33"
"27844  :  โรงพยาบาลโนนนารายณ์","120","1","0.83"
"10700  :  โรงพยาบาลศรีสะเกษ","906","0","0.00"
"10927  :  โรงพยาบาลยางชุมน้อย","246","1","0.41"
"10928  :  โรงพยาบาลกันทรารมย์","698","4","0.57"
"10929  :  โรงพยาบาลกันทรลักษ์","909","0","0.00"
"10930  :  โรงพยาบาลขุขันธ์","549","16","2.91"
"10931  :  โรงพยาบาลไพรบึง","976","2","0.20"
"10932  :  โรงพยาบาลปรางค์กู่","342","0","0.00"
"10933  :  โรงพยาบาลขุนหาญ","420","0","0.00"
"10934  :  โรงพยาบาลราษีไศล","412","1","0.24"
"10935  :  โรงพยาบาลอุทุมพรพิสัย","405","0","0.00"
"10936  :  โรงพยาบาลบึงบูรพ์","272","7","2.57"
"10937  :  โรงพยาบาลห้วยทับทัน","329","0","0.00"
"10938  :  โรงพยาบาลโนนคูณ","198","2","1.01"
"10939  :  โรงพยาบาลศรีรัตนะ","191","0","0.00"
"10940  :  โรงพยาบาลวังหิน","230","4","1.74"
"10941  :  โรงพยาบาลน้ำเกลี้ยง","143","1","0.70"
"10942  :  โรงพยาบาลภูสิงห์","420","1","0.24"
"10943  :  โรงพยาบาลเมืองจันทร์","74","0","0.00"
"23125  :  โรงพยาบาลเบญจลักษ์เฉลิมพระเกียรติ 80 พรรษา","200","3","1.50"
"28014  :  โรงพยาบาลพยุห์","394","0","0.00"
"28015  :  โรงพยาบาลโพธิ์ศรีสุวรรณ","120","0","0.00"
"28016  :  โรงพยาบาลศิลาลาด","273","0","0.00"
"10669  :  โรงพยาบาลสรรพสิทธิประสงค์","0","0","0.00"
"10944  :  โรงพยาบาลศรีเมืองใหม่","2","0","0.00"
"10945  :  โรงพยาบาลโขงเจียม","422","3","0.71"
"10946  :  โรงพยาบาลเขื่องใน","3","0","0.00"
