"ชื่อกลุ่ม","ราย","LOS","วัน/ราย","ค่ารักษา","บาท/ราย","AdjRW","CMI","รับ Refer(ราย)","CMI Refer"
"01094 Intracranial vascular procedures, w catas CC","1","7","7.00","96,511.00","96,511.00","15.0145","15.0145","1","15.0145"
"01120 Craniotomy (multiple) for trauma, no CC","2","12","6.00","213,487.00","106,743.50","13.8276","6.9138","1","6.9138"
"01124 Craniotomy (multiple) for trauma, w catas CC","4","42","10.50","465,481.25","116,370.31","57.6236","14.4059","2","14.4059"
"01130 Craniotomy (multiple), no CC","1","8","8.00","153,550.00","153,550.00","9.7234","9.7234","0","0.0000"
"01132 Craniotomy (multiple), w mild to mod CC","1","37","37.00","286,804.00","286,804.00","11.9051","11.9051","1","11.9051"
"01134 Craniotomy (multiple), w catas CC","9","201","22.33","2,025,194.50","225,021.61","161.3016","17.9224","4","17.9224"
"01150 Trach for NS disease w mech vent 96+ hr, no CC","2","139","69.50","753,397.00","376,698.50","37.1957","18.5978","1","18.5639"
"01152 Trach for NS disease w mech vent 96+ hr, w mild to mod CC","4","274","68.50","1,294,397.56","323,599.39","80.9998","20.2500","0","0.0000"
"01153 Trach for NS disease w mech vent 96+ hr, w severe CC","20","994","49.70","5,000,865.36","263,203.44","452.3682","22.6184","7","22.6037"
"01154 Trach for NS disease w mech vent 96+ hr, w catas CC","268","22,277","83.12","105,727,276.40","395,982.31","6,456.9208","24.0930","84","24.0826"
"01160 Trach for NS disease, no CC","1","126","126.00","537,813.00","537,813.00","18.4743","18.4743","0","0.0000"
"01163 Trach for NS disease, w mild to sev CC","1","29","29.00","168,642.00","168,642.00","20.9284","20.9284","0","0.0000"
"01164 Trach for NS disease, w catas CC","20","1,572","78.60","6,986,863.20","349,343.16","464.3834","23.2192","7","23.2187"
"01174 Plasmapheresis for neurologic disease, w mild to cat CC","2","65","32.50","603,612.60","301,806.30","32.2940","16.1470","1","16.1470"
"01500 Spinal disorders and injuries, no CC","6","94","15.67","229,228.00","38,204.67","9.0766","1.5128","2","2.4204"
"01501 Spinal disorders and injuries, w mild CC","5","70","14.00","143,387.03","28,677.41","16.1311","3.2262","1","3.5816"
"01502 Spinal disorders and injuries, w mod CC","2","13","6.50","102,850.44","51,425.22","7.6235","3.8118","0","0.0000"
"01503 Spinal disorders and injuries, w severe CC","7","78","11.14","277,384.55","46,230.76","21.4334","3.0619","0","0.0000"
"01504 Spinal disorders and injuries, w catas CC","10","82","8.20","251,182.00","25,118.20","42.3371","4.2337","5","4.2638"
"01510 Cerebral palsy, no CC","1","138","138.00","480,887.25","480,887.25","1.2769","1.2769","0","0.0000"
"01514 Cerebral palsy, w mild to cat CC","3","170","56.67","598,170.75","199,390.25","4.8419","1.6140","0","0.0000"
"01520 Nervous system neoplasms, no CC","76","356","4.68","1,035,380.15","14,380.28","64.1713","0.8444","4","0.7952"
"01522 Nervous system neoplasms, w mild to mod CC","23","206","8.96","718,059.80","31,219.99","50.2479","2.1847","2","1.0976"
"01523 Nervous system neoplasms, w severe CC","23","158","6.87","488,277.70","22,194.44","37.1778","1.6164","4","1.6225"
"01524 Nervous system neoplasms, w catas CC","23","306","13.30","960,212.48","41,748.37","80.6524","3.5066","4","3.4910"
"01530 Degenerative  nervous system disorders, no CC","32","192","6.00","596,120.75","19,870.69","26.9459","0.8421","4","0.7738"
"01531 Degenerative  nervous system disorders, w mild CC","23","149","6.48","641,466.44","27,889.85","42.5368","1.8494","4","2.0369"
"01532 Degenerative  nervous system disorders, w mod CC","14","321","22.93","928,918.60","66,351.33","50.9618","3.6401","5","2.6909"
"01533 Degenerative  nervous system disorders, w severe CC","56","951","16.98","4,310,679.88","78,376.00","229.0650","4.0904","13","4.8966"
"01534 Degenerative  nervous system disorders, w catas CC","29","522","18.00","2,118,298.60","73,044.78","134.4331","4.6356","8","4.5983"
"01540 Multiple sclerosis and cerebellar ataxia, no CC","1","1","1.00","8,755.00","8,755.00","2.1546","2.1546","0","0.0000"
"01541 Multiple sclerosis and cerebellar ataxia, w mild CC","6","119","19.83","285,225.50","47,537.58","33.6315","5.6053","1","5.4150"
"01543 Multiple sclerosis and cerebellar ataxia, w severe CC","2","16","8.00","107,753.00","107,753.00","8.4390","4.2195","1","4.2407"
"01544 Multiple sclerosis and cerebellar ataxia, w catas CC","3","110","36.67","552,098.25","184,032.75","16.6519","5.5506","1","5.4683"
"01550 Specific cerebrovascular disorders exc TIA, not transferred, no CC","2,309","6,915","2.99","42,895,095.39","18,764.26","2,540.0081","1.1000","833","1.0915"
"01551 Specific cerebrovascular disorders exc TIA, not transferred, w mild CC","1,648","6,568","3.99","42,171,216.75","25,935.56","3,317.8464","2.0133","645","2.0079"
"01552 Specific cerebrovascular disorders exc TIA, not transferred, w mod CC","694","3,671","5.29","22,927,969.97","33,471.49","1,675.5952","2.4144","221","2.4718"
"01553 Specific cerebrovascular disorders exc TIA, not transferred, w severe CC","1,572","9,861","6.27","55,244,175.22","35,526.80","4,131.9936","2.6285","511","2.6453"
"01554 Specific cerebrovascular disorders exc TIA, not transferred, w catas CC","1,472","19,348","13.14","108,088,708.31","74,134.92","8,677.2959","5.8949","462","5.8471"
"01560 TIA and precerebral occlusions, no CC","6","29","4.83","264,745.61","44,124.27","3.6972","0.6162","3","0.5607"
"01561 TIA and precerebral occlusions, w mild CC","9","58","6.44","345,322.00","38,369.11","18.8052","2.0895","6","2.1703"
"01562 TIA and precerebral occlusions, w mod CC","5","23","4.60","169,097.25","33,819.45","16.6528","3.3306","3","2.2654"
"01563 TIA and precerebral occlusions, w severe CC","3","5","1.67","99,795.00","33,265.00","3.8579","1.2860","0","0.0000"
"01564 TIA and precerebral occlusions, w catas CC","8","101","12.63","560,019.00","70,002.38","28.9608","3.6201","4","3.6201"
"01570 Nonspecific cerebrovascular disorders, no CC","105","380","3.62","1,937,206.35","19,180.26","66.0911","0.6294","20","0.6343"
"01571 Nonspecific cerebrovascular disorders, w mild CC","82","517","6.30","2,273,720.87","28,070.63","115.6368","1.4102","24","1.3445"
"01572 Nonspecific cerebrovascular disorders, w mod CC","34","190","5.59","1,074,676.46","31,608.13","75.0954","2.2087","14","2.3832"
"01573 Nonspecific cerebrovascular disorders, w severe CC","109","1,001","9.18","4,290,445.30","40,475.90","298.2822","2.7365","29","3.0540"
"01574 Nonspecific cerebrovascular disorders, w catas CC","70","682","9.74","3,378,001.26","48,956.54","274.5904","3.9227","23","3.9033"
"01580 Cranial and peripheral nerve disorders, no CC","2","7","3.50","63,100.00","31,550.00","1.3924","0.6962","0","0.0000"
"01581 Cranial and peripheral nerve disorders, w mild CC","2","12","6.00","53,203.75","26,601.88","2.1943","1.0972","2","1.0972"
"01582 Cranial and peripheral nerve disorders, w mod CC","6","57","9.50","515,552.00","85,925.33","27.1410","4.5235","3","4.5235"
"01583 Cranial and peripheral nerve disorders, w severe CC","1","4","4.00","192,997.50","192,997.50","1.4241","1.4241","0","0.0000"
"01584 Cranial and peripheral nerve disorders, w catas CC","5","126","25.20","780,815.72","156,163.14","10.9046","2.1809","2","2.1744"
"01590 Nervous syst infection exc viral meningitis, not transferred, no CC","47","184","3.91","870,591.86","18,925.91","57.4702","1.2228","19","1.1488"
"01591 Nervous syst infection exc viral meningitis, not transferred, w mild CC","111","917","8.26","4,903,612.50","44,578.30","262.9707","2.3691","36","2.3635"
"01592 Nervous syst infection exc viral meningitis, not transferred, w mod CC","140","1,592","11.37","9,643,647.98","69,378.76","580.6611","4.1476","51","4.1980"
"01593 Nervous syst infection exc viral meningitis, not transferred, w severe CC","225","2,614","11.62","16,401,722.61","74,553.28","1,079.7936","4.7991","72","4.6392"
"01594 Nervous syst infection exc viral meningitis, not transferred, w catas CC","237","3,043","12.84","22,094,310.83","93,224.94","1,366.9910","5.7679","89","5.7632"
"01600 Viral meningitis, no CC","3","23","7.67","37,646.50","12,548.83","4.9389","1.6463","0","0.0000"
"01601 Viral meningitis, w mild CC","1","11","11.00","63,237.25","63,237.25","4.2981","4.2981","0","0.0000"
"01603 Viral meningitis, w severe CC","2","18","9.00","69,834.00","34,917.00","6.3622","3.1811","1","3.2965"
"01610 Nontraumatic stupor and coma, no CC","79","272","3.44","1,307,330.65","16,548.49","39.8177","0.5040","10","0.5267"
"01611 Nontraumatic stupor and coma, w mild CC","45","219","4.87","931,999.91","21,181.82","45.3610","1.0080","7","0.9290"
"01612 Nontraumatic stupor and coma, w mod CC","23","183","7.96","1,088,372.95","47,320.56","44.3062","1.9264","7","2.2359"
"01613 Nontraumatic stupor and coma, w severe CC","27","288","10.67","984,813.00","36,474.56","26.0692","0.9655","7","0.9341"
"01614 Nontraumatic stupor and coma, w catas CC","16","139","8.69","897,708.66","56,106.79","44.7249","2.7953","7","2.8362"
"01623 Febrile convulsions, w severe CC","1","17","17.00","40,970.00","40,970.00","0.6806","0.6806","0","0.0000"
"01630 Seizure disorders, no CC","55","382","6.95","1,922,977.06","36,282.59","26.7910","0.4871","9","0.4311"
"01631 Seizure disorders, w mild CC","103","492","4.78","2,630,439.65","25,538.25","119.3635","1.1589","28","1.1481"
"01632 Seizure disorders, w mod CC","34","390","11.47","1,349,960.23","39,704.71","66.3365","1.9511","8","1.9181"
"01633 Seizure disorders, w severe CC","122","1,075","8.81","6,065,884.99","50,131.28","232.4233","1.9051","40","1.9863"
"01634 Seizure disorders, w catas CC","224","2,615","11.67","17,843,686.90","80,376.97","1,140.9167","5.0934","77","5.5790"
"01640 Headache, no CC","3","17","5.67","103,036.75","34,345.58","1.4186","0.4729","0","0.0000"
"01643 Headache, w severe CC","1","10","10.00","52,370.25","52,370.25","0.6652","0.6652","1","0.6652"
"01644 Headache, w catas CC","1","26","26.00","144,324.00","144,324.00","0.8877","0.8877","0","0.0000"
"01650 Intracranial injury, no CC","740","1,745","2.36","16,133,264.51","22,100.36","815.2166","1.1016","325","1.0995"
"01651 Intracranial injury, w mild CC","640","1,886","2.95","18,992,846.98","30,340.01","1,272.2660","1.9879","285","1.9891"
"01652 Intracranial injury, w mod CC","216","781","3.62","7,892,559.26","36,709.58","643.7472","2.9803","88","2.9944"
"01653 Intracranial injury, w severe CC","389","2,347","6.03","17,980,743.00","46,342.12","1,708.9736","4.3932","143","4.3509"
"01654 Intracranial injury, w catas CC","143","1,857","12.99","9,256,436.63","65,648.49","733.1194","5.1267","45","5.0980"
"01660 Skull fractures, no CC","24","31","1.29","400,033.44","18,183.34","18.9976","0.7916","6","0.8074"
"01661 Skull fractures, w mild CC","5","13","2.60","147,921.75","36,980.44","9.1146","1.8229","3","1.7863"
"01662 Skull fractures, w mod CC","15","42","2.80","604,041.25","40,269.42","48.6903","3.2460","6","3.4445"
"01663 Skull fractures, w severe CC","6","25","4.17","172,296.25","28,716.04","13.5389","2.2565","1","2.3464"
"01664 Skull fractures, w catas CC","5","58","11.60","358,814.65","71,762.93","24.7402","4.9480","3","4.9012"
"01670 Other head injury, no CC","49","833","17.00","2,098,080.60","43,710.01","16.3728","0.3341","17","0.3280"
"01671 Other head injury, w mild CC","30","108","3.60","546,535.92","18,217.86","23.4505","0.7817","13","0.7509"
"01672 Other head injury, w mod CC","20","40","2.00","466,060.71","23,303.04","27.9515","1.3976","9","1.4124"
"01673 Other head injury, w severe CC","30","192","6.40","1,569,727.10","52,324.24","69.7772","2.3259","10","2.0596"
"01674 Other head injury, w catas CC","16","82","5.13","773,885.40","48,367.84","59.1906","3.6994","6","3.7261"
"01680 Other disorders of nervous system, no CC","42","126","3.00","706,790.56","17,238.79","18.0197","0.4290","17","0.4034"
"01681 Other disorders of nervous system, w mild CC","55","143","2.60","1,234,709.35","22,449.26","73.3282","1.3332","20","1.2906"
"01682 Other disorders of nervous system, w mod CC","34","171","5.03","1,209,280.35","35,567.07","85.0429","2.5013","12","2.4137"
"01683 Other disorders of nervous system, w severe CC","99","660","6.67","3,780,640.62","38,975.68","329.4602","3.3279","39","3.4972"
"01684 Other disorders of nervous system, w catas CC","54","468","8.67","2,921,044.24","54,093.41","159.3801","2.9515","20","2.9331"
"01693 Guillain-Barre syndrome, w severe CC","1","26","26.00","46,765.00","46,765.00","9.4700","9.4700","0","0.0000"
"01694 Guillain-Barre syndrome, w catas CC","3","45","15.00","646,678.25","215,559.42","33.2610","11.0870","0","0.0000"
"01720 Nervous system neoplasms with radiotherpy, no CC","3","28","9.33","170,031.31","56,677.10","8.3948","2.7983","0","0.0000"
"01722 Nervous system neoplasms with radiotherpy, w mod CC","4","60","15.00","266,262.85","66,565.71","32.0512","8.0128","0","0.0000"
"01723 Nervous system neoplasms with radiotherpy, w severe CC","1","31","31.00","84,484.00","84,484.00","6.6706","6.6706","0","0.0000"
"01730 Nervous system neoplasms with diag proc, no CC","60","305","5.08","1,399,782.89","23,725.13","101.8050","1.6968","16","1.6477"
"01732 Nervous system neoplasms with diag proc, w mild to mod CC","42","675","16.07","3,039,433.13","72,367.46","175.7965","4.1856","12","3.9358"
"01733 Nervous system neoplasms with diag proc, w severe CC","24","190","7.92","882,258.25","38,359.05","57.7550","2.4065","6","2.3427"
"01734 Nervous system neoplasms with diag proc, w catas CC","42","600","14.29","3,210,236.22","76,434.20","198.2260","4.7197","9","4.5971"
"01743 NS neoplasms with blood transfusion, w mild to sev CC","2","173","86.50","191,832.25","95,916.13","4.7312","2.3656","2","2.3656"
"01744 NS neoplasms with blood transfusion, w catas CC","8","119","14.88","622,418.25","77,802.28","33.1948","4.1494","4","4.1702"
"02013 Retinal procedures, w severe CC","2","43","21.50","157,179.00","157,179.00","14.5632","7.2816","1","7.2816"
"02024 Enucleation and orbital procedures, w catas CC","2","22","11.00","227,517.00","113,758.50","11.0716","5.5358","1","5.5358"
"02039 Proc for major eye injury, w or wo CC","1","4","4.00","66,512.71","66,512.71","1.9519","1.9519","1","1.9519"
"02052 Intraocular proc except lens & retina, w mild to mod CC","1","8","8.00","92,457.60","92,457.60","3.2543","3.2543","0","0.0000"
"02064 Major lens procedures, w catas CC","1","41","41.00","154,842.75","154,842.75","2.1309","2.1309","0","0.0000"
"02070 Other lens procedures, no CC","1","2","2.00","25,038.00","25,038.00","1.1816","1.1816","0","0.0000"
"02082 Other eye  procedures, w mild to mod CC","1","24","24.00","60,360.00","60,360.00","1.5500","1.5500","0","0.0000"
"02083 Other eye  procedures, w severe CC","2","21","10.50","146,114.25","73,057.13","4.4950","2.2475","2","2.2475"
"02094 Keratoplasty, w sev to cat CC","1","27","27.00","67,241.50","67,241.50","4.4424","4.4424","0","0.0000"
"02501 Hyphema and medically managed trauma, w mild CC","1","3","3.00","34,976.00","34,976.00","0.6054","0.6054","0","0.0000"
"02504 Hyphema and medically managed trauma, w sev to cat CC","1","4","4.00","13,583.00","13,583.00","0.8903","0.8903","1","0.8903"
"02510 Acute and major eye infections age > 54, no CC","1","32","32.00","196,359.75","196,359.75","1.4836","1.4836","0","0.0000"
"02512 Acute and major eye infections age > 54, w mild to mod CC","6","64","10.67","199,360.75","33,226.79","14.6371","2.4395","1","1.0325"
"02513 Acute and major eye infections age > 54, w severe CC","2","15","7.50","80,372.75","40,186.38","3.4836","1.7418","1","1.7594"
"02514 Acute and major eye infections age > 54, w catas CC","4","66","16.50","180,081.00","45,020.25","17.0140","4.2535","1","4.2535"
"02522 Acute and major eye infections age < 55, w mild to mod CC","1","4","4.00","50,671.75","50,671.75","0.8108","0.8108","0","0.0000"
"02524 Acute and major eye infections age < 55, w sev to cat CC","1","1","1.00","14,907.80","14,907.80","1.7106","1.7106","1","1.7106"
"02534 Neurological and vasc disor of the eye, w sev to cat CC","1","4","4.00","0.00","0.00","1.7340","1.7340","0","0.0000"
"02540 Other disorders of the eye, no CC","1","11","11.00","20,126.50","20,126.50","0.6878","0.6878","0","0.0000"
"02544 Other disorders of the eye, w catas CC","3","57","19.00","194,465.25","64,821.75","4.8562","1.6187","1","1.4815"
"02551 Malignant neoplasm of the eye, w mild CC","3","19","6.33","60,649.25","20,216.42","6.8102","2.2701","1","2.5066"
"02553 Malignant neoplasm of the eye, w severe CC","1","3","3.00","7,727.00","7,727.00","3.0398","3.0398","0","0.0000"
"03020 Surgical repair for cleft lip or palate, no CC","1","2","2.00","15,624.25","15,624.25","1.2382","1.2382","0","0.0000"
"03044 Salivary procedures, w sev to cat CC","1","42","42.00","356,865.25","356,865.25","2.9600","2.9600","0","0.0000"
"03064 Mouth procedures, w catas CC","1","12","12.00","71,598.00","71,598.00","4.8948","4.8948","0","0.0000"
"03100 Other ear, nose, mouth & throat procedures, no CC","3","14","4.67","76,867.00","25,622.33","3.9996","1.3332","0","0.0000"
"03102 Other ear, nose, mouth & throat procedures, w mild to mod CC","10","246","24.60","1,715,144.56","171,514.46","44.4123","4.4412","3","6.5329"
"03103 Other ear, nose, mouth & throat procedures, w severe CC","3","28","9.33","101,134.75","33,711.58","8.4954","2.8318","1","2.8318"
"03104 Other ear, nose, mouth & throat procedures, w catas CC","12","289","24.08","1,202,322.55","100,193.55","45.0075","3.7506","4","3.7407"
"03140 Minor head and neck procedures, no CC","1","27","27.00","940,390.26","940,390.26","3.1095","3.1095","0","0.0000"
"03142 Minor head and neck procedures, w mild to mod CC","1","7","7.00","64,187.50","64,187.50","4.6881","4.6881","0","0.0000"
"03143 Minor head and neck procedures, w severe CC","9","130","14.44","1,628,201.25","180,911.25","61.9657","6.8851","6","7.1696"
"03144 Minor head and neck procedures, w catas CC","4","38","9.50","233,075.50","58,268.88","23.3724","5.8431","3","5.8431"
"03189 Trach for ENT diseases w mech vent 96+ hr, w or wo CC","1","80","80.00","583,938.00","583,938.00","23.3260","23.3260","0","0.0000"
"03213 Major head and neck proc w reconstruction, w mild to sev CC","1","9","9.00","54,832.00","54,832.00","8.7545","8.7545","0","0.0000"
"03222 Trach w other proc for upper airway obstruction, w mild to mod CC","1","9","9.00","52,759.00","52,759.00","7.5288","7.5288","0","0.0000"
"03223 Trach w other proc for upper airway obstruction, w severe CC","2","48","24.00","334,734.00","167,367.00","18.1318","9.0659","1","9.0659"
"03224 Trach w other proc for upper airway obstruction, w catas CC","5","320","64.00","785,078.50","157,015.70","68.6894","13.7379","2","13.8240"
"03230 Trach for upper airway obstruction, no CC","1","28","28.00","73,074.00","73,074.00","2.1045","2.1045","1","2.1045"
"03232 Trach for upper airway obstruction, w mild to mod CC","3","79","26.33","362,275.00","120,758.33","10.2275","3.4092","0","0.0000"
"03233 Trach for upper airway obstruction, w severe CC","4","196","49.00","767,583.75","191,895.94","23.4929","5.8732","1","5.8304"
"03234 Trach for upper airway obstruction, w catas CC","19","588","30.95","2,143,774.57","119,098.59","133.7096","7.0373","2","7.0372"
"03500 Ear, nose, mouth and throat malignancy, no CC","170","739","4.35","1,901,798.23","11,187.05","131.7246","0.7749","9","0.7201"
"03501 Ear, nose, mouth and throat malignancy, w mild CC","111","832","7.50","2,593,889.56","23,580.81","148.0496","1.3338","9","1.3527"
"03502 Ear, nose, mouth and throat malignancy, w mod CC","35","403","11.51","2,016,647.75","57,618.51","85.7583","2.4502","4","3.3070"
"03503 Ear, nose, mouth and throat malignancy, w severe CC","65","390","6.00","1,131,773.81","18,254.42","85.3019","1.3123","3","1.3172"
"03504 Ear, nose, mouth and throat malignancy, w catas CC","70","635","9.07","2,459,661.34","35,647.27","152.8540","2.1836","5","2.2006"
"03510 Dysequilibrium, no CC","9","39","4.33","131,820.85","14,646.76","2.0135","0.2237","0","0.0000"
"03511 Dysequilibrium, w mild CC","1","6","6.00","19,475.50","19,475.50","0.4109","0.4109","0","0.0000"
"03512 Dysequilibrium, w mod CC","2","13","6.50","37,053.50","18,526.75","1.3962","0.6981","0","0.0000"
"03513 Dysequilibrium, w severe CC","2","3","1.50","12,772.75","6,386.38","0.7540","0.3770","0","0.0000"
"03514 Dysequilibrium, w catas CC","3","46","15.33","323,741.51","107,913.84","5.7304","1.9101","0","0.0000"
"03520 Epistaxis, no CC","4","11","2.75","56,931.25","14,232.81","1.2912","0.3228","0","0.0000"
"03521 Epistaxis, w mild CC","13","52","4.00","211,354.30","16,258.02","8.2097","0.6315","3","0.5552"
"03522 Epistaxis, w mod CC","12","64","5.33","366,415.50","30,534.63","15.0342","1.2528","3","1.1536"
"03523 Epistaxis, w severe CC","10","44","4.40","249,893.75","24,989.38","26.4700","2.6470","4","2.8310"
"03524 Epistaxis, w catas CC","13","112","8.62","1,133,969.90","87,228.45","73.8982","5.6845","6","6.1765"
"03530 Otitis media and URI, no CC","15","513","34.20","1,091,843.44","72,789.56","4.1457","0.2764","3","0.2816"
"03531 Otitis media and URI, w mild CC","1","1","1.00","4,602.00","4,602.00","0.3480","0.3480","0","0.0000"
"03533 Otitis media and URI, w severe CC","5","15","3.00","133,765.25","26,753.05","2.7342","0.5468","1","0.5232"
"03534 Otitis media and URI, w catas CC","10","78","7.80","574,232.76","57,423.28","9.9754","0.9975","3","0.9645"
"03543 Epiglottitis and cellulitis of face & neck, w severe CC","5","30","6.00","283,597.85","56,719.57","8.0140","1.6028","3","1.6027"
"03544 Epiglottitis and cellulitis of face & neck, w catas CC","6","59","9.83","464,184.29","77,364.05","23.1737","3.8623","3","3.8494"
"03554 Nasal trauma and deformity, w sev to cat CC","1","1","1.00","25,785.00","25,785.00","1.5704","1.5704","0","0.0000"
"03560 Other ear, nose, mouth and throat diagnoses, no CC","3","12","4.00","51,997.00","17,332.33","1.9597","0.6532","0","0.0000"
"03563 Other ear, nose, mouth and throat diagnoses, w severe CC","2","36","18.00","194,159.75","97,079.88","4.0080","2.0040","0","0.0000"
"03564 Other ear, nose, mouth and throat diagnoses, w catas CC","5","62","12.40","259,850.25","51,970.05","20.5832","4.1166","2","4.0290"
"03570 Dental & oral disorders, no CC","4","225","56.25","287,815.10","71,953.78","2.1226","0.5306","1","0.5324"
"03571 Dental & oral disorders, w mild CC","1","1","1.00","11,505.25","11,505.25","0.9519","0.9519","0","0.0000"
"03572 Dental & oral disorders, w mod CC","12","54","4.50","416,756.00","34,729.67","21.9861","1.8322","5","1.9932"
"03573 Dental & oral disorders, w severe CC","2","9","4.50","30,066.00","15,033.00","2.1437","1.0718","0","0.0000"
"03574 Dental & oral disorders, w catas CC","3","20","6.67","220,507.00","73,502.33","7.1121","2.3707","2","2.3561"
"03590 ENT & mouth malignancy with chemotherapy, no CC","1","2","2.00","6,320.00","6,320.00","1.0157","1.0157","0","0.0000"
"03592 ENT & mouth malignancy with chemotherapy, w mod CC","1","8","8.00","38,914.75","38,914.75","1.8714","1.8714","0","0.0000"
"03593 ENT & mouth malignancy with chemotherapy, w severe CC","3","33","11.00","113,381.75","37,793.92","6.7494","2.2498","1","2.2498"
"03594 ENT & mouth malignancy with chemotherapy, w catas CC","1","3","3.00","24,046.00","24,046.00","5.1150","5.1150","1","5.1150"
"03601 ENT & mouth malignancy with radiotherapy, w mild CC","2","27","13.50","76,891.73","38,445.87","13.1874","6.5937","0","0.0000"
"03602 ENT & mouth malignancy with radiotherapy, w mod CC","2","17","8.50","72,169.44","36,084.72","13.0770","6.5385","0","0.0000"
"03604 ENT & mouth malignancy with radiotherapy, w catas CC","3","102","34.00","649,507.00","216,502.33","21.9336","7.3112","0","0.0000"
"03610 ENT & mouth malignancy with diagnostic proc, no CC","8","127","15.88","309,906.75","38,738.34","12.8972","1.6122","0","0.0000"
"03612 ENT & mouth malignancy with diagnostic proc, w mild to mod CC","3","47","15.67","210,838.97","70,279.66","19.8987","6.6329","1","6.6329"
"03613 ENT & mouth malignancy with diagnostic proc, w severe CC","7","106","15.14","463,776.74","66,253.82","16.7576","2.3939","1","2.6243"
"03614 ENT & mouth malignancy with diagnostic proc, w catas CC","8","99","12.38","328,255.90","41,031.99","39.9082","4.9885","1","5.0136"
"03620 ENT & mouth malignancy with blood transfusion, no CC","16","94","5.88","234,940.25","14,683.77","14.4609","0.9038","3","0.7590"
"03622 ENT & mouth malignancy with blood transfusion, w mild to mod CC","46","542","11.78","1,972,744.66","42,885.75","161.6990","3.5152","4","4.0464"
"03623 ENT & mouth malignancy with blood transfusion, w severe CC","12","90","7.50","305,473.76","25,456.15","25.6274","2.1356","0","0.0000"
"03624 ENT & mouth malignancy with blood transfusion, w catas CC","41","388","9.46","1,908,926.47","46,559.18","185.8824","4.5337","10","4.5477"
"04010 Major chest procedures, no CC","1","1","1.00","49,207.72","49,207.72","4.4875","4.4875","0","0.0000"
"04012 Major chest procedures, w mild to mod CC","32","790","24.69","7,688,680.73","240,271.27","284.8197","8.9006","17","8.9542"
"04013 Major chest procedures, w severe CC","2","18","9.00","98,708.50","49,354.25","16.6474","8.3237","0","0.0000"
"04014 Major chest procedures, w catas CC","24","403","16.79","3,829,069.27","159,544.55","221.9184","9.2466","7","9.2466"
