"ชื่อกลุ่ม","ทั้งหมด","ไตรมาส1","ไตรมาส2","ไตรมาส3","ไตรมาส4"
"จำนวน","ผลรวมAdjRW","CMI","จำนวน","ผลรวมAdjRW","CMI","จำนวน","ผลรวมAdjRW","CMI","จำนวน","ผลรวมAdjRW","CMI","จำนวน","ผลรวมAdjRW","CMI"
"01530 Degenerative  nervous system disorders, no CC","1,710","1,322.8173","0.7736","1,125","873.7614","0.7767","469","360.5715","0.7688","104","79.5736","0.7651","2","1.5270","0.7635"
"01531 Degenerative  nervous system disorders, w mild CC","494","580.5246","1.1752","246","285.1561","1.1592","149","168.4495","1.1305","92","119.0048","1.2935","4","5.0077","1.2519"
"01532 Degenerative  nervous system disorders, w mod CC","662","881.1074","1.3310","356","452.9257","1.2723","232","327.5814","1.4120","68","93.4243","1.3739","2","2.3550","1.1775"
"01533 Degenerative  nervous system disorders, w severe CC","743","1,684.8789","2.2677","415","933.9170","2.2504","235","537.9285","2.2891","78","181.5996","2.3282","5","10.3499","2.0700"
"01534 Degenerative  nervous system disorders, w catas CC","161","740.5796","4.5999","75","345.7431","4.6099","62","288.2093","4.6485","21","97.4073","4.6384","2","4.6565","2.3283"
"01540 Multiple sclerosis and cerebellar ataxia, no CC","168","328.6252","1.9561","95","190.0079","2.0001","45","82.4159","1.8315","25","50.2990","2.0120","1","2.4282","2.4282"
"01541 Multiple sclerosis and cerebellar ataxia, w mild CC","43","133.8468","3.1127","15","36.6346","2.4423","18","55.1693","3.0650","9","36.9745","4.1083","1","5.0684","5.0684"
"01542 Multiple sclerosis and cerebellar ataxia, w mod CC","32","104.8857","3.2777","18","58.8756","3.2709","7","23.0496","3.2928","6","19.6473","3.2746","0","0.0000","0.0000"
"01543 Multiple sclerosis and cerebellar ataxia, w severe CC","39","165.3205","4.2390","25","106.3747","4.2550","7","29.6425","4.2346","7","29.3033","4.1862","0","0.0000","0.0000"
"01544 Multiple sclerosis and cerebellar ataxia, w catas CC","17","92.9064","5.4651","12","65.5649","5.4637","3","16.4049","5.4683","1","5.4683","5.4683","0","0.0000","0.0000"
"01550 Specific cerebrovascular disorders exc TIA, not transferred, no CC","13,981","14,988.8806","1.0721","10,738","11,526.2661","1.0734","2,834","3,023.7920","1.0670","174","191.3640","1.0998","7","7.8226","1.1175"
"01551 Specific cerebrovascular disorders exc TIA, not transferred, w mild CC","3,269","5,319.8745","1.6274","2,419","3,960.6203","1.6373","677","1,068.1439","1.5778","136","238.7010","1.7552","6","11.2285","1.8714"
"01552 Specific cerebrovascular disorders exc TIA, not transferred, w mod CC","2,791","4,221.2546","1.5125","2,027","3,055.0955","1.5072","641","968.9515","1.5116","83","141.0237","1.6991","1","1.3074","1.3074"
"01553 Specific cerebrovascular disorders exc TIA, not transferred, w severe CC","3,739","8,775.1585","2.3469","2,758","6,467.3260","2.3449","836","1,958.6121","2.3428","80","201.9170","2.5240","3","6.6939","2.2313"
"01554 Specific cerebrovascular disorders exc TIA, not transferred, w catas CC","1,527","8,366.9212","5.4793","1,068","5,870.5927","5.4968","348","1,878.0679","5.3967","71","407.0503","5.7331","1","5.1719","5.1719"
"01560 TIA and precerebral occlusions, no CC","2,219","1,297.2170","0.5846","1,548","907.2613","0.5861","543","313.2923","0.5770","103","62.7023","0.6088","3","1.8293","0.6098"
"01561 TIA and precerebral occlusions, w mild CC","257","201.5383","0.7842","142","108.9369","0.7672","76","64.1600","0.8442","29","21.5104","0.7417","5","3.4655","0.6931"
"01562 TIA and precerebral occlusions, w mod CC","371","342.6647","0.9236","204","194.1193","0.9516","132","118.7079","0.8993","32","27.2800","0.8525","1","0.8525","0.8525"
"01563 TIA and precerebral occlusions, w severe CC","280","363.3544","1.2977","146","189.5904","1.2986","92","119.0158","1.2937","37","48.1647","1.3017","0","0.0000","0.0000"
"01564 TIA and precerebral occlusions, w catas CC","35","125.3279","3.5808","17","61.2159","3.6009","10","35.8028","3.5803","7","24.6891","3.5270","1","3.6201","3.6201"
"01570 Nonspecific cerebrovascular disorders, no CC","3,351","2,056.5742","0.6137","2,204","1,349.6388","0.6124","1,014","622.8015","0.6142","100","63.9306","0.6393","4","2.4216","0.6054"
"01571 Nonspecific cerebrovascular disorders, w mild CC","617","573.0971","0.9288","320","289.3854","0.9043","178","167.0754","0.9386","115","112.8507","0.9813","3","2.9840","0.9947"
"01572 Nonspecific cerebrovascular disorders, w mod CC","720","663.5648","0.9216","386","350.6042","0.9083","238","212.8873","0.8945","88","90.9591","1.0336","5","6.5241","1.3048"
"01573 Nonspecific cerebrovascular disorders, w severe CC","808","1,236.0601","1.5298","462","696.7565","1.5081","261","406.6334","1.5580","77","116.9730","1.5191","5","11.4481","2.2896"
"01574 Nonspecific cerebrovascular disorders, w catas CC","261","1,018.6512","3.9029","123","478.3447","3.8890","87","340.4080","3.9127","50","195.9529","3.9191","0","0.0000","0.0000"
"01580 Cranial and peripheral nerve disorders, no CC","1,207","790.7885","0.6552","712","463.8682","0.6515","355","232.9930","0.6563","121","80.8528","0.6682","10","7.2836","0.7284"
"01581 Cranial and peripheral nerve disorders, w mild CC","171","140.9681","0.8244","70","56.2708","0.8039","55","42.7421","0.7771","41","36.8693","0.8993","3","3.5665","1.1888"
"01582 Cranial and peripheral nerve disorders, w mod CC","186","304.8410","1.6389","96","172.4519","1.7964","57","79.5006","1.3947","30","46.3596","1.5453","2","5.5262","2.7631"
"01583 Cranial and peripheral nerve disorders, w severe CC","178","248.9951","1.3988","76","106.4434","1.4006","57","79.8916","1.4016","40","55.6963","1.3924","3","4.2153","1.4051"
"01584 Cranial and peripheral nerve disorders, w catas CC","21","45.3230","2.1582","8","17.3512","2.1689","7","15.1660","2.1666","6","12.8058","2.1343","0","0.0000","0.0000"
"01590 Nervous syst infection exc viral meningitis, not transferred, no CC","1,292","1,358.7875","1.0517","863","904.3080","1.0479","313","324.2354","1.0359","105","118.2295","1.1260","3","4.1439","1.3813"
"01591 Nervous syst infection exc viral meningitis, not transferred, w mild CC","558","1,088.1653","1.9501","331","641.7677","1.9389","128","236.7565","1.8497","94","199.6870","2.1243","2","5.0046","2.5023"
"01592 Nervous syst infection exc viral meningitis, not transferred, w mod CC","396","988.7092","2.4967","219","546.4160","2.4951","115","277.4379","2.4125","61","162.8674","2.6700","0","0.0000","0.0000"
"01593 Nervous syst infection exc viral meningitis, not transferred, w severe CC","715","2,327.8227","3.2557","454","1,464.4439","3.2256","190","634.9467","3.3418","62","201.4793","3.2497","4","11.8372","2.9593"
"01594 Nervous syst infection exc viral meningitis, not transferred, w catas CC","402","2,325.8392","5.7857","244","1,410.6837","5.7815","123","713.5121","5.8009","33","190.4401","5.7709","0","0.0000","0.0000"
"01600 Viral meningitis, no CC","107","104.0368","0.9723","44","40.3225","0.9164","30","28.5992","0.9533","29","30.7325","1.0597","2","3.0293","1.5147"
"01601 Viral meningitis, w mild CC","22","56.7339","2.5788","6","9.9814","1.6636","9","29.2470","3.2497","7","17.5055","2.5008","0","0.0000","0.0000"
"01602 Viral meningitis, w mod CC","18","24.4992","1.3611","10","13.5864","1.3586","6","8.1846","1.3641","2","2.7282","1.3641","0","0.0000","0.0000"
"01603 Viral meningitis, w severe CC","48","157.6112","3.2836","21","68.9298","3.2824","15","49.4201","3.2947","12","39.2613","3.2718","0","0.0000","0.0000"
"01604 Viral meningitis, w catas CC","17","89.3080","5.2534","7","36.8858","5.2694","8","41.9589","5.2449","1","5.2845","5.2845","0","0.0000","0.0000"
"01610 Nontraumatic stupor and coma, no CC","705","320.9393","0.4552","315","142.9535","0.4538","244","110.8828","0.4544","132","60.6840","0.4597","11","5.1020","0.4638"
"01611 Nontraumatic stupor and coma, w mild CC","286","190.2356","0.6652","113","75.1341","0.6649","94","58.9314","0.6269","69","49.6531","0.7196","7","4.9246","0.7035"
"01612 Nontraumatic stupor and coma, w mod CC","254","183.6882","0.7232","123","85.6459","0.6963","71","55.0580","0.7755","54","39.1539","0.7251","3","1.9152","0.6384"
"01613 Nontraumatic stupor and coma, w severe CC","336","313.5508","0.9332","161","150.7295","0.9362","118","109.5428","0.9283","52","48.5792","0.9342","2","1.9064","0.9532"
"01614 Nontraumatic stupor and coma, w catas CC","86","239.8595","2.7891","40","111.9088","2.7977","30","83.3169","2.7772","14","39.0227","2.7873","2","5.6111","2.8056"
"01620 Febrile convulsions, no CC","3,224","864.9430","0.2683","2,109","563.4228","0.2672","1,022","275.2501","0.2693","75","21.4737","0.2863","4","1.1101","0.2775"
"01621 Febrile convulsions, w mild CC","393","150.9204","0.3840","194","73.2143","0.3774","147","56.5569","0.3847","48","19.7592","0.4117","1","0.3475","0.3475"
"01622 Febrile convulsions, w mod CC","628","264.4064","0.4210","364","153.3267","0.4212","219","92.2268","0.4211","41","17.2205","0.4200","3","1.2391","0.4130"
"01623 Febrile convulsions, w severe CC","291","178.1921","0.6123","134","82.0870","0.6126","118","72.2805","0.6125","37","22.5948","0.6107","1","0.6149","0.6149"
"01624 Febrile convulsions, w catas CC","13","12.4456","0.9574","5","4.8118","0.9624","4","3.8350","0.9588","3","2.8491","0.9497","1","0.9497","0.9497"
"01630 Seizure disorders, no CC","8,639","3,424.8718","0.3964","6,316","2,511.5008","0.3976","2,114","831.7717","0.3935","107","43.5679","0.4072","3","1.1169","0.3723"
"01631 Seizure disorders, w mild CC","2,395","1,507.6063","0.6295","1,660","1,063.3048","0.6405","597","357.7545","0.5993","106","68.8758","0.6498","6","4.5516","0.7586"
"01632 Seizure disorders, w mod CC","1,596","1,092.9100","0.6848","1,061","725.8696","0.6841","437","300.4602","0.6876","81","55.8294","0.6893","3","1.8972","0.6324"
"01633 Seizure disorders, w severe CC","1,814","2,135.3356","1.1771","1,234","1,460.7408","1.1837","469","540.7328","1.1529","92","112.4449","1.2222","0","0.0000","0.0000"
"01634 Seizure disorders, w catas CC","431","1,818.4076","4.2190","277","1,182.1411","4.2677","106","445.2613","4.2006","45","179.4788","3.9884","2","7.7783","3.8892"
"01640 Headache, no CC","2,713","690.0915","0.2544","1,905","483.4690","0.2538","706","179.9865","0.2549","80","20.9153","0.2614","6","1.7849","0.2975"
"01641 Headache, w mild CC","451","178.2265","0.3952","235","91.8799","0.3910","149","58.7237","0.3941","61","25.0987","0.4115","4","1.7972","0.4493"
"01642 Headache, w mod CC","382","178.7084","0.4678","190","88.1780","0.4641","133","61.6367","0.4634","52","25.3776","0.4880","6","3.0726","0.5121"
"01643 Headache, w severe CC","229","154.7259","0.6757","92","61.0555","0.6636","86","58.1940","0.6767","50","34.8227","0.6965","0","0.0000","0.0000"
"01644 Headache, w catas CC","16","11.9467","0.7467","6","4.3650","0.7275","4","2.9935","0.7484","5","3.8251","0.7650","0","0.0000","0.0000"
"01650 Intracranial injury, no CC","4,627","5,056.8566","1.0929","3,446","3,770.6643","1.0942","960","1,045.0326","1.0886","136","148.8488","1.0945","6","6.6861","1.1144"
"01651 Intracranial injury, w mild CC","1,303","2,580.1570","1.9802","961","1,905.6571","1.9830","268","529.3184","1.9751","51","100.1808","1.9643","3","6.2745","2.0915"
"01652 Intracranial injury, w mod CC","622","1,559.6292","2.5074","413","1,041.2336","2.5211","164","403.8056","2.4622","36","93.2425","2.5901","3","6.9927","2.3309"
"01653 Intracranial injury, w severe CC","837","3,168.5863","3.7856","578","2,193.9012","3.7957","206","779.8762","3.7858","40","153.1764","3.8294","2","10.1025","5.0513"
"01654 Intracranial injury, w catas CC","233","1,203.1922","5.1639","152","784.0156","5.1580","59","305.2222","5.1733","18","93.5243","5.1958","0","0.0000","0.0000"
"01660 Skull fractures, no CC","974","688.1596","0.7065","622","435.8149","0.7007","243","170.5744","0.7020","96","72.6115","0.7564","5","3.7732","0.7546"
"01661 Skull fractures, w mild CC","152","185.7235","1.2219","75","88.8576","1.1848","50","62.0556","1.2411","23","30.3670","1.3203","0","0.0000","0.0000"
"01662 Skull fractures, w mod CC","95","166.8609","1.7564","41","70.4382","1.7180","36","61.3955","1.7054","18","35.0272","1.9460","0","0.0000","0.0000"
"01663 Skull fractures, w severe CC","69","159.9676","2.3184","31","71.7654","2.3150","28","65.2542","2.3305","9","20.6016","2.2891","0","0.0000","0.0000"
"01664 Skull fractures, w catas CC","9","44.8635","4.9848","2","10.0366","5.0183","3","14.8541","4.9514","4","19.9728","4.9932","0","0.0000","0.0000"
"01670 Other head injury, no CC","18,804","5,287.4959","0.2812","14,261","4,004.0988","0.2808","4,267","1,203.6798","0.2821","170","50.8026","0.2988","0","0.0000","0.0000"
"01671 Other head injury, w mild CC","2,122","1,122.7355","0.5291","1,471","778.0852","0.5289","534","279.7949","0.5240","91","51.5820","0.5668","3","1.7527","0.5842"
"01672 Other head injury, w mod CC","1,102","709.7077","0.6440","690","449.4107","0.6513","328","203.6886","0.6210","77","51.3733","0.6672","5","4.0379","0.8076"
"01673 Other head injury, w severe CC","772","853.8355","1.1060","447","494.2746","1.1058","232","252.2600","1.0873","89","100.4956","1.1292","2","4.6808","2.3404"
"01674 Other head injury, w catas CC","79","293.4413","3.7144","39","145.9926","3.7434","25","92.4429","3.6977","15","55.0058","3.6671","0","0.0000","0.0000"
"01680 Other disorders of nervous system, no CC","1,806","597.1905","0.3307","1,178","385.0179","0.3268","474","157.1315","0.3315","137","49.4073","0.3606","8","2.7396","0.3425"
"01681 Other disorders of nervous system, w mild CC","529","429.9400","0.8127","280","235.1045","0.8397","167","127.8111","0.7653","80","65.6046","0.8201","1","0.7099","0.7099"
"01682 Other disorders of nervous system, w mod CC","523","549.6150","1.0509","281","301.1831","1.0718","169","174.6303","1.0333","66","67.2744","1.0193","3","2.6820","0.8940"
"01683 Other disorders of nervous system, w severe CC","513","1,013.1869","1.9750","258","528.6800","2.0491","166","315.5085","1.9007","82","155.8855","1.9010","0","0.0000","0.0000"
"01684 Other disorders of nervous system, w catas CC","142","421.6836","2.9696","83","245.8859","2.9625","44","131.0151","2.9776","13","38.7876","2.9837","1","2.9975","2.9975"
"01690 Guillain-Barre syndrome, no CC","108","555.2306","5.1410","50","258.0802","5.1616","36","181.0478","5.0291","20","105.3159","5.2658","1","5.8583","5.8583"
"01692 Guillain-Barre syndrome, w mild to mod CC","31","189.9649","6.1279","12","74.0984","6.1749","11","67.2117","6.1102","8","48.6548","6.0819","0","0.0000","0.0000"
"01693 Guillain-Barre syndrome, w severe CC","31","292.6736","9.4411","16","150.9518","9.4345","13","123.4447","9.4957","2","18.2771","9.1386","0","0.0000","0.0000"
"01694 Guillain-Barre syndrome, w catas CC","24","266.8224","11.1176","8","89.0028","11.1254","7","77.3873","11.0553","7","78.2583","11.1798","0","0.0000","0.0000"
"01700 Nervous system neoplasms with chemo- and radiotherpy, no CC","2","19.7307","9.8654","0","0.0000","0.0000","2","19.7307","9.8654","0","0.0000","0.0000","0","0.0000","0.0000"
"01704 Nervous system neoplasms with chemo- and radiotherpy, w mild to cat CC","2","24.8976","12.4488","0","0.0000","0.0000","2","24.8976","12.4488","0","0.0000","0.0000","0","0.0000","0.0000"
"01710 Nervous system neoplasms with chemotherpy, no CC","72","121.1700","1.6829","40","66.3975","1.6599","26","44.5290","1.7127","6","10.2435","1.7073","0","0.0000","0.0000"
"01711 Nervous system neoplasms with chemotherpy, w mild CC","21","49.0969","2.3379","15","35.3110","2.3541","2","4.4023","2.2012","4","9.3836","2.3459","0","0.0000","0.0000"
"01712 Nervous system neoplasms with chemotherpy, w mod CC","4","12.6829","3.1707","0","0.0000","0.0000","4","12.6829","3.1707","0","0.0000","0.0000","0","0.0000","0.0000"
"01713 Nervous system neoplasms with chemotherpy, w severe CC","9","41.8926","4.6547","5","23.2974","4.6595","3","13.8636","4.6212","1","4.7316","4.7316","0","0.0000","0.0000"
"01720 Nervous system neoplasms with radiotherpy, no CC","35","96.0006","2.7429","23","63.1458","2.7455","8","21.7504","2.7188","4","11.1044","2.7761","0","0.0000","0.0000"
"01721 Nervous system neoplasms with radiotherpy, w mild CC","4","15.3648","3.8412","3","9.4490","3.1497","1","5.9158","5.9158","0","0.0000","0.0000","0","0.0000","0.0000"
"01722 Nervous system neoplasms with radiotherpy, w mod CC","12","67.3019","5.6085","6","37.1253","6.1876","4","20.0502","5.0126","2","10.1264","5.0632","0","0.0000","0.0000"
"01723 Nervous system neoplasms with radiotherpy, w severe CC","3","20.0118","6.6706","1","6.6706","6.6706","0","0.0000","0.0000","2","13.3412","6.6706","0","0.0000","0.0000"
"01724 Nervous system neoplasms with radiotherpy, w catas CC","8","66.9018","8.3627","5","41.8031","8.3606","2","16.7884","8.3942","1","8.3103","8.3103","0","0.0000","0.0000"
