"โรงพยาบาล","สัญชาติ (คน)","OPD","IPD","ค่าใช้จ่าย (บาท)"
"เมียนมาร์","กัมพูชา","ลาว","เวียดนาม","อื่นๆ","คน","ครั้ง","คน","ครั้ง","ทั้งหมด","เรียกเก็บได้","ฟรี"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"22155  :  โรงพยาบาลครู","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10754  :  โรงพยาบาลบางจาก","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"28785  :  โรงพยาบาลบางเสาธง","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10756  :  โรงพยาบาลบางกรวย","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10757  :  โรงพยาบาลบางใหญ่","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10759  :  โรงพยาบาลไทรน้อย","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10760  :  โรงพยาบาลปากเกร็ด","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10761  :  โรงพยาบาลคลองหลวง","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10762  :  โรงพยาบาลธัญบุรี","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10764  :  โรงพยาบาลหนองเสือ","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10767  :  โรงพยาบาลสามโคก","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10688  :  โรงพยาบาลเสนา","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10768  :  โรงพยาบาลท่าเรือ","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10770  :  โรงพยาบาลบางไทร","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10771  :  โรงพยาบาลบางบาล","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10772  :  โรงพยาบาลบางปะอิน","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10773  :  โรงพยาบาลบางปะหัน","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10774  :  โรงพยาบาลผักไห่","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10775  :  โรงพยาบาลภาชี","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10777  :  โรงพยาบาลวังน้อย","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10778  :  โรงพยาบาลบางซ้าย","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10779  :  โรงพยาบาลอุทัย","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10780  :  โรงพยาบาลมหาราช","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10689  :  โรงพยาบาลอ่างทอง","91","13","9","1","5","113","350","30","37","778,208.00","144,827.00","633,381.00"
"10782  :  โรงพยาบาลไชโย","42","5","2","0","7","56","150","1","1","68,430.00","13,477.00","54,953.00"
"10784  :  โรงพยาบาลป่าโมก","176","43","20","0","76","315","1,088","14","16","490,294.00","321,467.00","168,827.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","254","25","11","1","55","346","943","29","34","694,897.00","484,661.00","210,236.00"
"10786  :  โรงพยาบาลแสวงหา","101","7","5","0","8","121","287","11","11","112,381.00","67,520.00","44,861.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","163","29","23","4","31","250","742","9","9","326,367.00","272,815.00","53,552.00"
"10788  :  โรงพยาบาลสามโก้","30","2","3","0","10","45","104","5","5","46,719.00","24,545.00","22,174.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","6","30","5","0","1","3","3","39","46","79,773.70","88,397.00","-8,623.30"
"10790  :  โรงพยาบาลโคกสำโรง","9","1","2","4","58","74","253","10","12","169,299.00","5,090.00","164,209.00"
"10791  :  โรงพยาบาลชัยบาดาล","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","124","7","2","0","9","141","316","13","13","181,232.00","83,070.00","98,162.00"
"10793  :  โรงพยาบาลท่าหลวง","161","111","20","0","23","313","538","28","33","285,903.00","209,518.00","76,385.00"
"10794  :  โรงพยาบาลสระโบสถ์","8","0","0","0","3","11","44","2","2","17,082.00","12,747.00","4,335.00"
"10795  :  โรงพยาบาลโคกเจริญ","23","7","10","0","12","52","105","13","13","69,426.00","39,305.00","30,121.00"
"10796  :  โรงพยาบาลลำสนธิ","6","7","12","0","7","32","178","5","9","84,303.00","32,264.00","52,039.00"
"10797  :  โรงพยาบาลหนองม่วง","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","248","17","49","0","62","376","1,252","66","76","1,042,792.00","643,580.00","399,212.00"
"10693  :  โรงพยาบาลอินทร์บุรี","59","5","3","1","94","162","451","20","21","327,249.00","76,159.00","251,090.00"
"10798  :  โรงพยาบาลบางระจัน","158","10","15","0","25","208","462","11","11","189,256.00","30,921.00","158,335.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","187","10","8","0","5","210","323","9","10","222,433.00","189,962.00","32,471.00"
"10800  :  โรงพยาบาลพรหมบุรี","300","239","108","0","8","655","1,538","19","21","576,973.00","55,673.00","521,300.00"
"10801  :  โรงพยาบาลท่าช้าง","23","2","3","0","16","44","160","7","7","82,464.00","49,387.00","33,077.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10802  :  โรงพยาบาลมโนรมย์","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10804  :  โรงพยาบาลสรรพยา","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","75","24","9","1","37","146","476","16","16","341,104.00","0.00","341,104.00"
"10806  :  โรงพยาบาลหันคา","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10661  :  โรงพยาบาลสระบุรี","372","186","166","14","89","767","1,876","251","272","3,906,885.00","0.00","3,906,885.00"
"10695  :  โรงพยาบาลพระพุทธบาท","689","277","186","0","63","1,187","2,428","126","140","971,139.00","971,139.00","0.00"
"10807  :  โรงพยาบาลแก่งคอย","128","75","22","1","33","242","3,192","57","307","3,069,766.00","924,146.00","2,145,620.00"
"10808  :  โรงพยาบาลหนองแค","360","83","49","0","22","514","1,285","74","74","555,040.00","34,846.00","520,194.00"
"10809  :  โรงพยาบาลวิหารแดง","175","36","58","0","18","286","753","35","38","387,092.00","302,644.00","84,448.00"
"10810  :  โรงพยาบาลหนองแซง","10","0","1","0","25","35","160","4","4","52,698.00","2,140.00","50,558.00"
"10811  :  โรงพยาบาลบ้านหมอ","79","5","11","0","14","109","362","7","7","250,630.00","102,669.00","147,961.00"
"10812  :  โรงพยาบาลดอนพุด","5","2","1","0","2","10","25","1","1","8,629.00","3,588.00","5,041.00"
"10813  :  โรงพยาบาลหนองโดน","1","0","2","0","42","45","165","2","2","43,600.00","0.00","43,600.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","434","136","36","1","19","626","1,808","56","60","1,152,309.00","811,846.00","340,463.00"
"10815  :  โรงพยาบาลมวกเหล็ก","174","287","127","3","173","764","1,538","74","76","731,016.00","175,964.00","555,052.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","124","458","48","0","43","673","1,456","72","79","509,263.00","422,030.00","87,233.00"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10817  :  โรงพยาบาลบ้านบึง","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10818  :  โรงพยาบาลหนองใหญ่","1,376","3,769","534","13","91","5,780","10,611","457","483","4,697,505.00","4,082,801.00","614,704.00"
"10819  :  โรงพยาบาลบางละมุง","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","402","991","87","1","380","1,861","3,436","167","173","1,686,699.00","1,325,426.00","361,273.00"
"10821  :  โรงพยาบาลพานทอง","1,217","2,316","394","6","143","4,076","7,999","287","342","5,194,611.00","3,780,498.00","1,414,113.00"
"10822  :  โรงพยาบาลพนัสนิคม","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10823  :  โรงพยาบาลแหลมฉบัง","3,214","8,971","822","18","266","13,288","20,724","1,069","1,109","19,571,073.00","16,302,809.00","3,268,264.00"
"10824  :  โรงพยาบาลเกาะสีชัง","19","54","18","0","76","167","424","9","11","190,481.00","138,621.00","51,860.00"
"10825  :  โรงพยาบาลสัตหีบกม10","0","0","0","0","14","14","21","0","0","420.00","0.00","420.00"
"10826  :  โรงพยาบาลบ่อทอง","1,209","1,616","123","0","81","3,029","5,508","343","365","3,936,108.00","2,736,170.00","1,199,938.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10663  :  โรงพยาบาลระยอง","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10828  :  โรงพยาบาลบ้านฉาง","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10829  :  โรงพยาบาลแกลง","1,793","5,990","380","0","158","8,321","16,564","534","556","7,074,123.76","505,341.00","6,568,782.76"
"10830  :  โรงพยาบาลวังจันทร์","909","1,427","446","16","433","3,230","6,978","424","442","4,007,537.00","2,136,058.00","1,871,479.00"
"10831  :  โรงพยาบาลบ้านค่าย","883","1,551","431","1","170","3,036","5,561","0","0","1,742,007.00","2,465,716.00","-723,709.00"
"10832  :  โรงพยาบาลปลวกแดง","350","1,255","68","0","76","1,749","3,366","0","0","2,024,896.10","0.00","2,024,896.10"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","237","284","140","0","64","725","1,687","34","35","691,390.00","305,270.00","386,120.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","32","47","1","0","20","99","265","5","10","196,182.00","85,912.00","110,270.00"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
"10834  :  โรงพยาบาลขลุง","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00"
