"โรงพยาบาล","ภาคเรียนที่  1 ปีการศึกษา 2563","ภาคเรียนที่  2 ปีการศึกษา 2563"
"นักเรียน","ได้รับวัคซีน","ร้อยละ","นักเรียน","ได้รับวัคซีน","ร้อยละ"
"10796  :  โรงพยาบาลลำสนธิ","101","0","0.00","102","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","262","0","0.00","261","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","740","566","76.49","707","58","8.20"
"10693  :  โรงพยาบาลอินทร์บุรี","130","0","0.00","131","123","93.89"
"10798  :  โรงพยาบาลบางระจัน","26","0","0.00","27","24","88.89"
"10799  :  โรงพยาบาลค่ายบางระจัน","52","0","0.00","44","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","56","54","96.43","56","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","27","0","0.00","26","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","27","24","88.89","72","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","35","0","0.00","36","25","69.44"
"10804  :  โรงพยาบาลสรรพยา","18","17","94.44","18","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","139","68","48.92","86","5","5.81"
"10806  :  โรงพยาบาลหันคา","130","0","0.00","129","125","96.90"
"27974  :  โรงพยาบาลหนองมะโมง","8","0","0.00","8","8","100.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","42","0","0.00","43","32","74.42"
"10807  :  โรงพยาบาลแก่งคอย","323","0","0.00","523","0","0.00"
"10808  :  โรงพยาบาลหนองแค","161","0","0.00","296","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","61","0","0.00","64","58","90.63"
"10810  :  โรงพยาบาลหนองแซง","18","0","0.00","19","17","89.47"
"10811  :  โรงพยาบาลบ้านหมอ","144","132","91.67","145","3","2.07"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","26","0","0.00","34","18","52.94"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","178","0","0.00","177","164","92.66"
"10815  :  โรงพยาบาลมวกเหล็ก","249","0","0.00","255","225","88.24"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","137","0","0.00","146","135","92.47"
"11485  :  โรงพยาบาลค่ายอดิศร","169","42","24.85","216","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","727","581","79.92","913","32","3.50"
"10818  :  โรงพยาบาลหนองใหญ่","119","0","0.00","127","116","91.34"
"10819  :  โรงพยาบาลบางละมุง","290","0","0.00","295","225","76.27"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","37","36","97.30","38","0","0.00"
"10821  :  โรงพยาบาลพานทอง","248","143","57.66","256","13","5.08"
"10822  :  โรงพยาบาลพนัสนิคม","739","0","0.00","894","0","0.00"
"10823  :  โรงพยาบาลแหลมฉบัง","1,663","657","39.51","1,958","269","13.74"
"10824  :  โรงพยาบาลเกาะสีชัง","26","26","100.00","28","0","0.00"
"10825  :  โรงพยาบาลสัตหีบกม10","160","0","0.00","154","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","190","136","71.58","177","16","9.04"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","580","1","0.17","742","2","0.27"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","164","0","0.00","164","84","51.22"
"28005  :  โรงพยาบาลเมืองพัทยา","1,315","2","0.15","1,254","1,190","94.90"
"28006  :  โรงพยาบาลเกาะจันทร์","124","81","65.32","119","0","0.00"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","1,011","1","0.10","1,028","437","42.51"
"10828  :  โรงพยาบาลบ้านฉาง","20","0","0.00","52","0","0.00"
"10829  :  โรงพยาบาลแกลง","696","3","0.43","706","0","0.00"
"10830  :  โรงพยาบาลวังจันทร์","172","132","76.74","179","0","0.00"
"10831  :  โรงพยาบาลบ้านค่าย","62","0","0.00","65","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","488","150","30.74","492","247","50.20"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","9","0","0.00","13","3","23.08"
"23962  :  โรงพยาบาลนิคมพัฒนา","31","0","0.00","35","1","2.86"
"10664  :  โรงพยาบาลพระปกเกล้า","720","1","0.14","716","0","0.00"
"10834  :  โรงพยาบาลขลุง","167","0","0.00","276","251","90.94"
"10835  :  โรงพยาบาลท่าใหม่","343","0","0.00","442","2","0.45"
"10836  :  โรงพยาบาลเขาสุกิม","26","0","0.00","33","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","13","9","69.23","12","1","8.33"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","158","0","0.00","164","0","0.00"
"10839  :  โรงพยาบาลมะขาม","20","0","0.00","20","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","46","0","0.00","49","45","91.84"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","181","167","92.27","181","1","0.55"
"10843  :  โรงพยาบาลนายายอาม","15","8","53.33","13","1","7.69"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","136","62","45.59","90","4","4.44"
"10696  :  โรงพยาบาลตราด","697","0","0.00","818","2","0.24"
"10845  :  โรงพยาบาลคลองใหญ่","202","119","58.91","202","7","3.47"
"10846  :  โรงพยาบาลเขาสมิง","41","38","92.68","47","1","2.13"
"10847  :  โรงพยาบาลบ่อไร่","161","143","88.82","167","0","0.00"
"10848  :  โรงพยาบาลแหลมงอบ","57","0","0.00","61","49","80.33"
"10849  :  โรงพยาบาลเกาะกูด","24","0","0.00","33","0","0.00"
"13816  :  โรงพยาบาลเกาะช้าง","16","4","25.00","15","0","0.00"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0.00","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","117","110","94.02","120","0","0.00"
"10850  :  โรงพยาบาลบางคล้า","313","0","0.00","377","310","82.23"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0.00","0","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","0","0","0.00","0","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","43","0","0.00","46","29","63.04"
"10854  :  โรงพยาบาลพนมสารคาม","468","0","0.00","460","416","90.43"
"10855  :  โรงพยาบาลสนามชัยเขต","44","23","52.27","92","47","51.09"
"10856  :  โรงพยาบาลแปลงยาว","140","1","0.71","144","120","83.33"
"13747  :  โรงพยาบาลราชสาส์น","59","0","0.00","62","59","95.16"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","45","0","0.00","47","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","191","0","0.00","194","11","5.67"
"10858  :  โรงพยาบาลนาดี","132","42","31.82","134","0","0.00"
"10859  :  โรงพยาบาลบ้านสร้าง","63","0","0.00","71","58","81.69"
"10860  :  โรงพยาบาลประจันตคาม","222","0","0.00","226","1","0.44"
"10861  :  โรงพยาบาลศรีมหาโพธิ","464","45","9.70","478","295","61.72"
"10862  :  โรงพยาบาลศรีมโหสถ","311","0","0.00","314","221","70.38"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","86","0","0.00","86","0","0.00"
"10698  :  โรงพยาบาลนครนายก","415","0","0.00","490","134","27.35"
"10863  :  โรงพยาบาลปากพลี","16","0","0.00","19","16","84.21"
"10864  :  โรงพยาบาลบ้านนา","319","0","0.00","320","201","62.81"
"10865  :  โรงพยาบาลองครักษ์","315","13","4.13","316","83","26.27"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","25","1","4.00","24","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","485","0","0.00","504","452","89.68"
"10866  :  โรงพยาบาลคลองหาด","116","0","0.00","121","0","0.00"
"10867  :  โรงพยาบาลตาพระยา","101","0","0.00","120","0","0.00"
"10868  :  โรงพยาบาลวังน้ำเย็น","271","0","0.00","486","296","60.91"
"10869  :  โรงพยาบาลวัฒนานคร","200","165","82.50","227","7","3.08"
"10870  :  โรงพยาบาลอรัญประเทศ","568","0","0.00","724","681","94.06"
"13817  :  โรงพยาบาลเขาฉกรรจ์","113","0","0.00","150","0","0.00"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","173","0","0.00","176","167","94.89"
"10872  :  โรงพยาบาลเสิงสาง","288","26","9.03","284","250","88.03"
"10873  :  โรงพยาบาลคง","170","0","0.00","184","181","98.37"
"10874  :  โรงพยาบาลบ้านเหลื่อม","61","0","0.00","57","55","96.49"
"10875  :  โรงพยาบาลจักราช","0","0","0.00","0","0","0.00"
"10876  :  โรงพยาบาลโชคชัย","378","360","95.24","377","4","1.06"
"10877  :  โรงพยาบาลด่านขุนทด","0","0","0.00","0","0","0.00"
"10878  :  โรงพยาบาลโนนไทย","226","174","76.99","196","0","0.00"
"10879  :  โรงพยาบาลโนนสูง","275","1","0.36","323","99","30.65"
"10880  :  โรงพยาบาลขามสะแกแสง","170","158","92.94","171","1","0.58"
"10881  :  โรงพยาบาลบัวใหญ่","50","0","0.00","47","39","82.98"
"10882  :  โรงพยาบาลประทาย","314","1","0.32","312","254","81.41"
"10883  :  โรงพยาบาลปักธงชัย","58","0","0.00","59","56","94.92"
"10884  :  โรงพยาบาลพิมาย","295","0","0.00","297","151","50.84"
"10885  :  โรงพยาบาลห้วยแถลง","131","124","94.66","134","2","1.49"
"10886  :  โรงพยาบาลชุมพวง","262","0","0.00","263","258","98.10"
"10887  :  โรงพยาบาลสูงเนิน","387","3","0.78","384","336","87.50"
"10888  :  โรงพยาบาลขามทะเลสอ","94","13","13.83","98","77","78.57"
"10889  :  โรงพยาบาลสีคิ้ว","523","0","0.00","525","357","68.00"
"10890  :  โรงพยาบาลปากช่องนานา","533","412","77.30","536","3","0.56"
"10891  :  โรงพยาบาลหนองบุญมาก","7","0","0.00","7","5","71.43"
"10892  :  โรงพยาบาลแก้งสนามนาง","63","0","0.00","65","62","95.38"
"10893  :  โรงพยาบาลโนนแดง","131","0","0.00","131","5","3.82"
"10894  :  โรงพยาบาลวังน้ำเขียว","45","0","0.00","45","44","97.78"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0.00","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","19","0","0.00","19","19","100.00"
"11608  :  โรงพยาบาลลำทะเมนชัย","54","53","98.15","58","0","0.00"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","0","0","0.00","0","0","0.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","0","0.00","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","0","0.00","0","0","0.00"
