"โรงพยาบาล","ภาคเรียนที่ 2(ตค.-มีค.)","ภาคเรียนที่ 1(เมย.-กย.)"
"HPV1รหัส310(A1)","HPV2รหัส320(A2)","HPV1รหัส310(A1)","HPV2รหัส320(A2)"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0","0"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0","0"
"10753  :  โรงพยาบาลบางพลี","0","0","0","0"
"10754  :  โรงพยาบาลบางจาก","0","0","0","0"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","124","122","0","0"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","226","40","1","0"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0","0"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0","0"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","46","44","0","0"
"28785  :  โรงพยาบาลบางเสาธง","11","1","0","0"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0","0"
"10756  :  โรงพยาบาลบางกรวย","15","1","2","16"
"10757  :  โรงพยาบาลบางใหญ่","23","0","13","5"
"10758  :  โรงพยาบาลบางบัวทอง","187","0","0","0"
"10759  :  โรงพยาบาลไทรน้อย","134","0","0","133"
"10760  :  โรงพยาบาลปากเกร็ด","1","0","106","21"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0","0"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0","0"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0","42"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0","0"
"10761  :  โรงพยาบาลคลองหลวง","16","0","0","31"
"10762  :  โรงพยาบาลธัญบุรี","49","0","0","0"
"10763  :  โรงพยาบาลประชาธิปัตย์","0","0","0","106"
"10764  :  โรงพยาบาลหนองเสือ","52","0","0","54"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","81","0","0","81"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0","0"
"10767  :  โรงพยาบาลสามโคก","1","7","0","42"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0","0"
"10688  :  โรงพยาบาลเสนา","0","0","0","0"
"10768  :  โรงพยาบาลท่าเรือ","7","0","4","0"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","0","0","0","0"
"10770  :  โรงพยาบาลบางไทร","0","0","0","0"
"10771  :  โรงพยาบาลบางบาล","0","0","0","0"
"10772  :  โรงพยาบาลบางปะอิน","0","0","0","0"
"10773  :  โรงพยาบาลบางปะหัน","1","0","0","0"
"10774  :  โรงพยาบาลผักไห่","0","0","0","0"
"10775  :  โรงพยาบาลภาชี","58","11","0","0"
"10776  :  โรงพยาบาลลาดบัวหลวง","0","0","0","0"
"10777  :  โรงพยาบาลวังน้อย","0","0","0","0"
"10778  :  โรงพยาบาลบางซ้าย","0","0","0","0"
"10779  :  โรงพยาบาลอุทัย","0","0","0","0"
"10780  :  โรงพยาบาลมหาราช","0","0","0","0"
"10781  :  โรงพยาบาลบ้านแพรก","0","0","0","0"
"10689  :  โรงพยาบาลอ่างทอง","113","0","75","176"
"10782  :  โรงพยาบาลไชโย","6","0","0","7"
"10784  :  โรงพยาบาลป่าโมก","13","0","0","13"
"10785  :  โรงพยาบาลโพธิ์ทอง","48","0","0","51"
"10786  :  โรงพยาบาลแสวงหา","37","0","0","0"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","117","0","3","117"
"10788  :  โรงพยาบาลสามโก้","16","0","0","18"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0","0"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0","0"
"10789  :  โรงพยาบาลพัฒนานิคม","1","0","0","0"
"10790  :  โรงพยาบาลโคกสำโรง","1","0","0","0"
"10791  :  โรงพยาบาลชัยบาดาล","300","0","1","294"
"10792  :  โรงพยาบาลท่าวุ้ง","0","0","0","0"
"10793  :  โรงพยาบาลท่าหลวง","0","0","0","51"
"10794  :  โรงพยาบาลสระโบสถ์","0","0","0","8"
"10795  :  โรงพยาบาลโคกเจริญ","3","0","0","36"
"10796  :  โรงพยาบาลลำสนธิ","40","0","0","54"
"10797  :  โรงพยาบาลหนองม่วง","0","0","0","46"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0","0"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0"
"10692  :  โรงพยาบาลสิงห์บุรี","312","0","1","0"
"10693  :  โรงพยาบาลอินทร์บุรี","55","0","0","0"
"10798  :  โรงพยาบาลบางระจัน","18","0","1","0"
"10799  :  โรงพยาบาลค่ายบางระจัน","2","0","0","0"
"10800  :  โรงพยาบาลพรหมบุรี","20","0","1","0"
"10801  :  โรงพยาบาลท่าช้าง","0","0","0","0"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0","0"
"10802  :  โรงพยาบาลมโนรมย์","0","0","0","0"
"10803  :  โรงพยาบาลวัดสิงห์","0","1","0","4"
"10804  :  โรงพยาบาลสรรพยา","0","0","0","0"
"10805  :  โรงพยาบาลสรรคบุรี","0","0","0","0"
"10806  :  โรงพยาบาลหันคา","1","0","0","0"
"27974  :  โรงพยาบาลหนองมะโมง","1","0","0","0"
"27975  :  โรงพยาบาลเนินขาม","0","0","0","0"
"10661  :  โรงพยาบาลสระบุรี","0","0","0","0"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0","0"
"10807  :  โรงพยาบาลแก่งคอย","143","0","5","153"
"10808  :  โรงพยาบาลหนองแค","33","0","0","34"
"10809  :  โรงพยาบาลวิหารแดง","0","0","0","29"
"10810  :  โรงพยาบาลหนองแซง","15","0","0","14"
"10811  :  โรงพยาบาลบ้านหมอ","57","0","2","53"
"10812  :  โรงพยาบาลดอนพุด","0","0","0","0"
"10813  :  โรงพยาบาลหนองโดน","15","0","0","0"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","94","0","0","103"
"10815  :  โรงพยาบาลมวกเหล็ก","108","0","0","99"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","70","1","0","67"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0","0"
"10662  :  โรงพยาบาลชลบุรี","0","0","0","0"
"10817  :  โรงพยาบาลบ้านบึง","354","1","47","0"
"10818  :  โรงพยาบาลหนองใหญ่","0","0","0","0"
"10819  :  โรงพยาบาลบางละมุง","0","0","0","0"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","0","0","0","0"
"10821  :  โรงพยาบาลพานทอง","110","0","0","0"
"10822  :  โรงพยาบาลพนัสนิคม","423","0","0","0"
"10823  :  โรงพยาบาลแหลมฉบัง","756","69","0","0"
"10824  :  โรงพยาบาลเกาะสีชัง","0","16","14","0"
"10825  :  โรงพยาบาลสัตหีบกม10","0","0","0","0"
"10826  :  โรงพยาบาลบ่อทอง","74","0","0","0"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0","0"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0","0"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","51","0","0","0"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0","0"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0","0"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","38","0","0","62"
"28005  :  โรงพยาบาลเมืองพัทยา","2","668","2","682"
"28006  :  โรงพยาบาลเกาะจันทร์","0","0","0","0"
"10663  :  โรงพยาบาลระยอง","0","0","0","0"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","1","0","93","1"
"10828  :  โรงพยาบาลบ้านฉาง","26","0","0","0"
"10829  :  โรงพยาบาลแกลง","41","0","5","0"
"10830  :  โรงพยาบาลวังจันทร์","0","0","35","0"
"10831  :  โรงพยาบาลบ้านค่าย","34","0","1","37"
"10832  :  โรงพยาบาลปลวกแดง","22","114","32","0"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","9","0","0","0"
"23962  :  โรงพยาบาลนิคมพัฒนา","0","0","1","0"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","0","0"
"10834  :  โรงพยาบาลขลุง","0","0","0","0"
"10835  :  โรงพยาบาลท่าใหม่","0","0","0","0"
"10836  :  โรงพยาบาลเขาสุกิม","0","0","0","0"
"10837  :  โรงพยาบาลสองพี่น้อง","3","0","0","0"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","60","0","0","0"
"10839  :  โรงพยาบาลมะขาม","9","1","0","0"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0","0"
"10841  :  โรงพยาบาลสอยดาว","0","0","0","0"
"10842  :  โรงพยาบาลแก่งหางแมว","80","86","0","0"
"10843  :  โรงพยาบาลนายายอาม","51","45","0","1"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","0","70","8","0"
"10696  :  โรงพยาบาลตราด","309","0","0","0"
"10845  :  โรงพยาบาลคลองใหญ่","0","0","90","0"
"10846  :  โรงพยาบาลเขาสมิง","33","2","1","0"
"10847  :  โรงพยาบาลบ่อไร่","55","0","1","0"
"10848  :  โรงพยาบาลแหลมงอบ","0","23","23","0"
"10849  :  โรงพยาบาลเกาะกูด","0","0","0","0"
"13816  :  โรงพยาบาลเกาะช้าง","0","0","4","0"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0","0"
"10833  :  โรงพยาบาลท่าตะเกียบ","0","0","0","0"
"10850  :  โรงพยาบาลบางคล้า","184","2","0","38"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0","0"
"10852  :  โรงพยาบาลบางปะกง","0","0","0","0"
"10853  :  โรงพยาบาลบ้านโพธิ์","94","0","0","9"
"10854  :  โรงพยาบาลพนมสารคาม","71","0","0","0"
"10855  :  โรงพยาบาลสนามชัยเขต","0","0","0","0"
"10856  :  โรงพยาบาลแปลงยาว","47","0","0","0"
"13747  :  โรงพยาบาลราชสาส์น","34","0","0","33"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0","0"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","0","0","0","0"
"10857  :  โรงพยาบาลกบินทร์บุรี","0","95","0","0"
"10858  :  โรงพยาบาลนาดี","2","0","52","0"
"10859  :  โรงพยาบาลบ้านสร้าง","31","0","0","0"
"10860  :  โรงพยาบาลประจันตคาม","0","0","0","0"
"10861  :  โรงพยาบาลศรีมหาโพธิ","0","0","242","0"
"10862  :  โรงพยาบาลศรีมโหสถ","47","2","0","0"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","23","0","0","0"
"10698  :  โรงพยาบาลนครนายก","0","0","64","0"
"10863  :  โรงพยาบาลปากพลี","9","0","0","0"
"10864  :  โรงพยาบาลบ้านนา","23","0","0","0"
"10865  :  โรงพยาบาลองครักษ์","1","0","0","0"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0","0"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0","0"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","0","0","0","0"
"10866  :  โรงพยาบาลคลองหาด","60","4","0","0"
"10867  :  โรงพยาบาลตาพระยา","1","33","0","0"
"10868  :  โรงพยาบาลวังน้ำเย็น","178","22","24","0"
"10869  :  โรงพยาบาลวัฒนานคร","111","1","0","102"
"10870  :  โรงพยาบาลอรัญประเทศ","306","0","0","0"
"13817  :  โรงพยาบาลเขาฉกรรจ์","38","0","0","0"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0","0"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0","0"
"10871  :  โรงพยาบาลครบุรี","0","0","0","0"
"10872  :  โรงพยาบาลเสิงสาง","152","0","0","71"
"10873  :  โรงพยาบาลคง","0","0","0","66"
"10874  :  โรงพยาบาลบ้านเหลื่อม","17","0","0","0"
"10875  :  โรงพยาบาลจักราช","91","0","0","0"
"10876  :  โรงพยาบาลโชคชัย","3","0","0","180"
"10877  :  โรงพยาบาลด่านขุนทด","291","0","0","0"
"10878  :  โรงพยาบาลโนนไทย","0","0","0","2"
"10879  :  โรงพยาบาลโนนสูง","0","0","0","0"
"10880  :  โรงพยาบาลขามสะแกแสง","0","0","0","0"
"10881  :  โรงพยาบาลบัวใหญ่","0","0","0","0"
"10882  :  โรงพยาบาลประทาย","0","0","0","0"
"10883  :  โรงพยาบาลปักธงชัย","0","0","0","36"
"10884  :  โรงพยาบาลพิมาย","102","0","0","0"
"10885  :  โรงพยาบาลห้วยแถลง","0","166","0","0"
"10886  :  โรงพยาบาลชุมพวง","67","0","0","0"
"10887  :  โรงพยาบาลสูงเนิน","0","0","0","27"
"10888  :  โรงพยาบาลขามทะเลสอ","0","0","0","1"
"10889  :  โรงพยาบาลสีคิ้ว","0","0","0","0"
"10890  :  โรงพยาบาลปากช่องนานา","0","0","0","0"
"10891  :  โรงพยาบาลหนองบุญมาก","0","0","0","0"
"10892  :  โรงพยาบาลแก้งสนามนาง","0","0","1","26"
"10893  :  โรงพยาบาลโนนแดง","82","0","0","0"
"10894  :  โรงพยาบาลวังน้ำเขียว","0","0","0","0"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0","0"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","0","0","0","3"
"11608  :  โรงพยาบาลลำทะเมนชัย","0","0","0","0"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","0","0","0","0"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","0","0","0"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0","0"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0","0"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","0","0","5"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","38","0","0","25"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","13","0","0","0"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","0","0","0"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","0","0","0","0"
"27839  :  โรงพยาบาลบัวลาย","0","0","0","16"
"27840  :  โรงพยาบาลสีดา","0","0","0","26"
"27841  :  โรงพยาบาลเทพารักษ์","32","0","0","0"
"10667  :  โรงพยาบาลบุรีรัมย์","0","0","0","0"
"10895  :  โรงพยาบาลคูเมือง","3","150","0","0"
"10896  :  โรงพยาบาลกระสัง","6","0","0","0"
"10897  :  โรงพยาบาลนางรอง","0","0","0","0"
"10898  :  โรงพยาบาลหนองกี่","0","0","1","0"
"10899  :  โรงพยาบาลละหานทราย","1","0","0","0"
"10900  :  โรงพยาบาลประโคนชัย","0","0","5","0"
"10901  :  โรงพยาบาลบ้านกรวด","0","0","0","0"
"10902  :  โรงพยาบาลพุทไธสง","4","140","0","0"
"10904  :  โรงพยาบาลลำปลายมาศ","0","0","0","0"
"10905  :  โรงพยาบาลสตึก","218","202","0","0"
"10906  :  โรงพยาบาลปะคำ","0","0","0","0"
"10907  :  โรงพยาบาลนาโพธิ์","0","25","0","0"
"10908  :  โรงพยาบาลหนองหงส์","115","68","0","0"
"10909  :  โรงพยาบาลพลับพลาชัย","75","59","0","0"
"10910  :  โรงพยาบาลห้วยราช","0","0","0","0"
"10911  :  โรงพยาบาลโนนสุวรรณ","0","0","0","0"
"10912  :  โรงพยาบาลชำนิ","0","0","0","0"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","0","0","0","0"
"10914  :  โรงพยาบาลโนนดินแดง","0","0","0","0"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","0","0","0","0"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","0","32","0","0"
"23578  :  โรงพยาบาลแคนดง","53","48","0","0"
"28020  :  โรงพยาบาลบ้านด่าน","0","65","0","0"
"10668  :  โรงพยาบาลสุรินทร์","0","0","0","0"
"10915  :  โรงพยาบาลชุมพลบุรี","0","0","0","0"
"10916  :  โรงพยาบาลท่าตูม","1","0","0","144"
"10917  :  โรงพยาบาลจอมพระ","8","0","0","94"
"10918  :  โรงพยาบาลปราสาท","2","158","0","0"
"10919  :  โรงพยาบาลกาบเชิง","0","0","0","0"
"10920  :  โรงพยาบาลรัตนบุรี","0","0","0","0"
"10921  :  โรงพยาบาลสนม","9","0","0","0"
"10922  :  โรงพยาบาลศีขรภูมิ","1","0","0","144"
"10923  :  โรงพยาบาลสังขะ","104","0","7","65"
"10924  :  โรงพยาบาลลำดวน","41","0","0","0"
"10925  :  โรงพยาบาลสำโรงทาบ","0","0","0","0"
"10926  :  โรงพยาบาลบัวเชด","47","0","0","0"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","0","0","0","0"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","27","0","0","25"
"27842  :  โรงพยาบาลเขวาสินรินทร์","0","0","0","0"
"27843  :  โรงพยาบาลศรีณรงค์","21","0","0","0"
"27844  :  โรงพยาบาลโนนนารายณ์","0","0","0","0"
"10700  :  โรงพยาบาลศรีสะเกษ","103","0","0","0"
"10927  :  โรงพยาบาลยางชุมน้อย","77","0","0","79"
"10928  :  โรงพยาบาลกันทรารมย์","13","0","0","14"
"10929  :  โรงพยาบาลกันทรลักษ์","327","2","0","0"
"10930  :  โรงพยาบาลขุขันธ์","0","0","0","0"
"10931  :  โรงพยาบาลไพรบึง","87","0","12","0"
"10932  :  โรงพยาบาลปรางค์กู่","21","0","0","0"
"10933  :  โรงพยาบาลขุนหาญ","8","12","0","80"
"10934  :  โรงพยาบาลราษีไศล","0","2","0","0"
"10935  :  โรงพยาบาลอุทุมพรพิสัย","0","0","0","233"
"10936  :  โรงพยาบาลบึงบูรพ์","0","0","0","19"
"10937  :  โรงพยาบาลห้วยทับทัน","0","0","31","0"
"10938  :  โรงพยาบาลโนนคูณ","0","3","0","10"
"10939  :  โรงพยาบาลศรีรัตนะ","0","0","0","36"
"10940  :  โรงพยาบาลวังหิน","0","0","12","0"
"10941  :  โรงพยาบาลน้ำเกลี้ยง","1","0","0","0"
"10942  :  โรงพยาบาลภูสิงห์","0","0","0","0"
"10943  :  โรงพยาบาลเมืองจันทร์","0","0","0","0"
"23125  :  โรงพยาบาลเบญจลักษ์เฉลิมพระเกียรติ 80 พรรษา","42","0","0","0"
"28014  :  โรงพยาบาลพยุห์","0","0","3","0"
"28015  :  โรงพยาบาลโพธิ์ศรีสุวรรณ","6","0","0","0"
"28016  :  โรงพยาบาลศิลาลาด","0","0","0","20"
