"โรงพยาบาล","รวมทั้งปีงบประมาณ","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"หญิงคลอดในเขต","ได้รับวัคซีน(815)","ร้อยละ","หญิงคลอดในเขต","ได้รับวัคซีน(815)","ร้อยละ","หญิงคลอดในเขต","ได้รับวัคซีน(815)","ร้อยละ","หญิงคลอดในเขต","ได้รับวัคซีน(815)","ร้อยละ","หญิงคลอดในเขต","ได้รับวัคซีน(815)","ร้อยละ"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11592  :  โรงพยาบาลบางนา1","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11621  :  โรงพยาบาลบางไผ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11626  :  โรงพยาบาลคลองตัน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11628  :  โรงพยาบาลพระราม 9","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","6","3","50.00","0","0","0.00","1","1","100.00","3","2","66.67","2","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10754  :  โรงพยาบาลบางจาก","60","8","13.33","14","1","7.14","14","2","14.29","22","4","18.18","10","1","10.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","39","20","51.28","14","8","57.14","10","7","70.00","9","3","33.33","6","2","33.33"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","62","10","16.13","14","3","21.43","16","2","12.50","17","1","5.88","15","4","26.67"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","22","4","18.18","6","0","0.00","5","1","20.00","10","2","20.00","1","1","100.00"
"28785  :  โรงพยาบาลบางเสาธง","8","6","75.00","3","2","66.67","1","1","100.00","1","1","100.00","3","2","66.67"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","10","6","60.00","4","3","75.00","2","1","50.00","2","0","0.00","2","2","100.00"
"10757  :  โรงพยาบาลบางใหญ่","10","3","30.00","1","1","100.00","2","0","0.00","1","0","0.00","6","2","33.33"
"10758  :  โรงพยาบาลบางบัวทอง","15","6","40.00","4","1","25.00","5","2","40.00","3","1","33.33","3","2","66.67"
"10759  :  โรงพยาบาลไทรน้อย","64","37","57.81","17","13","76.47","14","10","71.43","19","7","36.84","14","7","50.00"
"10760  :  โรงพยาบาลปากเกร็ด","28","6","21.43","11","3","27.27","6","1","16.67","7","2","28.57","4","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","2","1","50.00","1","0","0.00","1","1","100.00","0","0","0.00","0","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","5","0","0.00","0","0","0.00","1","0","0.00","1","0","0.00","3","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","10","2","20.00","7","1","14.29","1","0","0.00","1","0","0.00","1","1","100.00"
"10762  :  โรงพยาบาลธัญบุรี","19","2","10.53","6","1","16.67","3","0","0.00","5","0","0.00","5","1","20.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","5","4","80.00","0","0","0.00","0","0","0.00","2","2","100.00","3","2","66.67"
"10764  :  โรงพยาบาลหนองเสือ","18","10","55.56","8","5","62.50","5","2","40.00","3","2","66.67","2","1","50.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","13","5","38.46","3","1","33.33","7","3","42.86","2","1","50.00","1","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10767  :  โรงพยาบาลสามโคก","11","1","9.09","2","1","50.00","2","0","0.00","3","0","0.00","4","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","30","2","6.67","10","1","10.00","6","0","0.00","6","1","16.67","8","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","10","0","0.00","4","0","0.00","2","0","0.00","4","0","0.00","0","0","0.00"
"10770  :  โรงพยาบาลบางไทร","16","3","18.75","3","2","66.67","2","0","0.00","7","1","14.29","4","0","0.00"
"10771  :  โรงพยาบาลบางบาล","5","0","0.00","0","0","0.00","2","0","0.00","1","0","0.00","2","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","23","4","17.39","7","3","42.86","3","1","33.33","4","0","0.00","9","0","0.00"
"10773  :  โรงพยาบาลบางปะหัน","6","1","16.67","2","1","50.00","1","0","0.00","1","0","0.00","2","0","0.00"
"10774  :  โรงพยาบาลผักไห่","6","1","16.67","2","0","0.00","2","0","0.00","1","0","0.00","1","1","100.00"
"10775  :  โรงพยาบาลภาชี","21","2","9.52","7","1","14.29","3","0","0.00","5","1","20.00","6","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","14","5","35.71","4","1","25.00","5","2","40.00","2","1","50.00","3","1","33.33"
"10777  :  โรงพยาบาลวังน้อย","32","9","28.13","7","1","14.29","15","7","46.67","3","0","0.00","7","1","14.29"
"10778  :  โรงพยาบาลบางซ้าย","21","1","4.76","8","0","0.00","4","0","0.00","4","0","0.00","5","1","20.00"
"10779  :  โรงพยาบาลอุทัย","5","1","20.00","1","0","0.00","2","0","0.00","1","0","0.00","1","1","100.00"
"10780  :  โรงพยาบาลมหาราช","2","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","2","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","3","0","0.00","2","0","0.00","0","0","0.00","1","0","0.00","0","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","5","2","40.00","1","0","0.00","4","2","50.00","0","0","0.00","0","0","0.00"
"10782  :  โรงพยาบาลไชโย","3","1","33.33","1","1","100.00","0","0","0.00","0","0","0.00","2","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","16","5","31.25","2","2","100.00","3","0","0.00","7","1","14.29","4","2","50.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","15","8","53.33","5","4","80.00","3","2","66.67","3","1","33.33","4","1","25.00"
"10786  :  โรงพยาบาลแสวงหา","28","0","0.00","6","0","0.00","8","0","0.00","6","0","0.00","8","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","30","9","30.00","2","1","50.00","9","2","22.22","5","4","80.00","14","2","14.29"
"10788  :  โรงพยาบาลสามโก้","4","1","25.00","1","0","0.00","0","0","0.00","0","0","0.00","3","1","33.33"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","2","2","100.00","1","1","100.00","1","1","100.00","0","0","0.00","0","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","31","17","54.84","6","2","33.33","9","7","77.78","9","5","55.56","7","3","42.86"
"10790  :  โรงพยาบาลโคกสำโรง","49","22","44.90","15","6","40.00","7","3","42.86","15","7","46.67","12","6","50.00"
"10791  :  โรงพยาบาลชัยบาดาล","47","19","40.43","14","9","64.29","10","1","10.00","15","5","33.33","8","4","50.00"
"10792  :  โรงพยาบาลท่าวุ้ง","15","7","46.67","5","3","60.00","1","0","0.00","4","0","0.00","5","4","80.00"
"10793  :  โรงพยาบาลท่าหลวง","21","4","19.05","7","1","14.29","8","1","12.50","1","0","0.00","5","2","40.00"
"10794  :  โรงพยาบาลสระโบสถ์","38","5","13.16","11","2","18.18","6","1","16.67","7","0","0.00","14","2","14.29"
"10795  :  โรงพยาบาลโคกเจริญ","20","9","45.00","8","3","37.50","2","2","100.00","5","2","40.00","5","2","40.00"
"10796  :  โรงพยาบาลลำสนธิ","20","13","65.00","8","6","75.00","5","2","40.00","5","3","60.00","2","2","100.00"
"10797  :  โรงพยาบาลหนองม่วง","16","1","6.25","4","0","0.00","4","0","0.00","3","1","33.33","5","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","20","10","50.00","5","2","40.00","5","3","60.00","7","3","42.86","3","2","66.67"
"10693  :  โรงพยาบาลอินทร์บุรี","8","2","25.00","2","1","50.00","1","0","0.00","4","1","25.00","1","0","0.00"
"10798  :  โรงพยาบาลบางระจัน","18","5","27.78","8","3","37.50","3","1","33.33","4","1","25.00","3","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","31","10","32.26","7","4","57.14","6","2","33.33","6","1","16.67","12","3","25.00"
"10800  :  โรงพยาบาลพรหมบุรี","18","5","27.78","3","2","66.67","5","2","40.00","4","1","25.00","6","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","10","3","30.00","2","0","0.00","3","1","33.33","2","2","100.00","3","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","33","21","63.64","12","9","75.00","3","2","66.67","7","3","42.86","11","7","63.64"
"10803  :  โรงพยาบาลวัดสิงห์","19","11","57.89","6","4","66.67","3","1","33.33","3","1","33.33","7","5","71.43"
"10804  :  โรงพยาบาลสรรพยา","8","3","37.50","4","1","25.00","4","2","50.00","0","0","0.00","0","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","20","12","60.00","5","3","60.00","7","5","71.43","4","2","50.00","4","2","50.00"
"10806  :  โรงพยาบาลหันคา","17","5","29.41","5","0","0.00","2","0","0.00","4","4","100.00","6","1","16.67"
"27974  :  โรงพยาบาลหนองมะโมง","5","3","60.00","1","0","0.00","3","3","100.00","0","0","0.00","1","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","77","18","23.38","24","3","12.50","17","4","23.53","18","5","27.78","18","6","33.33"
"10808  :  โรงพยาบาลหนองแค","11","3","27.27","2","0","0.00","2","0","0.00","6","3","50.00","1","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","19","4","21.05","7","2","28.57","2","0","0.00","7","2","28.57","3","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","36","19","52.78","10","4","40.00","10","4","40.00","8","5","62.50","8","6","75.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","28","4","14.29","8","3","37.50","10","1","10.00","6","0","0.00","4","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","10","7","70.00","2","2","100.00","2","2","100.00","4","2","50.00","2","1","50.00"
"10815  :  โรงพยาบาลมวกเหล็ก","29","17","58.62","7","3","42.86","5","3","60.00","6","5","83.33","11","6","54.55"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","9","7","77.78","5","4","80.00","0","0","0.00","1","1","100.00","3","2","66.67"
"11485  :  โรงพยาบาลค่ายอดิศร","14","0","0.00","1","0","0.00","4","0","0.00","1","0","0.00","8","0","0.00"
