"โรงพยาบาล","รวมทั้งปีงบประมาณ","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"D","A","B","C","A+C","ร้อยละ","D","A","B","C","A+C","ร้อยละ","D","A","B","C","A+C","ร้อยละ","D","A","B","C","A+C","ร้อยละ","D","A","B","C","A+C","ร้อยละ"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","1","0","0","0","0","0.00","0","0","0","0","0","0.00","1","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","60","27","1","0","27","45.00","9","4","0","0","4","44.44","16","7","0","0","7","43.75","18","6","1","0","6","33.33","17","10","0","0","10","58.82"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","518","252","1","6","258","49.81","140","69","1","3","72","51.43","144","67","0","2","69","47.92","113","65","0","0","65","57.52","121","51","0","1","52","42.98"
"10761  :  โรงพยาบาลคลองหลวง","23","4","0","0","4","17.39","5","0","0","0","0","0.00","7","4","0","0","4","57.14","4","0","0","0","0","0.00","7","0","0","0","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","26","8","0","0","8","30.77","7","0","0","0","0","0.00","8","3","0","0","3","37.50","6","3","0","0","3","50.00","5","2","0","0","2","40.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","34","3","0","0","3","8.82","13","0","0","0","0","0.00","10","1","0","0","1","10.00","7","1","0","0","1","14.29","4","1","0","0","1","25.00"
"10764  :  โรงพยาบาลหนองเสือ","28","3","0","3","6","21.43","6","1","0","2","3","50.00","6","0","0","1","1","16.67","10","0","0","0","0","0.00","6","2","0","0","2","33.33"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","12","1","0","1","2","16.67","7","1","0","1","2","28.57","3","0","0","0","0","0.00","1","0","0","0","0","0.00","1","0","0","0","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","29","12","0","0","12","41.38","11","7","0","0","7","63.64","10","2","0","0","2","20.00","3","2","0","0","2","66.67","5","1","0","0","1","20.00"
"10767  :  โรงพยาบาลสามโคก","7","1","0","0","1","14.29","3","1","0","0","1","33.33","1","0","0","0","0","0.00","1","0","0","0","0","0.00","2","0","0","0","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","254","159","0","4","163","64.17","110","64","0","0","64","58.18","63","48","0","3","51","80.95","37","22","0","0","22","59.46","44","25","0","1","26","59.09"
"10688  :  โรงพยาบาลเสนา","100","53","0","0","53","53.00","18","12","0","0","12","66.67","40","17","0","0","17","42.50","24","13","0","0","13","54.17","18","11","0","0","11","61.11"
"10768  :  โรงพยาบาลท่าเรือ","3","0","0","0","0","0.00","0","0","0","0","0","0.00","1","0","0","0","0","0.00","1","0","0","0","0","0.00","1","0","0","0","0","0.00"
