"โรงพยาบาล","B","A","อัตราต่อพัน"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","6,930","44","6.35"
"10752  :  โรงพยาบาลบางบ่อ","729","2","2.74"
"10753  :  โรงพยาบาลบางพลี","2,028","15","7.40"
"10754  :  โรงพยาบาลบางจาก","821","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","438","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","0","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","0","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","3,618","26","7.19"
"10756  :  โรงพยาบาลบางกรวย","234","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","296","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","687","0","0.00"
"10759  :  โรงพยาบาลไทรน้อย","128","0","0.00"
"10760  :  โรงพยาบาลปากเกร็ด","426","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","2,932","5","1.71"
"10761  :  โรงพยาบาลคลองหลวง","95","2","21.05"
"10762  :  โรงพยาบาลธัญบุรี","219","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","106","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","103","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","111","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","379","0","0.00"
"10767  :  โรงพยาบาลสามโคก","82","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","5,398","36","6.67"
"10688  :  โรงพยาบาลเสนา","1,211","6","4.95"
"10768  :  โรงพยาบาลท่าเรือ","127","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","60","0","0.00"
"10770  :  โรงพยาบาลบางไทร","65","0","0.00"
"10771  :  โรงพยาบาลบางบาล","7","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","320","0","0.00"
"10773  :  โรงพยาบาลบางปะหัน","90","0","0.00"
"10774  :  โรงพยาบาลผักไห่","70","0","0.00"
"10775  :  โรงพยาบาลภาชี","128","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","88","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","218","0","0.00"
"10778  :  โรงพยาบาลบางซ้าย","2","0","0.00"
"10779  :  โรงพยาบาลอุทัย","121","0","0.00"
"10780  :  โรงพยาบาลมหาราช","24","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","0","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","1,117","0","0.00"
"10782  :  โรงพยาบาลไชโย","18","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","87","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","111","0","0.00"
"10786  :  โรงพยาบาลแสวงหา","78","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","335","0","0.00"
"10788  :  โรงพยาบาลสามโก้","23","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","1,432","14","9.78"
"10691  :  โรงพยาบาลบ้านหมี่","888","1","1.13"
"10789  :  โรงพยาบาลพัฒนานิคม","228","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","284","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","965","4","4.15"
"10792  :  โรงพยาบาลท่าวุ้ง","66","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","108","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","27","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","57","0","0.00"
"10796  :  โรงพยาบาลลำสนธิ","115","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","34","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","609","8","13.14"
"10693  :  โรงพยาบาลอินทร์บุรี","588","2","3.40"
"10798  :  โรงพยาบาลบางระจัน","24","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","33","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","8","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","20","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","1,091","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","47","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","57","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","46","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","26","0","0.00"
"10806  :  โรงพยาบาลหันคา","101","0","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","0","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","1,252","10","7.99"
"10695  :  โรงพยาบาลพระพุทธบาท","975","2","2.05"
"10807  :  โรงพยาบาลแก่งคอย","185","0","0.00"
"10808  :  โรงพยาบาลหนองแค","201","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","110","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","5","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","111","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","5","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","0","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","87","0","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","245","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","67","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","879","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","1,824","3","1.64"
"10818  :  โรงพยาบาลหนองใหญ่","306","0","0.00"
"10819  :  โรงพยาบาลบางละมุง","399","4","10.03"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","154","0","0.00"
"10821  :  โรงพยาบาลพานทอง","612","0","0.00"
"10822  :  โรงพยาบาลพนัสนิคม","1,758","1","0.57"
"10823  :  โรงพยาบาลแหลมฉบัง","1,484","2","1.35"
"10824  :  โรงพยาบาลเกาะสีชัง","18","0","0.00"
"10825  :  โรงพยาบาลสัตหีบกม10","119","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","502","0","0.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","0","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","0","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","0","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","3","0","0.00"
"10663  :  โรงพยาบาลระยอง","5,996","77","12.84"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","527","1","1.90"
"10828  :  โรงพยาบาลบ้านฉาง","25","0","0.00"
"10829  :  โรงพยาบาลแกลง","1,290","2","1.55"
"10830  :  โรงพยาบาลวังจันทร์","336","0","0.00"
"10831  :  โรงพยาบาลบ้านค่าย","218","2","9.17"
"10832  :  โรงพยาบาลปลวกแดง","220","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","1","1","1,000.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","0","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","1,385","0","0.00"
"10834  :  โรงพยาบาลขลุง","95","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","20","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","71","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","82","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","271","0","0.00"
"10839  :  โรงพยาบาลมะขาม","118","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","38","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","331","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","332","1","3.01"
"10843  :  โรงพยาบาลนายายอาม","127","0","0.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","137","0","0.00"
"10696  :  โรงพยาบาลตราด","1,788","13","7.27"
"10845  :  โรงพยาบาลคลองใหญ่","202","0","0.00"
"10846  :  โรงพยาบาลเขาสมิง","164","0","0.00"
"10847  :  โรงพยาบาลบ่อไร่","167","0","0.00"
"10848  :  โรงพยาบาลแหลมงอบ","60","0","0.00"
"10849  :  โรงพยาบาลเกาะกูด","6","0","0.00"
"13816  :  โรงพยาบาลเกาะช้าง","164","0","0.00"
"10697  :  โรงพยาบาลพุทธโสธร","596","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","218","0","0.00"
"10850  :  โรงพยาบาลบางคล้า","174","0","0.00"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","667","1","1.50"
"10852  :  โรงพยาบาลบางปะกง","1,120","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","247","0","0.00"
"10854  :  โรงพยาบาลพนมสารคาม","1,119","0","0.00"
"10855  :  โรงพยาบาลสนามชัยเขต","844","0","0.00"
"10856  :  โรงพยาบาลแปลงยาว","327","0","0.00"
"13747  :  โรงพยาบาลราชสาส์น","14","0","0.00"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","700","7","10.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","1,025","0","0.00"
"10858  :  โรงพยาบาลนาดี","163","0","0.00"
"10859  :  โรงพยาบาลบ้านสร้าง","70","0","0.00"
"10860  :  โรงพยาบาลประจันตคาม","141","0","0.00"
"10861  :  โรงพยาบาลศรีมหาโพธิ","115","0","0.00"
"10862  :  โรงพยาบาลศรีมโหสถ","88","0","0.00"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","0","0","0.00"
"10698  :  โรงพยาบาลนครนายก","1,751","4","2.28"
"10863  :  โรงพยาบาลปากพลี","11","0","0.00"
"10864  :  โรงพยาบาลบ้านนา","211","0","0.00"
"10865  :  โรงพยาบาลองครักษ์","146","0","0.00"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","2,705","27","9.98"
"10866  :  โรงพยาบาลคลองหาด","303","0","0.00"
"10867  :  โรงพยาบาลตาพระยา","191","0","0.00"
"10868  :  โรงพยาบาลวังน้ำเย็น","664","0","0.00"
"10869  :  โรงพยาบาลวัฒนานคร","294","0","0.00"
"10870  :  โรงพยาบาลอรัญประเทศ","632","1","1.58"
"13817  :  โรงพยาบาลเขาฉกรรจ์","107","0","0.00"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","0","0","0.00"
"10872  :  โรงพยาบาลเสิงสาง","0","0","0.00"
"10873  :  โรงพยาบาลคง","0","0","0.00"
"10874  :  โรงพยาบาลบ้านเหลื่อม","0","0","0.00"
"10875  :  โรงพยาบาลจักราช","0","0","0.00"
"10876  :  โรงพยาบาลโชคชัย","0","0","0.00"
"10877  :  โรงพยาบาลด่านขุนทด","0","0","0.00"
"10878  :  โรงพยาบาลโนนไทย","0","0","0.00"
"10879  :  โรงพยาบาลโนนสูง","0","0","0.00"
"10880  :  โรงพยาบาลขามสะแกแสง","0","0","0.00"
"10881  :  โรงพยาบาลบัวใหญ่","0","0","0.00"
"10882  :  โรงพยาบาลประทาย","0","0","0.00"
"10883  :  โรงพยาบาลปักธงชัย","0","0","0.00"
"10884  :  โรงพยาบาลพิมาย","0","0","0.00"
"10885  :  โรงพยาบาลห้วยแถลง","0","0","0.00"
"10886  :  โรงพยาบาลชุมพวง","0","0","0.00"
"10887  :  โรงพยาบาลสูงเนิน","0","0","0.00"
"10888  :  โรงพยาบาลขามทะเลสอ","0","0","0.00"
"10889  :  โรงพยาบาลสีคิ้ว","0","0","0.00"
"10890  :  โรงพยาบาลปากช่องนานา","0","0","0.00"
"10891  :  โรงพยาบาลหนองบุญมาก","0","0","0.00"
"10892  :  โรงพยาบาลแก้งสนามนาง","0","0","0.00"
"10893  :  โรงพยาบาลโนนแดง","0","0","0.00"
"10894  :  โรงพยาบาลวังน้ำเขียว","0","0","0.00"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","0","0","0.00"
"11608  :  โรงพยาบาลลำทะเมนชัย","0","0","0.00"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","0","0","0.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","0","0.00"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","0","0","0.00"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","0","0","0.00"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","0","0.00"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","0","0","0.00"
"27839  :  โรงพยาบาลบัวลาย","0","0","0.00"
"27840  :  โรงพยาบาลสีดา","0","0","0.00"
"27841  :  โรงพยาบาลเทพารักษ์","0","0","0.00"
"10667  :  โรงพยาบาลบุรีรัมย์","6,346","28","4.41"
"10895  :  โรงพยาบาลคูเมือง","277","0","0.00"
"10896  :  โรงพยาบาลกระสัง","433","0","0.00"
"10897  :  โรงพยาบาลนางรอง","1,815","1","0.55"
"10898  :  โรงพยาบาลหนองกี่","201","0","0.00"
"10899  :  โรงพยาบาลละหานทราย","743","1","1.35"
"10900  :  โรงพยาบาลประโคนชัย","402","0","0.00"
"10901  :  โรงพยาบาลบ้านกรวด","292","0","0.00"
"10902  :  โรงพยาบาลพุทไธสง","170","0","0.00"
"10904  :  โรงพยาบาลลำปลายมาศ","1,024","0","0.00"
"10905  :  โรงพยาบาลสตึก","418","0","0.00"
"10906  :  โรงพยาบาลปะคำ","146","0","0.00"
"10907  :  โรงพยาบาลนาโพธิ์","72","0","0.00"
"10908  :  โรงพยาบาลหนองหงส์","112","0","0.00"
"10909  :  โรงพยาบาลพลับพลาชัย","167","0","0.00"
"10910  :  โรงพยาบาลห้วยราช","71","0","0.00"
"10911  :  โรงพยาบาลโนนสุวรรณ","9","1","111.11"
"10912  :  โรงพยาบาลชำนิ","44","0","0.00"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","86","0","0.00"
"10914  :  โรงพยาบาลโนนดินแดง","115","0","0.00"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","0","0","0.00"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","49","0","0.00"
"23578  :  โรงพยาบาลแคนดง","0","0","0.00"
"28020  :  โรงพยาบาลบ้านด่าน","0","0","0.00"
"10668  :  โรงพยาบาลสุรินทร์","5,756","44","7.64"
"10915  :  โรงพยาบาลชุมพลบุรี","129","0","0.00"
"10916  :  โรงพยาบาลท่าตูม","871","1","1.15"
"10917  :  โรงพยาบาลจอมพระ","179","0","0.00"
"10918  :  โรงพยาบาลปราสาท","1,908","2","1.05"
"10919  :  โรงพยาบาลกาบเชิง","355","0","0.00"
"10920  :  โรงพยาบาลรัตนบุรี","877","0","0.00"
"10921  :  โรงพยาบาลสนม","151","0","0.00"
"10922  :  โรงพยาบาลศีขรภูมิ","585","1","1.71"
"10923  :  โรงพยาบาลสังขะ","782","0","0.00"
"10924  :  โรงพยาบาลลำดวน","487","0","0.00"
"10925  :  โรงพยาบาลสำโรงทาบ","197","0","0.00"
"10926  :  โรงพยาบาลบัวเชด","234","0","0.00"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","0","0","0.00"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","60","0","0.00"
"27842  :  โรงพยาบาลเขวาสินรินทร์","0","0","0.00"
"27843  :  โรงพยาบาลศรีณรงค์","0","0","0.00"
"27844  :  โรงพยาบาลโนนนารายณ์","0","0","0.00"
"10700  :  โรงพยาบาลศรีสะเกษ","4,215","40","9.49"
"10927  :  โรงพยาบาลยางชุมน้อย","70","0","0.00"
"10928  :  โรงพยาบาลกันทรารมย์","307","0","0.00"
"10929  :  โรงพยาบาลกันทรลักษ์","1,154","3","2.60"
"10930  :  โรงพยาบาลขุขันธ์","635","0","0.00"
"10931  :  โรงพยาบาลไพรบึง","209","0","0.00"
"10932  :  โรงพยาบาลปรางค์กู่","243","0","0.00"
"10933  :  โรงพยาบาลขุนหาญ","754","0","0.00"
"10934  :  โรงพยาบาลราษีไศล","810","0","0.00"
"10935  :  โรงพยาบาลอุทุมพรพิสัย","423","0","0.00"
"10936  :  โรงพยาบาลบึงบูรพ์","39","0","0.00"
"10937  :  โรงพยาบาลห้วยทับทัน","146","0","0.00"
"10938  :  โรงพยาบาลโนนคูณ","70","0","0.00"
"10939  :  โรงพยาบาลศรีรัตนะ","302","0","0.00"
"10940  :  โรงพยาบาลวังหิน","82","0","0.00"
"10941  :  โรงพยาบาลน้ำเกลี้ยง","184","0","0.00"
"10942  :  โรงพยาบาลภูสิงห์","309","0","0.00"
"10943  :  โรงพยาบาลเมืองจันทร์","8","0","0.00"
"23125  :  โรงพยาบาลเบญจลักษ์เฉลิมพระเกียรติ 80 พรรษา","5","0","0.00"
"28014  :  โรงพยาบาลพยุห์","0","0","0.00"
"28015  :  โรงพยาบาลโพธิ์ศรีสุวรรณ","0","0","0.00"
"28016  :  โรงพยาบาลศิลาลาด","0","0","0.00"
"10669  :  โรงพยาบาลสรรพสิทธิประสงค์","3,651","93","25.47"
"10944  :  โรงพยาบาลศรีเมืองใหม่","66","0","0.00"
"10945  :  โรงพยาบาลโขงเจียม","64","0","0.00"
"10946  :  โรงพยาบาลเขื่องใน","28","0","0.00"
