"โรงพยาบาล","รวมทั้งปีงบประมาณ","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"D","A","B","C","A+C","ร้อยละ","D","A","B","C","A+C","ร้อยละ","D","A","B","C","A+C","ร้อยละ","D","A","B","C","A+C","ร้อยละ","D","A","B","C","A+C","ร้อยละ"
"12249  :  สถาบันโรคผิวหนัง","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"12439  :  สถาบันประสาทวิทยา","7","2","0","0","2","28.57","4","1","0","0","1","25.00","3","1","0","0","1","33.33","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","12","7","0","0","7","58.33","5","4","0","0","4","80.00","5","2","0","0","2","40.00","2","1","0","0","1","50.00","0","0","0","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","51","31","0","0","31","60.78","25","14","0","0","14","56.00","22","16","0","0","16","72.73","4","1","0","0","1","25.00","0","0","0","0","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","15","9","0","0","9","60.00","5","3","0","0","3","60.00","7","4","0","0","4","57.14","3","2","0","0","2","66.67","0","0","0","0","0","0.00"
"10753  :  โรงพยาบาลบางพลี","56","32","0","0","32","57.14","28","15","0","0","15","53.57","28","17","0","0","17","60.71","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"10754  :  โรงพยาบาลบางจาก","12","4","0","0","4","33.33","4","1","0","0","1","25.00","7","2","0","0","2","28.57","1","1","0","0","1","100.00","0","0","0","0","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","64","16","0","3","19","29.69","17","5","0","1","6","35.29","26","7","0","1","8","30.77","21","4","0","1","5","23.81","0","0","0","0","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","2","2","0","0","2","100.00","0","0","0","0","0","0.00","2","2","0","0","2","100.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","5","5","0","0","5","100.00","2","2","0","0","2","100.00","0","0","0","0","0","0.00","3","3","0","0","3","100.00","0","0","0","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","2","0","0","0","0","0.00","0","0","0","0","0","0.00","1","0","0","0","0","0.00","1","0","0","0","0","0.00","0","0","0","0","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","251","179","0","0","179","71.31","115","77","0","0","77","66.96","103","74","0","0","74","71.84","33","28","0","0","28","84.85","0","0","0","0","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","4","4","0","0","4","100.00","4","4","0","0","4","100.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","60","27","0","0","27","45.00","26","10","0","0","10","38.46","29","16","0","0","16","55.17","5","1","0","0","1","20.00","0","0","0","0","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","16","5","0","0","5","31.25","4","4","0","0","4","100.00","10","1","0","0","1","10.00","2","0","0","0","0","0.00","0","0","0","0","0","0.00"
"10759  :  โรงพยาบาลไทรน้อย","14","0","0","0","0","0.00","8","0","0","0","0","0.00","2","0","0","0","0","0.00","4","0","0","0","0","0.00","0","0","0","0","0","0.00"
"10760  :  โรงพยาบาลปากเกร็ด","20","4","0","1","5","25.00","10","4","0","0","4","40.00","8","0","0","1","1","12.50","2","0","0","0","0","0.00","0","0","0","0","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","8","2","0","0","2","25.00","8","2","0","0","2","25.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","62","31","0","1","32","51.61","27","13","0","1","14","51.85","28","15","0","0","15","53.57","7","3","0","0","3","42.86","0","0","0","0","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","219","133","1","0","133","60.73","99","60","1","0","60","60.61","113","69","0","0","69","61.06","7","4","0","0","4","57.14","0","0","0","0","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","34","12","0","1","13","38.24","15","4","0","0","4","26.67","15","5","0","1","6","40.00","4","3","0","0","3","75.00","0","0","0","0","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","13","4","0","0","4","30.77","8","3","0","0","3","37.50","4","0","0","0","0","0.00","1","1","0","0","1","100.00","0","0","0","0","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","10","2","0","0","2","20.00","5","1","0","0","1","20.00","5","1","0","0","1","20.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","6","1","0","0","1","16.67","4","1","0","0","1","25.00","1","0","0","0","0","0.00","1","0","0","0","0","0.00","0","0","0","0","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","10","4","0","0","4","40.00","3","2","0","0","2","66.67","6","2","0","0","2","33.33","1","0","0","0","0","0.00","0","0","0","0","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","14","5","0","0","5","35.71","6","2","0","0","2","33.33","7","3","0","0","3","42.86","1","0","0","0","0","0.00","0","0","0","0","0","0.00"
"10767  :  โรงพยาบาลสามโคก","5","2","0","0","2","40.00","0","0","0","0","0","0.00","4","2","0","0","2","50.00","1","0","0","0","0","0.00","0","0","0","0","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","2","0","0","0","0","0.00","2","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","41","25","0","1","26","63.41","14","7","0","1","8","57.14","25","17","0","0","17","68.00","2","1","0","0","1","50.00","0","0","0","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","35","20","0","1","21","60.00","13","10","0","0","10","76.92","19","9","0","1","10","52.63","3","1","0","0","1","33.33","0","0","0","0","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","11","6","0","1","7","63.64","9","5","0","0","5","55.56","2","1","0","1","2","100.00","0","0","0","0","0","0.00","0","0","0","0","0","0.00"
