"โรงพยาบาล","B","A","อัตราต่อพัน"
"10759  :  โรงพยาบาลไทรน้อย","64","0","0.00"
"10760  :  โรงพยาบาลปากเกร็ด","243","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","1","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","1,598","9","5.63"
"10761  :  โรงพยาบาลคลองหลวง","96","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","283","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","19","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","17","1","58.82"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","16","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","107","0","0.00"
"10767  :  โรงพยาบาลสามโคก","3","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","1,844","11","5.97"
"10688  :  โรงพยาบาลเสนา","564","2","3.55"
"10768  :  โรงพยาบาลท่าเรือ","21","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","25","0","0.00"
"10770  :  โรงพยาบาลบางไทร","3","0","0.00"
"10771  :  โรงพยาบาลบางบาล","0","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","325","0","0.00"
"10773  :  โรงพยาบาลบางปะหัน","18","0","0.00"
"10774  :  โรงพยาบาลผักไห่","20","0","0.00"
"10775  :  โรงพยาบาลภาชี","18","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","0","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","67","1","14.93"
"10778  :  โรงพยาบาลบางซ้าย","0","0","0.00"
"10779  :  โรงพยาบาลอุทัย","2","0","0.00"
"10780  :  โรงพยาบาลมหาราช","0","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","0","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","803","1","1.25"
"10782  :  โรงพยาบาลไชโย","0","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","0","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","1","0","0.00"
"10786  :  โรงพยาบาลแสวงหา","0","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","73","0","0.00"
"10788  :  โรงพยาบาลสามโก้","0","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","1,089","3","2.75"
"10691  :  โรงพยาบาลบ้านหมี่","325","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","89","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","247","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","443","0","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","2","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","41","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","2","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","0","0","0.00"
"10796  :  โรงพยาบาลลำสนธิ","36","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","2","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","566","2","3.53"
"10693  :  โรงพยาบาลอินทร์บุรี","224","2","8.93"
"10798  :  โรงพยาบาลบางระจัน","0","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","0","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","1","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","1","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","729","3","4.12"
"10802  :  โรงพยาบาลมโนรมย์","0","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","7","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","0","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","0","0","0.00"
"10806  :  โรงพยาบาลหันคา","7","0","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","1","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","2,035","6","2.95"
"10695  :  โรงพยาบาลพระพุทธบาท","629","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","16","0","0.00"
"10808  :  โรงพยาบาลหนองแค","79","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","35","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","0","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","4","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","0","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","0","0","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","53","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","4","1","250.00"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","2,324","27","11.62"
"10817  :  โรงพยาบาลบ้านบึง","1,058","2","1.89"
"10818  :  โรงพยาบาลหนองใหญ่","138","0","0.00"
"10819  :  โรงพยาบาลบางละมุง","1,603","6","3.74"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","7","0","0.00"
"10821  :  โรงพยาบาลพานทอง","239","0","0.00"
"10822  :  โรงพยาบาลพนัสนิคม","1,199","2","1.67"
"10823  :  โรงพยาบาลแหลมฉบัง","592","1","1.69"
"10824  :  โรงพยาบาลเกาะสีชัง","1","0","0.00"
"10825  :  โรงพยาบาลสัตหีบกม10","75","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","213","1","4.69"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","0","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","0","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","0","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","3","0","0.00"
"10663  :  โรงพยาบาลระยอง","2,301","18","7.82"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","785","0","0.00"
"10828  :  โรงพยาบาลบ้านฉาง","80","0","0.00"
"10829  :  โรงพยาบาลแกลง","773","1","1.29"
"10830  :  โรงพยาบาลวังจันทร์","78","0","0.00"
"10831  :  โรงพยาบาลบ้านค่าย","99","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","144","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","0","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","1","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","1,773","12","6.77"
"10834  :  โรงพยาบาลขลุง","39","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","28","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","25","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","35","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","196","0","0.00"
"10839  :  โรงพยาบาลมะขาม","42","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","27","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","124","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","83","0","0.00"
"10843  :  โรงพยาบาลนายายอาม","77","0","0.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","10","0","0.00"
"10696  :  โรงพยาบาลตราด","963","7","7.27"
"10845  :  โรงพยาบาลคลองใหญ่","32","0","0.00"
"10846  :  โรงพยาบาลเขาสมิง","4","0","0.00"
"10847  :  โรงพยาบาลบ่อไร่","18","0","0.00"
"10848  :  โรงพยาบาลแหลมงอบ","2","1","500.00"
"10849  :  โรงพยาบาลเกาะกูด","0","0","0.00"
"13816  :  โรงพยาบาลเกาะช้าง","1","0","0.00"
"10697  :  โรงพยาบาลพุทธโสธร","1,536","10","6.51"
"10833  :  โรงพยาบาลท่าตะเกียบ","134","0","0.00"
"10850  :  โรงพยาบาลบางคล้า","35","0","0.00"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","216","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","185","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","42","1","23.81"
"10854  :  โรงพยาบาลพนมสารคาม","543","0","0.00"
"10855  :  โรงพยาบาลสนามชัยเขต","129","1","7.75"
"10856  :  โรงพยาบาลแปลงยาว","157","0","0.00"
"13747  :  โรงพยาบาลราชสาส์น","7","0","0.00"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","1,292","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","369","2","5.42"
"10858  :  โรงพยาบาลนาดี","38","0","0.00"
"10859  :  โรงพยาบาลบ้านสร้าง","12","0","0.00"
"10860  :  โรงพยาบาลประจันตคาม","25","0","0.00"
"10861  :  โรงพยาบาลศรีมหาโพธิ","56","0","0.00"
"10862  :  โรงพยาบาลศรีมโหสถ","4","0","0.00"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","0","0","0.00"
"10698  :  โรงพยาบาลนครนายก","871","0","0.00"
"10863  :  โรงพยาบาลปากพลี","0","0","0.00"
"10864  :  โรงพยาบาลบ้านนา","2","0","0.00"
"10865  :  โรงพยาบาลองครักษ์","0","0","0.00"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","1,205","19","15.77"
"10866  :  โรงพยาบาลคลองหาด","73","0","0.00"
"10867  :  โรงพยาบาลตาพระยา","10","0","0.00"
"10868  :  โรงพยาบาลวังน้ำเย็น","22","0","0.00"
"10869  :  โรงพยาบาลวัฒนานคร","125","0","0.00"
"10870  :  โรงพยาบาลอรัญประเทศ","260","3","11.54"
"13817  :  โรงพยาบาลเขาฉกรรจ์","59","0","0.00"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","2,385","23","9.64"
"10871  :  โรงพยาบาลครบุรี","249","1","4.02"
"10872  :  โรงพยาบาลเสิงสาง","56","0","0.00"
"10873  :  โรงพยาบาลคง","40","0","0.00"
"10874  :  โรงพยาบาลบ้านเหลื่อม","13","0","0.00"
"10875  :  โรงพยาบาลจักราช","148","0","0.00"
"10876  :  โรงพยาบาลโชคชัย","419","0","0.00"
"10877  :  โรงพยาบาลด่านขุนทด","138","0","0.00"
"10878  :  โรงพยาบาลโนนไทย","60","0","0.00"
"10879  :  โรงพยาบาลโนนสูง","127","0","0.00"
"10880  :  โรงพยาบาลขามสะแกแสง","32","0","0.00"
"10881  :  โรงพยาบาลบัวใหญ่","595","0","0.00"
"10882  :  โรงพยาบาลประทาย","43","0","0.00"
"10883  :  โรงพยาบาลปักธงชัย","228","0","0.00"
"10884  :  โรงพยาบาลพิมาย","575","0","0.00"
"10885  :  โรงพยาบาลห้วยแถลง","38","0","0.00"
"10886  :  โรงพยาบาลชุมพวง","110","0","0.00"
"10887  :  โรงพยาบาลสูงเนิน","135","0","0.00"
"10888  :  โรงพยาบาลขามทะเลสอ","2","0","0.00"
"10889  :  โรงพยาบาลสีคิ้ว","300","0","0.00"
"10890  :  โรงพยาบาลปากช่องนานา","874","2","2.29"
"10891  :  โรงพยาบาลหนองบุญมาก","100","0","0.00"
"10892  :  โรงพยาบาลแก้งสนามนาง","20","0","0.00"
"10893  :  โรงพยาบาลโนนแดง","29","0","0.00"
"10894  :  โรงพยาบาลวังน้ำเขียว","38","0","0.00"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","13","0","0.00"
"11608  :  โรงพยาบาลลำทะเมนชัย","0","0","0.00"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","0","0","0.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","0","0.00"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","60","0","0.00"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","206","0","0.00"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","0","0.00"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","0","0","0.00"
"27839  :  โรงพยาบาลบัวลาย","0","0","0.00"
"27840  :  โรงพยาบาลสีดา","0","0","0.00"
"27841  :  โรงพยาบาลเทพารักษ์","0","0","0.00"
"10667  :  โรงพยาบาลบุรีรัมย์","2,775","15","5.41"
"10895  :  โรงพยาบาลคูเมือง","34","0","0.00"
"10896  :  โรงพยาบาลกระสัง","184","0","0.00"
"10897  :  โรงพยาบาลนางรอง","1,159","1","0.86"
"10898  :  โรงพยาบาลหนองกี่","61","0","0.00"
"10899  :  โรงพยาบาลละหานทราย","250","0","0.00"
"10900  :  โรงพยาบาลประโคนชัย","192","0","0.00"
"10901  :  โรงพยาบาลบ้านกรวด","76","0","0.00"
"10902  :  โรงพยาบาลพุทไธสง","34","0","0.00"
"10904  :  โรงพยาบาลลำปลายมาศ","369","0","0.00"
"10905  :  โรงพยาบาลสตึก","138","0","0.00"
"10906  :  โรงพยาบาลปะคำ","5","1","200.00"
"10907  :  โรงพยาบาลนาโพธิ์","4","0","0.00"
"10908  :  โรงพยาบาลหนองหงส์","12","0","0.00"
"10909  :  โรงพยาบาลพลับพลาชัย","18","0","0.00"
"10910  :  โรงพยาบาลห้วยราช","6","0","0.00"
"10911  :  โรงพยาบาลโนนสุวรรณ","0","0","0.00"
"10912  :  โรงพยาบาลชำนิ","0","0","0.00"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","8","0","0.00"
"10914  :  โรงพยาบาลโนนดินแดง","0","0","0.00"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","0","0","0.00"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","3","0","0.00"
"23578  :  โรงพยาบาลแคนดง","0","0","0.00"
"28020  :  โรงพยาบาลบ้านด่าน","1","0","0.00"
"10668  :  โรงพยาบาลสุรินทร์","1,437","7","4.87"
"10915  :  โรงพยาบาลชุมพลบุรี","43","0","0.00"
"10916  :  โรงพยาบาลท่าตูม","320","0","0.00"
"10917  :  โรงพยาบาลจอมพระ","63","0","0.00"
"10918  :  โรงพยาบาลปราสาท","944","0","0.00"
"10919  :  โรงพยาบาลกาบเชิง","95","0","0.00"
"10920  :  โรงพยาบาลรัตนบุรี","415","0","0.00"
"10921  :  โรงพยาบาลสนม","31","0","0.00"
"10922  :  โรงพยาบาลศีขรภูมิ","285","0","0.00"
"10923  :  โรงพยาบาลสังขะ","247","0","0.00"
"10924  :  โรงพยาบาลลำดวน","146","0","0.00"
"10925  :  โรงพยาบาลสำโรงทาบ","71","0","0.00"
"10926  :  โรงพยาบาลบัวเชด","108","0","0.00"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","0","0","0.00"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","0","0","0.00"
"27842  :  โรงพยาบาลเขวาสินรินทร์","0","0","0.00"
"27843  :  โรงพยาบาลศรีณรงค์","0","0","0.00"
"27844  :  โรงพยาบาลโนนนารายณ์","0","0","0.00"
"10700  :  โรงพยาบาลศรีสะเกษ","2,343","11","4.69"
"10927  :  โรงพยาบาลยางชุมน้อย","13","0","0.00"
"10928  :  โรงพยาบาลกันทรารมย์","137","0","0.00"
"10929  :  โรงพยาบาลกันทรลักษ์","1,061","1","0.94"
"10930  :  โรงพยาบาลขุขันธ์","396","0","0.00"
"10931  :  โรงพยาบาลไพรบึง","81","0","0.00"
"10932  :  โรงพยาบาลปรางค์กู่","81","0","0.00"
"10933  :  โรงพยาบาลขุนหาญ","314","0","0.00"
"10934  :  โรงพยาบาลราษีไศล","343","0","0.00"
"10935  :  โรงพยาบาลอุทุมพรพิสัย","519","0","0.00"
"10936  :  โรงพยาบาลบึงบูรพ์","8","0","0.00"
"10937  :  โรงพยาบาลห้วยทับทัน","6","0","0.00"
"10938  :  โรงพยาบาลโนนคูณ","27","0","0.00"
"10939  :  โรงพยาบาลศรีรัตนะ","84","0","0.00"
"10940  :  โรงพยาบาลวังหิน","21","0","0.00"
"10941  :  โรงพยาบาลน้ำเกลี้ยง","67","0","0.00"
"10942  :  โรงพยาบาลภูสิงห์","120","0","0.00"
"10943  :  โรงพยาบาลเมืองจันทร์","0","0","0.00"
"23125  :  โรงพยาบาลเบญจลักษ์เฉลิมพระเกียรติ 80 พรรษา","7","0","0.00"
"28014  :  โรงพยาบาลพยุห์","25","0","0.00"
"28015  :  โรงพยาบาลโพธิ์ศรีสุวรรณ","0","0","0.00"
"28016  :  โรงพยาบาลศิลาลาด","0","0","0.00"
"10669  :  โรงพยาบาลสรรพสิทธิประสงค์","2,457","31","12.62"
"10944  :  โรงพยาบาลศรีเมืองใหม่","2","1","500.00"
"10945  :  โรงพยาบาลโขงเจียม","7","0","0.00"
"10946  :  โรงพยาบาลเขื่องใน","51","2","39.22"
"10947  :  โรงพยาบาลเขมราฐ","61","0","0.00"
