"โรงพยาบาล","รวม","ไตรมาส1","ไตรมาส2","ไตรมาส3","ไตรมาส4"
"B","A","%","A","%","A","%","A","%","A","%"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","21","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10753  :  โรงพยาบาลบางพลี","690","16","2.32","5","0.72","3","0.43","5","0.72","3","0.43"
"10754  :  โรงพยาบาลบางจาก","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","355","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","117","1","0.85","1","0.85","0","0.00","0","0.00","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","7","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","32","1","3.13","1","3.13","0","0.00","0","0.00","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10759  :  โรงพยาบาลไทรน้อย","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10760  :  โรงพยาบาลปากเกร็ด","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","278","6","2.16","2","0.72","1","0.36","1","0.36","2","0.72"
"10762  :  โรงพยาบาลธัญบุรี","610","5","0.82","1","0.16","2","0.33","2","0.33","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","212","3","1.42","0","0.00","1","0.47","0","0.00","2","0.94"
"10764  :  โรงพยาบาลหนองเสือ","1,775","21","1.18","8","0.45","6","0.34","2","0.11","5","0.28"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","100","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10767  :  โรงพยาบาลสามโคก","638","18","2.82","11","1.72","3","0.47","2","0.31","2","0.31"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","125","3","2.40","1","0.80","0","0.00","1","0.80","1","0.80"
"10768  :  โรงพยาบาลท่าเรือ","426","19","4.46","0","0.00","6","1.41","8","1.88","5","1.17"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10770  :  โรงพยาบาลบางไทร","39","1","2.56","1","2.56","0","0.00","0","0.00","0","0.00"
"10771  :  โรงพยาบาลบางบาล","27","2","7.41","0","0.00","1","3.70","1","3.70","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","551","14","2.54","6","1.09","4","0.73","3","0.54","1","0.18"
"10773  :  โรงพยาบาลบางปะหัน","18","1","5.56","0","0.00","0","0.00","1","5.56","0","0.00"
"10774  :  โรงพยาบาลผักไห่","17","2","11.76","0","0.00","1","5.88","0","0.00","1","5.88"
"10775  :  โรงพยาบาลภาชี","411","11","2.68","5","1.22","3","0.73","3","0.73","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","128","1","0.78","1","0.78","0","0.00","0","0.00","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","52","7","13.46","3","5.77","3","5.77","0","0.00","1","1.92"
"10778  :  โรงพยาบาลบางซ้าย","7","1","14.29","1","14.29","0","0.00","0","0.00","0","0.00"
"10779  :  โรงพยาบาลอุทัย","24","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10780  :  โรงพยาบาลมหาราช","23","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","14","1","7.14","1","7.14","0","0.00","0","0.00","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","106","6","5.66","0","0.00","2","1.89","2","1.89","2","1.89"
"10782  :  โรงพยาบาลไชโย","93","1","1.08","0","0.00","1","1.08","0","0.00","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","70","2","2.86","0","0.00","0","0.00","2","2.86","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","163","6","3.68","1","0.61","0","0.00","4","2.45","1","0.61"
"10786  :  โรงพยาบาลแสวงหา","184","4","2.17","0","0.00","1","0.54","2","1.09","1","0.54"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","76","1","1.32","1","1.32","0","0.00","0","0.00","0","0.00"
"10788  :  โรงพยาบาลสามโก้","157","4","2.55","0","0.00","0","0.00","2","1.27","2","1.27"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10796  :  โรงพยาบาลลำสนธิ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","2","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","3","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10798  :  โรงพยาบาลบางระจัน","94","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","211","3","1.42","2","0.95","0","0.00","1","0.47","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","92","5","5.43","1","1.09","1","1.09","1","1.09","2","2.17"
"10801  :  โรงพยาบาลท่าช้าง","18","1","5.56","1","5.56","0","0.00","0","0.00","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","2","1","50.00","0","0.00","0","0.00","1","50.00","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","13","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","29","2","6.90","0","0.00","0","0.00","0","0.00","2","6.90"
"10804  :  โรงพยาบาลสรรพยา","69","3","4.35","0","0.00","1","1.45","1","1.45","1","1.45"
"10805  :  โรงพยาบาลสรรคบุรี","128","4","3.13","0","0.00","0","0.00","1","0.78","3","2.34"
"10806  :  โรงพยาบาลหันคา","52","1","1.92","1","1.92","0","0.00","0","0.00","0","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","35","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10808  :  โรงพยาบาลหนองแค","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","165","10","6.06","6","3.64","1","0.61","2","1.21","1","0.61"
"10818  :  โรงพยาบาลหนองใหญ่","125","10","8.00","2","1.60","6","4.80","0","0.00","2","1.60"
"10819  :  โรงพยาบาลบางละมุง","284","44","15.49","23","8.10","9","3.17","8","2.82","4","1.41"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","192","4","2.08","2","1.04","1","0.52","1","0.52","0","0.00"
"10821  :  โรงพยาบาลพานทอง","970","12","1.24","3","0.31","5","0.52","3","0.31","1","0.10"
"10822  :  โรงพยาบาลพนัสนิคม","361","4","1.11","2","0.55","1","0.28","0","0.00","1","0.28"
"10823  :  โรงพยาบาลแหลมฉบัง","330","25","7.58","9","2.73","8","2.42","5","1.52","3","0.91"
"10824  :  โรงพยาบาลเกาะสีชัง","545","4","0.73","2","0.37","2","0.37","0","0.00","0","0.00"
"10825  :  โรงพยาบาลสัตหีบกม10","1,480","29","1.96","9","0.61","9","0.61","5","0.34","6","0.41"
"10826  :  โรงพยาบาลบ่อทอง","435","7","1.61","2","0.46","2","0.46","1","0.23","2","0.46"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","67","2","2.99","2","2.99","0","0.00","0","0.00","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","26","3","11.54","0","0.00","0","0.00","2","7.69","1","3.85"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","187","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","224","18","8.04","7","3.13","3","1.34","2","0.89","6","2.68"
"28006  :  โรงพยาบาลเกาะจันทร์","429","6","1.40","1","0.23","0","0.00","4","0.93","1","0.23"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","80","6","7.50","2","2.50","1","1.25","2","2.50","1","1.25"
"10828  :  โรงพยาบาลบ้านฉาง","1,767","17","0.96","8","0.45","1","0.06","2","0.11","6","0.34"
"10829  :  โรงพยาบาลแกลง","23","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10830  :  โรงพยาบาลวังจันทร์","971","6","0.62","1","0.10","3","0.31","1","0.10","1","0.10"
"10831  :  โรงพยาบาลบ้านค่าย","382","13","3.40","2","0.52","1","0.26","5","1.31","5","1.31"
"10832  :  โรงพยาบาลปลวกแดง","103","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","622","37","5.95","8","1.29","19","3.05","6","0.96","4","0.64"
"23962  :  โรงพยาบาลนิคมพัฒนา","238","3","1.26","1","0.42","0","0.00","0","0.00","2","0.84"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10834  :  โรงพยาบาลขลุง","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","2","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
