"โรงพยาบาล","จำนวนสงสัยป่วย (คน)(B)","จำนวนที่ร้อยละ 30","จำนวนที่พื้นที่กำหนดเป็นเป้าหมาย","มีผลการวัดความดันโลหิตที่บ้าน(A)","ร้อยละ"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0","0","0.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0","0","0.00"
"10754  :  โรงพยาบาลบางจาก","0","0","0","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","216","65","56","56","25.93"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","20","6","9","9","45.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","74","23","70","70","94.59"
"28785  :  โรงพยาบาลบางเสาธง","1","1","1","1","100.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","22","7","11","11","50.00"
"10757  :  โรงพยาบาลบางใหญ่","13","4","11","11","84.62"
"10758  :  โรงพยาบาลบางบัวทอง","76","23","10","10","13.16"
"10759  :  โรงพยาบาลไทรน้อย","338","102","146","146","43.20"
"10760  :  โรงพยาบาลปากเกร็ด","253","76","127","127","50.20"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","3","1","0","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","27","9","8","8","29.63"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","39","12","23","23","58.97"
"10762  :  โรงพยาบาลธัญบุรี","1,080","324","341","341","31.57"
"10763  :  โรงพยาบาลประชาธิปัตย์","220","66","81","81","36.82"
"10764  :  โรงพยาบาลหนองเสือ","24","8","19","19","79.17"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","37","12","9","9","24.32"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0","0","0.00"
"10767  :  โรงพยาบาลสามโคก","59","18","57","57","96.61"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","7","3","5","5","71.43"
"10768  :  โรงพยาบาลท่าเรือ","62","19","52","52","83.87"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","146","44","145","145","99.32"
"10770  :  โรงพยาบาลบางไทร","306","92","136","136","44.44"
"10771  :  โรงพยาบาลบางบาล","28","9","13","13","46.43"
"10772  :  โรงพยาบาลบางปะอิน","48","15","40","40","83.33"
"10773  :  โรงพยาบาลบางปะหัน","13","4","6","6","46.15"
"10774  :  โรงพยาบาลผักไห่","15","5","7","7","46.67"
"10775  :  โรงพยาบาลภาชี","67","21","47","47","70.15"
"10776  :  โรงพยาบาลลาดบัวหลวง","64","20","32","32","50.00"
"10777  :  โรงพยาบาลวังน้อย","22","7","9","9","40.91"
"10778  :  โรงพยาบาลบางซ้าย","34","11","16","16","47.06"
"10779  :  โรงพยาบาลอุทัย","5","2","5","5","100.00"
"10780  :  โรงพยาบาลมหาราช","56","17","20","20","35.71"
"10781  :  โรงพยาบาลบ้านแพรก","56","17","53","53","94.64"
"10689  :  โรงพยาบาลอ่างทอง","16","5","15","15","93.75"
"10782  :  โรงพยาบาลไชโย","12","4","1","1","8.33"
"10784  :  โรงพยาบาลป่าโมก","156","47","53","53","33.97"
"10785  :  โรงพยาบาลโพธิ์ทอง","180","54","59","59","32.78"
"10786  :  โรงพยาบาลแสวงหา","151","46","52","52","34.44"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","86","26","35","35","40.70"
"10788  :  โรงพยาบาลสามโก้","33","10","12","12","36.36"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","334","101","144","144","43.11"
"10790  :  โรงพยาบาลโคกสำโรง","85","26","16","15","17.65"
"10791  :  โรงพยาบาลชัยบาดาล","136","41","85","85","62.50"
"10792  :  โรงพยาบาลท่าวุ้ง","223","67","67","67","30.04"
"10793  :  โรงพยาบาลท่าหลวง","181","55","62","62","34.25"
"10794  :  โรงพยาบาลสระโบสถ์","3","1","3","3","100.00"
"10795  :  โรงพยาบาลโคกเจริญ","166","50","66","66","39.76"
"10796  :  โรงพยาบาลลำสนธิ","284","86","92","92","32.39"
"10797  :  โรงพยาบาลหนองม่วง","385","116","119","119","30.91"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","1","1","1","1","100.00"
"10693  :  โรงพยาบาลอินทร์บุรี","2","1","2","2","100.00"
"10798  :  โรงพยาบาลบางระจัน","41","13","20","20","48.78"
"10799  :  โรงพยาบาลค่ายบางระจัน","213","64","70","70","32.86"
"10800  :  โรงพยาบาลพรหมบุรี","39","12","24","24","61.54"
"10801  :  โรงพยาบาลท่าช้าง","18","6","10","8","44.44"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","332","100","140","140","42.17"
"10803  :  โรงพยาบาลวัดสิงห์","144","44","142","141","97.92"
"10804  :  โรงพยาบาลสรรพยา","12","4","11","11","91.67"
"10805  :  โรงพยาบาลสรรคบุรี","313","94","195","195","62.30"
"10806  :  โรงพยาบาลหันคา","269","81","260","260","96.65"
"27974  :  โรงพยาบาลหนองมะโมง","105","32","105","105","100.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","289","87","83","83","28.72"
"10808  :  โรงพยาบาลหนองแค","10","3","0","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","185","56","67","67","36.22"
"10810  :  โรงพยาบาลหนองแซง","72","22","35","35","48.61"
"10811  :  โรงพยาบาลบ้านหมอ","325","98","276","276","84.92"
"10812  :  โรงพยาบาลดอนพุด","0","0","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","49","15","39","39","79.59"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","109","33","102","102","93.58"
"10815  :  โรงพยาบาลมวกเหล็ก","144","44","63","63","43.75"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","58","18","20","20","34.48"
"11485  :  โรงพยาบาลค่ายอดิศร","79","24","0","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","74","23","24","24","32.43"
"10818  :  โรงพยาบาลหนองใหญ่","39","12","38","38","97.44"
"10819  :  โรงพยาบาลบางละมุง","464","140","126","126","27.16"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","8","3","7","6","75.00"
"10821  :  โรงพยาบาลพานทอง","116","35","31","31","26.72"
"10822  :  โรงพยาบาลพนัสนิคม","194","59","1","1","0.52"
"10823  :  โรงพยาบาลแหลมฉบัง","1,254","377","446","446","35.57"
"10824  :  โรงพยาบาลเกาะสีชัง","168","51","54","54","32.14"
"10825  :  โรงพยาบาลสัตหีบกม10","739","222","226","226","30.58"
"10826  :  โรงพยาบาลบ่อทอง","62","19","19","19","30.65"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","115","35","115","115","100.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","2,761","829","16","16","0.58"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","5","2","0","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","0","0","0","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","52","16","31","31","59.62"
"10663  :  โรงพยาบาลระยอง","0","0","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","4","2","3","3","75.00"
"10828  :  โรงพยาบาลบ้านฉาง","227","69","99","99","43.61"
"10829  :  โรงพยาบาลแกลง","207","63","75","75","36.23"
"10830  :  โรงพยาบาลวังจันทร์","161","49","70","70","43.48"
"10831  :  โรงพยาบาลบ้านค่าย","556","167","324","324","58.27"
"10832  :  โรงพยาบาลปลวกแดง","313","94","1","1","0.32"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","87","27","24","24","27.59"
"23962  :  โรงพยาบาลนิคมพัฒนา","6","2","0","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","0","0","0.00"
"10834  :  โรงพยาบาลขลุง","0","0","0","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","0","0","0","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","156","47","38","38","24.36"
"10837  :  โรงพยาบาลสองพี่น้อง","116","35","116","116","100.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","566","170","196","196","34.63"
"10839  :  โรงพยาบาลมะขาม","168","51","54","54","32.14"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","48","15","18","18","37.50"
"10843  :  โรงพยาบาลนายายอาม","19","6","9","9","47.37"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","320","96","136","136","42.50"
"10696  :  โรงพยาบาลตราด","253","76","95","95","37.55"
"10845  :  โรงพยาบาลคลองใหญ่","214","65","72","72","33.64"
"10846  :  โรงพยาบาลเขาสมิง","370","111","84","84","22.70"
"10847  :  โรงพยาบาลบ่อไร่","194","59","62","62","31.96"
"10848  :  โรงพยาบาลแหลมงอบ","18","6","8","8","44.44"
"10849  :  โรงพยาบาลเกาะกูด","62","19","28","28","45.16"
"13816  :  โรงพยาบาลเกาะช้าง","39","12","17","17","43.59"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","17","6","13","13","76.47"
"10850  :  โรงพยาบาลบางคล้า","16","5","1","1","6.25"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","0","0","0","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","29","9","10","10","34.48"
"10854  :  โรงพยาบาลพนมสารคาม","31","10","1","1","3.23"
"10855  :  โรงพยาบาลสนามชัยเขต","0","0","0","0","0.00"
"10856  :  โรงพยาบาลแปลงยาว","2","1","1","1","50.00"
"13747  :  โรงพยาบาลราชสาส์น","61","19","60","60","98.36"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","2","1","2","2","100.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","58","18","33","33","56.90"
"10858  :  โรงพยาบาลนาดี","128","39","51","51","39.84"
"10859  :  โรงพยาบาลบ้านสร้าง","332","100","80","80","24.10"
"10860  :  โรงพยาบาลประจันตคาม","234","71","97","97","41.45"
"10861  :  โรงพยาบาลศรีมหาโพธิ","114","35","107","107","93.86"
"10862  :  โรงพยาบาลศรีมโหสถ","184","56","51","51","27.72"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","67","21","0","0","0.00"
"10698  :  โรงพยาบาลนครนายก","469","141","157","157","33.48"
"10863  :  โรงพยาบาลปากพลี","8","3","6","6","75.00"
"10864  :  โรงพยาบาลบ้านนา","71","22","23","23","32.39"
"10865  :  โรงพยาบาลองครักษ์","80","24","27","27","33.75"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","0","0","0","0","0.00"
"10866  :  โรงพยาบาลคลองหาด","233","70","75","75","32.19"
"10867  :  โรงพยาบาลตาพระยา","237","72","236","236","99.58"
"10868  :  โรงพยาบาลวังน้ำเย็น","294","89","198","198","67.35"
"10869  :  โรงพยาบาลวัฒนานคร","228","69","2","2","0.88"
"10870  :  โรงพยาบาลอรัญประเทศ","247","75","166","165","66.80"
"13817  :  โรงพยาบาลเขาฉกรรจ์","14","5","14","14","100.00"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","443","133","172","172","38.83"
"10872  :  โรงพยาบาลเสิงสาง","378","114","124","124","32.80"
"10873  :  โรงพยาบาลคง","226","68","0","0","0.00"
"10874  :  โรงพยาบาลบ้านเหลื่อม","350","105","143","142","40.57"
"10875  :  โรงพยาบาลจักราช","648","195","34","34","5.25"
"10876  :  โรงพยาบาลโชคชัย","542","163","477","477","88.01"
"10877  :  โรงพยาบาลด่านขุนทด","356","107","111","111","31.18"
"10878  :  โรงพยาบาลโนนไทย","352","106","114","114","32.39"
"10879  :  โรงพยาบาลโนนสูง","376","113","337","336","89.36"
"10880  :  โรงพยาบาลขามสะแกแสง","284","86","263","263","92.61"
"10881  :  โรงพยาบาลบัวใหญ่","237","72","1","1","0.42"
"10882  :  โรงพยาบาลประทาย","191","58","133","133","69.63"
"10883  :  โรงพยาบาลปักธงชัย","160","48","0","0","0.00"
"10884  :  โรงพยาบาลพิมาย","347","105","1","1","0.29"
"10885  :  โรงพยาบาลห้วยแถลง","295","89","34","34","11.53"
"10886  :  โรงพยาบาลชุมพวง","287","87","0","0","0.00"
"10887  :  โรงพยาบาลสูงเนิน","472","142","161","161","34.11"
"10888  :  โรงพยาบาลขามทะเลสอ","330","99","151","151","45.76"
"10889  :  โรงพยาบาลสีคิ้ว","321","97","215","215","66.98"
"10890  :  โรงพยาบาลปากช่องนานา","114","35","99","99","86.84"
"10891  :  โรงพยาบาลหนองบุญมาก","158","48","142","142","89.87"
"10892  :  โรงพยาบาลแก้งสนามนาง","338","102","175","175","51.78"
"10893  :  โรงพยาบาลโนนแดง","124","38","69","69","55.65"
"10894  :  โรงพยาบาลวังน้ำเขียว","76","23","39","39","51.32"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","46","14","27","27","58.70"
"11608  :  โรงพยาบาลลำทะเมนชัย","43","13","30","30","69.77"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","450","135","3","3","0.67"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","316","95","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","116","35","0","0","0.00"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","178","54","78","78","43.82"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","202","61","54","54","26.73"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","0","0","0","0.00"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","104","32","50","50","48.08"
"27839  :  โรงพยาบาลบัวลาย","166","50","61","60","36.14"
"27840  :  โรงพยาบาลสีดา","73","22","69","69","94.52"
"27841  :  โรงพยาบาลเทพารักษ์","76","23","9","9","11.84"
"10667  :  โรงพยาบาลบุรีรัมย์","0","0","0","0","0.00"
"10895  :  โรงพยาบาลคูเมือง","7","3","5","5","71.43"
"10896  :  โรงพยาบาลกระสัง","56","17","55","55","98.21"
"10897  :  โรงพยาบาลนางรอง","0","0","0","0","0.00"
"10898  :  โรงพยาบาลหนองกี่","240","72","83","83","34.58"
"10899  :  โรงพยาบาลละหานทราย","53","16","40","40","75.47"
"10900  :  โรงพยาบาลประโคนชัย","12","4","12","12","100.00"
"10901  :  โรงพยาบาลบ้านกรวด","106","32","57","57","53.77"
"10902  :  โรงพยาบาลพุทไธสง","110","33","60","60","54.55"
"10904  :  โรงพยาบาลลำปลายมาศ","0","0","0","0","0.00"
"10905  :  โรงพยาบาลสตึก","80","24","80","80","100.00"
"10906  :  โรงพยาบาลปะคำ","107","33","103","103","96.26"
"10907  :  โรงพยาบาลนาโพธิ์","157","48","157","157","100.00"
"10908  :  โรงพยาบาลหนองหงส์","37","12","37","37","100.00"
"10909  :  โรงพยาบาลพลับพลาชัย","131","40","130","114","87.02"
"10910  :  โรงพยาบาลห้วยราช","26","8","26","26","100.00"
"10911  :  โรงพยาบาลโนนสุวรรณ","41","13","41","41","100.00"
"10912  :  โรงพยาบาลชำนิ","151","46","122","122","80.79"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","139","42","42","42","30.22"
"10914  :  โรงพยาบาลโนนดินแดง","135","41","56","56","41.48"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","1","1","0","0","0.00"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","142","43","51","51","35.92"
"23578  :  โรงพยาบาลแคนดง","177","54","79","79","44.63"
"28020  :  โรงพยาบาลบ้านด่าน","80","24","71","71","88.75"
"10668  :  โรงพยาบาลสุรินทร์","0","0","0","0","0.00"
