"โรงพยาบาล","รวมทั้งปีงบประมาณ","ตค.","พย.","ธค.","มค.","กพ.","มีค.","เมย.","พค.","มิย.","กค.","สค.","กย."
"OP Visit","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง","ใบสั่ง","ขนาน","ทุน","ขาย","มูลค่าขายต่อใบสั่ง","ขนานต่อใบสั่ง"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","196,167","71,168","260,831","3,558,146,747.34","5,097,986,415.75","25,987.99","1.33","12,998","47,091","526,636,907.65","764,051,292.50","58,782.22","3.62","12,183","43,910","539,469,299.91","771,015,877.75","63,286.21","3.60","11,778","43,153","516,493,377.73","736,780,922.50","62,555.69","3.66","14,096","52,624","621,375,600.00","890,568,915.00","63,178.84","3.73","0","0","0.00","0.00","0.00","0.00","11,447","41,376","649,980,972.11","928,057,774.75","81,074.32","3.61","8,666","32,677","704,190,589.94","1,007,511,633.25","116,260.29","3.77","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11537  :  โรงพยาบาลกลาง","16,656","299,274","1,116,851","83,121,620,034.61","110,765,353,938.25","6,650,177.35","67.05","29,152","107,340","14,967,942,120.11","19,086,978,924.00","654,739.95","3.68","27,376","101,242","2,214,941,528.33","3,104,224,634.25","113,392.19","3.70","25,782","96,620","41,584,900,537.10","54,600,485,837.25","2,117,775.42","3.75","28,700","107,284","2,560,162,004.38","3,553,418,998.50","123,812.51","3.74","26,134","98,854","2,269,880,465.48","3,194,115,397.75","122,220.69","3.78","25,361","97,289","2,584,836,765.24","3,617,654,645.00","142,646.37","3.84","18,428","71,969","2,062,089,716.00","2,900,146,023.00","157,377.14","3.91","21,147","79,629","2,207,815,644.96","3,096,394,641.75","146,422.41","3.77","24,452","88,986","2,566,918,314.70","3,832,614,301.50","156,740.32","3.64","23,097","84,720","2,233,814,701.20","3,130,103,068.25","135,519.90","3.67","25,061","92,259","5,358,789,937.64","7,163,513,363.75","285,843.08","3.68","24,584","90,659","2,509,528,299.47","3,485,704,103.25","141,787.51","3.69"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","116,537","78,960","321,406","2,760,811,209.99","4,391,020,396.00","37,679.20","2.76","8,752","34,390","260,031,296.29","358,591,518.00","40,972.52","3.93","7,858","31,126","229,829,815.72","339,703,371.00","43,230.26","3.96","7,567","30,788","207,908,995.85","344,870,771.75","45,575.63","4.07","8,654","35,297","247,523,128.02","401,889,381.00","46,439.73","4.08","4,361","17,978","150,215,248.44","249,054,307.25","57,109.45","4.12","6,660","26,700","249,295,835.34","410,758,394.00","61,675.43","4.01","5,133","21,165","288,700,716.80","456,961,818.75","89,024.32","4.12","5,463","22,442","235,115,381.63","388,056,116.75","71,033.52","4.11","5,563","22,125","190,330,175.04","305,335,348.50","54,886.81","3.98","5,957","24,686","206,386,261.15","339,794,014.00","57,041.13","4.14","6,555","27,769","253,430,415.50","414,259,291.00","63,197.45","4.24","6,437","26,940","242,043,940.21","381,746,064.00","59,304.97","4.19"
"11539  :  โรงพยาบาลตากสิน","19,824","296,621","1,204,476","22,433,447,696.98","32,711,217,927.00","1,650,081.61","60.76","28,874","114,797","2,042,018,025.53","2,920,569,001.00","101,148.75","3.98","27,291","108,146","1,837,302,841.63","2,669,391,467.65","97,812.15","3.96","25,490","102,576","1,914,861,604.60","2,766,997,092.55","108,552.26","4.02","28,448","115,477","1,946,918,730.28","2,849,795,409.75","100,175.60","4.06","25,632","103,585","1,676,501,104.98","2,471,625,555.25","96,427.34","4.04","26,054","106,389","2,158,456,802.65","3,140,762,346.30","120,548.18","4.08","19,201","80,832","1,803,078,480.47","2,610,452,200.00","135,953.97","4.21","20,287","84,405","1,833,347,468.56","2,642,038,253.75","130,233.07","4.16","22,214","90,947","1,840,304,702.92","2,682,525,547.00","120,758.33","4.09","22,314","90,142","1,759,774,227.80","2,573,271,511.25","115,320.94","4.04","25,020","102,143","1,745,483,988.82","2,593,227,361.50","103,646.18","4.08","25,796","105,037","1,875,399,718.74","2,790,562,181.00","108,178.10","4.07"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","228,632","76,876","301,187","5,279,772,079.65","4,883,835,798.25","21,361.12","1.32","9,444","37,005","779,192,356.43","706,722,352.00","74,832.95","3.92","0","0","0.00","0.00","0.00","0.00","8,297","31,674","630,299,486.05","366,753,465.00","44,203.14","3.82","10,342","41,570","368,319,891.95","435,959,152.00","42,154.24","4.02","0","0","0.00","0.00","0.00","0.00","8,897","36,406","854,093,179.02","887,731,243.00","99,778.72","4.09","6,596","27,155","696,194,285.01","741,434,632.50","112,406.71","4.12","0","0","0.00","0.00","0.00","0.00","7,033","25,565","520,220,305.09","410,476,552.25","58,364.36","3.64","8,285","32,004","359,433,342.08","383,372,178.00","46,273.05","3.86","9,037","35,070","703,459,349.88","499,238,870.25","55,243.87","3.88","8,945","34,738","368,559,884.14","452,147,353.25","50,547.50","3.88"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","358,211","46,349","172,776","3,436,490,723.11","5,102,103,412.50","14,243.29","0.48","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","20,010","76,837","1,696,105,289.49","2,524,848,311.25","126,179.33","3.84","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","26,339","95,939","1,740,385,433.62","2,577,255,101.25","97,849.39","3.64","0","0","0.00","0.00","0.00","0.00"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11592  :  โรงพยาบาลบางนา1","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","70,505","49,840","193,132","67,322,116.39","89,358,878.25","1,267.41","2.74","4,389","17,109","5,575,561.91","7,457,495.25","1,699.13","3.90","4,110","16,114","5,269,391.34","7,047,843.25","1,714.80","3.92","3,968","15,699","5,320,681.03","7,063,215.50","1,780.04","3.96","4,404","17,519","5,602,008.11","7,447,576.00","1,691.09","3.98","4,117","15,604","5,285,616.82","6,962,975.50","1,691.27","3.79","4,859","18,821","8,097,329.55","10,695,786.75","2,201.23","3.87","3,549","14,260","5,483,253.04","7,294,921.00","2,055.49","4.02","2,935","11,708","4,100,518.39","5,461,084.25","1,860.68","3.99","4,387","16,566","5,468,262.03","7,247,770.25","1,652.10","3.78","4,346","16,475","5,727,080.86","7,561,604.00","1,739.90","3.79","4,417","16,620","5,234,809.17","7,010,925.75","1,587.26","3.76","4,359","16,637","6,157,604.14","8,107,680.75","1,859.99","3.82"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
"11621  :  โรงพยาบาลบางไผ่","0","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00"
