"โรงพยาบาล","รวม","ข้าราชการรัฐวิสาหกิจ","ประกันสังคม","UC ทั้งหมด","ต่างด้าว","บันทึกรหัสสิทธิ ไม่ตรง รหัสมาตรฐาน"
"คน","ครั้ง","ครั้ง:คน","คน","ครั้ง","ครั้ง:คน","คน","ครั้ง","ครั้ง:คน","คน","ครั้ง","ครั้ง:คน","คน","ครั้ง","ครั้ง:คน","คน","ครั้ง","ครั้ง:คน"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11537  :  โรงพยาบาลกลาง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11539  :  โรงพยาบาลตากสิน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11592  :  โรงพยาบาลบางนา1","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","1,179","2,592","2.20","467","1,255","2.69","195","217","1.11","90","179","1.99","427","941","2.20","0","0","0.00"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11621  :  โรงพยาบาลบางไผ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11626  :  โรงพยาบาลคลองตัน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11628  :  โรงพยาบาลพระราม 9","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","43","75","1.74","12","28","2.33","0","0","0.00","0","0","0.00","25","40","1.60","6","7","1.17"
"12246  :  สถาบันราชานุกูล","6","6","1.00","0","0","0.00","0","0","0.00","1","1","1.00","5","5","1.00","0","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","20,885","42,197","2.02","2,865","6,780","2.37","970","1,835","1.89","13,960","29,327","2.10","3,090","4,255","1.38","0","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","7,853","12,784","1.63","816","2,034","2.49","3,292","4,091","1.24","2,494","4,981","2.00","1,251","1,678","1.34","0","0","0.00"
"10753  :  โรงพยาบาลบางพลี","20,702","30,330","1.47","1,211","2,643","2.18","10,361","13,207","1.27","6,746","11,148","1.65","2,182","3,107","1.42","202","225","1.11"
"10754  :  โรงพยาบาลบางจาก","7,411","11,305","1.53","545","1,117","2.05","1,351","1,751","1.30","4,948","7,715","1.56","567","722","1.27","0","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","6,559","10,149","1.55","417","887","2.13","320","469","1.47","5,073","7,665","1.51","749","1,128","1.51","0","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","704","1,294","1.84","117","217","1.85","0","0","0.00","431","847","1.97","156","230","1.47","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","3,230","3,536","1.09","121","125","1.03","249","249","1.00","2,853","3,155","1.11","7","7","1.00","0","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","1,593","2,361","1.48","76","129","1.70","231","293","1.27","1,245","1,893","1.52","29","33","1.14","12","13","1.08"
"10686  :  โรงพยาบาลพระนั่งเกล้า","18,460","32,660","1.77","2,643","5,782","2.19","1,438","2,067","1.44","10,693","18,763","1.75","3,686","6,048","1.64","0","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","11,868","29,769","2.51","3,129","10,453","3.34","3,278","6,552","2.00","4,415","11,287","2.56","1,046","1,477","1.41","0","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","17,225","33,739","1.96","2,975","7,835","2.63","74","76","1.03","10,979","22,067","2.01","133","215","1.62","3,064","3,546","1.16"
"10758  :  โรงพยาบาลบางบัวทอง","12,739","20,185","1.58","1,539","3,076","2.00","2,432","3,626","1.49","8,692","13,368","1.54","76","115","1.51","0","0","0.00"
"10759  :  โรงพยาบาลไทรน้อย","8,644","15,768","1.82","1,396","3,198","2.29","1,098","1,633","1.49","5,534","10,114","1.83","613","815","1.33","3","8","2.67"
"10760  :  โรงพยาบาลปากเกร็ด","6,234","12,613","2.02","1,146","2,518","2.20","484","649","1.34","3,144","7,474","2.38","1,445","1,951","1.35","15","21","1.40"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","904","2,600","2.88","392","1,221","3.11","91","187","2.05","416","1,179","2.83","5","13","2.60","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","8,302","18,514","2.23","2,994","8,052","2.69","2,731","5,251","1.92","1,488","3,639","2.45","0","0","0.00","1,089","1,572","1.44"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","2,412","5,167","2.14","244","721","2.95","266","449","1.69","1,750","3,775","2.16","92","139","1.51","60","83","1.38"
"10687  :  โรงพยาบาลปทุมธานี","13,556","24,583","1.81","1,770","4,228","2.39","3,960","6,005","1.52","7,040","13,556","1.93","785","793","1.01","1","1","1.00"
"10761  :  โรงพยาบาลคลองหลวง","5,959","10,151","1.70","434","804","1.85","101","166","1.64","3,977","7,114","1.79","1,447","2,067","1.43","0","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","7,814","11,942","1.53","478","936","1.96","229","337","1.47","5,052","8,282","1.64","2,055","2,387","1.16","0","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","8,037","12,311","1.53","915","1,744","1.91","2,167","2,499","1.15","3,446","6,084","1.77","778","956","1.23","731","1,028","1.41"
"10764  :  โรงพยาบาลหนองเสือ","4,865","8,551","1.76","416","1,023","2.46","4","4","1.00","2,150","4,329","2.01","722","1,158","1.60","1,573","2,037","1.29"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","7,595","12,223","1.61","530","1,540","2.91","3,841","4,992","1.30","2,697","4,966","1.84","99","144","1.45","428","581","1.36"
"10766  :  โรงพยาบาลลำลูกกา","21,125","30,692","1.45","1,411","2,916","2.07","2,038","2,801","1.37","15,907","22,617","1.42","1,769","2,358","1.33","0","0","0.00"
"10767  :  โรงพยาบาลสามโคก","3,250","5,868","1.81","229","473","2.07","313","538","1.72","2,294","4,283","1.87","414","574","1.39","0","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","162","207","1.28","53","80","1.51","45","49","1.09","0","0","0.00","64","78","1.22","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","8,394","18,411","2.19","2,076","5,707","2.75","584","779","1.33","3,464","7,873","2.27","1,273","2,397","1.88","997","1,655","1.66"
"10688  :  โรงพยาบาลเสนา","9,009","14,722","1.63","948","2,141","2.26","1,384","2,137","1.54","6,289","9,955","1.58","388","489","1.26","0","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","4,746","7,666","1.62","553","1,172","2.12","1,208","1,680","1.39","2,980","4,806","1.61","5","8","1.60","0","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","2,960","4,930","1.67","377","771","2.05","372","505","1.36","1,530","2,809","1.84","681","845","1.24","0","0","0.00"
"10770  :  โรงพยาบาลบางไทร","3,295","5,529","1.68","252","400","1.59","250","311","1.24","1,661","3,057","1.84","202","267","1.32","930","1,494","1.61"
"10771  :  โรงพยาบาลบางบาล","2,819","5,025","1.78","505","1,331","2.64","336","497","1.48","1,856","3,031","1.63","6","7","1.17","116","159","1.37"
"10772  :  โรงพยาบาลบางปะอิน","10,065","17,206","1.71","142","236","1.66","3,130","4,788","1.53","6,015","11,145","1.85","778","1,037","1.33","0","0","0.00"
"10773  :  โรงพยาบาลบางปะหัน","4,872","9,899","2.03","528","1,423","2.70","381","586","1.54","3,782","7,626","2.02","180","263","1.46","1","1","1.00"
"10774  :  โรงพยาบาลผักไห่","3,807","5,867","1.54","535","1,027","1.92","714","900","1.26","2,523","3,900","1.55","7","11","1.57","28","29","1.04"
"10775  :  โรงพยาบาลภาชี","3,661","6,779","1.85","497","1,137","2.29","615","978","1.59","1,925","3,819","1.98","624","845","1.35","0","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","5,187","8,415","1.62","470","978","2.08","404","511","1.26","3,963","6,476","1.63","350","450","1.29","0","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","7,907","14,615","1.85","806","2,120","2.63","894","1,532","1.71","5,780","10,431","1.80","427","532","1.25","0","0","0.00"
"10778  :  โรงพยาบาลบางซ้าย","2,935","5,061","1.72","250","575","2.30","1,211","1,470","1.21","1,318","2,755","2.09","156","261","1.67","0","0","0.00"
"10779  :  โรงพยาบาลอุทัย","4,534","8,004","1.77","838","1,717","2.05","985","1,489","1.51","2,675","4,742","1.77","26","35","1.35","10","21","2.10"
"10780  :  โรงพยาบาลมหาราช","2,516","4,739","1.88","492","1,202","2.44","457","643","1.41","1,258","2,489","1.98","309","405","1.31","0","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","1,610","2,888","1.79","370","755","2.04","268","382","1.43","756","1,463","1.94","216","288","1.33","0","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","9,058","16,293","1.80","2,127","4,925","2.32","1,400","2,234","1.60","5,432","9,005","1.66","99","129","1.30","0","0","0.00"
"10782  :  โรงพยาบาลไชโย","3,485","5,784","1.66","541","1,281","2.37","1,013","1,318","1.30","1,576","2,695","1.71","353","488","1.38","2","2","1.00"
"10784  :  โรงพยาบาลป่าโมก","4,221","8,604","2.04","887","2,448","2.76","693","1,046","1.51","2,284","4,515","1.98","32","48","1.50","325","547","1.68"
"10785  :  โรงพยาบาลโพธิ์ทอง","6,260","9,362","1.50","813","1,463","1.80","412","547","1.33","3,157","4,786","1.52","1,878","2,566","1.37","0","0","0.00"
"10786  :  โรงพยาบาลแสวงหา","3,403","5,289","1.55","392","741","1.89","323","464","1.44","2,557","3,938","1.54","124","139","1.12","7","7","1.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","8,156","14,186","1.74","1,441","2,909","2.02","716","1,029","1.44","5,400","9,523","1.76","556","677","1.22","43","48","1.12"
"10788  :  โรงพยาบาลสามโก้","2,289","3,605","1.57","430","824","1.92","256","347","1.36","1,478","2,268","1.53","125","166","1.33","0","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","13,942","25,328","1.82","4,624","9,657","2.09","1,494","2,199","1.47","6,574","11,916","1.81","1,250","1,556","1.24","0","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","5,099","9,630","1.89","912","2,163","2.37","386","532","1.38","3,553","6,586","1.85","248","349","1.41","0","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","6,708","9,854","1.47","371","680","1.83","364","479","1.32","5,643","8,328","1.48","330","367","1.11","0","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","6,612","12,348","1.87","998","2,608","2.61","530","758","1.43","4,569","8,050","1.76","358","754","2.11","157","178","1.13"
"10791  :  โรงพยาบาลชัยบาดาล","8,563","15,941","1.86","874","1,970","2.25","1,187","1,855","1.56","5,873","11,225","1.91","629","891","1.42","0","0","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","3,433","7,808","2.27","779","2,361","3.03","157","286","1.82","2,339","4,932","2.11","151","220","1.46","7","9","1.29"
"10793  :  โรงพยาบาลท่าหลวง","2,877","4,217","1.47","181","303","1.67","163","181","1.11","1,640","2,626","1.60","212","258","1.22","681","849","1.25"
"10794  :  โรงพยาบาลสระโบสถ์","3,585","6,168","1.72","246","769","3.13","169","232","1.37","1,540","2,967","1.93","149","186","1.25","1,481","2,014","1.36"
"10795  :  โรงพยาบาลโคกเจริญ","3,203","5,033","1.57","257","461","1.79","40","42","1.05","2,689","4,263","1.59","122","137","1.12","95","130","1.37"
"10796  :  โรงพยาบาลลำสนธิ","3,430","6,263","1.83","276","661","2.39","159","263","1.65","2,660","4,913","1.85","331","422","1.27","4","4","1.00"
