"โรงพยาบาล","รวม","2562","2563"
"ตค.","พย.","ธค.","มค.","กพ.","มีค.","เมย.","พค.","มิย.","กค.","สค.","กย."
"คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11537  :  โรงพยาบาลกลาง","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11539  :  โรงพยาบาลตากสิน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11592  :  โรงพยาบาลบางนา1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11621  :  โรงพยาบาลบางไผ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11626  :  โรงพยาบาลคลองตัน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11628  :  โรงพยาบาลพระราม 9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11676  :  โรงพยาบาลยันฮี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11686  :  โรงพยาบาลบางโพ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","5","7","1","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","3","3","0","0","1","1","0","0"
"12246  :  สถาบันราชานุกูล","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12249  :  สถาบันโรคผิวหนัง","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12439  :  สถาบันประสาทวิทยา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13814  :  โรงพยาบาลศิริราช","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14173  :  โรงพยาบาลตำรวจ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14577  :  โรงพยาบาลวิภาราม","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15049  :  โรงพยาบาลสิรินธร","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22155  :  โรงพยาบาลครู","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10685  :  โรงพยาบาลสมุทรปราการ","544","616","68","68","55","55","92","93","114","114","84","84","35","35","0","0","3","3","17","17","20","20","76","76","51","51"
"10752  :  โรงพยาบาลบางบ่อ","228","234","12","12","40","40","5","5","5","5","153","153","3","3","2","2","4","4","2","2","6","6","2","2","0","0"
"10753  :  โรงพยาบาลบางพลี","1,029","1,050","58","58","147","147","308","310","412","416","61","61","2","2","2","2","10","10","22","22","6","6","5","5","11","11"
"10754  :  โรงพยาบาลบางจาก","1,885","2,113","42","42","140","140","80","122","223","223","322","428","558","561","0","0","0","0","3","3","168","184","380","380","30","30"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","28","28","16","16","4","4","0","0","1","1","3","3","2","2","0","0","0","0","0","0","1","1","1","1","0","0"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","129","140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","38","30","30","30","30","42","42"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","8","8","0","0","0","0","0","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28785  :  โรงพยาบาลบางเสาธง","153","156","5","5","2","2","1","1","58","60","31","31","0","0","0","0","0","0","0","0","0","0","0","0","57","57"
"10686  :  โรงพยาบาลพระนั่งเกล้า","1,149","1,258","33","34","26","26","23","23","93","93","278","278","496","496","114","114","1","2","5","6","42","44","18","18","124","124"
"10756  :  โรงพยาบาลบางกรวย","187","215","61","63","23","25","18","20","13","13","14","14","22","24","0","0","6","6","14","15","7","7","9","9","19","19"
"10757  :  โรงพยาบาลบางใหญ่","539","549","23","24","69","69","102","102","185","186","139","139","6","6","0","0","0","0","6","6","5","5","8","8","4","4"
"10758  :  โรงพยาบาลบางบัวทอง","459","469","46","46","48","50","51","51","63","63","142","142","9","9","0","0","1","1","8","8","10","10","20","20","69","69"
"10759  :  โรงพยาบาลไทรน้อย","211","216","7","7","17","17","82","82","58","58","24","24","5","5","0","0","1","1","3","3","5","5","6","6","8","8"
"10760  :  โรงพยาบาลปากเกร็ด","265","306","35","35","35","35","27","27","25","25","10","10","69","69","5","5","6","6","37","37","25","25","16","16","16","16"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","567","637","86","86","70","70","46","46","0","0","53","53","43","43","163","163","60","60","31","31","25","25","33","33","27","27"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28875  :  โรงพยาบาลบางบัวทอง ๒","185","201","6","6","2","2","3","3","4","4","72","72","1","1","0","0","0","0","0","0","4","4","0","0","109","109"
"10687  :  โรงพยาบาลปทุมธานี","247","269","73","73","20","20","19","19","28","29","59","60","8","8","1","1","3","3","23","23","6","6","16","16","11","11"
"10761  :  โรงพยาบาลคลองหลวง","730","784","17","17","51","51","628","628","65","68","4","4","4","4","0","0","0","0","0","0","0","0","7","7","5","5"
"10762  :  โรงพยาบาลธัญบุรี","634","644","9","9","252","252","177","177","54","54","88","89","43","43","0","0","1","1","1","1","0","0","1","1","17","17"
"10763  :  โรงพยาบาลประชาธิปัตย์","1,556","1,649","23","23","159","159","173","184","559","569","228","241","329","331","0","0","8","8","15","15","15","15","26","26","77","78"
"10764  :  โรงพยาบาลหนองเสือ","936","1,102","37","37","93","93","230","234","148","148","79","79","9","9","0","0","0","0","5","5","16","16","441","441","38","40"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","1,816","2,212","22","23","399","402","119","119","285","286","874","874","438","439","0","0","5","5","16","16","13","14","20","20","13","14"
"10766  :  โรงพยาบาลลำลูกกา","861","875","36","37","246","246","355","355","16","17","20","21","116","116","1","1","0","0","23","23","20","20","23","23","16","16"
"10767  :  โรงพยาบาลสามโคก","777","886","29","47","16","29","15","23","10","11","128","129","9","9","0","0","0","0","0","0","1","1","634","636","1","1"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","1","1","0","0"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","176","218","36","36","10","10","13","13","25","26","10","10","17","17","0","0","7","7","23","23","34","34","25","25","17","17"
"10688  :  โรงพยาบาลเสนา","941","972","27","27","104","104","351","352","68","68","271","271","100","101","1","1","11","11","15","16","11","11","3","3","7","7"
"10768  :  โรงพยาบาลท่าเรือ","1,148","1,191","73","76","370","377","149","151","268","270","177","177","110","110","0","0","0","0","0","0","7","7","9","10","13","13"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","142","146","7","7","6","6","21","21","24","24","70","70","3","3","0","0","0","0","7","7","1","1","2","2","5","5"
"10770  :  โรงพยาบาลบางไทร","165","173","7","7","5","5","1","1","4","4","5","5","2","2","2","2","0","0","6","6","39","40","100","100","1","1"
"10771  :  โรงพยาบาลบางบาล","1,221","1,229","15","15","457","457","576","576","118","118","2","2","44","44","0","0","0","0","1","1","1","1","4","4","11","11"
"10772  :  โรงพยาบาลบางปะอิน","523","543","37","38","170","171","69","69","119","119","94","94","12","12","1","1","6","6","20","20","5","5","4","4","4","4"
"10773  :  โรงพยาบาลบางปะหัน","2,386","3,990","100","101","15","15","221","225","662","665","135","136","1,062","1,084","5","5","4","4","7","7","59","59","734","737","947","952"
"10774  :  โรงพยาบาลผักไห่","2,036","2,449","112","112","333","334","491","491","272","277","221","221","118","118","30","30","0","0","1","1","29","29","346","347","463","489"
"10775  :  โรงพยาบาลภาชี","153","163","1","1","0","0","1","1","28","28","46","46","85","85","0","0","0","0","1","1","1","1","0","0","0","0"
"10776  :  โรงพยาบาลลาดบัวหลวง","264","365","10","10","7","7","129","130","52","52","4","4","7","7","0","0","0","0","3","3","5","5","7","7","139","140"
"10777  :  โรงพยาบาลวังน้อย","1,666","1,694","15","15","29","29","388","388","867","869","355","356","8","8","0","0","3","3","13","13","4","4","4","4","5","5"
"10778  :  โรงพยาบาลบางซ้าย","303","304","6","6","1","1","271","271","20","20","1","1","0","0","0","0","0","0","0","0","2","2","0","0","3","3"
"10779  :  โรงพยาบาลอุทัย","104","106","5","5","1","1","2","2","18","18","48","48","19","20","0","0","3","3","5","5","1","1","1","1","2","2"
"10780  :  โรงพยาบาลมหาราช","41","45","1","1","3","3","1","1","0","0","2","2","1","1","0","0","26","26","2","2","0","0","3","3","6","6"
"10781  :  โรงพยาบาลบ้านแพรก","134","140","0","0","1","1","10","10","3","3","106","107","9","9","0","0","0","0","8","8","1","1","0","0","1","1"
"10689  :  โรงพยาบาลอ่างทอง","704","708","2","2","2","2","2","2","0","0","0","0","53","53","33","33","38","38","0","0","247","249","199","199","130","130"
"10782  :  โรงพยาบาลไชโย","561","572","5","5","0","0","0","0","49","49","224","224","141","141","86","86","1","1","0","0","0","0","66","66","0","0"
"10784  :  โรงพยาบาลป่าโมก","361","375","24","24","26","26","8","8","33","33","123","124","53","53","16","16","16","16","33","33","14","14","10","10","18","18"
"10785  :  โรงพยาบาลโพธิ์ทอง","1,128","1,410","22","22","134","134","248","248","255","257","232","233","48","48","12","12","18","19","19","19","88","88","163","163","166","167"
"10786  :  โรงพยาบาลแสวงหา","240","240","1","1","9","9","0","0","1","1","138","138","81","81","1","1","1","1","5","5","1","1","1","1","1","1"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","1,557","1,603","43","43","104","105","178","178","350","353","370","371","44","44","4","4","2","2","15","15","10","10","241","242","232","236"
"10788  :  โรงพยาบาลสามโก้","211","218","0","0","0","0","160","160","2","2","0","0","1","1","0","0","1","1","2","2","0","0","51","51","1","1"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","46","48","12","12","5","5","7","7","2","2","1","1","7","7","1","1","3","3","1","1","3","3","1","1","5","5"
"10691  :  โรงพยาบาลบ้านหมี่","604","616","11","11","113","113","200","200","40","41","57","57","183","183","1","1","0","0","9","9","0","0","0","0","1","1"
"10789  :  โรงพยาบาลพัฒนานิคม","527","824","7","7","3","3","0","0","6","11","120","166","391","633","1","1","2","2","1","1","0","0","0","0","0","0"
"10790  :  โรงพยาบาลโคกสำโรง","964","981","7","7","6","6","455","463","229","230","259","259","15","15","0","0","0","0","0","0","0","0","0","0","1","1"
"10791  :  โรงพยาบาลชัยบาดาล","560","567","23","23","169","170","80","80","81","82","60","60","38","38","104","104","1","1","2","2","2","2","1","1","4","4"
"10792  :  โรงพยาบาลท่าวุ้ง","118","118","6","6","0","0","4","4","86","86","19","19","2","2","0","0","0","0","0","0","1","1","0","0","0","0"
"10793  :  โรงพยาบาลท่าหลวง","191","191","7","7","43","43","75","75","5","5","12","12","4","4","4","4","9","9","6","6","13","13","7","7","6","6"
"10794  :  โรงพยาบาลสระโบสถ์","231","245","6","6","46","47","108","109","3","3","39","39","5","5","8","8","9","9","9","9","3","3","5","5","2","2"
"10795  :  โรงพยาบาลโคกเจริญ","239","239","3","3","60","60","145","145","9","9","7","7","3","3","0","0","4","4","2","2","2","2","4","4","0","0"
"10796  :  โรงพยาบาลลำสนธิ","817","820","4","4","15","15","114","114","0","0","61","61","600","601","24","24","1","1","0","0","0","0","0","0","0","0"
