"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"แคปซูลเพชรสังฆาต, ยาแคปซูล","4,999","3,058","184,164","1,034,531.71"
"ยาแผนไทยที่ปรุงสำหรับผู้ป่วยเฉพาะราย, อื่นๆ","4,720","3,548","6,885","334,361.80"
"อำมฤควาที, ยาลูกกลอน","4,498","3,666","44,214","177,146.36"
"หอมบำรุงหัวใจ, ยาเม็ด","4,408","3,432","6,045","230,774.50"
"น้ำมันเหลืองตราพระอินทร์, ยาเข้าน้ำมัน","4,361","3,834","4,539","245,978.50"
"กล้วยขมิ้น, ยาแคปซูล","3,911","3,216","116,242","243,828.41"
"ผสมรางจืด หมอยาไทย, ยาผง","3,850","2,689","33,243","273,298.05"
"หอมอินทจักร, ยาผง","3,768","3,172","16,229","201,894.94"
"ยาหอม  , ยาผง","3,697","2,085","7,762","266,986.25"
"ตำรับโคคลาน, ยาต้ม","3,673","2,974","30,180","3,483,721.00"
"พริกไทย, ยาแคปซูล","3,602","530","70,103","498,335.20"
"แก้ไอสมุนไพร (รพ.วังน้ำเย็น), ยาลูกกลอน","3,511","2,686","5,041","109,021.80"
"ไพลครีม  , ครีม","3,422","2,953","3,547","216,293.00"
"ปราบชมพูทวีป, ยาแคปซูล","3,413","2,556","122,167","258,996.10"
"กษัยเส้น, ยาลูกกลอน","3,395","2,747","94,821","426,832.31"
"แคปซูลผสมเถาวัลย์เปรียง, ยาแคปซูล","3,383","1,942","64,346","496,743.45"
"น้ำมันทาถูนวด , ยาเข้าน้ำมัน","3,365","3,028","3,550","106,440.00"
"หญ้าปักกิ่ง, ยาแคปซูล","3,190","646","27,631","1,180,903.15"
"แก้ไอคัฟฟี, ยาน้ำ","3,158","1,725","4,349","105,909.00"
"เลือดงาม, ยาแคปซูล","3,086","2,231","118,424","245,411.93"
"บรรเทาอาการไอมะขามป้อม , ยาเม็ด","3,068","1,754","8,930","187,831.78"
"มธุรเมหะ (รพ.วังน้ำเย็น), ยาลูกกลอน","3,018","2,534","249,930","657,096.00"
"อมฟ้าทะลายโจร, ยาลูกกลอน","3,017","0","3,976","49,682.85"
"ว่านชักมดลูก, ยาแคปซูล","2,699","1,224","47,817","313,054.35"
"หม่องพริก, ขี้ผึ้ง","2,696","2,116","3,024","113,076.25"
"ยาที่ปรุงสำหรับผู้ป่วยเฉพาะราย, อื่นๆ","2,567","1,846","16,860","253,812.68"
"มะรุม/ผักอีสุม



, ยาแคปซูล","2,514","127","193,468","597,919.70"
"หม่องน้ำ, ยาน้ำ","2,481","1,395","3,255","86,991.00"
"น้ำมันเถาเอ็นอ่อน, ยาเข้าน้ำมัน","2,438","98","4,848","535,130.00"
"แคปซูลอบเชย, ยาแคปซูล","2,416","2,310","2,417","24,320.00"
"แก้ไอมะแว้งสูตร 2, ยาเม็ด","2,382","1,932","2,904","52,448.14"
"ยาบรรเทาริดสีดวงทวาร  เพชรสังฆาต ชนิดแคปซูล, ยาแคปซูล","2,373","796","98,651","396,931.50"
"ริดสีดวงมหากาฬ (ตำรับในระบบทางเดินอาหารส่วนกลางและส่วนปลาย), ยาแคปซูล","2,369","1,112","55,306","285,845.85"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๑, ยาน้ำ","2,328","935","3,518","83,890.00"
"กระชายดำ, ยาแคปซูล","2,241","528","21,985","522,441.70"
"หอมทิพโอสถ ตราโพธิ์ทอง, ยาผง","2,220","1,901","2,875","71,250.50"
"อมรสบ๊วย, ยาลูกกลอน","2,086","693","2,698","39,781.25"
"ทิงเจอร์ทองพันชั่ง, ทิงเจอร์","2,057","1,790","7,385","46,478.46"
"ยอ, ยาแคปซูล","1,928","35","4,371","365,452.10"
"ประสะกะเพรา, ยาแคปซูล","1,908","1,592","41,121","89,234.26"
"หม่องเสลดพังพอน/เสลดพังพอนบาล์ม/หม่องพญายอ/ขี้ผึ้งพญายอ/   ขี้ผึ้งเสลดพังพอน, ขี้ผึ้ง","1,844","742","2,097","67,531.25"
"ตำรับโปร่งฟ้า , ยาแคปซูล","1,752","1,427","30,103","73,767.70"
"มหาหิงคุ์, ยาน้ำ","1,720","1,392","1,971","37,841.95"
"ขี้เหล็ก, ยาแคปซูล","1,642","1,050","19,731","103,836.42"
"อมมะขามป้อม, ยาเม็ด","1,628","1,409","2,880","35,419.00"
"หอมทิพโอสถ, ยาเม็ด","1,621","1,220","13,975","126,707.40"
"แก้ไอมะขามป้อม ตราอภัยภูเบศร สูตร 1 , ยาลูกกลอน","1,555","1,001","1,841","29,307.00"
"แคปไซ-ไพลบาล์ม, ขี้ผึ้ง","1,513","22","2,860","128,905.89"
"พลู, ครีม","1,445","1,228","1,837","101,923.08"
"ไพลซาบาล์ม , ขี้ผึ้ง","1,381","638","1,899","283,385.00"
"ธรณีสัณฑะฆาต, ยาแคปซูล","1,351","1,053","30,233","79,638.58"
"เหลืองปิดสมุทร, ยาแคปซูล","1,329","873","28,241","101,439.37"
"น้ำยูอีคอฟ สูตร 1, ยาน้ำ","1,303","1,059","1,831","36,620.00"
"ไฟประลัยกัลป์, ยาแคปซูล","1,278","1,094","8,833","74,487.00"
"ซินโนวอล, ยาน้ำ","1,275","977","1,435","36,650.00"
"หอมสินธร, ยาผง","1,253","273","2,812","140,480.00"
"แก้ลมขึ้นเบื้องสูง, ยาแคปซูล","1,193","1","4,440","266,105.00"
"แก้ลมอัมพฤกษ์ , ยาผง","1,191","902","7,122","51,841.54"
"ขลู่, ยาชง","1,140","762","25,666","53,978.95"
"แก้ไอพื้นบ้านอีสาน, ยาน้ำ","1,136","754","1,726","46,167.80"
"ปลูกไฟธาตุ, ยาลูกกลอน","1,111","892","16,434","56,969.67"
"ปัญจขันธ์, ยาแคปซูล","1,072","24","3,914","391,620.00"
"สตรีหลังคลอด, ยาต้ม","1,052","660","3,111","101,882.85"
"กันยุงตะไคร้หอม, ยาน้ำ","1,034","921","1,219","65,132.00"
"ใบหม่อน, ยาผง","1,024","224","1,856","64,670.00"
"หม่องขมิ้นชัน, ขี้ผึ้ง","1,024","0","1,069","26,320.00"
"ผสมโคคลาน สูตรตำรับที่ 1, ยาชง","1,023","624","15,192","54,962.00"
"แคปซูลรางจืด ตราธงทอง, ยาแคปซูล","975","742","24,103","87,602.10"
"หม่องเถาเอ็นอ่อน, ขี้ผึ้ง","963","83","2,709","96,415.00"
"กรีนครีม, ครีม","960","737","6,383","193,520.00"
"ชะเอมเทศ, ยาชง","954","659","17,257","34,621.40"
"ถั่วเหลืองสกัด, ยาแคปซูล","952","792","49,118","85,487.00"
"แก้ไอ สูตร 1, ยาลูกกลอน","944","779","18,452","29,107.90"
"แก้ไอสมุนไพร (รพ.กระบี่), ยาน้ำ","917","228","1,232","40,770.00"
"ทับหม้อเกลือ, ยาประคบ","893","883","905","36,350.00"
"บรรเทาริดสีดวงทวาร (รพ.พระปกเกล้า), ยาแคปซูล","890","804","22,565","32,350.00"
"เจลเสลดพังพอน, เจล","842","52","953","55,453.50"
"เหงือกปลาหมอ, ยาแคปซูล","824","342","21,104","59,670.70"
"แคปซูลรางจืด, ยาแคปซูล","819","667","17,359","73,060.30"
"แคปซูลผสมใบบัวบก, ยาแคปซูล","772","34","2,441","45,862.50"
"แผลไฟไหม้น้ำร้อนลวก, เจล","767","594","890","30,023.18"
"ตำรับระบายสมุนไพร, ยาแคปซูล","755","407","20,715","37,715.10"
"แก้เจ็บคอ , อื่นๆ","745","511","16,624","33,956.30"
"หม่องสมุนไพร หนองฉางบาล์ม, ขี้ผึ้ง","722","40","1,535","49,235.00"
"อบหลังคลอด  หมอยาไทย, ยาผง","717","589","1,031","55,090.00"
"ตะไคร้, ยาชง","694","224","1,819","65,095.20"
"แก้ไอมะแว้ง ตราปาริฉัตร, ยาน้ำ","692","588","1,020","33,507.00"
"หม่องฟ้าทะลายโจร, ขี้ผึ้ง","690","173","1,281","40,465.00"
"ขี้ผึ้งไพล สูตรตำรับที่ ๑, ขี้ผึ้ง","683","584","754","14,990.00"
"ยาอมสมุนไพร ตราช่อเขียวมะกอก รสมะแว้ง, ยาเม็ด","678","650","787","7,870.00"
"มธุรเมหะ (รพ.บางกระทุ่ม), ยาชง","647","1","2,521","151,260.00"
"มังคุด/เปลือกมังคุด, ยาน้ำ","602","487","14,526","33,578.50"
"ประสะจันทน์แดง , ยาเม็ด","596","508","7,331","16,651.44"
"อมยูอีคอฟ , ยาเม็ด","593","434","8,071","20,710.00"
"ตำรับชุมเห็ดเทศ, ยาชง","586","499","4,180","61,515.33"
"กานพลู, อื่นๆ","547","486","3,315","19,371.60"
"คลายเส้น (รพ.ห้วยทับทัน), ยาต้ม","537","449","551","32,494.00"
"พลูคาว, ยาแคปซูล","527","67","5,831","331,810.00"
"น้ำมันพริกไพล, ยาเข้าน้ำมัน","527","438","563","24,828.40"
"น้ำมันเสลดพังพอน, ยาเข้าน้ำมัน","523","460","547","14,924.38"
"บำรุงเลือด (รพ.สรรคบุรี), ยาแคปซูล","519","51","1,607","79,370.00"
"ครีมพญายอ ตราไตรแว็ก, ยาครีมสำหรับป้ายปาก","518","340","777","50,051.45"
"ยาระบายส้มแขกชนิดเม็ด เครื่องหมายการค้าดอกว่าน, ยาเม็ด","512","393","30,754","46,201.20"
"หม่องไพล, ขี้ผึ้ง","501","0","501","9,327.00"
"แคปซูลผสมเพชรสังฆาต, ยาแคปซูล","500","381","23,436","33,792.10"
"ภูมิชีวา  , ยาแคปซูล","493","0","1,708","102,480.00"
"ชงสมุนไพรผสมรางจืด, ยาผง","489","438","871","12,832.50"
"แคปซูลบำรุงโลหิต ตราทีเอฟดี, ยาแคปซูล","478","445","9,923","147,461.50"
"บุก, ยาแคปซูล","478","37","41,800","81,540.00"
"ใบเตย, ยาชง","476","10","1,811","57,330.00"
"ดองมะกรูด แผนไทย, ยาน้ำ","468","5","1,039","93,510.00"
"น้ำมันมะกอก, ยาเข้าน้ำมัน","467","386","594","38,286.11"
"แคปซูลผสมรางจืด, ยาแคปซูล","467","374","6,243","13,185.50"
"ประสะกานพลู , ยาแคปซูล","466","348","3,301","17,197.00"
"แคปซูลผสมรางจืด ตราเคเอ็มพี, ยาแคปซูล","461","331","11,342","22,581.60"
"ขับลม แฟลท-ทัย , ยาน้ำ","445","395","472","17,317.00"
"แป๊ะก๊วย, ยาผง","427","22","2,352","100,502.75"
"คลายเส้น สูตร 1, ยาแคปซูล","409","84","1,853","37,280.00"
"ตรีพิกัด, ยาแคปซูล","405","341","9,730","32,234.00"
"ไฟห้ากอง , ยาแคปซูล","397","317","11,129","25,021.26"
"ขี้ผึ้งตราโอสถทิพย์, ขี้ผึ้ง","393","385","393","10,195.00"
"น้ำยาบ้วนปากสมุนไพร, ยาน้ำ","390","309","461","6,305.00"
"เฮโมลอน, ยาแคปซูล","382","284","17,366","24,860.50"
"บรรเทาอาการริดสีดวงทวารหนักชนิดแคปซูล, ยาแคปซูล","377","265","32,786","68,960.10"
"แก้ตะโจพิการ , ยาผง","366","338","708","8,301.00"
"น้ำมันเขียว, ยาเข้าน้ำมัน","365","43","685","79,440.00"
"แห้ม/แฮ่ม, ยาแคปซูล","364","47","4,916","59,898.00"
"วัฒนะ, ยาแคปซูล","362","87","7,461","38,558.50"
"เฮโมลอน 3, ยาแคปซูล","360","199","15,348","28,274.30"
"ลูกใต้ใบ เครื่องหมายการค้าดอกว่าน, ยาเม็ด","359","252","94,704","142,056.00"
"สมุนไพรคำฝอยผสมเก๊กฮวย, ยาชง","353","22","987","48,710.00"
"ขี้ผึ้งสมุนไพร, ขี้ผึ้ง","348","288","411","22,122.96"
"บรรเทาริดสีดวงทวาร (รพ.ห้วยยอด), ยาลูกกลอน","335","162","57,956","58,704.00"
"แก้ไอสมุนไพรบ๊วย, ยาลูกกลอน","329","0","688","6,856.50"
"เบอร์นีเจล, ครีม","325","214","417","16,633.19"
"บำรุงเลือด (รพ.บ้านนา), ยาแคปซูล","320","0","643","51,440.00"
"เถาเอ็นอ่อน, ยาแคปซูล","317","2","18,704","37,660.00"
"ผสมกระเทียมสกัดชนิดเม็ดเครื่องหมายกการค้าขาวละออ, ยาเม็ด","314","170","17,805","44,925.75"
"เสลดพังพอนคาลาไมน์, โลชั่น","312","281","353","9,508.00"
"หญ้าลูกใต้ใบ, ยาแคปซูล","312","195","26,017","30,447.00"
"แก้ท้องเสีย, อื่นๆ","301","236","3,983","17,356.80"
"ตำรับแก้น้ำนมพิการ, ยาน้ำ","299","166","741","65,365.00"
"อายุวัฒนะ, ยาลูกกลอน","279","246","7,195","23,364.50"
"ตำรับหญ้าหนวดแมว สูตร 1, ยาต้ม","279","248","766","15,404.34"
"เหงือกปลาหมอพริกไทย, ยาชง","272","71","3,743","41,997.80"
"แคปซูลผสมมะขามแขก ตราอภัยภูเบศร, ยาแคปซูล","271","192","8,242","21,385.00"
"เซ็นนาฮอฟ, ยาแคปซูล","267","192","7,012","10,121.90"
"แคปซูลหญ้าปักกิ่ง, ยาแคปซูล","259","13","2,526","71,371.20"
"เกสรทั้ง 5, ยาชง","250","0","512","15,360.00"
"แคปซูลบอระเพ็ด, ยาแคปซูล","249","43","1,344","19,630.20"
"แคปซูลสมุนไพรตราฟิตเน่, ยาแคปซูล","248","233","1,787","9,137.50"
"แก้ไอสมุนไพรส้ม, ยาลูกกลอน","245","0","497","4,957.50"
"ฝาง, ยาชง","235","126","452","15,843.50"
"ผสมรางจืด, ยาชง","233","145","825","15,453.75"
"กานพลูผสมหญ้าดอกขาว, ยาน้ำ","232","188","1,016","6,959.00"
"อัมรินทร์, ยาแคปซูล","231","107","6,035","31,083.00"
"แก้น้ำนมพิการ(รพ.กุดชุม), ยาผง","230","212","387","8,260.00"
"คลายเส้น สูตร 2, ยาแคปซูล","226","13","752","25,840.00"
"แก้ไอมะนาว, ยาน้ำ","221","43","435","13,050.00"
"แก้แพ้อากาศ, ยาลูกกลอน","219","134","25,533","38,628.00"
"แก้ปวดกล้ามเนื้อ, ยาแคปซูล","212","205","2,135","3,780.00"
"ขี้ผึ้งเสลดพังพอนตราบักส์, ขี้ผึ้ง","207","150","227","8,825.79"
"เห็ดหลินจือ/เห็ดขอนไม้, ยาแคปซูล","207","33","9,453","214,050.00"
"โคคลาน, ยาต้ม","199","197","199","5,870.00"
"แก้ไอมะขาม , ยาน้ำ","193","116","306","6,996.00"
"คลายกล้ามเนื้อ, ยาต้ม","189","4","402","22,000.00"
"เพกา, ยาแคปซูล","187","1","354","58,356.00"
"ยาอาบ   หมอยาไทย, ยาผง","178","160","204","12,400.00"
"แก้เริม งูสวัด /แก้เริม งูสวัด สุกใส, ยาน้ำ","168","129","194","5,138.00"
"แก้โลหิตตังพิการ (รพ.เรณูนคร), ยาแคปซูล","165","79","591","58,860.00"
"แคปซูลผสมกระเทียม ตราพระอินทร์, ยาแคปซูล","164","23","9,206","20,898.25"
"ผสมเพชรสังฆาต, ยาแคปซูล","158","111","6,933","25,439.50"
"ขับลมเบอร์ 1    , ยาแคปซูล","157","152","6,120","6,813.60"
"น้ำมันไพลผสมใบบักบก ตราโกมุทประสานกาย, ยาเข้าน้ำมัน","154","131","152","10,015.00"
"นมนาง, ยาต้ม","148","0","862","18,010.00"
"ประสะมะแว้ง ตราหินทอง ชนิดเม็ด, ยาลูกกลอน","147","139","185","1,493.00"
"ส้มโอมือ, ยาผง","145","46","170","8,500.00"
"ประสะน้ำนม ทีเอฟดี, ยาแคปซูล","144","103","7,496","10,961.00"
"ประสะน้ำนม (บริษัทพาราฟาร์มาซูติคอล จำกัด), ยาเม็ด","143","132","5,458","12,448.00"
"พญายอครีม   , ครีม","141","121","155","9,242.47"
"ระบายมะขามแขก(ยาสามัญประจำบ้าน), ยาเม็ด","139","48","3,292","9,758.10"
"ตำรับกระเทียมแคปซูล, ยาแคปซูล","138","69","682","56,892.00"
"บรรเทาริดสีดวงทวาร (รพ.ลี้), ยาแคปซูล","138","118","303","20,715.00"
"มะตูม, ยาผง","137","121","212","4,721.20"
"แอนดิแลค, ยาแคปซูล","137","121","7,929","11,893.50"
"แคปซูลเถาเอ็นอ่อน, ยาแคปซูล","136","119","3,154","3,151.60"
"แก้ไอสมุนไพรฟ้าทะลายโจร, ยาลูกกลอน","134","0","344","3,228.50"
"แคปซูลดอกคำฝอย, ยาแคปซูล","133","75","246","17,220.00"
"น้ำมันไพลขมิ้น, ยาเข้าน้ำมัน","130","90","2,368","10,642.00"
"ยากระเพาะอาหาร, ยาแคปซูล","128","122","3,270","5,081.20"
"ผสมเพชรสังฆาตสูตรตำรับที่ 1, ยาแคปซูล","126","58","1,539","29,423.00"
"แก้กษัยแคปซูลสูตร 1, ยาแคปซูล","123","115","1,779","3,558.00"
"ทิงเจอร์พลู, ทิงเจอร์","122","91","127","3,731.00"
"ย่านางแดง, ยาชง","120","93","456","2,726.00"
"แก้ไอกานพลู , ยาลูกกลอน","116","101","130","2,210.00"
"ใบหม่อน-ใบเตย, ยาชง","115","77","224","3,893.00"
"แคปซูลดอกคำฝอย ตราธงทอง, ยาแคปซูล","114","77","3,602","5,220.00"
"ยาถ่าย (รพ.ประโคนชัย), ยาแคปซูล","111","80","2,078","19,771.00"
"แก้ไอมะกรูด, ยาน้ำ","106","20","187","5,610.00"
"ประสะเปราะใหญ่, ยาแคปซูล","104","96","172","2,674.80"
"ทองพันชั่ง, ยาชง","103","39","168","4,435.00"
"แก้ไอเบอร์ 8, ยาแคปซูล","99","72","3,585","1,800.00"
"ดมสมุนไพร, ยาดม","99","11","125","3,565.00"
"ลม เบอร์ 65, ยาแคปซูล","98","67","8,660","5,196.00"
"บรรเทาหวัดแพ้อากาศ , ยาแคปซูล","97","57","6,017","7,207.80"
"สัตถกวาตะ, ยาแคปซูล","93","70","10,976","5,488.00"
"คลายเส้น (รพ.กาบเชิง), ยาลูกกลอน","89","56","95","4,853.40"
"ตำรับมะระรวม  , ยาแคปซูล","88","46","2,362","3,732.00"
"ช้าพลู, ยาชง","88","61","273","3,406.00"
"หอมเบอร์ 80, ยาแคปซูล","87","64","4,249","5,523.70"
"หอมระย่อม, ยาแคปซูล","84","36","3,479","5,566.40"
"แก้ไอวิริยมัย สูตรมะขามป้อม, ยาน้ำ","84","42","382","3,820.00"
"แก้น้ำนมพิการ(รพ.กาบเชิง), ยาผง","82","59","116","3,588.00"
"อบเชย, ยาต้ม","81","48","2,079","7,357.50"
"มันทธาตุ, ยาแคปซูล","81","43","4,078","6,194.80"
