"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"แก้ไอมะขามป้อม ตราไอยรา, ยาน้ำ","87,019","58,039","129,460","2,659,757.82"
"เพชรสังฆาต, ยาแคปซูล","83,583","60,204","3,940,015","7,349,121.09"
"ลูกประคบสมุนไพรร้านหมอยาไทย 101, ยาประคบ","75,261","60,525","84,807","4,801,531.48"
"เหลืองปิดสมุทร, ยาเม็ด","72,712","52,108","1,048,931","3,832,056.60"
"ตรีผลา / พิกัดตรีผลา , ยาแคปซูล","72,103","41,365","2,216,888","5,184,141.07"
"ลูกประคบสมุนไพรอินไทย, ยาประคบ","71,829","55,901","92,089","4,760,216.67"
"แคปซูลเพชรสังฆาต ตราเคเอ็มพี, ยาแคปซูล","71,061","47,594","2,563,230","6,233,764.88"
"น้ำยูอีคอฟ สูตร 2 , ยาน้ำ","67,958","50,404","86,950","1,226,842.62"
"จันทน์ลีลา, ยาแคปซูล","66,685","46,732","1,806,258","3,545,998.91"
"หญ้าดอกขาว, ยาชง","66,361","51,987","617,616","6,899,312.58"
"สมุนไพรอบตัว, ยาต้ม","66,108","51,466","74,010","4,605,929.09"
"แก้ไอมะขามป้อม ตราอภัยภูเบศร, ยาน้ำ","65,842","40,927","137,906","1,373,423.47"
"หญ้าหนวดแมว, ยาชง","61,569","47,340","630,428","7,234,695.52"
"สหัสธารา, ยาแคปซูล","58,804","46,374","1,589,288","2,718,848.43"
"ผสมเพชรสังฆาต สูตรตำรับที่ 1, ยาแคปซูล","56,571","41,204","2,329,596","4,657,665.28"
"ยาที่ปรุงสำหรับผู้ป่วยเฉพาะราย, อื่นๆ","55,717","34,843","142,947","8,743,479.81"
"ธาตุบรรจบ , ยาลูกกลอน","54,209","38,056","1,084,406","3,518,184.15"
"ประสะไพล , ยาผง","53,096","38,985","1,498,400","3,767,691.15"
"ชุมเห็ดเทศ, ยาผง","51,500","36,500","845,009","2,390,651.31"
"แก้ไอมะแว้ง , ยาน้ำ","50,910","39,144","162,548","1,244,001.96"
"แก้ไอผสมมะนาวดอง, ยาลูกกลอน","50,712","37,024","76,457","939,786.52"
"แก้ไอผสมมะขามป้อม, ยาน้ำ","48,928","31,504","62,405","925,767.11"
"ผสมเถาวัลย์เปรียง สูตรตำรับที่ 2, ยาลูกกลอน","47,454","41,086","975,972","2,249,759.97"
"หม่องเสลดพังพอน/เสลดพังพอนบาล์ม/หม่องพญายอ/ขี้ผึ้งพญายอ/ขี้ผึ้งเสลดพังพอน, ขี้ผึ้ง","42,977","20,776","47,402","1,789,112.54"
"แคปซูลผสมเถาวัลย์เปรียง ตราพระอินทร์, ยาแคปซูล","41,988","35,481","770,199","2,681,357.45"
"คำฝอย, ยาชง","41,888","30,489","450,371","2,726,767.90"
"ปราบชมพูทวีป, ยาแคปซูล","40,888","26,087","1,315,328","3,790,604.41"
"แก้ไอผสมมะขามป้อม ตราวังหลัง, ยาน้ำ","40,087","26,491","83,716","876,837.86"
"แก้ไอมะแว้งตราเคเอ็มพี , ยาน้ำ","40,035","27,958","84,791","641,900.98"
"แก้ไอมะแว้งไล้ท์ ตราไอยรา, ยาน้ำ","39,730","28,255","56,072","1,088,528.50"
"บำรุงโลหิต, ยาแคปซูล","37,864","24,954","1,353,718","3,222,848.86"
"มะขามแขกตราธงทอง, ยาเม็ด","36,577","25,303","2,139,988","3,266,512.76"
"กระเจี๊ยบแดง, ยาชง","36,413","28,319","169,671","1,550,888.33"
"คลายเส้น (พญาเม็งราย), ยาแคปซูล","35,165","30,296","801,091","1,031,606.50"
"บัวบก, ครีม","33,799","23,398","502,512","2,140,737.44"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๑, ยาน้ำ","32,488","21,397","44,104","761,674.78"
"ว่านหางจระเข้, เจล","31,540","20,006","65,098","2,067,530.28"
"น้ำยูอีคอฟ สูตร 1, ยาน้ำ","31,123","21,994","39,359","676,845.25"
"ซินโนวอล, ยาน้ำ","30,802","22,822","79,105","873,068.20"
"ยาแผนไทยที่ปรุงสำหรับผู้ป่วยเฉพาะราย, อื่นๆ","29,953","23,134","56,825","2,903,853.48"
"หม่องไพล ตราพระอินทร์, ขี้ผึ้ง","27,764","21,839","28,137","1,026,814.05"
"ธรณีสันฑะฆาต, ยาแคปซูล","27,485","19,358","795,158","1,559,080.09"
"เบญจกูล / พิกัดเบญจกูล, ยาแคปซูล","26,723","17,918","751,833","1,813,218.20"
"อมผสมมะแว้ง, ยาเม็ด","26,148","20,275","55,106","408,898.15"
"แคปซูลผสมเถาวัลย์เปรียง, ยาแคปซูล","25,726","21,608","531,650","1,267,413.85"
"แก้ไอมะขามป้อมสูตร 1 , ยาลูกกลอน","25,525","17,711","30,445","817,249.25"
"บรรเทาริดสีดวงทวารหนักเพชรสังฆาตชนิดแคปซูล, ยาแคปซูล","24,358","17,417","1,078,383","2,030,342.33"
"เขียวหอม, ยาผง","23,654","16,982","436,817","1,996,330.01"
"กล้วย, ยาผง","23,449","18,151","415,572","1,082,570.48"
"แก้ไอมะแว้งน้ำดำ, ยาน้ำ","23,225","18,003","28,479","920,011.21"
"ผสมเพชรสังฆาต สูตรตำรับที่ 2, ยาแคปซูล","22,951","17,723","858,798","1,654,844.86"
"แก้ไอพื้นบ้านอีสาน, ยาน้ำ","22,627","16,818","26,961","810,359.98"
"กษัยเส้น ตราพรีราน่า, ยาแคปซูล","22,314","18,956","440,035","1,226,185.20"
"น้ำมันเหลือง, ยาเข้าน้ำมัน","21,273","16,410","25,748","1,136,445.97"
"แคปซูลเพชรสังฆาต, ยาแคปซูล","20,831","14,735","947,048","1,850,164.97"
"กระเทียม, ยาแคปซูล","20,798","3,791","1,650,858","4,924,542.63"
"หอมบำรุงหัวใจ, ยาผง","18,717","14,850","38,995","840,190.37"
"พิมเสนน้ำ, ยาน้ำ","18,573","10,613","25,118","809,743.50"
"สเปรย์กระดูกไก่ดำ-ขัดมอญ, ยาน้ำ","18,078","7,348","17,912","2,149,440.00"
"หอมทิพโอสถ, ยาผง","17,522","13,400","28,501","831,329.97"
"ห้าราก / แก้ไข้ห้าราก / แก้วห้าดวง / เบญจโลกวิเชียร , ยาแคปซูล","17,021","12,739","415,471","1,379,004.89"
"ธรณีสัณฑะฆาต, ยาแคปซูล","16,602","10,010","617,339","1,140,571.99"
"หม่องสมุนไพร / หม่อง / หม่องแก้ปวด, ขี้ผึ้ง","15,595","13,059","16,185","381,398.43"
"ปลูกไฟธาตุ, ยาแคปซูล","14,474","11,286","309,110","764,852.98"
"น้ำมันกาสลัก, ยาเข้าน้ำมัน","14,150","11,160","15,427","787,144.25"
"หอมทิพโอสถ ตราโพธิ์ทอง, ยาผง","13,956","9,844","18,473","796,255.90"
"น้ำมันกัญชา, ยาเข้าน้ำมัน","13,591","2,988","38,394","22,724.00"
"คลายเส้น (รพ.กาบเชิง), ยาลูกกลอน","13,462","10,508","89,317","671,631.52"
"ฝาง, ยาชง","13,417","11,279","16,744","306,057.00"
"อำมฤควาที, ยาลูกกลอน","12,873","8,062","178,233","634,442.44"
"หม่องเสลดพังพอน/เสลดพังพอนบาล์ม/หม่องพญายอ/ขี้ผึ้งพญายอ/   ขี้ผึ้งเสลดพังพอน, ขี้ผึ้ง","12,756","7,310","17,738","566,998.15"
"ทิงเจอร์ทองพันชั่ง, ทิงเจอร์","12,721","10,466","50,575","489,633.11"
"หอมอินทจักร, ยาเม็ด","12,682","8,253","116,100","783,845.89"
"น้ำมันคนทีสอทะเล, ยาเข้าน้ำมัน","12,557","4,999","14,537","1,093,935.00"
"หม่องน้ำ, ยาน้ำ","12,346","8,200","14,843","421,407.20"
"ยาน้ำแก้ไอมะขามป้อม ตราเอมบริโคล, ยาน้ำ","12,044","9,143","14,317","272,023.64"
"น้ำมันเหลืองตราพระอินทร์, ยาเข้าน้ำมัน","11,557","9,783","12,492","742,171.30"
"แก้ไอวิริยมัย สูตรมะขามป้อม, ยาน้ำ","11,489","9,026","13,424","194,072.19"
"กษัยเส้น, ยาลูกกลอน","11,316","8,332","195,565","579,770.20"
"เห็ดหลินจือ/เห็ดขอนไม้, ยาแคปซูล","10,717","160","745,635","5,908,679.00"
"แก้ไอมะแว้งน้ำเชื่อม, ยาน้ำ","10,584","7,506","14,153","307,664.30"
"ผสมรางจืด หมอยาไทย, ยาผง","10,183","8,236","31,122","683,910.29"
"เลือดงาม, ยาแคปซูล","10,094","7,248","269,949","683,069.78"
"แก้ไอมะแว้งตรา ที.เฮิร์บ, ยาน้ำ","10,089","7,509","19,044","138,877.86"
"บอระเพ็ด, ยาแคปซูล","9,738","7,602","251,591","1,772,943.47"
"แก้ไอมะแว้งสูตร 1 , ยาเม็ด","9,554","6,801","33,849","216,931.00"
"ขี้ผึ้งไพล สูตรตำรับที่ ๑, ขี้ผึ้ง","9,043","6,685","9,817","212,325.00"
"แก้ไอมะขามป้อมสูตร 2, ยาลูกกลอน","8,794","3,954","21,311","693,527.00"
"แก้ไอมะแว้งตรามังกรทอง, ยาน้ำ","8,636","5,633","14,370","145,736.90"
"บรรเทาอาการไอมะขามป้อม , ยาเม็ด","8,562","6,781","20,204","219,768.20"
"น้ำมันเถาเอ็นอ่อน, ยาเข้าน้ำมัน","8,554","83","16,340","1,596,406.00"
"ผสมโคคลาน สูตรตำรับที่ 2, ยาต้ม","8,517","7,644","20,824","239,115.50"
"หม่องตะไคร้/หม่องตะไคร้หอม, ขี้ผึ้ง","8,393","7,625","9,437","378,154.82"
"แก้ไอผสมกานพลู, ยาลูกกลอน","8,239","6,666","17,088","209,732.95"
"แคปซูลผสมมะขามแขก ตราอภัยภูเบศร, ยาแคปซูล","7,998","5,330","424,858","863,748.40"
"แลกซ์เซ่น ทีเอ็ม ชนิดเม็ด , ยาเม็ด","7,710","3,597","613,183","950,855.75"
"ไพลครีม  , ครีม","7,312","6,217","11,125","278,633.59"
"อมรสบ๊วย, ยาลูกกลอน","7,031","5,733","10,883","98,850.78"
"สตรีหลังคลอด, ยาต้ม","6,937","5,202","37,441","548,547.90"
"แก้ไอยูอีคอฟ สูตร 3, ยาน้ำ","6,518","4,764","7,995","119,775.55"
"ครีมไพล, ครีม","6,468","3,622","6,612","393,157.00"
"อมมะขามป้อม, ยาเม็ด","5,907","4,894","8,063","228,274.00"
"แคปซูลรางจืด ตราธงทอง, ยาแคปซูล","5,861","4,651","145,417","287,407.20"
"กันยุงตะไคร้หอม, ยาน้ำ","5,695","4,721","6,501","271,484.08"
"ยาหอม  , ยาผง","5,622","2,623","51,723","566,482.10"
"น้ำมันเสลดพังพอน, ยาเข้าน้ำมัน","5,482","4,516","5,675","233,148.05"
"กล้วยขมิ้น, ยาแคปซูล","5,448","4,639","139,136","295,539.79"
"ริดสีดวงมหากาฬ (ตำรับในระบบทางเดินอาหารส่วนกลางและส่วนปลาย), ยาแคปซูล","5,247","3,865","213,872","518,593.73"
"ขี้ผึ้งสมุนไพร, ขี้ผึ้ง","5,247","4,540","5,308","163,616.00"
"หม่องไพล, ขี้ผึ้ง","5,235","2,642","5,290","144,915.00"
"ขี้เหล็ก, ยาแคปซูล","4,998","4,347","107,126","206,111.66"
"แก้ปวดเมื่อย, ยาต้ม","4,890","3,798","7,685","177,429.19"
"แก้ไอยูอีคอฟ โอเอส, ยาน้ำ","4,862","2,707","6,387","89,199.00"
"แคปซูลผสมรางจืด ตราเคเอ็มพี, ยาแคปซูล","4,814","3,666","125,699","225,348.28"
"น้ำแก้ไอมะขามป้อม ตราแสงดาว, ยาน้ำ","4,762","3,578","5,721","119,915.00"
"หม่องผสมไพล ตราวังหลัง, ขี้ผึ้ง","4,111","2,550","4,421","164,711.50"
"แก้ลมอัมพฤกษ์ , ยาผง","3,991","2,710","36,443","305,751.51"
"หญ้าปักกิ่ง, ยาชง","3,966","1,661","158,936","1,229,952.95"
"แก้ไอกานพลู , ยาลูกกลอน","3,964","3,105","22,805","77,059.40"
"ยาพอกเข่า, ยาน้ำแขวนตะกอน","3,937","2,753","5,217","385,742.50"
"ว่านชักมดลูก, ยาแคปซูล","3,873","3,077","75,230","215,088.65"
"อมฟ้าทะลายโจร, ยาลูกกลอน","3,863","2,896","5,103","64,670.25"
"ผสมเพชรสังฆาต, ยาแคปซูล","3,796","3,094","126,898","225,321.86"
"แก้ไอมะขามป้อม ตราปาริฉัตร, ยาน้ำ","3,708","3,131","4,012","68,206.00"
"แก้ไอมะขามป้อม ตราเวชกร, ยาน้ำ","3,566","3,057","3,800","148,564.50"
"หม่องพริกไพล, ขี้ผึ้ง","3,483","3,102","3,835","111,591.50"
"เซ็นนาฮอฟ, ยาแคปซูล","3,437","2,269","244,253","33,421,836.90"
"ตำรับโปร่งฟ้า , ยาแคปซูล","3,365","2,495","66,296","141,663.43"
"ประสะจันทน์แดง , ยาแคปซูล","3,268","1,651","97,264","183,980.67"
"แก้ไอคัฟฟี, ยาน้ำ","3,148","2,680","3,917","83,615.50"
"ยาพอกดูดพิษ, ยาพอก","3,141","2,014","4,064","382,715.00"
"น้ำมันกระดูกไก่ดำ-ขัดมอญ, ยาเข้าน้ำมัน","3,133","1,361","3,573","214,380.00"
"แคปซูลผสมรางจืด, ยาแคปซูล","3,107","2,546","60,466","142,774.65"
"ตรีธาตุ, ยาแคปซูล","3,094","2,506","18,378","209,325.55"
"ครีมกะเม็ง, ครีม","3,093","2,342","4,456","308,863.00"
"ศุขไสยาศน์, ยาผง","3,019","940","39,940","142,440.48"
"ส้มแขก, ยาแคปซูล","2,973","1,057","240,056","540,765.98"
"ยาบรรเทาริดสีดวงทวาร  เพชรสังฆาต ชนิดแคปซูล, ยาแคปซูล","2,959","1,549","116,496","281,574.90"
"อโรติกา รัปโลชั่น, โลชั่น","2,844","0","2,923","246,993.50"
"เฮโมลอน 3, ยาแคปซูล","2,832","2,205","89,101","199,432.30"
"แก้ไอสมุนไพร (รพ.กระบี่), ยาน้ำ","2,765","1,123","3,315","115,035.00"
"เจนิสต้า, ยาแคปซูล","2,749","1,479","98,071","182,118.25"
"ขับลม แฟลท-ทัย , ยาน้ำ","2,706","2,439","3,006","68,611.00"
"แผลไฟไหม้น้ำร้อนลวก, เจล","2,663","1,621","3,509","90,550.23"
"ยาอมสมุนไพร ตราช่อเขียวมะกอก รสมะแว้ง, ยาเม็ด","2,656","2,029","3,331","29,307.85"
"ประสะกะเพรา, ยาแคปซูล","2,642","1,725","88,986","172,612.04"
"การ์ซิดีน, ยาน้ำ","2,620","1,733","2,699","120,320.15"
"แคปซูลผสมใบบัวบก, ยาแคปซูล","2,594","1,888","49,614","74,719.80"
"แคปซูลบำรุงโลหิต ตราทีเอฟดี, ยาแคปซูล","2,554","1,489","124,448","195,977.50"
"ชงสมุนไพรผสมรางจืด, ยาผง","2,527","1,850","10,710","71,101.85"
"กระชายดำ, ยาแคปซูล","2,423","400","230,462","558,753.92"
"ตำรับเบาหวาน, ยาแคปซูล","2,381","1,849","282,508","856,400.12"
"หม่องขมิ้นชัน, ขี้ผึ้ง","2,322","1,612","2,430","64,965.00"
"หอมสินธร, ยาผง","2,297","241","6,431","319,633.00"
"มหาหิงคุ์, ยาน้ำ","1,992","1,597","3,134","41,226.22"
"ทำลายพระสุเมรุ, ยาผง","1,972","906","36,135","176,245.24"
"ยอ, ยาแคปซูล","1,930","1,214","35,156","170,809.87"
"แคปซูลรางจืด, ยาแคปซูล","1,904","1,631","77,694","117,133.60"
"แคปซิลเจล , เจล","1,854","1,221","2,167","126,029.00"
"ตำรับโคคลาน, ยาต้ม","1,807","1,265","77,177","134,523.62"
"ยาอาบ   หมอยาไทย, ยาผง","1,803","1,521","2,094","125,371.00"
"ถ่ายดีเกลือฝรั่ง , ยาแคปซูล","1,746","1,376","19,851","52,430.34"
"แคปซูลบอระเพ็ด, ยาแคปซูล","1,740","1,089","86,307","131,776.30"
"อบหลังคลอด  หมอยาไทย, ยาผง","1,703","1,360","2,273","101,020.44"
"ยาอมหญ้าดอกขาว, ยาลูกกลอน","1,692","1,466","5,232","59,556.25"
"มันทธาตุ, ยาเม็ด","1,651","964","54,797","151,547.79"
"ฉวีเวชโอสถ, ยาเข้าน้ำมัน","1,614","1,020","1,641","217,628.00"
"พอกเข่าสมุนไพร, ยาพอก","1,586","745","1,611","148,535.00"
"แคปซูลเถาเอ็นอ่อน, ยาแคปซูล","1,571","873","49,111","106,872.00"
"ผสมเพชรสังฆาต สูตรตำรับที่ ๑, ยาแคปซูล","1,545","1,054","44,862","193,940.68"
"แก้ไอมะขามป้อม ตราอภัยภูเบศร สูตร 1 , ยาลูกกลอน","1,543","1,111","1,775","22,271.25"
"หลังคลอด (รพ.ตระการพืชผล), ยาต้ม","1,538","1,235","1,752","153,027.40"
"ไฟประลัยกัลป์, ยาแคปซูล","1,511","1,060","45,953","105,908.09"
"หม่องพริก, ขี้ผึ้ง","1,510","997","1,869","71,478.90"
"ใบเตย, ยาชง","1,509","254","5,168","183,163.00"
"แคปซูลอบเชย, ยาแคปซูล","1,505","1,337","7,890","33,015.72"
"ยาดมสมุนไพร, ยาดม","1,503","959","1,593","57,652.00"
"แก้ตะโจพิการ , ยาผง","1,465","1,403","2,720","80,525.00"
"พลู, ครีม","1,465","1,078","1,825","66,496.72"
"พอกเข่า (รพ.บ้านไผ่), ยาพอก","1,437","376","1,485","160,140.00"
"พริกไทย, ยาแคปซูล","1,434","77","157,623","347,462.80"
"คลายเส้น (รพ.ตระการพืชผล), ยาแคปซูล","1,405","1,160","17,355","120,223.00"
"ประสะกานพลู , ยาเม็ด","1,398","780","44,171","74,315.44"
"บรรเทาริดสีดวงทวาร (รพ.สูงเนิน), ยาลูกกลอน","1,398","1,023","2,920","61,416.75"
"ผสมโคคลาน สูตรตำรับที่ 1, ยาชง","1,353","780","3,866","84,460.60"
"มังคุด/เปลือกมังคุด, ยาน้ำ","1,347","1,001","3,506","68,879.25"
"ตะไคร้, ยาชง","1,318","421","3,587","157,297.00"
"เถาเอ็นอ่อน, ยาแคปซูล","1,294","973","10,067","44,024.50"
"น้ำยาบ้วนปากสมุนไพร, ยาน้ำ","1,274","1,119","1,389","41,354.50"
"อมยูอีคอฟ , ยาเม็ด","1,261","993","1,900","16,838.25"
"ทับหม้อเกลือ, ยาประคบ","1,247","1,179","1,464","89,023.50"
"ทิพย์โอสถ, ยาลูกกลอน","1,245","1,156","3,725","87,064.80"
"ตรีพิกัด, ยาต้ม","1,240","945","29,728","118,940.60"
"บรรเทาอาการริดสีดวงทวารหนักชนิดแคปซูล, ยาแคปซูล","1,232","778","66,346","110,583.94"
"ชงกระเจี๊ยบ, ยาชง","1,219","583","17,159","146,558.45"
"ประสะน้ำนม ทีเอฟดี, ยาแคปซูล","1,216","805","51,882","94,945.10"
"เหงือกปลาหมอพริกไทย, ยาแคปซูล","1,196","751","98,810","104,589.90"
"ระบายมะขามแขก(ยาสามัญประจำบ้าน), ยาเม็ด","1,194","1,043","21,807","68,194.40"
"แก้น้ำนมพิการ(รพ.กาบเชิง), ยาผง","1,178","789","1,813","63,167.40"
"แก้ลมขึ้นเบื้องสูง, ยาผง","1,173","4","277,615","279,174.00"
"แป๊ะก๊วย, ยาชง","1,172","48","4,886","372,370.00"
"แก้คัน, ยาน้ำแขวนตะกอน","1,163","864","1,232","169,425.00"
"แก้เจ็บคอ , อื่นๆ","1,140","984","14,231","43,545.15"
"แคปซูลผสมฟ้าทะลายโจร เอส.บี., ยาแคปซูล","1,105","851","20,433","36,035.66"
"ผสมรางจืด, ยาชง","1,087","703","9,317","65,439.75"
"อมสมุนไพร (รสบ๊วย), ยาลูกกลอน","1,080","801","1,243","15,136.00"
"แก้ไอสมุนไพร (รพ.วังน้ำเย็น), ยาลูกกลอน","1,068","823","3,629","35,735.63"
"ยาอมสมุนไพร ตราช่อเขียวมะกอก รสกานพลู, ยาเม็ด","1,067","861","1,198","17,459.91"
"หม่องสมุนไพร, ขี้ผึ้ง","1,035","827","1,094","32,785.00"
"โคคลาน, ยาแคปซูล","1,013","669","27,109","91,043.30"
"น้ำมันเขียว, ยาเข้าน้ำมัน","1,012","21","1,267","148,210.00"
"มะรุม/ผักอีสุม



, ยาแคปซูล","1,010","11","171,054","325,007.47"
"ตำรับหญ้าหนวดแมว สูตร 1, ยาต้ม","1,004","927","4,151","27,051.09"
"ครีมพญายอ ตราไตรแว็ก, ยาครีมสำหรับป้ายปาก","1,000","783","1,399","75,448.68"
"ลม 108 จำพวก , ยาผง","973","862","1,010","33,572.50"
"เจลเสลดพังพอน, เจล","952","63","1,007","59,540.00"
"อมผสมมะแว้งมะขามป้อม ตราอินทนนท์, ยาเม็ด","941","661","1,380","32,915.50"
"ริดสีดวงทวารแคปซูล สูตร 1, ยาแคปซูล","929","753","12,394","159,280.32"
"พญายอครีม   , ครีม","885","610","1,291","63,820.15"
"บรรเทาริดสีดวงทวาร สูตร 2, ยาแคปซูล","866","493","47,553","97,331.00"
"อมแก้ไอรสบ๊วย     , ยาลูกกลอน","859","665","1,178","22,542.00"
"ผสมโคคลาน สูตรตำรับที่ 3, ยาต้ม","854","763","1,109","45,710.00"
"แก้ไอมะนาว, ยาน้ำ","852","238","1,592","40,375.00"
"แก้ปวดกล้ามเนื้อ, ยาแคปซูล","847","789","18,357","31,180.50"
"อบเชย, ยาต้ม","835","756","891","20,207.00"
"มธุรเมหะ (รพ.วังน้ำเย็น), ยาลูกกลอน","811","688","39,191","108,030.75"
"ดีบัว, ยาแคปซูล","800","274","1,695","169,500.00"
"ผสมโคคลาน สูตรตำรับที่ ๒, ยาต้ม","791","368","834","48,777.00"
"หม่องเถาเอ็นอ่อน, ขี้ผึ้ง","786","5","2,136","72,490.00"
"ยากระเพาะอาหาร, ยาแคปซูล","766","715","16,162","28,301.40"
"แคปซี บาล์ม, ขี้ผึ้ง","765","229","815","37,145.00"
"หม่องสุคนธ์ทิพย์, ขี้ผึ้ง","757","647","859","19,395.00"
"แก้อัมพฤกษ์ อัมพาต(กาบเชิง), ยาผง","743","605","1,027","43,554.00"
"ห้าราก/แก้ไข้ห้าราก/แก้วห้าดวง/เบญจโลกวิเชียร, ยาแคปซูล","727","331","26,621","40,069.50"
"ทิงเจอร์พลู, ทิงเจอร์","727","499","983","28,939.10"
"แก้ลสิกาพิการ, ยาเข้าน้ำมัน","726","11","2,112","179,520.00"
"แคปซูลดอกคำฝอย ตราธงทอง, ยาแคปซูล","718","487","29,003","43,434.00"
"ตำรับระบายสมุนไพร, ยาแคปซูล","705","627","18,839","29,785.70"
"ถั่วเหลืองสกัด, ยาแคปซูล","698","435","36,714","217,642.00"
"พอกสมุนไพร, ยาพอก","695","373","5,162","71,140.72"
"บำรุงน้ำนม, ยาต้ม","692","589","1,049","41,250.50"
"ตำรับหญ้าหนวดแมว สูตร 2, ยาต้ม","690","575","968","45,415.00"
"ลดไข้เบอร์ 1, ยาเม็ด","687","545","8,578","14,530.20"
"ไฟห้ากอง , ยาแคปซูล","660","420","25,135","37,127.47"
"แคปซูลสมุนไพรผสมเพชรสังฆาต, ยาแคปซูล","658","262","31,454","64,289.75"
"ใบหม่อน, ยาชง","647","328","7,937","69,100.00"
"เทพธารา (รพ.อู่ทอง), ยาแคปซูล","625","467","27,356","33,009.00"
"น้ำมันสะเก็ดเงิน, ยาเข้าน้ำมัน","625","151","4,917","323,797.00"
"เสลดพังพอนคาลาไมน์, โลชั่น","619","508","678","14,774.00"
"เบอร์นีเจล, ครีม","618","455","734","31,900.69"
"มธุรเมหะ (รพ.กาบเชิง), ยาต้ม","611","589","648","30,711.00"
"มะตูม, ยาชง","596","480","869","27,234.50"
"แก้ไอมะแว้งสูตร 2, ยาน้ำ","594","519","913","11,927.00"
"สเปรย์ตะไคร้หอม, ยาน้ำ","588","385","818","47,474.94"
"อมสมุนไพรผสมมะแว้งรสบ๊วย, ยาเม็ด","587","458","3,491","7,434.61"
"บรรเทาอาการปวดเมื่อยตามร่างกาย, ยาเม็ด","586","558","14,660","22,940.00"
"สมุนไพรคำฝอยผสมเก๊กฮวย, ยาชง","576","0","19,413","106,371.50"
"พลูคาว, ยาแคปซูล","575","0","73,984","308,513.28"
