"โรงพยาบาล","ได้รับบริการ(คน)","พบประวัติคลอด(คน)","จำนวนบริการ(ครั้ง)","บริการพบประวัติ(ครั้ง)","บริการล่าช้า (คน)","บริการเกิน 90 วัน (คน)"
"ทุกสิทธิ","สิทธิ UC","ทุกสิทธิ","สิทธิ UC","ทุกสิทธิ","สิทธิ UC","ทุกสิทธิ","สิทธิ UC","ทุกสิทธิ","สิทธิ UC","ทุกสิทธิ","สิทธิ UC"
"11539  :  โรงพยาบาลตากสิน","0","0","0","0","0","0","0","0","0","0","0","0"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","0","0","0","0","0","0","0","0","0","0","0","0"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","0","0","0","0","0","0","0","0","0","0","0","0"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0","0","0","0","0","0","0","0","0","0"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0","0","0","0","0","0","0","0","0","0","0","0"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0","0","0","0","0","0","0","0","0","0"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0","0","0","0","0","0","0","0","0","0"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0","0","0","0","0","0","0","0","0","0"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0","0","0","0","0","0","0","0","0","0"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0","0","0","0","0","0","0","0","0","0"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0","0","0","0","0","0","0","0","0","0"
"11592  :  โรงพยาบาลบางนา1","0","0","0","0","0","0","0","0","0","0","0","0"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","0","0","0","0","0","0","0","0","0","0","0","0"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0","0","0","0","0","0","0","0","0","0"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0","0","0","0","0","0","0","0","0","0"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0","0","0","0","0","0","0","0","0","0"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0","0","0","0","0","0","0","0","0","0"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"11621  :  โรงพยาบาลบางไผ่","0","0","0","0","0","0","0","0","0","0","0","0"
"11626  :  โรงพยาบาลคลองตัน","0","0","0","0","0","0","0","0","0","0","0","0"
"11628  :  โรงพยาบาลพระราม 9","0","0","0","0","0","0","0","0","0","0","0","0"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0","0","0","0","0","0","0","0","0","0"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0","0","0","0","0","0","0","0","0","0"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0","0","0","0","0","0","0","0","0","0"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0","0","0","0","0","0","0","0","0","0"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0","0","0","0","0","0","0","0","0","0"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0","0","0","0","0","0","0","0","0","0"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0","0","0","0","0","0","0","0","0","0"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0","0","0","0","0","0","0","0","0","0"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0","0","0","0","0","0","0","0","0","0"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0","0","0","0","0","0","0","0","0","0"
"11676  :  โรงพยาบาลยันฮี","0","0","0","0","0","0","0","0","0","0","0","0"
"11686  :  โรงพยาบาลบางโพ","0","0","0","0","0","0","0","0","0","0","0","0"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0","0","0","0","0","0","0","0","0","0"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0","0","0","0","0","0","0","0","0","0"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0","0","0","0","0","0","0","0","0","0"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0","0","0","0","0","0","0","0","0","0"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0","0","0","0","0","0","0","0","0","0"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0","0","0","0","0","0","0","0","0","0"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0","0","0","0","0","0","0","0","0","0"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0","0","0","0","0","0","0","0","0","0"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0","0","0","0","0","0","0","0","0","0"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0","0","0","0","0","0","0","0","0","0"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0","0","0","0","0","0","0","0","0","0"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0","0","0","0","0","0","0","0","0","0"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0","0","0","0","0","0","0","0","0","0"
"12246  :  สถาบันราชานุกูล","0","0","0","0","0","0","0","0","0","0","0","0"
"12249  :  สถาบันโรคผิวหนัง","0","0","0","0","0","0","0","0","0","0","0","0"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0","0","0","0","0","0","0","0","0","0"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0","0","0","0","0","0","0","0","0","0"
"12439  :  สถาบันประสาทวิทยา","0","0","0","0","0","0","0","0","0","0","0","0"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0","0","0","0","0","0","0","0","0","0"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0","0","0","0","0","0","0","0","0","0"
"13814  :  โรงพยาบาลศิริราช","0","0","0","0","0","0","0","0","0","0","0","0"
"14173  :  โรงพยาบาลตำรวจ","0","0","0","0","0","0","0","0","0","0","0","0"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0","0","0","0","0","0","0","0","0","0"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0","0","0","0","0","0","0","0","0","0"
"14577  :  โรงพยาบาลวิภาราม","0","0","0","0","0","0","0","0","0","0","0","0"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0","0","0","0","0","0","0","0","0","0"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0","0","0","0","0","0","0","0","0","0"
"15049  :  โรงพยาบาลสิรินธร","0","0","0","0","0","0","0","0","0","0","0","0"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"22155  :  โรงพยาบาลครู","0","0","0","0","0","0","0","0","0","0","0","0"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0","0","0","0","0","0","0","0","0","0"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0","0","0","0","0","0","0","0","0","0"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0","0","0","0","0","0","0","0","0"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0","0","0","0","0","0","0","0","0"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0","0","0","0","0","0","0","0","0"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0","0","0","0","0","0","0","0","0"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0","0","0","0","0","0","0","0","0"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0","0","0","0","0","0","0","0","0"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0","0","0","0","0","0","0","0","0"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0","0","0","0","0","0","0","0","0"
"10685  :  โรงพยาบาลสมุทรปราการ","22","4","9","2","29","8","19","7","19","3","0","0"
"10752  :  โรงพยาบาลบางบ่อ","40","3","13","3","170","15","55","15","35","3","0","0"
"10753  :  โรงพยาบาลบางพลี","17","3","4","0","2","0","0","0","16","3","0","0"
"10754  :  โรงพยาบาลบางจาก","62","55","46","45","236","229","210","208","18","12","0","0"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","41","38","29","29","181","181","140","140","23","20","0","0"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","0","0","0","0","0","0","0","0","0","0","0","0"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0","0","0","0","0","0","0","0","0","0"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0","0","0","0","0","0","0","0","0","0"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0","0","0","0","0","0","0","0","0","0"
"28785  :  โรงพยาบาลบางเสาธง","0","0","0","0","0","0","0","0","0","0","0","0"
"10686  :  โรงพยาบาลพระนั่งเกล้า","142","64","138","64","8","0","0","0","4","0","0","0"
"10756  :  โรงพยาบาลบางกรวย","10","0","0","0","48","0","0","0","10","0","0","0"
"10757  :  โรงพยาบาลบางใหญ่","4","1","0","0","9","0","0","0","4","1","0","0"
"10758  :  โรงพยาบาลบางบัวทอง","17","17","10","10","42","42","23","23","11","11","0","0"
"10759  :  โรงพยาบาลไทรน้อย","123","52","66","33","29","20","12","12","58","20","0","0"
"10760  :  โรงพยาบาลปากเกร็ด","2","0","0","0","0","0","0","0","2","0","0","0"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0","0","0","0","0","0","0","0","0"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0","0","0","0","0","0","0","0","0"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0","0","0","0","0","0","0","0","0"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0","0","0","0","0","0","0","0","0"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0","0","0","0","0","0","0","0","0"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0","0","0","0","0","0","0","0","0","0"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","10","0","3","0","39","0","11","0","9","0","0","0"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0","0","0","0","0","0","0","0","0"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0","0","0","0","0","0","0","0","0","0"
"10687  :  โรงพยาบาลปทุมธานี","13","2","6","2","51","3","30","3","8","0","0","0"
"10761  :  โรงพยาบาลคลองหลวง","4","0","1","0","11","0","3","0","3","0","0","0"
"10762  :  โรงพยาบาลธัญบุรี","11","10","10","10","2","1","1","1","7","6","0","0"
"10763  :  โรงพยาบาลประชาธิปัตย์","4","3","3","3","13","9","10","9","3","1","0","0"
"10764  :  โรงพยาบาลหนองเสือ","6","2","1","1","0","0","0","0","6","2","0","0"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","1","0","1","0","0","0","0","0","0","0","0","0"
"10766  :  โรงพยาบาลลำลูกกา","7","1","0","0","6","3","0","0","7","1","0","0"
"10767  :  โรงพยาบาลสามโคก","1","0","0","0","2","0","0","0","1","0","0","0"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0","0","0","0","0","0","0","0","0"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","18","9","10","8","80","37","42","33","12","4","0","0"
"10688  :  โรงพยาบาลเสนา","7","0","1","0","3","0","2","0","6","0","0","0"
"10768  :  โรงพยาบาลท่าเรือ","0","0","0","0","0","0","0","0","0","0","0","0"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","3","0","2","0","1","0","0","0","2","0","0","0"
"10770  :  โรงพยาบาลบางไทร","4","2","0","0","0","0","0","0","4","2","0","0"
"10771  :  โรงพยาบาลบางบาล","0","0","0","0","0","0","0","0","0","0","0","0"
"10772  :  โรงพยาบาลบางปะอิน","3","1","2","1","0","0","0","0","1","0","0","0"
"10773  :  โรงพยาบาลบางปะหัน","0","0","0","0","0","0","0","0","0","0","0","0"
"10774  :  โรงพยาบาลผักไห่","1","1","0","0","1","1","0","0","1","1","0","0"
"10775  :  โรงพยาบาลภาชี","6","1","1","1","5","5","5","5","5","0","0","0"
"10776  :  โรงพยาบาลลาดบัวหลวง","4","1","0","0","3","1","0","0","4","1","0","0"
"10777  :  โรงพยาบาลวังน้อย","5","1","1","1","0","0","0","0","4","0","0","0"
"10778  :  โรงพยาบาลบางซ้าย","2","0","2","0","0","0","0","0","0","0","0","0"
"10779  :  โรงพยาบาลอุทัย","17","3","6","2","0","0","0","0","13","1","0","0"
"10780  :  โรงพยาบาลมหาราช","9","4","0","0","41","17","0","0","9","4","0","0"
"10781  :  โรงพยาบาลบ้านแพรก","1","0","1","0","0","0","0","0","1","0","0","0"
"10689  :  โรงพยาบาลอ่างทอง","11","2","3","0","47","6","14","0","9","1","0","0"
"10782  :  โรงพยาบาลไชโย","0","0","0","0","0","0","0","0","0","0","0","0"
"10784  :  โรงพยาบาลป่าโมก","0","0","0","0","0","0","0","0","0","0","0","0"
"10785  :  โรงพยาบาลโพธิ์ทอง","9","9","5","5","20","20","10","10","6","6","0","0"
"10786  :  โรงพยาบาลแสวงหา","0","0","0","0","0","0","0","0","0","0","0","0"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","0","0","0","0","0","0","0","0","0","0","0","0"
"10788  :  โรงพยาบาลสามโก้","11","3","2","1","8","7","2","2","10","2","0","0"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","54","10","33","9","0","0","0","0","28","3","0","0"
"10691  :  โรงพยาบาลบ้านหมี่","11","11","11","11","28","28","28","28","0","0","0","0"
"10789  :  โรงพยาบาลพัฒนานิคม","11","9","8","8","39","34","30","30","3","1","0","0"
"10790  :  โรงพยาบาลโคกสำโรง","129","128","128","127","628","625","624","621","7","6","0","0"
"10791  :  โรงพยาบาลชัยบาดาล","246","242","226","222","461","452","419","410","26","26","0","0"
"10792  :  โรงพยาบาลท่าวุ้ง","1","0","1","0","0","0","0","0","0","0","0","0"
"10793  :  โรงพยาบาลท่าหลวง","11","8","8","7","9","6","6","5","4","2","0","0"
"10794  :  โรงพยาบาลสระโบสถ์","2","0","2","0","3","0","3","0","0","0","0","0"
"10795  :  โรงพยาบาลโคกเจริญ","13","10","12","10","34","34","34","34","5","4","0","0"
"10796  :  โรงพยาบาลลำสนธิ","0","0","0","0","0","0","0","0","0","0","0","0"
"10797  :  โรงพยาบาลหนองม่วง","13","7","7","4","35","27","22","20","7","4","0","0"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0","0","0","0","0","0","0","0","0"
"10692  :  โรงพยาบาลสิงห์บุรี","24","10","18","9","14","14","14","14","11","1","0","0"
"10693  :  โรงพยาบาลอินทร์บุรี","8","1","6","0","34","5","27","0","6","1","0","0"
"10798  :  โรงพยาบาลบางระจัน","0","0","0","0","0","0","0","0","0","0","0","0"
"10799  :  โรงพยาบาลค่ายบางระจัน","15","1","3","1","5","5","5","5","15","1","0","0"
"10800  :  โรงพยาบาลพรหมบุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"10801  :  โรงพยาบาลท่าช้าง","0","0","0","0","0","0","0","0","0","0","0","0"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","2","1","1","1","10","5","5","5","2","1","0","0"
"10802  :  โรงพยาบาลมโนรมย์","0","0","0","0","0","0","0","0","0","0","0","0"
"10803  :  โรงพยาบาลวัดสิงห์","4","1","2","1","0","0","0","0","2","0","0","0"
"10804  :  โรงพยาบาลสรรพยา","15","11","9","7","55","37","31","22","13","9","0","0"
"10805  :  โรงพยาบาลสรรคบุรี","21","10","9","6","22","15","8","8","17","6","0","0"
"10806  :  โรงพยาบาลหันคา","7","5","3","3","19","13","10","10","4","2","0","0"
"27974  :  โรงพยาบาลหนองมะโมง","18","13","1","0","56","43","5","0","17","13","0","0"
"27975  :  โรงพยาบาลเนินขาม","0","0","0","0","0","0","0","0","0","0","0","0"
"10661  :  โรงพยาบาลสระบุรี","28","12","12","5","12","8","6","2","24","8","0","0"
"10695  :  โรงพยาบาลพระพุทธบาท","1","0","0","0","3","0","0","0","1","0","0","0"
"10807  :  โรงพยาบาลแก่งคอย","11","4","3","2","16","8","2","2","10","3","0","0"
"10808  :  โรงพยาบาลหนองแค","6","1","2","0","9","1","2","0","6","1","0","0"
"10809  :  โรงพยาบาลวิหารแดง","2","2","2","2","4","4","4","4","0","0","0","0"
"10810  :  โรงพยาบาลหนองแซง","1","1","0","0","3","3","0","0","1","1","0","0"
"10811  :  โรงพยาบาลบ้านหมอ","6","3","2","1","24","12","10","5","6","3","0","0"
"10812  :  โรงพยาบาลดอนพุด","1","0","0","0","0","0","0","0","1","0","0","0"
"10813  :  โรงพยาบาลหนองโดน","4","4","3","3","11","11","10","10","2","2","0","0"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","37","14","25","10","146","66","98","46","25","7","0","0"
"10815  :  โรงพยาบาลมวกเหล็ก","29","21","16","14","76","60","50","48","13","7","0","0"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","5","5","3","3","23","23","15","15","4","4","0","0"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0","0","0","0","0","0","0","0","0","0"
"10662  :  โรงพยาบาลชลบุรี","11","4","8","3","37","12","28","12","4","2","0","0"
"10817  :  โรงพยาบาลบ้านบึง","2","0","2","0","10","0","10","0","2","0","0","0"
"10818  :  โรงพยาบาลหนองใหญ่","10","10","10","10","28","28","28","28","0","0","0","0"
"10819  :  โรงพยาบาลบางละมุง","24","10","20","10","51","25","44","25","7","0","0","0"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","5","1","2","1","3","1","2","1","3","0","0","0"
"10821  :  โรงพยาบาลพานทอง","8","0","6","0","9","0","2","0","5","0","0","0"
"10822  :  โรงพยาบาลพนัสนิคม","41","14","28","11","100","42","74","37","27","5","0","0"
"10823  :  โรงพยาบาลแหลมฉบัง","8","4","6","4","35","17","26","17","5","2","0","0"
"10824  :  โรงพยาบาลเกาะสีชัง","1","1","1","1","5","5","5","5","1","1","0","0"
"10825  :  โรงพยาบาลสัตหีบกม10","14","7","5","2","47","21","19","5","11","5","0","0"
"10826  :  โรงพยาบาลบ่อทอง","0","0","0","0","0","0","0","0","0","0","0","0"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0","0","0","0","0","0","0","0","0","0"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0","0","0","0","0","0","0","0","0","0"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","46","5","6","1","0","0","0","0","44","2","0","0"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0","0","0","0","0","0","0","0","0","0"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","3","0","3","0","11","0","11","0","1","0","0","0"
"28005  :  โรงพยาบาลเมืองพัทยา","25","18","16","16","87","66","63","63","12","5","0","0"
"28006  :  โรงพยาบาลเกาะจันทร์","9","3","6","3","36","11","21","11","8","2","0","0"
"10663  :  โรงพยาบาลระยอง","15","5","4","2","21","21","8","8","13","4","0","0"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","3","0","2","0","4","0","3","0","3","0","0","0"
"10828  :  โรงพยาบาลบ้านฉาง","11","4","5","2","25","8","18","5","6","1","0","0"
"10829  :  โรงพยาบาลแกลง","61","59","27","26","239","229","96","94","58","54","0","0"
"10830  :  โรงพยาบาลวังจันทร์","10","1","6","1","7","3","5","3","10","1","0","0"
"10831  :  โรงพยาบาลบ้านค่าย","12","4","3","1","15","15","3","3","9","2","0","0"
"10832  :  โรงพยาบาลปลวกแดง","3","3","2","2","13","13","9","9","1","1","0","0"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","1","0","1","0","0","0","0","0","1","0","0","0"
"23962  :  โรงพยาบาลนิคมพัฒนา","1","0","0","0","0","0","0","0","1","0","0","0"
"10664  :  โรงพยาบาลพระปกเกล้า","15","8","8","5","33","17","18","11","12","6","0","0"
"10834  :  โรงพยาบาลขลุง","15","14","9","9","64","58","39","37","7","6","0","0"
"10835  :  โรงพยาบาลท่าใหม่","8","6","6","6","30","25","25","25","6","4","0","0"
"10836  :  โรงพยาบาลเขาสุกิม","7","3","5","3","21","8","16","8","4","1","0","0"
"10837  :  โรงพยาบาลสองพี่น้อง","8","2","1","1","31","8","4","4","8","2","0","0"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","52","51","45","45","246","246","219","219","7","6","0","0"
"10839  :  โรงพยาบาลมะขาม","2","1","1","1","5","3","3","3","1","0","0","0"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0","0","0","0","0","0","0","0","0","0"
"10841  :  โรงพยาบาลสอยดาว","7","5","4","2","23","18","10","5","3","3","0","0"
"10842  :  โรงพยาบาลแก่งหางแมว","9","9","5","5","31","31","12","12","6","6","0","0"
"10843  :  โรงพยาบาลนายายอาม","10","4","7","4","37","10","25","10","6","1","0","0"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","34","22","17","13","114","82","58","47","27","16","0","0"
"10696  :  โรงพยาบาลตราด","3","0","3","0","0","0","0","0","2","0","0","0"
"10845  :  โรงพยาบาลคลองใหญ่","4","4","4","4","14","14","14","14","2","2","0","0"
"10846  :  โรงพยาบาลเขาสมิง","3","1","2","1","15","5","10","5","3","1","0","0"
"10847  :  โรงพยาบาลบ่อไร่","25","24","22","22","77","76","68","68","9","8","0","0"
"10848  :  โรงพยาบาลแหลมงอบ","23","18","17","15","47","47","38","38","9","5","0","0"
"10849  :  โรงพยาบาลเกาะกูด","1","0","1","0","3","0","3","0","0","0","0","0"
"13816  :  โรงพยาบาลเกาะช้าง","1","0","1","0","0","0","0","0","1","0","0","0"
"10697  :  โรงพยาบาลพุทธโสธร","69","49","65","49","200","173","204","177","47","34","0","0"
"10833  :  โรงพยาบาลท่าตะเกียบ","21","19","21","19","101","95","101","95","10","9","0","0"
"10850  :  โรงพยาบาลบางคล้า","19","18","18","17","89","84","85","80","7","6","0","0"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","32","29","31","29","151","139","146","139","12","11","0","0"
"10852  :  โรงพยาบาลบางปะกง","20","18","18","17","70","60","63","58","13","11","0","0"
"10853  :  โรงพยาบาลบ้านโพธิ์","30","25","26","24","112","106","105","102","17","13","0","0"
"10854  :  โรงพยาบาลพนมสารคาม","6","0","4","0","29","0","19","0","5","0","0","0"
"10855  :  โรงพยาบาลสนามชัยเขต","16","8","9","6","40","40","30","30","14","6","0","0"
"10856  :  โรงพยาบาลแปลงยาว","4","2","2","2","17","10","10","10","2","0","0","0"
"13747  :  โรงพยาบาลราชสาส์น","3","1","3","1","13","3","13","3","3","1","0","0"
"31327  :  โรงพยาบาลคลองเขื่อน","7","5","5","5","26","19","19","19","3","1","0","0"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","22","4","13","3","15","15","11","11","16","2","0","0"
"10857  :  โรงพยาบาลกบินทร์บุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"10858  :  โรงพยาบาลนาดี","2","2","2","2","10","10","10","10","1","1","0","0"
