"โรงพยาบาล","รวมทั้งปีงบประมาณ","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"บริการผู้ป่วยใน(ครั้ง)","บริการแพทย์แผนไทย(ครั้ง)","ร้อยละการรับบริการ","บริการผู้ป่วยใน(ครั้ง)","บริการแพทย์แผนไทย(ครั้ง)","ร้อยละการรับบริการ","บริการผู้ป่วยใน(ครั้ง)","บริการแพทย์แผนไทย(ครั้ง)","ร้อยละการรับบริการ","บริการผู้ป่วยใน(ครั้ง)","บริการแพทย์แผนไทย(ครั้ง)","ร้อยละการรับบริการ","บริการผู้ป่วยใน(ครั้ง)","บริการแพทย์แผนไทย(ครั้ง)","ร้อยละการรับบริการ"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11592  :  โรงพยาบาลบางนา1","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11621  :  โรงพยาบาลบางไผ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11626  :  โรงพยาบาลคลองตัน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11628  :  โรงพยาบาลพระราม 9","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","37,055","513","1.38","9,805","106","1.08","9,035","164","1.82","8,817","91","1.82","9,398","152","1.62"
"10752  :  โรงพยาบาลบางบ่อ","8,934","638","7.14","2,286","179","7.83","2,158","148","6.86","2,159","123","6.86","2,331","188","8.07"
"10753  :  โรงพยาบาลบางพลี","12,262","228","1.86","3,434","57","1.66","3,226","90","2.79","3,145","35","2.79","2,457","46","1.87"
"10754  :  โรงพยาบาลบางจาก","5,471","675","12.34","1,491","135","9.05","1,336","159","11.90","1,219","145","11.90","1,425","236","16.56"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","3,313","153","4.62","903","40","4.43","848","37","4.36","688","30","4.36","874","46","5.26"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","868","1","0.12","205","0","0.00","249","1","0.40","250","0","0.40","164","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","26,289","1","0.00","7,843","1","0.01","5,516","0","0.00","5,884","0","0.00","7,046","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","2,297","78","3.40","635","17","2.68","506","24","4.74","487","18","4.74","669","19","2.84"
"10757  :  โรงพยาบาลบางใหญ่","2,968","196","6.60","783","27","3.45","739","48","6.50","664","53","6.50","782","68","8.70"
"10758  :  โรงพยาบาลบางบัวทอง","4,075","120","2.94","1,116","24","2.15","1,048","29","2.77","956","29","2.77","955","38","3.98"
"10759  :  โรงพยาบาลไทรน้อย","4,011","23","0.57","940","7","0.74","1,035","3","0.29","930","8","0.29","1,106","5","0.45"
"10760  :  โรงพยาบาลปากเกร็ด","2,984","68","2.28","818","16","1.96","730","20","2.74","607","21","2.74","829","11","1.33"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","207","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","207","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","206","0","0.00","98","0","0.00","104","0","0.00","4","0","0.00","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","8,292","108","1.30","2,212","44","1.99","2,620","35","1.34","1,335","14","1.34","2,125","15","0.71"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","148","1","0.68","0","0","0.00","37","0","0.00","40","0","0.00","71","1","1.41"
"10687  :  โรงพยาบาลปทุมธานี","30,250","429","1.42","7,677","97","1.26","7,441","127","1.71","7,076","83","1.71","8,056","122","1.51"
"10761  :  โรงพยาบาลคลองหลวง","2,982","321","10.76","841","102","12.13","774","103","13.31","627","51","13.31","740","65","8.78"
"10762  :  โรงพยาบาลธัญบุรี","3,241","15","0.46","897","4","0.45","738","1","0.14","732","2","0.14","874","8","0.92"
"10763  :  โรงพยาบาลประชาธิปัตย์","1,712","12","0.70","442","2","0.45","438","7","1.60","409","1","1.60","423","2","0.47"
"10764  :  โรงพยาบาลหนองเสือ","1,764","47","2.66","469","0","0.00","496","0","0.00","427","20","0.00","372","27","7.26"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","1,673","48","2.87","466","16","3.43","422","21","4.98","341","4","4.98","444","7","1.58"
"10766  :  โรงพยาบาลลำลูกกา","3,308","177","5.35","880","26","2.95","828","32","3.86","718","49","3.86","882","70","7.94"
"10767  :  โรงพยาบาลสามโคก","1,176","148","12.59","350","22","6.29","311","36","11.58","237","48","11.58","278","42","15.11"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","2,483","0","0.00","610","0","0.00","624","0","0.00","608","0","0.00","641","0","0.00"
"10688  :  โรงพยาบาลเสนา","10,262","1,007","9.81","2,606","319","12.24","2,682","328","12.23","2,331","180","12.23","2,643","180","6.81"
"10768  :  โรงพยาบาลท่าเรือ","2,725","175","6.42","748","34","4.55","680","53","7.79","634","48","7.79","663","40","6.03"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","2,445","391","15.99","713","141","19.78","710","115","16.20","540","65","16.20","482","70","14.52"
"10770  :  โรงพยาบาลบางไทร","1,937","183","9.45","481","58","12.06","495","45","9.09","413","36","9.09","548","44","8.03"
"10771  :  โรงพยาบาลบางบาล","1,185","52","4.39","302","9","2.98","327","16","4.89","258","10","4.89","298","17","5.70"
"10772  :  โรงพยาบาลบางปะอิน","3,496","525","15.02","989","159","16.08","809","111","13.72","753","116","13.72","945","139","14.71"
"10773  :  โรงพยาบาลบางปะหัน","2,059","160","7.77","529","26","4.91","471","24","5.10","401","48","5.10","658","62","9.42"
"10774  :  โรงพยาบาลผักไห่","2,125","385","18.12","561","128","22.82","541","123","22.74","482","84","22.74","541","50","9.24"
"10775  :  โรงพยาบาลภาชี","2,501","173","6.92","735","55","7.48","639","37","5.79","615","30","5.79","512","51","9.96"
"10776  :  โรงพยาบาลลาดบัวหลวง","2,015","121","6.00","521","29","5.57","484","32","6.61","467","32","6.61","543","28","5.16"
"10777  :  โรงพยาบาลวังน้อย","2,797","188","6.72","714","59","8.26","665","49","7.37","635","43","7.37","783","37","4.73"
"10778  :  โรงพยาบาลบางซ้าย","754","84","11.14","130","7","5.38","184","22","11.96","213","18","11.96","227","37","16.30"
"10779  :  โรงพยาบาลอุทัย","2,196","125","5.69","597","14","2.35","503","24","4.77","539","33","4.77","557","54","9.69"
"10780  :  โรงพยาบาลมหาราช","1,019","114","11.19","260","34","13.08","248","22","8.87","254","29","8.87","257","29","11.28"
"10781  :  โรงพยาบาลบ้านแพรก","792","173","21.84","237","65","27.43","180","43","23.89","170","31","23.89","205","34","16.59"
"10689  :  โรงพยาบาลอ่างทอง","18,816","24","0.13","4,867","2","0.04","4,811","4","0.08","4,375","3","0.08","4,763","15","0.31"
"10782  :  โรงพยาบาลไชโย","1,870","117","6.26","463","31","6.70","474","34","7.17","447","29","7.17","486","23","4.73"
"10784  :  โรงพยาบาลป่าโมก","3,532","210","5.95","997","72","7.22","981","51","5.20","813","56","5.20","741","31","4.18"
"10785  :  โรงพยาบาลโพธิ์ทอง","5,580","294","5.27","1,493","80","5.36","1,509","72","4.77","1,375","53","4.77","1,203","89","7.40"
"10786  :  โรงพยาบาลแสวงหา","3,020","300","9.93","791","72","9.10","790","95","12.03","707","61","12.03","732","72","9.84"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","7,729","941","12.17","1,914","257","13.43","1,906","232","12.17","1,729","189","12.17","2,180","263","12.06"
"10788  :  โรงพยาบาลสามโก้","2,563","55","2.15","712","11","1.54","668","14","2.10","584","16","2.10","599","14","2.34"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","436","37","8.49","0","0","0.00","0","0","0.00","3","3","0.00","433","34","7.85"
"10691  :  โรงพยาบาลบ้านหมี่","8,835","312","3.53","2,089","106","5.07","2,768","53","1.91","1,977","53","1.91","2,001","100","5.00"
"10789  :  โรงพยาบาลพัฒนานิคม","4,399","28","0.64","1,220","5","0.41","1,010","11","1.09","971","7","1.09","1,198","5","0.42"
"10790  :  โรงพยาบาลโคกสำโรง","3,514","604","17.19","54","11","20.37","1,243","187","15.04","1,373","185","15.04","844","221","26.18"
"10791  :  โรงพยาบาลชัยบาดาล","9,039","673","7.45","2,674","151","5.65","2,531","143","5.65","1,927","174","5.65","1,907","205","10.75"
"10792  :  โรงพยาบาลท่าวุ้ง","2,241","250","11.16","458","88","19.21","569","67","11.78","575","29","11.78","639","66","10.33"
"10793  :  โรงพยาบาลท่าหลวง","2,987","143","4.79","977","32","3.28","793","23","2.90","646","38","2.90","571","50","8.76"
"10794  :  โรงพยาบาลสระโบสถ์","1,477","37","2.51","431","8","1.86","459","7","1.53","351","10","1.53","236","12","5.08"
"10795  :  โรงพยาบาลโคกเจริญ","1,966","222","11.29","483","66","13.66","488","54","11.07","496","37","11.07","499","65","13.03"
"10796  :  โรงพยาบาลลำสนธิ","111","21","18.92","0","0","0.00","0","0","0.00","0","0","0.00","111","21","18.92"
"10797  :  โรงพยาบาลหนองม่วง","1,068","30","2.81","0","0","0.00","277","2","0.72","392","5","0.72","399","23","5.76"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","33","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","33","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","16,528","586","3.55","3,956","149","3.77","4,208","191","4.54","4,005","90","4.54","4,359","156","3.58"
"10693  :  โรงพยาบาลอินทร์บุรี","6,424","121","1.88","1,611","43","2.67","1,627","21","1.29","1,639","15","1.29","1,547","42","2.71"
"10798  :  โรงพยาบาลบางระจัน","2,387","331","13.87","574","103","17.94","598","101","16.89","584","66","16.89","631","61","9.67"
"10799  :  โรงพยาบาลค่ายบางระจัน","2,333","312","13.37","572","124","21.68","645","95","14.73","595","53","14.73","521","40","7.68"
"10800  :  โรงพยาบาลพรหมบุรี","1,365","131","9.60","317","33","10.41","367","31","8.45","342","33","8.45","339","34","10.03"
"10801  :  โรงพยาบาลท่าช้าง","1,725","275","15.94","434","52","11.98","402","47","11.69","418","65","11.69","471","111","23.57"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","23,446","108","0.46","5,832","3","0.05","5,984","4","0.07","5,647","19","0.07","5,983","82","1.37"
"10802  :  โรงพยาบาลมโนรมย์","2,595","150","5.78","725","42","5.79","624","31","4.97","567","25","4.97","679","52","7.66"
"10803  :  โรงพยาบาลวัดสิงห์","2,041","21","1.03","465","2","0.43","539","7","1.30","474","10","1.30","563","2","0.36"
"10804  :  โรงพยาบาลสรรพยา","1,183","41","3.47","266","6","2.26","257","4","1.56","293","6","1.56","367","25","6.81"
"10805  :  โรงพยาบาลสรรคบุรี","3,079","131","4.25","770","19","2.47","761","25","3.29","632","22","3.29","916","65","7.10"
"10806  :  โรงพยาบาลหันคา","2,718","47","1.73","683","16","2.34","655","16","2.44","598","8","2.44","782","7","0.90"
"27974  :  โรงพยาบาลหนองมะโมง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","32,668","14,453","44.24","8,650","3,547","41.01","8,093","3,596","44.43","7,361","3,328","44.43","8,564","3,982","46.50"
"10695  :  โรงพยาบาลพระพุทธบาท","18,042","277","1.54","4,920","126","2.56","4,601","65","1.41","3,878","27","1.41","4,643","59","1.27"
"10807  :  โรงพยาบาลแก่งคอย","5,088","257","5.05","1,613","87","5.39","1,299","72","5.54","1,232","58","5.54","944","40","4.24"
"10808  :  โรงพยาบาลหนองแค","3,358","185","5.51","992","36","3.63","834","49","5.88","656","41","5.88","876","59","6.74"
"10809  :  โรงพยาบาลวิหารแดง","3,514","247","7.03","999","65","6.51","843","61","7.24","774","59","7.24","898","62","6.90"
