"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"แคปซูลผสมเถาวัลย์เปรียง ตราพระอินทร์, ยาแคปซูล","99","80","2,559","3,726.00"
"อมผสมมะแว้ง, ยาเม็ด","87","77","259","2,460.50"
"ผสมเพชรสังฆาต สูตรตำรับที่ 1, ยาแคปซูล","85","57","2,197","71,881.00"
"ชุมเห็ดเทศ, ยาผง","85","51","561","5,902.00"
"มะระขี้นก, ยาแคปซูล","78","65","3,244","35,300.75"
"ไพลจีซาล , ครีม","66","48","80","4,584.00"
"แก้ไอผสมมะนาวดอง, ยาลูกกลอน","56","53","158","1,587.50"
"ผสมรางจืด หมอยาไทย, ยาผง","51","43","118","3,521.00"
"น้ำยูอีคอฟ สูตร 2 , ยาน้ำ","48","21","52","1,072.00"
"หญ้าหนวดแมว, ยาชง","46","17","190","8,488.60"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๒, ยาน้ำ","42","28","72","1,379.00"
"หญ้าดอกขาว, ยาชง","39","30","158","3,799.50"
"แก้ไอมะแว้ง , ยาเม็ด","39","27","177","13,850.00"
"แก้ไอมะขามป้อม ตราไอยรา, ยาน้ำ","37","28","67","1,291.00"
"น้ำมันไพล, ยาเข้าน้ำมัน","36","2","53","517.00"
"หอมนวโกฐ, ยาแคปซูล","35","17","940","42,320.00"
"ธาตุอบเชย , ยาน้ำ","33","31","38","744.00"
"พริก, เจล","30","19","33","1,622.50"
"แก้ไอผสมกานพลู, ยาลูกกลอน","30","25","99","3,326.50"
"หม่องไพล/บาล์มไพล/ไพลบาล์ม / ขี้ผึ้งไพล, ขี้ผึ้ง","30","2","32","1,020.00"
"ว่านหางจระเข้, เจล","27","11","80","3,280.00"
"รางจืด, ยาชง","27","20","435","1,491.00"
"ธรณีสัณฑะฆาต, ยาแคปซูล","24","12","720","1,080.00"
"สหัสธารา, ยาแคปซูล","23","10","556","834.00"
"บอระเพ็ด, ยาแคปซูล","21","18","488","854.00"
"แก้ไอยูอีคอฟ ซีดี, ยาน้ำ","18","16","48","936.00"
"แก้ไอมะขามป้อมสูตร 1 , ยาลูกกลอน","18","0","18","270.00"
"ผสมเพชรสังฆาต สูตรตำรับที่ 2, ยาแคปซูล","14","10","526","1,112.80"
"แก้ไอมะแว้งสูตร 1 , ยาเม็ด","12","7","16","160.00"
"น้ำมันเถาเอ็นอ่อน, ยาเข้าน้ำมัน","11","0","113","11,300.00"
"แคปซูลเพชรสังฆาต, ยาแคปซูล","9","7","497","967.50"
"มังคุด/เปลือกมังคุด, ยาน้ำ","8","0","12","1,056.00"
"บัวบก, ยาแคปซูล","7","4","10","1,293.00"
"แก้ไอกานพลู , ยาลูกกลอน","7","7","7","119.00"
"น้ำมันเหลือง, ยาเข้าน้ำมัน","6","0","35","4,200.00"
"แคปซูลผสมมะขามแขก ตราอภัยภูเบศร, ยาแคปซูล","6","3","156","351.00"
"หอมเทพจิตร, ยาผง","5","5","9","225.00"
"แก้โลหิตตังพิการ (รพ.เรณูนคร), ยาแคปซูล","5","4","30","3,000.00"
"เฮโมลอน, ยาแคปซูล","5","5","74","111.00"
"แคปซูลผสมเพชรสังฆาต, ยาแคปซูล","4","4","152","248.00"
"หม่องตะไคร้/หม่องตะไคร้หอม, ขี้ผึ้ง","4","3","4","180.00"
"กระเทียม, ยาแคปซูล","4","0","12","28.80"
"น้ำมันมะกอก, ยาเข้าน้ำมัน","4","4","4","370.47"
"แคปซูลรางจืด ตราธงทอง, ยาแคปซูล","3","2","94","128.00"
"ริดสีดวงมหากาฬ (ตำรับในระบบทางเดินอาหารส่วนกลางและส่วนปลาย), ยาแคปซูล","3","0","67","70.50"
"หม่องเถาเอ็นอ่อน, ขี้ผึ้ง","3","0","5","125.00"
"ลูกประคบสมุนไพรร้านหมอยาไทย 101, ยาประคบ","3","1","6","300.00"
"จันทน์ลีลา, ยาแคปซูล","2","2","60","90.00"
"กระเจี๊ยบแดง, ยาชง","2","2","6","210.00"
"บรรเทาริดสีดวงทวารหนักเพชรสังฆาตชนิดแคปซูล, ยาแคปซูล","2","0","40","80.00"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ ๑, ยาน้ำ","2","2","4","100.00"
"น้ำมันเขียว, ยาเข้าน้ำมัน","1","0","2","240.00"
"แก้ไอผสมมะขามป้อม สูตรตำรับที่ 2, ยาน้ำ","1","1","0","0.00"
"สหัศธารา, ยาแคปซูล","1","1","186","372.00"
"กันยุงตะไคร้หอม, ยาน้ำ","1","1","1","85.00"
"แก้ไอสมุนไพรฟ้าทะลายโจร, ยาลูกกลอน","1","0","1","10.00"
"น้ำเชื่อมแก้ไอมะขามป้อม, ยาน้ำ","1","1","1","15.50"
"ลูกประคบสมุนไพรอินไทย, ยาประคบ","1","0","2","100.00"
"ประสะน้ำนม (บริษัทพาราฟาร์มาซูติคอล จำกัด), ยาเม็ด","0","0","0","0.00"
"แก้ไอมะขามป้อมสูตร 2, ยาน้ำ","0","0","0","0.00"
"ขี้เหล็ก, ยาแคปซูล","0","0","0","0.00"
"แคปซูลบำรุงโลหิต ตราทีเอฟดี, ยาแคปซูล","0","0","0","0.00"
"ประสะไพล , ยาลูกกลอน","0","0","0","0.00"
"ขี้ผึ้งไพล สูตรตำรับที่ 1, ขี้ผึ้ง","0","0","0","0.00"
"ยอ, ยาแคปซูล","0","0","0","0.00"
