"โรงพยาบาล","รวมทั้งปีงบประมาณ","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"บริการผู้ป่วยใน(ครั้ง)","บริการแพทย์แผนไทย(ครั้ง)","ร้อยละการรับบริการ","บริการผู้ป่วยใน(ครั้ง)","บริการแพทย์แผนไทย(ครั้ง)","ร้อยละการรับบริการ","บริการผู้ป่วยใน(ครั้ง)","บริการแพทย์แผนไทย(ครั้ง)","ร้อยละการรับบริการ","บริการผู้ป่วยใน(ครั้ง)","บริการแพทย์แผนไทย(ครั้ง)","ร้อยละการรับบริการ","บริการผู้ป่วยใน(ครั้ง)","บริการแพทย์แผนไทย(ครั้ง)","ร้อยละการรับบริการ"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","103","448","434.95","41","139","339.02","39","135","346.15","22","133","346.15","1","41","4,100.00"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","16,598","4,790","28.86","4,521","19","0.42","3,863","131","3.39","4,157","1,627","3.39","4,057","3,013","74.27"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11592  :  โรงพยาบาลบางนา1","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","1,924","301","15.64","471","58","12.31","540","57","10.56","531","86","10.56","382","100","26.18"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11621  :  โรงพยาบาลบางไผ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11626  :  โรงพยาบาลคลองตัน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11628  :  โรงพยาบาลพระราม 9","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","3,298","87","2.64","1,139","0","0.00","1,020","13","1.27","761","44","1.27","378","30","7.94"
"12246  :  สถาบันราชานุกูล","2,310","161","6.97","955","3","0.31","1,141","0","0.00","56","2","0.00","158","156","98.73"
"12249  :  สถาบันโรคผิวหนัง","108","1","0.93","35","0","0.00","27","0","0.00","25","0","0.00","21","1","4.76"
"12250  :  สถาบันมะเร็งแห่งชาติ","7,562","4,040","53.43","233","0","0.00","1,640","0","0.00","1,872","977","0.00","3,817","3,063","80.25"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","12","855","7,125.00","3","2","66.67","3","15","500.00","3","378","500.00","3","460","15,333.33"
"12439  :  สถาบันประสาทวิทยา","6,286","3,562","56.67","977","11","1.13","1,018","16","1.57","1,013","487","1.57","3,278","3,048","92.98"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","44","50","113.64","29","23","79.31","15","27","180.00","0","0","180.00","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","1,122","600","53.48","374","2","0.53","309","1","0.32","261","203","0.32","178","394","221.35"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","45,869","18,753","40.88","9,438","214","2.27","8,776","209","2.38","11,852","5,612","2.38","15,803","12,718","80.48"
"10752  :  โรงพยาบาลบางบ่อ","8,024","5,287","65.89","826","162","19.61","1,282","182","14.20","1,488","501","14.20","4,428","4,442","100.32"
"10753  :  โรงพยาบาลบางพลี","14,746","5,204","35.29","3,372","112","3.32","2,987","123","4.12","3,858","1,783","4.12","4,529","3,186","70.35"
"10754  :  โรงพยาบาลบางจาก","7,257","2,573","35.46","2,091","283","13.53","1,561","236","15.12","1,487","538","15.12","2,118","1,516","71.58"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","3,295","1,591","48.29","678","86","12.68","518","67","12.93","640","235","12.93","1,459","1,203","82.45"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","1,708","545","31.91","346","0","0.00","398","7","1.76","357","95","1.76","607","443","72.98"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","2,677","16","0.60","669","1","0.15","1,100","1","0.09","742","5","0.09","166","9","5.42"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","796","1","0.13","276","0","0.00","249","0","0.00","154","0","0.00","117","1","0.85"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","963","672","69.78","305","41","13.44","133","25","18.80","277","272","18.80","248","334","134.68"
"10686  :  โรงพยาบาลพระนั่งเกล้า","46,062","20,984","45.56","8,038","21","0.26","6,700","28","0.42","10,773","4,841","0.42","20,551","16,094","78.31"
"10756  :  โรงพยาบาลบางกรวย","2,416","1,618","66.97","436","45","10.32","422","35","8.29","200","189","8.29","1,358","1,349","99.34"
"10757  :  โรงพยาบาลบางใหญ่","1,337","91","6.81","1,324","87","6.57","13","4","30.77","0","0","30.77","0","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","5,942","3,298","55.50","971","136","14.01","853","132","15.47","1,740","1,023","15.47","2,378","2,007","84.40"
"10759  :  โรงพยาบาลไทรน้อย","3,162","1,862","58.89","543","54","9.94","548","57","10.40","572","130","10.40","1,499","1,621","108.14"
"10760  :  โรงพยาบาลปากเกร็ด","6,728","4,106","61.03","1,070","65","6.07","899","63","7.01","2,702","2,044","7.01","2,057","1,934","94.02"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","7,306","1,067","14.60","2,627","23","0.88","1,301","23","1.77","1,661","331","1.77","1,717","690","40.19"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","168","645","383.93","24","0","0.00","19","0","0.00","16","107","0.00","109","538","493.58"
"12260  :  โรงพยาบาลศรีธัญญา","4,096","753","18.38","1,273","135","10.60","1,135","133","11.72","899","147","11.72","789","338","42.84"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","8,393","1,331","15.86","1,787","15","0.84","2,096","15","0.72","2,791","295","0.72","1,719","1,006","58.52"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","610","475","77.87","182","9","4.95","67","15","22.39","233","278","22.39","128","173","135.16"
"10687  :  โรงพยาบาลปทุมธานี","34,460","9,189","26.67","7,743","355","4.58","6,616","263","3.98","6,811","389","3.98","13,290","8,182","61.57"
"10761  :  โรงพยาบาลคลองหลวง","5,122","2,369","46.25","1,055","53","5.02","924","143","15.48","1,012","411","15.48","2,131","1,762","82.68"
"10762  :  โรงพยาบาลธัญบุรี","6,127","3,648","59.54","1,089","5","0.46","1,176","222","18.88","1,419","1,023","18.88","2,443","2,398","98.16"
"10763  :  โรงพยาบาลประชาธิปัตย์","1,205","538","44.65","458","26","5.68","434","44","10.14","207","171","10.14","106","297","280.19"
"10764  :  โรงพยาบาลหนองเสือ","1,905","2,707","142.10","413","26","6.30","354","19","5.37","675","810","5.37","463","1,852","400.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","4,996","3,415","68.35","616","27","4.38","576","179","31.08","1,848","1,314","31.08","1,956","1,895","96.88"
"10766  :  โรงพยาบาลลำลูกกา","4,150","2,644","63.71","789","42","5.32","654","70","10.70","764","318","10.70","1,943","2,214","113.95"
"10767  :  โรงพยาบาลสามโคก","3,666","3,971","108.32","283","36","12.72","58","114","196.55","337","432","196.55","2,988","3,389","113.42"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","729","1,147","157.34","340","28","8.24","173","21","12.14","67","499","12.14","149","599","402.01"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","3,497","826","23.62","560","0","0.00","1,363","0","0.00","1,083","376","0.00","491","450","91.65"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","2,422","3,410","140.79","695","584","84.03","702","787","112.11","541","826","112.11","484","1,213","250.62"
"10688  :  โรงพยาบาลเสนา","12,630","4,328","34.27","2,980","242","8.12","2,507","262","10.45","2,530","393","10.45","4,613","3,431","74.38"
"10768  :  โรงพยาบาลท่าเรือ","3,640","2,111","57.99","572","72","12.59","443","79","17.83","562","141","17.83","2,063","1,819","88.17"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","4,082","3,198","78.34","654","97","14.83","626","98","15.65","751","347","15.65","2,051","2,656","129.50"
"10770  :  โรงพยาบาลบางไทร","3,156","2,049","64.92","398","73","18.34","312","44","14.10","396","69","14.10","2,050","1,863","90.88"
"10771  :  โรงพยาบาลบางบาล","1,247","764","61.27","261","34","13.03","236","36","15.25","198","30","15.25","552","664","120.29"
"10772  :  โรงพยาบาลบางปะอิน","4,270","3,124","73.16","1,310","233","17.79","1,025","239","23.32","1,030","356","23.32","905","2,296","253.70"
"10773  :  โรงพยาบาลบางปะหัน","1,840","837","45.49","522","65","12.45","409","53","12.96","487","122","12.96","422","597","141.47"
"10774  :  โรงพยาบาลผักไห่","1,347","333","24.72","463","48","10.37","384","65","16.93","291","92","16.93","209","128","61.24"
"10775  :  โรงพยาบาลภาชี","2,891","1,511","52.27","576","83","14.41","490","66","13.47","422","77","13.47","1,403","1,285","91.59"
"10776  :  โรงพยาบาลลาดบัวหลวง","2,577","1,648","63.95","343","31","9.04","330","56","16.97","383","43","16.97","1,521","1,518","99.80"
"10777  :  โรงพยาบาลวังน้อย","8,280","5,652","68.26","1,037","110","10.61","818","59","7.21","857","212","7.21","5,568","5,271","94.67"
"10778  :  โรงพยาบาลบางซ้าย","420","455","108.33","46","8","17.39","44","8","18.18","77","37","18.18","253","402","158.89"
"10779  :  โรงพยาบาลอุทัย","5,653","4,419","78.17","561","95","16.93","458","105","22.93","1,026","718","22.93","3,608","3,501","97.03"
"10780  :  โรงพยาบาลมหาราช","890","440","49.44","301","18","5.98","182","25","13.74","217","19","13.74","190","378","198.95"
"10781  :  โรงพยาบาลบ้านแพรก","718","427","59.47","151","53","35.10","123","37","30.08","79","29","30.08","365","308","84.38"
"10689  :  โรงพยาบาลอ่างทอง","13,575","1,954","14.39","4,205","4","0.10","3,468","45","1.30","2,168","58","1.30","3,734","1,847","49.46"
"10782  :  โรงพยาบาลไชโย","3,690","2,665","72.22","423","12","2.84","335","12","3.58","306","15","3.58","2,626","2,626","100.00"
"10784  :  โรงพยาบาลป่าโมก","1,683","623","37.02","569","27","4.75","513","106","20.66","534","236","20.66","67","254","379.10"
"10785  :  โรงพยาบาลโพธิ์ทอง","5,703","2,432","42.64","1,114","44","3.95","932","55","5.90","911","79","5.90","2,746","2,254","82.08"
"10786  :  โรงพยาบาลแสวงหา","2,092","822","39.29","499","70","14.03","489","52","10.63","461","74","10.63","643","626","97.36"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","7,353","1,572","21.38","1,940","255","13.14","1,487","267","17.96","1,450","280","17.96","2,476","770","31.10"
"10788  :  โรงพยาบาลสามโก้","1,631","671","41.14","397","20","5.04","274","9","3.28","334","15","3.28","626","627","100.16"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","26,797","5,932","22.14","6,943","118","1.70","6,104","123","2.02","5,602","365","2.02","8,148","5,326","65.37"
"10691  :  โรงพยาบาลบ้านหมี่","8,260","1,128","13.66","2,477","88","3.55","2,363","60","2.54","1,712","115","2.54","1,708","865","50.64"
"10789  :  โรงพยาบาลพัฒนานิคม","3,670","215","5.86","1,106","9","0.81","978","12","1.23","933","37","1.23","653","157","24.04"
"10790  :  โรงพยาบาลโคกสำโรง","5,698","1,899","33.33","1,480","185","12.50","1,369","116","8.47","1,285","171","8.47","1,564","1,427","91.24"
"10791  :  โรงพยาบาลชัยบาดาล","7,896","1,791","22.68","2,469","181","7.33","2,044","210","10.27","1,821","233","10.27","1,562","1,167","74.71"
"10792  :  โรงพยาบาลท่าวุ้ง","4,479","2,620","58.50","611","23","3.76","666","43","6.46","654","59","6.46","2,548","2,495","97.92"
"10793  :  โรงพยาบาลท่าหลวง","1,363","285","20.91","577","40","6.93","408","22","5.39","126","47","5.39","252","176","69.84"
"10794  :  โรงพยาบาลสระโบสถ์","1,215","290","23.87","397","37","9.32","324","13","4.01","246","34","4.01","248","206","83.06"
"10795  :  โรงพยาบาลโคกเจริญ","2,261","639","28.26","713","61","8.56","585","51","8.72","452","68","8.72","511","459","89.82"
"10796  :  โรงพยาบาลลำสนธิ","2,307","672","29.13","550","62","11.27","453","59","13.02","475","61","13.02","829","490","59.11"
"10797  :  โรงพยาบาลหนองม่วง","1,891","484","25.59","450","18","4.00","433","19","4.39","426","47","4.39","582","400","68.73"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","14,600","2,527","17.31","3,940","323","8.20","3,430","260","7.58","3,179","365","7.58","4,051","1,579","38.98"
"10693  :  โรงพยาบาลอินทร์บุรี","6,154","1,346","21.87","1,397","22","1.57","1,319","20","1.52","1,215","72","1.52","2,223","1,232","55.42"
"10798  :  โรงพยาบาลบางระจัน","1,766","179","10.14","500","44","8.80","457","44","9.63","435","39","9.63","374","52","13.90"
"10799  :  โรงพยาบาลค่ายบางระจัน","1,453","140","9.64","515","42","8.16","336","25","7.44","306","35","7.44","296","38","12.84"
"10800  :  โรงพยาบาลพรหมบุรี","903","314","34.77","263","19","7.22","222","18","8.11","206","24","8.11","212","253","119.34"
"10801  :  โรงพยาบาลท่าช้าง","754","475","63.00","228","15","6.58","203","10","4.93","108","24","4.93","215","426","198.14"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","21,070","2,249","10.67","5,444","193","3.55","4,919","143","2.91","4,931","275","2.91","5,776","1,638","28.36"
"10802  :  โรงพยาบาลมโนรมย์","2,148","322","14.99","658","52","7.90","575","26","4.52","461","38","4.52","454","206","45.37"
"10803  :  โรงพยาบาลวัดสิงห์","2,017","219","10.86","516","27","5.23","468","22","4.70","541","21","4.70","492","149","30.28"
"10804  :  โรงพยาบาลสรรพยา","1,467","154","10.50","383","5","1.31","404","13","3.22","320","16","3.22","360","120","33.33"
"10805  :  โรงพยาบาลสรรคบุรี","3,172","661","20.84","910","151","16.59","692","116","16.76","669","80","16.76","901","314","34.85"
"10806  :  โรงพยาบาลหันคา","2,392","230","9.62","765","43","5.62","581","41","7.06","513","36","7.06","533","110","20.64"
"27974  :  โรงพยาบาลหนองมะโมง","1,382","252","18.23","403","40","9.93","340","41","12.06","291","36","12.06","348","135","38.79"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
