"โรงพยาบาล","ได้รับบริการ(คน)","พบประวัติคลอด(คน)","จำนวนบริการ(ครั้ง)","บริการพบประวัติ(ครั้ง)","บริการล่าช้า (คน)","บริการเกิน 90 วัน (คน)"
"ทุกสิทธิ","สิทธิ UC","ทุกสิทธิ","สิทธิ UC","ทุกสิทธิ","สิทธิ UC","ทุกสิทธิ","สิทธิ UC","ทุกสิทธิ","สิทธิ UC","ทุกสิทธิ","สิทธิ UC"
"11539  :  โรงพยาบาลตากสิน","0","0","0","0","0","0","0","0","0","0","0","0"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","0","0","0","0","0","0","0","0","0","0","0","0"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","0","0","0","0","0","0","0","0","0","0","0","0"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0","0","0","0","0","0","0","0","0","0"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0","0","0","0","0","0","0","0","0","0","0","0"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0","0","0","0","0","0","0","0","0","0"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0","0","0","0","0","0","0","0","0","0"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0","0","0","0","0","0","0","0","0","0"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0","0","0","0","0","0","0","0","0","0"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0","0","0","0","0","0","0","0","0","0"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0","0","0","0","0","0","0","0","0","0"
"11592  :  โรงพยาบาลบางนา1","0","0","0","0","0","0","0","0","0","0","0","0"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","0","0","0","0","0","0","0","0","0","0","0","0"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0","0","0","0","0","0","0","0","0","0"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0","0","0","0","0","0","0","0","0","0"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0","0","0","0","0","0","0","0","0","0"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0","0","0","0","0","0","0","0","0","0"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"11621  :  โรงพยาบาลบางไผ่","0","0","0","0","0","0","0","0","0","0","0","0"
"11626  :  โรงพยาบาลคลองตัน","0","0","0","0","0","0","0","0","0","0","0","0"
"11628  :  โรงพยาบาลพระราม 9","0","0","0","0","0","0","0","0","0","0","0","0"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0","0","0","0","0","0","0","0","0","0"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0","0","0","0","0","0","0","0","0","0"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0","0","0","0","0","0","0","0","0","0"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0","0","0","0","0","0","0","0","0","0"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0","0","0","0","0","0","0","0","0","0"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0","0","0","0","0","0","0","0","0","0"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0","0","0","0","0","0","0","0","0","0"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0","0","0","0","0","0","0","0","0","0"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0","0","0","0","0","0","0","0","0","0"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0","0","0","0","0","0","0","0","0","0"
"11676  :  โรงพยาบาลยันฮี","0","0","0","0","0","0","0","0","0","0","0","0"
"11686  :  โรงพยาบาลบางโพ","0","0","0","0","0","0","0","0","0","0","0","0"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0","0","0","0","0","0","0","0","0","0"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0","0","0","0","0","0","0","0","0","0"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0","0","0","0","0","0","0","0","0","0"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0","0","0","0","0","0","0","0","0","0"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0","0","0","0","0","0","0","0","0","0"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0","0","0","0","0","0","0","0","0","0"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0","0","0","0","0","0","0","0","0","0"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0","0","0","0","0","0","0","0","0","0"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0","0","0","0","0","0","0","0","0","0"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0","0","0","0","0","0","0","0","0","0"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0","0","0","0","0","0","0","0","0","0"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0","0","0","0","0","0","0","0","0","0"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0","0","0","0","0","0","0","0","0","0"
"12246  :  สถาบันราชานุกูล","0","0","0","0","0","0","0","0","0","0","0","0"
"12249  :  สถาบันโรคผิวหนัง","0","0","0","0","0","0","0","0","0","0","0","0"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0","0","0","0","0","0","0","0","0","0"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0","0","0","0","0","0","0","0","0","0"
"12439  :  สถาบันประสาทวิทยา","0","0","0","0","0","0","0","0","0","0","0","0"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0","0","0","0","0","0","0","0","0","0"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0","0","0","0","0","0","0","0","0","0"
"13814  :  โรงพยาบาลศิริราช","0","0","0","0","0","0","0","0","0","0","0","0"
"14173  :  โรงพยาบาลตำรวจ","0","0","0","0","0","0","0","0","0","0","0","0"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0","0","0","0","0","0","0","0","0","0"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0","0","0","0","0","0","0","0","0","0"
"14577  :  โรงพยาบาลวิภาราม","0","0","0","0","0","0","0","0","0","0","0","0"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0","0","0","0","0","0","0","0","0","0"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0","0","0","0","0","0","0","0","0","0"
"15049  :  โรงพยาบาลสิรินธร","0","0","0","0","0","0","0","0","0","0","0","0"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"22155  :  โรงพยาบาลครู","0","0","0","0","0","0","0","0","0","0","0","0"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0","0","0","0","0","0","0","0","0","0"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0","0","0","0","0","0","0","0","0","0"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0","0","0","0","0","0","0","0","0"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0","0","0","0","0","0","0","0","0"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0","0","0","0","0","0","0","0","0"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0","0","0","0","0","0","0","0","0"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0","0","0","0","0","0","0","0","0"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0","0","0","0","0","0","0","0","0"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0","0","0","0","0","0","0","0","0"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0","0","0","0","0","0","0","0","0"
"10685  :  โรงพยาบาลสมุทรปราการ","29","2","15","2","102","5","43","5","30","0","0","0"
"10752  :  โรงพยาบาลบางบ่อ","6","5","5","2","22","21","9","9","16","6","0","0"
"10753  :  โรงพยาบาลบางพลี","0","0","26","8","0","0","0","0","48","5","0","0"
"10754  :  โรงพยาบาลบางจาก","29","23","28","22","105","98","100","95","24","13","0","0"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","8","7","9","7","31","30","30","30","2","1","0","0"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","0","0","0","0","0","0","0","0","0","0","0","0"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0","0","0","0","0","0","0","0","0","0"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0","0","0","0","0","0","0","0","0","0"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0","0","0","0","0","0","0","0","0","0"
"28785  :  โรงพยาบาลบางเสาธง","0","0","0","0","0","0","0","0","0","0","0","0"
"10686  :  โรงพยาบาลพระนั่งเกล้า","12","2","5","1","50","7","18","2","7","1","0","0"
"10756  :  โรงพยาบาลบางกรวย","26","10","9","8","96","43","38","33","20","4","0","0"
"10757  :  โรงพยาบาลบางใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"10758  :  โรงพยาบาลบางบัวทอง","47","44","43","43","117","109","101","101","20","17","0","0"
"10759  :  โรงพยาบาลไทรน้อย","118","102","190","108","206","168","201","168","23","8","0","0"
"10760  :  โรงพยาบาลปากเกร็ด","0","0","0","0","0","0","0","0","0","0","0","0"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0","0","0","0","0","0","0","0","0"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0","0","0","0","0","0","0","0","0"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0","0","0","0","0","0","0","0","0"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0","0","0","0","0","0","0","0","0"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0","0","0","0","0","0","0","0","0"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0","0","0","0","0","0","0","0","0","0"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0","0","0","0","0","0","0","0","0","0"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0","0","0","0","0","0","0","0","0"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0","0","0","0","0","0","0","0","0","0"
"10687  :  โรงพยาบาลปทุมธานี","44","21","24","16","138","65","78","49","35","17","0","0"
"10761  :  โรงพยาบาลคลองหลวง","20","18","22","21","59","54","56","54","6","5","0","0"
"10762  :  โรงพยาบาลธัญบุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"10763  :  โรงพยาบาลประชาธิปัตย์","22","16","18","16","46","39","41","39","6","2","0","0"
"10764  :  โรงพยาบาลหนองเสือ","37","22","20","19","119","77","73","70","21","6","0","0"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","0","0","5","5","0","0","0","0","2","2","0","0"
"10766  :  โรงพยาบาลลำลูกกา","116","116","113","113","192","192","180","180","5","3","0","0"
"10767  :  โรงพยาบาลสามโคก","4","4","4","4","9","9","9","9","2","2","0","0"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0","0","0","0","0","0","0","0","0"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0","0","0","0","0","0","0","0","0","0"
"10688  :  โรงพยาบาลเสนา","18","16","16","13","58","51","47","40","8","6","0","0"
"10768  :  โรงพยาบาลท่าเรือ","0","0","0","0","0","0","0","0","0","0","0","0"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","0","0","0","0","0","0","0","0","0","0","0","0"
"10770  :  โรงพยาบาลบางไทร","5","5","7","4","13","13","8","8","8","2","0","0"
"10771  :  โรงพยาบาลบางบาล","0","0","0","0","0","0","0","0","0","0","0","0"
"10772  :  โรงพยาบาลบางปะอิน","0","0","0","0","0","0","0","0","0","0","0","0"
"10773  :  โรงพยาบาลบางปะหัน","7","3","7","2","17","7","10","3","7","3","0","0"
"10774  :  โรงพยาบาลผักไห่","1","1","1","1","3","3","3","3","0","0","0","0"
"10775  :  โรงพยาบาลภาชี","7","5","8","5","31","23","32","24","1","0","0","0"
"10776  :  โรงพยาบาลลาดบัวหลวง","4","3","5","5","5","4","3","3","5","4","0","0"
"10777  :  โรงพยาบาลวังน้อย","14","6","9","6","30","16","14","14","15","2","0","0"
"10778  :  โรงพยาบาลบางซ้าย","0","0","1","0","0","0","0","0","1","0","0","0"
"10779  :  โรงพยาบาลอุทัย","19","18","30","19","55","54","49","48","49","17","0","0"
"10780  :  โรงพยาบาลมหาราช","11","9","24","23","23","19","20","19","7","1","0","0"
"10781  :  โรงพยาบาลบ้านแพรก","0","0","0","0","0","0","0","0","0","0","0","0"
"10689  :  โรงพยาบาลอ่างทอง","18","2","18","2","74","8","69","8","6","0","0","0"
"10782  :  โรงพยาบาลไชโย","0","0","0","0","0","0","0","0","0","0","0","0"
"10784  :  โรงพยาบาลป่าโมก","0","0","0","0","0","0","0","0","0","0","0","0"
"10785  :  โรงพยาบาลโพธิ์ทอง","61","52","60","51","280","247","277","243","31","27","0","0"
"10786  :  โรงพยาบาลแสวงหา","0","0","0","0","0","0","0","0","0","0","0","0"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","0","0","11","6","0","0","0","0","7","2","0","0"
"10788  :  โรงพยาบาลสามโก้","0","0","3","1","0","0","0","0","2","0","0","0"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","76","19","39","12","186","47","76","24","70","10","0","0"
"10691  :  โรงพยาบาลบ้านหมี่","1","1","3","0","2","2","0","0","5","1","0","0"
"10789  :  โรงพยาบาลพัฒนานิคม","2","2","1","1","10","10","5","5","2","2","0","0"
"10790  :  โรงพยาบาลโคกสำโรง","145","138","129","124","663","644","594","579","36","32","0","0"
"10791  :  โรงพยาบาลชัยบาดาล","159","156","156","154","742","730","738","728","23","22","0","0"
"10792  :  โรงพยาบาลท่าวุ้ง","0","0","0","0","0","0","0","0","0","0","0","0"
"10793  :  โรงพยาบาลท่าหลวง","4","3","13","13","13","9","9","9","10","8","0","0"
"10794  :  โรงพยาบาลสระโบสถ์","5","3","3","3","22","14","14","14","3","1","0","0"
"10795  :  โรงพยาบาลโคกเจริญ","25","23","22","21","46","43","42","42","7","4","0","0"
"10796  :  โรงพยาบาลลำสนธิ","0","0","0","0","0","0","0","0","0","0","0","0"
"10797  :  โรงพยาบาลหนองม่วง","19","12","11","8","80","60","45","40","13","6","0","0"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0","0","0","0","0","0","0","0","0"
"10692  :  โรงพยาบาลสิงห์บุรี","78","76","101","76","364","362","349","347","39","13","0","0"
"10693  :  โรงพยาบาลอินทร์บุรี","13","3","26","11","40","7","31","7","17","4","0","0"
"10798  :  โรงพยาบาลบางระจัน","0","0","0","0","0","0","0","0","0","0","0","0"
"10799  :  โรงพยาบาลค่ายบางระจัน","1","0","1","0","1","0","1","0","1","0","0","0"
"10800  :  โรงพยาบาลพรหมบุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"10801  :  โรงพยาบาลท่าช้าง","0","0","0","0","0","0","0","0","0","0","0","0"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","3","0","1","0","4","0","2","0","3","0","0","0"
"10802  :  โรงพยาบาลมโนรมย์","0","0","0","0","0","0","0","0","0","0","0","0"
"10803  :  โรงพยาบาลวัดสิงห์","0","0","7","4","0","0","0","0","7","1","0","0"
"10804  :  โรงพยาบาลสรรพยา","28","18","13","8","105","75","48","33","18","12","0","0"
"10805  :  โรงพยาบาลสรรคบุรี","13","9","11","7","35","28","21","16","16","6","0","0"
"10806  :  โรงพยาบาลหันคา","1","1","4","4","1","1","1","1","9","3","0","0"
"27974  :  โรงพยาบาลหนองมะโมง","18","18","15","15","71","71","61","61","11","10","0","0"
"27975  :  โรงพยาบาลเนินขาม","0","0","0","0","0","0","0","0","0","0","0","0"
"10661  :  โรงพยาบาลสระบุรี","3","3","3","3","5","5","5","5","4","3","0","0"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0","0","0","0","0","0","0","0","0","0"
"10807  :  โรงพยาบาลแก่งคอย","0","0","2","1","0","0","0","0","5","1","0","0"
"10808  :  โรงพยาบาลหนองแค","1","1","1","1","1","1","1","1","1","0","0","0"
"10809  :  โรงพยาบาลวิหารแดง","0","0","1","1","0","0","0","0","1","1","0","0"
"10810  :  โรงพยาบาลหนองแซง","0","0","2","1","0","0","0","0","3","3","0","0"
"10811  :  โรงพยาบาลบ้านหมอ","0","0","1","1","0","0","0","0","0","0","0","0"
"10812  :  โรงพยาบาลดอนพุด","0","0","0","0","0","0","0","0","0","0","0","0"
"10813  :  โรงพยาบาลหนองโดน","6","2","7","3","9","2","8","2","4","0","0","0"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","22","9","13","9","94","39","56","39","12","1","0","0"
"10815  :  โรงพยาบาลมวกเหล็ก","21","14","22","14","73","60","47","42","16","7","0","0"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","9","7","6","5","36","26","25","20","4","2","0","0"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0","0","0","0","0","0","0","0","0","0"
"10662  :  โรงพยาบาลชลบุรี","23","7","38","16","77","18","47","10","28","7","0","0"
"10817  :  โรงพยาบาลบ้านบึง","5","2","19","6","18","6","13","1","20","3","0","0"
"10818  :  โรงพยาบาลหนองใหญ่","11","4","10","5","27","11","22","11","6","1","0","0"
"10819  :  โรงพยาบาลบางละมุง","70","29","41","20","227","103","125","69","47","17","0","0"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","16","6","9","3","53","21","25","9","13","4","0","0"
"10821  :  โรงพยาบาลพานทอง","26","13","18","13","92","48","60","44","15","4","0","0"
"10822  :  โรงพยาบาลพนัสนิคม","83","33","57","24","275","127","195","93","57","17","0","0"
"10823  :  โรงพยาบาลแหลมฉบัง","94","91","93","90","318","314","314","310","22","21","0","0"
"10824  :  โรงพยาบาลเกาะสีชัง","8","6","9","7","25","18","21","18","9","6","0","0"
"10825  :  โรงพยาบาลสัตหีบกม10","19","9","11","8","67","33","23","17","24","9","0","0"
"10826  :  โรงพยาบาลบ่อทอง","0","0","0","0","0","0","0","0","0","0","0","0"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0","0","0","0","0","0","1","0","0","0"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0","0","0","0","0","0","0","0","0","0"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","0","0","0","0","0","0","0","0","0","0","0","0"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0","0","0","0","0","0","0","0","0","0"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","4","0","2","0","17","0","9","0","4","0","0","0"
"28005  :  โรงพยาบาลเมืองพัทยา","0","0","12","9","0","0","0","0","10","5","0","0"
"28006  :  โรงพยาบาลเกาะจันทร์","31","21","29","21","125","88","106","88","17","10","0","0"
"10663  :  โรงพยาบาลระยอง","7","6","22","4","20","16","8","8","31","7","0","0"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","3","0","9","0","8","0","4","0","20","0","0","0"
"10828  :  โรงพยาบาลบ้านฉาง","0","0","3","1","0","0","0","0","10","1","0","0"
"10829  :  โรงพยาบาลแกลง","93","93","92","92","240","240","235","235","16","16","0","0"
"10830  :  โรงพยาบาลวังจันทร์","26","9","15","7","72","34","35","22","25","7","0","0"
"10831  :  โรงพยาบาลบ้านค่าย","12","6","16","6","34","18","21","12","15","4","0","0"
"10832  :  โรงพยาบาลปลวกแดง","8","3","6","2","22","7","16","2","9","2","0","0"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","0","0","1","0","0","0","0","0","1","0","0","0"
"23962  :  โรงพยาบาลนิคมพัฒนา","0","0","1","0","0","0","0","0","1","0","0","0"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","2","0","0","0","0","0","4","0","0","0"
"10834  :  โรงพยาบาลขลุง","9","9","10","8","43","43","38","38","8","5","0","0"
"10835  :  โรงพยาบาลท่าใหม่","10","6","7","5","28","14","12","9","7","3","0","0"
"10836  :  โรงพยาบาลเขาสุกิม","12","9","8","6","42","28","24","16","7","4","0","0"
"10837  :  โรงพยาบาลสองพี่น้อง","0","0","1","0","0","0","0","0","1","0","0","0"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","2","2","6","2","2","2","2","2","9","3","0","0"
"10839  :  โรงพยาบาลมะขาม","1","1","1","1","4","4","4","4","0","0","0","0"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0","0","0","0","0","0","0","0","0","0"
"10841  :  โรงพยาบาลสอยดาว","0","0","2","0","0","0","0","0","3","0","0","0"
"10842  :  โรงพยาบาลแก่งหางแมว","14","12","15","13","53","47","50","44","4","4","0","0"
"10843  :  โรงพยาบาลนายายอาม","0","0","0","0","0","0","0","0","0","0","0","0"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","44","43","41","41","196","194","188","187","11","10","0","0"
"10696  :  โรงพยาบาลตราด","44","14","30","12","78","32","60","30","24","4","0","0"
"10845  :  โรงพยาบาลคลองใหญ่","15","12","12","12","42","40","40","40","11","8","0","0"
"10846  :  โรงพยาบาลเขาสมิง","3","1","3","1","15","5","15","5","2","1","0","0"
"10847  :  โรงพยาบาลบ่อไร่","64","59","62","57","171","158","166","153","11","10","0","0"
"10848  :  โรงพยาบาลแหลมงอบ","68","67","67","66","264","264","262","262","10","10","0","0"
"10849  :  โรงพยาบาลเกาะกูด","2","1","1","1","0","0","0","0","2","1","0","0"
"13816  :  โรงพยาบาลเกาะช้าง","0","0","0","0","0","0","0","0","0","0","0","0"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0","0","0","0","0","0","2","0","0","0"
"10833  :  โรงพยาบาลท่าตะเกียบ","20","15","15","13","87","71","66","61","18","13","0","0"
"10850  :  โรงพยาบาลบางคล้า","0","0","0","0","0","0","0","0","0","0","0","0"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","6","6","6","6","24","24","24","24","0","0","0","0"
"10852  :  โรงพยาบาลบางปะกง","14","13","33","29","50","45","46","41","19","17","0","0"
"10853  :  โรงพยาบาลบ้านโพธิ์","34","23","29","22","129","95","104","91","18","9","0","0"
"10854  :  โรงพยาบาลพนมสารคาม","30","8","13","5","111","32","53","22","21","5","0","0"
"10855  :  โรงพยาบาลสนามชัยเขต","20","18","30","17","98","88","88","83","25","7","0","0"
"10856  :  โรงพยาบาลแปลงยาว","22","12","17","12","52","38","45","38","7","1","0","0"
"13747  :  โรงพยาบาลราชสาส์น","10","10","10","10","37","37","37","37","4","3","0","0"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0","0","0","0","0","0","0","0","0","0"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","0","0","0","0","0","0","0","0","0","0","0","0"
"10857  :  โรงพยาบาลกบินทร์บุรี","0","0","9","3","0","0","0","0","8","3","0","0"
"10858  :  โรงพยาบาลนาดี","0","0","2","0","0","0","0","0","1","0","0","0"
