"โรงพยาบาล","รวมทั้งปีงบประมาณ แยกรายกลุ่มอายุ(คน)","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"0-14","15-29","30-44","45-59","60+","รวมทุกกลุ่ม","ชาย","หญิง","ชาย","หญิง","ชาย","หญิง","ชาย","หญิง"
"ชาย","หญิง","รวม","ชาย","หญิง","รวม","ชาย","หญิง","รวม","ชาย","หญิง","รวม","ชาย","หญิง","รวม","ชาย","หญิง","รวม","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง","คน","ครั้ง"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10685  :  โรงพยาบาลสมุทรปราการ","314","261","575","1,185","1,719","2,904","893","1,412","2,305","834","1,561","2,395","1,184","2,161","3,345","4,410","7,114","11,524","1,092","1,247","1,854","2,215","881","986","1,408","1,631","1,007","1,095","1,711","1,903","1,430","1,511","2,141","2,374"
"10752  :  โรงพยาบาลบางบ่อ","73","79","152","641","803","1,444","641","679","1,320","631","1,103","1,734","1,439","2,292","3,731","3,425","4,956","8,381","743","878","1,101","1,364","662","782","960","1,139","763","879","1,137","1,284","1,257","1,385","1,758","1,971"
"10753  :  โรงพยาบาลบางพลี","136","96","232","630","782","1,412","524","752","1,276","472","807","1,279","723","1,492","2,215","2,485","3,929","6,414","591","754","957","1,205","485","604","795","982","569","671","904","1,086","840","909","1,273","1,403"
"10754  :  โรงพยาบาลบางจาก","119","83","202","221","348","569","267","384","651","458","798","1,256","1,268","2,247","3,515","2,333","3,860","6,193","562","847","1,031","1,677","512","732","879","1,442","533","703","813","1,157","726","893","1,137","1,442"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","64","71","135","157","254","411","132","240","372","248","395","643","575","996","1,571","1,176","1,956","3,132","291","362","508","599","223","280","363","439","230","281","400","500","432","502","685","783"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","28","17","45","159","159","318","164","216","380","138","154","292","63","84","147","552","630","1,182","87","89","96","98","76","78","97","98","94","99","132","137","295","305","305","327"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","4","1","5","19","16","35","3","47","50","9","37","46","1","13","14","36","114","150","3","3","20","23","7","9","26","30","11","12","19","22","15","17","49","63"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28785  :  โรงพยาบาลบางเสาธง","87","73","160","112","171","283","87","97","184","139","184","323","286","362","648","711","887","1,598","171","225","233","295","133","148","178","212","105","124","124","155","302","321","352","384"
"10686  :  โรงพยาบาลพระนั่งเกล้า","10","8","18","114","230","344","238","521","759","559","1,278","1,837","1,141","2,458","3,599","2,062","4,495","6,557","333","392","931","1,103","313","355","845","958","267","304","654","739","1,149","1,312","2,065","2,431"
"10756  :  โรงพยาบาลบางกรวย","17","18","35","118","154","272","166","374","540","361","805","1,166","1,035","1,947","2,982","1,697","3,298","4,995","530","1,012","1,067","2,165","579","993","1,085","2,007","339","393","678","795","249","279","468","561"
"10757  :  โรงพยาบาลบางใหญ่","45","40","85","156","282","438","213","350","563","361","807","1,168","781","1,417","2,198","1,556","2,896","4,452","495","846","979","1,997","408","683","818","1,593","351","429","610","774","302","350","489","562"
"10758  :  โรงพยาบาลบางบัวทอง","45","52","97","228","434","662","292","484","776","528","974","1,502","1,381","2,510","3,891","2,474","4,454","6,928","700","940","1,430","2,048","656","821","1,213","1,629","556","694","939","1,260","562","696","872","1,104"
"10759  :  โรงพยาบาลไทรน้อย","73","68","141","263","350","613","256","356","612","276","429","705","515","805","1,320","1,383","2,008","3,391","325","374","478","588","263","331","379","483","254","314","420","555","541","602","731","869"
"10760  :  โรงพยาบาลปากเกร็ด","111","86","197","274","385","659","216","314","530","288","592","880","650","1,263","1,913","1,539","2,640","4,179","414","490","774","969","267","320","535","679","269","329","535","686","589","662","796","987"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12260  :  โรงพยาบาลศรีธัญญา","2","0","2","46","62","108","245","222","467","232","387","619","283","518","801","808","1,189","1,997","206","369","297","458","204","339","274","425","194","321","291","480","204","330","327","499"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","29","37","66","174","269","443","198","362","560","289","569","858","661","1,325","1,986","1,351","2,562","3,913","360","421","686","818","269","321","538","634","364","433","660","786","358","426","678","793"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28875  :  โรงพยาบาลบางบัวทอง ๒","10","4","14","30","34","64","18","27","45","21","35","56","46","84","130","125","184","309","86","93","119","132","32","36","42","44","5","5","18","19","2","2","5","7"
"10687  :  โรงพยาบาลปทุมธานี","50","56","106","621","626","1,247","750","806","1,556","715","1,538","2,253","979","2,214","3,193","3,115","5,240","8,355","722","918","1,483","1,838","591","747","1,219","1,502","592","707","1,157","1,386","1,210","1,313","1,381","1,673"
"10761  :  โรงพยาบาลคลองหลวง","39","26","65","110","175","285","136","172","308","247","534","781","651","1,082","1,733","1,183","1,989","3,172","354","399","639","740","260","318","456","547","252","301","431","506","317","375","463","562"
"10762  :  โรงพยาบาลธัญบุรี","57","65","122","191","242","433","94","126","220","108","167","275","162","223","385","612","823","1,435","136","151","229","242","112","129","155","174","157","165","175","188","207","224","264","283"
"10763  :  โรงพยาบาลประชาธิปัตย์","41","33","74","111","174","285","102","210","312","379","659","1,038","1,156","2,319","3,475","1,789","3,395","5,184","525","612","1,013","1,180","414","462","815","943","399","448","792","892","451","502","775","865"
"10764  :  โรงพยาบาลหนองเสือ","8","5","13","30","47","77","43","80","123","73","119","192","106","203","309","260","454","714","82","103","179","232","60","65","91","109","50","57","84","91","68","73","100","106"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","19","29","48","141","214","355","112","198","310","111","204","315","176","337","513","559","982","1,541","155","176","258","318","99","108","169","195","80","92","155","178","225","238","400","453"
"10766  :  โรงพยาบาลลำลูกกา","63","65","128","324","334","658","292","351","643","295","445","740","699","893","1,592","1,673","2,088","3,761","300","370","402","488","282","335","387","450","285","342","371","418","806","875","928","1,017"
"10767  :  โรงพยาบาลสามโคก","74","55","129","143","169","312","177","201","378","193","267","460","292","360","652","879","1,052","1,931","153","195","165","201","138","172","180","223","137","173","175","196","451","503","532","589"
