"ชื่อยาสมุนไพร","จำนวนจ่ายรวมทุกสิทธิ(ครั้ง)","จำนวนจ่ายรวมสิทธิ UC(ครั้ง)","จำนวนที่จ่ายรวมทุกสิทธิ(หน่วยนับ)","มูลค่ารวมทุกสิทธิ(บาท)"
"ครีมพญายอ ตราไตรแว็ก, ยาครีมสำหรับป้ายปาก","8","7","11","506.00"
"ฝาง, ยาชง","8","5","57","1,320.00"
"วัฒนะ, ยาแคปซูล","8","5","382","191.00"
"บรรเทาริดสีดวงทวาร (รพ.ห้วยยอด), ยาลูกกลอน","8","6","405","405.00"
"แก้ไอมะขามป้อม ตราอภัยภูเบศร สูตร 1 , ยาลูกกลอน","8","6","10","182.00"
"กษัยเส้น, ยาลูกกลอน","8","6","170","190.40"
"สมุนไพรอบตัว, ยาต้ม","7","6","7","312.00"
"แก้ไอ สูตร 1, ยาลูกกลอน","7","6","690","483.00"
"พิมเสนน้ำ, ยาน้ำ","7","2","8","228.00"
"ทิงเจอร์ทองพันชั่ง, ทิงเจอร์","7","7","6","532.00"
"เฮโมลอน, ยาแคปซูล","6","4","200","298.00"
"หอมทิพโอสถ, ยาเม็ด","6","4","195","195.00"
"ริดสีดวงมหากาฬ (ตำรับในระบบทางเดินอาหารส่วนกลางและส่วนปลาย), ยาแคปซูล","6","6","38","22.80"
"กานพลู, อื่นๆ","6","6","11","220.00"
"ถั่วเหลืองสกัด, ยาแคปซูล","5","1","168","318.00"
"เฮโมลอน 3, ยาแคปซูล","5","5","154","308.00"
"บรรเทาหวัดแพ้อากาศ , ยาแคปซูล","5","4","223","267.60"
"ตะไคร้, ยาชง","5","4","5","105.00"
"พลู, ครีม","5","5","9","763.00"
"ถ่ายดีเกลือฝรั่ง , ยาแคปซูล","5","4","28","56.00"
"ฝรั่ง, ยาน้ำ","5","4","5","18.75"
"หญ้าปักกิ่ง, ยาแคปซูล","4","2","178","1,062.00"
"หอมเบอร์ 80, ยาแคปซูล","4","3","104","135.20"
"ประสะกะเพรา, ยาแคปซูล","4","4","10","134.00"
"บำรุงโลหิต, ยาแคปซูล","4","4","8","120.00"
"คำฝอย, ยาชง","4","2","52","535.00"
"ตำรับโคคลาน, ยาต้ม","3","2","25","666.00"
"แก้เริม งูสวัด /แก้เริม งูสวัด สุกใส, ยาน้ำ","3","3","10","200.00"
"แผลไฟไหม้น้ำร้อนลวก, เจล","3","3","2","100.00"
"น้ำมันมะพร้าว, ยาเข้าน้ำมัน","3","0","21","5,250.00"
"หอมเบอร์ 20 , ยาแคปซูล","3","3","42","48.00"
"วิสัมพญาใหญ่, ยาผง","3","3","450","787.50"
"บำรุงเลือด (รพ.สรรคบุรี), ยาแคปซูล","3","3","3","210.00"
"กษัยเบอร์ 50, ยาแคปซูล","3","2","24","16.80"
"ตำรับข่อย, ยาลูกกลอน","2","2","0","0.00"
"หอมเบอร์ 24, ยาแคปซูล","2","2","8","24.00"
"เขียวหอม, ยาเม็ด","2","2","12","19.92"
"อัมรินทร์, ยาแคปซูล","2","2","24","36.00"
"ส้มแขก, ยาแคปซูล","2","1","21","119.40"
"น้ำมันเสลดพังพอน, ยาเข้าน้ำมัน","2","2","2","38.00"
"แก้ไอมะขามป้อม ตราอภัยภูเบศร สูตร 2, ยาลูกกลอน","2","2","2","70.00"
"ไพลครีม  , ครีม","2","1","1","78.00"
"หอมสินธร, ยาผง","2","0","2","100.00"
"แคปซูลผสมกระเทียม ตราพระอินทร์, ยาแคปซูล","2","0","12","27.00"
"ขลู่, ยาชง","2","2","48","48.00"
"หม่องเถาเอ็นอ่อน, ขี้ผึ้ง","2","0","3","135.00"
"แก้ไอกานพลู , ยาลูกกลอน","2","2","2","34.00"
"ธรณีสัณฑะฆาต, ยาแคปซูล","2","1","5","10.00"
"แคปซูลบอระเพ็ด, ยาแคปซูล","2","2","40","60.00"
"ยาถ่าย (รพ.ประโคนชัย), ยาแคปซูล","2","2","4","6.00"
"แก้ไอคัฟฟี, ยาน้ำ","2","0","1","25.00"
"มะตูม, ยาผง","1","1","1","30.00"
"กระชายดำ, ยาแคปซูล","1","0","2","360.00"
"ไพลซาบาล์ม , ขี้ผึ้ง","1","0","1","160.00"
"ตำรับมะเร็ง, ยาต้ม","1","0","4","0.00"
"แก้ลมอัมพฤกษ์ , ยาผง","1","0","1","30.00"
"ประสะกานพลู , ยาเม็ด","1","1","1","20.00"
"เหงือกปลาหมอพริกไทย, ยาแคปซูล","1","1","1","60.00"
"ทับทิม, ยาชง","1","0","1","8.00"
"น้ำยาบ้วนปากสมุนไพร, ยาน้ำ","1","1","1","40.00"
"ทิงเจอร์พลู, ทิงเจอร์","1","1","0","0.00"
"กษัยเบอร์ 2, ยาแคปซูล","1","1","4","4.00"
"ตำรับกระเทียมแคปซูล, ยาแคปซูล","1","1","1","90.00"
"ขับลมเบอร์ 39, ยาแคปซูล","1","0","90","108.00"
"ยอ, ยาแคปซูล","1","0","2","120.00"
"ตำรับหญ้าหนวดแมว สูตร 1, ยาต้ม","1","1","0","0.00"
"เบอร์นีเจล, ครีม","1","1","1","41.00"
"สัตถกวาตะ, ยาแคปซูล","1","1","12","6.00"
"หนุมานประสานกาย, ยาแคปซูล","1","1","40","80.00"
"ลดไข้เบอร์ 1, ยาเม็ด","0","0","0","0.00"
"ขับลมเบอร์ 11, ยาผง","0","0","0","0.00"
"แก้ไอวิริยมัย สูตรมะขามป้อม, ยาน้ำ","0","0","0","0.00"
"ขี้ผึ้งไพล สูตรตำรับที่ ๑, ขี้ผึ้ง","0","0","0","0.00"
"ตรีพิกัด, ยาแคปซูล","0","0","0","0.00"
"การ์ซิดีน, ยาน้ำ","0","0","0","0.00"
"น้ำมันสมุนไพร, ยาเข้าน้ำมัน","0","0","0","0.00"
"แคปซูลดอกคำฝอย ตราธงทอง, ยาแคปซูล","0","0","0","0.00"
"แคปซูลผสมหญ้าปักกิ่ง ตราพระอินทร์, ยาแคปซูล","0","0","0","0.00"
"หอมทิพโอสถ ตราโพธิ์ทอง, ยาผง","0","0","0","0.00"
"ขับลม แฟลท-ทัย , ยาน้ำ","0","0","0","0.00"
"หอมระย่อม, ยาแคปซูล","0","0","0","0.00"
"พญายอครีม   , ครีม","0","0","0","0.00"
