"โรงพยาบาล","รวมทั้งปีงบประมาณ","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"บริการผู้ป่วยใน(ครั้ง)","บริการแพทย์แผนไทย(ครั้ง)","ร้อยละการรับบริการ","บริการผู้ป่วยใน(ครั้ง)","บริการแพทย์แผนไทย(ครั้ง)","ร้อยละการรับบริการ","บริการผู้ป่วยใน(ครั้ง)","บริการแพทย์แผนไทย(ครั้ง)","ร้อยละการรับบริการ","บริการผู้ป่วยใน(ครั้ง)","บริการแพทย์แผนไทย(ครั้ง)","ร้อยละการรับบริการ","บริการผู้ป่วยใน(ครั้ง)","บริการแพทย์แผนไทย(ครั้ง)","ร้อยละการรับบริการ"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11592  :  โรงพยาบาลบางนา1","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","1,843","155","8.41","468","48","10.26","394","33","8.38","455","42","8.38","526","32","6.08"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11621  :  โรงพยาบาลบางไผ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11626  :  โรงพยาบาลคลองตัน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11628  :  โรงพยาบาลพระราม 9","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","12","0","0.00","9","0","0.00","0","0","0.00","2","0","0.00","1","0","0.00"
"12246  :  สถาบันราชานุกูล","2,940","17","0.58","204","0","0.00","881","4","0.45","827","4","0.45","1,028","9","0.88"
"12249  :  สถาบันโรคผิวหนัง","145","0","0.00","25","0","0.00","41","0","0.00","52","0","0.00","27","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","2,159","0","0.00","781","0","0.00","455","0","0.00","432","0","0.00","491","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","11","0","0.00","3","0","0.00","3","0","0.00","3","0","0.00","2","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","5,460","96","1.76","1,438","21","1.46","1,630","26","1.60","1,462","26","1.60","930","23","2.47"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","9,874","1","0.01","92","0","0.00","3,641","0","0.00","3,585","0","0.00","2,556","1","0.04"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","39,652","498","1.26","10,153","126","1.24","9,642","144","1.49","9,350","106","1.49","10,507","122","1.16"
"10752  :  โรงพยาบาลบางบ่อ","9,272","882","9.51","2,118","249","11.76","2,299","220","9.57","2,347","179","9.57","2,508","234","9.33"
"10753  :  โรงพยาบาลบางพลี","14,457","352","2.43","3,746","87","2.32","3,569","79","2.21","3,399","84","2.21","3,743","102","2.73"
"10754  :  โรงพยาบาลบางจาก","6,132","781","12.74","1,402","170","12.13","1,521","205","13.48","1,417","193","13.48","1,792","213","11.89"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","3,337","340","10.19","829","93","11.22","842","105","12.47","759","53","12.47","907","89","9.81"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","1,836","0","0.00","450","0","0.00","502","0","0.00","422","0","0.00","462","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","6,150","2","0.03","1,887","0","0.00","1,886","1","0.05","1,721","1","0.05","656","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","1,125","4","0.36","337","3","0.89","261","1","0.38","384","0","0.38","143","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","604","38","6.29","141","4","2.84","148","11","7.43","182","13","7.43","133","10","7.52"
"10686  :  โรงพยาบาลพระนั่งเกล้า","31,828","2,133","6.70","8,218","631","7.68","8,029","603","7.51","7,442","568","7.51","8,139","331","4.07"
"10756  :  โรงพยาบาลบางกรวย","2,927","251","8.58","704","65","9.23","726","52","7.16","687","56","7.16","810","78","9.63"
"10757  :  โรงพยาบาลบางใหญ่","5,192","450","8.67","1,289","137","10.63","1,246","117","9.39","1,181","98","9.39","1,476","98","6.64"
"10758  :  โรงพยาบาลบางบัวทอง","4,415","383","8.67","1,109","88","7.94","1,077","92","8.54","1,016","96","8.54","1,213","107","8.82"
"10759  :  โรงพยาบาลไทรน้อย","3,888","121","3.11","1,010","30","2.97","971","29","2.99","863","37","2.99","1,044","25","2.39"
"10760  :  โรงพยาบาลปากเกร็ด","2,619","363","13.86","696","105","15.09","682","105","15.40","593","74","15.40","648","79","12.19"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","7,475","0","0.00","2,557","0","0.00","2,630","0","0.00","2,288","0","0.00","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","5,407","619","11.45","1,327","137","10.32","1,495","185","12.37","1,447","147","12.37","1,138","150","13.18"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","9,580","68","0.71","1,885","19","1.01","2,781","21","0.76","2,680","11","0.76","2,234","17","0.76"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","644","37","5.75","231","14","6.06","147","11","7.48","125","4","7.48","141","8","5.67"
"10687  :  โรงพยาบาลปทุมธานี","30,077","670","2.23","7,537","185","2.45","7,603","184","2.42","7,060","110","2.42","7,877","191","2.42"
"10761  :  โรงพยาบาลคลองหลวง","2,588","133","5.14","681","31","4.55","652","37","5.67","609","35","5.67","646","30","4.64"
"10762  :  โรงพยาบาลธัญบุรี","3,133","9","0.29","873","2","0.23","780","4","0.51","669","2","0.51","811","1","0.12"
"10763  :  โรงพยาบาลประชาธิปัตย์","1,592","116","7.29","423","34","8.04","435","30","6.90","440","25","6.90","294","27","9.18"
"10764  :  โรงพยาบาลหนองเสือ","1,921","69","3.59","529","18","3.40","483","14","2.90","424","10","2.90","485","27","5.57"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","1,242","29","2.33","161","5","3.11","35","1","2.86","527","10","2.86","519","13","2.50"
"10766  :  โรงพยาบาลลำลูกกา","2,910","322","11.07","672","60","8.93","761","83","10.91","660","88","10.91","817","91","11.14"
"10767  :  โรงพยาบาลสามโคก","1,015","177","17.44","226","41","18.14","257","38","14.79","237","50","14.79","295","48","16.27"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","1,192","143","12.00","348","56","16.09","299","36","12.04","337","29","12.04","208","22","10.58"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","37","0","0.00","0","0","0.00","0","0","0.00","37","0","0.00","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","2,585","2,765","106.96","642","840","130.84","683","663","97.07","702","554","97.07","558","708","126.88"
"10688  :  โรงพยาบาลเสนา","11,166","865","7.75","2,870","246","8.57","2,755","228","8.28","2,613","178","8.28","2,928","213","7.27"
"10768  :  โรงพยาบาลท่าเรือ","2,644","180","6.81","685","54","7.88","674","41","6.08","628","41","6.08","657","44","6.70"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","2,032","267","13.14","561","65","11.59","489","78","15.95","468","55","15.95","514","69","13.42"
"10770  :  โรงพยาบาลบางไทร","2,276","269","11.82","648","50","7.72","600","63","10.50","597","64","10.50","431","92","21.35"
"10771  :  โรงพยาบาลบางบาล","1,333","150","11.25","387","49","12.66","333","51","15.32","286","31","15.32","327","19","5.81"
"10772  :  โรงพยาบาลบางปะอิน","5,444","1,098","20.17","1,389","262","18.86","1,453","295","20.30","1,217","283","20.30","1,385","258","18.63"
"10773  :  โรงพยาบาลบางปะหัน","2,485","255","10.26","687","68","9.90","687","73","10.63","512","59","10.63","599","55","9.18"
"10774  :  โรงพยาบาลผักไห่","1,864","239","12.82","554","72","13.00","548","76","13.87","468","63","13.87","294","28","9.52"
"10775  :  โรงพยาบาลภาชี","2,223","312","14.04","569","75","13.18","548","84","15.33","521","68","15.33","585","85","14.53"
"10776  :  โรงพยาบาลลาดบัวหลวง","1,666","235","14.11","460","51","11.09","492","70","14.23","445","63","14.23","269","51","18.96"
"10777  :  โรงพยาบาลวังน้อย","3,225","305","9.46","980","129","13.16","869","80","9.21","811","63","9.21","565","33","5.84"
"10778  :  โรงพยาบาลบางซ้าย","656","84","12.80","165","23","13.94","183","26","14.21","140","20","14.21","168","15","8.93"
"10779  :  โรงพยาบาลอุทัย","1,819","243","13.36","525","73","13.90","517","80","15.47","296","27","15.47","481","63","13.10"
"10780  :  โรงพยาบาลมหาราช","832","184","22.12","222","52","23.42","204","43","21.08","193","44","21.08","213","45","21.13"
"10781  :  โรงพยาบาลบ้านแพรก","795","139","17.48","240","44","18.33","226","38","16.81","212","39","16.81","117","18","15.38"
"10689  :  โรงพยาบาลอ่างทอง","18,444","22","0.12","4,758","6","0.13","4,980","7","0.14","4,370","5","0.14","4,336","4","0.09"
"10782  :  โรงพยาบาลไชโย","1,998","89","4.45","466","17","3.65","551","32","5.81","435","18","5.81","546","22","4.03"
"10784  :  โรงพยาบาลป่าโมก","3,109","85","2.73","779","26","3.34","831","25","3.01","800","20","3.01","699","14","2.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","4,705","223","4.74","1,197","58","4.85","1,331","60","4.51","1,187","51","4.51","990","54","5.45"
"10786  :  โรงพยาบาลแสวงหา","2,395","437","18.25","592","90","15.20","601","93","15.47","569","154","15.47","633","100","15.80"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","8,299","1,424","17.16","2,109","387","18.35","2,257","408","18.08","1,804","342","18.08","2,129","287","13.48"
"10788  :  โรงพยาบาลสามโก้","1,627","81","4.98","386","18","4.66","423","18","4.26","384","21","4.26","434","24","5.53"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","26,405","641","2.43","6,561","176","2.68","6,721","156","2.32","6,589","102","2.32","6,534","207","3.17"
"10691  :  โรงพยาบาลบ้านหมี่","8,496","353","4.15","2,882","111","3.85","1,325","98","7.40","1,867","76","7.40","2,422","68","2.81"
"10789  :  โรงพยาบาลพัฒนานิคม","4,484","113","2.52","1,145","32","2.79","1,115","24","2.15","1,070","36","2.15","1,154","21","1.82"
"10790  :  โรงพยาบาลโคกสำโรง","3,124","480","15.36","1,031","95","9.21","630","122","19.37","1,154","132","19.37","309","131","42.39"
"10791  :  โรงพยาบาลชัยบาดาล","9,355","914","9.77","2,458","255","10.37","2,328","246","10.57","2,131","211","10.57","2,438","202","8.29"
"10792  :  โรงพยาบาลท่าวุ้ง","2,456","150","6.11","611","27","4.42","622","44","7.07","572","45","7.07","651","34","5.22"
"10793  :  โรงพยาบาลท่าหลวง","658","366","55.62","200","108","54.00","58","134","231.03","112","85","231.03","288","39","13.54"
"10794  :  โรงพยาบาลสระโบสถ์","1,941","319","16.43","513","102","19.88","574","115","20.03","547","69","20.03","307","33","10.75"
"10795  :  โรงพยาบาลโคกเจริญ","2,025","155","7.65","436","34","7.80","505","45","8.91","469","29","8.91","615","47","7.64"
"10796  :  โรงพยาบาลลำสนธิ","1,546","165","10.67","398","58","14.57","330","47","14.24","397","36","14.24","421","24","5.70"
"10797  :  โรงพยาบาลหนองม่วง","3,067","205","6.68","847","31","3.66","915","79","8.63","822","75","8.63","483","20","4.14"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","15,812","448","2.83","3,831","115","3.00","4,166","138","3.31","3,808","91","3.31","4,007","104","2.60"
"10693  :  โรงพยาบาลอินทร์บุรี","6,696","62","0.93","1,615","10","0.62","1,752","19","1.08","1,692","14","1.08","1,637","19","1.16"
"10798  :  โรงพยาบาลบางระจัน","2,350","203","8.64","592","39","6.59","587","44","7.50","583","51","7.50","588","69","11.73"
"10799  :  โรงพยาบาลค่ายบางระจัน","1,912","172","9.00","502","32","6.37","492","46","9.35","458","53","9.35","460","41","8.91"
"10800  :  โรงพยาบาลพรหมบุรี","1,287","93","7.23","344","25","7.27","309","27","8.74","308","18","8.74","326","23","7.06"
"10801  :  โรงพยาบาลท่าช้าง","1,342","127","9.46","342","24","7.02","378","36","9.52","299","16","9.52","323","51","15.79"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","22,608","1,095","4.84","5,426","298","5.49","5,782","354","6.12","5,562","205","6.12","5,838","238","4.08"
"10802  :  โรงพยาบาลมโนรมย์","2,855","237","8.30","675","53","7.85","735","95","12.93","675","56","12.93","770","33","4.29"
"10803  :  โรงพยาบาลวัดสิงห์","1,847","80","4.33","457","12","2.63","381","21","5.51","483","15","5.51","526","32","6.08"
"10804  :  โรงพยาบาลสรรพยา","1,869","82","4.39","501","17","3.39","517","21","4.06","428","15","4.06","423","29","6.86"
"10805  :  โรงพยาบาลสรรคบุรี","3,797","544","14.33","880","105","11.93","1,039","174","16.75","903","132","16.75","975","133","13.64"
"10806  :  โรงพยาบาลหันคา","2,905","194","6.68","693","24","3.46","716","56","7.82","754","50","7.82","742","64","8.63"
"27974  :  โรงพยาบาลหนองมะโมง","1,440","242","16.81","328","47","14.33","367","71","19.35","358","57","19.35","387","67","17.31"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","47,354","17,059","36.02","11,630","4,562","39.23","11,900","4,328","36.37","11,881","4,303","36.37","11,943","3,866","32.37"
"10695  :  โรงพยาบาลพระพุทธบาท","10,793","167","1.55","3,546","38","1.07","2,830","49","1.73","2,599","24","1.73","1,818","56","3.08"
