"โรงพยาบาล","รวมทั้งปีงบประมาณ","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร","มูลค่ารวม(บาท)","ยาแผนปัจจุบัน(บาท)","ยาแผนไทย(บาท)","ร้อยละมูลค่าสมุนไพร"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11565  :  โรงพยาบาลรามคำแหง","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11592  :  โรงพยาบาลบางนา1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","98,079,550.25","97,703,324.75","376,225.50","0.38","24,341,451.00","24,224,120.00","117,331.00","0.48","24,220,024.25","24,106,772.75","113,251.50","0.47","24,410,872.50","24,340,558.50","70,314.00","0.29","25,107,202.50","25,031,873.50","75,329.00","0.30"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11609  :  โรงพยาบาลพญาไท 2","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11621  :  โรงพยาบาลบางไผ่","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11626  :  โรงพยาบาลคลองตัน","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11628  :  โรงพยาบาลพระราม 9","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11629  :  โรงพยาบาลเพชรเวช","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11640  :  โรงพยาบาลธนบุรี 2","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11676  :  โรงพยาบาลยันฮี","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11686  :  โรงพยาบาลบางโพ","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","150,379,667.02","150,379,667.02","0.00","0.00","37,069,877.50","37,069,877.50","0.00","0.00","38,807,233.00","38,807,233.00","0.00","0.00","37,458,067.85","37,458,067.85","0.00","0.00","37,044,488.67","37,044,488.67","0.00","0.00"
"12246  :  สถาบันราชานุกูล","228,630,175.25","228,630,175.25","0.00","0.00","221,216,546.00","221,216,546.00","0.00","0.00","2,294,214.75","2,294,214.75","0.00","0.00","2,644,747.25","2,644,747.25","0.00","0.00","2,474,667.25","2,474,667.25","0.00","0.00"
"12249  :  สถาบันโรคผิวหนัง","76,231,613.35","76,231,613.35","0.00","0.00","22,269,103.50","22,269,103.50","0.00","0.00","20,696,899.00","20,696,899.00","0.00","0.00","18,331,178.00","18,331,178.00","0.00","0.00","14,934,432.85","14,934,432.85","0.00","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","38,145,510.25","38,145,510.25","0.00","0.00","10,281,587.50","10,281,587.50","0.00","0.00","11,665,055.50","11,665,055.50","0.00","0.00","6,307,478.25","6,307,478.25","0.00","0.00","9,891,389.00","9,891,389.00","0.00","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","55,455,612.50","55,455,612.50","0.00","0.00","17,325,590.00","17,325,590.00","0.00","0.00","14,982,391.00","14,982,391.00","0.00","0.00","11,866,932.25","11,866,932.25","0.00","0.00","11,280,699.25","11,280,699.25","0.00","0.00"
"12439  :  สถาบันประสาทวิทยา","268,051,792.00","268,051,792.00","0.00","0.00","77,894,727.00","77,894,727.00","0.00","0.00","73,899,806.00","73,899,806.00","0.00","0.00","68,862,549.00","68,862,549.00","0.00","0.00","47,394,710.00","47,394,710.00","0.00","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"13814  :  โรงพยาบาลศิริราช","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"14173  :  โรงพยาบาลตำรวจ","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"14577  :  โรงพยาบาลวิภาราม","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","7,412,979,966.75","7,412,915,113.75","64,853.00","0.00","3,523,019,312.50","3,522,984,465.50","34,847.00","0.00","3,489,558,259.00","3,489,530,904.00","27,355.00","0.00","400,402,395.25","400,399,744.25","2,651.00","0.00","0.00","0.00","0.00","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15049  :  โรงพยาบาลสิรินธร","53,686,702,568.00","53,685,679,435.00","1,023,133.00","0.00","13,932,546,542.00","13,932,222,671.00","323,871.00","0.00","15,239,042,627.75","15,238,682,652.75","359,975.00","0.00","12,378,173,490.75","12,378,078,541.75","94,949.00","0.00","12,136,939,907.50","12,136,695,569.50","244,338.00","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22155  :  โรงพยาบาลครู","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","325,786,071.60","324,817,889.85","968,181.75","0.30","83,380,105.49","83,157,510.24","222,595.25","0.27","83,324,772.13","83,119,785.88","204,986.25","0.25","80,499,010.37","80,280,493.37","218,517.00","0.27","78,582,183.61","78,260,100.36","322,083.25","0.41"
"10752  :  โรงพยาบาลบางบ่อ","52,896,607.40","52,140,549.25","756,058.15","1.43","13,205,715.75","13,012,443.50","193,272.25","1.46","13,488,184.50","13,316,476.75","171,707.75","1.27","13,394,802.65","13,213,424.50","181,378.15","1.35","12,807,904.50","12,598,204.50","209,700.00","1.64"
"10753  :  โรงพยาบาลบางพลี","71,471,268.99","70,921,012.24","550,256.75","0.77","19,152,316.22","19,005,865.22","146,451.00","0.76","19,181,547.13","19,049,118.63","132,428.50","0.69","18,865,212.88","18,718,951.88","146,261.00","0.78","14,272,192.76","14,147,076.51","125,116.25","0.88"
"10754  :  โรงพยาบาลบางจาก","30,239,130.89","29,596,773.57","642,357.32","2.12","7,651,765.69","7,457,481.10","194,284.59","2.54","7,590,330.39","7,408,100.47","182,229.92","2.40","7,494,657.71","7,361,909.11","132,748.60","1.77","7,502,377.10","7,369,282.89","133,094.21","1.77"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","39,510,420.65","39,264,287.15","246,133.50","0.62","9,408,151.85","9,351,498.85","56,653.00","0.60","9,092,268.15","9,045,016.15","47,252.00","0.52","8,968,837.95","8,908,890.95","59,947.00","0.67","12,041,162.70","11,958,881.20","82,281.50","0.68"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","19,275,378.00","19,275,378.00","0.00","0.00","5,034,826.50","5,034,826.50","0.00","0.00","4,764,521.00","4,764,521.00","0.00","0.00","4,752,242.50","4,752,242.50","0.00","0.00","4,723,788.00","4,723,788.00","0.00","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","239,193,588.50","239,155,726.50","37,862.00","0.02","24,638,200.00","24,633,096.00","5,104.00","0.02","70,064,249.00","70,059,585.00","4,664.00","0.01","72,481,543.50","72,474,239.50","7,304.00","0.01","72,009,596.00","71,988,806.00","20,790.00","0.03"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","29,557,958.25","29,497,322.25","60,636.00","0.21","4,542,149.25","4,534,759.25","7,390.00","0.16","8,839,593.25","8,829,073.25","10,520.00","0.12","6,623,200.00","6,611,890.00","11,310.00","0.17","9,553,015.75","9,521,599.75","31,416.00","0.33"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","22,147,901.90","22,147,901.90","0.00","0.00","7,816,737.50","7,816,737.50","0.00","0.00","5,800,968.00","5,800,968.00","0.00","0.00","6,213,986.00","6,213,986.00","0.00","0.00","2,316,210.40","2,316,210.40","0.00","0.00"
"28785  :  โรงพยาบาลบางเสาธง","8,079,141.91","7,975,263.41","103,878.50","1.29","2,031,215.83","2,001,719.83","29,496.00","1.45","2,212,018.04","2,188,613.04","23,405.00","1.06","1,949,367.54","1,928,573.79","20,793.75","1.07","1,886,540.50","1,856,356.75","30,183.75","1.60"
