"โรงพยาบาล","จำนวนหน่วยบริการที่ผ่านเกณฑ์","ประชากรผู้สูงอายุ(คน)","จำนวนคัดกรองทั้งหมด(คน)","จำนวนคัดกรองผ่านเกณฑ์(คน)","ร้อยละ","จำนวนผิดปกติ/เสี่ยงStep 1 (คน)","จำนวนผิดปกติ/เสี่ยงStep 2 (คน)","จำนวนที่ได้รับintervention(คน)","ร้อยละ"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0","0.00","0","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0","0.00","0","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0.00","0","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0","0.00","0","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0","0.00","0","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0","0.00","0","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0","0","0.00","0","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","341","19","4","1.17","7","1","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0","0.00","0","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","820","292","275","33.54","182","0","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0","0","0.00","0","0","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","1","990","638","631","63.74","17","1","1","100.00"
"10762  :  โรงพยาบาลธัญบุรี","1","2,048","1,373","1,364","66.60","14","63","52","82.54"
"10763  :  โรงพยาบาลประชาธิปัตย์","1","2,069","1,925","1,871","90.43","15","14","14","100.00"
"10764  :  โรงพยาบาลหนองเสือ","0","1,079","356","332","30.77","11","1","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","0","1,261","283","2","0.16","22","0","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0","0","0.00","0","0","0","0.00"
"10767  :  โรงพยาบาลสามโคก","1","758","753","734","96.83","98","4","4","100.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0","0.00","0","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0","0.00","0","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0","0","0.00","0","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","0","0","0","0","0.00","0","0","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","0","2,696","1,134","1,130","41.91","12","1","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","1","559","541","537","96.06","65","1","1","100.00"
"10770  :  โรงพยาบาลบางไทร","0","882","79","28","3.17","4","0","0","0.00"
"10771  :  โรงพยาบาลบางบาล","1","412","353","348","84.47","29","25","25","100.00"
"10772  :  โรงพยาบาลบางปะอิน","1","1,943","1,224","1,204","61.97","452","446","429","96.19"
"10773  :  โรงพยาบาลบางปะหัน","0","469","393","353","75.27","113","0","0","0.00"
"10774  :  โรงพยาบาลผักไห่","0","327","311","310","94.80","7","0","0","0.00"
"10775  :  โรงพยาบาลภาชี","1","1,429","883","869","60.81","515","62","31","50.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","0","493","289","280","56.80","65","0","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","1","914","667","646","70.68","9","6","6","100.00"
"10778  :  โรงพยาบาลบางซ้าย","0","748","682","632","84.49","19","0","0","0.00"
"10779  :  โรงพยาบาลอุทัย","1","170","114","110","64.71","2","1","1","100.00"
"10780  :  โรงพยาบาลมหาราช","0","396","12","3","0.76","2","0","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","1","308","207","201","65.26","54","14","14","100.00"
"10689  :  โรงพยาบาลอ่างทอง","1","340","309","306","90.00","67","9","9","100.00"
"10782  :  โรงพยาบาลไชโย","1","588","553","553","94.05","60","88","87","98.86"
"10784  :  โรงพยาบาลป่าโมก","1","1,195","988","977","81.76","94","14","14","100.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","1","832","769","769","92.43","5","4","4","100.00"
"10786  :  โรงพยาบาลแสวงหา","1","1,598","1,509","1,500","93.87","390","209","182","87.08"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","1","1,717","1,661","1,446","84.22","189","7","6","85.71"
"10788  :  โรงพยาบาลสามโก้","1","503","500","500","99.40","52","76","76","100.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0","0","0.00","0","0","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0","0","0.00","0","0","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","0","1,728","407","248","14.35","156","0","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","0","1,767","391","6","0.34","24","2","2","100.00"
"10791  :  โรงพยาบาลชัยบาดาล","0","2,721","2,651","2,633","96.77","11","1","0","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","1","1,143","1,001","943","82.50","129","54","51","94.44"
"10793  :  โรงพยาบาลท่าหลวง","0","1,393","363","191","13.71","73","1","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","1","2,014","1,602","1,545","76.71","109","4","3","75.00"
"10795  :  โรงพยาบาลโคกเจริญ","0","1,209","793","364","30.11","207","5","0","0.00"
"10796  :  โรงพยาบาลลำสนธิ","0","1,201","1,121","1,091","90.84","295","4","1","25.00"
"10797  :  โรงพยาบาลหนองม่วง","0","1,348","1,163","1,126","83.53","111","1","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0","0","0.00","0","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0","0.00","0","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","0","2,748","2,661","2,650","96.43","3","0","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","1","694","678","671","96.69","189","6","6","100.00"
"10798  :  โรงพยาบาลบางระจัน","1","1,160","803","802","69.14","111","4","4","100.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","1","1,263","1,074","1,066","84.40","75","68","63","92.65"
"10800  :  โรงพยาบาลพรหมบุรี","1","1,261","1,167","1,165","92.39","14","3","2","66.67"
"10801  :  โรงพยาบาลท่าช้าง","1","797","785","782","98.12","50","7","7","100.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0","0","0.00","0","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","0","1,077","367","0","0.00","35","1","1","100.00"
"10803  :  โรงพยาบาลวัดสิงห์","0","1,108","758","0","0.00","5","0","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","0","613","590","0","0.00","153","0","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","0","1,841","1,600","0","0.00","108","10","7","70.00"
"10806  :  โรงพยาบาลหันคา","0","1,814","1,587","0","0.00","18","0","0","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","0","292","284","0","0.00","83","0","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0","0","0.00","0","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0","0","0.00","0","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","1","0","0","0.00","0","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","1","2,850","2,492","2,465","86.49","49","34","34","100.00"
"10808  :  โรงพยาบาลหนองแค","0","522","1","0","0.00","0","0","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","0","0","0","0","0.00","0","0","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","1","958","809","794","82.88","44","6","5","83.33"
"10811  :  โรงพยาบาลบ้านหมอ","0","1,431","1,233","37","2.59","67","0","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0","0","0.00","0","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","0","1,007","917","914","90.76","86","0","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","0","584","557","14","2.40","82","2","0","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","0","1,220","773","760","62.30","38","0","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","1","712","677","668","93.82","263","7","7","100.00"
"11485  :  โรงพยาบาลค่ายอดิศร","0","454","50","19","4.19","14","0","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0","0","0.00","0","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","0","4,689","2,697","0","0.00","931","2","0","0.00"
"10818  :  โรงพยาบาลหนองใหญ่","0","1,075","836","0","0.00","22","0","0","0.00"
"10819  :  โรงพยาบาลบางละมุง","0","4,445","575","0","0.00","48","0","0","0.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","0","535","213","0","0.00","1","0","0","0.00"
"10821  :  โรงพยาบาลพานทอง","0","1,281","1,038","0","0.00","105","1","1","100.00"
"10822  :  โรงพยาบาลพนัสนิคม","0","3,230","1,460","0","0.00","109","22","1","4.55"
"10823  :  โรงพยาบาลแหลมฉบัง","0","9,426","40","0","0.00","1","0","0","0.00"
"10824  :  โรงพยาบาลเกาะสีชัง","0","607","574","0","0.00","76","2","2","100.00"
"10825  :  โรงพยาบาลสัตหีบกม10","0","4,681","1,880","0","0.00","72","17","12","70.59"
"10826  :  โรงพยาบาลบ่อทอง","0","1,103","832","0","0.00","9","3","1","33.33"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","328","181","0","0.00","5","2","1","50.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0","0","0.00","0","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","0","12,015","133","0","0.00","6","0","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0","0","0.00","0","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0","0","0.00","0","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","0","28","11","0","0.00","0","0","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","0","2,673","48","0","0.00","0","0","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","0","535","497","0","0.00","51","5","0","0.00"
"10663  :  โรงพยาบาลระยอง","0","0","0","0","0.00","0","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","0","393","270","0","0.00","19","1","1","100.00"
"10828  :  โรงพยาบาลบ้านฉาง","0","4,045","1,626","0","0.00","88","0","0","0.00"
"10829  :  โรงพยาบาลแกลง","0","962","545","0","0.00","0","0","0","0.00"
"10830  :  โรงพยาบาลวังจันทร์","0","901","892","0","0.00","170","1","1","100.00"
"10831  :  โรงพยาบาลบ้านค่าย","0","1,460","604","0","0.00","90","1","1","100.00"
"10832  :  โรงพยาบาลปลวกแดง","0","1,468","579","0","0.00","35","2","2","100.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","0","449","275","0","0.00","0","0","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","0","642","320","0","0.00","0","0","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","0","0","0.00","0","0","0","0.00"
"10834  :  โรงพยาบาลขลุง","0","2,263","464","0","0.00","1","0","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","0","0","0","0","0.00","0","0","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","0","946","41","0","0.00","6","0","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","0","1,400","4","0","0.00","0","0","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","0","2,112","1,653","0","0.00","0","0","0","0.00"
"10839  :  โรงพยาบาลมะขาม","0","0","0","0","0.00","0","0","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0","0","0.00","0","0","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","2","1","0","0.00","0","0","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","0","942","14","0","0.00","4","0","0","0.00"
"10843  :  โรงพยาบาลนายายอาม","0","698","46","0","0.00","20","0","0","0.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","0","1,110","2","0","0.00","0","0","0","0.00"
"10696  :  โรงพยาบาลตราด","0","1,412","14","0","0.00","0","0","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","0","1,969","7","0","0.00","0","0","0","0.00"
"10846  :  โรงพยาบาลเขาสมิง","0","1,513","114","0","0.00","11","0","0","0.00"
"10847  :  โรงพยาบาลบ่อไร่","0","1,321","713","0","0.00","0","0","0","0.00"
"10848  :  โรงพยาบาลแหลมงอบ","0","968","284","0","0.00","2","0","0","0.00"
"10849  :  โรงพยาบาลเกาะกูด","0","193","187","0","0.00","23","0","0","0.00"
"13816  :  โรงพยาบาลเกาะช้าง","0","199","2","0","0.00","0","0","0","0.00"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0","0","0.00","0","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","0","872","864","0","0.00","27","0","0","0.00"
"10850  :  โรงพยาบาลบางคล้า","0","3,448","17","0","0.00","2","0","0","0.00"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0","0","0.00","0","0","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","0","0","0","0","0.00","0","0","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","0","749","711","0","0.00","2","4","4","100.00"
"10854  :  โรงพยาบาลพนมสารคาม","0","2,412","343","0","0.00","106","3","1","33.33"
"10855  :  โรงพยาบาลสนามชัยเขต","0","1","0","0","0.00","0","0","0","0.00"
"10856  :  โรงพยาบาลแปลงยาว","0","1,067","247","0","0.00","61","0","0","0.00"
"13747  :  โรงพยาบาลราชสาส์น","0","1,300","5","0","0.00","1","0","0","0.00"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0","0","0.00","0","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","0","253","3","0","0.00","0","0","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","0","1,754","316","0","0.00","42","2","2","100.00"
"10858  :  โรงพยาบาลนาดี","0","1,396","369","0","0.00","174","0","0","0.00"
"10859  :  โรงพยาบาลบ้านสร้าง","0","992","10","0","0.00","2","0","0","0.00"
"10860  :  โรงพยาบาลประจันตคาม","0","2,002","19","0","0.00","12","0","0","0.00"
"10861  :  โรงพยาบาลศรีมหาโพธิ","0","1,447","764","0","0.00","1","0","0","0.00"
"10862  :  โรงพยาบาลศรีมโหสถ","0","2,200","6","0","0.00","1","0","0","0.00"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","0","261","3","0","0.00","0","0","0","0.00"
"10698  :  โรงพยาบาลนครนายก","1","3,110","2,496","2,472","79.49","408","37","22","59.46"
"10863  :  โรงพยาบาลปากพลี","0","552","490","473","85.69","108","15","4","26.67"
