"โรงพยาบาล","B","A","อัตรา(100)"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","69","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0.00"
"10753  :  โรงพยาบาลบางพลี","1,761","1","0.06"
"10754  :  โรงพยาบาลบางจาก","0","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","1,544","8","0.52"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","1,972","1","0.05"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","65","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","1,136","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","0","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","590","1","0.17"
"10757  :  โรงพยาบาลบางใหญ่","2,504","1","0.04"
"10758  :  โรงพยาบาลบางบัวทอง","988","1","0.10"
"10759  :  โรงพยาบาลไทรน้อย","1,023","2","0.20"
"10760  :  โรงพยาบาลปากเกร็ด","2,694","1","0.04"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","591","1","0.17"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","23","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","857","7","0.82"
"10762  :  โรงพยาบาลธัญบุรี","1,738","2","0.12"
"10763  :  โรงพยาบาลประชาธิปัตย์","1,464","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","458","1","0.22"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","434","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","5","0","0.00"
"10767  :  โรงพยาบาลสามโคก","301","5","1.66"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","246","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","1,004","38","3.78"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","0","0","0.00"
"10770  :  โรงพยาบาลบางไทร","267","1","0.37"
"10771  :  โรงพยาบาลบางบาล","148","5","3.38"
"10772  :  โรงพยาบาลบางปะอิน","1,138","6","0.53"
"10773  :  โรงพยาบาลบางปะหัน","126","0","0.00"
"10774  :  โรงพยาบาลผักไห่","87","0","0.00"
"10775  :  โรงพยาบาลภาชี","506","5","0.99"
"10776  :  โรงพยาบาลลาดบัวหลวง","219","1","0.46"
"10777  :  โรงพยาบาลวังน้อย","498","15","3.01"
"10778  :  โรงพยาบาลบางซ้าย","308","8","2.60"
"10779  :  โรงพยาบาลอุทัย","130","1","0.77"
"10780  :  โรงพยาบาลมหาราช","91","6","6.59"
"10781  :  โรงพยาบาลบ้านแพรก","106","2","1.89"
"10689  :  โรงพยาบาลอ่างทอง","79","1","1.27"
"10782  :  โรงพยาบาลไชโย","146","1","0.68"
"10784  :  โรงพยาบาลป่าโมก","309","1","0.32"
"10785  :  โรงพยาบาลโพธิ์ทอง","164","3","1.83"
"10786  :  โรงพยาบาลแสวงหา","392","5","1.28"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","602","3","0.50"
"10788  :  โรงพยาบาลสามโก้","97","2","2.06"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","224","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","703","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","749","1","0.13"
"10791  :  โรงพยาบาลชัยบาดาล","999","0","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","227","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","433","4","0.92"
"10794  :  โรงพยาบาลสระโบสถ์","672","21","3.13"
"10795  :  โรงพยาบาลโคกเจริญ","349","1","0.29"
"10796  :  โรงพยาบาลลำสนธิ","312","5","1.60"
"10797  :  โรงพยาบาลหนองม่วง","347","3","0.86"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","655","3","0.46"
"10693  :  โรงพยาบาลอินทร์บุรี","140","0","0.00"
"10798  :  โรงพยาบาลบางระจัน","265","1","0.38"
"10799  :  โรงพยาบาลค่ายบางระจัน","483","23","4.76"
"10800  :  โรงพยาบาลพรหมบุรี","285","6","2.11"
"10801  :  โรงพยาบาลท่าช้าง","211","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","7","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","335","1","0.30"
"10803  :  โรงพยาบาลวัดสิงห์","254","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","131","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","426","3","0.70"
"10806  :  โรงพยาบาลหันคา","389","0","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","66","7","10.61"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","2,288","10","0.44"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","806","11","1.36"
"10808  :  โรงพยาบาลหนองแค","1,054","7","0.66"
"10809  :  โรงพยาบาลวิหารแดง","315","18","5.71"
"10810  :  โรงพยาบาลหนองแซง","259","1","0.39"
"10811  :  โรงพยาบาลบ้านหมอ","428","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","217","1","0.46"
"10813  :  โรงพยาบาลหนองโดน","569","5","0.88"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","377","5","1.33"
"10815  :  โรงพยาบาลมวกเหล็ก","700","23","3.29"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","2,305","16","0.69"
"11485  :  โรงพยาบาลค่ายอดิศร","1,237","1","0.08"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","1,884","0","0.00"
"10818  :  โรงพยาบาลหนองใหญ่","435","8","1.84"
"10819  :  โรงพยาบาลบางละมุง","2,568","3","0.12"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","210","1","0.48"
"10821  :  โรงพยาบาลพานทอง","583","6","1.03"
"10822  :  โรงพยาบาลพนัสนิคม","878","2","0.23"
"10823  :  โรงพยาบาลแหลมฉบัง","5,101","91","1.78"
"10824  :  โรงพยาบาลเกาะสีชัง","267","53","19.85"
"10825  :  โรงพยาบาลสัตหีบกม10","2,312","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","292","0","0.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","1,158","5","0.43"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","1,153","3","0.26"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","23,673","10","0.04"
"28005  :  โรงพยาบาลเมืองพัทยา","1,127","2","0.18"
"28006  :  โรงพยาบาลเกาะจันทร์","738","10","1.36"
"10663  :  โรงพยาบาลระยอง","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","637","8","1.26"
"10828  :  โรงพยาบาลบ้านฉาง","2,753","4","0.15"
"10829  :  โรงพยาบาลแกลง","347","0","0.00"
"10830  :  โรงพยาบาลวังจันทร์","379","7","1.85"
"10831  :  โรงพยาบาลบ้านค่าย","500","6","1.20"
"10832  :  โรงพยาบาลปลวกแดง","2,558","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","176","3","1.70"
"23962  :  โรงพยาบาลนิคมพัฒนา","289","6","2.08"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","0.00"
"10834  :  โรงพยาบาลขลุง","0","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","11","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","446","3","0.67"
"10837  :  โรงพยาบาลสองพี่น้อง","377","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","807","30","3.72"
"10839  :  โรงพยาบาลมะขาม","93","1","1.08"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","527","4","0.76"
"10843  :  โรงพยาบาลนายายอาม","199","2","1.01"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","487","7","1.44"
"10696  :  โรงพยาบาลตราด","489","1","0.20"
"10845  :  โรงพยาบาลคลองใหญ่","1,029","6","0.58"
"10846  :  โรงพยาบาลเขาสมิง","371","0","0.00"
"10847  :  โรงพยาบาลบ่อไร่","338","1","0.30"
"10848  :  โรงพยาบาลแหลมงอบ","418","1","0.24"
"10849  :  โรงพยาบาลเกาะกูด","76","0","0.00"
"13816  :  โรงพยาบาลเกาะช้าง","49","0","0.00"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","356","5","1.40"
"10850  :  โรงพยาบาลบางคล้า","1,538","0","0.00"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","1","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","192","3","1.56"
"10854  :  โรงพยาบาลพนมสารคาม","976","1","0.10"
"10855  :  โรงพยาบาลสนามชัยเขต","493","7","1.42"
"10856  :  โรงพยาบาลแปลงยาว","741","0","0.00"
"13747  :  โรงพยาบาลราชสาส์น","537","1","0.19"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","138","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","906","3","0.33"
"10858  :  โรงพยาบาลนาดี","458","1","0.22"
"10859  :  โรงพยาบาลบ้านสร้าง","300","1","0.33"
"10860  :  โรงพยาบาลประจันตคาม","478","1","0.21"
"10861  :  โรงพยาบาลศรีมหาโพธิ","564","2","0.35"
"10862  :  โรงพยาบาลศรีมโหสถ","551","1","0.18"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","2,440","2","0.08"
"10698  :  โรงพยาบาลนครนายก","1,091","5","0.46"
"10863  :  โรงพยาบาลปากพลี","89","2","2.25"
"10864  :  โรงพยาบาลบ้านนา","364","3","0.82"
"10865  :  โรงพยาบาลองครักษ์","189","3","1.59"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","124","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","146","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","0","0","0.00"
"10866  :  โรงพยาบาลคลองหาด","573","9","1.57"
"10867  :  โรงพยาบาลตาพระยา","412","2","0.49"
"10868  :  โรงพยาบาลวังน้ำเย็น","1,436","34","2.37"
"10869  :  โรงพยาบาลวัฒนานคร","558","14","2.51"
"10870  :  โรงพยาบาลอรัญประเทศ","719","13","1.81"
"13817  :  โรงพยาบาลเขาฉกรรจ์","253","2","0.79"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","621","55","8.86"
"10872  :  โรงพยาบาลเสิงสาง","715","6","0.84"
"10873  :  โรงพยาบาลคง","538","27","5.02"
"10874  :  โรงพยาบาลบ้านเหลื่อม","263","9","3.42"
"10875  :  โรงพยาบาลจักราช","657","3","0.46"
"10876  :  โรงพยาบาลโชคชัย","602","25","4.15"
"10877  :  โรงพยาบาลด่านขุนทด","754","6","0.80"
"10878  :  โรงพยาบาลโนนไทย","609","43","7.06"
"10879  :  โรงพยาบาลโนนสูง","617","28","4.54"
"10880  :  โรงพยาบาลขามสะแกแสง","475","8","1.68"
"10881  :  โรงพยาบาลบัวใหญ่","407","13","3.19"
"10882  :  โรงพยาบาลประทาย","744","16","2.15"
"10883  :  โรงพยาบาลปักธงชัย","504","14","2.78"
"10884  :  โรงพยาบาลพิมาย","549","9","1.64"
"10885  :  โรงพยาบาลห้วยแถลง","726","14","1.93"
"10886  :  โรงพยาบาลชุมพวง","477","9","1.89"
"10887  :  โรงพยาบาลสูงเนิน","1,153","50","4.34"
"10888  :  โรงพยาบาลขามทะเลสอ","6","0","0.00"
"10889  :  โรงพยาบาลสีคิ้ว","1,527","39","2.55"
"10890  :  โรงพยาบาลปากช่องนานา","329","0","0.00"
"10891  :  โรงพยาบาลหนองบุญมาก","287","11","3.83"
"10892  :  โรงพยาบาลแก้งสนามนาง","8","0","0.00"
"10893  :  โรงพยาบาลโนนแดง","319","14","4.39"
"10894  :  โรงพยาบาลวังน้ำเขียว","268","11","4.10"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","1,094","22","2.01"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","97","1","1.03"
"11608  :  โรงพยาบาลลำทะเมนชัย","284","1","0.35"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","1,098","64","5.83"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","1,255","38","3.03"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","308","18","5.84"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","310","2","0.65"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","690","7","1.01"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","0","0.00"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","270","20","7.41"
"27839  :  โรงพยาบาลบัวลาย","175","7","4.00"
"27840  :  โรงพยาบาลสีดา","183","0","0.00"
"27841  :  โรงพยาบาลเทพารักษ์","0","0","0.00"
"10667  :  โรงพยาบาลบุรีรัมย์","0","0","0.00"
"10895  :  โรงพยาบาลคูเมือง","900","7","0.78"
"10896  :  โรงพยาบาลกระสัง","510","18","3.53"
"10897  :  โรงพยาบาลนางรอง","2,197","5","0.23"
"10898  :  โรงพยาบาลหนองกี่","421","14","3.33"
"10899  :  โรงพยาบาลละหานทราย","786","3","0.38"
"10900  :  โรงพยาบาลประโคนชัย","872","18","2.06"
"10901  :  โรงพยาบาลบ้านกรวด","1,454","12","0.83"
"10902  :  โรงพยาบาลพุทไธสง","460","10","2.17"
"10904  :  โรงพยาบาลลำปลายมาศ","2","0","0.00"
"10905  :  โรงพยาบาลสตึก","882","21","2.38"
"10906  :  โรงพยาบาลปะคำ","352","11","3.13"
"10907  :  โรงพยาบาลนาโพธิ์","150","14","9.33"
"10908  :  โรงพยาบาลหนองหงส์","310","5","1.61"
"10909  :  โรงพยาบาลพลับพลาชัย","501","7","1.40"
"10910  :  โรงพยาบาลห้วยราช","208","14","6.73"
"10911  :  โรงพยาบาลโนนสุวรรณ","388","10","2.58"
"10912  :  โรงพยาบาลชำนิ","137","9","6.57"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","187","4","2.14"
"10914  :  โรงพยาบาลโนนดินแดง","616","4","0.65"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","169","8","4.73"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","446","2","0.45"
"23578  :  โรงพยาบาลแคนดง","344","1","0.29"
"28020  :  โรงพยาบาลบ้านด่าน","329","18","5.47"
"10668  :  โรงพยาบาลสุรินทร์","0","0","0.00"
"10915  :  โรงพยาบาลชุมพลบุรี","614","25","4.07"
"10916  :  โรงพยาบาลท่าตูม","995","35","3.52"
"10917  :  โรงพยาบาลจอมพระ","478","22","4.60"
"10918  :  โรงพยาบาลปราสาท","945","35","3.70"
"10919  :  โรงพยาบาลกาบเชิง","396","3","0.76"
"10920  :  โรงพยาบาลรัตนบุรี","961","15","1.56"
"10921  :  โรงพยาบาลสนม","303","5","1.65"
"10922  :  โรงพยาบาลศีขรภูมิ","728","31","4.26"
"10923  :  โรงพยาบาลสังขะ","1,214","38","3.13"
"10924  :  โรงพยาบาลลำดวน","488","20","4.10"
"10925  :  โรงพยาบาลสำโรงทาบ","550","18","3.27"
"10926  :  โรงพยาบาลบัวเชด","508","4","0.79"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","83","1","1.20"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","317","4","1.26"
"27842  :  โรงพยาบาลเขวาสินรินทร์","170","12","7.06"
"27843  :  โรงพยาบาลศรีณรงค์","342","15","4.39"
"27844  :  โรงพยาบาลโนนนารายณ์","247","6","2.43"
"10700  :  โรงพยาบาลศรีสะเกษ","960","1","0.10"
"10927  :  โรงพยาบาลยางชุมน้อย","228","0","0.00"
"10928  :  โรงพยาบาลกันทรารมย์","667","5","0.75"
"10929  :  โรงพยาบาลกันทรลักษ์","899","1","0.11"
"10930  :  โรงพยาบาลขุขันธ์","570","20","3.51"
"10931  :  โรงพยาบาลไพรบึง","976","1","0.10"
"10932  :  โรงพยาบาลปรางค์กู่","322","0","0.00"
"10933  :  โรงพยาบาลขุนหาญ","405","0","0.00"
"10934  :  โรงพยาบาลราษีไศล","424","1","0.24"
"10935  :  โรงพยาบาลอุทุมพรพิสัย","411","0","0.00"
"10936  :  โรงพยาบาลบึงบูรพ์","264","14","5.30"
"10937  :  โรงพยาบาลห้วยทับทัน","299","0","0.00"
"10938  :  โรงพยาบาลโนนคูณ","190","3","1.58"
"10939  :  โรงพยาบาลศรีรัตนะ","171","0","0.00"
"10940  :  โรงพยาบาลวังหิน","248","4","1.61"
"10941  :  โรงพยาบาลน้ำเกลี้ยง","140","2","1.43"
"10942  :  โรงพยาบาลภูสิงห์","373","4","1.07"
"10943  :  โรงพยาบาลเมืองจันทร์","72","0","0.00"
"23125  :  โรงพยาบาลเบญจลักษ์เฉลิมพระเกียรติ 80 พรรษา","183","2","1.09"
"28014  :  โรงพยาบาลพยุห์","384","0","0.00"
"28015  :  โรงพยาบาลโพธิ์ศรีสุวรรณ","119","0","0.00"
"28016  :  โรงพยาบาลศิลาลาด","252","0","0.00"
"10669  :  โรงพยาบาลสรรพสิทธิประสงค์","0","0","0.00"
"10944  :  โรงพยาบาลศรีเมืองใหม่","0","0","0.00"
"10945  :  โรงพยาบาลโขงเจียม","0","0","0.00"
"10946  :  โรงพยาบาลเขื่องใน","0","0","0.00"
