"โรงพยาบาล","B","A","อัตรา"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","5","5","100.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00"
"10754  :  โรงพยาบาลบางจาก","3","3","100.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","6","6","100.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","10","10","100.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","2","2","100.00"
"28785  :  โรงพยาบาลบางเสาธง","4","4","100.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","3","3","100.00"
"10757  :  โรงพยาบาลบางใหญ่","4","4","100.00"
"10758  :  โรงพยาบาลบางบัวทอง","7","7","100.00"
"10759  :  โรงพยาบาลไทรน้อย","10","10","100.00"
"10760  :  โรงพยาบาลปากเกร็ด","9","9","100.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","1","1","100.00"
"10687  :  โรงพยาบาลปทุมธานี","4","4","100.00"
"10761  :  โรงพยาบาลคลองหลวง","3","3","100.00"
"10762  :  โรงพยาบาลธัญบุรี","4","4","100.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","5","5","100.00"
"10764  :  โรงพยาบาลหนองเสือ","4","4","100.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","4","4","100.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00"
"10767  :  โรงพยาบาลสามโคก","3","3","100.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","4","4","100.00"
"10768  :  โรงพยาบาลท่าเรือ","12","12","100.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","3","3","100.00"
"10770  :  โรงพยาบาลบางไทร","6","6","100.00"
"10771  :  โรงพยาบาลบางบาล","2","2","100.00"
"10772  :  โรงพยาบาลบางปะอิน","7","7","100.00"
"10773  :  โรงพยาบาลบางปะหัน","3","3","100.00"
"10774  :  โรงพยาบาลผักไห่","1","1","100.00"
"10775  :  โรงพยาบาลภาชี","7","7","100.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","4","4","100.00"
"10777  :  โรงพยาบาลวังน้อย","9","9","100.00"
"10778  :  โรงพยาบาลบางซ้าย","4","4","100.00"
"10779  :  โรงพยาบาลอุทัย","3","3","100.00"
"10780  :  โรงพยาบาลมหาราช","4","4","100.00"
"10781  :  โรงพยาบาลบ้านแพรก","3","3","100.00"
"10689  :  โรงพยาบาลอ่างทอง","1","1","100.00"
"10782  :  โรงพยาบาลไชโย","2","2","100.00"
"10784  :  โรงพยาบาลป่าโมก","3","3","100.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","3","3","100.00"
"10786  :  โรงพยาบาลแสวงหา","6","6","100.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","8","8","100.00"
"10788  :  โรงพยาบาลสามโก้","9","9","100.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","4","4","100.00"
"10789  :  โรงพยาบาลพัฒนานิคม","7","7","100.00"
"10790  :  โรงพยาบาลโคกสำโรง","5","5","100.00"
"10791  :  โรงพยาบาลชัยบาดาล","10","10","100.00"
"10792  :  โรงพยาบาลท่าวุ้ง","3","3","100.00"
"10793  :  โรงพยาบาลท่าหลวง","6","6","100.00"
"10794  :  โรงพยาบาลสระโบสถ์","8","8","100.00"
"10795  :  โรงพยาบาลโคกเจริญ","5","5","100.00"
"10796  :  โรงพยาบาลลำสนธิ","7","7","100.00"
"10797  :  โรงพยาบาลหนองม่วง","6","6","100.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","8","8","100.00"
"10693  :  โรงพยาบาลอินทร์บุรี","2","2","100.00"
"10798  :  โรงพยาบาลบางระจัน","4","4","100.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","5","5","100.00"
"10800  :  โรงพยาบาลพรหมบุรี","9","9","100.00"
"10801  :  โรงพยาบาลท่าช้าง","5","5","100.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","6","6","100.00"
"10803  :  โรงพยาบาลวัดสิงห์","6","6","100.00"
"10804  :  โรงพยาบาลสรรพยา","2","2","100.00"
"10805  :  โรงพยาบาลสรรคบุรี","5","5","100.00"
"10806  :  โรงพยาบาลหันคา","4","4","100.00"
"27974  :  โรงพยาบาลหนองมะโมง","3","3","100.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","2","2","100.00"
"10807  :  โรงพยาบาลแก่งคอย","11","11","100.00"
"10808  :  โรงพยาบาลหนองแค","5","5","100.00"
"10809  :  โรงพยาบาลวิหารแดง","4","4","100.00"
"10810  :  โรงพยาบาลหนองแซง","3","3","100.00"
"10811  :  โรงพยาบาลบ้านหมอ","6","6","100.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","7","7","100.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","5","5","100.00"
"10815  :  โรงพยาบาลมวกเหล็ก","8","8","100.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","4","4","100.00"
"11485  :  โรงพยาบาลค่ายอดิศร","3","3","100.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","18","18","100.00"
"10818  :  โรงพยาบาลหนองใหญ่","5","5","100.00"
"10819  :  โรงพยาบาลบางละมุง","6","6","100.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","2","2","100.00"
"10821  :  โรงพยาบาลพานทอง","7","7","100.00"
"10822  :  โรงพยาบาลพนัสนิคม","9","9","100.00"
"10823  :  โรงพยาบาลแหลมฉบัง","24","24","100.00"
"10824  :  โรงพยาบาลเกาะสีชัง","2","2","100.00"
"10825  :  โรงพยาบาลสัตหีบกม10","9","9","100.00"
"10826  :  โรงพยาบาลบ่อทอง","7","7","100.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","1","1","100.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","7","7","100.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","1","1","100.00"
"28005  :  โรงพยาบาลเมืองพัทยา","25","25","100.00"
"28006  :  โรงพยาบาลเกาะจันทร์","5","5","100.00"
"10663  :  โรงพยาบาลระยอง","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","12","12","100.00"
"10828  :  โรงพยาบาลบ้านฉาง","6","6","100.00"
"10829  :  โรงพยาบาลแกลง","10","10","100.00"
"10830  :  โรงพยาบาลวังจันทร์","8","8","100.00"
"10831  :  โรงพยาบาลบ้านค่าย","3","3","100.00"
"10832  :  โรงพยาบาลปลวกแดง","3","3","100.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","1","1","100.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","5","5","100.00"
"10664  :  โรงพยาบาลพระปกเกล้า","6","6","100.00"
"10834  :  โรงพยาบาลขลุง","5","5","100.00"
"10835  :  โรงพยาบาลท่าใหม่","8","8","100.00"
"10836  :  โรงพยาบาลเขาสุกิม","3","3","100.00"
"10837  :  โรงพยาบาลสองพี่น้อง","3","3","100.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","10","10","100.00"
"10839  :  โรงพยาบาลมะขาม","0","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","4","4","100.00"
"10841  :  โรงพยาบาลสอยดาว","1","1","100.00"
"10842  :  โรงพยาบาลแก่งหางแมว","6","6","100.00"
"10843  :  โรงพยาบาลนายายอาม","4","4","100.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","9","9","100.00"
"10696  :  โรงพยาบาลตราด","8","8","100.00"
"10845  :  โรงพยาบาลคลองใหญ่","11","11","100.00"
"10846  :  โรงพยาบาลเขาสมิง","6","6","100.00"
"10847  :  โรงพยาบาลบ่อไร่","10","10","100.00"
"10848  :  โรงพยาบาลแหลมงอบ","9","9","100.00"
"10849  :  โรงพยาบาลเกาะกูด","6","6","100.00"
"13816  :  โรงพยาบาลเกาะช้าง","3","3","100.00"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","3","3","100.00"
"10850  :  โรงพยาบาลบางคล้า","10","10","100.00"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","0","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","4","4","100.00"
"10854  :  โรงพยาบาลพนมสารคาม","8","8","100.00"
"10855  :  โรงพยาบาลสนามชัยเขต","9","9","100.00"
"10856  :  โรงพยาบาลแปลงยาว","6","6","100.00"
"13747  :  โรงพยาบาลราชสาส์น","6","6","100.00"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","0","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","14","14","100.00"
"10858  :  โรงพยาบาลนาดี","8","8","100.00"
"10859  :  โรงพยาบาลบ้านสร้าง","10","10","100.00"
"10860  :  โรงพยาบาลประจันตคาม","11","11","100.00"
"10861  :  โรงพยาบาลศรีมหาโพธิ","8","8","100.00"
"10862  :  โรงพยาบาลศรีมโหสถ","8","8","100.00"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","1","1","100.00"
"10698  :  โรงพยาบาลนครนายก","13","13","100.00"
"10863  :  โรงพยาบาลปากพลี","5","5","100.00"
"10864  :  โรงพยาบาลบ้านนา","13","13","100.00"
"10865  :  โรงพยาบาลองครักษ์","7","7","100.00"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","3","3","100.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","16","16","100.00"
"10866  :  โรงพยาบาลคลองหาด","13","13","100.00"
"10867  :  โรงพยาบาลตาพระยา","10","10","100.00"
"10868  :  โรงพยาบาลวังน้ำเย็น","17","17","100.00"
"10869  :  โรงพยาบาลวัฒนานคร","11","11","100.00"
"10870  :  โรงพยาบาลอรัญประเทศ","8","8","100.00"
"13817  :  โรงพยาบาลเขาฉกรรจ์","4","4","100.00"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","10","10","100.00"
"10872  :  โรงพยาบาลเสิงสาง","14","14","100.00"
"10873  :  โรงพยาบาลคง","7","7","100.00"
"10874  :  โรงพยาบาลบ้านเหลื่อม","8","8","100.00"
"10875  :  โรงพยาบาลจักราช","0","0","0.00"
"10876  :  โรงพยาบาลโชคชัย","8","8","100.00"
"10877  :  โรงพยาบาลด่านขุนทด","0","0","0.00"
"10878  :  โรงพยาบาลโนนไทย","11","11","100.00"
"10879  :  โรงพยาบาลโนนสูง","7","7","100.00"
"10880  :  โรงพยาบาลขามสะแกแสง","8","8","100.00"
"10881  :  โรงพยาบาลบัวใหญ่","9","9","100.00"
"10882  :  โรงพยาบาลประทาย","12","12","100.00"
"10883  :  โรงพยาบาลปักธงชัย","6","6","100.00"
"10884  :  โรงพยาบาลพิมาย","8","8","100.00"
"10885  :  โรงพยาบาลห้วยแถลง","9","9","100.00"
"10886  :  โรงพยาบาลชุมพวง","8","8","100.00"
"10887  :  โรงพยาบาลสูงเนิน","8","8","100.00"
"10888  :  โรงพยาบาลขามทะเลสอ","9","9","100.00"
"10889  :  โรงพยาบาลสีคิ้ว","7","7","100.00"
"10890  :  โรงพยาบาลปากช่องนานา","10","10","100.00"
"10891  :  โรงพยาบาลหนองบุญมาก","2","2","100.00"
"10892  :  โรงพยาบาลแก้งสนามนาง","9","9","100.00"
"10893  :  โรงพยาบาลโนนแดง","11","11","100.00"
"10894  :  โรงพยาบาลวังน้ำเขียว","6","6","100.00"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","3","3","100.00"
"11608  :  โรงพยาบาลลำทะเมนชัย","8","8","100.00"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","0","0","0.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","0","0.00"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","4","4","100.00"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","5","5","100.00"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","0","0.00"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","3","3","100.00"
"27839  :  โรงพยาบาลบัวลาย","4","4","100.00"
"27840  :  โรงพยาบาลสีดา","5","5","100.00"
"27841  :  โรงพยาบาลเทพารักษ์","5","5","100.00"
"10667  :  โรงพยาบาลบุรีรัมย์","2","2","100.00"
"10895  :  โรงพยาบาลคูเมือง","22","22","100.00"
"10896  :  โรงพยาบาลกระสัง","10","10","100.00"
"10897  :  โรงพยาบาลนางรอง","35","35","100.00"
"10898  :  โรงพยาบาลหนองกี่","31","31","100.00"
"10899  :  โรงพยาบาลละหานทราย","22","22","100.00"
"10900  :  โรงพยาบาลประโคนชัย","12","12","100.00"
"10901  :  โรงพยาบาลบ้านกรวด","31","31","100.00"
"10902  :  โรงพยาบาลพุทไธสง","11","11","100.00"
"10904  :  โรงพยาบาลลำปลายมาศ","16","16","100.00"
"10905  :  โรงพยาบาลสตึก","30","30","100.00"
"10906  :  โรงพยาบาลปะคำ","6","6","100.00"
"10907  :  โรงพยาบาลนาโพธิ์","23","23","100.00"
"10908  :  โรงพยาบาลหนองหงส์","15","15","100.00"
"10909  :  โรงพยาบาลพลับพลาชัย","8","8","100.00"
"10910  :  โรงพยาบาลห้วยราช","4","4","100.00"
"10911  :  โรงพยาบาลโนนสุวรรณ","15","15","100.00"
"10912  :  โรงพยาบาลชำนิ","13","13","100.00"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","29","29","100.00"
"10914  :  โรงพยาบาลโนนดินแดง","13","13","100.00"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","0","0","0.00"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","19","19","100.00"
"23578  :  โรงพยาบาลแคนดง","19","19","100.00"
"28020  :  โรงพยาบาลบ้านด่าน","9","9","100.00"
"10668  :  โรงพยาบาลสุรินทร์","0","0","0.00"
"10915  :  โรงพยาบาลชุมพลบุรี","6","6","100.00"
"10916  :  โรงพยาบาลท่าตูม","10","10","100.00"
"10917  :  โรงพยาบาลจอมพระ","10","10","100.00"
"10918  :  โรงพยาบาลปราสาท","14","14","100.00"
"10919  :  โรงพยาบาลกาบเชิง","9","9","100.00"
"10920  :  โรงพยาบาลรัตนบุรี","6","6","100.00"
"10921  :  โรงพยาบาลสนม","10","10","100.00"
"10922  :  โรงพยาบาลศีขรภูมิ","10","10","100.00"
"10923  :  โรงพยาบาลสังขะ","4","4","100.00"
"10924  :  โรงพยาบาลลำดวน","10","10","100.00"
"10925  :  โรงพยาบาลสำโรงทาบ","14","14","100.00"
"10926  :  โรงพยาบาลบัวเชด","6","6","100.00"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","0","0","0.00"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","5","5","100.00"
"27842  :  โรงพยาบาลเขวาสินรินทร์","2","2","100.00"
"27843  :  โรงพยาบาลศรีณรงค์","5","5","100.00"
"27844  :  โรงพยาบาลโนนนารายณ์","1","1","100.00"
"10700  :  โรงพยาบาลศรีสะเกษ","4","4","100.00"
"10927  :  โรงพยาบาลยางชุมน้อย","6","6","100.00"
"10928  :  โรงพยาบาลกันทรารมย์","8","8","100.00"
"10929  :  โรงพยาบาลกันทรลักษ์","13","13","100.00"
"10930  :  โรงพยาบาลขุขันธ์","9","9","100.00"
"10931  :  โรงพยาบาลไพรบึง","15","15","100.00"
"10932  :  โรงพยาบาลปรางค์กู่","6","6","100.00"
"10933  :  โรงพยาบาลขุนหาญ","7","7","100.00"
"10934  :  โรงพยาบาลราษีไศล","8","8","100.00"
"10935  :  โรงพยาบาลอุทุมพรพิสัย","9","9","100.00"
"10936  :  โรงพยาบาลบึงบูรพ์","6","6","100.00"
"10937  :  โรงพยาบาลห้วยทับทัน","9","9","100.00"
"10938  :  โรงพยาบาลโนนคูณ","3","3","100.00"
"10939  :  โรงพยาบาลศรีรัตนะ","5","5","100.00"
"10940  :  โรงพยาบาลวังหิน","6","6","100.00"
"10941  :  โรงพยาบาลน้ำเกลี้ยง","8","8","100.00"
"10942  :  โรงพยาบาลภูสิงห์","5","5","100.00"
"10943  :  โรงพยาบาลเมืองจันทร์","2","2","100.00"
"23125  :  โรงพยาบาลเบญจลักษ์เฉลิมพระเกียรติ 80 พรรษา","4","4","100.00"
"28014  :  โรงพยาบาลพยุห์","6","6","100.00"
"28015  :  โรงพยาบาลโพธิ์ศรีสุวรรณ","1","1","100.00"
"28016  :  โรงพยาบาลศิลาลาด","3","3","100.00"
"10669  :  โรงพยาบาลสรรพสิทธิประสงค์","0","0","0.00"
"10944  :  โรงพยาบาลศรีเมืองใหม่","1","1","100.00"
"10945  :  โรงพยาบาลโขงเจียม","5","5","100.00"
"10946  :  โรงพยาบาลเขื่องใน","1","1","100.00"
"10947  :  โรงพยาบาลเขมราฐ","10","10","100.00"
"10948  :  โรงพยาบาลนาจะหลวย","9","9","100.00"
