"โรงพยาบาล","ปีการศึกษา 2558 เทอม 2 ตค.-ธค.","ปีการศึกษา 2559 เทอม 1 พค.-กค."
"B","A","อัตรา(100)","B","A","อัตรา(100)"
"10796  :  โรงพยาบาลลำสนธิ","4","0","0.00","121","22","18.18"
"10797  :  โรงพยาบาลหนองม่วง","8","1","12.50","736","175","23.78"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","335","86","25.67","6,321","1,760","27.84"
"10693  :  โรงพยาบาลอินทร์บุรี","62","14","22.58","1,352","338","25.00"
"10798  :  โรงพยาบาลบางระจัน","16","4","25.00","249","48","19.28"
"10799  :  โรงพยาบาลค่ายบางระจัน","52","9","17.31","626","114","18.21"
"10800  :  โรงพยาบาลพรหมบุรี","72","20","27.78","321","77","23.99"
"10801  :  โรงพยาบาลท่าช้าง","21","6","28.57","182","38","20.88"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","106","25","23.58","676","151","22.34"
"10803  :  โรงพยาบาลวัดสิงห์","21","3","14.29","387","90","23.26"
"10804  :  โรงพยาบาลสรรพยา","13","1","7.69","146","25","17.12"
"10805  :  โรงพยาบาลสรรคบุรี","37","1","2.70","13","0","0.00"
"10806  :  โรงพยาบาลหันคา","19","2","10.53","1,060","219","20.66"
"27974  :  โรงพยาบาลหนองมะโมง","0","0","0.00","78","13","16.67"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","35","0","0.00","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0.00","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","1","0","0.00","1,237","229","18.51"
"10808  :  โรงพยาบาลหนองแค","102","16","15.69","3","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","34","2","5.88","420","68","16.19"
"10810  :  โรงพยาบาลหนองแซง","1","0","0.00","145","32","22.07"
"10811  :  โรงพยาบาลบ้านหมอ","145","27","18.62","1,433","295","20.59"
"10812  :  โรงพยาบาลดอนพุด","1","1","100.00","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","22","2","9.09","187","42","22.46"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","2","1","50.00","588","145","24.66"
"10815  :  โรงพยาบาลมวกเหล็ก","1","0","0.00","342","58","16.96"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","122","2","1.64","148","49","33.11"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0.00","0","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","37","2","5.41","92","10","10.87"
"10817  :  โรงพยาบาลบ้านบึง","1,189","226","19.01","118","8","6.78"
"10818  :  โรงพยาบาลหนองใหญ่","149","35","23.49","786","141","17.94"
"10819  :  โรงพยาบาลบางละมุง","1","0","0.00","5","1","20.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","94","9","9.57","190","23","12.11"
"10821  :  โรงพยาบาลพานทอง","498","105","21.08","2,398","510","21.27"
"10822  :  โรงพยาบาลพนัสนิคม","360","98","27.22","5,559","1,132","20.36"
"10823  :  โรงพยาบาลแหลมฉบัง","30","0","0.00","7,441","1,407","18.91"
"10824  :  โรงพยาบาลเกาะสีชัง","2","0","0.00","340","70","20.59"
"10825  :  โรงพยาบาลสัตหีบกม10","1,574","65","4.13","3,573","91","2.55"
"10826  :  โรงพยาบาลบ่อทอง","820","131","15.98","799","136","17.02"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","1","0","0.00","3","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","1","0","0.00","4","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","198","59","29.80","10","2","20.00"
"28005  :  โรงพยาบาลเมืองพัทยา","4","0","0.00","2","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","1","0","0.00","255","36","14.12"
"10663  :  โรงพยาบาลระยอง","1","0","0.00","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","1,251","121","9.67","121","15","12.40"
"10828  :  โรงพยาบาลบ้านฉาง","390","55","14.10","0","0","0.00"
"10829  :  โรงพยาบาลแกลง","857","161","18.79","748","144","19.25"
"10830  :  โรงพยาบาลวังจันทร์","67","8","11.94","1,472","210","14.27"
"10831  :  โรงพยาบาลบ้านค่าย","1","0","0.00","461","65","14.10"
"10832  :  โรงพยาบาลปลวกแดง","547","96","17.55","729","110","15.09"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","0","0","0.00","335","41","12.24"
"23962  :  โรงพยาบาลนิคมพัฒนา","73","3","4.11","150","27","18.00"
"10664  :  โรงพยาบาลพระปกเกล้า","1","0","0.00","8","0","0.00"
"10834  :  โรงพยาบาลขลุง","0","0","0.00","0","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","0","0","0.00","0","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","34","3","8.82","243","36","14.81"
"10837  :  โรงพยาบาลสองพี่น้อง","1","0","0.00","120","18","15.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","182","18","9.89","1,460","173","11.85"
"10839  :  โรงพยาบาลมะขาม","50","8","16.00","2","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0.00","0","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","4","0","0.00","874","111","12.70"
"10843  :  โรงพยาบาลนายายอาม","12","0","0.00","51","8","15.69"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","622","91","14.63","342","27","7.89"
"10696  :  โรงพยาบาลตราด","6","1","16.67","9","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","217","29","13.36","2,217","333","15.02"
"10846  :  โรงพยาบาลเขาสมิง","204","21","10.29","526","67","12.74"
"10847  :  โรงพยาบาลบ่อไร่","24","2","8.33","1,282","183","14.27"
"10848  :  โรงพยาบาลแหลมงอบ","48","11","22.92","596","102","17.11"
"10849  :  โรงพยาบาลเกาะกูด","0","0","0.00","155","24","15.48"
"13816  :  โรงพยาบาลเกาะช้าง","31","4","12.90","70","9","12.86"
"10697  :  โรงพยาบาลพุทธโสธร","3","0","0.00","3","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","259","39","15.06","784","84","10.71"
"10850  :  โรงพยาบาลบางคล้า","10","1","10.00","312","60","19.23"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","3","0","0.00","1","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","2","0","0.00","0","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","2","0","0.00","254","37","14.57"
"10854  :  โรงพยาบาลพนมสารคาม","3","1","33.33","2,608","652","25.00"
"10855  :  โรงพยาบาลสนามชัยเขต","2","0","0.00","0","0","0.00"
"10856  :  โรงพยาบาลแปลงยาว","911","187","20.53","660","98","14.85"
"13747  :  โรงพยาบาลราชสาส์น","67","12","17.91","1","0","0.00"
"31327  :  โรงพยาบาลคลองเขื่อน","28","3","10.71","93","9","9.68"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","0","0","0.00","0","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","62","9","14.52","537","85","15.83"
"10858  :  โรงพยาบาลนาดี","23","2","8.70","6","0","0.00"
"10859  :  โรงพยาบาลบ้านสร้าง","1","0","0.00","0","0","0.00"
"10860  :  โรงพยาบาลประจันตคาม","0","0","0.00","1,841","433","23.52"
"10861  :  โรงพยาบาลศรีมหาโพธิ","415","83","20.00","4,605","980","21.28"
"10862  :  โรงพยาบาลศรีมโหสถ","526","94","17.87","376","55","14.63"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","2","0","0.00","82","0","0.00"
"10698  :  โรงพยาบาลนครนายก","1,437","396","27.56","2,854","600","21.02"
"10863  :  โรงพยาบาลปากพลี","45","9","20.00","293","48","16.38"
"10864  :  โรงพยาบาลบ้านนา","580","136","23.45","64","10","15.63"
"10865  :  โรงพยาบาลองครักษ์","66","9","13.64","772","129","16.71"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0.00","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","7","2","28.57","3","0","0.00"
"10866  :  โรงพยาบาลคลองหาด","644","90","13.98","730","93","12.74"
"10867  :  โรงพยาบาลตาพระยา","0","0","0.00","0","0","0.00"
"10868  :  โรงพยาบาลวังน้ำเย็น","146","4","2.74","75","2","2.67"
"10869  :  โรงพยาบาลวัฒนานคร","401","60","14.96","2,138","384","17.96"
"10870  :  โรงพยาบาลอรัญประเทศ","160","13","8.13","4","0","0.00"
"13817  :  โรงพยาบาลเขาฉกรรจ์","2","0","0.00","629","94","14.94"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00","2","0","0.00"
"10871  :  โรงพยาบาลครบุรี","1,390","306","22.01","781","122","15.62"
"10872  :  โรงพยาบาลเสิงสาง","398","56","14.07","2,562","329","12.84"
"10873  :  โรงพยาบาลคง","0","0","0.00","2,230","525","23.54"
"10874  :  โรงพยาบาลบ้านเหลื่อม","28","2","7.14","716","145","20.25"
"10875  :  โรงพยาบาลจักราช","33","1","3.03","118","4","3.39"
"10876  :  โรงพยาบาลโชคชัย","65","13","20.00","4,044","853","21.09"
"10877  :  โรงพยาบาลด่านขุนทด","1","0","0.00","3,088","394","12.76"
"10878  :  โรงพยาบาลโนนไทย","218","34","15.60","294","32","10.88"
"10879  :  โรงพยาบาลโนนสูง","377","61","16.18","2,175","338","15.54"
"10880  :  โรงพยาบาลขามสะแกแสง","164","5","3.05","1,692","267","15.78"
"10881  :  โรงพยาบาลบัวใหญ่","52","4","7.69","281","56","19.93"
"10882  :  โรงพยาบาลประทาย","90","17","18.89","1,700","247","14.53"
"10883  :  โรงพยาบาลปักธงชัย","96","17","17.71","497","89","17.91"
"10884  :  โรงพยาบาลพิมาย","11","2","18.18","3,788","820","21.65"
"10885  :  โรงพยาบาลห้วยแถลง","13","1","7.69","1,725","228","13.22"
"10886  :  โรงพยาบาลชุมพวง","226","28","12.39","1,591","118","7.42"
"10887  :  โรงพยาบาลสูงเนิน","489","108","22.09","2,608","499","19.13"
"10888  :  โรงพยาบาลขามทะเลสอ","0","0","0.00","0","0","0.00"
"10889  :  โรงพยาบาลสีคิ้ว","491","98","19.96","5,261","977","18.57"
"10890  :  โรงพยาบาลปากช่องนานา","1,039","137","13.19","4,900","913","18.63"
"10891  :  โรงพยาบาลหนองบุญมาก","232","51","21.98","131","16","12.21"
"10892  :  โรงพยาบาลแก้งสนามนาง","0","0","0.00","0","0","0.00"
"10893  :  โรงพยาบาลโนนแดง","120","23","19.17","1,356","248","18.29"
"10894  :  โรงพยาบาลวังน้ำเขียว","98","15","15.31","391","75","19.18"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","3","0","0.00","5","1","20.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","5","0","0.00","144","16","11.11"
"11608  :  โรงพยาบาลลำทะเมนชัย","64","7","10.94","693","55","7.94"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","19","1","5.26","104","4","3.85"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","0","0.00","1,687","289","17.13"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00","0","0","0.00"
