"โรงพยาบาล","จำนวนผู้ป่วยที่ส่งต่อออกนอกเขตสุขภาพรายไตรมาสปี 
								2563 (A)","จำนวนผู้ป่วยที่ส่งต่อออกนอกเขตสุขภาพรายไตรมาสปี 
                                  2564 (B)","ผลการดำเนินงานในรอบปีงบประมาณ 2564 (A-B)/A*100"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0","0","0","0","1","0","0","0","0","0"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0","0","0","0","0","0","0","0","0","0"
"12439  :  สถาบันประสาทวิทยา","0","0","0","0","0","0","0","0","0","0","0","0"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0","0","0","0","0","0","0","0","0","0"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0","0","0","0","0","0","0","0","0","0"
"13814  :  โรงพยาบาลศิริราช","0","0","0","0","0","0","0","0","0","0","0","0"
"14173  :  โรงพยาบาลตำรวจ","0","0","0","0","0","0","0","0","0","0","0","0"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0","0","0","0","0","0","0","0","0","0"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0","0","0","0","0","0","0","0","0","0"
"14577  :  โรงพยาบาลวิภาราม","0","0","0","0","0","0","0","0","0","0","0","0"
"14641  :  โรงพยาบาลราชพิพัฒน์","33","15","23","0","30","32","3","0","9","-113","87","0"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0","0","0","0","0","0","0","0","0","0"
"15049  :  โรงพยาบาลสิรินธร","36","31","40","55","37","47","18","28","-3","-52","55","49"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"22155  :  โรงพยาบาลครู","0","0","0","0","0","0","0","0","0","0","0","0"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0","0","0","0","0","0","0","0","0","0"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0","0","0","0","0","0","0","0","0","0"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0","0","0","0","0","0","0","0","0"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0","0","0","0","0","0","0","0","0"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0","0","0","0","0","0","0","0","0"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0","0","0","0","0","0","0","0","0"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0","0","0","0","0","0","0","0","0"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0","0","0","0","0","0","0","0","0"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0","0","0","0","0","0","0","0","0"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0","0","0","0","0","0","0","0","0"
"10685  :  โรงพยาบาลสมุทรปราการ","0","734","526","602","667","523","440","389","0","29","16","35"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0","0","0","0","0","0","0","0","0","0"
"10753  :  โรงพยาบาลบางพลี","420","219","110","187","159","97","84","89","62","56","24","52"
"10754  :  โรงพยาบาลบางจาก","745","737","644","446","488","469","387","372","34","36","40","17"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","569","577","522","340","435","400","297","371","24","31","43","-9"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","329","413","222","273","317","342","238","196","4","17","-7","28"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0","0","0","0","0","0","0","0","0","0"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0","0","0","0","0","0","0","0","0","0"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0","0","0","0","0","0","0","0","0","0"
"28785  :  โรงพยาบาลบางเสาธง","135","144","103","164","188","183","140","140","-39","-27","-36","15"
"10686  :  โรงพยาบาลพระนั่งเกล้า","353","489","224","315","957","1,218","820","1,065","-171","-149","-266","-238"
"10756  :  โรงพยาบาลบางกรวย","105","117","101","82","169","215","32","12","-61","-84","68","85"
"10757  :  โรงพยาบาลบางใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"10758  :  โรงพยาบาลบางบัวทอง","273","274","266","133","185","220","119","133","32","20","55","0"
"10759  :  โรงพยาบาลไทรน้อย","187","178","191","140","102","99","66","66","45","44","65","53"
"10760  :  โรงพยาบาลปากเกร็ด","0","0","0","0","0","0","0","0","0","0","0","0"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0","0","0","0","0","0","0","0","0"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0","0","0","0","0","0","0","0","0"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"12256  :  สถาบันโรคทรวงอก","0","0","1","0","0","0","1","2","0","0","0","0"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0","0","0","0","0","0","0","0","0"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0","0","0","0","0","0","0","0","0"
"12260  :  โรงพยาบาลศรีธัญญา","16","25","12","24","17","24","29","20","-6","4","-142","17"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0","0","0","0","0","0","0","0","0","0"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0","0","0","0","0","0","0","0","0"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0","0","0","0","0","0","0","0","0","0"
"10687  :  โรงพยาบาลปทุมธานี","743","702","453","692","662","724","465","457","11","-3","-3","34"
"10761  :  โรงพยาบาลคลองหลวง","14","17","24","16","4","2","1","4","71","88","96","75"
"10762  :  โรงพยาบาลธัญบุรี","0","3","25","19","22","65","13","16","0","-2,067","48","16"
"10763  :  โรงพยาบาลประชาธิปัตย์","51","35","13","35","25","25","20","11","51","29","-54","69"
"10764  :  โรงพยาบาลหนองเสือ","13","10","3","1","12","11","4","3","8","-10","-33","-200"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","10","7","3","11","8","9","15","3","20","-29","-400","73"
"10766  :  โรงพยาบาลลำลูกกา","15","16","9","8","6","1","9","2","60","94","0","75"
"10767  :  โรงพยาบาลสามโคก","0","0","0","0","0","0","0","0","0","0","0","0"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0","0","0","0","0","0","0","0","0"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","2","0","0","0","0","0","0","0","100","0"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","1,083","767","269","1,079","1,041","634","228","609","4","17","15","44"
"10688  :  โรงพยาบาลเสนา","48","13","14","21","24","25","19","9","50","-92","-36","57"
"10768  :  โรงพยาบาลท่าเรือ","6","3","4","3","3","1","0","0","50","67","100","100"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","14","13","7","1","2","1","0","0","86","92","100","100"
"10770  :  โรงพยาบาลบางไทร","97","41","20","74","104","48","28","29","-7","-17","-40","61"
"10771  :  โรงพยาบาลบางบาล","18","11","1","0","0","0","0","0","100","100","100","0"
"10772  :  โรงพยาบาลบางปะอิน","104","5","2","5","2","1","0","0","98","80","100","100"
"10773  :  โรงพยาบาลบางปะหัน","0","0","0","0","0","0","0","0","0","0","0","0"
"10774  :  โรงพยาบาลผักไห่","57","34","27","45","49","19","11","23","14","44","59","49"
"10775  :  โรงพยาบาลภาชี","91","22","12","36","66","0","0","0","27","100","100","100"
"10776  :  โรงพยาบาลลาดบัวหลวง","0","1","2","0","5","1","1","0","0","0","50","0"
"10777  :  โรงพยาบาลวังน้อย","118","2","0","2","1","3","1","2","99","-50","0","0"
"10778  :  โรงพยาบาลบางซ้าย","1","1","0","0","0","0","0","0","100","100","0","0"
"10779  :  โรงพยาบาลอุทัย","68","19","8","95","91","13","12","20","-34","32","-50","79"
"10780  :  โรงพยาบาลมหาราช","1","0","0","0","0","0","0","0","100","0","0","0"
"10781  :  โรงพยาบาลบ้านแพรก","0","8","1","0","0","0","0","0","0","100","100","0"
"10689  :  โรงพยาบาลอ่างทอง","9","10","5","8","15","15","16","3","-67","-50","-220","63"
"10782  :  โรงพยาบาลไชโย","35","10","4","12","33","17","7","10","6","-70","-75","17"
"10784  :  โรงพยาบาลป่าโมก","3","4","3","7","3","1","1","0","0","75","67","100"
"10785  :  โรงพยาบาลโพธิ์ทอง","159","77","37","51","140","71","30","37","12","8","19","27"
"10786  :  โรงพยาบาลแสวงหา","48","20","5","7","54","8","5","8","-13","60","0","-14"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","0","0","0","0","0","0","0","0","0","0","0","0"
"10788  :  โรงพยาบาลสามโก้","0","0","0","0","0","0","0","0","0","0","0","0"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0","0","0","0","0","0","0","0","0","0"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0","0","0","0","0","0","0","0","0","0"
"10789  :  โรงพยาบาลพัฒนานิคม","10","3","0","3","5","0","2","2","50","100","0","33"
"10790  :  โรงพยาบาลโคกสำโรง","0","3","0","0","5","0","3","1","0","100","0","0"
"10791  :  โรงพยาบาลชัยบาดาล","0","0","0","0","221","91","40","39","0","0","0","0"
"10792  :  โรงพยาบาลท่าวุ้ง","0","0","0","0","0","0","0","0","0","0","0","0"
"10793  :  โรงพยาบาลท่าหลวง","60","56","30","45","42","37","25","15","30","34","17","67"
"10794  :  โรงพยาบาลสระโบสถ์","0","0","0","0","0","0","0","0","0","0","0","0"
"10795  :  โรงพยาบาลโคกเจริญ","29","16","7","13","31","12","5","6","-7","25","29","54"
"10796  :  โรงพยาบาลลำสนธิ","0","0","0","0","0","0","0","0","0","0","0","0"
"10797  :  โรงพยาบาลหนองม่วง","0","0","0","0","0","0","0","0","0","0","0","0"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0","0","0","0","0","0","0","0","0"
"10692  :  โรงพยาบาลสิงห์บุรี","259","165","100","231","255","166","85","174","2","-1","15","25"
"10693  :  โรงพยาบาลอินทร์บุรี","16","38","24","31","43","48","48","55","-169","-26","-100","-77"
"10798  :  โรงพยาบาลบางระจัน","41","62","50","92","73","55","47","25","-78","11","6","73"
"10799  :  โรงพยาบาลค่ายบางระจัน","2","4","3","5","3","4","6","7","-50","0","-100","-40"
"10800  :  โรงพยาบาลพรหมบุรี","31","8","4","7","30","7","4","9","3","13","0","-29"
"10801  :  โรงพยาบาลท่าช้าง","31","13","9","14","30","20","9","4","3","-54","0","71"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","115","104","74","108","90","159","98","90","22","-53","-32","17"
"10802  :  โรงพยาบาลมโนรมย์","85","90","50","60","43","32","19","2","49","64","62","97"
"10803  :  โรงพยาบาลวัดสิงห์","98","101","84","95","100","96","70","58","-2","5","17","39"
"10804  :  โรงพยาบาลสรรพยา","179","173","142","120","98","108","65","61","45","38","54","49"
"10805  :  โรงพยาบาลสรรคบุรี","12","6","18","11","11","22","4","6","8","-267","78","45"
"10806  :  โรงพยาบาลหันคา","304","300","239","211","177","177","94","101","42","41","61","52"
"27974  :  โรงพยาบาลหนองมะโมง","0","0","0","0","0","0","0","0","0","0","0","0"
"27975  :  โรงพยาบาลเนินขาม","78","76","54","58","50","50","34","16","36","34","37","72"
"10661  :  โรงพยาบาลสระบุรี","171","165","96","119","156","131","108","73","9","21","-13","39"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0","0","0","4","0","0","0","0","0","0"
"10807  :  โรงพยาบาลแก่งคอย","0","0","0","0","0","0","0","0","0","0","0","0"
"10808  :  โรงพยาบาลหนองแค","0","0","0","0","0","0","0","0","0","0","0","0"
"10809  :  โรงพยาบาลวิหารแดง","1","1","3","2","1","1","0","1","0","0","100","50"
"10810  :  โรงพยาบาลหนองแซง","0","0","0","0","0","0","0","0","0","0","0","0"
"10811  :  โรงพยาบาลบ้านหมอ","1","1","1","0","4","1","1","0","-300","0","0","0"
"10812  :  โรงพยาบาลดอนพุด","0","0","0","0","0","0","0","0","0","0","0","0"
"10813  :  โรงพยาบาลหนองโดน","0","0","0","0","0","0","0","0","0","0","0","0"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","1","0","1","1","0","3","3","0","100","0","-200","100"
"10815  :  โรงพยาบาลมวกเหล็ก","39","35","22","35","24","34","18","24","38","3","18","31"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","2","1","0","3","0","0","1","0","100","100","0","100"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0","0","0","0","1","0","0","0","0","0"
"10662  :  โรงพยาบาลชลบุรี","260","278","195","265","238","176","94","90","8","37","52","66"
"10817  :  โรงพยาบาลบ้านบึง","117","110","90","112","104","130","69","62","11","-18","23","45"
"10818  :  โรงพยาบาลหนองใหญ่","0","1","4","1","0","0","0","1","0","100","100","0"
"10819  :  โรงพยาบาลบางละมุง","305","265","203","196","279","198","143","120","9","25","30","39"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","1","3","1","0","1","2","2","1","0","33","-100","0"
"10821  :  โรงพยาบาลพานทอง","71","32","11","55","70","32","8","34","1","0","27","38"
"10822  :  โรงพยาบาลพนัสนิคม","158","144","127","157","176","129","65","63","-11","10","49","60"
"10823  :  โรงพยาบาลแหลมฉบัง","31","26","12","28","28","29","26","19","10","-12","-117","32"
"10824  :  โรงพยาบาลเกาะสีชัง","8","5","3","5","6","1","0","0","25","80","100","100"
"10825  :  โรงพยาบาลสัตหีบกม10","96","70","49","56","77","41","25","20","20","41","49","64"
"10826  :  โรงพยาบาลบ่อทอง","7","10","8","6","3","5","1","3","57","50","88","50"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","4","0","0","0","1","0","1","4","75","0","0","0"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0","0","0","0","0","0","0","0","0","0"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","0","1","0","3","7","9","5","6","0","-800","0","-100"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0","0","0","0","0","0","0","0","0","0"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0","0","0","0","1","0","0","0","0","0"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","34","30","26","15","8","4","3","3","76","87","88","80"
"28005  :  โรงพยาบาลเมืองพัทยา","0","0","0","0","0","0","0","0","0","0","0","0"
"28006  :  โรงพยาบาลเกาะจันทร์","16","7","18","15","3","8","10","11","81","-14","44","27"
"10663  :  โรงพยาบาลระยอง","77","97","50","82","73","31","26","22","5","68","48","73"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","84","32","17","65","89","34","24","56","-6","-6","-41","14"
"10828  :  โรงพยาบาลบ้านฉาง","64","56","32","37","38","46","29","17","41","18","9","54"
"10829  :  โรงพยาบาลแกลง","236","86","27","96","251","86","39","36","-6","0","-44","63"
"10830  :  โรงพยาบาลวังจันทร์","70","19","8","17","68","13","8","10","3","32","0","41"
"10831  :  โรงพยาบาลบ้านค่าย","112","28","7","42","87","32","15","23","22","-14","-114","45"
"10832  :  โรงพยาบาลปลวกแดง","89","31","15","21","78","24","9","8","12","23","40","62"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","42","16","19","14","23","7","8","9","45","56","58","36"
"23962  :  โรงพยาบาลนิคมพัฒนา","52","15","3","47","68","15","8","7","-31","0","-167","85"
"10664  :  โรงพยาบาลพระปกเกล้า","28","318","20","243","358","14","115","105","-1,179","96","-475","57"
"10834  :  โรงพยาบาลขลุง","6","15","7","6","4","15","10","3","33","0","-43","50"
"10835  :  โรงพยาบาลท่าใหม่","4","2","2","1","0","0","0","2","100","100","100","-100"
"10836  :  โรงพยาบาลเขาสุกิม","2","4","6","1","1","6","1","2","50","-50","83","-100"
"10837  :  โรงพยาบาลสองพี่น้อง","23","4","2","4","4","0","0","0","83","100","100","100"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","0","0","0","0","0","0","0","0","0","0","0","0"
"10839  :  โรงพยาบาลมะขาม","3","3","4","3","3","4","2","2","0","-33","50","33"
"10840  :  โรงพยาบาลแหลมสิงห์","32","31","20","30","33","12","11","9","-3","61","45","70"
"10841  :  โรงพยาบาลสอยดาว","1","11","8","9","1","11","9","2","0","0","-13","78"
"10842  :  โรงพยาบาลแก่งหางแมว","0","0","0","0","0","0","0","0","0","0","0","0"
"10843  :  โรงพยาบาลนายายอาม","0","1","4","4","0","2","2","2","0","-100","50","50"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","0","5","4","1","1","1","1","0","0","80","75","100"
"10696  :  โรงพยาบาลตราด","72","57","25","51","75","40","33","20","-4","30","-32","61"
"10845  :  โรงพยาบาลคลองใหญ่","32","31","17","24","19","20","11","5","41","35","35","79"
"10846  :  โรงพยาบาลเขาสมิง","19","7","1","9","5","19","5","9","74","-171","-400","0"
"10847  :  โรงพยาบาลบ่อไร่","32","29","17","23","21","9","16","12","34","69","6","48"
"10848  :  โรงพยาบาลแหลมงอบ","38","34","12","11","16","14","7","12","58","59","42","-9"
"10849  :  โรงพยาบาลเกาะกูด","0","0","0","0","0","0","0","0","0","0","0","0"
"13816  :  โรงพยาบาลเกาะช้าง","6","5","2","6","4","5","3","7","33","0","-50","-17"
"10697  :  โรงพยาบาลพุทธโสธร","92","29","19","17","14","5","5","8","85","83","74","53"
"10833  :  โรงพยาบาลท่าตะเกียบ","67","44","46","36","49","26","26","15","27","41","43","58"
"10850  :  โรงพยาบาลบางคล้า","50","60","65","62","79","51","37","16","-58","15","43","74"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0","0","0","0","0","0","0","0","0","0"
"10852  :  โรงพยาบาลบางปะกง","100","109","74","58","44","83","50","12","56","24","32","79"
"10853  :  โรงพยาบาลบ้านโพธิ์","5","11","6","2","3","3","14","19","40","73","-133","-850"
"10854  :  โรงพยาบาลพนมสารคาม","16","18","140","143","147","144","107","104","-819","-700","24","27"
"10855  :  โรงพยาบาลสนามชัยเขต","9","26","14","7","9","6","4","4","0","77","71","43"
"10856  :  โรงพยาบาลแปลงยาว","13","16","14","12","10","11","5","4","23","31","64","67"
"13747  :  โรงพยาบาลราชสาส์น","23","13","14","18","21","8","12","9","9","38","14","50"
"31327  :  โรงพยาบาลคลองเขื่อน","2","16","28","34","19","26","19","9","-850","-63","32","74"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","0","0","0","0","0","2","1","6","0","0","0","0"
