"โรงพยาบาล","ปีการศึกษา 2559 เทอม 2 ตค.-ธค.","ปีการศึกษา 2560 เทอม 1 พค.-กค."
"B","A","อัตรา(100)","B","A","อัตรา(100)"
"10797  :  โรงพยาบาลหนองม่วง","0","0","0.00","0","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","6,098","1,568","25.71","0","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","1,104","298","26.99","0","0","0.00"
"10798  :  โรงพยาบาลบางระจัน","192","36","18.75","0","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","626","106","16.93","0","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","316","77","24.37","0","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","157","44","28.03","0","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","645","165","25.58","0","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","212","46","21.70","0","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","140","27","19.29","0","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","524","2","0.38","0","0","0.00"
"10806  :  โรงพยาบาลหันคา","1,265","317","25.06","0","0","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","2","0","0.00","0","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","50","14","28.00","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0.00","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","10","0","0.00","0","0","0.00"
"10808  :  โรงพยาบาลหนองแค","290","73","25.17","0","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","0","0","0.00","0","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","0","0","0.00","0","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","66","0","0.00","0","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","0","0","0.00","0","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","6","0","0.00","0","0","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","2","0","0.00","0","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","1","0","0.00","0","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0.00","0","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","545","41","7.52","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","6,317","1,064","16.84","0","0","0.00"
"10818  :  โรงพยาบาลหนองใหญ่","1,045","164","15.69","0","0","0.00"
"10819  :  โรงพยาบาลบางละมุง","377","85","22.55","0","0","0.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","239","42","17.57","0","0","0.00"
"10821  :  โรงพยาบาลพานทอง","2,568","604","23.52","0","0","0.00"
"10822  :  โรงพยาบาลพนัสนิคม","7,185","1,402","19.51","0","0","0.00"
"10823  :  โรงพยาบาลแหลมฉบัง","9,869","1,849","18.74","0","0","0.00"
"10824  :  โรงพยาบาลเกาะสีชัง","403","75","18.61","0","0","0.00"
"10825  :  โรงพยาบาลสัตหีบกม10","768","121","15.76","0","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","1,825","260","14.25","0","0","0.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","8","0","0.00","0","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","2","0","0.00","0","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","90","23","25.56","0","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","3","0","0.00","0","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","1,026","183","17.84","0","0","0.00"
"10663  :  โรงพยาบาลระยอง","2","0","0.00","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","945","142","15.03","0","0","0.00"
"10828  :  โรงพยาบาลบ้านฉาง","1,352","223","16.49","0","0","0.00"
"10829  :  โรงพยาบาลแกลง","1,716","283","16.49","0","0","0.00"
"10830  :  โรงพยาบาลวังจันทร์","1,625","237","14.58","0","0","0.00"
"10831  :  โรงพยาบาลบ้านค่าย","0","0","0.00","0","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","3,135","608","19.39","0","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","155","14","9.03","0","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","158","27","17.09","0","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","0.00","0","0","0.00"
"10834  :  โรงพยาบาลขลุง","0","0","0.00","0","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","0","0","0.00","0","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","253","42","16.60","0","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","109","15","13.76","0","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","1,290","143","11.09","0","0","0.00"
"10839  :  โรงพยาบาลมะขาม","404","61","15.10","0","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0.00","0","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","1,241","160","12.89","0","0","0.00"
"10843  :  โรงพยาบาลนายายอาม","45","12","26.67","0","0","0.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","713","105","14.73","0","0","0.00"
"10696  :  โรงพยาบาลตราด","1","0","0.00","0","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","1,654","229","13.85","0","0","0.00"
"10846  :  โรงพยาบาลเขาสมิง","506","66","13.04","0","0","0.00"
"10847  :  โรงพยาบาลบ่อไร่","1,239","188","15.17","0","0","0.00"
"10848  :  โรงพยาบาลแหลมงอบ","572","85","14.86","0","0","0.00"
"10849  :  โรงพยาบาลเกาะกูด","196","29","14.80","0","0","0.00"
"13816  :  โรงพยาบาลเกาะช้าง","60","9","15.00","0","0","0.00"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0.00","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","1,129","116","10.27","0","0","0.00"
"10850  :  โรงพยาบาลบางคล้า","913","191","20.92","0","0","0.00"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0.00","0","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","4","0","0.00","0","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","251","50","19.92","0","0","0.00"
"10854  :  โรงพยาบาลพนมสารคาม","3,099","753","24.30","0","0","0.00"
"10855  :  โรงพยาบาลสนามชัยเขต","1","1","100.00","0","0","0.00"
"10856  :  โรงพยาบาลแปลงยาว","647","111","17.16","0","0","0.00"
"13747  :  โรงพยาบาลราชสาส์น","456","89","19.52","0","0","0.00"
"31327  :  โรงพยาบาลคลองเขื่อน","120","9","7.50","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","1","0","0.00","0","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","2,028","404","19.92","0","0","0.00"
"10858  :  โรงพยาบาลนาดี","1","0","0.00","0","0","0.00"
"10859  :  โรงพยาบาลบ้านสร้าง","1","0","0.00","0","0","0.00"
"10860  :  โรงพยาบาลประจันตคาม","1,623","306","18.85","0","0","0.00"
"10861  :  โรงพยาบาลศรีมหาโพธิ","4,452","1,002","22.51","0","0","0.00"
"10862  :  โรงพยาบาลศรีมโหสถ","8","0","0.00","0","0","0.00"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","0","0","0.00","0","0","0.00"
"10698  :  โรงพยาบาลนครนายก","2,860","654","22.87","0","0","0.00"
"10863  :  โรงพยาบาลปากพลี","277","46","16.61","0","0","0.00"
"10864  :  โรงพยาบาลบ้านนา","1,117","244","21.84","0","0","0.00"
"10865  :  โรงพยาบาลองครักษ์","52","19","36.54","0","0","0.00"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0.00","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","2","0","0.00","0","0","0.00"
"10866  :  โรงพยาบาลคลองหาด","1,260","179","14.21","0","0","0.00"
"10867  :  โรงพยาบาลตาพระยา","2","0","0.00","0","0","0.00"
"10868  :  โรงพยาบาลวังน้ำเย็น","62","2","3.23","0","0","0.00"
"10869  :  โรงพยาบาลวัฒนานคร","2,053","342","16.66","0","0","0.00"
"10870  :  โรงพยาบาลอรัญประเทศ","8","2","25.00","0","0","0.00"
"13817  :  โรงพยาบาลเขาฉกรรจ์","5","0","0.00","0","0","0.00"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","454","57","12.56","0","0","0.00"
"10872  :  โรงพยาบาลเสิงสาง","2,114","365","17.27","0","0","0.00"
"10873  :  โรงพยาบาลคง","1,300","228","17.54","0","0","0.00"
"10874  :  โรงพยาบาลบ้านเหลื่อม","702","113","16.10","0","0","0.00"
"10875  :  โรงพยาบาลจักราช","49","0","0.00","0","0","0.00"
"10876  :  โรงพยาบาลโชคชัย","3,815","759","19.90","0","0","0.00"
"10877  :  โรงพยาบาลด่านขุนทด","1","0","0.00","0","0","0.00"
"10878  :  โรงพยาบาลโนนไทย","388","64","16.49","0","0","0.00"
"10879  :  โรงพยาบาลโนนสูง","3,373","455","13.49","0","0","0.00"
"10880  :  โรงพยาบาลขามสะแกแสง","1,587","284","17.90","0","0","0.00"
"10881  :  โรงพยาบาลบัวใหญ่","393","67","17.05","0","0","0.00"
"10882  :  โรงพยาบาลประทาย","24","5","20.83","0","0","0.00"
"10883  :  โรงพยาบาลปักธงชัย","509","87","17.09","0","0","0.00"
"10884  :  โรงพยาบาลพิมาย","2,648","571","21.56","0","0","0.00"
"10885  :  โรงพยาบาลห้วยแถลง","41","0","0.00","0","0","0.00"
"10886  :  โรงพยาบาลชุมพวง","1,741","147","8.44","0","0","0.00"
"10887  :  โรงพยาบาลสูงเนิน","2,486","529","21.28","0","0","0.00"
"10888  :  โรงพยาบาลขามทะเลสอ","0","0","0.00","0","0","0.00"
"10889  :  โรงพยาบาลสีคิ้ว","4,740","932","19.66","0","0","0.00"
"10890  :  โรงพยาบาลปากช่องนานา","5,107","968","18.95","0","0","0.00"
"10891  :  โรงพยาบาลหนองบุญมาก","125","16","12.80","0","0","0.00"
"10892  :  โรงพยาบาลแก้งสนามนาง","1","0","0.00","0","0","0.00"
"10893  :  โรงพยาบาลโนนแดง","1,208","201","16.64","0","0","0.00"
"10894  :  โรงพยาบาลวังน้ำเขียว","410","60","14.63","0","0","0.00"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","1","0","0.00","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","2","0","0.00","0","0","0.00"
"11608  :  โรงพยาบาลลำทะเมนชัย","358","20","5.59","0","0","0.00"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","103","8","7.77","0","0","0.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","4,595","850","18.50","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00","0","0","0.00"
