"โรงพยาบาล","ปีการศึกษา 2557 เทอม 2 ตค.-ธค.","ปีการศึกษา 2558 เทอม 1 พค.-กค."
"B","A","อัตรา(100)","B","A","อัตรา(100)"
"10797  :  โรงพยาบาลหนองม่วง","37","0","0.00","2","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","272","88","32.35","3,693","1,063","28.78"
"10693  :  โรงพยาบาลอินทร์บุรี","4","1","25.00","1,052","274","26.05"
"10798  :  โรงพยาบาลบางระจัน","12","2","16.67","221","32","14.48"
"10799  :  โรงพยาบาลค่ายบางระจัน","76","12","15.79","518","89","17.18"
"10800  :  โรงพยาบาลพรหมบุรี","1","1","100.00","51","8","15.69"
"10801  :  โรงพยาบาลท่าช้าง","0","0","0.00","7","3","42.86"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","305","60","19.67","418","77","18.42"
"10803  :  โรงพยาบาลวัดสิงห์","96","19","19.79","140","18","12.86"
"10804  :  โรงพยาบาลสรรพยา","19","3","15.79","151","21","13.91"
"10805  :  โรงพยาบาลสรรคบุรี","133","3","2.26","1","0","0.00"
"10806  :  โรงพยาบาลหันคา","208","47","22.60","1,127","303","26.89"
"27974  :  โรงพยาบาลหนองมะโมง","0","0","0.00","7","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","2","1","50.00","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0.00","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","5","0","0.00","7","0","0.00"
"10808  :  โรงพยาบาลหนองแค","0","0","0.00","1,577","380","24.10"
"10809  :  โรงพยาบาลวิหารแดง","1","0","0.00","423","66","15.60"
"10810  :  โรงพยาบาลหนองแซง","0","0","0.00","101","21","20.79"
"10811  :  โรงพยาบาลบ้านหมอ","5","0","0.00","888","153","17.23"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","1","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","5","0","0.00","213","48","22.54"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","5","0","0.00","993","258","25.98"
"10815  :  โรงพยาบาลมวกเหล็ก","0","0","0.00","0","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","1","0","0.00","30","11","36.67"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0.00","0","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","52","1","1.92","108","16","14.81"
"10817  :  โรงพยาบาลบ้านบึง","3,385","590","17.43","270","25","9.26"
"10818  :  โรงพยาบาลหนองใหญ่","62","5","8.06","1,064","110","10.34"
"10819  :  โรงพยาบาลบางละมุง","340","94","27.65","753","111","14.74"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","61","4","6.56","206","25","12.14"
"10821  :  โรงพยาบาลพานทอง","99","11","11.11","42","9","21.43"
"10822  :  โรงพยาบาลพนัสนิคม","91","24","26.37","2","0","0.00"
"10823  :  โรงพยาบาลแหลมฉบัง","501","105","20.96","2,288","408","17.83"
"10824  :  โรงพยาบาลเกาะสีชัง","378","74","19.58","25","1","4.00"
"10825  :  โรงพยาบาลสัตหีบกม10","547","45","8.23","4,581","155","3.38"
"10826  :  โรงพยาบาลบ่อทอง","255","32","12.55","1,718","268","15.60"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","115","17","14.78","1","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","0","0","0.00","11","4","36.36"
"28005  :  โรงพยาบาลเมืองพัทยา","4","1","25.00","4","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","0","0","0.00","1","0","0.00"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","1","1","100.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","204","31","15.20","96","6","6.25"
"10828  :  โรงพยาบาลบ้านฉาง","272","43","15.81","1,903","345","18.13"
"10829  :  โรงพยาบาลแกลง","93","16","17.20","670","130","19.40"
"10830  :  โรงพยาบาลวังจันทร์","25","4","16.00","1,407","226","16.06"
"10831  :  โรงพยาบาลบ้านค่าย","0","0","0.00","511","92","18.00"
"10832  :  โรงพยาบาลปลวกแดง","2","1","50.00","651","125","19.20"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","0","0","0.00","19","3","15.79"
"23962  :  โรงพยาบาลนิคมพัฒนา","0","0","0.00","1","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","0.00","0","0","0.00"
"10834  :  โรงพยาบาลขลุง","0","0","0.00","0","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","0","0","0.00","0","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","27","9","33.33","304","42","13.82"
"10837  :  โรงพยาบาลสองพี่น้อง","26","4","15.38","116","19","16.38"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","374","40","10.70","114","4","3.51"
"10839  :  โรงพยาบาลมะขาม","22","1","4.55","371","66","17.79"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0.00","0","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","1","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","81","13","16.05","646","99","15.33"
"10843  :  โรงพยาบาลนายายอาม","12","2","16.67","41","6","14.63"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","307","39","12.70","530","67","12.64"
"10696  :  โรงพยาบาลตราด","30","0","0.00","6","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","98","3","3.06","695","92","13.24"
"10846  :  โรงพยาบาลเขาสมิง","161","21","13.04","576","65","11.28"
"10847  :  โรงพยาบาลบ่อไร่","131","15","11.45","1,385","191","13.79"
"10848  :  โรงพยาบาลแหลมงอบ","94","21","22.34","546","82","15.02"
"10849  :  โรงพยาบาลเกาะกูด","0","0","0.00","84","4","4.76"
"13816  :  โรงพยาบาลเกาะช้าง","0","0","0.00","67","12","17.91"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0.00","258","4","1.55"
"10833  :  โรงพยาบาลท่าตะเกียบ","15","1","6.67","972","98","10.08"
"10850  :  โรงพยาบาลบางคล้า","89","9","10.11","119","23","19.33"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0.00","3","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","1","0","0.00","1","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","81","5","6.17","277","42","15.16"
"10854  :  โรงพยาบาลพนมสารคาม","286","83","29.02","2,242","566","25.25"
"10855  :  โรงพยาบาลสนามชัยเขต","0","0","0.00","0","0","0.00"
"10856  :  โรงพยาบาลแปลงยาว","218","31","14.22","532","92","17.29"
"13747  :  โรงพยาบาลราชสาส์น","89","11","12.36","461","80","17.35"
"31327  :  โรงพยาบาลคลองเขื่อน","21","3","14.29","89","16","17.98"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","0","0","0.00","0","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","51","0","0.00","682","105","15.40"
"10858  :  โรงพยาบาลนาดี","0","0","0.00","0","0","0.00"
"10859  :  โรงพยาบาลบ้านสร้าง","0","0","0.00","0","0","0.00"
"10860  :  โรงพยาบาลประจันตคาม","30","1","3.33","2","0","0.00"
"10861  :  โรงพยาบาลศรีมหาโพธิ","21","5","23.81","3,751","776","20.69"
"10862  :  โรงพยาบาลศรีมโหสถ","213","39","18.31","99","7","7.07"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","1","0","0.00","16","0","0.00"
"10698  :  โรงพยาบาลนครนายก","1,427","362","25.37","2,574","687","26.69"
"10863  :  โรงพยาบาลปากพลี","25","4","16.00","284","53","18.66"
"10864  :  โรงพยาบาลบ้านนา","499","113","22.65","1,894","430","22.70"
"10865  :  โรงพยาบาลองครักษ์","1,267","277","21.86","725","145","20.00"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0.00","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","0","0","0.00","3","0","0.00"
"10866  :  โรงพยาบาลคลองหาด","1","0","0.00","1,319","234","17.74"
"10867  :  โรงพยาบาลตาพระยา","0","0","0.00","44","6","13.64"
"10868  :  โรงพยาบาลวังน้ำเย็น","219","0","0.00","60","3","5.00"
"10869  :  โรงพยาบาลวัฒนานคร","335","28","8.36","2,156","378","17.53"
"10870  :  โรงพยาบาลอรัญประเทศ","224","12","5.36","0","0","0.00"
"13817  :  โรงพยาบาลเขาฉกรรจ์","0","0","0.00","525","61","11.62"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","120","24","20.00","2,007","377","18.78"
"10872  :  โรงพยาบาลเสิงสาง","309","26","8.41","2,335","348","14.90"
"10873  :  โรงพยาบาลคง","104","11","10.58","2,184","433","19.83"
"10874  :  โรงพยาบาลบ้านเหลื่อม","76","9","11.84","379","43","11.35"
"10875  :  โรงพยาบาลจักราช","610","94","15.41","325","39","12.00"
"10876  :  โรงพยาบาลโชคชัย","54","8","14.81","3,533","713","20.18"
"10877  :  โรงพยาบาลด่านขุนทด","23","0","0.00","115","3","2.61"
"10878  :  โรงพยาบาลโนนไทย","141","26","18.44","940","174","18.51"
"10879  :  โรงพยาบาลโนนสูง","386","79","20.47","2,000","361","18.05"
"10880  :  โรงพยาบาลขามสะแกแสง","95","3","3.16","1,010","45","4.46"
"10881  :  โรงพยาบาลบัวใหญ่","61","15","24.59","407","41","10.07"
"10882  :  โรงพยาบาลประทาย","757","131","17.31","2,291","352","15.36"
"10883  :  โรงพยาบาลปักธงชัย","54","10","18.52","436","69","15.83"
"10884  :  โรงพยาบาลพิมาย","199","52","26.13","3,160","661","20.92"
"10885  :  โรงพยาบาลห้วยแถลง","45","3","6.67","1,190","144","12.10"
"10886  :  โรงพยาบาลชุมพวง","1,085","38","3.50","237","10","4.22"
"10887  :  โรงพยาบาลสูงเนิน","361","67","18.56","2,445","488","19.96"
"10888  :  โรงพยาบาลขามทะเลสอ","0","0","0.00","0","0","0.00"
"10889  :  โรงพยาบาลสีคิ้ว","490","84","17.14","5,062","1,067","21.08"
"10890  :  โรงพยาบาลปากช่องนานา","854","173","20.26","4,562","956","20.96"
"10891  :  โรงพยาบาลหนองบุญมาก","57","10","17.54","355","63","17.75"
"10892  :  โรงพยาบาลแก้งสนามนาง","1","1","100.00","0","0","0.00"
"10893  :  โรงพยาบาลโนนแดง","53","9","16.98","1,309","230","17.57"
"10894  :  โรงพยาบาลวังน้ำเขียว","85","14","16.47","466","63","13.52"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","2","0","0.00","5","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","2","0","0.00","286","29","10.14"
"11608  :  โรงพยาบาลลำทะเมนชัย","265","31","11.70","523","55","10.52"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","7","0","0.00","332","18","5.42"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","454","77","16.96","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","0","0.00","121","22","18.18"
