"โรงพยาบาล","ปีการศึกษา 2556 เทอม 2 ตค.-ธค.","ปีการศึกษา 2557 เทอม 1 พค.-กค."
"B","A","อัตรา(100)","B","A","อัตรา(100)"
"10797  :  โรงพยาบาลหนองม่วง","0","0","0.00","676","148","21.89"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","1,808","474","26.22","3,904","1,113","28.51"
"10693  :  โรงพยาบาลอินทร์บุรี","3","0","0.00","0","0","0.00"
"10798  :  โรงพยาบาลบางระจัน","0","0","0.00","0","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","51","12","23.53","539","82","15.21"
"10800  :  โรงพยาบาลพรหมบุรี","0","0","0.00","0","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","58","11","18.97","0","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","0","0","0.00","0","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","0","0","0.00","0","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","26","7","26.92","162","24","14.81"
"10805  :  โรงพยาบาลสรรคบุรี","0","0","0.00","67","1","1.49"
"10806  :  โรงพยาบาลหันคา","0","0","0.00","271","54","19.93"
"27974  :  โรงพยาบาลหนองมะโมง","0","0","0.00","0","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","79","12","15.19"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0.00","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","6","1","16.67","0","0","0.00"
"10808  :  โรงพยาบาลหนองแค","1","0","0.00","353","69","19.55"
"10809  :  โรงพยาบาลวิหารแดง","110","21","19.09","1","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","0","0","0.00","10","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","9","0","0.00","0","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","11","0","0.00","236","53","22.46"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","5","0","0.00","973","264","27.13"
"10815  :  โรงพยาบาลมวกเหล็ก","0","0","0.00","424","87","20.52"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","0","0","0.00","1,000","203","20.30"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0.00","0","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","5","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","501","154","30.74","0","0","0.00"
"10818  :  โรงพยาบาลหนองใหญ่","270","44","16.30","686","83","12.10"
"10819  :  โรงพยาบาลบางละมุง","0","0","0.00","712","138","19.38"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","124","14","11.29","97","10","10.31"
"10821  :  โรงพยาบาลพานทอง","1,018","195","19.16","0","0","0.00"
"10822  :  โรงพยาบาลพนัสนิคม","1","0","0.00","47","9","19.15"
"10823  :  โรงพยาบาลแหลมฉบัง","44","4","9.09","782","97","12.40"
"10824  :  โรงพยาบาลเกาะสีชัง","133","31","23.31","97","12","12.37"
"10825  :  โรงพยาบาลสัตหีบกม10","564","81","14.36","1,257","153","12.17"
"10826  :  โรงพยาบาลบ่อทอง","390","63","16.15","1,066","148","13.88"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","0","0","0.00","0","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","0","0","0.00","0","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","0","0","0.00","0","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","0","0","0.00","1","0","0.00"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","3,171","449","14.16","0","0","0.00"
"10828  :  โรงพยาบาลบ้านฉาง","1,195","200","16.74","2,040","374","18.33"
"10829  :  โรงพยาบาลแกลง","8","2","25.00","14","2","14.29"
"10830  :  โรงพยาบาลวังจันทร์","575","106","18.43","801","145","18.10"
"10831  :  โรงพยาบาลบ้านค่าย","1","0","0.00","2","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","0","0","0.00","4","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","0","0","0.00","0","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","0","0","0.00","0","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","0.00","0","0","0.00"
"10834  :  โรงพยาบาลขลุง","0","0","0.00","0","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","0","0","0.00","0","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","0","0","0.00","251","50","19.92"
"10837  :  โรงพยาบาลสองพี่น้อง","1","0","0.00","106","13","12.26"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","25","0","0.00","702","29","4.13"
"10839  :  โรงพยาบาลมะขาม","0","0","0.00","41","6","14.63"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0.00","0","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","0","0","0.00","266","36","13.53"
"10843  :  โรงพยาบาลนายายอาม","109","0","0.00","109","10","9.17"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","363","50","13.77","634","57","8.99"
"10696  :  โรงพยาบาลตราด","0","0","0.00","389","38","9.77"
"10845  :  โรงพยาบาลคลองใหญ่","300","32","10.67","1,761","231","13.12"
"10846  :  โรงพยาบาลเขาสมิง","118","15","12.71","472","53","11.23"
"10847  :  โรงพยาบาลบ่อไร่","0","0","0.00","1,336","191","14.30"
"10848  :  โรงพยาบาลแหลมงอบ","58","9","15.52","558","95","17.03"
"10849  :  โรงพยาบาลเกาะกูด","9","2","22.22","185","28","15.14"
"13816  :  โรงพยาบาลเกาะช้าง","19","6","31.58","81","8","9.88"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0.00","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","139","30","21.58","41","2","4.88"
"10850  :  โรงพยาบาลบางคล้า","0","0","0.00","5","0","0.00"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","2","0","0.00","3","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","0","0","0.00","0","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","29","8","27.59","263","50","19.01"
"10854  :  โรงพยาบาลพนมสารคาม","0","0","0.00","98","32","32.65"
"10855  :  โรงพยาบาลสนามชัยเขต","0","0","0.00","0","0","0.00"
"10856  :  โรงพยาบาลแปลงยาว","1","0","0.00","1,067","150","14.06"
"13747  :  โรงพยาบาลราชสาส์น","0","0","0.00","0","0","0.00"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","0","0","0.00","0","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","226","40","17.70","70","1","1.43"
"10858  :  โรงพยาบาลนาดี","8","0","0.00","126","5","3.97"
"10859  :  โรงพยาบาลบ้านสร้าง","0","0","0.00","0","0","0.00"
"10860  :  โรงพยาบาลประจันตคาม","0","0","0.00","0","0","0.00"
"10861  :  โรงพยาบาลศรีมหาโพธิ","672","99","14.73","2,175","475","21.84"
"10862  :  โรงพยาบาลศรีมโหสถ","0","0","0.00","0","0","0.00"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","0","0","0.00","108","0","0.00"
"10698  :  โรงพยาบาลนครนายก","5","0","0.00","2,082","555","26.66"
"10863  :  โรงพยาบาลปากพลี","26","3","11.54","286","52","18.18"
"10864  :  โรงพยาบาลบ้านนา","18","0","0.00","759","132","17.39"
"10865  :  โรงพยาบาลองครักษ์","11","0","0.00","672","132","19.64"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0.00","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00","207","2","0.97"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","1","0","0.00","1","0","0.00"
"10866  :  โรงพยาบาลคลองหาด","1","0","0.00","1,523","179","11.75"
"10867  :  โรงพยาบาลตาพระยา","0","0","0.00","617","63","10.21"
"10868  :  โรงพยาบาลวังน้ำเย็น","769","98","12.74","1","0","0.00"
"10869  :  โรงพยาบาลวัฒนานคร","293","61","20.82","2,328","362","15.55"
"10870  :  โรงพยาบาลอรัญประเทศ","215","16","7.44","235","16","6.81"
"13817  :  โรงพยาบาลเขาฉกรรจ์","115","13","11.30","441","61","13.83"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","481","65","13.51","1,396","274","19.63"
"10872  :  โรงพยาบาลเสิงสาง","2","0","0.00","1,478","189","12.79"
"10873  :  โรงพยาบาลคง","1","0","0.00","1,248","222","17.79"
"10874  :  โรงพยาบาลบ้านเหลื่อม","4","1","25.00","340","42","12.35"
"10875  :  โรงพยาบาลจักราช","2","0","0.00","0","0","0.00"
"10876  :  โรงพยาบาลโชคชัย","343","38","11.08","3,560","686","19.27"
"10877  :  โรงพยาบาลด่านขุนทด","0","0","0.00","99","0","0.00"
"10878  :  โรงพยาบาลโนนไทย","0","0","0.00","1,104","199","18.03"
"10879  :  โรงพยาบาลโนนสูง","535","89","16.64","3,008","559","18.58"
"10880  :  โรงพยาบาลขามสะแกแสง","30","6","20.00","872","53","6.08"
"10881  :  โรงพยาบาลบัวใหญ่","65","9","13.85","377","41","10.88"
"10882  :  โรงพยาบาลประทาย","100","6","6.00","1,643","279","16.98"
"10883  :  โรงพยาบาลปักธงชัย","20","0","0.00","369","55","14.91"
"10884  :  โรงพยาบาลพิมาย","295","68","23.05","3,502","716","20.45"
"10885  :  โรงพยาบาลห้วยแถลง","0","0","0.00","596","56","9.40"
"10886  :  โรงพยาบาลชุมพวง","394","47","11.93","103","4","3.88"
"10887  :  โรงพยาบาลสูงเนิน","302","44","14.57","594","64","10.77"
"10888  :  โรงพยาบาลขามทะเลสอ","0","0","0.00","0","0","0.00"
"10889  :  โรงพยาบาลสีคิ้ว","666","119","17.87","4,529","917","20.25"
"10890  :  โรงพยาบาลปากช่องนานา","1,297","203","15.65","70","1","1.43"
"10891  :  โรงพยาบาลหนองบุญมาก","59","9","15.25","321","56","17.45"
"10892  :  โรงพยาบาลแก้งสนามนาง","0","0","0.00","0","0","0.00"
"10893  :  โรงพยาบาลโนนแดง","47","5","10.64","1,268","206","16.25"
"10894  :  โรงพยาบาลวังน้ำเขียว","0","0","0.00","1","0","0.00"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0.00","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","0","0","0.00","39","7","17.95"
"11608  :  โรงพยาบาลลำทะเมนชัย","0","0","0.00","456","51","11.18"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","1","0","0.00","191","7","3.66"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","178","30","16.85","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","0","0.00","0","0","0.00"
