"รหัส","ชื่อโรงพยาบาล","อายุ(ปี)","ระดับการศึกษา","รวม"
"10718","โรงพยาบาลเชียงคำ จ.พะเยา","-","-","0"
"10719","โรงพยาบาลศรีสังวาลย์ จ.แม่ฮ่องสอน","-","-","0"
"10720","โรงพยาบาลอุทัยธานี จ.อุทัยธานี","-","-","0"
"10721","โรงพยาบาลกำแพงเพชร จ.กำแพงเพชร","-","-","0"
"10722","โรงพยาบาลสมเด็จพระเจ้าตากสินมหาราช จ.ตาก","-","-","0"
"10723","โรงพยาบาลแม่สอด จ.ตาก","-","-","0"
"10724","โรงพยาบาลสุโขทัย จ.สุโขทัย","-","-","0"
"10725","โรงพยาบาลศรีสังวรสุโขทัย จ.สุโขทัย","-","-","0"
"10726","โรงพยาบาลพิจิตร จ.พิจิตร","-","-","0"
"10727","โรงพยาบาลเพชรบูรณ์ จ.เพชรบูรณ์","14","ประถมศึกษา","1"
"10728","โรงพยาบาลดำเนินสะดวก จ.ราชบุรี","-","-","0"
"10729","โรงพยาบาลบ้านโป่ง จ.ราชบุรี","-","-","0"
"10730","โรงพยาบาลโพธาราม จ.ราชบุรี","-","-","0"
"10731","โรงพยาบาลพหลพลพยุหเสนา จ.กาญจนบุรี","-","-","0"
"10732","โรงพยาบาลมะการักษ์ จ.กาญจนบุรี","-","-","0"
"10733","โรงพยาบาลสมเด็จพระสังฆราชองค์ที่17 จ.สุพรรณบุรี","14","ไม่ระบุ/ไม่ทราบ","1"
"10734","โรงพยาบาลสมุทรสาคร จ.สมุทรสาคร","14","ไม่ระบุ/ไม่ทราบ","2"
"10735","โรงพยาบาลสมเด็จพระพุทธเลิศหล้า จ.สมุทรสงคราม","14","ไม่ระบุ/ไม่ทราบ","1"
"10736","โรงพยาบาลพระจอมเกล้า จ.เพชรบุรี","13","ไม่ได้รับการศึกษา","1"
"10736","โรงพยาบาลพระจอมเกล้า จ.เพชรบุรี","13","ประถมศึกษา","1"
"10737","โรงพยาบาลประจวบคีรีขันธ์ จ.ประจวบคีรีขันธ์","14","ไม่ระบุ/ไม่ทราบ","1"
"10738","โรงพยาบาลกระบี่ จ.กระบี่","-","-","0"
"10739","โรงพยาบาลพังงา จ.พังงา","-","-","0"
"10740","โรงพยาบาลตะกั่วป่า จ.พังงา","-","-","0"
"10741","โรงพยาบาลวชิระภูเก็ต จ.ภูเก็ต","-","-","0"
"10742","โรงพยาบาลเกาะสมุย จ.สุราษฎร์ธานี","9","ไม่ระบุ/ไม่ทราบ","1"
"10743","โรงพยาบาลระนอง จ.ระนอง","-","-","0"
"10744","โรงพยาบาลชุมพรเขตรอุดมศักดิ์ จ.ชุมพร","14","ไม่ระบุ/ไม่ทราบ","1"
"10745","โรงพยาบาลสงขลา จ.สงขลา","-","-","0"
"10746","โรงพยาบาลสตูล จ.สตูล","-","-","0"
"10747","โรงพยาบาลพัทลุง จ.พัทลุง","-","-","0"
"10748","โรงพยาบาลปัตตานี จ.ปัตตานี","-","-","0"
"10749","โรงพยาบาลเบตง จ.ยะลา","-","-","0"
"10750","โรงพยาบาลนราธิวาสราชนครินทร์ จ.นราธิวาส","-","-","0"
"10751","โรงพยาบาลสุไหงโก-ลก จ.นราธิวาส","-","-","0"
"10752","โรงพยาบาลบางบ่อ จ.สมุทรปราการ","-","-","0"
"10753","โรงพยาบาลบางพลี จ.สมุทรปราการ","13","ไม่ระบุ/ไม่ทราบ","1"
"10753","โรงพยาบาลบางพลี จ.สมุทรปราการ","14","มัธยมศึกษา (ม.1-ม.6) หรือ ปวช.","1"
"10754","โรงพยาบาลบางจาก จ.สมุทรปราการ","14","มัธยมศึกษา (ม.1-ม.6) หรือ ปวช.","1"
"10755","โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์ จ.สมุทรปราการ","-","-","0"
"10756","โรงพยาบาลบางกรวย จ.นนทบุรี","-","-","0"
"10757","โรงพยาบาลบางใหญ่ จ.นนทบุรี","-","-","0"
"10758","โรงพยาบาลบางบัวทอง จ.นนทบุรี","13","ไม่ระบุ/ไม่ทราบ","1"
"10758","โรงพยาบาลบางบัวทอง จ.นนทบุรี","14","ประถมศึกษา","1"
"10758","โรงพยาบาลบางบัวทอง จ.นนทบุรี","14","ไม่ระบุ/ไม่ทราบ","2"
"10759","โรงพยาบาลไทรน้อย จ.นนทบุรี","-","-","0"
"10760","โรงพยาบาลปากเกร็ด จ.นนทบุรี","-","-","0"
"10761","โรงพยาบาลคลองหลวง จ.ปทุมธานี","14","ไม่ระบุ/ไม่ทราบ","1"
"10762","โรงพยาบาลธัญบุรี จ.ปทุมธานี","13","ประถมศึกษา","1"
"10763","โรงพยาบาลประชาธิปัตย์ จ.ปทุมธานี","-","-","0"
"10764","โรงพยาบาลหนองเสือ จ.ปทุมธานี","-","-","0"
"10765","โรงพยาบาลลาดหลุมแก้ว จ.ปทุมธานี","-","-","0"
"10766","โรงพยาบาลลำลูกกา จ.ปทุมธานี","-","-","0"
"10767","โรงพยาบาลสามโคก จ.ปทุมธานี","-","-","0"
"10768","โรงพยาบาลท่าเรือ จ.พระนครศรีอยุธยา","-","-","0"
"10769","โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร) จ.พระนครศรีอยุธยา","-","-","0"
"10770","โรงพยาบาลบางไทร จ.พระนครศรีอยุธยา","-","-","0"
"10771","โรงพยาบาลบางบาล จ.พระนครศรีอยุธยา","-","-","0"
"10772","โรงพยาบาลบางปะอิน จ.พระนครศรีอยุธยา","14","ไม่ได้รับการศึกษา","1"
"10773","โรงพยาบาลบางปะหัน จ.พระนครศรีอยุธยา","14","ไม่ระบุ/ไม่ทราบ","1"
"10774","โรงพยาบาลผักไห่ จ.พระนครศรีอยุธยา","-","-","0"
"10775","โรงพยาบาลภาชี จ.พระนครศรีอยุธยา","-","-","0"
"10776","โรงพยาบาลลาดบัวหลวง จ.พระนครศรีอยุธยา","-","-","0"
"10777","โรงพยาบาลวังน้อย จ.พระนครศรีอยุธยา","-","-","0"
"10778","โรงพยาบาลบางซ้าย จ.พระนครศรีอยุธยา","-","-","0"
"10779","โรงพยาบาลอุทัย จ.พระนครศรีอยุธยา","-","-","0"
"10780","โรงพยาบาลมหาราช จ.พระนครศรีอยุธยา","-","-","0"
"10781","โรงพยาบาลบ้านแพรก จ.พระนครศรีอยุธยา","-","-","0"
"10782","โรงพยาบาลไชโย จ.อ่างทอง","-","-","0"
"10784","โรงพยาบาลป่าโมก จ.อ่างทอง","-","-","0"
"10785","โรงพยาบาลโพธิ์ทอง จ.อ่างทอง","14","ไม่ระบุ/ไม่ทราบ","1"
"10786","โรงพยาบาลแสวงหา จ.อ่างทอง","-","-","0"
"10787","โรงพยาบาลวิเศษชัยชาญ จ.อ่างทอง","-","-","0"
"10788","โรงพยาบาลสามโก้ จ.อ่างทอง","-","-","0"
"10789","โรงพยาบาลพัฒนานิคม จ.ลพบุรี","-","-","0"
"10790","โรงพยาบาลโคกสำโรง จ.ลพบุรี","-","-","0"
"10791","โรงพยาบาลชัยบาดาล จ.ลพบุรี","-","-","0"
"10792","โรงพยาบาลท่าวุ้ง จ.ลพบุรี","-","-","0"
"10793","โรงพยาบาลท่าหลวง จ.ลพบุรี","13","ประถมศึกษา","1"
"10793","โรงพยาบาลท่าหลวง จ.ลพบุรี","14","ประถมศึกษา","1"
"10794","โรงพยาบาลสระโบสถ์ จ.ลพบุรี","-","-","0"
"10795","โรงพยาบาลโคกเจริญ จ.ลพบุรี","-","-","0"
"10796","โรงพยาบาลลำสนธิ จ.ลพบุรี","-","-","0"
"10797","โรงพยาบาลหนองม่วง จ.ลพบุรี","-","-","0"
"10798","โรงพยาบาลบางระจัน จ.สิงห์บุรี","-","-","0"
"10799","โรงพยาบาลค่ายบางระจัน จ.สิงห์บุรี","-","-","0"
"10800","โรงพยาบาลพรหมบุรี จ.สิงห์บุรี","-","-","0"
"10801","โรงพยาบาลท่าช้าง จ.สิงห์บุรี","-","-","0"
"10802","โรงพยาบาลมโนรมย์ จ.ชัยนาท","-","-","0"
"10803","โรงพยาบาลวัดสิงห์ จ.ชัยนาท","-","-","0"
"10804","โรงพยาบาลสรรพยา จ.ชัยนาท","-","-","0"
"10805","โรงพยาบาลสรรคบุรี จ.ชัยนาท","-","-","0"
"10806","โรงพยาบาลหันคา จ.ชัยนาท","-","-","0"
"10807","โรงพยาบาลแก่งคอย จ.สระบุรี","-","-","0"
"10808","โรงพยาบาลหนองแค จ.สระบุรี","-","-","0"
"10809","โรงพยาบาลวิหารแดง จ.สระบุรี","-","-","0"
"10810","โรงพยาบาลหนองแซง จ.สระบุรี","-","-","0"
"10811","โรงพยาบาลบ้านหมอ จ.สระบุรี","-","-","0"
"10812","โรงพยาบาลดอนพุด จ.สระบุรี","-","-","0"
"10813","โรงพยาบาลหนองโดน จ.สระบุรี","-","-","0"
"10814","โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา จ.สระบุรี","-","-","0"
"10815","โรงพยาบาลมวกเหล็ก จ.สระบุรี","-","-","0"
"10816","โรงพยาบาลวังม่วงสัทธรรม จ.สระบุรี","-","-","0"
"10817","โรงพยาบาลบ้านบึง จ.ชลบุรี","13","ประถมศึกษา","1"
"10817","โรงพยาบาลบ้านบึง จ.ชลบุรี","14","ประถมศึกษา","4"
"10818","โรงพยาบาลหนองใหญ่ จ.ชลบุรี","-","-","0"
"10819","โรงพยาบาลบางละมุง จ.ชลบุรี","14","ไม่ได้รับการศึกษา","1"
"10820","โรงพยาบาลวัดญาณสังวราราม จ.ชลบุรี","-","-","0"
"10821","โรงพยาบาลพานทอง จ.ชลบุรี","-","-","0"
"10822","โรงพยาบาลพนัสนิคม จ.ชลบุรี","-","-","0"
"10823","โรงพยาบาลแหลมฉบัง จ.ชลบุรี","-","-","0"
"10824","โรงพยาบาลเกาะสีชัง จ.ชลบุรี","14","ประถมศึกษา","1"
"10825","โรงพยาบาลสัตหีบกม10 จ.ชลบุรี","-","-","0"
"10826","โรงพยาบาลบ่อทอง จ.ชลบุรี","-","-","0"
"10827","โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง จ.ระยอง","14","ไม่ระบุ/ไม่ทราบ","1"
"10828","โรงพยาบาลบ้านฉาง จ.ระยอง","14","ไม่ระบุ/ไม่ทราบ","2"
"10829","โรงพยาบาลแกลง จ.ระยอง","14","ไม่ระบุ/ไม่ทราบ","1"
"10830","โรงพยาบาลวังจันทร์ จ.ระยอง","-","-","0"
"10831","โรงพยาบาลบ้านค่าย จ.ระยอง","14","ประถมศึกษา","1"
"10832","โรงพยาบาลปลวกแดง จ.ระยอง","14","ไม่ได้รับการศึกษา","1"
"10832","โรงพยาบาลปลวกแดง จ.ระยอง","14","ไม่ระบุ/ไม่ทราบ","1"
"10833","โรงพยาบาลท่าตะเกียบ จ.ฉะเชิงเทรา","14","ไม่ระบุ/ไม่ทราบ","1"
"10834","โรงพยาบาลขลุง จ.จันทบุรี","-","-","0"
"10835","โรงพยาบาลท่าใหม่ จ.จันทบุรี","-","-","0"
"10836","โรงพยาบาลเขาสุกิม จ.จันทบุรี","-","-","0"
"10837","โรงพยาบาลสองพี่น้อง จ.จันทบุรี","-","-","0"
"10838","โรงพยาบาลโป่งน้ำร้อน จ.จันทบุรี","13","ก่อนประถมศึกษา","1"
"10838","โรงพยาบาลโป่งน้ำร้อน จ.จันทบุรี","14","ประถมศึกษา","1"
"10838","โรงพยาบาลโป่งน้ำร้อน จ.จันทบุรี","14","ไม่ระบุ/ไม่ทราบ","2"
"10839","โรงพยาบาลมะขาม จ.จันทบุรี","-","-","0"
"10840","โรงพยาบาลแหลมสิงห์ จ.จันทบุรี","-","-","0"
"10841","โรงพยาบาลสอยดาว จ.จันทบุรี","-","-","0"
"10842","โรงพยาบาลแก่งหางแมว จ.จันทบุรี","-","-","0"
"10843","โรงพยาบาลนายายอาม จ.จันทบุรี","-","-","0"
"10844","โรงพยาบาลเขาคิชฌกูฏ จ.จันทบุรี","-","-","0"
"10845","โรงพยาบาลคลองใหญ่ จ.ตราด","-","-","0"
"10846","โรงพยาบาลเขาสมิง จ.ตราด","-","-","0"
"10847","โรงพยาบาลบ่อไร่ จ.ตราด","14","ประถมศึกษา","1"
"10848","โรงพยาบาลแหลมงอบ จ.ตราด","-","-","0"
"10849","โรงพยาบาลเกาะกูด จ.ตราด","-","-","0"
"10850","โรงพยาบาลบางคล้า จ.ฉะเชิงเทรา","-","-","0"
"10851","โรงพยาบาลบางน้ำเปรี้ยว จ.ฉะเชิงเทรา","-","-","0"
"10852","โรงพยาบาลบางปะกง จ.ฉะเชิงเทรา","14","ประถมศึกษา","1"
"10853","โรงพยาบาลบ้านโพธิ์ จ.ฉะเชิงเทรา","-","-","0"
"10854","โรงพยาบาลพนมสารคาม จ.ฉะเชิงเทรา","-","-","0"
"10855","โรงพยาบาลสนามชัยเขต จ.ฉะเชิงเทรา","-","-","0"
"10856","โรงพยาบาลแปลงยาว จ.ฉะเชิงเทรา","-","-","0"
"10857","โรงพยาบาลกบินทร์บุรี จ.ปราจีนบุรี","14","ประถมศึกษา","1"
"10857","โรงพยาบาลกบินทร์บุรี จ.ปราจีนบุรี","14","มัธยมศึกษา (ม.1-ม.6) หรือ ปวช.","1"
"10858","โรงพยาบาลนาดี จ.ปราจีนบุรี","-","-","0"
"10859","โรงพยาบาลบ้านสร้าง จ.ปราจีนบุรี","-","-","0"
"10860","โรงพยาบาลประจันตคาม จ.ปราจีนบุรี","14","ไม่ระบุ/ไม่ทราบ","1"
"10861","โรงพยาบาลศรีมหาโพธิ จ.ปราจีนบุรี","-","-","0"
"10862","โรงพยาบาลศรีมโหสถ จ.ปราจีนบุรี","-","-","0"
"10863","โรงพยาบาลปากพลี จ.นครนายก","-","-","0"
"10864","โรงพยาบาลบ้านนา จ.นครนายก","13","มัธยมศึกษา (ม.1-ม.6) หรือ ปวช.","1"
"10865","โรงพยาบาลองครักษ์ จ.นครนายก","-","-","0"
"10866","โรงพยาบาลคลองหาด จ.สระแก้ว","14","มัธยมศึกษา (ม.1-ม.6) หรือ ปวช.","1"
"10867","โรงพยาบาลตาพระยา จ.สระแก้ว","-","-","0"
"10868","โรงพยาบาลวังน้ำเย็น จ.สระแก้ว","14","ประถมศึกษา","1"
"10869","โรงพยาบาลวัฒนานคร จ.สระแก้ว","-","-","0"
"10870","โรงพยาบาลอรัญประเทศ จ.สระแก้ว","-","-","0"
"10871","โรงพยาบาลครบุรี จ.นครราชสีมา","-","-","0"
"10872","โรงพยาบาลเสิงสาง จ.นครราชสีมา","-","-","0"
"10873","โรงพยาบาลคง จ.นครราชสีมา","-","-","0"
"10874","โรงพยาบาลบ้านเหลื่อม จ.นครราชสีมา","-","-","0"
"10875","โรงพยาบาลจักราช จ.นครราชสีมา","-","-","0"
"10876","โรงพยาบาลโชคชัย จ.นครราชสีมา","-","-","0"
"10877","โรงพยาบาลด่านขุนทด จ.นครราชสีมา","-","-","0"
"10878","โรงพยาบาลโนนไทย จ.นครราชสีมา","-","-","0"
"10879","โรงพยาบาลโนนสูง จ.นครราชสีมา","-","-","0"
"10880","โรงพยาบาลขามสะแกแสง จ.นครราชสีมา","-","-","0"
"10881","โรงพยาบาลบัวใหญ่ จ.นครราชสีมา","-","-","0"
"10882","โรงพยาบาลประทาย จ.นครราชสีมา","-","-","0"
"10883","โรงพยาบาลปักธงชัย จ.นครราชสีมา","-","-","0"
"10884","โรงพยาบาลพิมาย จ.นครราชสีมา","-","-","0"
"10885","โรงพยาบาลห้วยแถลง จ.นครราชสีมา","-","-","0"
"10886","โรงพยาบาลชุมพวง จ.นครราชสีมา","-","-","0"
"10887","โรงพยาบาลสูงเนิน จ.นครราชสีมา","-","-","0"
"10888","โรงพยาบาลขามทะเลสอ จ.นครราชสีมา","-","-","0"
"10889","โรงพยาบาลสีคิ้ว จ.นครราชสีมา","-","-","0"
"10890","โรงพยาบาลปากช่องนานา จ.นครราชสีมา","-","-","0"
"10891","โรงพยาบาลหนองบุญมาก  จ.นครราชสีมา","-","-","0"
"10892","โรงพยาบาลแก้งสนามนาง จ.นครราชสีมา","-","-","0"
"10893","โรงพยาบาลโนนแดง จ.นครราชสีมา","14","ก่อนประถมศึกษา","1"
"10894","โรงพยาบาลวังน้ำเขียว จ.นครราชสีมา","-","-","0"
"10895","โรงพยาบาลคูเมือง จ.บุรีรัมย์","-","-","0"
"10896","โรงพยาบาลกระสัง จ.บุรีรัมย์","-","-","0"
"10897","โรงพยาบาลนางรอง จ.บุรีรัมย์","-","-","0"
"10898","โรงพยาบาลหนองกี่ จ.บุรีรัมย์","14","ประถมศึกษา","1"
"10899","โรงพยาบาลละหานทราย จ.บุรีรัมย์","14","ประถมศึกษา","2"
"10900","โรงพยาบาลประโคนชัย จ.บุรีรัมย์","14","ก่อนประถมศึกษา","1"
"10901","โรงพยาบาลบ้านกรวด จ.บุรีรัมย์","-","-","0"
"10902","โรงพยาบาลพุทไธสง จ.บุรีรัมย์","-","-","0"
"10904","โรงพยาบาลลำปลายมาศ จ.บุรีรัมย์","-","-","0"
"10905","โรงพยาบาลสตึก จ.บุรีรัมย์","-","-","0"
"10906","โรงพยาบาลปะคำ จ.บุรีรัมย์","-","-","0"
"10907","โรงพยาบาลนาโพธิ์ จ.บุรีรัมย์","-","-","0"
"10908","โรงพยาบาลหนองหงส์ จ.บุรีรัมย์","-","-","0"
"10909","โรงพยาบาลพลับพลาชัย จ.บุรีรัมย์","-","-","0"
"10910","โรงพยาบาลห้วยราช จ.บุรีรัมย์","-","-","0"
"10911","โรงพยาบาลโนนสุวรรณ จ.บุรีรัมย์","-","-","0"
"10912","โรงพยาบาลชำนิ จ.บุรีรัมย์","-","-","0"
"10913","โรงพยาบาลบ้านใหม่ไชยพจน์ จ.บุรีรัมย์","-","-","0"
"10914","โรงพยาบาลโนนดินแดง จ.บุรีรัมย์","-","-","0"
"10915","โรงพยาบาลชุมพลบุรี จ.สุรินทร์","-","-","0"
"10916","โรงพยาบาลท่าตูม จ.สุรินทร์","-","-","0"
"10917","โรงพยาบาลจอมพระ จ.สุรินทร์","14","ประถมศึกษา","1"
"10918","โรงพยาบาลปราสาท จ.สุรินทร์","-","-","0"
"10919","โรงพยาบาลกาบเชิง จ.สุรินทร์","-","-","0"
"10920","โรงพยาบาลรัตนบุรี จ.สุรินทร์","-","-","0"
"10921","โรงพยาบาลสนม จ.สุรินทร์","-","-","0"
"10922","โรงพยาบาลศีขรภูมิ จ.สุรินทร์","-","-","0"
"10923","โรงพยาบาลสังขะ จ.สุรินทร์","-","-","0"
"10924","โรงพยาบาลลำดวน จ.สุรินทร์","-","-","0"
"10925","โรงพยาบาลสำโรงทาบ จ.สุรินทร์","-","-","0"
"10926","โรงพยาบาลบัวเชด จ.สุรินทร์","-","-","0"
"10927","โรงพยาบาลยางชุมน้อย จ.ศรีสะเกษ","-","-","0"
"10928","โรงพยาบาลกันทรารมย์ จ.ศรีสะเกษ","-","-","0"
"10929","โรงพยาบาลกันทรลักษ์ จ.ศรีสะเกษ","-","-","0"
"10930","โรงพยาบาลขุขันธ์ จ.ศรีสะเกษ","-","-","0"
"10931","โรงพยาบาลไพรบึง จ.ศรีสะเกษ","-","-","0"
"10932","โรงพยาบาลปรางค์กู่ จ.ศรีสะเกษ","14","ไม่ระบุ/ไม่ทราบ","1"
"10933","โรงพยาบาลขุนหาญ จ.ศรีสะเกษ","-","-","0"
"10934","โรงพยาบาลราษีไศล จ.ศรีสะเกษ","-","-","0"
"10935","โรงพยาบาลอุทุมพรพิสัย จ.ศรีสะเกษ","-","-","0"
"10936","โรงพยาบาลบึงบูรพ์ จ.ศรีสะเกษ","-","-","0"
"10937","โรงพยาบาลห้วยทับทัน จ.ศรีสะเกษ","-","-","0"
"10938","โรงพยาบาลโนนคูณ จ.ศรีสะเกษ","-","-","0"
"10939","โรงพยาบาลศรีรัตนะ จ.ศรีสะเกษ","-","-","0"
"10940","โรงพยาบาลวังหิน จ.ศรีสะเกษ","-","-","0"
"10941","โรงพยาบาลน้ำเกลี้ยง จ.ศรีสะเกษ","-","-","0"
"10942","โรงพยาบาลภูสิงห์ จ.ศรีสะเกษ","-","-","0"
"10943","โรงพยาบาลเมืองจันทร์ จ.ศรีสะเกษ","-","-","0"
"10944","โรงพยาบาลศรีเมืองใหม่ จ.อุบลราชธานี","-","-","0"
"10945","โรงพยาบาลโขงเจียม จ.อุบลราชธานี","14","ไม่ระบุ/ไม่ทราบ","1"
"10946","โรงพยาบาลเขื่องใน จ.อุบลราชธานี","-","-","0"
"10947","โรงพยาบาลเขมราฐ จ.อุบลราชธานี","-","-","0"
"10948","โรงพยาบาลนาจะหลวย จ.อุบลราชธานี","-","-","0"
"10949","โรงพยาบาลน้ำยืน จ.อุบลราชธานี","-","-","0"
"10950","โรงพยาบาลบุณฑริก จ.อุบลราชธานี","-","-","0"
"10951","โรงพยาบาลตระการพืชผล จ.อุบลราชธานี","-","-","0"
"10952","โรงพยาบาลกุดข้าวปุ้น จ.อุบลราชธานี","-","-","0"
"10953","โรงพยาบาลม่วงสามสิบ จ.อุบลราชธานี","-","-","0"
"10954","โรงพยาบาลวารินชำราบ จ.อุบลราชธานี","-","-","0"
"10956","โรงพยาบาลพิบูลมังสาหาร จ.อุบลราชธานี","-","-","0"
"10957","โรงพยาบาลตาลสุม จ.อุบลราชธานี","-","-","0"
"10958","โรงพยาบาลโพธิ์ไทร จ.อุบลราชธานี","-","-","0"
"10959","โรงพยาบาลสำโรง จ.อุบลราชธานี","-","-","0"
"10960","โรงพยาบาลดอนมดแดง จ.อุบลราชธานี","-","-","0"
"10961","โรงพยาบาลสิรินธร จ.อุบลราชธานี","-","-","0"
"10962","โรงพยาบาลทุ่งศรีอุดม จ.อุบลราชธานี","-","-","0"
"10963","โรงพยาบาลทรายมูล จ.ยโสธร","-","-","0"
"10964","โรงพยาบาลกุดชุม จ.ยโสธร","-","-","0"
