"โรงพยาบาล","จำนวนที่ได้รับการเจาะเลือดตรวจHematocrit/Hemoglobin","จำนวนที่พบภาวะโลหิตจาง","อัตรา"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","221","56","25.34"
"10752  :  โรงพยาบาลบางบ่อ","64","25","39.06"
"10753  :  โรงพยาบาลบางพลี","52","14","26.92"
"10754  :  โรงพยาบาลบางจาก","81","19","23.46"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","128","42","32.81"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","25","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","15","7","46.67"
"10686  :  โรงพยาบาลพระนั่งเกล้า","97","63","64.95"
"10756  :  โรงพยาบาลบางกรวย","15","4","26.67"
"10757  :  โรงพยาบาลบางใหญ่","28","9","32.14"
"10758  :  โรงพยาบาลบางบัวทอง","16","3","18.75"
"10759  :  โรงพยาบาลไทรน้อย","115","25","21.74"
"10760  :  โรงพยาบาลปากเกร็ด","75","9","12.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","1","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","85","36","42.35"
"10761  :  โรงพยาบาลคลองหลวง","37","10","27.03"
"10762  :  โรงพยาบาลธัญบุรี","42","14","33.33"
"10763  :  โรงพยาบาลประชาธิปัตย์","39","6","15.38"
"10764  :  โรงพยาบาลหนองเสือ","43","11","25.58"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","42","4","9.52"
"10766  :  โรงพยาบาลลำลูกกา","26","7","26.92"
"10767  :  โรงพยาบาลสามโคก","9","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","249","78","31.33"
"10688  :  โรงพยาบาลเสนา","95","15","15.79"
"10768  :  โรงพยาบาลท่าเรือ","30","5","16.67"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","30","3","10.00"
"10770  :  โรงพยาบาลบางไทร","84","15","17.86"
"10771  :  โรงพยาบาลบางบาล","5","2","40.00"
"10772  :  โรงพยาบาลบางปะอิน","148","35","23.65"
"10773  :  โรงพยาบาลบางปะหัน","40","19","47.50"
"10774  :  โรงพยาบาลผักไห่","14","5","35.71"
"10775  :  โรงพยาบาลภาชี","15","6","40.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","58","17","29.31"
"10777  :  โรงพยาบาลวังน้อย","176","69","39.20"
"10778  :  โรงพยาบาลบางซ้าย","0","0","0.00"
"10779  :  โรงพยาบาลอุทัย","40","7","17.50"
"10780  :  โรงพยาบาลมหาราช","6","3","50.00"
"10781  :  โรงพยาบาลบ้านแพรก","1","1","100.00"
"10689  :  โรงพยาบาลอ่างทอง","45","18","40.00"
"10782  :  โรงพยาบาลไชโย","6","2","33.33"
"10784  :  โรงพยาบาลป่าโมก","40","4","10.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","27","4","14.81"
"10786  :  โรงพยาบาลแสวงหา","19","5","26.32"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","22","17","77.27"
"10788  :  โรงพยาบาลสามโก้","8","4","50.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","545","60","11.01"
"10691  :  โรงพยาบาลบ้านหมี่","27","6","22.22"
"10789  :  โรงพยาบาลพัฒนานิคม","34","3","8.82"
"10790  :  โรงพยาบาลโคกสำโรง","104","21","20.19"
"10791  :  โรงพยาบาลชัยบาดาล","178","29","16.29"
"10792  :  โรงพยาบาลท่าวุ้ง","92","13","14.13"
"10793  :  โรงพยาบาลท่าหลวง","37","3","8.11"
"10794  :  โรงพยาบาลสระโบสถ์","2","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","35","5","14.29"
"10796  :  โรงพยาบาลลำสนธิ","39","8","20.51"
"10797  :  โรงพยาบาลหนองม่วง","26","9","34.62"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","108","13","12.04"
"10693  :  โรงพยาบาลอินทร์บุรี","38","8","21.05"
"10798  :  โรงพยาบาลบางระจัน","13","3","23.08"
"10799  :  โรงพยาบาลค่ายบางระจัน","24","3","12.50"
"10800  :  โรงพยาบาลพรหมบุรี","14","4","28.57"
"10801  :  โรงพยาบาลท่าช้าง","6","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","40","11","27.50"
"10802  :  โรงพยาบาลมโนรมย์","18","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","7","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","3","1","33.33"
"10805  :  โรงพยาบาลสรรคบุรี","40","9","22.50"
"10806  :  โรงพยาบาลหันคา","20","5","25.00"
"27974  :  โรงพยาบาลหนองมะโมง","17","5","29.41"
"27975  :  โรงพยาบาลเนินขาม","2","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","335","194","57.91"
"10695  :  โรงพยาบาลพระพุทธบาท","26","3","11.54"
"10807  :  โรงพยาบาลแก่งคอย","63","25","39.68"
"10808  :  โรงพยาบาลหนองแค","23","6","26.09"
"10809  :  โรงพยาบาลวิหารแดง","32","5","15.63"
"10810  :  โรงพยาบาลหนองแซง","9","3","33.33"
"10811  :  โรงพยาบาลบ้านหมอ","13","3","23.08"
"10812  :  โรงพยาบาลดอนพุด","17","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","6","1","16.67"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","4","1","25.00"
"10815  :  โรงพยาบาลมวกเหล็ก","15","3","20.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","32","5","15.63"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","180","29","16.11"
"10818  :  โรงพยาบาลหนองใหญ่","46","3","6.52"
"10819  :  โรงพยาบาลบางละมุง","622","240","38.59"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","54","10","18.52"
"10821  :  โรงพยาบาลพานทอง","271","54","19.93"
"10822  :  โรงพยาบาลพนัสนิคม","140","49","35.00"
"10823  :  โรงพยาบาลแหลมฉบัง","202","57","28.22"
"10824  :  โรงพยาบาลเกาะสีชัง","16","0","0.00"
"10825  :  โรงพยาบาลสัตหีบกม10","91","19","20.88"
"10826  :  โรงพยาบาลบ่อทอง","62","15","24.19"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","6","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","21","5","23.81"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","164","28","17.07"
"28005  :  โรงพยาบาลเมืองพัทยา","165","52","31.52"
"28006  :  โรงพยาบาลเกาะจันทร์","52","15","28.85"
"10663  :  โรงพยาบาลระยอง","158","51","32.28"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","240","58","24.17"
"10828  :  โรงพยาบาลบ้านฉาง","135","27","20.00"
"10829  :  โรงพยาบาลแกลง","178","34","19.10"
"10830  :  โรงพยาบาลวังจันทร์","45","8","17.78"
"10831  :  โรงพยาบาลบ้านค่าย","46","16","34.78"
"10832  :  โรงพยาบาลปลวกแดง","0","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","14","6","42.86"
"23962  :  โรงพยาบาลนิคมพัฒนา","13","5","38.46"
"10664  :  โรงพยาบาลพระปกเกล้า","197","60","30.46"
"10834  :  โรงพยาบาลขลุง","21","10","47.62"
"10835  :  โรงพยาบาลท่าใหม่","2","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","0","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","21","2","9.52"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","67","8","11.94"
"10839  :  โรงพยาบาลมะขาม","32","8","25.00"
"10840  :  โรงพยาบาลแหลมสิงห์","5","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","9","1","11.11"
"10842  :  โรงพยาบาลแก่งหางแมว","25","10","40.00"
"10843  :  โรงพยาบาลนายายอาม","37","8","21.62"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","27","5","18.52"
"10696  :  โรงพยาบาลตราด","87","37","42.53"
"10845  :  โรงพยาบาลคลองใหญ่","59","11","18.64"
"10846  :  โรงพยาบาลเขาสมิง","54","17","31.48"
"10847  :  โรงพยาบาลบ่อไร่","64","14","21.88"
"10848  :  โรงพยาบาลแหลมงอบ","36","9","25.00"
"10849  :  โรงพยาบาลเกาะกูด","12","0","0.00"
"13816  :  โรงพยาบาลเกาะช้าง","4","2","50.00"
"10697  :  โรงพยาบาลพุทธโสธร","29","5","17.24"
"10833  :  โรงพยาบาลท่าตะเกียบ","142","54","38.03"
"10850  :  โรงพยาบาลบางคล้า","26","7","26.92"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","68","22","32.35"
"10852  :  โรงพยาบาลบางปะกง","12","5","41.67"
"10853  :  โรงพยาบาลบ้านโพธิ์","67","32","47.76"
"10854  :  โรงพยาบาลพนมสารคาม","86","13","15.12"
"10855  :  โรงพยาบาลสนามชัยเขต","61","23","37.70"
"10856  :  โรงพยาบาลแปลงยาว","159","50","31.45"
"13747  :  โรงพยาบาลราชสาส์น","36","3","8.33"
"31327  :  โรงพยาบาลคลองเขื่อน","31","7","22.58"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","2","1","50.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","89","19","21.35"
"10858  :  โรงพยาบาลนาดี","0","0","0.00"
"10859  :  โรงพยาบาลบ้านสร้าง","34","2","5.88"
"10860  :  โรงพยาบาลประจันตคาม","0","0","0.00"
"10861  :  โรงพยาบาลศรีมหาโพธิ","0","0","0.00"
"10862  :  โรงพยาบาลศรีมโหสถ","6","2","33.33"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","0","0","0.00"
"10698  :  โรงพยาบาลนครนายก","83","12","14.46"
"10863  :  โรงพยาบาลปากพลี","20","4","20.00"
"10864  :  โรงพยาบาลบ้านนา","43","9","20.93"
"10865  :  โรงพยาบาลองครักษ์","16","3","18.75"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","227","70","30.84"
"10866  :  โรงพยาบาลคลองหาด","90","13","14.44"
"10867  :  โรงพยาบาลตาพระยา","23","4","17.39"
"10868  :  โรงพยาบาลวังน้ำเย็น","70","19","27.14"
"10869  :  โรงพยาบาลวัฒนานคร","51","9","17.65"
"10870  :  โรงพยาบาลอรัญประเทศ","85","23","27.06"
"13817  :  โรงพยาบาลเขาฉกรรจ์","49","16","32.65"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","55","5","9.09"
"10871  :  โรงพยาบาลครบุรี","79","18","22.78"
"10872  :  โรงพยาบาลเสิงสาง","40","17","42.50"
"10873  :  โรงพยาบาลคง","18","9","50.00"
"10874  :  โรงพยาบาลบ้านเหลื่อม","11","3","27.27"
"10875  :  โรงพยาบาลจักราช","20","5","25.00"
"10876  :  โรงพยาบาลโชคชัย","34","13","38.24"
"10877  :  โรงพยาบาลด่านขุนทด","86","39","45.35"
"10878  :  โรงพยาบาลโนนไทย","27","8","29.63"
"10879  :  โรงพยาบาลโนนสูง","29","6","20.69"
"10880  :  โรงพยาบาลขามสะแกแสง","26","7","26.92"
"10881  :  โรงพยาบาลบัวใหญ่","5","2","40.00"
"10882  :  โรงพยาบาลประทาย","1","0","0.00"
"10883  :  โรงพยาบาลปักธงชัย","66","19","28.79"
"10884  :  โรงพยาบาลพิมาย","69","26","37.68"
"10885  :  โรงพยาบาลห้วยแถลง","93","24","25.81"
"10886  :  โรงพยาบาลชุมพวง","26","8","30.77"
"10887  :  โรงพยาบาลสูงเนิน","66","5","7.58"
"10888  :  โรงพยาบาลขามทะเลสอ","4","1","25.00"
"10889  :  โรงพยาบาลสีคิ้ว","42","8","19.05"
"10890  :  โรงพยาบาลปากช่องนานา","182","59","32.42"
"10891  :  โรงพยาบาลหนองบุญมาก","0","0","0.00"
"10892  :  โรงพยาบาลแก้งสนามนาง","41","15","36.59"
"10893  :  โรงพยาบาลโนนแดง","1","0","0.00"
"10894  :  โรงพยาบาลวังน้ำเขียว","12","2","16.67"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","2","1","50.00"
"11608  :  โรงพยาบาลลำทะเมนชัย","3","0","0.00"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","1","1","100.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","1","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","0","0.00"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","25","8","32.00"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","103","24","23.30"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","0","0.00"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","11","2","18.18"
"27839  :  โรงพยาบาลบัวลาย","2","2","100.00"
"27840  :  โรงพยาบาลสีดา","1","0","0.00"
"27841  :  โรงพยาบาลเทพารักษ์","39","16","41.03"
"10667  :  โรงพยาบาลบุรีรัมย์","272","119","43.75"
"10895  :  โรงพยาบาลคูเมือง","224","45","20.09"
"10896  :  โรงพยาบาลกระสัง","79","34","43.04"
"10897  :  โรงพยาบาลนางรอง","0","0","0.00"
"10898  :  โรงพยาบาลหนองกี่","27","9","33.33"
"10899  :  โรงพยาบาลละหานทราย","128","41","32.03"
"10900  :  โรงพยาบาลประโคนชัย","20","0","0.00"
"10901  :  โรงพยาบาลบ้านกรวด","233","43","18.45"
"10902  :  โรงพยาบาลพุทไธสง","79","24","30.38"
"10904  :  โรงพยาบาลลำปลายมาศ","31","14","45.16"
"10905  :  โรงพยาบาลสตึก","175","90","51.43"
"10906  :  โรงพยาบาลปะคำ","131","12","9.16"
"10907  :  โรงพยาบาลนาโพธิ์","0","0","0.00"
"10908  :  โรงพยาบาลหนองหงส์","45","5","11.11"
"10909  :  โรงพยาบาลพลับพลาชัย","117","11","9.40"
"10910  :  โรงพยาบาลห้วยราช","17","0","0.00"
"10911  :  โรงพยาบาลโนนสุวรรณ","96","8","8.33"
"10912  :  โรงพยาบาลชำนิ","37","13","35.14"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","55","11","20.00"
"10914  :  โรงพยาบาลโนนดินแดง","0","0","0.00"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","0","0","0.00"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","1","1","100.00"
"23578  :  โรงพยาบาลแคนดง","13","4","30.77"
"28020  :  โรงพยาบาลบ้านด่าน","25","13","52.00"
"10668  :  โรงพยาบาลสุรินทร์","53","24","45.28"
"10915  :  โรงพยาบาลชุมพลบุรี","29","7","24.14"
"10916  :  โรงพยาบาลท่าตูม","52","28","53.85"
"10917  :  โรงพยาบาลจอมพระ","23","10","43.48"
"10918  :  โรงพยาบาลปราสาท","196","95","48.47"
"10919  :  โรงพยาบาลกาบเชิง","45","8","17.78"
"10920  :  โรงพยาบาลรัตนบุรี","144","48","33.33"
"10921  :  โรงพยาบาลสนม","26","9","34.62"
"10922  :  โรงพยาบาลศีขรภูมิ","23","7","30.43"
"10923  :  โรงพยาบาลสังขะ","94","30","31.91"
"10924  :  โรงพยาบาลลำดวน","8","1","12.50"
"10925  :  โรงพยาบาลสำโรงทาบ","109","32","29.36"
"10926  :  โรงพยาบาลบัวเชด","135","40","29.63"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","0","0","0.00"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","107","30","28.04"
"27842  :  โรงพยาบาลเขวาสินรินทร์","14","2","14.29"
"27843  :  โรงพยาบาลศรีณรงค์","7","4","57.14"
"27844  :  โรงพยาบาลโนนนารายณ์","6","1","16.67"
"10700  :  โรงพยาบาลศรีสะเกษ","195","73","37.44"
"10927  :  โรงพยาบาลยางชุมน้อย","14","1","7.14"
"10928  :  โรงพยาบาลกันทรารมย์","33","5","15.15"
"10929  :  โรงพยาบาลกันทรลักษ์","1","1","100.00"
"10930  :  โรงพยาบาลขุขันธ์","152","73","48.03"
"10931  :  โรงพยาบาลไพรบึง","55","14","25.45"
"10932  :  โรงพยาบาลปรางค์กู่","27","8","29.63"
"10933  :  โรงพยาบาลขุนหาญ","116","51","43.97"
"10934  :  โรงพยาบาลราษีไศล","57","26","45.61"
"10935  :  โรงพยาบาลอุทุมพรพิสัย","158","46","29.11"
"10936  :  โรงพยาบาลบึงบูรพ์","29","2","6.90"
"10937  :  โรงพยาบาลห้วยทับทัน","80","14","17.50"
"10938  :  โรงพยาบาลโนนคูณ","50","1","2.00"
"10939  :  โรงพยาบาลศรีรัตนะ","16","9","56.25"
"10940  :  โรงพยาบาลวังหิน","16","3","18.75"
"10941  :  โรงพยาบาลน้ำเกลี้ยง","0","0","0.00"
"10942  :  โรงพยาบาลภูสิงห์","32","5","15.63"
"10943  :  โรงพยาบาลเมืองจันทร์","8","0","0.00"
"23125  :  โรงพยาบาลเบญจลักษ์เฉลิมพระเกียรติ 80 พรรษา","28","6","21.43"
"28014  :  โรงพยาบาลพยุห์","17","2","11.76"
"28015  :  โรงพยาบาลโพธิ์ศรีสุวรรณ","0","0","0.00"
"28016  :  โรงพยาบาลศิลาลาด","0","0","0.00"
"10669  :  โรงพยาบาลสรรพสิทธิประสงค์","0","0","0.00"
"10944  :  โรงพยาบาลศรีเมืองใหม่","125","42","33.60"
"10945  :  โรงพยาบาลโขงเจียม","110","41","37.27"
