"โรงพยาบาล","จำนวนที่ได้รับการเจาะเลือดตรวจHematocrit/Hemoglobin","จำนวนที่พบภาวะโลหิตจาง","อัตรา"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","759","311","40.97"
"10752  :  โรงพยาบาลบางบ่อ","116","55","47.41"
"10753  :  โรงพยาบาลบางพลี","204","99","48.53"
"10754  :  โรงพยาบาลบางจาก","193","61","31.61"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","219","71","32.42"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","160","22","13.75"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","21","1","4.76"
"28785  :  โรงพยาบาลบางเสาธง","45","22","48.89"
"10686  :  โรงพยาบาลพระนั่งเกล้า","1","1","100.00"
"10756  :  โรงพยาบาลบางกรวย","0","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","16","7","43.75"
"10758  :  โรงพยาบาลบางบัวทอง","78","23","29.49"
"10759  :  โรงพยาบาลไทรน้อย","232","86","37.07"
"10760  :  โรงพยาบาลปากเกร็ด","0","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","6","4","66.67"
"10687  :  โรงพยาบาลปทุมธานี","163","65","39.88"
"10761  :  โรงพยาบาลคลองหลวง","1","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","122","50","40.98"
"10763  :  โรงพยาบาลประชาธิปัตย์","0","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","0","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","0","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","169","36","21.30"
"10767  :  โรงพยาบาลสามโคก","0","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","455","169","37.14"
"10688  :  โรงพยาบาลเสนา","0","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","45","15","33.33"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","32","7","21.88"
"10770  :  โรงพยาบาลบางไทร","55","8","14.55"
"10771  :  โรงพยาบาลบางบาล","26","10","38.46"
"10772  :  โรงพยาบาลบางปะอิน","4","2","50.00"
"10773  :  โรงพยาบาลบางปะหัน","53","17","32.08"
"10774  :  โรงพยาบาลผักไห่","43","14","32.56"
"10775  :  โรงพยาบาลภาชี","138","31","22.46"
"10776  :  โรงพยาบาลลาดบัวหลวง","30","7","23.33"
"10777  :  โรงพยาบาลวังน้อย","195","102","52.31"
"10778  :  โรงพยาบาลบางซ้าย","27","4","14.81"
"10779  :  โรงพยาบาลอุทัย","2","2","100.00"
"10780  :  โรงพยาบาลมหาราช","19","1","5.26"
"10781  :  โรงพยาบาลบ้านแพรก","2","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","138","56","40.58"
"10782  :  โรงพยาบาลไชโย","12","1","8.33"
"10784  :  โรงพยาบาลป่าโมก","1","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","0","0","0.00"
"10786  :  โรงพยาบาลแสวงหา","0","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","42","21","50.00"
"10788  :  โรงพยาบาลสามโก้","8","4","50.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","569","138","24.25"
"10691  :  โรงพยาบาลบ้านหมี่","13","4","30.77"
"10789  :  โรงพยาบาลพัฒนานิคม","104","11","10.58"
"10790  :  โรงพยาบาลโคกสำโรง","193","21","10.88"
"10791  :  โรงพยาบาลชัยบาดาล","262","45","17.18"
"10792  :  โรงพยาบาลท่าวุ้ง","171","41","23.98"
"10793  :  โรงพยาบาลท่าหลวง","102","19","18.63"
"10794  :  โรงพยาบาลสระโบสถ์","13","3","23.08"
"10795  :  โรงพยาบาลโคกเจริญ","68","15","22.06"
"10796  :  โรงพยาบาลลำสนธิ","91","23","25.27"
"10797  :  โรงพยาบาลหนองม่วง","74","24","32.43"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","127","28","22.05"
"10693  :  โรงพยาบาลอินทร์บุรี","19","8","42.11"
"10798  :  โรงพยาบาลบางระจัน","0","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","32","4","12.50"
"10800  :  โรงพยาบาลพรหมบุรี","7","1","14.29"
"10801  :  โรงพยาบาลท่าช้าง","11","1","9.09"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","125","48","38.40"
"10802  :  โรงพยาบาลมโนรมย์","39","7","17.95"
"10803  :  โรงพยาบาลวัดสิงห์","0","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","13","2","15.38"
"10805  :  โรงพยาบาลสรรคบุรี","127","40","31.50"
"10806  :  โรงพยาบาลหันคา","57","29","50.88"
"27974  :  โรงพยาบาลหนองมะโมง","41","8","19.51"
"27975  :  โรงพยาบาลเนินขาม","12","5","41.67"
"10661  :  โรงพยาบาลสระบุรี","404","265","65.59"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","3","2","66.67"
"10808  :  โรงพยาบาลหนองแค","26","22","84.62"
"10809  :  โรงพยาบาลวิหารแดง","45","5","11.11"
"10810  :  โรงพยาบาลหนองแซง","3","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","16","7","43.75"
"10812  :  โรงพยาบาลดอนพุด","41","2","4.88"
"10813  :  โรงพยาบาลหนองโดน","7","4","57.14"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","6","3","50.00"
"10815  :  โรงพยาบาลมวกเหล็ก","0","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","0","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","1","1","100.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","395","114","28.86"
"10818  :  โรงพยาบาลหนองใหญ่","129","31","24.03"
"10819  :  โรงพยาบาลบางละมุง","1,430","674","47.13"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","90","23","25.56"
"10821  :  โรงพยาบาลพานทอง","564","172","30.50"
"10822  :  โรงพยาบาลพนัสนิคม","308","135","43.83"
"10823  :  โรงพยาบาลแหลมฉบัง","534","136","25.47"
"10824  :  โรงพยาบาลเกาะสีชัง","27","6","22.22"
"10825  :  โรงพยาบาลสัตหีบกม10","158","29","18.35"
"10826  :  โรงพยาบาลบ่อทอง","168","67","39.88"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","19","1","5.26"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","1","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","414","206","49.76"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","65","19","29.23"
"28005  :  โรงพยาบาลเมืองพัทยา","436","120","27.52"
"28006  :  โรงพยาบาลเกาะจันทร์","139","46","33.09"
"10663  :  โรงพยาบาลระยอง","117","30","25.64"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","310","79","25.48"
"10828  :  โรงพยาบาลบ้านฉาง","353","95","26.91"
"10829  :  โรงพยาบาลแกลง","412","110","26.70"
"10830  :  โรงพยาบาลวังจันทร์","113","37","32.74"
"10831  :  โรงพยาบาลบ้านค่าย","118","37","31.36"
"10832  :  โรงพยาบาลปลวกแดง","172","35","20.35"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","54","25","46.30"
"23962  :  โรงพยาบาลนิคมพัฒนา","81","20","24.69"
"10664  :  โรงพยาบาลพระปกเกล้า","523","190","36.33"
"10834  :  โรงพยาบาลขลุง","14","10","71.43"
"10835  :  โรงพยาบาลท่าใหม่","13","7","53.85"
"10836  :  โรงพยาบาลเขาสุกิม","0","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","91","20","21.98"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","142","40","28.17"
"10839  :  โรงพยาบาลมะขาม","98","33","33.67"
"10840  :  โรงพยาบาลแหลมสิงห์","14","4","28.57"
"10841  :  โรงพยาบาลสอยดาว","52","30","57.69"
"10842  :  โรงพยาบาลแก่งหางแมว","59","24","40.68"
"10843  :  โรงพยาบาลนายายอาม","115","41","35.65"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","81","10","12.35"
"10696  :  โรงพยาบาลตราด","325","136","41.85"
"10845  :  โรงพยาบาลคลองใหญ่","117","28","23.93"
"10846  :  โรงพยาบาลเขาสมิง","129","37","28.68"
"10847  :  โรงพยาบาลบ่อไร่","120","26","21.67"
"10848  :  โรงพยาบาลแหลมงอบ","36","3","8.33"
"10849  :  โรงพยาบาลเกาะกูด","0","0","0.00"
"13816  :  โรงพยาบาลเกาะช้าง","33","9","27.27"
"10697  :  โรงพยาบาลพุทธโสธร","147","34","23.13"
"10833  :  โรงพยาบาลท่าตะเกียบ","277","76","27.44"
"10850  :  โรงพยาบาลบางคล้า","69","16","23.19"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","364","131","35.99"
"10852  :  โรงพยาบาลบางปะกง","113","47","41.59"
"10853  :  โรงพยาบาลบ้านโพธิ์","123","48","39.02"
"10854  :  โรงพยาบาลพนมสารคาม","242","84","34.71"
"10855  :  โรงพยาบาลสนามชัยเขต","210","88","41.90"
"10856  :  โรงพยาบาลแปลงยาว","326","163","50.00"
"13747  :  โรงพยาบาลราชสาส์น","81","10","12.35"
"31327  :  โรงพยาบาลคลองเขื่อน","37","8","21.62"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","0","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","205","66","32.20"
"10858  :  โรงพยาบาลนาดี","143","17","11.89"
"10859  :  โรงพยาบาลบ้านสร้าง","38","5","13.16"
"10860  :  โรงพยาบาลประจันตคาม","40","0","0.00"
"10861  :  โรงพยาบาลศรีมหาโพธิ","9","2","22.22"
"10862  :  โรงพยาบาลศรีมโหสถ","108","12","11.11"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","0","0","0.00"
"10698  :  โรงพยาบาลนครนายก","148","57","38.51"
"10863  :  โรงพยาบาลปากพลี","22","0","0.00"
"10864  :  โรงพยาบาลบ้านนา","62","11","17.74"
"10865  :  โรงพยาบาลองครักษ์","72","17","23.61"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","547","181","33.09"
"10866  :  โรงพยาบาลคลองหาด","192","38","19.79"
"10867  :  โรงพยาบาลตาพระยา","35","12","34.29"
"10868  :  โรงพยาบาลวังน้ำเย็น","228","46","20.18"
"10869  :  โรงพยาบาลวัฒนานคร","130","30","23.08"
"10870  :  โรงพยาบาลอรัญประเทศ","168","26","15.48"
"13817  :  โรงพยาบาลเขาฉกรรจ์","192","58","30.21"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","230","71","30.87"
"10872  :  โรงพยาบาลเสิงสาง","138","70","50.72"
"10873  :  โรงพยาบาลคง","178","54","30.34"
"10874  :  โรงพยาบาลบ้านเหลื่อม","67","24","35.82"
"10875  :  โรงพยาบาลจักราช","139","67","48.20"
"10876  :  โรงพยาบาลโชคชัย","112","51","45.54"
"10877  :  โรงพยาบาลด่านขุนทด","234","119","50.85"
"10878  :  โรงพยาบาลโนนไทย","184","75","40.76"
"10879  :  โรงพยาบาลโนนสูง","228","59","25.88"
"10880  :  โรงพยาบาลขามสะแกแสง","74","19","25.68"
"10881  :  โรงพยาบาลบัวใหญ่","18","6","33.33"
"10882  :  โรงพยาบาลประทาย","8","2","25.00"
"10883  :  โรงพยาบาลปักธงชัย","237","120","50.63"
"10884  :  โรงพยาบาลพิมาย","294","93","31.63"
"10885  :  โรงพยาบาลห้วยแถลง","202","75","37.13"
"10886  :  โรงพยาบาลชุมพวง","132","57","43.18"
"10887  :  โรงพยาบาลสูงเนิน","180","50","27.78"
"10888  :  โรงพยาบาลขามทะเลสอ","43","20","46.51"
"10889  :  โรงพยาบาลสีคิ้ว","177","51","28.81"
"10890  :  โรงพยาบาลปากช่องนานา","719","265","36.86"
"10891  :  โรงพยาบาลหนองบุญมาก","85","44","51.76"
"10892  :  โรงพยาบาลแก้งสนามนาง","52","25","48.08"
"10893  :  โรงพยาบาลโนนแดง","7","2","28.57"
"10894  :  โรงพยาบาลวังน้ำเขียว","35","16","45.71"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","16","5","31.25"
"11608  :  โรงพยาบาลลำทะเมนชัย","55","6","10.91"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","1","0","0.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","0","0.00"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","104","43","41.35"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","312","82","26.28"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","0","0.00"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","59","21","35.59"
"27839  :  โรงพยาบาลบัวลาย","19","6","31.58"
"27840  :  โรงพยาบาลสีดา","3","0","0.00"
"27841  :  โรงพยาบาลเทพารักษ์","112","17","15.18"
"10667  :  โรงพยาบาลบุรีรัมย์","0","0","0.00"
"10895  :  โรงพยาบาลคูเมือง","91","15","16.48"
"10896  :  โรงพยาบาลกระสัง","135","121","89.63"
"10897  :  โรงพยาบาลนางรอง","0","0","0.00"
"10898  :  โรงพยาบาลหนองกี่","174","70","40.23"
"10899  :  โรงพยาบาลละหานทราย","0","0","0.00"
"10900  :  โรงพยาบาลประโคนชัย","24","9","37.50"
"10901  :  โรงพยาบาลบ้านกรวด","448","95","21.21"
"10902  :  โรงพยาบาลพุทไธสง","100","29","29.00"
"10904  :  โรงพยาบาลลำปลายมาศ","1","0","0.00"
"10905  :  โรงพยาบาลสตึก","214","104","48.60"
"10906  :  โรงพยาบาลปะคำ","168","14","8.33"
"10907  :  โรงพยาบาลนาโพธิ์","0","0","0.00"
"10908  :  โรงพยาบาลหนองหงส์","85","13","15.29"
"10909  :  โรงพยาบาลพลับพลาชัย","142","45","31.69"
"10910  :  โรงพยาบาลห้วยราช","2","1","50.00"
"10911  :  โรงพยาบาลโนนสุวรรณ","83","26","31.33"
"10912  :  โรงพยาบาลชำนิ","135","46","34.07"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","142","51","35.92"
"10914  :  โรงพยาบาลโนนดินแดง","0","0","0.00"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","0","0","0.00"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","94","37","39.36"
"23578  :  โรงพยาบาลแคนดง","35","17","48.57"
"28020  :  โรงพยาบาลบ้านด่าน","0","0","0.00"
"10668  :  โรงพยาบาลสุรินทร์","268","120","44.78"
"10915  :  โรงพยาบาลชุมพลบุรี","65","31","47.69"
"10916  :  โรงพยาบาลท่าตูม","190","97","51.05"
"10917  :  โรงพยาบาลจอมพระ","69","13","18.84"
"10918  :  โรงพยาบาลปราสาท","375","191","50.93"
"10919  :  โรงพยาบาลกาบเชิง","126","58","46.03"
"10920  :  โรงพยาบาลรัตนบุรี","196","97","49.49"
"10921  :  โรงพยาบาลสนม","47","10","21.28"
"10922  :  โรงพยาบาลศีขรภูมิ","127","73","57.48"
"10923  :  โรงพยาบาลสังขะ","0","0","0.00"
"10924  :  โรงพยาบาลลำดวน","57","32","56.14"
"10925  :  โรงพยาบาลสำโรงทาบ","152","52","34.21"
"10926  :  โรงพยาบาลบัวเชด","238","110","46.22"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","0","0","0.00"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","148","68","45.95"
"27842  :  โรงพยาบาลเขวาสินรินทร์","66","28","42.42"
"27843  :  โรงพยาบาลศรีณรงค์","47","20","42.55"
"27844  :  โรงพยาบาลโนนนารายณ์","32","7","21.88"
"10700  :  โรงพยาบาลศรีสะเกษ","292","105","35.96"
"10927  :  โรงพยาบาลยางชุมน้อย","1","1","100.00"
"10928  :  โรงพยาบาลกันทรารมย์","61","1","1.64"
"10929  :  โรงพยาบาลกันทรลักษ์","63","4","6.35"
"10930  :  โรงพยาบาลขุขันธ์","274","118","43.07"
"10931  :  โรงพยาบาลไพรบึง","96","17","17.71"
"10932  :  โรงพยาบาลปรางค์กู่","32","4","12.50"
"10933  :  โรงพยาบาลขุนหาญ","273","132","48.35"
"10934  :  โรงพยาบาลราษีไศล","126","44","34.92"
"10935  :  โรงพยาบาลอุทุมพรพิสัย","331","104","31.42"
"10936  :  โรงพยาบาลบึงบูรพ์","30","1","3.33"
"10937  :  โรงพยาบาลห้วยทับทัน","177","27","15.25"
"10938  :  โรงพยาบาลโนนคูณ","20","0","0.00"
"10939  :  โรงพยาบาลศรีรัตนะ","1","0","0.00"
"10940  :  โรงพยาบาลวังหิน","37","8","21.62"
"10941  :  โรงพยาบาลน้ำเกลี้ยง","4","1","25.00"
"10942  :  โรงพยาบาลภูสิงห์","75","14","18.67"
"10943  :  โรงพยาบาลเมืองจันทร์","22","4","18.18"
"23125  :  โรงพยาบาลเบญจลักษ์เฉลิมพระเกียรติ 80 พรรษา","7","2","28.57"
"28014  :  โรงพยาบาลพยุห์","29","4","13.79"
"28015  :  โรงพยาบาลโพธิ์ศรีสุวรรณ","7","0","0.00"
"28016  :  โรงพยาบาลศิลาลาด","15","6","40.00"
"10669  :  โรงพยาบาลสรรพสิทธิประสงค์","0","0","0.00"
"10944  :  โรงพยาบาลศรีเมืองใหม่","0","0","0.00"
"10945  :  โรงพยาบาลโขงเจียม","167","54","32.34"
