"โรงพยาบาล","จำนวน(ราย)"
"บำบัดเหล้า(F10.0 - F10.9)","บำบัดบุหรี่(F17.1 - 17.2)","บำบัดบุหรี่(F17.1 - 17.2 + Z508 1 ครั้ง)","บำบัดบุหรี่(F17.1 - 17.2 + Z508 2 ครั้งขึ้นไป)"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0"
"10685  :  โรงพยาบาลสมุทรปราการ","301","0","0","0"
"10752  :  โรงพยาบาลบางบ่อ","119","0","0","0"
"10753  :  โรงพยาบาลบางพลี","174","0","0","0"
"10754  :  โรงพยาบาลบางจาก","65","0","0","0"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","48","0","0","0"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","4","0","0","0"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","2","0","0","0"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","23","9","0","0"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","6","0","0","0"
"28785  :  โรงพยาบาลบางเสาธง","0","0","0","0"
"10686  :  โรงพยาบาลพระนั่งเกล้า","451","47","24","2"
"10756  :  โรงพยาบาลบางกรวย","52","15","0","0"
"10757  :  โรงพยาบาลบางใหญ่","130","0","0","0"
"10758  :  โรงพยาบาลบางบัวทอง","96","2","0","0"
"10759  :  โรงพยาบาลไทรน้อย","62","0","0","0"
"10760  :  โรงพยาบาลปากเกร็ด","71","1","0","0"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0"
"12260  :  โรงพยาบาลศรีธัญญา","1,492","30","0","0"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","177","1","0","0"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0","0"
"10687  :  โรงพยาบาลปทุมธานี","305","4","0","0"
"10761  :  โรงพยาบาลคลองหลวง","86","0","0","0"
"10762  :  โรงพยาบาลธัญบุรี","63","0","0","0"
"10763  :  โรงพยาบาลประชาธิปัตย์","41","0","0","0"
"10764  :  โรงพยาบาลหนองเสือ","26","1","0","0"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","25","0","0","0"
"10766  :  โรงพยาบาลลำลูกกา","98","214","0","0"
"10767  :  โรงพยาบาลสามโคก","35","1","0","0"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","230","23","0","0"
"10688  :  โรงพยาบาลเสนา","78","3","0","0"
"10768  :  โรงพยาบาลท่าเรือ","117","0","0","0"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","49","0","0","0"
"10770  :  โรงพยาบาลบางไทร","65","0","0","0"
"10771  :  โรงพยาบาลบางบาล","11","0","0","0"
"10772  :  โรงพยาบาลบางปะอิน","49","29","0","0"
"10773  :  โรงพยาบาลบางปะหัน","73","1","0","0"
"10774  :  โรงพยาบาลผักไห่","46","5","0","0"
"10775  :  โรงพยาบาลภาชี","40","0","0","0"
"10776  :  โรงพยาบาลลาดบัวหลวง","45","0","0","0"
"10777  :  โรงพยาบาลวังน้อย","68","0","0","0"
"10778  :  โรงพยาบาลบางซ้าย","18","0","0","0"
"10779  :  โรงพยาบาลอุทัย","60","1","0","0"
"10780  :  โรงพยาบาลมหาราช","52","3","0","0"
"10781  :  โรงพยาบาลบ้านแพรก","19","0","0","0"
"10689  :  โรงพยาบาลอ่างทอง","75","19","0","0"
"10782  :  โรงพยาบาลไชโย","31","37","1","4"
"10784  :  โรงพยาบาลป่าโมก","83","179","5","1"
"10785  :  โรงพยาบาลโพธิ์ทอง","82","1","0","0"
"10786  :  โรงพยาบาลแสวงหา","16","42","10","26"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","117","0","0","0"
"10788  :  โรงพยาบาลสามโก้","13","0","0","0"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","352","0","0","0"
"10691  :  โรงพยาบาลบ้านหมี่","217","1","0","0"
"10789  :  โรงพยาบาลพัฒนานิคม","170","2","0","0"
"10790  :  โรงพยาบาลโคกสำโรง","222","0","0","0"
"10791  :  โรงพยาบาลชัยบาดาล","133","0","0","0"
"10792  :  โรงพยาบาลท่าวุ้ง","74","1","0","0"
"10793  :  โรงพยาบาลท่าหลวง","87","1","0","0"
"10794  :  โรงพยาบาลสระโบสถ์","77","2","0","0"
"10795  :  โรงพยาบาลโคกเจริญ","33","0","0","0"
"10796  :  โรงพยาบาลลำสนธิ","36","0","0","0"
"10797  :  โรงพยาบาลหนองม่วง","29","0","0","0"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","1","0","0","0"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0"
"10692  :  โรงพยาบาลสิงห์บุรี","155","224","19","9"
"10693  :  โรงพยาบาลอินทร์บุรี","113","110","0","1"
"10798  :  โรงพยาบาลบางระจัน","46","73","5","2"
"10799  :  โรงพยาบาลค่ายบางระจัน","21","0","0","0"
"10800  :  โรงพยาบาลพรหมบุรี","33","19","2","1"
"10801  :  โรงพยาบาลท่าช้าง","32","2","0","0"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","231","0","0","0"
"10802  :  โรงพยาบาลมโนรมย์","89","0","0","0"
"10803  :  โรงพยาบาลวัดสิงห์","77","0","0","0"
"10804  :  โรงพยาบาลสรรพยา","48","0","0","0"
"10805  :  โรงพยาบาลสรรคบุรี","82","3","0","0"
"10806  :  โรงพยาบาลหันคา","127","3","0","0"
"27974  :  โรงพยาบาลหนองมะโมง","27","0","0","0"
"27975  :  โรงพยาบาลเนินขาม","16","0","0","0"
"10661  :  โรงพยาบาลสระบุรี","432","6","0","0"
"10695  :  โรงพยาบาลพระพุทธบาท","239","56","0","0"
"10807  :  โรงพยาบาลแก่งคอย","115","0","0","0"
"10808  :  โรงพยาบาลหนองแค","63","1","0","0"
"10809  :  โรงพยาบาลวิหารแดง","33","0","0","0"
"10810  :  โรงพยาบาลหนองแซง","17","1","0","0"
"10811  :  โรงพยาบาลบ้านหมอ","29","0","0","0"
"10812  :  โรงพยาบาลดอนพุด","26","5","1","0"
"10813  :  โรงพยาบาลหนองโดน","11","0","0","0"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","26","0","0","0"
"10815  :  โรงพยาบาลมวกเหล็ก","92","0","0","0"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","41","0","0","0"
"11485  :  โรงพยาบาลค่ายอดิศร","11","0","0","0"
"10662  :  โรงพยาบาลชลบุรี","208","16","0","0"
"10817  :  โรงพยาบาลบ้านบึง","182","0","0","0"
"10818  :  โรงพยาบาลหนองใหญ่","64","1","0","0"
"10819  :  โรงพยาบาลบางละมุง","520","27","0","0"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","20","0","0","0"
"10821  :  โรงพยาบาลพานทอง","91","0","0","0"
"10822  :  โรงพยาบาลพนัสนิคม","54","2","0","0"
"10823  :  โรงพยาบาลแหลมฉบัง","132","0","0","0"
"10824  :  โรงพยาบาลเกาะสีชัง","7","0","0","0"
"10825  :  โรงพยาบาลสัตหีบกม10","26","0","0","0"
"10826  :  โรงพยาบาลบ่อทอง","49","0","0","0"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","2","0","0","0"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0","0"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","218","97","0","0"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0","0"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0","0"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","14","1","0","0"
"28005  :  โรงพยาบาลเมืองพัทยา","57","0","0","0"
"28006  :  โรงพยาบาลเกาะจันทร์","81","0","0","0"
"10663  :  โรงพยาบาลระยอง","396","140","0","0"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","65","0","0","0"
"10828  :  โรงพยาบาลบ้านฉาง","36","0","0","0"
"10829  :  โรงพยาบาลแกลง","62","0","0","0"
"10830  :  โรงพยาบาลวังจันทร์","42","20","0","0"
"10831  :  โรงพยาบาลบ้านค่าย","127","1","0","0"
"10832  :  โรงพยาบาลปลวกแดง","21","0","0","0"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","27","0","0","0"
"23962  :  โรงพยาบาลนิคมพัฒนา","30","0","0","0"
"10664  :  โรงพยาบาลพระปกเกล้า","118","15","0","0"
"10834  :  โรงพยาบาลขลุง","114","0","0","0"
"10835  :  โรงพยาบาลท่าใหม่","61","0","0","0"
"10836  :  โรงพยาบาลเขาสุกิม","67","0","0","0"
"10837  :  โรงพยาบาลสองพี่น้อง","38","0","0","0"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","67","0","0","0"
"10839  :  โรงพยาบาลมะขาม","98","0","0","0"
"10840  :  โรงพยาบาลแหลมสิงห์","51","0","0","0"
"10841  :  โรงพยาบาลสอยดาว","196","0","0","0"
"10842  :  โรงพยาบาลแก่งหางแมว","43","0","0","0"
"10843  :  โรงพยาบาลนายายอาม","57","0","0","0"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","101","0","0","0"
"10696  :  โรงพยาบาลตราด","118","420","259","101"
"10845  :  โรงพยาบาลคลองใหญ่","32","0","0","0"
"10846  :  โรงพยาบาลเขาสมิง","122","0","0","0"
"10847  :  โรงพยาบาลบ่อไร่","60","0","0","0"
"10848  :  โรงพยาบาลแหลมงอบ","34","21","0","0"
"10849  :  โรงพยาบาลเกาะกูด","7","1","0","0"
"13816  :  โรงพยาบาลเกาะช้าง","8","0","0","0"
"10697  :  โรงพยาบาลพุทธโสธร","108","1","0","0"
"10833  :  โรงพยาบาลท่าตะเกียบ","73","1","0","0"
"10850  :  โรงพยาบาลบางคล้า","66","3","0","0"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","28","0","0","0"
"10852  :  โรงพยาบาลบางปะกง","74","5","0","0"
"10853  :  โรงพยาบาลบ้านโพธิ์","39","0","0","0"
"10854  :  โรงพยาบาลพนมสารคาม","102","0","0","0"
"10855  :  โรงพยาบาลสนามชัยเขต","91","0","0","0"
"10856  :  โรงพยาบาลแปลงยาว","75","0","0","0"
"13747  :  โรงพยาบาลราชสาส์น","8","0","0","0"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0","0"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","388","147","0","0"
"10857  :  โรงพยาบาลกบินทร์บุรี","369","11","2","0"
"10858  :  โรงพยาบาลนาดี","50","0","0","0"
"10859  :  โรงพยาบาลบ้านสร้าง","26","0","0","0"
"10860  :  โรงพยาบาลประจันตคาม","108","0","0","0"
"10861  :  โรงพยาบาลศรีมหาโพธิ","94","4","0","0"
"10862  :  โรงพยาบาลศรีมโหสถ","25","0","0","0"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","30","6","0","0"
"10698  :  โรงพยาบาลนครนายก","403","3","0","0"
"10863  :  โรงพยาบาลปากพลี","38","0","0","0"
"10864  :  โรงพยาบาลบ้านนา","56","0","0","0"
"10865  :  โรงพยาบาลองครักษ์","39","0","0","0"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","7","1","0","0"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","32","4","0","0"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","248","46","0","0"
"10866  :  โรงพยาบาลคลองหาด","102","10","0","0"
"10867  :  โรงพยาบาลตาพระยา","100","0","0","0"
"10868  :  โรงพยาบาลวังน้ำเย็น","206","7","0","0"
"10869  :  โรงพยาบาลวัฒนานคร","121","0","0","0"
"10870  :  โรงพยาบาลอรัญประเทศ","102","0","0","0"
"13817  :  โรงพยาบาลเขาฉกรรจ์","90","0","0","0"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","917","10","0","0"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0","0"
"10871  :  โรงพยาบาลครบุรี","0","0","0","0"
"10872  :  โรงพยาบาลเสิงสาง","0","0","0","0"
"10873  :  โรงพยาบาลคง","0","0","0","0"
"10874  :  โรงพยาบาลบ้านเหลื่อม","0","0","0","0"
"10875  :  โรงพยาบาลจักราช","0","0","0","0"
"10876  :  โรงพยาบาลโชคชัย","0","0","0","0"
"10877  :  โรงพยาบาลด่านขุนทด","0","0","0","0"
"10878  :  โรงพยาบาลโนนไทย","0","0","0","0"
"10879  :  โรงพยาบาลโนนสูง","0","0","0","0"
"10880  :  โรงพยาบาลขามสะแกแสง","0","0","0","0"
"10881  :  โรงพยาบาลบัวใหญ่","0","0","0","0"
"10882  :  โรงพยาบาลประทาย","0","0","0","0"
"10883  :  โรงพยาบาลปักธงชัย","0","0","0","0"
"10884  :  โรงพยาบาลพิมาย","0","0","0","0"
"10885  :  โรงพยาบาลห้วยแถลง","0","0","0","0"
"10886  :  โรงพยาบาลชุมพวง","0","0","0","0"
"10887  :  โรงพยาบาลสูงเนิน","0","0","0","0"
"10888  :  โรงพยาบาลขามทะเลสอ","0","0","0","0"
"10889  :  โรงพยาบาลสีคิ้ว","0","0","0","0"
"10890  :  โรงพยาบาลปากช่องนานา","0","0","0","0"
"10891  :  โรงพยาบาลหนองบุญมาก","0","0","0","0"
"10892  :  โรงพยาบาลแก้งสนามนาง","0","0","0","0"
"10893  :  โรงพยาบาลโนนแดง","0","0","0","0"
"10894  :  โรงพยาบาลวังน้ำเขียว","0","0","0","0"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0","0"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","0","0","0","0"
"11608  :  โรงพยาบาลลำทะเมนชัย","0","0","0","0"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","0","0","0","0"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","0","0","0"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0","0"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0","0"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","0","0","0"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","0","0","0","0"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","0","0","0","0"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","0","0","0"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","0","0","0","0"
"27839  :  โรงพยาบาลบัวลาย","0","0","0","0"
"27840  :  โรงพยาบาลสีดา","0","0","0","0"
"27841  :  โรงพยาบาลเทพารักษ์","0","0","0","0"
"10667  :  โรงพยาบาลบุรีรัมย์","1,518","234","104","27"
"10895  :  โรงพยาบาลคูเมือง","140","0","0","0"
"10896  :  โรงพยาบาลกระสัง","222","0","0","0"
"10897  :  โรงพยาบาลนางรอง","432","11","0","6"
"10898  :  โรงพยาบาลหนองกี่","164","0","0","0"
"10899  :  โรงพยาบาลละหานทราย","144","0","0","0"
"10900  :  โรงพยาบาลประโคนชัย","542","6","1","2"
"10901  :  โรงพยาบาลบ้านกรวด","152","2","0","0"
"10902  :  โรงพยาบาลพุทไธสง","164","0","0","0"
"10904  :  โรงพยาบาลลำปลายมาศ","442","0","0","0"
"10905  :  โรงพยาบาลสตึก","533","4","0","0"
"10906  :  โรงพยาบาลปะคำ","87","0","0","0"
"10907  :  โรงพยาบาลนาโพธิ์","75","1","0","0"
"10908  :  โรงพยาบาลหนองหงส์","77","0","0","0"
"10909  :  โรงพยาบาลพลับพลาชัย","127","62","4","5"
"10910  :  โรงพยาบาลห้วยราช","139","64","2","4"
"10911  :  โรงพยาบาลโนนสุวรรณ","119","0","0","0"
"10912  :  โรงพยาบาลชำนิ","77","1","0","1"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","53","0","0","0"
"10914  :  โรงพยาบาลโนนดินแดง","119","0","0","0"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","6","0","0","0"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","119","1","0","0"
"23578  :  โรงพยาบาลแคนดง","76","0","0","0"
"28020  :  โรงพยาบาลบ้านด่าน","39","8","8","0"
"10668  :  โรงพยาบาลสุรินทร์","1,037","19","2","3"
"10915  :  โรงพยาบาลชุมพลบุรี","133","28","0","0"
"10916  :  โรงพยาบาลท่าตูม","246","2","0","0"
"10917  :  โรงพยาบาลจอมพระ","151","207","32","24"
"10918  :  โรงพยาบาลปราสาท","756","3","0","0"
"10919  :  โรงพยาบาลกาบเชิง","192","14","1","9"
"10920  :  โรงพยาบาลรัตนบุรี","209","0","0","0"
"10921  :  โรงพยาบาลสนม","140","0","0","0"
"10922  :  โรงพยาบาลศีขรภูมิ","262","0","0","0"
"10923  :  โรงพยาบาลสังขะ","234","0","0","0"
"10924  :  โรงพยาบาลลำดวน","93","0","0","0"
"10925  :  โรงพยาบาลสำโรงทาบ","209","10","0","0"
"10926  :  โรงพยาบาลบัวเชด","126","0","0","0"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","5","345","341","1"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","78","0","0","0"
"27842  :  โรงพยาบาลเขวาสินรินทร์","62","0","0","0"
"27843  :  โรงพยาบาลศรีณรงค์","44","0","0","0"
"27844  :  โรงพยาบาลโนนนารายณ์","49","0","0","0"
"10700  :  โรงพยาบาลศรีสะเกษ","904","148","0","0"
"10927  :  โรงพยาบาลยางชุมน้อย","236","0","0","0"
"10928  :  โรงพยาบาลกันทรารมย์","223","5","0","0"
"10929  :  โรงพยาบาลกันทรลักษ์","400","19","1","2"
"10930  :  โรงพยาบาลขุขันธ์","459","1","0","0"
"10931  :  โรงพยาบาลไพรบึง","111","0","0","0"
"10932  :  โรงพยาบาลปรางค์กู่","299","4","0","0"
"10933  :  โรงพยาบาลขุนหาญ","278","0","0","0"
"10934  :  โรงพยาบาลราษีไศล","273","21","5","15"
"10935  :  โรงพยาบาลอุทุมพรพิสัย","493","4","0","0"
"10936  :  โรงพยาบาลบึงบูรพ์","35","1","0","0"
"10937  :  โรงพยาบาลห้วยทับทัน","129","2","0","0"
"10938  :  โรงพยาบาลโนนคูณ","64","0","0","0"
"10939  :  โรงพยาบาลศรีรัตนะ","140","3","0","0"
"10940  :  โรงพยาบาลวังหิน","87","5","0","0"
"10941  :  โรงพยาบาลน้ำเกลี้ยง","66","2","1","0"
"10942  :  โรงพยาบาลภูสิงห์","261","2","1","1"
"10943  :  โรงพยาบาลเมืองจันทร์","48","1","0","0"
"23125  :  โรงพยาบาลเบญจลักษ์เฉลิมพระเกียรติ 80 พรรษา","43","0","0","0"
"28014  :  โรงพยาบาลพยุห์","79","11","0","0"
