"โรงพยาบาล","จำนวนผู้ป่วยที่ส่งต่อออกนอกเขตสุขภาพรายไตรมาสปี 
								2559 (A)","จำนวนผู้ป่วยที่ส่งต่อออกนอกเขตสุขภาพรายไตรมาสปี 
                                  2560 (B)","ผลการดำเนินงานในรอบปีงบประมาณ 2560 (A-B)/A*100"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0","0","0","0","0","0","0","0","0","0"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0","0","0","0","0","0","0","0","0","0"
"12439  :  สถาบันประสาทวิทยา","0","0","0","0","0","0","0","0","0","0","0","0"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0","0","0","0","0","0","0","0","0","0"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0","0","0","0","0","0","0","0","0","0"
"13814  :  โรงพยาบาลศิริราช","0","0","0","0","0","0","0","0","0","0","0","0"
"14173  :  โรงพยาบาลตำรวจ","0","0","0","0","0","0","0","0","0","0","0","0"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0","0","0","0","0","0","0","0","0","0"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0","0","0","0","0","0","0","0","0","0"
"14577  :  โรงพยาบาลวิภาราม","0","0","0","0","0","0","0","0","0","0","0","0"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0","0","0","0","0","0","0","0","0","0"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0","0","0","0","0","0","0","0","0","0"
"15049  :  โรงพยาบาลสิรินธร","0","0","0","0","0","0","0","0","0","0","0","0"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"22155  :  โรงพยาบาลครู","0","0","0","0","0","0","0","0","0","0","0","0"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0","0","0","0","0","0","0","0","0","0"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0","0","0","0","0","0","0","0","0","0"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0","0","0","0","0","0","0","0","0"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0","0","0","0","0","0","0","0","0"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0","0","0","0","0","0","0","0","0"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0","0","0","0","0","0","0","0","0"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0","0","0","0","0","0","0","0","0"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0","0","0","0","0","0","0","0","0"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0","0","0","0","0","0","0","0","0"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0","0","0","0","0","0","0","0","0"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0","0","0","0","0","0","0","0","0","0"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0","0","0","0","0","0","0","0","0","0"
"10753  :  โรงพยาบาลบางพลี","763","541","431","753","0","0","0","0","100","100","100","100"
"10754  :  โรงพยาบาลบางจาก","706","756","720","715","1,001","812","786","808","-42","-7","-9","-13"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","522","519","522","568","612","594","568","594","-17","-14","-9","-5"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","0","0","0","420","385","370","313","139","0","0","0","67"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0","0","0","0","0","0","0","0","0","0"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0","0","0","0","0","0","0","0","0","0"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0","0","0","0","0","0","0","0","0","0"
"28785  :  โรงพยาบาลบางเสาธง","0","0","0","0","72","164","147","135","0","0","0","0"
"10686  :  โรงพยาบาลพระนั่งเกล้า","4","8","5","7","17","42","67","46","-325","-425","-1,240","-557"
"10756  :  โรงพยาบาลบางกรวย","86","91","66","74","74","74","66","70","14","19","0","5"
"10757  :  โรงพยาบาลบางใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"10758  :  โรงพยาบาลบางบัวทอง","135","0","0","409","482","457","455","416","-257","0","0","-2"
"10759  :  โรงพยาบาลไทรน้อย","81","103","82","72","114","111","82","74","-41","-8","0","-3"
"10760  :  โรงพยาบาลปากเกร็ด","0","0","0","0","0","0","0","0","0","0","0","0"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0","0","0","0","0","0","0","0","0"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0","0","0","0","0","0","0","0","0"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0","0","0","0","0","0","0","0","0"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0","0","0","0","0","0","0","0","0"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0","0","0","0","0","0","0","0","0"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0","0","0","0","0","0","0","0","0","0"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0","0","0","0","0","0","0","0","0","0"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0","0","0","0","0","0","0","0","0"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0","0","0","0","0","0","0","0","0","0"
"10687  :  โรงพยาบาลปทุมธานี","463","401","329","380","556","624","406","507","-20","-56","-23","-33"
"10761  :  โรงพยาบาลคลองหลวง","19","18","15","153","30","54","34","20","-58","-200","-127","87"
"10762  :  โรงพยาบาลธัญบุรี","610","674","657","622","0","0","0","0","100","100","100","100"
"10763  :  โรงพยาบาลประชาธิปัตย์","299","142","72","76","170","44","37","40","43","69","49","47"
"10764  :  โรงพยาบาลหนองเสือ","53","36","111","112","76","59","29","58","-43","-64","74","48"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","40","35","19","15","15","19","15","9","63","46","21","40"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0","0","0","0","0","0","0","0","0","0"
"10767  :  โรงพยาบาลสามโคก","0","1","0","0","0","0","0","0","0","100","0","0"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0","0","0","0","0","0","0","0","0"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","40","46","38","32","38","31","29","30","5","33","24","6"
"10688  :  โรงพยาบาลเสนา","190","139","129","166","101","186","160","142","47","-34","-24","14"
"10768  :  โรงพยาบาลท่าเรือ","120","44","21","46","126","45","39","81","-5","-2","-86","-76"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","4","5","4","2","8","1","6","4","-100","80","-50","-100"
"10770  :  โรงพยาบาลบางไทร","127","47","37","54","106","40","25","49","17","15","32","9"
"10771  :  โรงพยาบาลบางบาล","1","3","0","5","2","0","1","0","-100","100","0","100"
"10772  :  โรงพยาบาลบางปะอิน","14","6","16","98","145","75","60","168","-936","-1,150","-275","-71"
"10773  :  โรงพยาบาลบางปะหัน","77","40","29","24","52","38","17","40","32","5","41","-67"
"10774  :  โรงพยาบาลผักไห่","159","94","98","124","159","60","34","60","0","36","65","52"
"10775  :  โรงพยาบาลภาชี","2","7","1","3","4","4","4","29","-100","43","-300","-867"
"10776  :  โรงพยาบาลลาดบัวหลวง","169","93","61","93","132","49","45","84","22","47","26","10"
"10777  :  โรงพยาบาลวังน้อย","151","53","36","75","155","74","31","55","-3","-40","14","27"
"10778  :  โรงพยาบาลบางซ้าย","3","6","2","5","31","11","4","4","-933","-83","-100","20"
"10779  :  โรงพยาบาลอุทัย","99","50","43","58","114","38","32","74","-15","24","26","-28"
"10780  :  โรงพยาบาลมหาราช","44","26","18","19","39","23","8","14","11","12","56","26"
"10781  :  โรงพยาบาลบ้านแพรก","28","21","27","16","10","2","4","6","64","90","85","63"
"10689  :  โรงพยาบาลอ่างทอง","2","1","0","2","1","0","0","3","50","100","0","-50"
"10782  :  โรงพยาบาลไชโย","28","18","10","19","38","14","2","10","-36","22","80","47"
"10784  :  โรงพยาบาลป่าโมก","94","52","46","49","42","17","13","5","55","67","72","90"
"10785  :  โรงพยาบาลโพธิ์ทอง","175","85","62","103","180","95","68","85","-3","-12","-10","17"
"10786  :  โรงพยาบาลแสวงหา","48","12","5","36","34","18","14","9","29","-50","-180","75"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","0","0","1","0","0","0","0","0","0","0","100","0"
"10788  :  โรงพยาบาลสามโก้","0","0","0","0","0","0","0","0","0","0","0","0"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","5","0","0","0","0","0","0","0","100","0","0","0"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0","0","0","0","0","0","0","0","0","0"
"10789  :  โรงพยาบาลพัฒนานิคม","0","0","1","2","17","8","1","15","0","0","0","-650"
"10790  :  โรงพยาบาลโคกสำโรง","43","0","0","0","0","0","0","0","100","0","0","0"
"10791  :  โรงพยาบาลชัยบาดาล","261","136","69","103","253","80","70","0","3","41","-1","100"
"10792  :  โรงพยาบาลท่าวุ้ง","0","0","0","0","0","0","0","0","0","0","0","0"
"10793  :  โรงพยาบาลท่าหลวง","0","0","0","0","0","0","0","0","0","0","0","0"
"10794  :  โรงพยาบาลสระโบสถ์","0","0","0","0","0","0","0","0","0","0","0","0"
"10795  :  โรงพยาบาลโคกเจริญ","42","24","12","22","84","23","11","20","-100","4","8","9"
"10796  :  โรงพยาบาลลำสนธิ","0","0","0","0","0","0","0","0","0","0","0","0"
"10797  :  โรงพยาบาลหนองม่วง","74","12","0","0","0","0","0","0","100","100","0","0"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0","0","45","77","64","35","0","0","0","0"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0","0","0","0","0","0","0","0","0"
"10692  :  โรงพยาบาลสิงห์บุรี","181","141","161","273","334","273","173","235","-85","-94","-7","14"
"10693  :  โรงพยาบาลอินทร์บุรี","4","5","29","24","33","30","27","23","-725","-500","7","4"
"10798  :  โรงพยาบาลบางระจัน","80","48","9","25","133","123","108","100","-66","-156","-1,100","-300"
"10799  :  โรงพยาบาลค่ายบางระจัน","72","64","26","18","31","37","30","42","57","42","-15","-133"
"10800  :  โรงพยาบาลพรหมบุรี","0","0","0","0","66","8","8","15","0","0","0","0"
"10801  :  โรงพยาบาลท่าช้าง","4","6","1","29","24","1","9","8","-500","83","-800","72"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","271","342","346","225","225","96","90","77","17","72","74","66"
"10802  :  โรงพยาบาลมโนรมย์","62","76","64","70","32","30","34","36","48","61","47","49"
"10803  :  โรงพยาบาลวัดสิงห์","0","0","0","0","135","143","133","166","0","0","0","0"
"10804  :  โรงพยาบาลสรรพยา","121","116","112","83","114","131","139","120","6","-13","-24","-45"
"10805  :  โรงพยาบาลสรรคบุรี","0","0","0","0","35","45","21","11","0","0","0","0"
"10806  :  โรงพยาบาลหันคา","16","6","10","12","7","33","22","37","56","-450","-120","-208"
"27974  :  โรงพยาบาลหนองมะโมง","0","0","1","1","61","37","20","29","0","0","-1,900","-2,800"
"27975  :  โรงพยาบาลเนินขาม","0","0","0","0","6","2","7","5","0","0","0","0"
"10661  :  โรงพยาบาลสระบุรี","1","0","0","1","46","167","159","110","-4,500","0","0","-10,900"
"10695  :  โรงพยาบาลพระพุทธบาท","139","51","36","56","114","50","12","15","18","2","67","73"
"10807  :  โรงพยาบาลแก่งคอย","6","5","0","0","0","0","0","0","100","100","0","0"
"10808  :  โรงพยาบาลหนองแค","0","0","0","0","0","0","0","0","0","0","0","0"
"10809  :  โรงพยาบาลวิหารแดง","0","0","0","0","0","0","0","0","0","0","0","0"
"10810  :  โรงพยาบาลหนองแซง","0","0","0","0","0","0","0","0","0","0","0","0"
"10811  :  โรงพยาบาลบ้านหมอ","0","0","0","1","0","0","0","0","0","0","0","100"
"10812  :  โรงพยาบาลดอนพุด","0","0","0","0","0","0","0","0","0","0","0","0"
"10813  :  โรงพยาบาลหนองโดน","0","0","0","0","0","0","0","0","0","0","0","0"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","0","0","0","0","0","0","0","0","0","0","0","0"
"10815  :  โรงพยาบาลมวกเหล็ก","110","71","42","64","69","72","59","38","37","-1","-40","41"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","2","1","1","9","0","1","0","0","100","0","100","100"
"11485  :  โรงพยาบาลค่ายอดิศร","1","0","0","0","0","0","0","0","100","0","0","0"
"10662  :  โรงพยาบาลชลบุรี","0","0","0","0","71","178","106","194","0","0","0","0"
"10817  :  โรงพยาบาลบ้านบึง","99","59","71","62","91","64","80","75","8","-8","-13","-21"
"10818  :  โรงพยาบาลหนองใหญ่","0","0","1","1","2","0","0","0","0","0","100","100"
"10819  :  โรงพยาบาลบางละมุง","12","29","21","100","7","254","260","271","42","-776","-1,138","-171"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","0","0","1","2","1","1","4","0","0","0","-300","100"
"10821  :  โรงพยาบาลพานทอง","55","32","30","67","73","45","46","49","-33","-41","-53","27"
"10822  :  โรงพยาบาลพนัสนิคม","149","157","175","157","196","170","161","147","-32","-8","8","6"
"10823  :  โรงพยาบาลแหลมฉบัง","16","20","27","43","47","89","75","19","-194","-345","-178","56"
"10824  :  โรงพยาบาลเกาะสีชัง","2","0","4","6","11","13","10","11","-450","0","-150","-83"
"10825  :  โรงพยาบาลสัตหีบกม10","213","54","37","61","112","37","24","52","47","31","35","15"
"10826  :  โรงพยาบาลบ่อทอง","2","2","6","8","1","6","2","3","50","-200","67","63"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","1","2","0","4","4","2","4","0","-300","0","0"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0","0","0","0","0","0","0","0","0","0"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","0","0","0","0","0","0","0","0","0","0","0","0"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0","0","0","0","0","0","0","0","0","0"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","2","3","1","2","0","0","0","0","100","100"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","0","0","0","46","3","16","10","12","0","0","0","74"
"28005  :  โรงพยาบาลเมืองพัทยา","0","0","0","0","0","0","0","0","0","0","0","0"
"28006  :  โรงพยาบาลเกาะจันทร์","21","2","4","13","13","9","11","14","38","-350","-175","-8"
"10663  :  โรงพยาบาลระยอง","161","57","46","122","322","250","201","298","-100","-339","-337","-144"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","0","0","0","0","50","21","15","51","0","0","0","0"
"10828  :  โรงพยาบาลบ้านฉาง","33","27","19","11","22","31","35","33","33","-15","-84","-200"
"10829  :  โรงพยาบาลแกลง","251","122","57","65","167","68","35","85","33","44","39","-31"
"10830  :  โรงพยาบาลวังจันทร์","22","12","6","12","62","17","11","15","-182","-42","-83","-25"
"10831  :  โรงพยาบาลบ้านค่าย","119","71","28","42","122","49","36","49","-3","31","-29","-17"
"10832  :  โรงพยาบาลปลวกแดง","83","23","19","13","95","29","22","18","-14","-26","-16","-38"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","0","0","0","8","35","20","11","5","0","0","0","38"
"23962  :  โรงพยาบาลนิคมพัฒนา","0","0","0","34","52","13","11","40","0","0","0","-18"
"10664  :  โรงพยาบาลพระปกเกล้า","0","3","2","5","3","2","0","0","0","33","100","100"
"10834  :  โรงพยาบาลขลุง","0","0","0","0","0","0","0","0","0","0","0","0"
"10835  :  โรงพยาบาลท่าใหม่","0","0","0","0","0","0","0","0","0","0","0","0"
"10836  :  โรงพยาบาลเขาสุกิม","15","7","6","6","29","7","9","8","-93","0","-50","-33"
"10837  :  โรงพยาบาลสองพี่น้อง","0","0","0","0","0","0","0","0","0","0","0","0"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","0","0","0","0","0","0","0","0","0","0","0","0"
"10839  :  โรงพยาบาลมะขาม","0","0","0","0","0","0","0","0","0","0","0","0"
"10840  :  โรงพยาบาลแหลมสิงห์","3","31","33","40","7","14","23","34","-133","55","30","15"
"10841  :  โรงพยาบาลสอยดาว","0","0","0","0","0","0","0","0","0","0","0","0"
"10842  :  โรงพยาบาลแก่งหางแมว","0","0","0","0","0","0","0","0","0","0","0","0"
"10843  :  โรงพยาบาลนายายอาม","0","0","0","0","0","0","0","0","0","0","0","0"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","0","0","0","0","0","0","0","0","0","0","0","0"
"10696  :  โรงพยาบาลตราด","219","245","250","110","76","69","61","97","65","72","76","12"
"10845  :  โรงพยาบาลคลองใหญ่","0","0","0","0","1","0","1","3","0","0","0","0"
"10846  :  โรงพยาบาลเขาสมิง","6","9","5","5","4","3","6","5","33","67","-20","0"
"10847  :  โรงพยาบาลบ่อไร่","0","0","0","0","29","29","30","29","0","0","0","0"
"10848  :  โรงพยาบาลแหลมงอบ","26","24","23","30","33","26","37","35","-27","-8","-61","-17"
"10849  :  โรงพยาบาลเกาะกูด","0","0","0","0","2","1","0","1","0","0","0","0"
"13816  :  โรงพยาบาลเกาะช้าง","0","0","0","0","0","0","5","6","0","0","0","0"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0","0","0","0","0","0","0","0","0","0"
"10833  :  โรงพยาบาลท่าตะเกียบ","0","0","0","0","51","47","65","56","0","0","0","0"
"10850  :  โรงพยาบาลบางคล้า","130","57","28","53","127","50","46","44","2","12","-64","17"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0","0","0","0","0","0","0","0","0","0"
"10852  :  โรงพยาบาลบางปะกง","0","0","0","0","0","0","0","33","0","0","0","0"
"10853  :  โรงพยาบาลบ้านโพธิ์","0","0","0","0","0","0","0","0","0","0","0","0"
"10854  :  โรงพยาบาลพนมสารคาม","30","15","33","42","31","54","53","47","-3","-260","-61","-12"
"10855  :  โรงพยาบาลสนามชัยเขต","9","12","10","9","3","7","4","2","67","42","60","78"
"10856  :  โรงพยาบาลแปลงยาว","0","0","0","0","0","0","0","0","0","0","0","0"
"13747  :  โรงพยาบาลราชสาส์น","20","11","19","16","17","9","20","11","15","18","-5","31"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0","0","0","0","0","8","0","0","0","0"
