"โรงพยาบาล","จำนวน(ราย)"
"บำบัดเหล้า(F10.0 - F10.9)","บำบัดบุหรี่(F17.1 - 17.2)","บำบัดบุหรี่(F17.1 - 17.2 + Z508 1 ครั้ง)","บำบัดบุหรี่(F17.1 - 17.2 + Z508 2 ครั้งขึ้นไป)"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0","0"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0","0"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0","0"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0","0"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0","0"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0","0"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0","0"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","940","129","0","0"
"12246  :  สถาบันราชานุกูล","0","0","0","0"
"12249  :  สถาบันโรคผิวหนัง","0","0","0","0"
"12250  :  สถาบันมะเร็งแห่งชาติ","1","0","0","0"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0","0"
"12439  :  สถาบันประสาทวิทยา","79","64","0","0"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0","0"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0","0"
"13814  :  โรงพยาบาลศิริราช","0","0","0","0"
"14173  :  โรงพยาบาลตำรวจ","0","0","0","0"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0","0"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0","0"
"14577  :  โรงพยาบาลวิภาราม","0","0","0","0"
"14641  :  โรงพยาบาลราชพิพัฒน์","101","14","0","0"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0","0"
"15049  :  โรงพยาบาลสิรินธร","164","2","0","0"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
"22155  :  โรงพยาบาลครู","0","0","0","0"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0","0"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0","0"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0"
"10685  :  โรงพยาบาลสมุทรปราการ","509","18","0","0"
"10752  :  โรงพยาบาลบางบ่อ","111","42","1","0"
"10753  :  โรงพยาบาลบางพลี","336","16","0","0"
"10754  :  โรงพยาบาลบางจาก","73","33","0","0"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","80","0","0","0"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","10","0","0","0"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","50","0","0","0"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","12","1","0","0"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","3","0","0","0"
"28785  :  โรงพยาบาลบางเสาธง","28","0","0","0"
"10686  :  โรงพยาบาลพระนั่งเกล้า","431","139","62","10"
"10756  :  โรงพยาบาลบางกรวย","46","46","11","19"
"10757  :  โรงพยาบาลบางใหญ่","160","73","0","0"
"10758  :  โรงพยาบาลบางบัวทอง","145","158","2","2"
"10759  :  โรงพยาบาลไทรน้อย","64","94","58","6"
"10760  :  โรงพยาบาลปากเกร็ด","46","9","0","0"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
"12256  :  สถาบันโรคทรวงอก","2","0","0","0"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","2","0","0","0"
"12260  :  โรงพยาบาลศรีธัญญา","1,240","314","0","0"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","112","7","0","0"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0"
"28875  :  โรงพยาบาลบางบัวทอง ๒","31","26","4","16"
"10687  :  โรงพยาบาลปทุมธานี","421","98","0","0"
"10761  :  โรงพยาบาลคลองหลวง","106","19","1","2"
"10762  :  โรงพยาบาลธัญบุรี","65","26","1","1"
"10763  :  โรงพยาบาลประชาธิปัตย์","56","11","0","0"
"10764  :  โรงพยาบาลหนองเสือ","111","103","0","0"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","61","293","0","1"
"10766  :  โรงพยาบาลลำลูกกา","67","78","0","0"
"10767  :  โรงพยาบาลสามโคก","41","24","0","1"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","1,055","2,164","0","1"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","1","0","0"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","287","53","0","0"
"10688  :  โรงพยาบาลเสนา","80","270","21","47"
"10768  :  โรงพยาบาลท่าเรือ","89","33","0","0"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","44","49","13","7"
"10770  :  โรงพยาบาลบางไทร","61","107","0","0"
"10771  :  โรงพยาบาลบางบาล","11","0","0","0"
"10772  :  โรงพยาบาลบางปะอิน","77","419","43","185"
"10773  :  โรงพยาบาลบางปะหัน","99","279","2","49"
"10774  :  โรงพยาบาลผักไห่","46","20","5","7"
"10775  :  โรงพยาบาลภาชี","36","6","1","0"
"10776  :  โรงพยาบาลลาดบัวหลวง","40","23","1","0"
"10777  :  โรงพยาบาลวังน้อย","78","4","0","0"
"10778  :  โรงพยาบาลบางซ้าย","20","0","0","0"
"10779  :  โรงพยาบาลอุทัย","58","357","0","0"
"10780  :  โรงพยาบาลมหาราช","37","12","0","0"
"10781  :  โรงพยาบาลบ้านแพรก","26","8","0","0"
"10689  :  โรงพยาบาลอ่างทอง","73","34","0","0"
"10782  :  โรงพยาบาลไชโย","25","7","0","0"
"10784  :  โรงพยาบาลป่าโมก","110","99","0","0"
"10785  :  โรงพยาบาลโพธิ์ทอง","40","60","0","1"
"10786  :  โรงพยาบาลแสวงหา","20","16","0","0"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","90","35","18","12"
"10788  :  โรงพยาบาลสามโก้","40","20","0","0"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","219","94","3","1"
"10691  :  โรงพยาบาลบ้านหมี่","204","63","4","5"
"10789  :  โรงพยาบาลพัฒนานิคม","131","57","12","17"
"10790  :  โรงพยาบาลโคกสำโรง","218","292","56","57"
"10791  :  โรงพยาบาลชัยบาดาล","178","18","3","2"
"10792  :  โรงพยาบาลท่าวุ้ง","61","1","0","0"
"10793  :  โรงพยาบาลท่าหลวง","39","18","3","1"
"10794  :  โรงพยาบาลสระโบสถ์","138","82","11","15"
"10795  :  โรงพยาบาลโคกเจริญ","60","40","12","15"
"10796  :  โรงพยาบาลลำสนธิ","47","12","0","1"
"10797  :  โรงพยาบาลหนองม่วง","22","0","0","0"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0","0"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0"
"10692  :  โรงพยาบาลสิงห์บุรี","192","143","2","1"
"10693  :  โรงพยาบาลอินทร์บุรี","107","86","1","0"
"10798  :  โรงพยาบาลบางระจัน","37","31","0","0"
"10799  :  โรงพยาบาลค่ายบางระจัน","21","35","0","0"
"10800  :  โรงพยาบาลพรหมบุรี","16","7","0","0"
"10801  :  โรงพยาบาลท่าช้าง","18","2","1","0"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","199","10","0","0"
"10802  :  โรงพยาบาลมโนรมย์","63","10","0","1"
"10803  :  โรงพยาบาลวัดสิงห์","28","78","2","4"
"10804  :  โรงพยาบาลสรรพยา","26","348","5","3"
"10805  :  โรงพยาบาลสรรคบุรี","116","256","37","64"
"10806  :  โรงพยาบาลหันคา","79","14","0","4"
"27974  :  โรงพยาบาลหนองมะโมง","157","182","67","51"
"27975  :  โรงพยาบาลเนินขาม","18","64","4","12"
"10661  :  โรงพยาบาลสระบุรี","465","356","10","0"
"10695  :  โรงพยาบาลพระพุทธบาท","132","24","0","0"
"10807  :  โรงพยาบาลแก่งคอย","325","423","183","131"
"10808  :  โรงพยาบาลหนองแค","34","0","0","0"
"10809  :  โรงพยาบาลวิหารแดง","60","0","0","0"
"10810  :  โรงพยาบาลหนองแซง","15","14","4","2"
"10811  :  โรงพยาบาลบ้านหมอ","20","7","0","0"
"10812  :  โรงพยาบาลดอนพุด","26","1","0","0"
"10813  :  โรงพยาบาลหนองโดน","17","26","0","2"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","38","4","0","1"
"10815  :  โรงพยาบาลมวกเหล็ก","88","0","0","0"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","37","0","0","0"
"11485  :  โรงพยาบาลค่ายอดิศร","11","0","0","0"
"10662  :  โรงพยาบาลชลบุรี","362","162","0","0"
"10817  :  โรงพยาบาลบ้านบึง","159","897","8","838"
"10818  :  โรงพยาบาลหนองใหญ่","271","40","1","1"
"10819  :  โรงพยาบาลบางละมุง","600","234","1","0"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","64","7","1","1"
"10821  :  โรงพยาบาลพานทอง","148","8","0","3"
"10822  :  โรงพยาบาลพนัสนิคม","93","70","9","6"
"10823  :  โรงพยาบาลแหลมฉบัง","175","5","0","0"
"10824  :  โรงพยาบาลเกาะสีชัง","11","0","0","0"
"10825  :  โรงพยาบาลสัตหีบกม10","63","24","3","1"
"10826  :  โรงพยาบาลบ่อทอง","68","362","0","1"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","8","0","0","0"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","119","1","0","0"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","384","169","43","41"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0","0"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0","0"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","31","6","0","0"
"28005  :  โรงพยาบาลเมืองพัทยา","80","1","0","0"
"28006  :  โรงพยาบาลเกาะจันทร์","61","34","4","3"
"10663  :  โรงพยาบาลระยอง","388","72","0","0"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","90","1","0","1"
"10828  :  โรงพยาบาลบ้านฉาง","63","93","0","0"
"10829  :  โรงพยาบาลแกลง","333","141","0","0"
"10830  :  โรงพยาบาลวังจันทร์","59","194","22","86"
"10831  :  โรงพยาบาลบ้านค่าย","107","131","0","0"
"10832  :  โรงพยาบาลปลวกแดง","52","0","0","0"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","27","0","0","0"
"23962  :  โรงพยาบาลนิคมพัฒนา","54","0","0","0"
"10664  :  โรงพยาบาลพระปกเกล้า","516","897","204","337"
"10834  :  โรงพยาบาลขลุง","120","6","0","0"
"10835  :  โรงพยาบาลท่าใหม่","56","33","5","4"
"10836  :  โรงพยาบาลเขาสุกิม","47","25","1","1"
"10837  :  โรงพยาบาลสองพี่น้อง","68","35","6","14"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","107","143","0","0"
"10839  :  โรงพยาบาลมะขาม","64","50","0","0"
"10840  :  โรงพยาบาลแหลมสิงห์","132","187","43","76"
"10841  :  โรงพยาบาลสอยดาว","155","24","6","9"
"10842  :  โรงพยาบาลแก่งหางแมว","78","0","0","0"
"10843  :  โรงพยาบาลนายายอาม","85","42","14","12"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","57","1","0","0"
"10696  :  โรงพยาบาลตราด","557","173","2","0"
"10845  :  โรงพยาบาลคลองใหญ่","27","1","0","0"
"10846  :  โรงพยาบาลเขาสมิง","136","54","0","0"
"10847  :  โรงพยาบาลบ่อไร่","82","4","1","2"
"10848  :  โรงพยาบาลแหลมงอบ","50","49","8","3"
"10849  :  โรงพยาบาลเกาะกูด","3","0","0","0"
"13816  :  โรงพยาบาลเกาะช้าง","17","0","0","0"
"10697  :  โรงพยาบาลพุทธโสธร","872","595","2","2"
"10833  :  โรงพยาบาลท่าตะเกียบ","109","87","22","15"
"10850  :  โรงพยาบาลบางคล้า","72","13","0","0"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","50","310","0","0"
"10852  :  โรงพยาบาลบางปะกง","480","489","1","0"
"10853  :  โรงพยาบาลบ้านโพธิ์","65","85","0","0"
"10854  :  โรงพยาบาลพนมสารคาม","273","114","0","3"
"10855  :  โรงพยาบาลสนามชัยเขต","188","127","59","45"
"10856  :  โรงพยาบาลแปลงยาว","1,631","1,443","1","2"
"13747  :  โรงพยาบาลราชสาส์น","24","0","0","0"
"31327  :  โรงพยาบาลคลองเขื่อน","55","41","0","0"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","390","216","0","0"
"10857  :  โรงพยาบาลกบินทร์บุรี","346","41","0","0"
"10858  :  โรงพยาบาลนาดี","130","2","0","0"
"10859  :  โรงพยาบาลบ้านสร้าง","19","11","0","0"
"10860  :  โรงพยาบาลประจันตคาม","101","13","0","0"
"10861  :  โรงพยาบาลศรีมหาโพธิ","101","0","0","0"
"10862  :  โรงพยาบาลศรีมโหสถ","49","0","0","0"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","31","1","0","0"
"10698  :  โรงพยาบาลนครนายก","372","197","0","0"
"10863  :  โรงพยาบาลปากพลี","163","180","0","0"
"10864  :  โรงพยาบาลบ้านนา","96","517","25","31"
"10865  :  โรงพยาบาลองครักษ์","52","72","0","0"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","4","2","0","0"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","52","117","0","0"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","363","90","8","17"
"10866  :  โรงพยาบาลคลองหาด","186","3","2","0"
"10867  :  โรงพยาบาลตาพระยา","101","1","0","0"
"10868  :  โรงพยาบาลวังน้ำเย็น","119","43","3","12"
"10869  :  โรงพยาบาลวัฒนานคร","135","4","2","0"
"10870  :  โรงพยาบาลอรัญประเทศ","206","2","0","0"
"13817  :  โรงพยาบาลเขาฉกรรจ์","85","1","0","0"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","571","356","0","0"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","435","0","0","0"
"10871  :  โรงพยาบาลครบุรี","533","407","42","242"
"10872  :  โรงพยาบาลเสิงสาง","236","45","7","22"
"10873  :  โรงพยาบาลคง","135","3","1","0"
"10874  :  โรงพยาบาลบ้านเหลื่อม","67","11","0","2"
"10875  :  โรงพยาบาลจักราช","153","17","0","1"
"10876  :  โรงพยาบาลโชคชัย","543","395","32","196"
"10877  :  โรงพยาบาลด่านขุนทด","314","572","65","220"
"10878  :  โรงพยาบาลโนนไทย","290","52","3","27"
"10879  :  โรงพยาบาลโนนสูง","409","313","44","189"
"10880  :  โรงพยาบาลขามสะแกแสง","140","72","5","22"
"10881  :  โรงพยาบาลบัวใหญ่","209","229","31","99"
"10882  :  โรงพยาบาลประทาย","189","63","3","12"
"10883  :  โรงพยาบาลปักธงชัย","442","709","236","333"
"10884  :  โรงพยาบาลพิมาย","472","40","7","2"
"10885  :  โรงพยาบาลห้วยแถลง","139","200","31","106"
"10886  :  โรงพยาบาลชุมพวง","203","409","93","5"
"10887  :  โรงพยาบาลสูงเนิน","503","270","80","43"
"10888  :  โรงพยาบาลขามทะเลสอ","106","6","0","0"
"10889  :  โรงพยาบาลสีคิ้ว","374","229","3","5"
"10890  :  โรงพยาบาลปากช่องนานา","1,043","10","2","1"
"10891  :  โรงพยาบาลหนองบุญมาก","380","307","57","204"
"10892  :  โรงพยาบาลแก้งสนามนาง","257","240","20","112"
"10893  :  โรงพยาบาลโนนแดง","138","63","6","9"
"10894  :  โรงพยาบาลวังน้ำเขียว","180","0","0","0"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","189","41","0","0"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","63","29","4","17"
"11608  :  โรงพยาบาลลำทะเมนชัย","70","36","4","8"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","205","0","0","0"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","11","0","0","0"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","6","0","0","0"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","996","69","0","0"
"14161  :  โรงพยาบาลกองบิน กองบิน1","2","2","0","0"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","108","3","0","0"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","260","71","11","20"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","0","0","0"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","106","3","0","0"
"27839  :  โรงพยาบาลบัวลาย","46","18","0","0"
"27840  :  โรงพยาบาลสีดา","80","173","0","0"
"27841  :  โรงพยาบาลเทพารักษ์","1,225","2,070","13","21"
"10667  :  โรงพยาบาลบุรีรัมย์","2,373","154","2","0"
"10895  :  โรงพยาบาลคูเมือง","380","3","0","1"
"10896  :  โรงพยาบาลกระสัง","379","89","13","16"
"10897  :  โรงพยาบาลนางรอง","485","101","29","38"
"10898  :  โรงพยาบาลหนองกี่","253","2","0","0"
"10899  :  โรงพยาบาลละหานทราย","261","45","13","16"
"10900  :  โรงพยาบาลประโคนชัย","317","43","4","6"
"10901  :  โรงพยาบาลบ้านกรวด","181","33","0","1"
"10902  :  โรงพยาบาลพุทไธสง","269","41","5","1"
"10904  :  โรงพยาบาลลำปลายมาศ","577","23","2","3"
"10905  :  โรงพยาบาลสตึก","273","74","10","20"
"10906  :  โรงพยาบาลปะคำ","99","56","0","2"
"10907  :  โรงพยาบาลนาโพธิ์","148","283","19","68"
"10908  :  โรงพยาบาลหนองหงส์","82","2,876","16","6"
"10909  :  โรงพยาบาลพลับพลาชัย","253","27","9","7"
"10910  :  โรงพยาบาลห้วยราช","85","28","1","0"
"10911  :  โรงพยาบาลโนนสุวรรณ","74","30","0","1"
"10912  :  โรงพยาบาลชำนิ","172","3","0","0"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","239","248","64","131"
"10914  :  โรงพยาบาลโนนดินแดง","106","13","0","1"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","5","0","0","0"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","136","6","0","2"
"23578  :  โรงพยาบาลแคนดง","132","355","14","16"
"28020  :  โรงพยาบาลบ้านด่าน","98","8","1","3"
"10668  :  โรงพยาบาลสุรินทร์","945","919","291","405"
"10915  :  โรงพยาบาลชุมพลบุรี","92","20","4","7"
"10916  :  โรงพยาบาลท่าตูม","379","203","25","49"
"10917  :  โรงพยาบาลจอมพระ","171","52","23","15"
"10918  :  โรงพยาบาลปราสาท","804","70","0","0"
"10919  :  โรงพยาบาลกาบเชิง","490","95","0","0"
"10920  :  โรงพยาบาลรัตนบุรี","288","176","11","75"
"10921  :  โรงพยาบาลสนม","112","3","0","1"
"10922  :  โรงพยาบาลศีขรภูมิ","1,040","529","25","2"
"10923  :  โรงพยาบาลสังขะ","331","499","60","122"
"10924  :  โรงพยาบาลลำดวน","633","1,220","34","28"
"10925  :  โรงพยาบาลสำโรงทาบ","203","166","48","27"
"10926  :  โรงพยาบาลบัวเชด","307","319","73","165"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","11","0","0","0"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","101","5","0","0"
"27842  :  โรงพยาบาลเขวาสินรินทร์","83","54","34","10"
"27843  :  โรงพยาบาลศรีณรงค์","116","1","0","0"
"27844  :  โรงพยาบาลโนนนารายณ์","112","4","0","0"
"10700  :  โรงพยาบาลศรีสะเกษ","1,363","519","75","121"
"10927  :  โรงพยาบาลยางชุมน้อย","288","144","5","16"
"10928  :  โรงพยาบาลกันทรารมย์","180","40","0","0"
"10929  :  โรงพยาบาลกันทรลักษ์","1,027","923","281","464"
"10930  :  โรงพยาบาลขุขันธ์","723","1","0","0"
"10931  :  โรงพยาบาลไพรบึง","296","69","2","0"
"10932  :  โรงพยาบาลปรางค์กู่","335","8","0","0"
"10933  :  โรงพยาบาลขุนหาญ","324","196","3","0"
"10934  :  โรงพยาบาลราษีไศล","391","53","2","20"
"10935  :  โรงพยาบาลอุทุมพรพิสัย","581","13","0","0"
"10936  :  โรงพยาบาลบึงบูรพ์","51","28","6","16"
"10937  :  โรงพยาบาลห้วยทับทัน","163","55","0","0"
"10938  :  โรงพยาบาลโนนคูณ","136","16","0","1"
"10939  :  โรงพยาบาลศรีรัตนะ","283","55","7","36"
"10940  :  โรงพยาบาลวังหิน","168","32","1","7"
"10941  :  โรงพยาบาลน้ำเกลี้ยง","294","29","1","6"
"10942  :  โรงพยาบาลภูสิงห์","367","24","0","1"
"10943  :  โรงพยาบาลเมืองจันทร์","155","32","8","5"
"23125  :  โรงพยาบาลเบญจลักษ์เฉลิมพระเกียรติ 80 พรรษา","118","66","9","0"
"28014  :  โรงพยาบาลพยุห์","356","190","79","55"
