"โรงพยาบาล","จำนวนผู้ป่วยที่ส่งต่อออกนอกเขตสุขภาพรายไตรมาสปี 
								2561 (A)","จำนวนผู้ป่วยที่ส่งต่อออกนอกเขตสุขภาพรายไตรมาสปี 
                                  2562 (B)","ผลการดำเนินงานในรอบปีงบประมาณ 2562 (A-B)/A*100"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0","0","0","0","0","0","0","0","0","0"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0","0","0","0","0","0","0","0","0","0"
"12439  :  สถาบันประสาทวิทยา","0","0","0","0","0","0","0","0","0","0","0","0"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0","0","0","0","0","0","0","0","0","0"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0","0","0","0","0","0","0","0","0","0"
"13814  :  โรงพยาบาลศิริราช","0","0","0","0","0","0","0","0","0","0","0","0"
"14173  :  โรงพยาบาลตำรวจ","0","0","0","0","0","0","0","0","0","0","0","0"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0","0","0","0","0","0","0","0","0","0"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0","0","0","0","0","0","0","0","0","0"
"14577  :  โรงพยาบาลวิภาราม","0","0","0","0","0","0","0","0","0","0","0","0"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0","0","0","0","0","0","0","0","0","0"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0","0","0","0","0","0","0","0","0","0"
"15049  :  โรงพยาบาลสิรินธร","0","0","0","0","0","0","0","0","0","0","0","0"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"22155  :  โรงพยาบาลครู","0","0","0","0","0","0","0","0","0","0","0","0"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0","0","0","0","0","0","0","0","0","0"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0","0","0","0","0","0","0","0","0","0"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0","0","0","0","0","0","0","0","0"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0","0","0","0","0","0","0","0","0"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0","0","0","0","0","0","0","0","0"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0","0","0","0","0","0","0","0","0"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0","0","0","0","0","0","0","0","0"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0","0","0","0","0","0","0","0","0"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0","0","0","0","0","0","0","0","0"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0","0","0","0","0","0","0","0","0"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0","0","0","0","0","0","0","0","0","0"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0","0","0","0","0","0","0","0","0","0"
"10753  :  โรงพยาบาลบางพลี","281","189","161","236","209","86","117","284","26","54","27","-20"
"10754  :  โรงพยาบาลบางจาก","803","879","901","825","812","797","744","827","-1","9","17","-0"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","575","632","618","607","625","601","610","615","-9","5","1","-1"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","325","253","306","348","357","420","378","376","-10","-66","-24","-8"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0","0","0","0","0","0","0","0","0","0"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0","0","0","0","0","0","0","0","0","0"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0","0","0","0","0","0","0","0","0","0"
"28785  :  โรงพยาบาลบางเสาธง","180","109","82","49","99","113","68","107","45","-4","17","-118"
"10686  :  โรงพยาบาลพระนั่งเกล้า","20","27","94","93","96","85","84","176","-380","-215","11","-89"
"10756  :  โรงพยาบาลบางกรวย","57","60","58","62","86","80","101","110","-51","-33","-74","-77"
"10757  :  โรงพยาบาลบางใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"10758  :  โรงพยาบาลบางบัวทอง","436","273","143","229","276","262","253","220","37","4","-77","4"
"10759  :  โรงพยาบาลไทรน้อย","65","83","97","169","158","169","166","195","-143","-104","-71","-15"
"10760  :  โรงพยาบาลปากเกร็ด","0","0","0","0","0","0","0","0","0","0","0","0"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0","0","0","0","0","0","0","0","0"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0","0","0","0","0","0","0","0","0"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0","0","0","0","0","0","0","0","0"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0","0","0","0","0","0","0","0","0"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0","0","0","0","0","0","0","0","0"
"12260  :  โรงพยาบาลศรีธัญญา","0","1","14","17","15","15","17","15","0","-1,400","-21","12"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0","0","0","0","0","0","0","0","0","0"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0","0","0","0","0","0","0","0","0"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0","0","0","0","0","0","0","0","0","0"
"10687  :  โรงพยาบาลปทุมธานี","983","520","451","533","904","717","661","672","8","-38","-47","-26"
"10761  :  โรงพยาบาลคลองหลวง","27","26","28","8","19","25","34","35","30","4","-21","-338"
"10762  :  โรงพยาบาลธัญบุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"10763  :  โรงพยาบาลประชาธิปัตย์","87","50","41","60","63","53","49","45","28","-6","-20","25"
"10764  :  โรงพยาบาลหนองเสือ","37","56","48","22","7","14","11","3","81","75","77","86"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","12","17","2","12","12","20","11","19","0","-18","-450","-58"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0","0","0","0","0","0","0","0","0","0"
"10767  :  โรงพยาบาลสามโคก","0","0","9","15","0","0","0","0","0","0","100","100"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0","0","0","0","0","0","0","0","0"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","30","21","28","24","1,128","675","505","1,031","-3,660","-3,114","-1,704","-4,196"
"10688  :  โรงพยาบาลเสนา","145","119","104","152","86","109","132","130","41","8","-27","14"
"10768  :  โรงพยาบาลท่าเรือ","12","14","6","6","12","9","8","9","0","36","-33","-50"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","4","10","6","21","25","7","2","14","-525","30","67","33"
"10770  :  โรงพยาบาลบางไทร","107","53","30","54","90","55","32","38","16","-4","-7","30"
"10771  :  โรงพยาบาลบางบาล","3","0","1","11","17","8","2","19","-467","0","-100","-73"
"10772  :  โรงพยาบาลบางปะอิน","220","92","55","155","255","80","44","90","-16","13","20","42"
"10773  :  โรงพยาบาลบางปะหัน","86","28","12","24","48","9","12","18","44","68","0","25"
"10774  :  โรงพยาบาลผักไห่","55","50","67","63","83","47","31","62","-51","6","54","2"
"10775  :  โรงพยาบาลภาชี","96","18","11","31","90","19","6","30","6","-6","45","3"
"10776  :  โรงพยาบาลลาดบัวหลวง","119","58","36","82","42","22","16","4","65","62","56","95"
"10777  :  โรงพยาบาลวังน้อย","161","58","33","58","156","56","20","26","3","3","39","55"
"10778  :  โรงพยาบาลบางซ้าย","5","0","4","0","1","1","0","1","80","0","100","0"
"10779  :  โรงพยาบาลอุทัย","110","51","39","90","102","47","16","84","7","8","59","7"
"10780  :  โรงพยาบาลมหาราช","53","18","12","21","41","8","10","5","23","56","17","76"
"10781  :  โรงพยาบาลบ้านแพรก","0","0","0","0","0","18","13","3","0","0","0","0"
"10689  :  โรงพยาบาลอ่างทอง","2","6","6","7","4","12","9","5","-100","-100","-50","29"
"10782  :  โรงพยาบาลไชโย","35","11","7","8","31","15","9","20","11","-36","-29","-150"
"10784  :  โรงพยาบาลป่าโมก","19","13","7","6","17","18","9","6","11","-38","-29","0"
"10785  :  โรงพยาบาลโพธิ์ทอง","186","80","79","80","187","79","59","70","-1","1","25","13"
"10786  :  โรงพยาบาลแสวงหา","41","19","6","8","28","9","5","15","32","53","17","-88"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","0","0","0","0","0","0","0","0","0","0","0","0"
"10788  :  โรงพยาบาลสามโก้","0","0","0","0","0","0","0","0","0","0","0","0"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0","0","0","0","0","0","0","0","0","0"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0","0","0","0","0","0","0","0","0","0"
"10789  :  โรงพยาบาลพัฒนานิคม","21","7","3","4","35","10","7","3","-67","-43","-133","25"
"10790  :  โรงพยาบาลโคกสำโรง","0","0","0","0","0","0","1","2","0","0","0","0"
"10791  :  โรงพยาบาลชัยบาดาล","0","0","0","0","0","0","0","0","0","0","0","0"
"10792  :  โรงพยาบาลท่าวุ้ง","0","0","0","0","0","0","0","0","0","0","0","0"
"10793  :  โรงพยาบาลท่าหลวง","0","0","0","0","0","0","9","71","0","0","0","0"
"10794  :  โรงพยาบาลสระโบสถ์","0","0","0","0","0","0","0","0","0","0","0","0"
"10795  :  โรงพยาบาลโคกเจริญ","40","18","13","5","48","12","6","17","-20","33","54","-240"
"10796  :  โรงพยาบาลลำสนธิ","0","0","0","0","0","0","0","0","0","0","0","0"
"10797  :  โรงพยาบาลหนองม่วง","0","0","0","0","0","0","0","0","0","0","0","0"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0","0","0","0","0","0","0","0","0","0"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0","0","0","0","0","0","0","0","0"
"10692  :  โรงพยาบาลสิงห์บุรี","320","184","143","246","238","165","108","246","26","10","24","0"
"10693  :  โรงพยาบาลอินทร์บุรี","14","26","27","36","28","23","16","23","-100","12","41","36"
"10798  :  โรงพยาบาลบางระจัน","111","117","89","63","73","66","54","49","34","44","39","22"
"10799  :  โรงพยาบาลค่ายบางระจัน","50","50","31","27","14","14","10","5","72","72","68","81"
"10800  :  โรงพยาบาลพรหมบุรี","48","32","12","15","16","6","12","19","67","81","0","-27"
"10801  :  โรงพยาบาลท่าช้าง","8","9","19","10","14","13","3","14","-75","-44","84","-40"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","351","695","655","692","500","419","178","97","-42","40","73","86"
"10802  :  โรงพยาบาลมโนรมย์","24","47","42","22","26","40","32","94","-8","15","24","-327"
"10803  :  โรงพยาบาลวัดสิงห์","166","171","151","159","159","152","105","99","4","11","30","38"
"10804  :  โรงพยาบาลสรรพยา","87","97","140","139","137","180","176","166","-57","-86","-26","-19"
"10805  :  โรงพยาบาลสรรคบุรี","23","18","18","17","6","8","4","8","74","56","78","53"
"10806  :  โรงพยาบาลหันคา","41","20","61","49","326","321","342","305","-695","-1,505","-461","-522"
"27974  :  โรงพยาบาลหนองมะโมง","21","35","5","2","0","2","0","0","100","94","100","100"
"27975  :  โรงพยาบาลเนินขาม","16","10","11","19","75","68","69","74","-369","-580","-527","-289"
"10661  :  โรงพยาบาลสระบุรี","145","156","166","146","175","188","168","186","-21","-21","-1","-27"
"10695  :  โรงพยาบาลพระพุทธบาท","69","22","34","21","29","0","0","0","58","100","100","100"
"10807  :  โรงพยาบาลแก่งคอย","0","0","0","0","0","0","0","0","0","0","0","0"
"10808  :  โรงพยาบาลหนองแค","0","0","0","0","0","0","0","0","0","0","0","0"
"10809  :  โรงพยาบาลวิหารแดง","7","1","0","0","3","1","0","2","57","0","0","0"
"10810  :  โรงพยาบาลหนองแซง","0","0","0","0","0","0","0","0","0","0","0","0"
"10811  :  โรงพยาบาลบ้านหมอ","3","1","5","2","0","1","1","2","100","0","80","0"
"10812  :  โรงพยาบาลดอนพุด","0","0","0","0","0","0","0","0","0","0","0","0"
"10813  :  โรงพยาบาลหนองโดน","0","0","0","0","0","0","0","0","0","0","0","0"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","2","1","0","2","1","2","0","1","50","-100","0","50"
"10815  :  โรงพยาบาลมวกเหล็ก","39","70","46","31","39","36","38","41","0","49","17","-32"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","1","0","2","1","1","0","0","0","0","0","100","100"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0","0","0","0","0","0","0","0","0","0"
"10662  :  โรงพยาบาลชลบุรี","196","189","215","192","207","198","193","221","-6","-5","10","-15"
"10817  :  โรงพยาบาลบ้านบึง","103","62","92","75","117","74","94","117","-14","-19","-2","-56"
"10818  :  โรงพยาบาลหนองใหญ่","0","0","1","2","1","2","2","2","0","0","-100","0"
"10819  :  โรงพยาบาลบางละมุง","306","285","269","281","314","285","270","286","-3","0","-0","-2"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","3","0","0","3","2","3","1","3","33","0","0","0"
"10821  :  โรงพยาบาลพานทอง","70","46","33","48","84","36","20","46","-20","22","39","4"
"10822  :  โรงพยาบาลพนัสนิคม","161","147","168","142","175","151","173","133","-9","-3","-3","6"
"10823  :  โรงพยาบาลแหลมฉบัง","24","35","13","44","30","10","16","21","-25","71","-23","52"
"10824  :  โรงพยาบาลเกาะสีชัง","15","6","2","3","5","2","6","4","67","67","-200","-33"
"10825  :  โรงพยาบาลสัตหีบกม10","180","51","30","46","184","81","40","64","-2","-59","-33","-39"
"10826  :  โรงพยาบาลบ่อทอง","3","10","9","14","3","6","8","6","0","40","11","57"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","2","1","1","1","4","1","0","0","-100","0","100","100"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0","0","0","0","0","0","0","0","0","0"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","1","0","0","0","1","0","0","1","0","0","0","0"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0","0","0","0","0","0","0","0","0","0"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","1","0","0","3","0","0","0","0","100","0","0","100"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","18","12","24","14","21","22","36","21","-17","-83","-50","-50"
"28005  :  โรงพยาบาลเมืองพัทยา","0","0","0","0","0","0","0","0","0","0","0","0"
"28006  :  โรงพยาบาลเกาะจันทร์","12","5","9","14","12","18","14","18","0","-260","-56","-29"
"10663  :  โรงพยาบาลระยอง","438","243","236","353","340","143","68","71","22","41","71","80"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","70","25","22","64","83","46","34","73","-19","-84","-55","-14"
"10828  :  โรงพยาบาลบ้านฉาง","22","31","49","43","102","55","66","47","-364","-77","-35","-9"
"10829  :  โรงพยาบาลแกลง","229","87","46","48","281","67","36","75","-23","23","22","-56"
"10830  :  โรงพยาบาลวังจันทร์","57","16","7","13","68","24","13","21","-19","-50","-86","-62"
"10831  :  โรงพยาบาลบ้านค่าย","118","46","24","42","120","40","22","43","-2","13","8","-2"
"10832  :  โรงพยาบาลปลวกแดง","106","28","20","31","102","34","21","25","4","-21","-5","19"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","33","21","15","22","41","14","11","18","-24","33","27","18"
"23962  :  โรงพยาบาลนิคมพัฒนา","52","16","11","54","58","16","11","27","-12","0","0","50"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","0","0","1","0","0","0","0","0","0","0"
"10834  :  โรงพยาบาลขลุง","0","0","0","0","0","0","0","0","0","0","0","0"
"10835  :  โรงพยาบาลท่าใหม่","0","0","0","0","0","0","0","0","0","0","0","0"
"10836  :  โรงพยาบาลเขาสุกิม","36","15","7","5","0","3","6","8","100","80","14","-60"
"10837  :  โรงพยาบาลสองพี่น้อง","0","0","0","0","0","0","0","0","0","0","0","0"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","0","0","0","0","0","0","0","0","0","0","0","0"
"10839  :  โรงพยาบาลมะขาม","1","2","4","4","3","4","8","5","-200","-100","-100","-25"
"10840  :  โรงพยาบาลแหลมสิงห์","61","65","36","33","34","29","31","25","44","55","14","24"
"10841  :  โรงพยาบาลสอยดาว","1","14","9","8","3","17","4","9","-200","-21","56","-13"
"10842  :  โรงพยาบาลแก่งหางแมว","0","0","0","0","0","0","0","0","0","0","0","0"
"10843  :  โรงพยาบาลนายายอาม","0","0","0","0","0","0","0","0","0","0","0","0"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","2","2","5","4","2","1","5","1","0","50","0","75"
"10696  :  โรงพยาบาลตราด","98","82","84","77","51","65","68","64","48","21","19","17"
"10845  :  โรงพยาบาลคลองใหญ่","36","38","37","32","35","29","27","28","3","24","27","13"
"10846  :  โรงพยาบาลเขาสมิง","2","3","5","8","9","14","13","16","-350","-367","-160","-100"
"10847  :  โรงพยาบาลบ่อไร่","32","36","31","31","33","29","34","41","-3","19","-10","-32"
"10848  :  โรงพยาบาลแหลมงอบ","31","31","46","37","29","30","23","26","6","3","50","30"
"10849  :  โรงพยาบาลเกาะกูด","0","0","0","0","0","0","1","0","0","0","0","0"
"13816  :  โรงพยาบาลเกาะช้าง","5","6","13","13","6","9","7","9","-20","-50","46","31"
"10697  :  โรงพยาบาลพุทธโสธร","35","46","58","45","83","44","34","104","-137","4","41","-131"
"10833  :  โรงพยาบาลท่าตะเกียบ","56","63","61","50","52","53","67","58","7","16","-10","-16"
"10850  :  โรงพยาบาลบางคล้า","90","76","64","52","57","104","94","61","37","-37","-47","-17"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0","0","0","0","0","0","0","0","0","0"
"10852  :  โรงพยาบาลบางปะกง","45","55","38","87","88","101","75","90","-96","-84","-97","-3"
"10853  :  โรงพยาบาลบ้านโพธิ์","0","0","0","0","4","8","13","10","0","0","0","0"
"10854  :  โรงพยาบาลพนมสารคาม","61","41","42","32","33","21","18","20","46","49","57","38"
"10855  :  โรงพยาบาลสนามชัยเขต","10","11","6","3","4","7","2","6","60","36","67","-100"
"10856  :  โรงพยาบาลแปลงยาว","0","0","12","14","1","11","15","25","0","0","-25","-79"
"13747  :  โรงพยาบาลราชสาส์น","20","8","21","15","21","13","23","21","-5","-63","-10","-40"
"31327  :  โรงพยาบาลคลองเขื่อน","16","15","15","17","16","16","24","9","0","-7","-60","47"
