"โรงพยาบาล","รวม","ข้าราชการรัฐวิสาหกิจ","ประกันสังคม","UC ทั้งหมด","ต่างด้าว","บันทึกรหัสสิทธิ ไม่ตรง รหัสมาตรฐาน"
"คน","วัน","วัน:คน","คน","วัน","วัน:คน","คน","วัน","วัน:คน","คน","วัน","วัน:คน","คน","วัน","วัน:คน","คน","วัน","วัน:คน"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","16","341","21.31","0","0","0.00","0","0","0.00","16","341","21.31","0","0","0.00","0","0","0.00"
"12246  :  สถาบันราชานุกูล","2,860","22,649","7.92","242","2,000","8.26","0","0","0.00","2,537","19,967","7.87","81","682","8.42","0","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","150","1,264","8.43","25","168","6.72","32","229","7.16","69","645","9.35","24","222","9.25","0","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","2,347","12,050","5.13","212","1,361","6.42","54","271","5.02","565","2,567","4.54","609","3,339","5.48","907","4,512","4.97"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","7,644","52,479","6.87","514","2,698","5.25","0","0","0.00","7,130","49,781","6.98","0","0","0.00","0","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","7,913","35,283","4.46","1,122","5,770","5.14","646","2,897","4.48","4,967","22,625","4.56","1,178","3,991","3.39","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","10,886","56,705","5.21","1,427","8,940","6.26","663","3,290","4.96","6,884","36,249","5.27","1,912","8,226","4.30","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","44,922","217,200","4.84","2,250","14,323","6.37","1,979","10,859","5.49","27,692","138,849","5.01","13,001","53,169","4.09","0","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","9,835","40,980","4.17","528","3,396","6.43","608","2,652","4.36","6,755","29,566","4.38","1,946","5,366","2.76","0","0","0.00"
"10753  :  โรงพยาบาลบางพลี","16,308","74,024","4.54","822","4,477","5.45","2,074","7,521","3.63","10,533","53,213","5.05","2,879","8,813","3.06","0","0","0.00"
"10754  :  โรงพยาบาลบางจาก","6,302","19,975","3.17","289","1,267","4.38","458","1,386","3.03","4,967","15,854","3.19","588","1,468","2.50","0","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","3,528","14,618","4.14","111","533","4.80","31","136","4.39","3,067","12,772","4.16","322","1,177","3.66","0","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","1,962","6,133","3.13","0","0","0.00","112","279","2.49","1,772","5,556","3.14","78","298","3.82","0","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","6,646","28,865","4.34","0","0","0.00","0","0","0.00","6,646","28,865","4.34","0","0","0.00","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","1,187","40,250","33.91","140","4,518","32.27","0","0","0.00","1,020","34,451","33.78","27","1,281","47.44","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","663","2,169","3.27","5","24","4.80","3","11","3.67","641","2,092","3.26","14","42","3.00","0","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","34,029","219,055","6.44","2,436","24,783","10.17","3,963","25,608","6.46","23,306","150,448","6.46","4,324","18,216","4.21","0","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","2,993","11,723","3.92","194","884","4.56","330","902","2.73","2,365","9,636","4.07","104","301","2.89","0","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","5,409","25,082","4.64","328","1,898","5.79","27","129","4.78","4,902","22,628","4.62","152","427","2.81","0","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","4,859","17,229","3.55","240","1,246","5.19","263","684","2.60","4,230","15,007","3.55","126","292","2.32","0","0","0.00"
"10759  :  โรงพยาบาลไทรน้อย","4,186","15,885","3.79","365","1,575","4.32","244","653","2.68","3,333","13,101","3.93","238","538","2.26","6","18","3.00"
"10760  :  โรงพยาบาลปากเกร็ด","3,198","12,753","3.99","95","543","5.72","30","92","3.07","2,406","10,469","4.35","667","1,649","2.47","0","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","7,694","59,141","7.69","2,312","17,102","7.40","0","0","0.00","4,853","37,954","7.82","8","53","6.63","521","4,032","7.74"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","6,027","227,493","37.75","410","12,086","29.48","724","35,804","49.45","4,809","170,160","35.38","84","9,443","112.42","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","12,131","62,648","5.16","2,600","15,985","6.15","3,194","11,543","3.61","6,338","35,113","5.54","1","7","7.00","0","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","797","3,320","4.17","57","215","3.77","25","93","3.72","679","2,939","4.33","36","73","2.03","0","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","32,080","157,145","4.90","1,181","7,145","6.05","9,421","42,419","4.50","20,736","105,471","5.09","742","2,110","2.84","0","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","2,772","10,433","3.76","28","174","6.21","3","9","3.00","2,532","9,604","3.79","208","644","3.10","1","2","2.00"
"10762  :  โรงพยาบาลธัญบุรี","3,406","13,437","3.95","81","287","3.54","16","45","2.81","3,064","12,335","4.03","245","770","3.14","0","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","1,766","8,350","4.73","30","161","5.37","13","56","4.31","1,692","8,053","4.76","31","80","2.58","0","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","2,000","7,008","3.50","25","63","2.52","14","33","2.36","1,778","5,943","3.34","183","969","5.30","0","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","1,347","4,342","3.22","65","212","3.26","86","197","2.29","1,144","3,795","3.32","52","138","2.65","0","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","3,072","10,973","3.57","25","114","4.56","326","1,262","3.87","2,583","9,234","3.57","145","363","2.50","0","0","0.00"
"10767  :  โรงพยาบาลสามโคก","1,082","4,456","4.12","19","92","4.84","21","33","1.57","1,009","4,234","4.20","37","97","2.62","0","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","1,529","104,935","68.63","81","3,474","42.89","49","5,000","102.04","1,118","82,077","73.41","281","14,384","51.19","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","446","1,953","4.38","16","126","7.88","162","552","3.41","266","1,265","4.76","2","10","5.00","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","36,381","187,543","5.15","3,123","21,457","6.87","6,182","24,978","4.04","23,340","128,848","5.52","3,733","12,254","3.28","3","6","2.00"
"10688  :  โรงพยาบาลเสนา","11,703","68,673","5.87","799","7,419","9.29","1,765","7,466","4.23","7,353","45,010","6.12","1,788","8,778","4.91","0","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","2,707","8,976","3.32","228","802","3.52","507","1,220","2.41","1,972","6,943","3.52","4","11","2.75","0","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","2,047","7,164","3.50","169","762","4.51","204","622","3.05","1,543","5,399","3.50","131","381","2.91","0","0","0.00"
"10770  :  โรงพยาบาลบางไทร","2,349","7,561","3.22","195","769","3.94","182","384","2.11","1,777","5,852","3.29","195","556","2.85","0","0","0.00"
"10771  :  โรงพยาบาลบางบาล","1,348","4,004","2.97","136","389","2.86","89","179","2.01","1,111","3,417","3.08","12","19","1.58","0","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","5,854","22,318","3.81","251","1,187","4.73","386","1,137","2.95","4,629","18,577","4.01","588","1,417","2.41","0","0","0.00"
"10773  :  โรงพยาบาลบางปะหัน","2,713","8,685","3.20","218","691","3.17","320","856","2.68","2,134","7,043","3.30","40","92","2.30","1","3","3.00"
"10774  :  โรงพยาบาลผักไห่","2,068","6,971","3.37","179","699","3.91","173","430","2.49","1,712","5,828","3.40","4","14","3.50","0","0","0.00"
"10775  :  โรงพยาบาลภาชี","2,307","9,219","4.00","228","1,230","5.39","209","697","3.33","1,726","6,913","4.01","143","373","2.61","1","6","6.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","1,759","5,105","2.90","76","304","4.00","142","324","2.28","1,365","4,109","3.01","176","368","2.09","0","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","3,449","10,158","2.95","125","391","3.13","333","760","2.28","2,763","8,520","3.08","228","487","2.14","0","0","0.00"
"10778  :  โรงพยาบาลบางซ้าย","669","2,021","3.02","50","123","2.46","42","99","2.36","572","1,790","3.13","6","9","1.50","0","0","0.00"
"10779  :  โรงพยาบาลอุทัย","1,872","6,316","3.37","118","508","4.31","555","1,689","3.04","1,188","4,088","3.44","11","31","2.82","0","0","0.00"
"10780  :  โรงพยาบาลมหาราช","875","3,438","3.93","87","383","4.40","77","222","2.88","668","2,730","4.09","43","103","2.40","0","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","827","3,680","4.45","134","663","4.95","64","174","2.72","612","2,817","4.60","17","26","1.53","0","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","19,827","97,006","4.89","2,878","18,226","6.33","3,249","12,005","3.69","13,523","65,984","4.88","185","791","4.28","0","0","0.00"
"10782  :  โรงพยาบาลไชโย","2,006","6,225","3.10","235","805","3.43","153","382","2.50","1,531","4,820","3.15","87","218","2.51","0","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","3,170","12,033","3.80","424","2,265","5.34","563","1,775","3.15","2,159","7,918","3.67","26","75","2.88","0","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","4,780","15,238","3.19","650","2,345","3.61","276","713","2.58","3,553","11,401","3.21","301","779","2.59","0","0","0.00"
"10786  :  โรงพยาบาลแสวงหา","2,476","8,808","3.56","228","1,169","5.13","181","528","2.92","2,053","7,081","3.45","16","30","1.88","0","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","8,490","29,869","3.52","983","3,793","3.86","699","1,827","2.61","6,617","23,666","3.58","195","583","2.99","0","0","0.00"
"10788  :  โรงพยาบาลสามโก้","1,682","5,475","3.26","163","929","5.70","86","244","2.84","1,339","4,084","3.05","94","218","2.32","0","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","28,506","182,175","6.39","3,381","24,759","7.32","6,196","36,965","5.97","16,990","112,321","6.61","1,946","8,130","4.18","0","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","11,812","66,807","5.66","1,169","7,992","6.84","1,286","7,706","5.99","8,863","49,429","5.58","494","1,680","3.40","0","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","4,628","13,492","2.92","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","4,628","13,492","2.92"
"10790  :  โรงพยาบาลโคกสำโรง","5,952","32,204","5.41","313","2,389","7.63","339","1,391","4.10","4,721","25,691","5.44","624","2,733","4.38","0","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","11,419","52,604","4.61","639","3,452","5.40","1,235","5,041","4.08","9,192","40,996","4.46","370","3,115","8.42","0","0","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","2,730","9,685","3.55","224","800","3.57","127","539","4.24","2,337","8,235","3.52","42","111","2.64","0","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","2,748","7,681","2.80","148","426","2.88","177","382","2.16","2,241","6,479","2.89","182","394","2.16","0","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","2,193","6,891","3.14","103","300","2.91","163","431","2.64","1,898","6,047","3.19","31","113","3.65","0","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","2,059","8,541","4.15","89","346","3.89","101","352","3.49","1,808","7,650","4.23","62","193","3.11","0","0","0.00"
