"โรงพยาบาล","รวม","ข้าราชการรัฐวิสาหกิจ","ประกันสังคม","UC ทั้งหมด","ต่างด้าว","บันทึกรหัสสิทธิ ไม่ตรง รหัสมาตรฐาน"
"คน","วัน","วัน:คน","คน","วัน","วัน:คน","คน","วัน","วัน:คน","คน","วัน","วัน:คน","คน","วัน","วัน:คน","คน","วัน","วัน:คน"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","3,510","115,115","32.80","317","8,234","25.97","350","8,913","25.47","2,698","92,890","34.43","145","5,078","35.02","0","0","0.00"
"12246  :  สถาบันราชานุกูล","2,558","20,704","8.09","223","1,612","7.23","144","1,377","9.56","2,169","17,564","8.10","22","151","6.86","0","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","111","1,031","9.29","24","169","7.04","32","363","11.34","37","343","9.27","18","156","8.67","0","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","7,438","57,262","7.70","965","7,399","7.67","2,097","17,124","8.17","3,660","26,920","7.36","716","5,819","8.13","0","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","7,479","47,540","6.36","424","2,512","5.92","0","0","0.00","7,055","45,028","6.38","0","0","0.00","0","0","0.00"
"12439  :  สถาบันประสาทวิทยา","8,742","57,265","6.55","0","0","0.00","0","0","0.00","0","0","0.00","8,742","57,265","6.55","0","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","72","434","6.03","72","434","6.03","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","1,258","8,577","6.82","1,081","7,304","6.76","0","0","0.00","175","1,256","7.18","2","17","8.50","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","53,977","414,619","7.68","2,393","20,801","8.69","4,852","46,223","9.53","35,148","273,305","7.78","11,584","74,290","6.41","0","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","8,479","62,099","7.32","205","1,205","5.88","336","1,794","5.34","6,720","54,271","8.08","1,218","4,829","3.96","0","0","0.00"
"10753  :  โรงพยาบาลบางพลี","16,668","111,826","6.71","559","4,272","7.64","2,286","15,256","6.67","10,567","76,784","7.27","3,256","15,514","4.76","0","0","0.00"
"10754  :  โรงพยาบาลบางจาก","7,488","42,748","5.71","328","2,020","6.16","203","1,201","5.92","6,433","36,688","5.70","524","2,839","5.42","0","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","3,445","23,677","6.87","131","1,032","7.88","288","2,614","9.08","2,952","19,690","6.67","74","341","4.61","0","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","1,855","16,068","8.66","0","0","0.00","181","2,166","11.97","1,575","12,965","8.23","99","937","9.46","0","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","3,532","17,892","5.07","0","0","0.00","0","0","0.00","3,532","17,892","5.07","0","0","0.00","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","810","29,366","36.25","100","2,979","29.79","0","0","0.00","656","23,815","36.30","54","2,572","47.63","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","1,202","8,623","7.17","29","194","6.69","823","7,025","8.54","320","1,226","3.83","30","178","5.93","0","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","47,988","420,410","8.76","2,619","28,257","10.79","9,689","95,588","9.87","29,498","252,808","8.57","6,184","43,757","7.08","0","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","3,554","25,323","7.13","211","1,710","8.10","627","5,284","8.43","2,655","18,064","6.80","61","265","4.34","0","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","1,453","7,428","5.11","90","574","6.38","18","35","1.94","1,321","6,747","5.11","24","72","3.00","0","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","6,938","53,302","7.68","401","3,380","8.43","1,471","13,239","9.00","4,992","36,282","7.27","75","401","5.35","0","0","0.00"
"10759  :  โรงพยาบาลไทรน้อย","3,418","24,111","7.05","402","2,714","6.75","732","6,030","8.24","1,939","14,029","7.24","347","1,338","3.86","0","0","0.00"
"10760  :  โรงพยาบาลปากเกร็ด","12,047","91,670","7.61","508","4,242","8.35","1,813","15,378","8.48","7,124","54,450","7.64","2,602","17,600","6.76","0","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","7,545","66,982","8.88","2,160","17,268","7.99","1","2","2.00","4,907","45,753","9.32","10","36","3.60","467","3,923","8.40"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","184","3,396","18.46","11","151","13.73","17","441","25.94","111","1,673","15.07","45","1,131","25.13","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","4,770","162,089","33.98","360","9,870","27.42","646","35,264","54.59","3,540","104,155","29.42","224","12,800","57.14","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","12,339","75,224","6.10","2,733","18,553","6.79","3,372","13,383","3.97","6,226","43,219","6.94","8","69","8.63","0","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","961","8,778","9.13","92","1,099","11.95","277","3,056","11.03","581","4,543","7.82","11","80","7.27","0","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","36,107","254,479","7.05","1,503","13,195","8.78","12,651","93,319","7.38","21,305","145,996","6.85","650","1,969","3.03","0","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","5,722","47,118","8.23","151","1,567","10.38","475","4,591","9.67","4,451","35,826","8.05","650","5,134","7.90","0","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","8,698","68,870","7.92","327","2,887","8.83","625","6,762","10.82","7,108","54,802","7.71","638","4,419","6.93","0","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","2,306","15,967","6.92","65","562","8.65","62","517","8.34","2,037","13,958","6.85","143","930","6.50","0","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","3,742","28,525","7.62","118","985","8.35","598","5,739","9.60","2,880","21,013","7.30","146","788","5.40","0","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","5,072","39,468","7.78","153","897","5.86","922","8,425","9.14","2,473","15,215","6.15","1,524","14,931","9.80","0","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","7,720","75,510","9.78","304","3,442","11.32","1,134","14,441","12.73","5,406","47,386","8.77","880","10,241","11.64","0","0","0.00"
"10767  :  โรงพยาบาลสามโคก","3,685","44,960","12.20","162","2,094","12.93","1,375","17,826","12.96","2,127","24,850","11.68","22","190","8.64","0","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","936","70,238","75.04","50","2,283","45.66","40","3,015","75.38","606","51,058","84.25","240","13,882","57.84","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","4,029","23,155","5.75","250","1,482","5.93","1,524","7,063","4.63","2,140","13,490","6.30","115","1,120","9.74","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","28,622","186,228","6.51","2,299","19,418","8.45","5,017","25,598","5.10","18,280","127,829","6.99","2,826","11,053","3.91","204","2,330","11.42"
"10688  :  โรงพยาบาลเสนา","13,988","106,372","7.60","1,010","8,110","8.03","2,938","20,439","6.96","8,526","69,814","8.19","1,519","8,009","5.27","0","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","3,733","35,841","9.60","259","2,298","8.87","1,279","12,601","9.85","2,188","20,885","9.55","7","57","8.14","0","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","5,108","45,707","8.95","292","2,127","7.28","1,533","16,627","10.85","3,005","25,571","8.51","278","1,382","4.97","0","0","0.00"
"10770  :  โรงพยาบาลบางไทร","3,169","28,030","8.85","166","1,551","9.34","905","9,639","10.65","2,004","16,478","8.22","94","362","3.85","0","0","0.00"
"10771  :  โรงพยาบาลบางบาล","1,430","9,139","6.39","122","685","5.61","332","2,771","8.35","976","5,683","5.82","0","0","0.00","0","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","5,880","34,161","5.81","221","1,703","7.71","800","5,709","7.14","4,411","25,427","5.76","466","1,322","2.84","0","0","0.00"
"10773  :  โรงพยาบาลบางปะหัน","3,388","25,041","7.39","207","1,278","6.17","546","4,419","8.09","2,141","14,458","6.75","494","4,886","9.89","0","0","0.00"
"10774  :  โรงพยาบาลผักไห่","2,796","22,327","7.99","173","1,258","7.27","518","5,668","10.94","2,045","15,247","7.46","60","154","2.57","0","0","0.00"
"10775  :  โรงพยาบาลภาชี","3,099","22,836","7.37","220","1,686","7.66","767","6,888","8.98","2,021","13,943","6.90","91","319","3.51","0","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","2,705","25,004","9.24","103","776","7.53","541","5,908","10.92","1,886","17,440","9.25","176","880","5.00","0","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","8,432","52,469","6.22","262","1,542","5.89","2,861","20,750","7.25","4,802","28,485","5.93","507","1,692","3.34","0","0","0.00"
"10778  :  โรงพยาบาลบางซ้าย","643","4,817","7.49","19","136","7.16","181","1,778","9.82","427","2,826","6.62","16","77","4.81","0","0","0.00"
"10779  :  โรงพยาบาลอุทัย","5,773","40,108","6.95","292","2,181","7.47","2,192","17,236","7.86","3,062","19,493","6.37","227","1,198","5.28","0","0","0.00"
"10780  :  โรงพยาบาลมหาราช","1,755","13,220","7.53","148","995","6.72","351","2,862","8.15","1,235","9,292","7.52","21","71","3.38","0","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","773","5,804","7.51","80","437","5.46","150","1,337","8.91","520","3,860","7.42","23","170","7.39","0","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","16,625","107,855","6.49","2,003","16,941","8.46","2,825","17,204","6.09","11,559","72,225","6.25","238","1,484","6.24","1","1","1.00"
"10782  :  โรงพยาบาลไชโย","3,508","28,208","8.04","196","1,089","5.56","1,040","9,587","9.22","2,196","17,033","7.76","76","499","6.57","0","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","2,427","13,101","5.40","333","2,212","6.64","532","2,873","5.40","1,543","7,919","5.13","19","97","5.11","0","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","5,700","24,623","4.32","576","2,446","4.25","981","4,912","5.01","3,971","16,782","4.23","172","483","2.81","0","0","0.00"
"10786  :  โรงพยาบาลแสวงหา","2,286","11,722","5.13","198","1,074","5.42","422","2,971","7.04","1,633","7,561","4.63","38","116","3.05","0","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","7,761","35,915","4.63","1,022","5,134","5.02","952","5,104","5.36","5,625","25,064","4.46","170","613","3.61","0","0","0.00"
"10788  :  โรงพยาบาลสามโก้","2,142","11,597","5.41","131","655","5.00","546","3,463","6.34","1,410","7,339","5.20","55","140","2.55","0","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","30,000","203,516","6.78","4,850","31,376","6.47","7,321","49,277","6.73","17,772","122,256","6.88","83","607","7.31","0","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","8,767","54,648","6.23","854","6,106","7.15","1,237","8,769","7.09","6,336","38,724","6.11","340","1,049","3.09","0","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","4,263","18,669","4.38","254","788","3.10","92","271","2.95","0","0","0.00","3,521","16,049","4.56","488","1,561","3.20"
"10790  :  โรงพยาบาลโคกสำโรง","6,337","50,155","7.91","0","0","0.00","165","881","5.34","5,145","41,646","8.09","1,030","7,628","7.41","0","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","9,396","56,783","6.04","434","2,804","6.46","1,702","13,937","8.19","6,914","38,298","5.54","356","1,744","4.90","0","0","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","4,375","29,912","6.84","205","1,202","5.86","1,932","17,909","9.27","2,194","10,607","4.83","44","194","4.41","0","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","2,199","9,064","4.12","103","439","4.26","303","1,719","5.67","1,584","6,305","3.98","209","601","2.88","0","0","0.00"
