"โรงพยาบาล","ปีการศึกษา 2562 เทอม1","ปีการศึกษา 2562 เทอม2"
"เด็กนักเรียน ม.1 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ปราศจากฟันแท้ผุ(A)","%","เด็กนักเรียน ม.1 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ปราศจากฟันแท้ผุ(A)","%"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","1,244","7","0.56","6","85.71","1,240","0","0.00","0","0.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10754  :  โรงพยาบาลบางจาก","1,390","3","0.22","2","66.67","1,388","0","0.00","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","824","1","0.12","0","0.00","810","0","0.00","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","1,220","4","0.33","1","25.00","1,216","0","0.00","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","475","1","0.21","0","0.00","450","0","0.00","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","32","0","0.00","0","0.00","34","0","0.00","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","302","1","0.33","1","100.00","306","0","0.00","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","1,065","5","0.47","0","0.00","806","1","0.12","0","0.00"
"10759  :  โรงพยาบาลไทรน้อย","966","0","0.00","0","0.00","967","0","0.00","0","0.00"
"10760  :  โรงพยาบาลปากเกร็ด","2,847","7","0.25","5","71.43","2,795","0","0.00","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","1,619","133","8.21","101","75.94","1,597","1","0.06","1","100.00"
"10761  :  โรงพยาบาลคลองหลวง","50","0","0.00","0","0.00","34","0","0.00","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","1,582","5","0.32","3","60.00","1,579","0","0.00","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","2,640","22","0.83","19","86.36","2,609","1","0.04","1","100.00"
"10764  :  โรงพยาบาลหนองเสือ","904","7","0.77","3","42.86","889","0","0.00","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","436","12","2.75","9","75.00","435","1","0.23","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10767  :  โรงพยาบาลสามโคก","163","9","5.52","9","100.00","163","0","0.00","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","1,470","17","1.16","6","35.29","1,446","2","0.14","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","821","8","0.97","4","50.00","815","0","0.00","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","36","0","0.00","0","0.00","34","0","0.00","0","0.00"
"10770  :  โรงพยาบาลบางไทร","309","0","0.00","0","0.00","298","0","0.00","0","0.00"
"10771  :  โรงพยาบาลบางบาล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","1,199","24","2.00","4","16.67","1,183","3","0.25","1","33.33"
"10773  :  โรงพยาบาลบางปะหัน","538","8","1.49","7","87.50","529","0","0.00","0","0.00"
"10774  :  โรงพยาบาลผักไห่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10775  :  โรงพยาบาลภาชี","756","3","0.40","3","100.00","731","0","0.00","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","249","2","0.80","0","0.00","251","0","0.00","0","0.00"
"10778  :  โรงพยาบาลบางซ้าย","282","3","1.06","2","66.67","281","0","0.00","0","0.00"
"10779  :  โรงพยาบาลอุทัย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10780  :  โรงพยาบาลมหาราช","62","1","1.61","1","100.00","61","0","0.00","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","77","2","2.60","0","0.00","80","0","0.00","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10782  :  โรงพยาบาลไชโย","45","0","0.00","0","0.00","49","29","59.18","8","27.59"
"10784  :  โรงพยาบาลป่าโมก","264","0","0.00","0","0.00","265","1","0.38","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","567","4","0.71","4","100.00","556","1","0.18","0","0.00"
"10786  :  โรงพยาบาลแสวงหา","310","1","0.32","1","100.00","313","0","0.00","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","132","0","0.00","0","0.00","128","0","0.00","0","0.00"
"10788  :  โรงพยาบาลสามโก้","283","0","0.00","0","0.00","278","0","0.00","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","1,135","1","0.09","0","0.00","1,178","0","0.00","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","185","1","0.54","0","0.00","183","0","0.00","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","1,748","31","1.77","9","29.03","1,716","1","0.06","1","100.00"
"10792  :  โรงพยาบาลท่าวุ้ง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","155","0","0.00","0","0.00","142","0","0.00","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","377","2","0.53","1","50.00","366","1","0.27","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","311","0","0.00","0","0.00","306","0","0.00","0","0.00"
"10796  :  โรงพยาบาลลำสนธิ","378","0","0.00","0","0.00","369","2","0.54","1","50.00"
"10797  :  โรงพยาบาลหนองม่วง","500","4","0.80","0","0.00","499","1","0.20","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","3","0","0.00","0","0.00","2,123","0","0.00","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","7","0","0.00","0","0.00","793","0","0.00","0","0.00"
"10798  :  โรงพยาบาลบางระจัน","0","0","0.00","0","0.00","202","0","0.00","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","3","0","0.00","0","0.00","247","0","0.00","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","0","0","0.00","0","0.00","96","0","0.00","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","0","0","0.00","0","0.00","15","0","0.00","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","186","0","0.00","0","0.00","186","0","0.00","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","328","1","0.30","0","0.00","328","1","0.30","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","39","0","0.00","0","0.00","38","0","0.00","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","818","9","1.10","8","88.89","801","0","0.00","0","0.00"
"10806  :  โรงพยาบาลหันคา","932","5","0.54","3","60.00","924","0","0.00","0","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","740","4","0.54","3","75.00","724","1","0.14","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","1,675","30","1.79","26","86.67","1,663","0","0.00","0","0.00"
"10808  :  โรงพยาบาลหนองแค","1,152","3","0.26","3","100.00","1,130","0","0.00","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","31","0","0.00","0","0.00","30","0","0.00","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","573","5","0.87","3","60.00","559","1","0.18","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","59","0","0.00","0","0.00","56","0","0.00","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","1,611","65","4.03","44","67.69","1,604","3","0.19","1","33.33"
"10815  :  โรงพยาบาลมวกเหล็ก","590","1","0.17","1","100.00","552","0","0.00","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","289","0","0.00","0","0.00","317","0","0.00","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","2,186","24","1.10","9","37.50","2,165","5","0.23","0","0.00"
"10818  :  โรงพยาบาลหนองใหญ่","224","1","0.45","1","100.00","251","0","0.00","0","0.00"
"10819  :  โรงพยาบาลบางละมุง","563","3","0.53","3","100.00","491","0","0.00","0","0.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10821  :  โรงพยาบาลพานทอง","722","14","1.94","13","92.86","678","0","0.00","0","0.00"
"10822  :  โรงพยาบาลพนัสนิคม","1,978","24","1.21","10","41.67","1,929","10","0.52","5","50.00"
"10823  :  โรงพยาบาลแหลมฉบัง","2,260","6","0.27","2","33.33","2,157","0","0.00","0","0.00"
"10824  :  โรงพยาบาลเกาะสีชัง","107","5","4.67","3","60.00","108","2","1.85","1","50.00"
"10825  :  โรงพยาบาลสัตหีบกม10","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","666","15","2.25","13","86.67","671","0","0.00","0","0.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","2,388","5","0.21","3","60.00","2,306","0","0.00","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","545","2","0.37","2","100.00","0","0","0.00","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","353","0","0.00","0","0.00","332","2","0.60","0","0.00"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","1,766","292","16.53","291","99.66","1,761","0","0.00","0","0.00"
"10828  :  โรงพยาบาลบ้านฉาง","1,371","10","0.73","7","70.00","1,361","0","0.00","0","0.00"
"10829  :  โรงพยาบาลแกลง","1,476","44","2.98","32","72.73","1,456","1","0.07","0","0.00"
"10830  :  โรงพยาบาลวังจันทร์","843","120","14.23","98","81.67","850","35","4.12","28","80.00"
"10831  :  โรงพยาบาลบ้านค่าย","1,109","103","9.29","102","99.03","1,098","74","6.74","73","98.65"
"10832  :  โรงพยาบาลปลวกแดง","943","3","0.32","3","100.00","895","0","0.00","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","27","0","0.00","0","0.00","30","0","0.00","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","1,626","22","1.35","4","18.18","1,617","6","0.37","1","16.67"
"10834  :  โรงพยาบาลขลุง","160","1","0.63","0","0.00","27","0","0.00","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","1,236","11","0.89","5","45.45","722","1","0.14","1","100.00"
"10836  :  โรงพยาบาลเขาสุกิม","57","1","1.75","0","0.00","63","0","0.00","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","20","0","0.00","0","0.00","21","0","0.00","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","384","4","1.04","2","50.00","373","0","0.00","0","0.00"
"10839  :  โรงพยาบาลมะขาม","265","0","0.00","0","0.00","241","0","0.00","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","36","0","0.00","0","0.00","35","0","0.00","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","446","5","1.12","2","40.00","431","3","0.70","3","100.00"
"10843  :  โรงพยาบาลนายายอาม","662","5","0.76","2","40.00","448","3","0.67","0","0.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","428","3","0.70","2","66.67","423","1","0.24","0","0.00"
"10696  :  โรงพยาบาลตราด","1,427","10","0.70","8","80.00","1,362","1","0.07","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","551","0","0.00","0","0.00","745","1","0.13","1","100.00"
