"โรงพยาบาล","ปีการศึกษา 2563 เทอม1","ปีการศึกษา 2563 เทอม2"
"เด็กนักเรียน ม.1 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ฟันดีไม่มีผุ(A)","%","เด็กนักเรียน ม.1 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ฟันดีไม่มีผุ(A)","%"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","644","1","0.16","1","100.00","641","1","0.16","1","100.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10754  :  โรงพยาบาลบางจาก","666","1","0.15","0","0.00","670","10","1.49","10","100.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","297","0","0.00","0","0.00","303","8","2.64","8","100.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","559","4","0.72","1","25.00","553","2","0.36","1","50.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","234","1","0.43","1","100.00","232","0","0.00","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","16","0","0.00","0","0.00","15","0","0.00","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","159","9","5.66","8","88.89","160","7","4.38","6","85.71"
"10757  :  โรงพยาบาลบางใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","426","5","1.17","3","60.00","469","1","0.21","0","0.00"
"10759  :  โรงพยาบาลไทรน้อย","584","4","0.68","4","100.00","586","3","0.51","2","66.67"
"10760  :  โรงพยาบาลปากเกร็ด","1,278","4","0.31","4","100.00","1,278","1","0.08","1","100.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","647","33","5.10","31","93.94","642","4","0.62","4","100.00"
"10761  :  โรงพยาบาลคลองหลวง","21","0","0.00","0","0.00","21","0","0.00","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","653","1","0.15","0","0.00","651","3","0.46","1","33.33"
"10763  :  โรงพยาบาลประชาธิปัตย์","1,078","71","6.59","55","77.46","1,083","26","2.40","23","88.46"
"10764  :  โรงพยาบาลหนองเสือ","324","45","13.89","37","82.22","323","8","2.48","7","87.50"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","207","2","0.97","2","100.00","206","0","0.00","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10767  :  โรงพยาบาลสามโคก","94","4","4.26","4","100.00","96","1","1.04","1","100.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","528","22","4.17","15","68.18","521","25","4.80","23","92.00"
"10768  :  โรงพยาบาลท่าเรือ","343","5","1.46","3","60.00","404","73","18.07","59","80.82"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","16","0","0.00","0","0.00","15","0","0.00","0","0.00"
"10770  :  โรงพยาบาลบางไทร","98","2","2.04","2","100.00","97","1","1.03","1","100.00"
"10771  :  โรงพยาบาลบางบาล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","519","20","3.85","10","50.00","538","32","5.95","26","81.25"
"10773  :  โรงพยาบาลบางปะหัน","237","6","2.53","4","66.67","235","13","5.53","13","100.00"
"10774  :  โรงพยาบาลผักไห่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10775  :  โรงพยาบาลภาชี","264","4","1.52","2","50.00","264","22","8.33","18","81.82"
"10776  :  โรงพยาบาลลาดบัวหลวง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","114","2","1.75","1","50.00","110","3","2.73","2","66.67"
"10778  :  โรงพยาบาลบางซ้าย","98","11","11.22","8","72.73","97","2","2.06","1","50.00"
"10779  :  โรงพยาบาลอุทัย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10780  :  โรงพยาบาลมหาราช","25","1","4.00","1","100.00","26","0","0.00","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","49","0","0.00","0","0.00","50","1","2.00","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10782  :  โรงพยาบาลไชโย","12","11","91.67","6","54.55","12","0","0.00","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","170","0","0.00","0","0.00","177","1","0.56","1","100.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","222","2","0.90","2","100.00","223","33","14.80","33","100.00"
"10786  :  โรงพยาบาลแสวงหา","97","0","0.00","0","0.00","101","0","0.00","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","48","1","2.08","1","100.00","48","1","2.08","1","100.00"
"10788  :  โรงพยาบาลสามโก้","106","2","1.89","2","100.00","107","5","4.67","5","100.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0.00","23","1","4.35","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","474","0","0.00","0","0.00","470","0","0.00","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","63","0","0.00","0","0.00","65","1","1.54","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","774","15","1.94","8","53.33","791","21","2.65","14","66.67"
"10792  :  โรงพยาบาลท่าวุ้ง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","63","1","1.59","0","0.00","63","0","0.00","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","115","18","15.65","9","50.00","113","77","68.14","37","48.05"
"10795  :  โรงพยาบาลโคกเจริญ","110","1","0.91","1","100.00","110","94","85.45","59","62.77"
"10796  :  โรงพยาบาลลำสนธิ","168","1","0.60","0","0.00","161","0","0.00","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","225","6","2.67","2","33.33","230","10","4.35","4","40.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","703","5","0.71","4","80.00","703","15","2.13","15","100.00"
"10693  :  โรงพยาบาลอินทร์บุรี","261","4","1.53","4","100.00","261","20","7.66","19","95.00"
"10798  :  โรงพยาบาลบางระจัน","69","1","1.45","1","100.00","68","2","2.94","2","100.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","90","1","1.11","1","100.00","88","0","0.00","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","32","0","0.00","0","0.00","31","0","0.00","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","15","0","0.00","0","0.00","15","10","66.67","8","80.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","86","0","0.00","0","0.00","85","0","0.00","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","119","9","7.56","7","77.78","119","109","91.60","109","100.00"
"10804  :  โรงพยาบาลสรรพยา","11","0","0.00","0","0.00","11","1","9.09","1","100.00"
"10805  :  โรงพยาบาลสรรคบุรี","294","122","41.50","90","73.77","291","1","0.34","1","100.00"
"10806  :  โรงพยาบาลหันคา","331","1","0.30","1","100.00","325","9","2.77","8","88.89"
"27974  :  โรงพยาบาลหนองมะโมง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","244","54","22.13","25","46.30","252","7","2.78","5","71.43"
"10807  :  โรงพยาบาลแก่งคอย","595","59","9.92","55","93.22","706","47","6.66","44","93.62"
"10808  :  โรงพยาบาลหนองแค","558","3","0.54","2","66.67","628","0","0.00","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","12","0","0.00","0","0.00","12","0","0.00","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","192","2","1.04","1","50.00","190","1","0.53","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","34","1","2.94","0","0.00","33","0","0.00","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","644","66","10.25","47","71.21","638","19","2.98","16","84.21"
"10815  :  โรงพยาบาลมวกเหล็ก","305","2","0.66","1","50.00","302","1","0.33","1","100.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","157","2","1.27","2","100.00","155","2","1.29","2","100.00"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0.00","0","0.00","69","0","0.00","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","909","19","2.09","15","78.95","1,037","247","23.82","212","85.83"
"10818  :  โรงพยาบาลหนองใหญ่","118","2","1.69","2","100.00","128","2","1.56","1","50.00"
"10819  :  โรงพยาบาลบางละมุง","254","3","1.18","3","100.00","259","11","4.25","11","100.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10821  :  โรงพยาบาลพานทอง","439","48","10.93","40","83.33","436","26","5.96","24","92.31"
"10822  :  โรงพยาบาลพนัสนิคม","927","78","8.41","72","92.31","922","58","6.29","54","93.10"
"10823  :  โรงพยาบาลแหลมฉบัง","1,398","9","0.64","9","100.00","1,858","29","1.56","25","86.21"
"10824  :  โรงพยาบาลเกาะสีชัง","35","9","25.71","8","88.89","33","1","3.03","1","100.00"
"10825  :  โรงพยาบาลสัตหีบกม10","2","0","0.00","0","0.00","260","5","1.92","5","100.00"
"10826  :  โรงพยาบาลบ่อทอง","272","20","7.35","19","95.00","275","32","11.64","32","100.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","944","8","0.85","8","100.00","1,105","24","2.17","18","75.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","204","6","2.94","6","100.00","204","6","2.94","3","50.00"
"28005  :  โรงพยาบาลเมืองพัทยา","1,307","19","1.45","15","78.95","1,186","24","2.02","22","91.67"
"28006  :  โรงพยาบาลเกาะจันทร์","152","2","1.32","2","100.00","150","12","8.00","11","91.67"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","1,124","5","0.44","5","100.00","1,131","3","0.27","3","100.00"
"10828  :  โรงพยาบาลบ้านฉาง","551","14","2.54","12","85.71","548","0","0.00","0","0.00"
"10829  :  โรงพยาบาลแกลง","563","42","7.46","30","71.43","568","9","1.58","8","88.89"
"10830  :  โรงพยาบาลวังจันทร์","282","69","24.47","62","89.86","290","9","3.10","9","100.00"
"10831  :  โรงพยาบาลบ้านค่าย","446","40","8.97","40","100.00","437","43","9.84","43","100.00"
"10832  :  โรงพยาบาลปลวกแดง","600","9","1.50","8","88.89","598","6","1.00","6","100.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","13","0","0.00","0","0.00","13","0","0.00","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","528","17","3.22","7","41.18","529","9","1.70","6","66.67"
"10834  :  โรงพยาบาลขลุง","77","4","5.19","4","100.00","219","1","0.46","1","100.00"
"10835  :  โรงพยาบาลท่าใหม่","413","22","5.33","19","86.36","465","3","0.65","2","66.67"
"10836  :  โรงพยาบาลเขาสุกิม","27","0","0.00","0","0.00","29","1","3.45","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","12","2","16.67","2","100.00","12","0","0.00","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","166","0","0.00","0","0.00","171","0","0.00","0","0.00"
"10839  :  โรงพยาบาลมะขาม","117","1","0.85","1","100.00","123","0","0.00","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","7","0","0.00","0","0.00","8","7","87.50","6","85.71"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","172","2","1.16","1","50.00","177","0","0.00","0","0.00"
"10843  :  โรงพยาบาลนายายอาม","164","3","1.83","2","66.67","162","1","0.62","1","100.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","228","1","0.44","1","100.00","139","1","0.72","1","100.00"
"10696  :  โรงพยาบาลตราด","527","6","1.14","6","100.00","649","0","0.00","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","190","0","0.00","0","0.00","256","11","4.30","10","90.91"
"10846  :  โรงพยาบาลเขาสมิง","20","0","0.00","0","0.00","20","1","5.00","1","100.00"
