"โรงพยาบาล","ปีการศึกษา 2562 เทอม1","ปีการศึกษา 2562 เทอม2"
"เด็กนักเรียน ม.1 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ฟันดีไม่มีผุ(A)","%","เด็กนักเรียน ม.1 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ฟันดีไม่มีผุ(A)","%"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","428","6","1.40","6","100.00","429","0","0.00","0","0.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10754  :  โรงพยาบาลบางจาก","438","1","0.23","1","100.00","439","0","0.00","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","286","0","0.00","0","0.00","288","0","0.00","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","435","1","0.23","1","100.00","439","0","0.00","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","172","0","0.00","0","0.00","168","0","0.00","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","5","0","0.00","0","0.00","5","0","0.00","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","98","1","1.02","1","100.00","99","0","0.00","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","334","0","0.00","0","0.00","256","1","0.39","0","0.00"
"10759  :  โรงพยาบาลไทรน้อย","340","0","0.00","0","0.00","343","0","0.00","0","0.00"
"10760  :  โรงพยาบาลปากเกร็ด","956","4","0.42","4","100.00","937","0","0.00","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","563","43","7.64","33","76.74","557","0","0.00","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","14","0","0.00","0","0.00","7","0","0.00","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","545","2","0.37","2","100.00","544","0","0.00","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","874","13","1.49","13","100.00","862","0","0.00","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","316","3","0.95","3","100.00","319","0","0.00","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","155","8","5.16","7","87.50","157","0","0.00","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10767  :  โรงพยาบาลสามโคก","63","6","9.52","6","100.00","64","0","0.00","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","502","7","1.39","3","42.86","499","0","0.00","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","281","7","2.49","4","57.14","278","0","0.00","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","18","0","0.00","0","0.00","17","0","0.00","0","0.00"
"10770  :  โรงพยาบาลบางไทร","107","0","0.00","0","0.00","106","0","0.00","0","0.00"
"10771  :  โรงพยาบาลบางบาล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","424","11","2.59","5","45.45","427","1","0.23","1","100.00"
"10773  :  โรงพยาบาลบางปะหัน","194","7","3.61","6","85.71","189","0","0.00","0","0.00"
"10774  :  โรงพยาบาลผักไห่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10775  :  โรงพยาบาลภาชี","284","3","1.06","3","100.00","279","0","0.00","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","93","2","2.15","0","0.00","95","0","0.00","0","0.00"
"10778  :  โรงพยาบาลบางซ้าย","85","1","1.18","0","0.00","84","0","0.00","0","0.00"
"10779  :  โรงพยาบาลอุทัย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10780  :  โรงพยาบาลมหาราช","24","0","0.00","0","0.00","24","0","0.00","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","26","2","7.69","0","0.00","25","0","0.00","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10782  :  โรงพยาบาลไชโย","13","0","0.00","0","0.00","14","13","92.86","12","92.31"
"10784  :  โรงพยาบาลป่าโมก","94","0","0.00","0","0.00","95","0","0.00","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","192","4","2.08","4","100.00","188","0","0.00","0","0.00"
"10786  :  โรงพยาบาลแสวงหา","100","0","0.00","0","0.00","101","0","0.00","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","51","0","0.00","0","0.00","49","0","0.00","0","0.00"
"10788  :  โรงพยาบาลสามโก้","104","0","0.00","0","0.00","104","0","0.00","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","398","0","0.00","0","0.00","418","0","0.00","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","68","0","0.00","0","0.00","68","0","0.00","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","583","9","1.54","3","33.33","572","1","0.17","1","100.00"
"10792  :  โรงพยาบาลท่าวุ้ง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","53","0","0.00","0","0.00","47","0","0.00","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","136","2","1.47","1","50.00","134","0","0.00","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","117","0","0.00","0","0.00","118","0","0.00","0","0.00"
"10796  :  โรงพยาบาลลำสนธิ","121","0","0.00","0","0.00","117","1","0.85","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","170","3","1.76","0","0.00","170","0","0.00","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","0","0","0.00","0","0.00","708","0","0.00","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","0","0","0.00","0","0.00","286","0","0.00","0","0.00"
"10798  :  โรงพยาบาลบางระจัน","0","0","0.00","0","0.00","85","0","0.00","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","2","0","0.00","0","0.00","94","0","0.00","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","0","0","0.00","0","0.00","38","0","0.00","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","0","0","0.00","0","0.00","9","0","0.00","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","56","0","0.00","0","0.00","56","0","0.00","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","135","1","0.74","0","0.00","133","1","0.75","1","100.00"
"10804  :  โรงพยาบาลสรรพยา","14","0","0.00","0","0.00","13","0","0.00","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","304","2","0.66","1","50.00","299","0","0.00","0","0.00"
"10806  :  โรงพยาบาลหันคา","301","5","1.66","4","80.00","301","0","0.00","0","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","261","4","1.53","4","100.00","259","1","0.39","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","603","28","4.64","26","92.86","600","0","0.00","0","0.00"
"10808  :  โรงพยาบาลหนองแค","435","2","0.46","2","100.00","429","0","0.00","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","15","0","0.00","0","0.00","14","0","0.00","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","185","1","0.54","1","100.00","185","0","0.00","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","22","0","0.00","0","0.00","19","0","0.00","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","571","30","5.25","27","90.00","570","1","0.18","0","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","175","0","0.00","0","0.00","169","0","0.00","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","91","0","0.00","0","0.00","99","0","0.00","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","745","13","1.74","10","76.92","735","1","0.14","0","0.00"
"10818  :  โรงพยาบาลหนองใหญ่","87","1","1.15","1","100.00","100","0","0.00","0","0.00"
"10819  :  โรงพยาบาลบางละมุง","168","3","1.79","3","100.00","144","0","0.00","0","0.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10821  :  โรงพยาบาลพานทอง","252","10","3.97","10","100.00","235","0","0.00","0","0.00"
"10822  :  โรงพยาบาลพนัสนิคม","662","12","1.81","8","66.67","645","2","0.31","1","50.00"
"10823  :  โรงพยาบาลแหลมฉบัง","737","4","0.54","2","50.00","734","0","0.00","0","0.00"
"10824  :  โรงพยาบาลเกาะสีชัง","35","2","5.71","2","100.00","36","1","2.78","1","100.00"
"10825  :  โรงพยาบาลสัตหีบกม10","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","229","6","2.62","6","100.00","233","0","0.00","0","0.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","819","3","0.37","3","100.00","792","0","0.00","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","194","2","1.03","2","100.00","0","0","0.00","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","107","0","0.00","0","0.00","106","0","0.00","0","0.00"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","632","291","46.04","290","99.66","627","0","0.00","0","0.00"
"10828  :  โรงพยาบาลบ้านฉาง","507","7","1.38","6","85.71","499","0","0.00","0","0.00"
"10829  :  โรงพยาบาลแกลง","521","28","5.37","20","71.43","515","1","0.19","0","0.00"
"10830  :  โรงพยาบาลวังจันทร์","313","47","15.02","41","87.23","317","17","5.36","15","88.24"
"10831  :  โรงพยาบาลบ้านค่าย","381","49","12.86","48","97.96","377","28","7.43","28","100.00"
"10832  :  โรงพยาบาลปลวกแดง","353","0","0.00","0","0.00","338","0","0.00","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","9","0","0.00","0","0.00","11","0","0.00","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","517","10","1.93","2","20.00","513","2","0.39","2","100.00"
"10834  :  โรงพยาบาลขลุง","50","1","2.00","1","100.00","9","0","0.00","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","392","4","1.02","2","50.00","244","0","0.00","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","26","1","3.85","0","0.00","29","0","0.00","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","8","0","0.00","0","0.00","9","0","0.00","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","146","1","0.68","1","100.00","142","0","0.00","0","0.00"
"10839  :  โรงพยาบาลมะขาม","93","0","0.00","0","0.00","80","0","0.00","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","14","0","0.00","0","0.00","13","0","0.00","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","147","0","0.00","0","0.00","141","0","0.00","0","0.00"
"10843  :  โรงพยาบาลนายายอาม","216","3","1.39","1","33.33","149","1","0.67","0","0.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","168","1","0.60","1","100.00","160","0","0.00","0","0.00"
"10696  :  โรงพยาบาลตราด","486","6","1.23","6","100.00","468","1","0.21","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","174","0","0.00","0","0.00","265","0","0.00","0","0.00"
"10846  :  โรงพยาบาลเขาสมิง","14","0","0.00","0","0.00","15","0","0.00","0","0.00"
"10847  :  โรงพยาบาลบ่อไร่","160","3","1.88","2","66.67","160","0","0.00","0","0.00"
