"โรงพยาบาล","ปีการศึกษา 2563 เทอม1","ปีการศึกษา 2563 เทอม2"
"เด็กนักเรียน ม.1 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ปราศจากฟันแท้ผุ(A)","%","เด็กนักเรียน ม.1 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ปราศจากฟันแท้ผุ(A)","%"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","1,676","1","0.06","1","100.00","1,665","2","0.12","1","50.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10754  :  โรงพยาบาลบางจาก","1,858","3","0.16","1","33.33","1,863","10","0.54","9","90.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","990","0","0.00","0","0.00","993","8","0.81","7","87.50"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","1,660","6","0.36","1","16.67","1,643","6","0.37","1","16.67"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","680","3","0.44","0","0.00","668","0","0.00","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","37","0","0.00","0","0.00","34","0","0.00","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","446","10","2.24","9","90.00","449","16","3.56","11","68.75"
"10757  :  โรงพยาบาลบางใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","1,510","7","0.46","2","28.57","1,386","4","0.29","2","50.00"
"10759  :  โรงพยาบาลไทรน้อย","1,539","4","0.26","4","100.00","1,503","3","0.20","2","66.67"
"10760  :  โรงพยาบาลปากเกร็ด","3,642","12","0.33","8","66.67","3,637","3","0.08","1","33.33"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","1,838","56","3.05","50","89.29","1,827","6","0.33","4","66.67"
"10761  :  โรงพยาบาลคลองหลวง","54","0","0.00","0","0.00","54","0","0.00","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","1,874","5","0.27","3","60.00","1,867","3","0.16","1","33.33"
"10763  :  โรงพยาบาลประชาธิปัตย์","3,187","151","4.74","73","48.34","3,188","292","9.16","135","46.23"
"10764  :  โรงพยาบาลหนองเสือ","999","90","9.01","71","78.89","1,007","20","1.99","11","55.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","643","6","0.93","6","100.00","640","2","0.31","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10767  :  โรงพยาบาลสามโคก","246","5","2.03","5","100.00","251","1","0.40","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","1,549","35","2.26","13","37.14","1,542","50","3.24","37","74.00"
"10768  :  โรงพยาบาลท่าเรือ","1,066","15","1.41","7","46.67","1,158","79","6.82","54","68.35"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","43","0","0.00","0","0.00","42","0","0.00","0","0.00"
"10770  :  โรงพยาบาลบางไทร","325","2","0.62","2","100.00","317","2","0.63","1","50.00"
"10771  :  โรงพยาบาลบางบาล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","1,523","37","2.43","12","32.43","1,601","52","3.25","32","61.54"
"10773  :  โรงพยาบาลบางปะหัน","637","9","1.41","5","55.56","627","15","2.39","13","86.67"
"10774  :  โรงพยาบาลผักไห่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10775  :  โรงพยาบาลภาชี","831","8","0.96","4","50.00","812","27","3.33","18","66.67"
"10776  :  โรงพยาบาลลาดบัวหลวง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","403","6","1.49","0","0.00","395","3","0.76","2","66.67"
"10778  :  โรงพยาบาลบางซ้าย","316","11","3.48","6","54.55","311","3","0.96","1","33.33"
"10779  :  โรงพยาบาลอุทัย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10780  :  โรงพยาบาลมหาราช","76","1","1.32","1","100.00","80","0","0.00","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","150","1","0.67","0","0.00","147","1","0.68","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10782  :  โรงพยาบาลไชโย","65","60","92.31","22","36.67","66","0","0.00","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","518","0","0.00","0","0.00","537","1","0.19","1","100.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","640","6","0.94","6","100.00","639","35","5.48","33","94.29"
"10786  :  โรงพยาบาลแสวงหา","335","0","0.00","0","0.00","335","0","0.00","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","153","1","0.65","1","100.00","154","1","0.65","1","100.00"
"10788  :  โรงพยาบาลสามโก้","322","2","0.62","2","100.00","320","5","1.56","5","100.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0.00","67","1","1.49","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","1,472","0","0.00","0","0.00","1,476","1","0.07","1","100.00"
"10790  :  โรงพยาบาลโคกสำโรง","177","0","0.00","0","0.00","183","1","0.55","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","2,194","44","2.01","18","40.91","2,187","38","1.74","18","47.37"
"10792  :  โรงพยาบาลท่าวุ้ง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","173","1","0.58","0","0.00","172","0","0.00","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","375","39","10.40","12","30.77","365","259","70.96","57","22.01"
"10795  :  โรงพยาบาลโคกเจริญ","342","1","0.29","1","100.00","343","95","27.70","58","61.05"
"10796  :  โรงพยาบาลลำสนธิ","457","3","0.66","1","33.33","445","0","0.00","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","653","12","1.84","2","16.67","589","15","2.55","4","26.67"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","2,418","7","0.29","6","85.71","2,147","19","0.88","18","94.74"
"10693  :  โรงพยาบาลอินทร์บุรี","797","9","1.13","6","66.67","794","24","3.02","23","95.83"
"10798  :  โรงพยาบาลบางระจัน","194","1","0.52","1","100.00","191","2","1.05","2","100.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","387","1","0.26","1","100.00","258","0","0.00","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","101","0","0.00","0","0.00","98","0","0.00","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","99","0","0.00","0","0.00","24","10","41.67","4","40.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","245","0","0.00","0","0.00","244","0","0.00","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","392","10","2.55","7","70.00","387","109","28.17","109","100.00"
"10804  :  โรงพยาบาลสรรพยา","39","0","0.00","0","0.00","39","1","2.56","1","100.00"
"10805  :  โรงพยาบาลสรรคบุรี","1,112","124","11.15","55","44.35","886","3","0.34","0","0.00"
"10806  :  โรงพยาบาลหันคา","1,007","2","0.20","1","50.00","983","9","0.92","8","88.89"
"27974  :  โรงพยาบาลหนองมะโมง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","823","142","17.25","57","40.14","844","10","1.18","7","70.00"
"10807  :  โรงพยาบาลแก่งคอย","1,813","85","4.69","77","90.59","2,117","50","2.36","42","84.00"
"10808  :  โรงพยาบาลหนองแค","1,686","5","0.30","4","80.00","1,855","1","0.05","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","35","0","0.00","0","0.00","35","0","0.00","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","593","8","1.35","4","50.00","591","7","1.18","2","28.57"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","75","1","1.33","0","0.00","72","1","1.39","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","1,859","111","5.97","70","63.06","1,845","29","1.57","22","75.86"
"10815  :  โรงพยาบาลมวกเหล็ก","944","4","0.42","3","75.00","942","2","0.21","2","100.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","470","2","0.43","2","100.00","464","2","0.43","2","100.00"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0.00","0","0.00","173","0","0.00","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","2,617","34","1.30","16","47.06","2,996","282","9.41","206","73.05"
"10818  :  โรงพยาบาลหนองใหญ่","316","3","0.95","3","100.00","334","2","0.60","1","50.00"
"10819  :  โรงพยาบาลบางละมุง","778","3","0.39","3","100.00","788","11","1.40","11","100.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10821  :  โรงพยาบาลพานทอง","1,230","52","4.23","30","57.69","1,211","27","2.23","23","85.19"
"10822  :  โรงพยาบาลพนัสนิคม","2,568","112","4.36","63","56.25","2,561","81","3.16","74","91.36"
"10823  :  โรงพยาบาลแหลมฉบัง","4,100","16","0.39","11","68.75","5,257","36","0.68","29","80.56"
"10824  :  โรงพยาบาลเกาะสีชัง","102","14","13.73","10","71.43","98","3","3.06","2","66.67"
"10825  :  โรงพยาบาลสัตหีบกม10","2","0","0.00","0","0.00","784","7","0.89","4","57.14"
"10826  :  โรงพยาบาลบ่อทอง","981","38","3.87","34","89.47","810","41","5.06","41","100.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","2,784","12","0.43","8","66.67","3,248","27","0.83","21","77.78"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","623","7","1.12","6","85.71","623","6","0.96","6","100.00"
"28005  :  โรงพยาบาลเมืองพัทยา","3,542","31","0.88","24","77.42","3,384","34","1.00","28","82.35"
"28006  :  โรงพยาบาลเกาะจันทร์","713","6","0.84","4","66.67","449","13","2.90","11","84.62"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","3,063","6","0.20","6","100.00","3,064","4","0.13","4","100.00"
"10828  :  โรงพยาบาลบ้านฉาง","1,559","23","1.48","18","78.26","1,535","1","0.07","0","0.00"
"10829  :  โรงพยาบาลแกลง","1,629","88","5.40","62","70.45","1,635","11","0.67","8","72.73"
"10830  :  โรงพยาบาลวังจันทร์","1,016","175","17.22","147","84.00","1,021","15","1.47","14","93.33"
"10831  :  โรงพยาบาลบ้านค่าย","1,301","128","9.84","125","97.66","1,285","77","5.99","72","93.51"
"10832  :  โรงพยาบาลปลวกแดง","1,594","12","0.75","11","91.67","1,593","7","0.44","7","100.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","35","0","0.00","0","0.00","40","0","0.00","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","1,686","43","2.55","14","32.56","1,682","19","1.13","9","47.37"
"10834  :  โรงพยาบาลขลุง","339","6","1.77","4","66.67","568","1","0.18","1","100.00"
"10835  :  โรงพยาบาลท่าใหม่","1,293","32","2.47","18","56.25","1,455","11","0.76","5","45.45"
"10836  :  โรงพยาบาลเขาสุกิม","82","0","0.00","0","0.00","83","2","2.41","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","36","2","5.56","0","0.00","33","0","0.00","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","428","1","0.23","1","100.00","441","0","0.00","0","0.00"
"10839  :  โรงพยาบาลมะขาม","298","1","0.34","1","100.00","311","0","0.00","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","33","0","0.00","0","0.00","35","31","88.57","10","32.26"
"10841  :  โรงพยาบาลสอยดาว","131","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","610","4","0.66","2","50.00","504","2","0.40","1","50.00"
"10843  :  โรงพยาบาลนายายอาม","531","8","1.51","2","25.00","453","5","1.10","1","20.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","749","2","0.27","1","50.00","434","4","0.92","3","75.00"
"10696  :  โรงพยาบาลตราด","1,530","9","0.59","7","77.78","1,838","2","0.11","1","50.00"
