"โรงพยาบาล","รวมทั้งปีการศึกษา 2561","ปีการศึกษา 2561 เทอม1","ปีการศึกษา 2561 เทอม2"
"เด็กนักเรียน ป.1-6(B)","ได้รับการตรวจเหา และได้รับการแก้ไข(A)","%","เด็กนักเรียน ป.1-6(B)","ได้รับการตรวจเหา และได้รับการแก้ไข(A)","%","เด็กนักเรียน ป.1-6(B)","ได้รับการตรวจเหา และได้รับการแก้ไข(A)","%"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0.00","0","0","0.00","0","0","0.00"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0.00","0","0","0.00","0","0","0.00"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0.00","0","0","0.00","0","0","0.00"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0.00","0","0","0.00","0","0","0.00"
"11592  :  โรงพยาบาลบางนา1","0","0","0.00","0","0","0.00","0","0","0.00"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","0","0","0.00","0","0","0.00","0","0","0.00"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0.00","0","0","0.00","0","0","0.00"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0.00","0","0","0.00","0","0","0.00"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0.00","0","0","0.00","0","0","0.00"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0.00","0","0","0.00","0","0","0.00"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"11621  :  โรงพยาบาลบางไผ่","0","0","0.00","0","0","0.00","0","0","0.00"
"11626  :  โรงพยาบาลคลองตัน","0","0","0.00","0","0","0.00","0","0","0.00"
"11628  :  โรงพยาบาลพระราม 9","0","0","0.00","0","0","0.00","0","0","0.00"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0.00","0","0","0.00","0","0","0.00"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0.00","0","0","0.00","0","0","0.00"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0.00","0","0","0.00","0","0","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0","0.00","0","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0","0.00","0","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0","0.00","0","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0","0.00","0","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0","0.00","0","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0","0.00","0","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0","0.00","0","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0","0.00","0","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0","0.00","0","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0","0.00","0","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0","0.00","0","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0","0.00","0","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0","0.00","0","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0","0.00","0","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0","0.00","0","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0","0.00","0","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0","0.00","0","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0","0.00","0","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0","0.00","0","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0","0.00","0","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0","0.00","0","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0","0.00","0","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0","0.00","0","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0","0.00","0","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0","0.00","0","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0","0.00","0","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0","0.00","0","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0","0.00","0","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0","0.00","0","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0","0.00","0","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0","0.00","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0","0.00","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0","0.00","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0","0.00","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0","0.00","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0","0.00","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0","0.00","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0","0.00","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0","0.00","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0","0.00","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0","0.00","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0","0.00","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0","0.00","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0","0.00","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0","0.00","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0","0.00","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0","0.00","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0","0.00","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0","0.00","0","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","2,658","0","0.00","0","0","0.00","2,658","0","0.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0","0.00","0","0","0.00"
"10754  :  โรงพยาบาลบางจาก","296","1","0.34","0","0","0.00","296","1","0.34"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","1,524","0","0.00","0","0","0.00","1,524","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","2,162","0","0.00","0","0","0.00","2,162","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0","0.00","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0","0.00","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","729","1","0.14","0","0","0.00","729","1","0.14"
"28785  :  โรงพยาบาลบางเสาธง","137","0","0.00","0","0","0.00","137","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0","0.00","0","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","210","0","0.00","210","0","0.00","0","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","1,044","0","0.00","0","0","0.00","1,044","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","2,937","33","1.12","0","0","0.00","2,937","27","0.92"
"10759  :  โรงพยาบาลไทรน้อย","1,822","4","0.22","0","0","0.00","1,822","4","0.22"
"10760  :  โรงพยาบาลปากเกร็ด","2,695","0","0.00","937","0","0.00","1,758","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0","0.00","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0","0.00","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0","0.00","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0","0.00","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0","0.00","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0","0.00","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00","0","0","0.00","0","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0","0.00","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","402","1","0.25","0","0","0.00","402","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","1,470","0","0.00","0","0","0.00","1,470","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","546","0","0.00","0","0","0.00","546","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","2,185","0","0.00","0","0","0.00","2,185","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","1,325","0","0.00","0","0","0.00","1,325","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","692","0","0.00","0","0","0.00","692","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","1,320","0","0.00","0","0","0.00","1,320","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0","0.00","0","0","0.00"
"10767  :  โรงพยาบาลสามโคก","612","0","0.00","0","0","0.00","612","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0","0.00","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0","0.00","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","1,931","0","0.00","521","0","0.00","1,410","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","2,729","0","0.00","991","0","0.00","1,738","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","133","0","0.00","0","0","0.00","133","0","0.00"
"10770  :  โรงพยาบาลบางไทร","284","0","0.00","0","0","0.00","284","0","0.00"
"10771  :  โรงพยาบาลบางบาล","43","0","0.00","0","0","0.00","43","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","1,246","0","0.00","0","0","0.00","1,246","0","0.00"
"10773  :  โรงพยาบาลบางปะหัน","28","0","0.00","0","0","0.00","28","0","0.00"
"10774  :  โรงพยาบาลผักไห่","45","0","0.00","0","0","0.00","45","0","0.00"
"10775  :  โรงพยาบาลภาชี","724","0","0.00","0","0","0.00","724","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","594","0","0.00","0","0","0.00","594","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","351","0","0.00","0","0","0.00","351","0","0.00"
"10778  :  โรงพยาบาลบางซ้าย","253","0","0.00","0","0","0.00","253","0","0.00"
"10779  :  โรงพยาบาลอุทัย","79","0","0.00","0","0","0.00","79","0","0.00"
"10780  :  โรงพยาบาลมหาราช","123","0","0.00","0","0","0.00","123","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","88","0","0.00","0","0","0.00","88","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","2,375","0","0.00","0","0","0.00","2,375","0","0.00"
"10782  :  โรงพยาบาลไชโย","175","0","0.00","0","0","0.00","175","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","156","0","0.00","0","0","0.00","156","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","519","0","0.00","0","0","0.00","519","0","0.00"
"10786  :  โรงพยาบาลแสวงหา","450","0","0.00","0","0","0.00","450","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","1,781","0","0.00","0","0","0.00","1,781","0","0.00"
"10788  :  โรงพยาบาลสามโก้","147","0","0.00","0","0","0.00","147","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0","0.00","0","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","407","0","0.00","407","0","0.00","0","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","2,140","3","0.14","0","0","0.00","2,140","3","0.14"
"10790  :  โรงพยาบาลโคกสำโรง","502","0","0.00","0","0","0.00","502","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","3,389","0","0.00","0","0","0.00","3,389","0","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","262","0","0.00","0","0","0.00","262","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","798","1","0.13","0","0","0.00","798","1","0.13"
"10794  :  โรงพยาบาลสระโบสถ์","547","0","0.00","0","0","0.00","547","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","351","83","23.65","0","0","0.00","351","22","6.27"
"10796  :  โรงพยาบาลลำสนธิ","635","0","0.00","0","0","0.00","635","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","1,619","1","0.06","49","0","0.00","1,570","1","0.06"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","4,006","0","0.00","0","0","0.00","4,006","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","725","0","0.00","0","0","0.00","725","0","0.00"
"10798  :  โรงพยาบาลบางระจัน","155","0","0.00","0","0","0.00","155","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","299","0","0.00","0","0","0.00","299","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","289","0","0.00","0","0","0.00","289","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","135","0","0.00","0","0","0.00","135","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0","0.00","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","0","0","0.00","0","0","0.00","0","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","0","0","0.00","0","0","0.00","0","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","0","0","0.00","0","0","0.00","0","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"10806  :  โรงพยาบาลหันคา","0","0","0.00","0","0","0.00","0","0","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","0","0","0.00","0","0","0.00","0","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0","0.00","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0.00","0","0","0.00","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","3,197","0","0.00","1,191","0","0.00","2,006","0","0.00"
"10808  :  โรงพยาบาลหนองแค","1,748","47","2.69","1,004","0","0.00","744","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","315","0","0.00","0","0","0.00","315","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","162","0","0.00","0","0","0.00","162","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","847","0","0.00","0","0","0.00","847","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0","0.00","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","235","0","0.00","0","0","0.00","235","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","1,009","0","0.00","0","0","0.00","1,009","0","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","1,487","0","0.00","0","0","0.00","1,487","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","902","0","0.00","0","0","0.00","902","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","1,399","0","0.00","327","0","0.00","1,072","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","3,999","0","0.00","0","0","0.00","3,999","0","0.00"
"10818  :  โรงพยาบาลหนองใหญ่","823","0","0.00","0","0","0.00","823","0","0.00"
"10819  :  โรงพยาบาลบางละมุง","1,918","0","0.00","0","0","0.00","1,918","0","0.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","244","0","0.00","0","0","0.00","244","0","0.00"
"10821  :  โรงพยาบาลพานทอง","1,552","0","0.00","0","0","0.00","1,552","0","0.00"
"10822  :  โรงพยาบาลพนัสนิคม","4,409","0","0.00","0","0","0.00","4,409","0","0.00"
"10823  :  โรงพยาบาลแหลมฉบัง","14,077","0","0.00","2,834","0","0.00","11,243","0","0.00"
"10824  :  โรงพยาบาลเกาะสีชัง","0","0","0.00","0","0","0.00","0","0","0.00"
"10825  :  โรงพยาบาลสัตหีบกม10","0","0","0.00","0","0","0.00","0","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","1,018","0","0.00","0","0","0.00","1,018","0","0.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0","0.00","0","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0","0.00","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","2,916","0","0.00","0","0","0.00","2,916","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0","0.00","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","0","0","0.00","0","0","0.00","0","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","0","0","0.00","0","0","0.00","0","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","734","0","0.00","0","0","0.00","734","0","0.00"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0","0.00","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","0","0","0.00","0","0","0.00","0","0","0.00"
"10828  :  โรงพยาบาลบ้านฉาง","389","0","0.00","269","0","0.00","120","0","0.00"
"10829  :  โรงพยาบาลแกลง","4,164","0","0.00","111","0","0.00","4,053","0","0.00"
"10830  :  โรงพยาบาลวังจันทร์","904","0","0.00","0","0","0.00","904","0","0.00"
"10831  :  โรงพยาบาลบ้านค่าย","411","0","0.00","0","0","0.00","411","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","2,798","0","0.00","0","0","0.00","2,798","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","70","0","0.00","0","0","0.00","70","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","175","0","0.00","0","0","0.00","175","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","4,388","2,487","56.68","0","0","0.00","4,388","0","0.00"
"10834  :  โรงพยาบาลขลุง","1,599","0","0.00","860","0","0.00","739","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","2,617","2","0.08","695","0","0.00","1,922","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","128","0","0.00","0","0","0.00","128","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","88","0","0.00","0","0","0.00","88","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","984","0","0.00","0","0","0.00","984","0","0.00"
"10839  :  โรงพยาบาลมะขาม","118","0","0.00","0","0","0.00","118","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","283","0","0.00","0","0","0.00","283","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","5","0","0.00","0","0","0.00","5","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","1,059","0","0.00","0","0","0.00","1,059","0","0.00"
"10843  :  โรงพยาบาลนายายอาม","699","0","0.00","0","0","0.00","699","0","0.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","465","0","0.00","0","0","0.00","465","0","0.00"
"10696  :  โรงพยาบาลตราด","4,668","0","0.00","575","0","0.00","4,093","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","1,001","1","0.10","0","0","0.00","1,001","0","0.00"
"10846  :  โรงพยาบาลเขาสมิง","292","0","0.00","0","0","0.00","292","0","0.00"
"10847  :  โรงพยาบาลบ่อไร่","799","1","0.13","0","0","0.00","799","0","0.00"
"10848  :  โรงพยาบาลแหลมงอบ","296","0","0.00","0","0","0.00","296","0","0.00"
"10849  :  โรงพยาบาลเกาะกูด","142","0","0.00","0","0","0.00","142","0","0.00"
"13816  :  โรงพยาบาลเกาะช้าง","48","0","0.00","0","0","0.00","48","0","0.00"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0.00","0","0","0.00","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","690","331","47.97","0","0","0.00","690","0","0.00"
"10850  :  โรงพยาบาลบางคล้า","2,252","0","0.00","855","0","0.00","1,397","0","0.00"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0.00","0","0","0.00","0","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","0","0","0.00","0","0","0.00","0","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","158","0","0.00","0","0","0.00","158","0","0.00"
"10854  :  โรงพยาบาลพนมสารคาม","2,693","552","20.50","0","0","0.00","2,693","3","0.11"
"10855  :  โรงพยาบาลสนามชัยเขต","537","0","0.00","246","0","0.00","291","0","0.00"
"10856  :  โรงพยาบาลแปลงยาว","792","0","0.00","0","0","0.00","792","0","0.00"
"13747  :  โรงพยาบาลราชสาส์น","363","0","0.00","0","0","0.00","363","0","0.00"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00","0","0","0.00","0","0","0.00"
