"โรงพยาบาล","ภาคเรียนที่  1 ปีการศึกษา 2562","ภาคเรียนที่  2 ปีการศึกษา 2562"
"นักเรียน","ได้รับวัคซีน","ร้อยละ","นักเรียน","ได้รับวัคซีน","ร้อยละ"
"10796  :  โรงพยาบาลลำสนธิ","105","0","0.00","109","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","234","0","0.00","223","4","1.79"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","2","2","100.00","668","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","0","0","0.00","115","0","0.00"
"10798  :  โรงพยาบาลบางระจัน","0","0","0.00","36","31","86.11"
"10799  :  โรงพยาบาลค่ายบางระจัน","0","0","0.00","60","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","1","0","0.00","45","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","1","0","0.00","21","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","26","26","100.00","26","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","28","12","42.86","28","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","10","0","0.00","10","8","80.00"
"10805  :  โรงพยาบาลสรรคบุรี","83","0","0.00","83","0","0.00"
"10806  :  โรงพยาบาลหันคา","124","0","0.00","125","119","95.20"
"27974  :  โรงพยาบาลหนองมะโมง","14","0","0.00","13","12","92.31"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","28","21","75.00","27","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","282","213","75.53","261","0","0.00"
"10808  :  โรงพยาบาลหนองแค","101","0","0.00","106","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","52","51","98.08","53","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","21","21","100.00","21","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","121","111","91.74","120","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","38","0","0.00","37","24","64.86"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","169","136","80.47","167","0","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","142","132","92.96","145","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","94","90","95.74","89","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","159","0","0.00","156","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","505","444","87.92","478","0","0.00"
"10818  :  โรงพยาบาลหนองใหญ่","96","51","53.13","101","0","0.00"
"10819  :  โรงพยาบาลบางละมุง","206","184","89.32","200","0","0.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","36","31","86.11","39","0","0.00"
"10821  :  โรงพยาบาลพานทอง","174","157","90.23","163","0","0.00"
"10822  :  โรงพยาบาลพนัสนิคม","664","1","0.15","630","1","0.16"
"10823  :  โรงพยาบาลแหลมฉบัง","975","730","74.87","927","24","2.59"
"10824  :  โรงพยาบาลเกาะสีชัง","31","29","93.55","31","0","0.00"
"10825  :  โรงพยาบาลสัตหีบกม10","86","60","69.77","90","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","148","121","81.76","148","0","0.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","453","0","0.00","427","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","133","77","57.89","0","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","9","7","77.78","9","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","100","87","87.00","101","0","0.00"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","571","466","81.61","533","10","1.88"
"10828  :  โรงพยาบาลบ้านฉาง","13","0","0.00","15","1","6.67"
"10829  :  โรงพยาบาลแกลง","619","35","5.65","570","4","0.70"
"10830  :  โรงพยาบาลวังจันทร์","120","112","93.33","123","0","0.00"
"10831  :  โรงพยาบาลบ้านค่าย","52","44","84.62","52","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","281","0","0.00","192","166","86.46"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","12","10","83.33","12","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","25","0","0.00","26","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","707","639","90.38","705","0","0.00"
"10834  :  โรงพยาบาลขลุง","89","84","94.38","13","1","7.69"
"10835  :  โรงพยาบาลท่าใหม่","288","245","85.07","33","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","15","0","0.00","19","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","7","5","71.43","11","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","142","0","0.00","146","0","0.00"
"10839  :  โรงพยาบาลมะขาม","19","0","0.00","20","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","36","0","0.00","41","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","133","128","96.24","96","0","0.00"
"10843  :  โรงพยาบาลนายายอาม","92","75","81.52","22","0","0.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","64","0","0.00","71","2","2.82"
"10696  :  โรงพยาบาลตราด","663","0","0.00","382","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","152","116","76.32","179","0","0.00"
"10846  :  โรงพยาบาลเขาสมิง","50","40","80.00","54","2","3.70"
"10847  :  โรงพยาบาลบ่อไร่","115","0","0.00","121","0","0.00"
"10848  :  โรงพยาบาลแหลมงอบ","39","25","64.10","44","0","0.00"
"10849  :  โรงพยาบาลเกาะกูด","16","13","81.25","21","0","0.00"
"13816  :  โรงพยาบาลเกาะช้าง","5","5","100.00","7","0","0.00"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0.00","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","95","87","91.58","96","4","4.17"
"10850  :  โรงพยาบาลบางคล้า","234","218","93.16","49","0","0.00"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0.00","0","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","0","0","0.00","0","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","16","15","93.75","16","0","0.00"
"10854  :  โรงพยาบาลพนมสารคาม","423","380","89.83","332","0","0.00"
"10855  :  โรงพยาบาลสนามชัยเขต","29","0","0.00","30","24","80.00"
"10856  :  โรงพยาบาลแปลงยาว","90","0","0.00","55","51","92.73"
"13747  :  โรงพยาบาลราชสาส์น","56","0","0.00","56","53","94.64"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","32","0","0.00","6","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","169","145","85.80","70","0","0.00"
"10858  :  โรงพยาบาลนาดี","106","75","70.75","57","0","0.00"
"10859  :  โรงพยาบาลบ้านสร้าง","62","60","96.77","62","1","1.61"
"10860  :  โรงพยาบาลประจันตคาม","200","151","75.50","128","0","0.00"
"10861  :  โรงพยาบาลศรีมหาโพธิ","402","367","91.29","91","0","0.00"
"10862  :  โรงพยาบาลศรีมโหสถ","223","1","0.45","56","0","0.00"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","66","0","0.00","11","0","0.00"
"10698  :  โรงพยาบาลนครนายก","324","311","95.99","236","0","0.00"
"10863  :  โรงพยาบาลปากพลี","16","13","81.25","17","0","0.00"
"10864  :  โรงพยาบาลบ้านนา","254","13","5.12","242","194","80.17"
"10865  :  โรงพยาบาลองครักษ์","208","155","74.52","175","1","0.57"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","27","0","0.00","27","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","0","0","0.00","0","0","0.00"
"10866  :  โรงพยาบาลคลองหาด","115","0","0.00","119","98","82.35"
"10867  :  โรงพยาบาลตาพระยา","78","0","0.00","73","1","1.37"
"10868  :  โรงพยาบาลวังน้ำเย็น","245","1","0.41","184","146","79.35"
"10869  :  โรงพยาบาลวัฒนานคร","202","93","46.04","212","0","0.00"
"10870  :  โรงพยาบาลอรัญประเทศ","467","0","0.00","99","88","88.89"
"13817  :  โรงพยาบาลเขาฉกรรจ์","66","0","0.00","65","0","0.00"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","171","36","21.05","74","0","0.00"
"10872  :  โรงพยาบาลเสิงสาง","264","257","97.35","173","0","0.00"
"10873  :  โรงพยาบาลคง","0","0","0.00","0","0","0.00"
"10874  :  โรงพยาบาลบ้านเหลื่อม","41","0","0.00","41","41","100.00"
"10875  :  โรงพยาบาลจักราช","0","0","0.00","0","0","0.00"
"10876  :  โรงพยาบาลโชคชัย","322","302","93.79","264","0","0.00"
"10877  :  โรงพยาบาลด่านขุนทด","0","0","0.00","0","0","0.00"
"10878  :  โรงพยาบาลโนนไทย","154","134","87.01","109","0","0.00"
"10879  :  โรงพยาบาลโนนสูง","247","0","0.00","25","24","96.00"
"10880  :  โรงพยาบาลขามสะแกแสง","146","129","88.36","110","0","0.00"
"10881  :  โรงพยาบาลบัวใหญ่","50","49","98.00","43","0","0.00"
"10882  :  โรงพยาบาลประทาย","261","1","0.38","180","171","95.00"
"10883  :  โรงพยาบาลปักธงชัย","61","59","96.72","59","0","0.00"
"10884  :  โรงพยาบาลพิมาย","319","0","0.00","325","304","93.54"
"10885  :  โรงพยาบาลห้วยแถลง","142","140","98.59","142","0","0.00"
"10886  :  โรงพยาบาลชุมพวง","245","77","31.43","176","115","65.34"
"10887  :  โรงพยาบาลสูงเนิน","0","0","0.00","0","0","0.00"
"10888  :  โรงพยาบาลขามทะเลสอ","92","2","2.17","91","7","7.69"
"10889  :  โรงพยาบาลสีคิ้ว","58","51","87.93","56","2","3.57"
"10890  :  โรงพยาบาลปากช่องนานา","497","0","0.00","192","160","83.33"
"10891  :  โรงพยาบาลหนองบุญมาก","9","0","0.00","9","9","100.00"
"10892  :  โรงพยาบาลแก้งสนามนาง","73","70","95.89","73","0","0.00"
"10893  :  โรงพยาบาลโนนแดง","97","96","98.97","96","0","0.00"
"10894  :  โรงพยาบาลวังน้ำเขียว","46","42","91.30","32","1","3.13"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0.00","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","16","16","100.00","16","0","0.00"
"11608  :  โรงพยาบาลลำทะเมนชัย","45","41","91.11","48","0","0.00"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","0","0","0.00","0","0","0.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","0","0.00","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","0","0.00","0","0","0.00"
