"โรงพยาบาล","ปีการศึกษา 2562 เทอม1","ปีการศึกษา 2562 เทอม2"
"เด็กนักเรียน ป.3 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ปราศจากฟันแท้ผุ(A)","%","เด็กนักเรียน ป.3 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ปราศจากฟันแท้ผุ(A)","%"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","318","8","2.52","8","100.00","320","0","0.00","0","0.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10754  :  โรงพยาบาลบางจาก","33","27","81.82","27","100.00","33","0","0.00","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","181","76","41.99","43","56.58","188","0","0.00","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","270","0","0.00","0","0.00","279","0","0.00","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","52","2","3.85","2","100.00","63","0","0.00","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","17","5","29.41","3","60.00","17","2","11.76","2","100.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","145","8","5.52","8","100.00","140","0","0.00","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","361","4","1.11","4","100.00","311","1","0.32","1","100.00"
"10759  :  โรงพยาบาลไทรน้อย","226","5","2.21","4","80.00","232","0","0.00","0","0.00"
"10760  :  โรงพยาบาลปากเกร็ด","198","0","0.00","0","0.00","97","0","0.00","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","72","0","0.00","0","0.00","57","0","0.00","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","217","23","10.60","18","78.26","208","0","0.00","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","44","0","0.00","0","0.00","32","0","0.00","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","337","1","0.30","1","100.00","285","19","6.67","17","89.47"
"10763  :  โรงพยาบาลประชาธิปัตย์","157","9","5.73","9","100.00","127","0","0.00","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","80","33","41.25","25","75.76","81","0","0.00","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","211","14","6.64","14","100.00","130","0","0.00","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10767  :  โรงพยาบาลสามโคก","62","42","67.74","40","95.24","63","0","0.00","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","215","5","2.33","3","60.00","205","7","3.41","4","57.14"
"10768  :  โรงพยาบาลท่าเรือ","131","7","5.34","7","100.00","134","0","0.00","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","15","1","6.67","0","0.00","15","0","0.00","0","0.00"
"10770  :  โรงพยาบาลบางไทร","30","0","0.00","0","0.00","30","21","70.00","12","57.14"
"10771  :  โรงพยาบาลบางบาล","3","0","0.00","0","0.00","3","2","66.67","2","100.00"
"10772  :  โรงพยาบาลบางปะอิน","156","83","53.21","57","68.67","157","5","3.18","4","80.00"
"10773  :  โรงพยาบาลบางปะหัน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10774  :  โรงพยาบาลผักไห่","4","0","0.00","0","0.00","4","0","0.00","0","0.00"
"10775  :  โรงพยาบาลภาชี","104","1","0.96","0","0.00","97","0","0.00","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","75","0","0.00","0","0.00","76","0","0.00","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","35","0","0.00","0","0.00","33","0","0.00","0","0.00"
"10778  :  โรงพยาบาลบางซ้าย","35","16","45.71","11","68.75","35","0","0.00","0","0.00"
"10779  :  โรงพยาบาลอุทัย","8","3","37.50","3","100.00","8","0","0.00","0","0.00"
"10780  :  โรงพยาบาลมหาราช","13","0","0.00","0","0.00","13","0","0.00","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","21","2","9.52","1","50.00","23","0","0.00","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","280","10","3.57","7","70.00","277","0","0.00","0","0.00"
"10782  :  โรงพยาบาลไชโย","25","0","0.00","0","0.00","25","14","56.00","7","50.00"
"10784  :  โรงพยาบาลป่าโมก","9","0","0.00","0","0.00","7","0","0.00","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","90","1","1.11","1","100.00","90","1","1.11","1","100.00"
"10786  :  โรงพยาบาลแสวงหา","65","0","0.00","0","0.00","65","0","0.00","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","268","6","2.24","4","66.67","263","14","5.32","14","100.00"
"10788  :  โรงพยาบาลสามโก้","26","0","0.00","0","0.00","27","0","0.00","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","270","1","0.37","1","100.00","266","0","0.00","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","64","0","0.00","0","0.00","62","0","0.00","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","415","8","1.93","5","62.50","401","0","0.00","0","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","39","0","0.00","0","0.00","39","10","25.64","9","90.00"
"10793  :  โรงพยาบาลท่าหลวง","133","0","0.00","0","0.00","136","0","0.00","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","89","2","2.25","1","50.00","81","0","0.00","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","54","2","3.70","2","100.00","53","0","0.00","0","0.00"
"10796  :  โรงพยาบาลลำสนธิ","109","1","0.92","1","100.00","108","0","0.00","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","221","3","1.36","1","33.33","211","1","0.47","1","100.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","6","1","16.67","1","100.00","607","0","0.00","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","1","1","100.00","1","100.00","113","0","0.00","0","0.00"
"10798  :  โรงพยาบาลบางระจัน","0","0","0.00","0","0.00","26","0","0.00","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","0","0","0.00","0","0.00","46","0","0.00","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","0","0","0.00","0","0.00","46","0","0.00","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","0","0","0.00","0","0.00","19","0","0.00","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","12","0","0.00","0","0.00","13","0","0.00","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","25","0","0.00","0","0.00","25","0","0.00","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","3","0","0.00","0","0.00","3","0","0.00","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","59","33","55.93","28","84.85","58","0","0.00","0","0.00"
"10806  :  โรงพยาบาลหันคา","119","0","0.00","0","0.00","116","0","0.00","0","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","8","6","75.00","5","83.33","8","4","50.00","2","50.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","23","0","0.00","0","0.00","23","11","47.83","5","45.45"
"10807  :  โรงพยาบาลแก่งคอย","286","16","5.59","13","81.25","272","1","0.37","1","100.00"
"10808  :  โรงพยาบาลหนองแค","78","15","19.23","12","80.00","78","0","0.00","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","41","1","2.44","1","100.00","43","0","0.00","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","24","2","8.33","2","100.00","23","0","0.00","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","126","42","33.33","29","69.05","123","0","0.00","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","39","1","2.56","1","100.00","40","0","0.00","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","125","16","12.80","16","100.00","120","2","1.67","2","100.00"
"10815  :  โรงพยาบาลมวกเหล็ก","166","5","3.01","4","80.00","148","0","0.00","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","101","3","2.97","3","100.00","84","0","0.00","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","150","12","8.00","11","91.67","152","0","0.00","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","530","16","3.02","15","93.75","513","2","0.39","0","0.00"
"10818  :  โรงพยาบาลหนองใหญ่","106","3","2.83","3","100.00","116","0","0.00","0","0.00"
"10819  :  โรงพยาบาลบางละมุง","227","1","0.44","1","100.00","180","0","0.00","0","0.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","36","0","0.00","0","0.00","40","0","0.00","0","0.00"
"10821  :  โรงพยาบาลพานทอง","184","4","2.17","3","75.00","163","0","0.00","0","0.00"
"10822  :  โรงพยาบาลพนัสนิคม","692","13","1.88","10","76.92","651","2","0.31","1","50.00"
"10823  :  โรงพยาบาลแหลมฉบัง","888","41","4.62","32","78.05","649","1","0.15","1","100.00"
"10824  :  โรงพยาบาลเกาะสีชัง","35","1","2.86","1","100.00","33","0","0.00","0","0.00"
"10825  :  โรงพยาบาลสัตหีบกม10","101","5","4.95","5","100.00","103","0","0.00","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","139","3","2.16","2","66.67","145","56","38.62","40","71.43"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","438","5","1.14","5","100.00","180","0","0.00","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","149","12","8.05","12","100.00","0","0","0.00","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","26","0","0.00","0","0.00","20","0","0.00","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","89","6","6.74","5","83.33","90","42","46.67","21","50.00"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","615","192","31.22","161","83.85","558","32","5.73","26","81.25"
"10828  :  โรงพยาบาลบ้านฉาง","19","0","0.00","0","0.00","20","0","0.00","0","0.00"
"10829  :  โรงพยาบาลแกลง","586","63","10.75","56","88.89","524","35","6.68","16","45.71"
"10830  :  โรงพยาบาลวังจันทร์","107","15","14.02","15","100.00","119","7","5.88","7","100.00"
"10831  :  โรงพยาบาลบ้านค่าย","35","6","17.14","4","66.67","40","9","22.50","6","66.67"
"10832  :  โรงพยาบาลปลวกแดง","268","3","1.12","2","66.67","164","0","0.00","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","7","0","0.00","0","0.00","7","0","0.00","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","16","0","0.00","0","0.00","19","0","0.00","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","602","16","2.66","9","56.25","599","2","0.33","1","50.00"
"10834  :  โรงพยาบาลขลุง","76","1","1.32","1","100.00","16","0","0.00","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","300","85","28.33","76","89.41","53","5","9.43","4","80.00"
"10836  :  โรงพยาบาลเขาสุกิม","10","5","50.00","0","0.00","14","0","0.00","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","5","1","20.00","1","100.00","11","0","0.00","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","171","75","43.86","45","60.00","177","0","0.00","0","0.00"
"10839  :  โรงพยาบาลมะขาม","17","6","35.29","4","66.67","17","0","0.00","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","34","0","0.00","0","0.00","40","0","0.00","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","154","8","5.19","5","62.50","101","30","29.70","16","53.33"
"10843  :  โรงพยาบาลนายายอาม","78","1","1.28","1","100.00","20","0","0.00","0","0.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","69","3","4.35","3","100.00","76","0","0.00","0","0.00"
"10696  :  โรงพยาบาลตราด","627","10","1.59","10","100.00","360","0","0.00","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","141","1","0.71","1","100.00","177","1","0.56","1","100.00"
"10846  :  โรงพยาบาลเขาสมิง","37","0","0.00","0","0.00","59","0","0.00","0","0.00"
