"โรงพยาบาล","ปีการศึกษา 2563 เทอม1","ปีการศึกษา 2563 เทอม2"
"เด็กนักเรียน ป.1 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ฟันดีไม่มีผุ(A)","%","เด็กนักเรียน ป.1 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ฟันดีไม่มีผุ(A)","%"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","454","36","7.93","27","75.00","453","7","1.55","7","100.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10754  :  โรงพยาบาลบางจาก","265","0","0.00","0","0.00","268","0","0.00","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","236","186","78.81","177","95.16","248","0","0.00","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","474","6","1.27","6","100.00","465","7","1.51","7","100.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","84","1","1.19","1","100.00","82","1","1.22","1","100.00"
"28785  :  โรงพยาบาลบางเสาธง","22","14","63.64","14","100.00","21","0","0.00","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","0","0","0.00","0","0.00","24","24","100.00","24","100.00"
"10757  :  โรงพยาบาลบางใหญ่","190","3","1.58","3","100.00","189","163","86.24","162","99.39"
"10758  :  โรงพยาบาลบางบัวทอง","428","6","1.40","6","100.00","423","8","1.89","8","100.00"
"10759  :  โรงพยาบาลไทรน้อย","284","28","9.86","23","82.14","289","31","10.73","25","80.65"
"10760  :  โรงพยาบาลปากเกร็ด","425","135","31.76","135","100.00","431","47","10.90","47","100.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","56","33","58.93","32","96.97","58","0","0.00","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","217","21","9.68","19","90.48","216","1","0.46","1","100.00"
"10761  :  โรงพยาบาลคลองหลวง","84","58","69.05","50","86.21","82","1","1.22","1","100.00"
"10762  :  โรงพยาบาลธัญบุรี","388","13","3.35","13","100.00","389","175","44.99","171","97.71"
"10763  :  โรงพยาบาลประชาธิปัตย์","217","61","28.11","53","86.89","233","11","4.72","11","100.00"
"10764  :  โรงพยาบาลหนองเสือ","122","92","75.41","63","68.48","123","77","62.60","74","96.10"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","208","167","80.29","164","98.20","214","2","0.93","2","100.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10767  :  โรงพยาบาลสามโคก","102","79","77.45","75","94.94","103","0","0.00","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","236","35","14.83","35","100.00","319","221","69.28","213","96.38"
"10768  :  โรงพยาบาลท่าเรือ","253","13","5.14","12","92.31","401","87","21.70","85","97.70"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","19","0","0.00","0","0.00","24","15","62.50","15","100.00"
"10770  :  โรงพยาบาลบางไทร","35","21","60.00","20","95.24","33","1","3.03","1","100.00"
"10771  :  โรงพยาบาลบางบาล","18","13","72.22","12","92.31","17","2","11.76","1","50.00"
"10772  :  โรงพยาบาลบางปะอิน","205","145","70.73","135","93.10","204","8","3.92","8","100.00"
"10773  :  โรงพยาบาลบางปะหัน","5","2","40.00","2","100.00","7","6","85.71","6","100.00"
"10774  :  โรงพยาบาลผักไห่","4","2","50.00","2","100.00","4","0","0.00","0","0.00"
"10775  :  โรงพยาบาลภาชี","100","3","3.00","3","100.00","101","5","4.95","5","100.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","100","60","60.00","57","95.00","100","9","9.00","9","100.00"
"10777  :  โรงพยาบาลวังน้อย","43","6","13.95","5","83.33","46","8","17.39","8","100.00"
"10778  :  โรงพยาบาลบางซ้าย","34","30","88.24","28","93.33","33","29","87.88","26","89.66"
"10779  :  โรงพยาบาลอุทัย","9","5","55.56","3","60.00","9","0","0.00","0","0.00"
"10780  :  โรงพยาบาลมหาราช","11","0","0.00","0","0.00","11","10","90.91","10","100.00"
"10781  :  โรงพยาบาลบ้านแพรก","9","2","22.22","1","50.00","9","0","0.00","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","318","7","2.20","6","85.71","315","11","3.49","11","100.00"
"10782  :  โรงพยาบาลไชโย","19","13","68.42","12","92.31","20","0","0.00","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","12","0","0.00","0","0.00","15","9","60.00","4","44.44"
"10785  :  โรงพยาบาลโพธิ์ทอง","103","79","76.70","68","86.08","105","3","2.86","3","100.00"
"10786  :  โรงพยาบาลแสวงหา","64","0","0.00","0","0.00","64","15","23.44","15","100.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","255","49","19.22","49","100.00","261","21","8.05","20","95.24"
"10788  :  โรงพยาบาลสามโก้","31","2","6.45","1","50.00","32","1","3.13","1","100.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0.00","64","1","1.56","1","100.00"
"10789  :  โรงพยาบาลพัฒนานิคม","300","0","0.00","0","0.00","301","0","0.00","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","117","1","0.85","1","100.00","121","1","0.83","1","100.00"
"10791  :  โรงพยาบาลชัยบาดาล","479","14","2.92","14","100.00","483","8","1.66","7","87.50"
"10792  :  โรงพยาบาลท่าวุ้ง","36","0","0.00","0","0.00","35","21","60.00","15","71.43"
"10793  :  โรงพยาบาลท่าหลวง","122","0","0.00","0","0.00","121","18","14.88","14","77.78"
"10794  :  โรงพยาบาลสระโบสถ์","73","8","10.96","4","50.00","73","49","67.12","33","67.35"
"10795  :  โรงพยาบาลโคกเจริญ","67","1","1.49","1","100.00","68","19","27.94","16","84.21"
"10796  :  โรงพยาบาลลำสนธิ","75","1","1.33","0","0.00","76","42","55.26","30","71.43"
"10797  :  โรงพยาบาลหนองม่วง","194","4","2.06","4","100.00","221","7","3.17","6","85.71"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","525","279","53.14","270","96.77","529","19","3.59","19","100.00"
"10693  :  โรงพยาบาลอินทร์บุรี","96","44","45.83","44","100.00","96","48","50.00","47","97.92"
"10798  :  โรงพยาบาลบางระจัน","21","17","80.95","15","88.24","22","0","0.00","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","51","1","1.96","1","100.00","50","39","78.00","35","89.74"
"10800  :  โรงพยาบาลพรหมบุรี","45","0","0.00","0","0.00","47","44","93.62","41","93.18"
"10801  :  โรงพยาบาลท่าช้าง","21","1","4.76","1","100.00","19","16","84.21","14","87.50"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","21","0","0.00","0","0.00","59","14","23.73","8","57.14"
"10803  :  โรงพยาบาลวัดสิงห์","31","23","74.19","22","95.65","32","1","3.13","1","100.00"
"10804  :  โรงพยาบาลสรรพยา","6","5","83.33","5","100.00","5","0","0.00","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","66","50","75.76","46","92.00","63","56","88.89","54","96.43"
"10806  :  โรงพยาบาลหันคา","109","0","0.00","0","0.00","109","78","71.56","75","96.15"
"27974  :  โรงพยาบาลหนองมะโมง","12","10","83.33","9","90.00","13","12","92.31","10","83.33"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","19","14","73.68","12","85.71","18","5","27.78","4","80.00"
"10807  :  โรงพยาบาลแก่งคอย","334","46","13.77","44","95.65","473","83","17.55","82","98.80"
"10808  :  โรงพยาบาลหนองแค","135","4","2.96","4","100.00","275","10","3.64","10","100.00"
"10809  :  โรงพยาบาลวิหารแดง","47","19","40.43","19","100.00","47","0","0.00","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","23","1","4.35","0","0.00","23","13","56.52","12","92.31"
"10811  :  โรงพยาบาลบ้านหมอ","130","13","10.00","13","100.00","131","1","0.76","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","42","10","23.81","10","100.00","59","20","33.90","18","90.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","161","54","33.54","54","100.00","161","11","6.83","11","100.00"
"10815  :  โรงพยาบาลมวกเหล็ก","227","2","0.88","2","100.00","244","184","75.41","181","98.37"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","146","1","0.68","1","100.00","147","110","74.83","105","95.45"
"11485  :  โรงพยาบาลค่ายอดิศร","181","4","2.21","4","100.00","218","12","5.50","12","100.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","638","23","3.61","20","86.96","759","528","69.57","491","92.99"
"10818  :  โรงพยาบาลหนองใหญ่","115","39","33.91","32","82.05","126","83","65.87","74","89.16"
"10819  :  โรงพยาบาลบางละมุง","370","178","48.11","176","98.88","385","31","8.05","31","100.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","37","1","2.70","1","100.00","37","4","10.81","4","100.00"
"10821  :  โรงพยาบาลพานทอง","248","4","1.61","3","75.00","251","151","60.16","139","92.05"
"10822  :  โรงพยาบาลพนัสนิคม","857","101","11.79","92","91.09","1,002","471","47.01","454","96.39"
"10823  :  โรงพยาบาลแหลมฉบัง","1,638","503","30.71","415","82.50","1,864","625","33.53","538","86.08"
"10824  :  โรงพยาบาลเกาะสีชัง","31","24","77.42","24","100.00","31","4","12.90","4","100.00"
"10825  :  โรงพยาบาลสัตหีบกม10","179","89","49.72","79","88.76","162","4","2.47","2","50.00"
"10826  :  โรงพยาบาลบ่อทอง","149","109","73.15","94","86.24","159","107","67.30","84","78.50"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","509","0","0.00","0","0.00","613","16","2.61","16","100.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","187","4","2.14","4","100.00","187","4","2.14","4","100.00"
"28005  :  โรงพยาบาลเมืองพัทยา","1,137","28","2.46","27","96.43","1,114","720","64.63","619","85.97"
"28006  :  โรงพยาบาลเกาะจันทร์","109","82","75.23","66","80.49","112","4","3.57","2","50.00"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","973","62","6.37","57","91.94","996","214","21.49","196","91.59"
"10828  :  โรงพยาบาลบ้านฉาง","14","8","57.14","8","100.00","82","0","0.00","0","0.00"
"10829  :  โรงพยาบาลแกลง","698","184","26.36","164","89.13","744","199","26.75","153","76.88"
"10830  :  โรงพยาบาลวังจันทร์","160","39","24.38","39","100.00","172","112","65.12","112","100.00"
"10831  :  โรงพยาบาลบ้านค่าย","75","50","66.67","44","88.00","77","3","3.90","3","100.00"
"10832  :  โรงพยาบาลปลวกแดง","457","20","4.38","20","100.00","465","6","1.29","6","100.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","10","5","50.00","3","60.00","13","0","0.00","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","37","0","0.00","0","0.00","43","0","0.00","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","642","150","23.36","141","94.00","641","174","27.15","168","96.55"
"10834  :  โรงพยาบาลขลุง","128","1","0.78","1","100.00","239","107","44.77","106","99.07"
"10835  :  โรงพยาบาลท่าใหม่","316","144","45.57","133","92.36","400","16","4.00","16","100.00"
"10836  :  โรงพยาบาลเขาสุกิม","22","12","54.55","11","91.67","24","5","20.83","5","100.00"
"10837  :  โรงพยาบาลสองพี่น้อง","15","5","33.33","5","100.00","17","5","29.41","5","100.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","146","85","58.22","76","89.41","151","59","39.07","47","79.66"
"10839  :  โรงพยาบาลมะขาม","12","7","58.33","7","100.00","13","1","7.69","1","100.00"
"10840  :  โรงพยาบาลแหลมสิงห์","45","0","0.00","0","0.00","48","37","77.08","37","100.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","169","61","36.09","50","81.97","174","74","42.53","73","98.65"
"10843  :  โรงพยาบาลนายายอาม","10","0","0.00","0","0.00","10","10","100.00","7","70.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","109","39","35.78","34","87.18","105","51","48.57","43","84.31"
"10696  :  โรงพยาบาลตราด","644","4","0.62","4","100.00","764","463","60.60","426","92.01"
"10845  :  โรงพยาบาลคลองใหญ่","185","4","2.16","4","100.00","210","81","38.57","79","97.53"
"10846  :  โรงพยาบาลเขาสมิง","66","0","0.00","0","0.00","72","13","18.06","13","100.00"
