"โรงพยาบาล","รวมทั้งปีการศึกษา 2563","ปีการศึกษา 2563 เทอม1","ปีการศึกษา 2563 เทอม2"
"เด็กนักเรียน ป.1-6(B)","ได้รับการตรวจเหา และได้รับการแก้ไข(A)","%","เด็กนักเรียน ป.1-6(B)","ได้รับการตรวจเหา และได้รับการแก้ไข(A)","%","เด็กนักเรียน ป.1-6(B)","ได้รับการตรวจเหา และได้รับการแก้ไข(A)","%"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0.00","0","0","0.00","0","0","0.00"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0.00","0","0","0.00","0","0","0.00"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0.00","0","0","0.00","0","0","0.00"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0.00","0","0","0.00","0","0","0.00"
"11592  :  โรงพยาบาลบางนา1","0","0","0.00","0","0","0.00","0","0","0.00"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","0","0","0.00","0","0","0.00","0","0","0.00"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0.00","0","0","0.00","0","0","0.00"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0.00","0","0","0.00","0","0","0.00"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0.00","0","0","0.00","0","0","0.00"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0.00","0","0","0.00","0","0","0.00"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"11621  :  โรงพยาบาลบางไผ่","0","0","0.00","0","0","0.00","0","0","0.00"
"11626  :  โรงพยาบาลคลองตัน","0","0","0.00","0","0","0.00","0","0","0.00"
"11628  :  โรงพยาบาลพระราม 9","0","0","0.00","0","0","0.00","0","0","0.00"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0.00","0","0","0.00","0","0","0.00"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0.00","0","0","0.00","0","0","0.00"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0.00","0","0","0.00","0","0","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0","0.00","0","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0","0.00","0","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0","0.00","0","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0","0.00","0","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0","0.00","0","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0","0.00","0","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0","0.00","0","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0","0.00","0","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0","0.00","0","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0","0.00","0","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0","0.00","0","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0","0.00","0","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0","0.00","0","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0","0.00","0","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0","0.00","0","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0","0.00","0","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0","0.00","0","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0","0.00","0","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0","0.00","0","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0","0.00","0","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0","0.00","0","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0","0.00","0","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0","0.00","0","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0","0.00","0","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0","0.00","0","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0","0.00","0","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0","0.00","0","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0","0.00","0","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0","0.00","0","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0","0.00","0","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0","0.00","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0","0.00","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0","0.00","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0","0.00","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0","0.00","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0","0.00","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0","0.00","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0","0.00","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0","0.00","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0","0.00","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0","0.00","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0","0.00","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0","0.00","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0","0.00","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0","0.00","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0","0.00","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0","0.00","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0","0.00","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0","0.00","0","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","2,821","0","0.00","2,795","0","0.00","2,794","0","0.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0","0.00","0","0","0.00"
"10754  :  โรงพยาบาลบางจาก","1,625","0","0.00","1,601","0","0.00","1,619","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","1,569","254","16.19","1,501","175","11.66","1,546","175","11.32"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","2,577","0","0.00","2,520","0","0.00","2,523","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0","0.00","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0","0.00","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","714","0","0.00","667","0","0.00","693","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","151","0","0.00","147","0","0.00","147","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0","0.00","0","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","203","0","0.00","0","0","0.00","203","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","1,113","1","0.09","1,087","0","0.00","1,104","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","2,878","28","0.97","2,850","0","0.00","2,784","0","0.00"
"10759  :  โรงพยาบาลไทรน้อย","1,997","2","0.10","1,894","0","0.00","1,951","0","0.00"
"10760  :  โรงพยาบาลปากเกร็ด","2,586","0","0.00","2,551","0","0.00","2,572","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0","0.00","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0","0.00","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0","0.00","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0","0.00","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0","0.00","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0","0.00","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00","0","0","0.00","0","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0","0.00","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","385","0","0.00","375","0","0.00","385","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","1,372","0","0.00","1,367","0","0.00","1,365","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","533","0","0.00","514","0","0.00","514","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","2,251","1","0.04","2,244","0","0.00","2,242","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","1,376","0","0.00","1,324","0","0.00","1,360","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","764","1","0.13","747","0","0.00","748","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","1,404","2","0.14","1,375","1","0.07","1,386","1","0.07"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0","0.00","0","0","0.00"
"10767  :  โรงพยาบาลสามโคก","659","3","0.46","639","1","0.16","653","2","0.31"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0","0.00","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0","0.00","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","1,863","0","0.00","1,327","0","0.00","1,863","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","2,569","0","0.00","1,603","0","0.00","2,567","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","145","0","0.00","133","0","0.00","142","0","0.00"
"10770  :  โรงพยาบาลบางไทร","257","135","52.53","245","127","51.84","246","122","49.59"
"10771  :  โรงพยาบาลบางบาล","58","0","0.00","56","0","0.00","55","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","1,271","0","0.00","1,257","0","0.00","1,258","0","0.00"
"10773  :  โรงพยาบาลบางปะหัน","37","0","0.00","33","0","0.00","37","0","0.00"
"10774  :  โรงพยาบาลผักไห่","36","0","0.00","36","0","0.00","36","0","0.00"
"10775  :  โรงพยาบาลภาชี","705","0","0.00","693","0","0.00","701","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","586","188","32.08","576","185","32.12","580","187","32.24"
"10777  :  โรงพยาบาลวังน้อย","321","0","0.00","311","0","0.00","309","0","0.00"
"10778  :  โรงพยาบาลบางซ้าย","253","0","0.00","251","0","0.00","245","0","0.00"
"10779  :  โรงพยาบาลอุทัย","69","51","73.91","63","51","80.95","66","48","72.73"
"10780  :  โรงพยาบาลมหาราช","133","0","0.00","114","0","0.00","129","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","87","0","0.00","85","0","0.00","86","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","2,177","0","0.00","2,175","0","0.00","2,170","0","0.00"
"10782  :  โรงพยาบาลไชโย","162","0","0.00","155","0","0.00","159","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","184","0","0.00","166","0","0.00","184","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","605","0","0.00","598","0","0.00","594","0","0.00"
"10786  :  โรงพยาบาลแสวงหา","461","0","0.00","452","0","0.00","454","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","1,746","0","0.00","1,731","0","0.00","1,738","0","0.00"
"10788  :  โรงพยาบาลสามโก้","171","0","0.00","167","0","0.00","169","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0","0.00","0","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","424","0","0.00","0","0","0.00","424","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","2,080","0","0.00","2,047","0","0.00","2,065","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","550","0","0.00","535","0","0.00","545","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","3,221","0","0.00","3,194","0","0.00","3,200","0","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","266","0","0.00","263","0","0.00","262","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","798","0","0.00","787","0","0.00","787","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","512","0","0.00","503","0","0.00","510","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","373","0","0.00","363","0","0.00","367","0","0.00"
"10796  :  โรงพยาบาลลำสนธิ","625","326","52.16","614","0","0.00","615","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","1,540","0","0.00","1,430","0","0.00","1,535","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","3,884","0","0.00","3,830","0","0.00","3,815","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","747","0","0.00","741","0","0.00","735","0","0.00"
"10798  :  โรงพยาบาลบางระจัน","169","0","0.00","160","0","0.00","166","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","285","0","0.00","276","0","0.00","270","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","325","0","0.00","317","0","0.00","322","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","143","0","0.00","138","0","0.00","133","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0","0.00","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","385","0","0.00","154","0","0.00","381","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","203","1","0.49","197","0","0.00","198","1","0.51"
"10804  :  โรงพยาบาลสรรพยา","58","51","87.93","55","0","0.00","57","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","495","0","0.00","478","0","0.00","418","0","0.00"
"10806  :  โรงพยาบาลหันคา","747","0","0.00","734","0","0.00","738","0","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","69","64","92.75","68","64","94.12","69","64","92.75"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0","0.00","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","178","1","0.56","173","1","0.58","169","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","2,971","0","0.00","1,890","0","0.00","2,960","0","0.00"
"10808  :  โรงพยาบาลหนองแค","1,667","0","0.00","852","0","0.00","1,665","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","330","0","0.00","316","0","0.00","326","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","175","0","0.00","172","0","0.00","174","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","893","0","0.00","879","0","0.00","887","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0","0.00","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","280","0","0.00","243","0","0.00","273","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","1,039","0","0.00","1,021","0","0.00","1,026","0","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","1,607","0","0.00","1,536","0","0.00","1,585","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","929","0","0.00","912","0","0.00","929","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","1,328","0","0.00","1,044","0","0.00","1,320","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","4,907","23","0.47","4,106","23","0.56","4,880","23","0.47"
"10818  :  โรงพยาบาลหนองใหญ่","860","226","26.28","781","224","28.68","850","223","26.24"
"10819  :  โรงพยาบาลบางละมุง","2,051","0","0.00","2,007","0","0.00","2,051","0","0.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","250","175","70.00","229","0","0.00","245","0","0.00"
"10821  :  โรงพยาบาลพานทอง","1,566","129","8.24","1,523","128","8.40","1,545","128","8.28"
"10822  :  โรงพยาบาลพนัสนิคม","5,598","1","0.02","4,729","1","0.02","5,587","0","0.00"
"10823  :  โรงพยาบาลแหลมฉบัง","11,565","2,752","23.80","9,685","2,233","23.06","11,351","2,207","19.44"
"10824  :  โรงพยาบาลเกาะสีชัง","251","1","0.40","246","0","0.00","244","0","0.00"
"10825  :  โรงพยาบาลสัตหีบกม10","1,030","3","0.29","991","1","0.10","918","2","0.22"
"10826  :  โรงพยาบาลบ่อทอง","1,079","378","35.03","1,038","372","35.84","1,043","375","35.95"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0","0.00","0","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0","0.00","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","4,302","0","0.00","3,423","0","0.00","4,302","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0","0.00","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","1,040","1","0.10","1,040","0","0.00","1,040","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","7,846","3","0.04","7,483","0","0.00","7,355","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","789","0","0.00","748","0","0.00","754","0","0.00"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0","0.00","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","6,272","1","0.02","6,038","1","0.02","6,105","1","0.02"
"10828  :  โรงพยาบาลบ้านฉาง","474","0","0.00","124","0","0.00","468","0","0.00"
"10829  :  โรงพยาบาลแกลง","4,339","3,090","71.21","4,088","2,929","71.65","4,297","3,061","71.24"
"10830  :  โรงพยาบาลวังจันทร์","1,009","0","0.00","929","0","0.00","980","0","0.00"
"10831  :  โรงพยาบาลบ้านค่าย","439","0","0.00","406","0","0.00","427","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","2,997","4","0.13","2,915","0","0.00","2,951","4","0.14"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","81","1","1.23","68","0","0.00","81","1","1.23"
"23962  :  โรงพยาบาลนิคมพัฒนา","225","0","0.00","203","0","0.00","223","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","4,168","2,265","54.34","4,157","2,162","52.01","4,148","2,159","52.05"
"10834  :  โรงพยาบาลขลุง","1,570","1","0.06","729","0","0.00","1,539","1","0.06"
"10835  :  โรงพยาบาลท่าใหม่","2,630","0","0.00","2,003","0","0.00","2,629","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","176","0","0.00","138","0","0.00","167","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","104","0","0.00","81","0","0.00","99","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","1,030","0","0.00","981","0","0.00","1,012","0","0.00"
"10839  :  โรงพยาบาลมะขาม","116","0","0.00","106","0","0.00","113","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","323","0","0.00","301","0","0.00","315","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","13","0","0.00","7","0","0.00","6","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","1,171","0","0.00","1,102","0","0.00","1,151","0","0.00"
"10843  :  โรงพยาบาลนายายอาม","55","0","0.00","49","0","0.00","49","0","0.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","758","0","0.00","710","0","0.00","565","0","0.00"
"10696  :  โรงพยาบาลตราด","4,759","1","0.02","4,013","0","0.00","4,740","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","1,345","2","0.15","1,059","0","0.00","1,285","0","0.00"
"10846  :  โรงพยาบาลเขาสมิง","357","0","0.00","290","0","0.00","343","0","0.00"
"10847  :  โรงพยาบาลบ่อไร่","891","0","0.00","830","0","0.00","860","0","0.00"
"10848  :  โรงพยาบาลแหลมงอบ","298","0","0.00","271","0","0.00","288","0","0.00"
"10849  :  โรงพยาบาลเกาะกูด","199","0","0.00","154","0","0.00","191","0","0.00"
"13816  :  โรงพยาบาลเกาะช้าง","108","0","0.00","84","0","0.00","91","0","0.00"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0.00","0","0","0.00","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","736","1","0.14","720","0","0.00","717","0","0.00"
"10850  :  โรงพยาบาลบางคล้า","2,289","9","0.39","1,839","9","0.49","2,274","9","0.40"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0.00","0","0","0.00","0","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","0","0","0.00","0","0","0.00","0","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","184","0","0.00","170","0","0.00","172","0","0.00"
"10854  :  โรงพยาบาลพนมสารคาม","2,710","1,481","54.65","2,679","430","16.05","2,674","427","15.97"
"10855  :  โรงพยาบาลสนามชัยเขต","580","1","0.17","308","0","0.00","571","0","0.00"
"10856  :  โรงพยาบาลแปลงยาว","890","0","0.00","862","0","0.00","880","0","0.00"
