"โรงพยาบาล","ปีการศึกษา 2563 เทอม1","ปีการศึกษา 2563 เทอม2"
"เด็กนักเรียน ป.1(B)","เคลือบหลุมร่องฟันแท้(A)","%","เด็กนักเรียน ป.1(B)","เคลือบหลุมร่องฟันแท้(A)","%"
"10796  :  โรงพยาบาลลำสนธิ","75","0","0.00","76","27","35.53"
"10797  :  โรงพยาบาลหนองม่วง","194","1","0.52","221","1","0.45"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","525","8","1.52","529","3","0.57"
"10693  :  โรงพยาบาลอินทร์บุรี","96","1","1.04","96","59","61.46"
"10798  :  โรงพยาบาลบางระจัน","21","0","0.00","22","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","51","0","0.00","50","32","64.00"
"10800  :  โรงพยาบาลพรหมบุรี","45","0","0.00","47","3","6.38"
"10801  :  โรงพยาบาลท่าช้าง","21","0","0.00","19","16","84.21"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","21","0","0.00","59","10","16.95"
"10803  :  โรงพยาบาลวัดสิงห์","31","21","67.74","32","4","12.50"
"10804  :  โรงพยาบาลสรรพยา","6","4","66.67","5","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","66","21","31.82","63","24","38.10"
"10806  :  โรงพยาบาลหันคา","109","1","0.92","109","67","61.47"
"27974  :  โรงพยาบาลหนองมะโมง","12","1","8.33","13","7","53.85"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","19","0","0.00","18","6","33.33"
"10807  :  โรงพยาบาลแก่งคอย","334","5","1.50","473","32","6.77"
"10808  :  โรงพยาบาลหนองแค","135","0","0.00","275","14","5.09"
"10809  :  โรงพยาบาลวิหารแดง","47","33","70.21","47","2","4.26"
"10810  :  โรงพยาบาลหนองแซง","23","0","0.00","23","18","78.26"
"10811  :  โรงพยาบาลบ้านหมอ","130","10","7.69","131","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","42","0","0.00","59","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","161","93","57.76","161","13","8.07"
"10815  :  โรงพยาบาลมวกเหล็ก","227","1","0.44","244","106","43.44"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","146","4","2.74","147","96","65.31"
"11485  :  โรงพยาบาลค่ายอดิศร","181","4","2.21","218","30","13.76"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","638","6","0.94","759","91","11.99"
"10818  :  โรงพยาบาลหนองใหญ่","115","0","0.00","126","10","7.94"
"10819  :  โรงพยาบาลบางละมุง","370","1","0.27","385","3","0.78"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","37","0","0.00","37","1","2.70"
"10821  :  โรงพยาบาลพานทอง","248","2","0.81","251","88","35.06"
"10822  :  โรงพยาบาลพนัสนิคม","857","70","8.17","1,002","338","33.73"
"10823  :  โรงพยาบาลแหลมฉบัง","1,638","281","17.16","1,864","263","14.11"
"10824  :  โรงพยาบาลเกาะสีชัง","31","24","77.42","31","1","3.23"
"10825  :  โรงพยาบาลสัตหีบกม10","179","24","13.41","162","88","54.32"
"10826  :  โรงพยาบาลบ่อทอง","149","18","12.08","159","103","64.78"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","509","0","0.00","613","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","187","0","0.00","187","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","1,137","3","0.26","1,114","6","0.54"
"28006  :  โรงพยาบาลเกาะจันทร์","109","0","0.00","112","3","2.68"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","973","54","5.55","996","92","9.24"
"10828  :  โรงพยาบาลบ้านฉาง","14","0","0.00","82","0","0.00"
"10829  :  โรงพยาบาลแกลง","698","42","6.02","744","49","6.59"
"10830  :  โรงพยาบาลวังจันทร์","160","8","5.00","172","12","6.98"
"10831  :  โรงพยาบาลบ้านค่าย","75","17","22.67","77","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","457","1","0.22","465","1","0.22"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","10","0","0.00","13","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","37","0","0.00","43","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","642","136","21.18","641","91","14.20"
"10834  :  โรงพยาบาลขลุง","128","0","0.00","239","92","38.49"
"10835  :  โรงพยาบาลท่าใหม่","316","3","0.95","400","8","2.00"
"10836  :  โรงพยาบาลเขาสุกิม","22","0","0.00","24","5","20.83"
"10837  :  โรงพยาบาลสองพี่น้อง","15","3","20.00","17","5","29.41"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","146","31","21.23","151","50","33.11"
"10839  :  โรงพยาบาลมะขาม","12","6","50.00","13","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","45","1","2.22","48","33","68.75"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","169","53","31.36","174","67","38.51"
"10843  :  โรงพยาบาลนายายอาม","10","0","0.00","10","10","100.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","109","0","0.00","105","25","23.81"
"10696  :  โรงพยาบาลตราด","644","98","15.22","764","59","7.72"
"10845  :  โรงพยาบาลคลองใหญ่","185","0","0.00","210","46","21.90"
"10846  :  โรงพยาบาลเขาสมิง","66","1","1.52","72","8","11.11"
"10847  :  โรงพยาบาลบ่อไร่","127","68","53.54","132","3","2.27"
"10848  :  โรงพยาบาลแหลมงอบ","40","24","60.00","42","11","26.19"
"10849  :  โรงพยาบาลเกาะกูด","29","9","31.03","34","13","38.24"
"13816  :  โรงพยาบาลเกาะช้าง","21","4","19.05","21","0","0.00"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0.00","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","112","45","40.18","109","21","19.27"
"10850  :  โรงพยาบาลบางคล้า","284","1","0.35","348","9","2.59"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0.00","0","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","0","0","0.00","0","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","20","0","0.00","21","0","0.00"
"10854  :  โรงพยาบาลพนมสารคาม","419","14","3.34","421","203","48.22"
"10855  :  โรงพยาบาลสนามชัยเขต","64","24","37.50","115","35","30.43"
"10856  :  โรงพยาบาลแปลงยาว","147","1","0.68","153","23","15.03"
"13747  :  โรงพยาบาลราชสาส์น","62","0","0.00","65","0","0.00"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","35","0","0.00","36","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","236","149","63.14","237","12","5.06"
"10858  :  โรงพยาบาลนาดี","147","117","79.59","148","1","0.68"
"10859  :  โรงพยาบาลบ้านสร้าง","55","3","5.45","55","14","25.45"
"10860  :  โรงพยาบาลประจันตคาม","234","65","27.78","235","104","44.26"
"10861  :  โรงพยาบาลศรีมหาโพธิ","451","110","24.39","459","13","2.83"
"10862  :  โรงพยาบาลศรีมโหสถ","334","2","0.60","333","33","9.91"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","56","0","0.00","57","0","0.00"
"10698  :  โรงพยาบาลนครนายก","446","107","23.99","542","141","26.01"
"10863  :  โรงพยาบาลปากพลี","21","9","42.86","21","0","0.00"
"10864  :  โรงพยาบาลบ้านนา","310","47","15.16","315","3","0.95"
"10865  :  โรงพยาบาลองครักษ์","275","0","0.00","280","104","37.14"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","17","0","0.00","18","4","22.22"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","480","137","28.54","507","2","0.39"
"10866  :  โรงพยาบาลคลองหาด","131","47","35.88","139","61","43.88"
"10867  :  โรงพยาบาลตาพระยา","110","70","63.64","113","8","7.08"
"10868  :  โรงพยาบาลวังน้ำเย็น","187","1","0.53","361","219","60.66"
"10869  :  โรงพยาบาลวัฒนานคร","189","106","56.08","187","28","14.97"
"10870  :  โรงพยาบาลอรัญประเทศ","590","60","10.17","747","248","33.20"
"13817  :  โรงพยาบาลเขาฉกรรจ์","93","73","78.49","98","10","10.20"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","179","86","48.04","179","19","10.61"
"10872  :  โรงพยาบาลเสิงสาง","291","1","0.34","298","172","57.72"
"10873  :  โรงพยาบาลคง","124","3","2.42","160","5","3.13"
"10874  :  โรงพยาบาลบ้านเหลื่อม","55","37","67.27","54","46","85.19"
"10875  :  โรงพยาบาลจักราช","0","0","0.00","0","0","0.00"
"10876  :  โรงพยาบาลโชคชัย","328","167","50.91","324","78","24.07"
"10877  :  โรงพยาบาลด่านขุนทด","0","0","0.00","0","0","0.00"
"10878  :  โรงพยาบาลโนนไทย","161","86","53.42","160","4","2.50"
"10879  :  โรงพยาบาลโนนสูง","250","7","2.80","312","256","82.05"
"10880  :  โรงพยาบาลขามสะแกแสง","161","95","59.01","161","31","19.25"
"10881  :  โรงพยาบาลบัวใหญ่","56","0","0.00","62","44","70.97"
"10882  :  โรงพยาบาลประทาย","263","161","61.22","263","32","12.17"
"10883  :  โรงพยาบาลปักธงชัย","60","21","35.00","59","24","40.68"
"10884  :  โรงพยาบาลพิมาย","314","214","68.15","308","9","2.92"
"10885  :  โรงพยาบาลห้วยแถลง","157","110","70.06","155","31","20.00"
"10886  :  โรงพยาบาลชุมพวง","267","6","2.25","268","216","80.60"
"10887  :  โรงพยาบาลสูงเนิน","418","57","13.64","424","95","22.41"
"10888  :  โรงพยาบาลขามทะเลสอ","113","18","15.93","112","37","33.04"
"10889  :  โรงพยาบาลสีคิ้ว","467","169","36.19","473","162","34.25"
"10890  :  โรงพยาบาลปากช่องนานา","503","37","7.36","511","211","41.29"
"10891  :  โรงพยาบาลหนองบุญมาก","11","0","0.00","11","10","90.91"
"10892  :  โรงพยาบาลแก้งสนามนาง","67","0","0.00","66","30","45.45"
"10893  :  โรงพยาบาลโนนแดง","157","2","1.27","158","128","81.01"
"10894  :  โรงพยาบาลวังน้ำเขียว","50","32","64.00","54","15","27.78"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0.00","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","18","12","66.67","17","5","29.41"
"11608  :  โรงพยาบาลลำทะเมนชัย","58","2","3.45","61","41","67.21"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","0","0","0.00","0","0","0.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","0","0.00","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00","0","0","0.00"
