"โรงพยาบาล","ปีการศึกษา 2562 เทอม1","ปีการศึกษา 2562 เทอม2"
"เด็กนักเรียน ป.1(B)","เคลือบหลุมร่องฟันแท้(A)","%","เด็กนักเรียน ป.1(B)","เคลือบหลุมร่องฟันแท้(A)","%"
"10796  :  โรงพยาบาลลำสนธิ","115","4","3.48","117","4","3.42"
"10797  :  โรงพยาบาลหนองม่วง","206","1","0.49","207","1","0.48"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","4","0","0.00","593","141","23.78"
"10693  :  โรงพยาบาลอินทร์บุรี","0","0","0.00","128","18","14.06"
"10798  :  โรงพยาบาลบางระจัน","0","0","0.00","21","13","61.90"
"10799  :  โรงพยาบาลค่ายบางระจัน","0","0","0.00","43","28","65.12"
"10800  :  โรงพยาบาลพรหมบุรี","0","0","0.00","57","11","19.30"
"10801  :  โรงพยาบาลท่าช้าง","0","0","0.00","29","13","44.83"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","21","11","52.38","23","13","56.52"
"10803  :  โรงพยาบาลวัดสิงห์","32","13","40.63","32","13","40.63"
"10804  :  โรงพยาบาลสรรพยา","6","5","83.33","6","5","83.33"
"10805  :  โรงพยาบาลสรรคบุรี","55","30","54.55","56","30","53.57"
"10806  :  โรงพยาบาลหันคา","101","4","3.96","99","4","4.04"
"27974  :  โรงพยาบาลหนองมะโมง","12","0","0.00","12","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","14","0","0.00","13","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","260","5","1.92","261","4","1.53"
"10808  :  โรงพยาบาลหนองแค","64","10","15.63","70","10","14.29"
"10809  :  โรงพยาบาลวิหารแดง","54","0","0.00","54","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","35","1","2.86","37","1","2.70"
"10811  :  โรงพยาบาลบ้านหมอ","132","1","0.76","130","1","0.77"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","34","1","2.94","35","1","2.86"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","164","9","5.49","160","9","5.63"
"10815  :  โรงพยาบาลมวกเหล็ก","168","4","2.38","160","4","2.50"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","101","7","6.93","83","5","6.02"
"11485  :  โรงพยาบาลค่ายอดิศร","149","2","1.34","155","2","1.29"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","569","26","4.57","591","26","4.40"
"10818  :  โรงพยาบาลหนองใหญ่","110","0","0.00","123","0","0.00"
"10819  :  โรงพยาบาลบางละมุง","234","1","0.43","270","1","0.37"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","32","0","0.00","35","0","0.00"
"10821  :  โรงพยาบาลพานทอง","186","39","20.97","176","39","22.16"
"10822  :  โรงพยาบาลพนัสนิคม","752","68","9.04","752","66","8.78"
"10823  :  โรงพยาบาลแหลมฉบัง","1,001","39","3.90","1,039","37","3.56"
"10824  :  โรงพยาบาลเกาะสีชัง","53","34","64.15","53","34","64.15"
"10825  :  โรงพยาบาลสัตหีบกม10","117","0","0.00","122","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","150","74","49.33","149","73","48.99"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","416","2","0.48","414","2","0.48"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","164","0","0.00","0","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","25","0","0.00","30","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","109","60","55.05","114","60","52.63"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","641","39","6.08","601","39","6.49"
"10828  :  โรงพยาบาลบ้านฉาง","12","4","33.33","14","4","28.57"
"10829  :  โรงพยาบาลแกลง","647","60","9.27","593","50","8.43"
"10830  :  โรงพยาบาลวังจันทร์","129","4","3.10","136","4","2.94"
"10831  :  โรงพยาบาลบ้านค่าย","54","0","0.00","53","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","279","0","0.00","221","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","10","0","0.00","14","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","32","0","0.00","35","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","628","109","17.36","627","109","17.38"
"10834  :  โรงพยาบาลขลุง","88","1","1.14","19","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","295","23","7.80","28","1","3.57"
"10836  :  โรงพยาบาลเขาสุกิม","21","0","0.00","28","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","11","0","0.00","14","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","159","53","33.33","160","53","33.13"
"10839  :  โรงพยาบาลมะขาม","15","7","46.67","16","7","43.75"
"10840  :  โรงพยาบาลแหลมสิงห์","64","1","1.56","65","1","1.54"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","180","112","62.22","111","63","56.76"
"10843  :  โรงพยาบาลนายายอาม","62","24","38.71","23","7","30.43"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","82","0","0.00","91","0","0.00"
"10696  :  โรงพยาบาลตราด","635","119","18.74","384","87","22.66"
"10845  :  โรงพยาบาลคลองใหญ่","159","26","16.35","204","25","12.25"
"10846  :  โรงพยาบาลเขาสมิง","45","0","0.00","59","0","0.00"
"10847  :  โรงพยาบาลบ่อไร่","117","30","25.64","121","30","24.79"
"10848  :  โรงพยาบาลแหลมงอบ","37","5","13.51","45","5","11.11"
"10849  :  โรงพยาบาลเกาะกูด","32","4","12.50","42","4","9.52"
"13816  :  โรงพยาบาลเกาะช้าง","17","0","0.00","19","0","0.00"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0.00","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","97","1","1.03","98","1","1.02"
"10850  :  โรงพยาบาลบางคล้า","197","31","15.74","55","5","9.09"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0.00","0","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","0","0","0.00","0","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","31","1","3.23","32","1","3.13"
"10854  :  โรงพยาบาลพนมสารคาม","387","8","2.07","332","7","2.11"
"10855  :  โรงพยาบาลสนามชัยเขต","52","0","0.00","58","0","0.00"
"10856  :  โรงพยาบาลแปลงยาว","113","44","38.94","60","26","43.33"
"13747  :  โรงพยาบาลราชสาส์น","52","26","50.00","54","26","48.15"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","22","0","0.00","4","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","153","47","30.72","66","26","39.39"
"10858  :  โรงพยาบาลนาดี","89","44","49.44","30","10","33.33"
"10859  :  โรงพยาบาลบ้านสร้าง","58","3","5.17","62","3","4.84"
"10860  :  โรงพยาบาลประจันตคาม","214","68","31.78","137","33","24.09"
"10861  :  โรงพยาบาลศรีมหาโพธิ","362","219","60.50","65","26","40.00"
"10862  :  โรงพยาบาลศรีมโหสถ","256","12","4.69","57","3","5.26"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","59","0","0.00","7","0","0.00"
"10698  :  โรงพยาบาลนครนายก","310","2","0.65","221","1","0.45"
"10863  :  โรงพยาบาลปากพลี","20","0","0.00","21","0","0.00"
"10864  :  โรงพยาบาลบ้านนา","230","77","33.48","191","76","39.79"
"10865  :  โรงพยาบาลองครักษ์","231","66","28.57","183","67","36.61"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","23","0","0.00","23","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","0","0","0.00","0","0","0.00"
"10866  :  โรงพยาบาลคลองหาด","132","85","64.39","134","83","61.94"
"10867  :  โรงพยาบาลตาพระยา","120","73","60.83","92","52","56.52"
"10868  :  โรงพยาบาลวังน้ำเย็น","231","1","0.43","168","1","0.60"
"10869  :  โรงพยาบาลวัฒนานคร","170","69","40.59","175","69","39.43"
"10870  :  โรงพยาบาลอรัญประเทศ","524","3","0.57","132","1","0.76"
"13817  :  โรงพยาบาลเขาฉกรรจ์","103","60","58.25","104","60","57.69"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","192","33","17.19","77","12","15.58"
"10872  :  โรงพยาบาลเสิงสาง","310","42","13.55","188","21","11.17"
"10873  :  โรงพยาบาลคง","0","0","0.00","0","0","0.00"
"10874  :  โรงพยาบาลบ้านเหลื่อม","43","0","0.00","43","0","0.00"
"10875  :  โรงพยาบาลจักราช","0","0","0.00","0","0","0.00"
"10876  :  โรงพยาบาลโชคชัย","347","9","2.59","296","9","3.04"
"10877  :  โรงพยาบาลด่านขุนทด","0","0","0.00","0","0","0.00"
"10878  :  โรงพยาบาลโนนไทย","158","33","20.89","117","32","27.35"
"10879  :  โรงพยาบาลโนนสูง","216","0","0.00","21","0","0.00"
"10880  :  โรงพยาบาลขามสะแกแสง","163","88","53.99","138","69","50.00"
"10881  :  โรงพยาบาลบัวใหญ่","77","3","3.90","35","1","2.86"
"10882  :  โรงพยาบาลประทาย","237","24","10.13","171","24","14.04"
"10883  :  โรงพยาบาลปักธงชัย","56","11","19.64","55","11","20.00"
"10884  :  โรงพยาบาลพิมาย","273","4","1.47","282","4","1.42"
"10885  :  โรงพยาบาลห้วยแถลง","139","58","41.73","142","58","40.85"
"10886  :  โรงพยาบาลชุมพวง","235","171","72.77","132","100","75.76"
"10887  :  โรงพยาบาลสูงเนิน","0","0","0.00","0","0","0.00"
"10888  :  โรงพยาบาลขามทะเลสอ","108","46","42.59","106","45","42.45"
"10889  :  โรงพยาบาลสีคิ้ว","72","17","23.61","71","16","22.54"
"10890  :  โรงพยาบาลปากช่องนานา","452","126","27.88","167","60","35.93"
"10891  :  โรงพยาบาลหนองบุญมาก","19","0","0.00","19","0","0.00"
"10892  :  โรงพยาบาลแก้งสนามนาง","47","34","72.34","46","34","73.91"
"10893  :  โรงพยาบาลโนนแดง","92","2","2.17","91","2","2.20"
"10894  :  โรงพยาบาลวังน้ำเขียว","45","5","11.11","32","5","15.63"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0.00","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","17","4","23.53","18","5","27.78"
"11608  :  โรงพยาบาลลำทะเมนชัย","60","0","0.00","59","0","0.00"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","0","0","0.00","0","0","0.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","0","0.00","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","0","0.00","0","0","0.00"
