"โรงพยาบาล","ปีการศึกษา 2562 เทอม1","ปีการศึกษา 2562 เทอม2"
"เด็กนักเรียนอนุบาล -ป.6 ทั้งหมด(C)","ตรวจฟัน(B)","%","ทาฟลูออไรด์(A)","%","เด็กนักเรียนอนุบาล -ป.6 ทั้งหมด(C)","ตรวจฟัน(B)","%","ทาฟลูออไรด์(A)","%"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","2,695","0","0.00","0","0.00","2,683","0","0.00","0","0.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10754  :  โรงพยาบาลบางจาก","200","0","0.00","0","0.00","208","0","0.00","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","1,678","0","0.00","0","0.00","1,753","0","0.00","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","2,160","0","0.00","0","0.00","2,136","0","0.00","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","464","0","0.00","0","0.00","505","0","0.00","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","151","0","0.00","0","0.00","151","0","0.00","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","1,316","38","2.89","0","0.00","1,328","35","2.64","18","1.36"
"10758  :  โรงพยาบาลบางบัวทอง","3,316","19","0.57","6","0.18","3,024","28","0.93","10","0.33"
"10759  :  โรงพยาบาลไทรน้อย","1,839","16","0.87","6","0.33","1,878","41","2.18","47","2.50"
"10760  :  โรงพยาบาลปากเกร็ด","1,748","24","1.37","4","0.23","925","18","1.95","16","1.73"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","338","5","1.48","0","0.00","264","2","0.76","15","5.68"
"10687  :  โรงพยาบาลปทุมธานี","1,706","0","0.00","0","0.00","1,623","0","0.00","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","523","0","0.00","0","0.00","418","0","0.00","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","2,426","0","0.00","0","0.00","1,981","0","0.00","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","1,213","0","0.00","0","0.00","1,005","0","0.00","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","765","0","0.00","0","0.00","768","0","0.00","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","1,520","0","0.00","0","0.00","1,055","0","0.00","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10767  :  โรงพยาบาลสามโคก","594","0","0.00","0","0.00","605","0","0.00","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","1,697","278","16.38","15","0.88","1,596","235","14.72","122","7.64"
"10768  :  โรงพยาบาลท่าเรือ","1,193","7","0.59","0","0.00","1,307","177","13.54","173","13.24"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","120","4","3.33","0","0.00","125","4","3.20","4","3.20"
"10770  :  โรงพยาบาลบางไทร","291","2","0.69","0","0.00","293","3","1.02","2","0.68"
"10771  :  โรงพยาบาลบางบาล","52","2","3.85","0","0.00","54","0","0.00","2","3.70"
"10772  :  โรงพยาบาลบางปะอิน","1,164","325","27.92","0","0.00","1,171","255","21.78","264","22.54"
"10773  :  โรงพยาบาลบางปะหัน","34","16","47.06","16","47.06","35","15","42.86","18","51.43"
"10774  :  โรงพยาบาลผักไห่","53","2","3.77","0","0.00","54","5","9.26","6","11.11"
"10775  :  โรงพยาบาลภาชี","796","25","3.14","1","0.13","794","5","0.63","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","613","47","7.67","0","0.00","613","0","0.00","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","267","40","14.98","1","0.37","268","55","20.52","51","19.03"
"10778  :  โรงพยาบาลบางซ้าย","242","58","23.97","0","0.00","243","61","25.10","58","23.87"
"10779  :  โรงพยาบาลอุทัย","74","8","10.81","1","1.35","73","36","49.32","47","64.38"
"10780  :  โรงพยาบาลมหาราช","125","23","18.40","0","0.00","123","26","21.14","1","0.81"
"10781  :  โรงพยาบาลบ้านแพรก","97","37","38.14","36","37.11","99","40","40.40","40","40.40"
"10689  :  โรงพยาบาลอ่างทอง","2,046","137","6.70","2","0.10","2,050","29","1.41","20","0.98"
"10782  :  โรงพยาบาลไชโย","162","70","43.21","0","0.00","162","61","37.65","42","25.93"
"10784  :  โรงพยาบาลป่าโมก","192","2","1.04","0","0.00","195","10","5.13","5","2.56"
"10785  :  โรงพยาบาลโพธิ์ทอง","645","96","14.88","67","10.39","648","252","38.89","252","38.89"
"10786  :  โรงพยาบาลแสวงหา","486","69","14.20","2","0.41","487","102","20.94","99","20.33"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","2,232","65","2.91","3","0.13","2,185","571","26.13","665","30.43"
"10788  :  โรงพยาบาลสามโก้","198","26","13.13","0","0.00","197","118","59.90","118","59.90"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","2,193","0","0.00","0","0.00","2,212","0","0.00","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","703","0","0.00","0","0.00","688","0","0.00","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","3,367","0","0.00","0","0.00","3,331","0","0.00","0","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","321","0","0.00","0","0.00","320","0","0.00","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","952","0","0.00","0","0.00","944","0","0.00","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","618","0","0.00","0","0.00","603","0","0.00","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","426","0","0.00","0","0.00","419","0","0.00","0","0.00"
"10796  :  โรงพยาบาลลำสนธิ","764","0","0.00","0","0.00","766","0","0.00","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","1,747","0","0.00","0","0.00","1,710","0","0.00","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","36","1","2.78","0","0.00","4,922","331","6.72","33","0.67"
"10693  :  โรงพยาบาลอินทร์บุรี","3","0","0.00","0","0.00","922","211","22.89","213","23.10"
"10798  :  โรงพยาบาลบางระจัน","0","0","0.00","0","0.00","203","0","0.00","48","23.65"
"10799  :  โรงพยาบาลค่ายบางระจัน","1","0","0.00","0","0.00","384","175","45.57","58","15.10"
"10800  :  โรงพยาบาลพรหมบุรี","4","1","25.00","0","0.00","388","46","11.86","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","1","0","0.00","0","0.00","167","97","58.08","91","54.49"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","179","22","12.29","1","0.56","181","21","11.60","36","19.89"
"10803  :  โรงพยาบาลวัดสิงห์","226","117","51.77","10","4.42","223","137","61.43","140","62.78"
"10804  :  โรงพยาบาลสรรพยา","74","43","58.11","0","0.00","69","42","60.87","41","59.42"
"10805  :  โรงพยาบาลสรรคบุรี","494","288","58.30","0","0.00","498","298","59.84","298","59.84"
"10806  :  โรงพยาบาลหันคา","832","89","10.70","4","0.48","828","458","55.31","496","59.90"
"27974  :  โรงพยาบาลหนองมะโมง","97","3","3.09","0","0.00","95","2","2.11","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","187","0","0.00","0","0.00","186","0","0.00","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","2,369","0","0.00","0","0.00","2,288","0","0.00","0","0.00"
"10808  :  โรงพยาบาลหนองแค","720","0","0.00","0","0.00","763","0","0.00","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","392","0","0.00","0","0.00","400","0","0.00","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","185","0","0.00","0","0.00","185","0","0.00","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","1,042","0","0.00","0","0.00","1,037","0","0.00","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","232","0","0.00","0","0.00","244","0","0.00","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","1,211","0","0.00","0","0.00","1,211","0","0.00","0","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","1,312","0","0.00","0","0.00","1,256","0","0.00","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","830","0","0.00","0","0.00","733","0","0.00","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","1,227","0","0.00","0","0.00","1,222","0","0.00","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","4,660","70","1.50","9","0.19","4,639","481","10.37","275","5.93"
"10818  :  โรงพยาบาลหนองใหญ่","808","81","10.02","1","0.12","883","123","13.93","124","14.04"
"10819  :  โรงพยาบาลบางละมุง","1,864","11","0.59","1","0.05","1,843","17","0.92","3","0.16"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","223","9","4.04","0","0.00","243","22","9.05","15","6.17"
"10821  :  โรงพยาบาลพานทอง","1,505","215","14.29","17","1.13","1,411","376","26.65","374","26.51"
"10822  :  โรงพยาบาลพนัสนิคม","5,808","391","6.73","5","0.09","5,620","1,953","34.75","1,316","23.42"
"10823  :  โรงพยาบาลแหลมฉบัง","7,528","378","5.02","52","0.69","6,934","461","6.65","118","1.70"
"10824  :  โรงพยาบาลเกาะสีชัง","235","67","28.51","1","0.43","233","67","28.76","5","2.15"
"10825  :  โรงพยาบาลสัตหีบกม10","880","2","0.23","1","0.11","904","106","11.73","39","4.31"
"10826  :  โรงพยาบาลบ่อทอง","1,141","441","38.65","27","2.37","1,154","414","35.88","33","2.86"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","122","1","0.82","1","0.82","118","3","2.54","3","2.54"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","3,622","10","0.28","2","0.06","2,873","27","0.94","16","0.56"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","1,199","20","1.67","2","0.17","0","0","0.00","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","215","0","0.00","0","0.00","199","2","1.01","1","0.50"
"28006  :  โรงพยาบาลเกาะจันทร์","750","189","25.20","1","0.13","756","154","20.37","108","14.29"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","4,925","0","0.00","0","0.00","4,618","0","0.00","0","0.00"
"10828  :  โรงพยาบาลบ้านฉาง","89","0","0.00","0","0.00","101","0","0.00","0","0.00"
"10829  :  โรงพยาบาลแกลง","4,876","0","0.00","0","0.00","4,339","0","0.00","0","0.00"
"10830  :  โรงพยาบาลวังจันทร์","935","0","0.00","0","0.00","998","0","0.00","0","0.00"
"10831  :  โรงพยาบาลบ้านค่าย","382","0","0.00","0","0.00","393","0","0.00","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","2,248","0","0.00","0","0.00","1,618","0","0.00","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","82","0","0.00","0","0.00","94","0","0.00","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","159","0","0.00","0","0.00","175","0","0.00","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","4,362","159","3.65","6","0.14","4,355","548","12.58","287","6.59"
"10834  :  โรงพยาบาลขลุง","813","10","1.23","1","0.12","117","13","11.11","13","11.11"
"10835  :  โรงพยาบาลท่าใหม่","2,541","111","4.37","13","0.51","320","26","8.13","21","6.56"
"10836  :  โรงพยาบาลเขาสุกิม","163","14","8.59","1","0.61","200","18","9.00","6","3.00"
"10837  :  โรงพยาบาลสองพี่น้อง","79","28","35.44","0","0.00","107","32","29.91","29","27.10"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","1,146","201","17.54","6","0.52","1,170","56","4.79","57","4.87"
"10839  :  โรงพยาบาลมะขาม","139","25","17.99","0","0.00","145","28","19.31","28","19.31"
"10840  :  โรงพยาบาลแหลมสิงห์","383","25","6.53","1","0.26","411","160","38.93","176","42.82"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","1,313","189","14.39","119","9.06","792","120","15.15","94","11.87"
"10843  :  โรงพยาบาลนายายอาม","635","102","16.06","86","13.54","169","49","28.99","49","28.99"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","571","193","33.80","77","13.49","627","210","33.49","213","33.97"
"10696  :  โรงพยาบาลตราด","4,979","0","0.00","0","0.00","2,886","0","0.00","0","0.00"
