"โรงพยาบาล","ปีการศึกษา 2563 เทอม1","ปีการศึกษา 2563 เทอม2"
"เด็กนักเรียน ป.3 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ฟันดีไม่มีผุ(A)","%","เด็กนักเรียน ป.3 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ฟันดีไม่มีผุ(A)","%"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","507","22","4.34","14","63.64","509","91","17.88","87","95.60"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10754  :  โรงพยาบาลบางจาก","262","225","85.88","198","88.00","265","0","0.00","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","274","233","85.04","186","79.83","273","0","0.00","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","444","6","1.35","4","66.67","448","6","1.34","5","83.33"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","113","1","0.88","1","100.00","119","0","0.00","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","20","18","90.00","16","88.89","19","1","5.26","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","0","0","0.00","0","0.00","31","31","100.00","31","100.00"
"10757  :  โรงพยาบาลบางใหญ่","203","13","6.40","13","100.00","206","177","85.92","177","100.00"
"10758  :  โรงพยาบาลบางบัวทอง","509","5","0.98","5","100.00","500","8","1.60","6","75.00"
"10759  :  โรงพยาบาลไทรน้อย","310","47","15.16","26","55.32","321","61","19.00","38","62.30"
"10760  :  โรงพยาบาลปากเกร็ด","461","139","30.15","128","92.09","463","53","11.45","51","96.23"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","80","1","1.25","1","100.00","82","1","1.22","1","100.00"
"10687  :  โรงพยาบาลปทุมธานี","223","21","9.42","17","80.95","222","3","1.35","3","100.00"
"10761  :  โรงพยาบาลคลองหลวง","90","63","70.00","43","68.25","87","0","0.00","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","392","146","37.24","119","81.51","392","3","0.77","2","66.67"
"10763  :  โรงพยาบาลประชาธิปัตย์","205","72","35.12","58","80.56","213","56","26.29","50","89.29"
"10764  :  โรงพยาบาลหนองเสือ","140","96","68.57","69","71.88","145","3","2.07","2","66.67"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","197","171","86.80","158","92.40","199","0","0.00","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10767  :  โรงพยาบาลสามโคก","120","108","90.00","105","97.22","120","2","1.67","2","100.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","221","9","4.07","8","88.89","308","285","92.53","210","73.68"
"10768  :  โรงพยาบาลท่าเรือ","283","20","7.07","15","75.00","455","136","29.89","126","92.65"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","19","1","5.26","1","100.00","18","11","61.11","8","72.73"
"10770  :  โรงพยาบาลบางไทร","37","29","78.38","20","68.97","36","0","0.00","0","0.00"
"10771  :  โรงพยาบาลบางบาล","10","10","100.00","8","80.00","9","0","0.00","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","214","183","85.51","143","78.14","214","8","3.74","6","75.00"
"10773  :  โรงพยาบาลบางปะหัน","5","5","100.00","5","100.00","6","6","100.00","6","100.00"
"10774  :  โรงพยาบาลผักไห่","6","6","100.00","5","83.33","6","0","0.00","0","0.00"
"10775  :  โรงพยาบาลภาชี","122","8","6.56","5","62.50","123","12","9.76","11","91.67"
"10776  :  โรงพยาบาลลาดบัวหลวง","112","92","82.14","69","75.00","112","69","61.61","53","76.81"
"10777  :  โรงพยาบาลวังน้อย","57","18","31.58","6","33.33","55","19","34.55","13","68.42"
"10778  :  โรงพยาบาลบางซ้าย","48","41","85.42","36","87.80","47","40","85.11","36","90.00"
"10779  :  โรงพยาบาลอุทัย","12","8","66.67","4","50.00","13","1","7.69","1","100.00"
"10780  :  โรงพยาบาลมหาราช","31","2","6.45","0","0.00","30","1","3.33","1","100.00"
"10781  :  โรงพยาบาลบ้านแพรก","14","2","14.29","0","0.00","14","0","0.00","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","384","8","2.08","4","50.00","385","10","2.60","9","90.00"
"10782  :  โรงพยาบาลไชโย","30","26","86.67","22","84.62","32","0","0.00","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","30","0","0.00","0","0.00","30","0","0.00","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","90","75","83.33","58","77.33","88","3","3.41","3","100.00"
"10786  :  โรงพยาบาลแสวงหา","71","0","0.00","0","0.00","71","24","33.80","24","100.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","300","29","9.67","29","100.00","302","54","17.88","49","90.74"
"10788  :  โรงพยาบาลสามโก้","25","2","8.00","1","50.00","25","1","4.00","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0.00","84","1","1.19","1","100.00"
"10789  :  โรงพยาบาลพัฒนานิคม","337","0","0.00","0","0.00","338","0","0.00","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","94","0","0.00","0","0.00","96","0","0.00","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","561","16","2.85","11","68.75","563","9","1.60","6","66.67"
"10792  :  โรงพยาบาลท่าวุ้ง","45","26","57.78","24","92.31","46","0","0.00","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","130","2","1.54","1","50.00","128","13","10.16","7","53.85"
"10794  :  โรงพยาบาลสระโบสถ์","83","17","20.48","10","58.82","84","12","14.29","6","50.00"
"10795  :  โรงพยาบาลโคกเจริญ","60","2","3.33","1","50.00","61","24","39.34","23","95.83"
"10796  :  โรงพยาบาลลำสนธิ","95","6","6.32","5","83.33","97","42","43.30","23","54.76"
"10797  :  โรงพยาบาลหนองม่วง","234","4","1.71","2","50.00","248","3","1.21","1","33.33"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","634","444","70.03","342","77.03","639","17","2.66","15","88.24"
"10693  :  โรงพยาบาลอินทร์บุรี","135","112","82.96","89","79.46","130","2","1.54","2","100.00"
"10798  :  โรงพยาบาลบางระจัน","34","29","85.29","20","68.97","36","0","0.00","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","41","0","0.00","0","0.00","39","19","48.72","18","94.74"
"10800  :  โรงพยาบาลพรหมบุรี","56","0","0.00","0","0.00","57","49","85.96","37","75.51"
"10801  :  โรงพยาบาลท่าช้าง","17","0","0.00","0","0.00","16","15","93.75","13","86.67"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","34","1","2.94","1","100.00","63","27","42.86","19","70.37"
"10803  :  โรงพยาบาลวัดสิงห์","32","0","0.00","0","0.00","30","28","93.33","26","92.86"
"10804  :  โรงพยาบาลสรรพยา","10","0","0.00","0","0.00","11","9","81.82","7","77.78"
"10805  :  โรงพยาบาลสรรคบุรี","71","69","97.18","62","89.86","70","60","85.71","59","98.33"
"10806  :  โรงพยาบาลหันคา","137","0","0.00","0","0.00","139","113","81.29","107","94.69"
"27974  :  โรงพยาบาลหนองมะโมง","9","8","88.89","6","75.00","9","8","88.89","6","75.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","25","23","92.00","15","65.22","25","0","0.00","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","324","28","8.64","25","89.29","516","59","11.43","57","96.61"
"10808  :  โรงพยาบาลหนองแค","136","3","2.21","1","33.33","279","3","1.08","3","100.00"
"10809  :  โรงพยาบาลวิหารแดง","55","1","1.82","1","100.00","57","0","0.00","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","31","6","19.35","4","66.67","32","0","0.00","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","161","84","52.17","61","72.62","162","4","2.47","2","50.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","47","5","10.64","5","100.00","50","17","34.00","13","76.47"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","187","22","11.76","21","95.45","188","13","6.91","12","92.31"
"10815  :  โรงพยาบาลมวกเหล็ก","270","9","3.33","7","77.78","275","47","17.09","47","100.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","181","4","2.21","4","100.00","182","21","11.54","21","100.00"
"11485  :  โรงพยาบาลค่ายอดิศร","210","15","7.14","14","93.33","259","3","1.16","3","100.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","727","58","7.98","42","72.41","842","664","78.86","545","82.08"
"10818  :  โรงพยาบาลหนองใหญ่","142","2","1.41","2","100.00","154","120","77.92","95","79.17"
"10819  :  โรงพยาบาลบางละมุง","355","186","52.39","152","81.72","364","29","7.97","29","100.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","40","0","0.00","0","0.00","45","35","77.78","24","68.57"
"10821  :  โรงพยาบาลพานทอง","280","4","1.43","3","75.00","289","153","52.94","88","57.52"
"10822  :  โรงพยาบาลพนัสนิคม","812","38","4.68","29","76.32","973","170","17.47","159","93.53"
"10823  :  โรงพยาบาลแหลมฉบัง","1,618","650","40.17","461","70.92","1,948","590","30.29","431","73.05"
"10824  :  โรงพยาบาลเกาะสีชัง","50","22","44.00","18","81.82","49","6","12.24","3","50.00"
"10825  :  โรงพยาบาลสัตหีบกม10","162","102","62.96","89","87.25","155","4","2.58","4","100.00"
"10826  :  โรงพยาบาลบ่อทอง","194","155","79.90","125","80.65","202","29","14.36","24","82.76"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","612","2","0.33","2","100.00","777","15","1.93","15","100.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","185","10","5.41","10","100.00","185","4","2.16","4","100.00"
"28005  :  โรงพยาบาลเมืองพัทยา","1,253","186","14.84","183","98.39","1,208","98","8.11","93","94.90"
"28006  :  โรงพยาบาลเกาะจันทร์","141","125","88.65","90","72.00","141","6","4.26","2","33.33"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","997","137","13.74","127","92.70","1,008","197","19.54","182","92.39"
"10828  :  โรงพยาบาลบ้านฉาง","26","0","0.00","0","0.00","87","20","22.99","15","75.00"
"10829  :  โรงพยาบาลแกลง","697","214","30.70","156","72.90","732","244","33.33","163","66.80"
"10830  :  โรงพยาบาลวังจันทร์","142","73","51.41","73","100.00","150","63","42.00","63","100.00"
"10831  :  โรงพยาบาลบ้านค่าย","78","40","51.28","29","72.50","87","4","4.60","4","100.00"
"10832  :  โรงพยาบาลปลวกแดง","491","8","1.63","7","87.50","505","12","2.38","12","100.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","11","9","81.82","4","44.44","12","1","8.33","1","100.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","30","0","0.00","0","0.00","35","1","2.86","1","100.00"
"10664  :  โรงพยาบาลพระปกเกล้า","711","32","4.50","27","84.38","710","203","28.59","153","75.37"
"10834  :  โรงพยาบาลขลุง","108","2","1.85","1","50.00","267","130","48.69","119","91.54"
"10835  :  โรงพยาบาลท่าใหม่","336","158","47.02","133","84.18","452","141","31.19","127","90.07"
"10836  :  โรงพยาบาลเขาสุกิม","28","20","71.43","7","35.00","35","1","2.86","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","16","3","18.75","3","100.00","21","4","19.05","3","75.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","164","44","26.83","32","72.73","169","51","30.18","38","74.51"
"10839  :  โรงพยาบาลมะขาม","23","19","82.61","19","100.00","26","0","0.00","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","57","0","0.00","0","0.00","59","51","86.44","51","100.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","194","90","46.39","48","53.33","206","87","42.23","52","59.77"
"10843  :  โรงพยาบาลนายายอาม","5","1","20.00","1","100.00","5","3","60.00","3","100.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","134","51","38.06","37","72.55","106","45","42.45","30","66.67"
"10696  :  โรงพยาบาลตราด","678","9","1.33","8","88.89","791","487","61.57","380","78.03"
"10845  :  โรงพยาบาลคลองใหญ่","195","0","0.00","0","0.00","241","116","48.13","91","78.45"
"10846  :  โรงพยาบาลเขาสมิง","55","0","0.00","0","0.00","62","34","54.84","34","100.00"
