"โรงพยาบาล","ปีการศึกษา 2562 เทอม1","ปีการศึกษา 2562 เทอม2"
"เด็กนักเรียน ป.1-6 ทั้งหมด(C)","ตรวจฟัน(B)","%","เคลือบหลุมร่องฟันแท้(A)","%","เด็กนักเรียน ป.1-6 ทั้งหมด (C)","ตรวจฟัน(B)","%","เคลือบหลุมร่องฟันแท้(A)","%"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","2,150","0","0.00","0","0.00","2,150","0","0.00","0","0.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10754  :  โรงพยาบาลบางจาก","160","0","0.00","0","0.00","166","0","0.00","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","1,232","0","0.00","0","0.00","1,274","0","0.00","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","1,626","0","0.00","0","0.00","1,608","0","0.00","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","411","0","0.00","0","0.00","441","0","0.00","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","113","0","0.00","0","0.00","113","0","0.00","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","823","38","4.62","26","3.16","814","34","4.18","37","4.55"
"10758  :  โรงพยาบาลบางบัวทอง","2,468","18","0.73","16","0.65","2,223","28","1.26","28","1.26"
"10759  :  โรงพยาบาลไทรน้อย","1,434","16","1.12","8","0.56","1,459","41","2.81","79","5.41"
"10760  :  โรงพยาบาลปากเกร็ด","1,239","24","1.94","8","0.65","606","18","2.97","25","4.13"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","338","5","1.48","15","4.44","264","2","0.76","20","7.58"
"10687  :  โรงพยาบาลปทุมธานี","1,316","0","0.00","0","0.00","1,263","0","0.00","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","365","0","0.00","0","0.00","296","0","0.00","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","1,947","0","0.00","0","0.00","1,647","0","0.00","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","1,020","0","0.00","0","0.00","854","0","0.00","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","597","0","0.00","0","0.00","601","0","0.00","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","1,156","0","0.00","0","0.00","735","0","0.00","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10767  :  โรงพยาบาลสามโคก","425","0","0.00","0","0.00","432","0","0.00","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","1,250","278","22.24","97","7.76","1,180","234","19.83","193","16.36"
"10768  :  โรงพยาบาลท่าเรือ","885","7","0.79","0","0.00","1,007","176","17.48","180","17.87"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","92","4","4.35","0","0.00","98","4","4.08","4","4.08"
"10770  :  โรงพยาบาลบางไทร","221","2","0.90","1","0.45","222","3","1.35","4","1.80"
"10771  :  โรงพยาบาลบางบาล","30","2","6.67","2","6.67","31","0","0.00","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","967","323","33.40","64","6.62","967","253","26.16","265","27.40"
"10773  :  โรงพยาบาลบางปะหัน","24","15","62.50","2","8.33","25","15","60.00","17","68.00"
"10774  :  โรงพยาบาลผักไห่","46","2","4.35","0","0.00","46","5","10.87","6","13.04"
"10775  :  โรงพยาบาลภาชี","616","25","4.06","55","8.93","616","4","0.65","4","0.65"
"10776  :  โรงพยาบาลลาดบัวหลวง","464","47","10.13","48","10.34","463","0","0.00","1","0.22"
"10777  :  โรงพยาบาลวังน้อย","205","40","19.51","13","6.34","205","54","26.34","53","25.85"
"10778  :  โรงพยาบาลบางซ้าย","196","58","29.59","25","12.76","197","60","30.46","37","18.78"
"10779  :  โรงพยาบาลอุทัย","56","8","14.29","1","1.79","56","36","64.29","47","83.93"
"10780  :  โรงพยาบาลมหาราช","102","23","22.55","19","18.63","100","26","26.00","27","27.00"
"10781  :  โรงพยาบาลบ้านแพรก","76","37","48.68","5","6.58","79","40","50.63","38","48.10"
"10689  :  โรงพยาบาลอ่างทอง","1,644","137","8.33","146","8.88","1,644","28","1.70","32","1.95"
"10782  :  โรงพยาบาลไชโย","131","70","53.44","10","7.63","131","61","46.56","61","46.56"
"10784  :  โรงพยาบาลป่าโมก","43","2","4.65","1","2.33","45","9","20.00","9","20.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","527","94","17.84","87","16.51","530","252","47.55","242","45.66"
"10786  :  โรงพยาบาลแสวงหา","382","69","18.06","4","1.05","378","102","26.98","104","27.51"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","1,633","65","3.98","15","0.92","1,625","568","34.95","674","41.48"
"10788  :  โรงพยาบาลสามโก้","155","26","16.77","31","20.00","155","118","76.13","128","82.58"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","1,625","0","0.00","0","0.00","1,653","0","0.00","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","464","0","0.00","0","0.00","449","0","0.00","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","2,638","0","0.00","0","0.00","2,616","0","0.00","0","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","247","0","0.00","0","0.00","247","0","0.00","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","719","0","0.00","0","0.00","715","0","0.00","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","501","0","0.00","0","0.00","481","0","0.00","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","313","0","0.00","0","0.00","308","0","0.00","0","0.00"
"10796  :  โรงพยาบาลลำสนธิ","604","0","0.00","0","0.00","608","0","0.00","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","1,313","0","0.00","0","0.00","1,275","0","0.00","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","27","1","3.70","1","3.70","3,826","325","8.49","331","8.65"
"10693  :  โรงพยาบาลอินทร์บุรี","2","0","0.00","0","0.00","744","203","27.28","206","27.69"
"10798  :  โรงพยาบาลบางระจัน","0","0","0.00","0","0.00","169","0","0.00","42","24.85"
"10799  :  โรงพยาบาลค่ายบางระจัน","1","0","0.00","0","0.00","284","175","61.62","182","64.08"
"10800  :  โรงพยาบาลพรหมบุรี","4","1","25.00","1","25.00","301","46","15.28","49","16.28"
"10801  :  โรงพยาบาลท่าช้าง","1","0","0.00","0","0.00","130","97","74.62","97","74.62"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","140","21","15.00","23","16.43","144","20","13.89","35","24.31"
"10803  :  โรงพยาบาลวัดสิงห์","174","117","67.24","30","17.24","173","137","79.19","112","64.74"
"10804  :  โรงพยาบาลสรรพยา","54","43","79.63","28","51.85","51","42","82.35","33","64.71"
"10805  :  โรงพยาบาลสรรคบุรี","383","288","75.20","128","33.42","386","295","76.42","249","64.51"
"10806  :  โรงพยาบาลหันคา","698","89","12.75","4","0.57","692","455","65.75","491","70.95"
"27974  :  โรงพยาบาลหนองมะโมง","66","3","4.55","0","0.00","64","2","3.13","3","4.69"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","160","0","0.00","0","0.00","158","0","0.00","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","1,668","0","0.00","0","0.00","1,601","0","0.00","0","0.00"
"10808  :  โรงพยาบาลหนองแค","494","0","0.00","0","0.00","535","0","0.00","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","291","0","0.00","0","0.00","297","0","0.00","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","140","0","0.00","0","0.00","141","0","0.00","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","774","0","0.00","0","0.00","767","0","0.00","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","212","0","0.00","0","0.00","215","0","0.00","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","907","0","0.00","0","0.00","897","0","0.00","0","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","970","0","0.00","0","0.00","934","0","0.00","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","587","0","0.00","0","0.00","534","0","0.00","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","954","0","0.00","0","0.00","955","0","0.00","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","3,299","61","1.85","36","1.09","3,257","382","11.73","364","11.18"
"10818  :  โรงพยาบาลหนองใหญ่","647","81","12.52","5","0.77","704","123","17.47","123","17.47"
"10819  :  โรงพยาบาลบางละมุง","1,333","7","0.53","5","0.38","1,250","10","0.80","12","0.96"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","174","9","5.17","0","0.00","191","22","11.52","22","11.52"
"10821  :  โรงพยาบาลพานทอง","1,117","197","17.64","51","4.57","1,042","362","34.74","361","34.64"
"10822  :  โรงพยาบาลพนัสนิคม","4,182","377","9.01","85","2.03","3,999","1,865","46.64","1,871","46.79"
"10823  :  โรงพยาบาลแหลมฉบัง","5,563","376","6.76","343","6.17","4,951","452","9.13","468","9.45"
"10824  :  โรงพยาบาลเกาะสีชัง","235","67","28.51","37","15.74","233","67","28.76","64","27.47"
"10825  :  โรงพยาบาลสัตหีบกม10","636","2","0.31","0","0.00","662","105","15.86","107","16.16"
"10826  :  โรงพยาบาลบ่อทอง","894","418","46.76","393","43.96","900","396","44.00","38","4.22"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","2,609","9","0.34","3","0.11","1,873","21","1.12","24","1.28"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","885","18","2.03","2","0.23","0","0","0.00","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","119","0","0.00","0","0.00","105","2","1.90","3","2.86"
"28006  :  โรงพยาบาลเกาะจันทร์","578","188","32.53","192","33.22","585","149","25.47","94","16.07"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","3,665","0","0.00","0","0.00","3,398","0","0.00","0","0.00"
"10828  :  โรงพยาบาลบ้านฉาง","76","0","0.00","0","0.00","86","0","0.00","0","0.00"
"10829  :  โรงพยาบาลแกลง","3,614","0","0.00","0","0.00","3,270","0","0.00","0","0.00"
"10830  :  โรงพยาบาลวังจันทร์","722","0","0.00","0","0.00","767","0","0.00","0","0.00"
"10831  :  โรงพยาบาลบ้านค่าย","308","0","0.00","0","0.00","316","0","0.00","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","1,622","0","0.00","0","0.00","1,135","0","0.00","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","63","0","0.00","0","0.00","72","0","0.00","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","129","0","0.00","0","0.00","141","0","0.00","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","3,991","159","3.98","123","3.08","3,976","545","13.71","527","13.25"
"10834  :  โรงพยาบาลขลุง","507","9","1.78","3","0.59","91","13","14.29","13","14.29"
"10835  :  โรงพยาบาลท่าใหม่","1,767","110","6.23","61","3.45","264","25","9.47","26","9.85"
"10836  :  โรงพยาบาลเขาสุกิม","108","13","12.04","0","0.00","140","16","11.43","16","11.43"
"10837  :  โรงพยาบาลสองพี่น้อง","54","28","51.85","15","27.78","79","30","37.97","21","26.58"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","910","201","22.09","145","15.93","938","55","5.86","64","6.82"
"10839  :  โรงพยาบาลมะขาม","101","25","24.75","25","24.75","106","27","25.47","2","1.89"
"10840  :  โรงพยาบาลแหลมสิงห์","263","25","9.51","5","1.90","283","160","56.54","157","55.48"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","929","189","20.34","189","20.34","595","120","20.17","115","19.33"
"10843  :  โรงพยาบาลนายายอาม","451","102","22.62","51","11.31","132","49","37.12","36","27.27"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","444","193","43.47","41","9.23","488","206","42.21","197","40.37"
"10696  :  โรงพยาบาลตราด","3,808","0","0.00","0","0.00","2,282","0","0.00","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","893","0","0.00","0","0.00","1,114","0","0.00","0","0.00"
