"โรงพยาบาล","ปีการศึกษา 2564 เทอม1","ปีการศึกษา 2564 เทอม2"
"เด็กนักเรียนอนุบาล -ป.6 ทั้งหมด(C)","ตรวจฟัน(B)","%","ทาฟลูออไรด์(A)","%","เด็กนักเรียนอนุบาล -ป.6 ทั้งหมด(C)","ตรวจฟัน(B)","%","ทาฟลูออไรด์(A)","%"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","3,456","0","0.00","1","0.03","0","0","0.00","0","0.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10754  :  โรงพยาบาลบางจาก","2,067","0","0.00","1","0.05","0","0","0.00","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","2,056","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","3,395","0","0.00","3","0.09","0","0","0.00","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","724","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","174","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","275","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","1,736","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","3,686","4","0.11","2","0.05","0","0","0.00","0","0.00"
"10759  :  โรงพยาบาลไทรน้อย","2,435","0","0.00","1","0.04","0","0","0.00","0","0.00"
"10760  :  โรงพยาบาลปากเกร็ด","3,299","1","0.03","2","0.06","0","0","0.00","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","326","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","1,787","1","0.06","2","0.11","0","0","0.00","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","706","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","2,765","1","0.04","0","0.00","0","0","0.00","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","1,569","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","932","3","0.32","4","0.43","0","0","0.00","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","1,821","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10767  :  โรงพยาบาลสามโคก","893","2","0.22","0","0.00","0","0","0.00","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","2,441","6","0.25","2","0.08","0","0","0.00","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","3,356","5","0.15","2","0.06","0","0","0.00","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","174","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10770  :  โรงพยาบาลบางไทร","326","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10771  :  โรงพยาบาลบางบาล","74","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","1,732","2","0.12","1","0.06","0","0","0.00","0","0.00"
"10773  :  โรงพยาบาลบางปะหัน","48","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10774  :  โรงพยาบาลผักไห่","30","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10775  :  โรงพยาบาลภาชี","895","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","730","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","382","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10778  :  โรงพยาบาลบางซ้าย","285","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10779  :  โรงพยาบาลอุทัย","93","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10780  :  โรงพยาบาลมหาราช","249","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","114","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","2,622","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10782  :  โรงพยาบาลไชโย","190","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","379","0","0.00","1","0.26","0","0","0.00","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","667","1","0.15","1","0.15","0","0","0.00","0","0.00"
"10786  :  โรงพยาบาลแสวงหา","595","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","2,419","2","0.08","4","0.17","0","0","0.00","0","0.00"
"10788  :  โรงพยาบาลสามโก้","205","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","633","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","2,717","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","818","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","3,939","3","0.08","0","0.00","0","0","0.00","0","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","340","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","1,018","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","607","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","477","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10796  :  โรงพยาบาลลำสนธิ","799","1","0.13","0","0.00","0","0","0.00","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","2,035","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","4,823","26","0.54","31","0.64","0","0","0.00","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","888","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10798  :  โรงพยาบาลบางระจัน","202","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","365","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","389","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","178","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","510","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","227","1","0.44","0","0.00","0","0","0.00","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","77","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","606","1","0.17","0","0.00","0","0","0.00","0","0.00"
"10806  :  โรงพยาบาลหันคา","871","11","1.26","8","0.92","0","0","0.00","0","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","92","0","0.00","0","0.00","0","0","0.00","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","176","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","3,969","1","0.03","0","0.00","0","0","0.00","0","0.00"
"10808  :  โรงพยาบาลหนองแค","2,197","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","432","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","219","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","1,140","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","386","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","1,413","6","0.42","2","0.14","0","0","0.00","0","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","2,128","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","1,333","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","1,686","5","0.30","5","0.30","0","0","0.00","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","6,891","2","0.03","0","0.00","0","0","0.00","0","0.00"
"10818  :  โรงพยาบาลหนองใหญ่","972","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10819  :  โรงพยาบาลบางละมุง","2,486","1","0.04","0","0.00","0","0","0.00","0","0.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","302","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10821  :  โรงพยาบาลพานทอง","2,010","1","0.05","0","0.00","0","0","0.00","0","0.00"
"10822  :  โรงพยาบาลพนัสนิคม","7,578","12","0.16","5","0.07","0","0","0.00","0","0.00"
"10823  :  โรงพยาบาลแหลมฉบัง","15,172","2","0.01","7","0.05","0","0","0.00","0","0.00"
"10824  :  โรงพยาบาลเกาะสีชัง","247","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10825  :  โรงพยาบาลสัตหีบกม10","1,410","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","1,398","9","0.64","1","0.07","0","0","0.00","0","0.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","140","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","5,560","1","0.02","3","0.05","0","0","0.00","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","10,402","11","0.11","4","0.04","0","0","0.00","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","977","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","8,020","2","0.02","1","0.01","0","0","0.00","0","0.00"
"10828  :  โรงพยาบาลบ้านฉาง","593","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10829  :  โรงพยาบาลแกลง","5,588","0","0.00","2","0.04","0","0","0.00","0","0.00"
"10830  :  โรงพยาบาลวังจันทร์","1,184","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10831  :  โรงพยาบาลบ้านค่าย","538","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","3,977","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","111","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","358","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","5,632","17","0.30","15","0.27","0","0","0.00","0","0.00"
"10834  :  โรงพยาบาลขลุง","2,247","2","0.09","0","0.00","0","0","0.00","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","3,681","1","0.03","0","0.00","0","0","0.00","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","239","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","124","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","1,262","0","0.00","4","0.32","0","0","0.00","0","0.00"
"10839  :  โรงพยาบาลมะขาม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","424","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","11","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","1,577","1","0.06","0","0.00","0","0","0.00","0","0.00"
"10843  :  โรงพยาบาลนายายอาม","66","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","883","4","0.45","0","0.00","0","0","0.00","0","0.00"
"10696  :  โรงพยาบาลตราด","6,034","1","0.02","2","0.03","0","0","0.00","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","1,711","0","0.00","0","0.00","0","0","0.00","0","0.00"
