"โรงพยาบาล","ปีการศึกษา 2564 เทอม1","ปีการศึกษา 2564 เทอม2"
"เด็กนักเรียน ม.1 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ฟันดีไม่มีผุ(A)","%","เด็กนักเรียน ม.1 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ฟันดีไม่มีผุ(A)","%"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","1,785","1","0.06","1","100.00","0","0","0.00","0","0.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10754  :  โรงพยาบาลบางจาก","1,931","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","991","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","1,707","2","0.12","2","100.00","0","0","0.00","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","758","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","35","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","473","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","1,389","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10759  :  โรงพยาบาลไทรน้อย","1,652","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10760  :  โรงพยาบาลปากเกร็ด","3,728","1","0.03","1","100.00","0","0","0.00","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","1,911","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","39","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","1,868","8","0.43","2","25.00","0","0","0.00","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","3,186","10","0.31","9","90.00","0","0","0.00","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","1,073","7","0.65","2","28.57","0","0","0.00","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","680","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10767  :  โรงพยาบาลสามโคก","282","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","1,484","5","0.34","3","60.00","0","0","0.00","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","1,117","4","0.36","1","25.00","0","0","0.00","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","48","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10770  :  โรงพยาบาลบางไทร","311","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10771  :  โรงพยาบาลบางบาล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","1,571","7","0.45","1","14.29","0","0","0.00","0","0.00"
"10773  :  โรงพยาบาลบางปะหัน","630","2","0.32","2","100.00","0","0","0.00","0","0.00"
"10774  :  โรงพยาบาลผักไห่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10775  :  โรงพยาบาลภาชี","806","1","0.12","1","100.00","0","0","0.00","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","359","3","0.84","2","66.67","0","0","0.00","0","0.00"
"10778  :  โรงพยาบาลบางซ้าย","287","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10779  :  โรงพยาบาลอุทัย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10780  :  โรงพยาบาลมหาราช","72","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","137","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10782  :  โรงพยาบาลไชโย","56","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","502","1","0.20","0","0.00","0","0","0.00","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","642","1","0.16","1","100.00","0","0","0.00","0","0.00"
"10786  :  โรงพยาบาลแสวงหา","319","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","140","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10788  :  โรงพยาบาลสามโก้","315","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","59","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","1,487","1","0.07","1","100.00","0","0","0.00","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","186","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","2,240","3","0.13","3","100.00","0","0","0.00","0","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","182","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","356","3","0.84","0","0.00","0","0","0.00","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","355","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10796  :  โรงพยาบาลลำสนธิ","420","1","0.24","1","100.00","0","0","0.00","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","576","1","0.17","0","0.00","0","0","0.00","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","2,160","15","0.69","11","73.33","0","0","0.00","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","782","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10798  :  โรงพยาบาลบางระจัน","207","1","0.48","1","100.00","0","0","0.00","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","267","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","120","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","30","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","245","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","381","5","1.31","4","80.00","0","0","0.00","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","44","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","880","2","0.23","1","50.00","0","0","0.00","0","0.00"
"10806  :  โรงพยาบาลหันคา","1,002","61","6.09","51","83.61","0","0","0.00","0","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","824","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","2,091","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10808  :  โรงพยาบาลหนองแค","1,843","1","0.05","1","100.00","0","0","0.00","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","43","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","608","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","78","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","1,891","9","0.48","7","77.78","0","0","0.00","0","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","916","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","444","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","198","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","3,116","4","0.13","3","75.00","0","0","0.00","0","0.00"
"10818  :  โรงพยาบาลหนองใหญ่","378","1","0.26","1","100.00","0","0","0.00","0","0.00"
"10819  :  โรงพยาบาลบางละมุง","703","2","0.28","2","100.00","0","0","0.00","0","0.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10821  :  โรงพยาบาลพานทอง","1,348","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10822  :  โรงพยาบาลพนัสนิคม","2,688","2","0.07","0","0.00","0","0","0.00","0","0.00"
"10823  :  โรงพยาบาลแหลมฉบัง","5,203","2","0.04","2","100.00","0","0","0.00","0","0.00"
"10824  :  โรงพยาบาลเกาะสีชัง","88","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10825  :  โรงพยาบาลสัตหีบกม10","837","2","0.24","0","0.00","0","0","0.00","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","842","4","0.48","4","100.00","0","0","0.00","0","0.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","3,239","5","0.15","4","80.00","0","0","0.00","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","3,577","19","0.53","15","78.95","0","0","0.00","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","444","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","3,191","1","0.03","1","100.00","0","0","0.00","0","0.00"
"10828  :  โรงพยาบาลบ้านฉาง","1,640","2","0.12","0","0.00","0","0","0.00","0","0.00"
"10829  :  โรงพยาบาลแกลง","1,677","3","0.18","2","66.67","0","0","0.00","0","0.00"
"10830  :  โรงพยาบาลวังจันทร์","968","26","2.69","25","96.15","0","0","0.00","0","0.00"
"10831  :  โรงพยาบาลบ้านค่าย","1,325","75","5.66","75","100.00","0","0","0.00","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","1,741","5","0.29","5","100.00","0","0","0.00","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","40","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","2,871","20","0.70","11","55.00","0","0","0.00","0","0.00"
"10834  :  โรงพยาบาลขลุง","581","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","1,438","9","0.63","8","88.89","0","0","0.00","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","94","2","2.13","0","0.00","0","0","0.00","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","29","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","485","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10839  :  โรงพยาบาลมะขาม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","31","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","514","1","0.19","1","100.00","0","0","0.00","0","0.00"
"10843  :  โรงพยาบาลนายายอาม","516","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","737","1","0.14","1","100.00","0","0","0.00","0","0.00"
"10696  :  โรงพยาบาลตราด","1,832","4","0.22","4","100.00","0","0","0.00","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","762","0","0.00","0","0.00","0","0","0.00","0","0.00"
