"โรงพยาบาล","ปีการศึกษา 2563 เทอม1","ปีการศึกษา 2563 เทอม2"
"เด็กนักเรียนอนุบาล -ป.6 ทั้งหมด(C)","ตรวจฟัน(B)","%","ทาฟลูออไรด์(A)","%","เด็กนักเรียนอนุบาล -ป.6 ทั้งหมด(C)","ตรวจฟัน(B)","%","ทาฟลูออไรด์(A)","%"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","3,469","5","0.14","8","0.23","3,471","26","0.75","38","1.09"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10754  :  โรงพยาบาลบางจาก","2,171","26","1.20","23","1.06","2,196","30","1.37","22","1.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","2,061","2","0.10","0","0.00","2,136","0","0.00","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","3,271","6","0.18","2","0.06","3,291","1","0.03","3","0.09"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","771","0","0.00","3","0.39","806","1","0.12","2","0.25"
"28785  :  โรงพยาบาลบางเสาธง","199","21","10.55","21","10.55","201","0","0.00","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","0","0","0.00","0","0.00","276","32","11.59","31","11.23"
"10757  :  โรงพยาบาลบางใหญ่","1,695","9","0.53","0","0.00","1,745","77","4.41","20","1.15"
"10758  :  โรงพยาบาลบางบัวทอง","3,832","22","0.57","27","0.70","3,778","47","1.24","12","0.32"
"10759  :  โรงพยาบาลไทรน้อย","2,429","15","0.62","2","0.08","2,500","11","0.44","4","0.16"
"10760  :  โรงพยาบาลปากเกร็ด","3,420","22","0.64","23","0.67","3,468","6","0.17","13","0.37"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","375","5","1.33","55","14.67","385","2","0.52","1","0.26"
"10687  :  โรงพยาบาลปทุมธานี","1,812","4","0.22","5","0.28","1,816","1","0.06","3","0.17"
"10761  :  โรงพยาบาลคลองหลวง","729","34","4.66","1","0.14","731","1","0.14","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","2,836","21","0.74","4","0.14","2,849","104","3.65","4","0.14"
"10763  :  โรงพยาบาลประชาธิปัตย์","1,628","71","4.36","63","3.87","1,690","6","0.36","1","0.06"
"10764  :  โรงพยาบาลหนองเสือ","938","80","8.53","47","5.01","945","82","8.68","81","8.57"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","1,873","49","2.62","46","2.46","1,892","1","0.05","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10767  :  โรงพยาบาลสามโคก","865","18","2.08","18","2.08","881","1","0.11","14","1.59"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","1,823","32","1.76","10","0.55","2,551","121","4.74","61","2.39"
"10768  :  โรงพยาบาลท่าเรือ","2,212","4","0.18","0","0.00","3,573","8","0.22","2","0.06"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","172","0","0.00","0","0.00","184","4","2.17","4","2.17"
"10770  :  โรงพยาบาลบางไทร","317","0","0.00","0","0.00","316","0","0.00","0","0.00"
"10771  :  โรงพยาบาลบางบาล","81","0","0.00","0","0.00","80","0","0.00","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","1,504","128","8.51","89","5.92","1,733","43","2.48","30","1.73"
"10773  :  โรงพยาบาลบางปะหัน","49","5","10.20","7","14.29","54","5","9.26","7","12.96"
"10774  :  โรงพยาบาลผักไห่","42","4","9.52","3","7.14","42","7","16.67","7","16.67"
"10775  :  โรงพยาบาลภาชี","900","1","0.11","0","0.00","907","1","0.11","1","0.11"
"10776  :  โรงพยาบาลลาดบัวหลวง","753","15","1.99","1","0.13","757","3","0.40","12","1.59"
"10777  :  โรงพยาบาลวังน้อย","404","12","2.97","10","2.48","407","21","5.16","21","5.16"
"10778  :  โรงพยาบาลบางซ้าย","306","3","0.98","0","0.00","304","3","0.99","4","1.32"
"10779  :  โรงพยาบาลอุทัย","96","1","1.04","2","2.08","99","0","0.00","0","0.00"
"10780  :  โรงพยาบาลมหาราช","145","1","0.69","1","0.69","159","10","6.29","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","118","0","0.00","0","0.00","119","0","0.00","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","2,722","9","0.33","10","0.37","2,718","25","0.92","26","0.96"
"10782  :  โรงพยาบาลไชโย","195","77","39.49","48","24.62","200","11","5.50","22","11.00"
"10784  :  โรงพยาบาลป่าโมก","405","0","0.00","0","0.00","430","24","5.58","25","5.81"
"10785  :  โรงพยาบาลโพธิ์ทอง","700","208","29.71","207","29.57","699","24","3.43","14","2.00"
"10786  :  โรงพยาบาลแสวงหา","586","0","0.00","0","0.00","586","20","3.41","20","3.41"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","2,400","192","8.00","608","25.33","2,414","127","5.26","14","0.58"
"10788  :  โรงพยาบาลสามโก้","217","2","0.92","27","12.44","220","2","0.91","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0.00","664","0","0.00","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","2,774","0","0.00","0","0.00","2,812","0","0.00","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","784","0","0.00","0","0.00","802","0","0.00","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","4,001","13","0.32","1","0.02","4,166","9","0.22","8","0.19"
"10792  :  โรงพยาบาลท่าวุ้ง","360","1","0.28","0","0.00","359","22","6.13","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","1,032","1","0.10","1","0.10","1,036","35","3.38","34","3.28"
"10794  :  โรงพยาบาลสระโบสถ์","649","0","0.00","0","0.00","660","0","0.00","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","475","3","0.63","0","0.00","485","55","11.34","0","0.00"
"10796  :  โรงพยาบาลลำสนธิ","806","8","0.99","0","0.00","809","67","8.28","1","0.12"
"10797  :  โรงพยาบาลหนองม่วง","1,919","3","0.16","0","0.00","2,155","2","0.09","1","0.05"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","4,954","30","0.61","25","0.50","4,953","9","0.18","10","0.20"
"10693  :  โรงพยาบาลอินทร์บุรี","912","150","16.45","149","16.34","905","153","16.91","156","17.24"
"10798  :  โรงพยาบาลบางระจัน","204","11","5.39","11","5.39","211","4","1.90","9","4.27"
"10799  :  โรงพยาบาลค่ายบางระจัน","363","0","0.00","0","0.00","353","69","19.55","71","20.11"
"10800  :  โรงพยาบาลพรหมบุรี","402","0","0.00","0","0.00","409","27","6.60","35","8.56"
"10801  :  โรงพยาบาลท่าช้าง","185","5","2.70","1","0.54","179","44","24.58","43","24.02"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","207","0","0.00","0","0.00","528","91","17.23","85","16.10"
"10803  :  โรงพยาบาลวัดสิงห์","255","55","21.57","0","0.00","256","91","35.55","91","35.55"
"10804  :  โรงพยาบาลสรรพยา","84","4","4.76","4","4.76","84","0","0.00","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","642","228","35.51","231","35.98","575","236","41.04","241","41.91"
"10806  :  โรงพยาบาลหันคา","852","2","0.23","5","0.59","855","231","27.02","242","28.30"
"27974  :  โรงพยาบาลหนองมะโมง","97","53","54.64","41","42.27","98","33","33.67","28","28.57"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","202","17","8.42","11","5.45","197","6","3.05","6","3.05"
"10807  :  โรงพยาบาลแก่งคอย","2,677","39","1.46","8","0.30","4,146","41","0.99","15","0.36"
"10808  :  โรงพยาบาลหนองแค","1,183","112","9.47","124","10.48","2,319","15","0.65","14","0.60"
"10809  :  โรงพยาบาลวิหารแดง","438","22","5.02","33","7.53","453","2","0.44","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","222","20","9.01","20","9.01","226","18","7.96","1","0.44"
"10811  :  โรงพยาบาลบ้านหมอ","1,179","298","25.28","308","26.12","1,190","10","0.84","1","0.08"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","286","0","0.00","0","0.00","411","0","0.00","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","1,418","89","6.28","97","6.84","1,427","20","1.40","5","0.35"
"10815  :  โรงพยาบาลมวกเหล็ก","2,123","125","5.89","31","1.46","2,178","109","5.00","108","4.96"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","1,335","136","10.19","127","9.51","1,355","122","9.00","115","8.49"
"11485  :  โรงพยาบาลค่ายอดิศร","1,330","21","1.58","16","1.20","1,737","15","0.86","180","10.36"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","5,741","26","0.45","14","0.24","6,963","460","6.61","229","3.29"
"10818  :  โรงพยาบาลหนองใหญ่","965","6","0.62","6","0.62","1,053","31","2.94","6","0.57"
"10819  :  โรงพยาบาลบางละมุง","2,769","19","0.69","1","0.04","2,846","17","0.60","1","0.04"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","291","0","0.00","2","0.69","309","25","8.09","13","4.21"
"10821  :  โรงพยาบาลพานทอง","2,003","16","0.80","4","0.20","2,030","272","13.40","2","0.10"
"10822  :  โรงพยาบาลพนัสนิคม","6,529","191","2.93","60","0.92","7,691","450","5.85","346","4.50"
"10823  :  โรงพยาบาลแหลมฉบัง","12,961","949","7.32","288","2.22","15,366","646","4.20","208","1.35"
"10824  :  โรงพยาบาลเกาะสีชัง","246","27","10.98","23","9.35","244","24","9.84","1","0.41"
"10825  :  โรงพยาบาลสัตหีบกม10","1,295","130","10.04","55","4.25","1,351","6","0.44","66","4.89"
"10826  :  โรงพยาบาลบ่อทอง","1,360","170","12.50","168","12.35","1,399","200","14.30","2","0.14"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","153","0","0.00","0","0.00","158","0","0.00","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","4,693","0","0.00","3","0.06","5,881","0","0.00","2","0.03"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","1,409","1","0.07","1","0.07","1,411","0","0.00","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","10,648","17","0.16","8","0.08","9,879","79","0.80","9","0.09"
"28006  :  โรงพยาบาลเกาะจันทร์","935","1","0.11","1","0.11","945","17","1.80","1","0.11"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","8,113","32","0.39","4","0.05","8,215","93","1.13","24","0.29"
"10828  :  โรงพยาบาลบ้านฉาง","151","0","0.00","0","0.00","562","0","0.00","1","0.18"
"10829  :  โรงพยาบาลแกลง","5,384","164","3.05","147","2.73","5,787","56","0.97","45","0.78"
"10830  :  โรงพยาบาลวังจันทร์","1,152","42","3.65","41","3.56","1,235","38","3.08","29","2.35"
"10831  :  โรงพยาบาลบ้านค่าย","500","16","3.20","1","0.20","532","0","0.00","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","4,109","1","0.02","0","0.00","4,178","1","0.02","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","92","12","13.04","12","13.04","112","15","13.39","15","13.39"
"23962  :  โรงพยาบาลนิคมพัฒนา","343","0","0.00","0","0.00","361","0","0.00","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","4,568","221","4.84","29","0.63","4,557","273","5.99","30","0.66"
"10834  :  โรงพยาบาลขลุง","1,086","3","0.28","2","0.18","2,240","644","28.75","625","27.90"
"10835  :  โรงพยาบาลท่าใหม่","2,903","203","6.99","195","6.72","3,752","29","0.77","10","0.27"
"10836  :  โรงพยาบาลเขาสุกิม","202","28","13.86","28","13.86","247","32","12.96","1","0.40"
"10837  :  โรงพยาบาลสองพี่น้อง","114","27","23.68","21","18.42","143","48","33.57","27","18.88"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","1,234","174","14.10","174","14.10","1,275","134","10.51","24","1.88"
"10839  :  โรงพยาบาลมะขาม","157","57","36.31","66","42.04","169","0","0.00","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","410","1","0.24","2","0.49","436","44","10.09","44","10.09"
"10841  :  โรงพยาบาลสอยดาว","7","0","0.00","0","0.00","6","0","0.00","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","1,521","121","7.96","110","7.23","1,607","166","10.33","164","10.21"
"10843  :  โรงพยาบาลนายายอาม","63","1","1.59","0","0.00","66","18","27.27","18","27.27"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","858","75","8.74","52","6.06","723","39","5.39","23","3.18"
