"โรงพยาบาล","รวมทั้งปีการศึกษา 2562","ปีการศึกษา 2562 เทอม1","ปีการศึกษา 2562 เทอม2"
"เด็กนักเรียน ป.1-6(B)","ได้รับการตรวจเหา และได้รับการแก้ไข(A)","%","เด็กนักเรียน ป.1-6(B)","ได้รับการตรวจเหา และได้รับการแก้ไข(A)","%","เด็กนักเรียน ป.1-6(B)","ได้รับการตรวจเหา และได้รับการแก้ไข(A)","%"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0.00","0","0","0.00","0","0","0.00"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0.00","0","0","0.00","0","0","0.00"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0.00","0","0","0.00","0","0","0.00"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0.00","0","0","0.00","0","0","0.00"
"11592  :  โรงพยาบาลบางนา1","0","0","0.00","0","0","0.00","0","0","0.00"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","0","0","0.00","0","0","0.00","0","0","0.00"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0.00","0","0","0.00","0","0","0.00"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0.00","0","0","0.00","0","0","0.00"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0.00","0","0","0.00","0","0","0.00"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0.00","0","0","0.00","0","0","0.00"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"11621  :  โรงพยาบาลบางไผ่","0","0","0.00","0","0","0.00","0","0","0.00"
"11626  :  โรงพยาบาลคลองตัน","0","0","0.00","0","0","0.00","0","0","0.00"
"11628  :  โรงพยาบาลพระราม 9","0","0","0.00","0","0","0.00","0","0","0.00"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0.00","0","0","0.00","0","0","0.00"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0.00","0","0","0.00","0","0","0.00"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0.00","0","0","0.00","0","0","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0","0.00","0","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0","0.00","0","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0","0.00","0","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0","0.00","0","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0","0.00","0","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0","0.00","0","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0","0.00","0","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0","0.00","0","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0","0.00","0","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0","0.00","0","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0","0.00","0","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0","0.00","0","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0","0.00","0","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0","0.00","0","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0","0.00","0","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0","0.00","0","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0","0.00","0","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0","0.00","0","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0","0.00","0","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0","0.00","0","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0","0.00","0","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0","0.00","0","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0","0.00","0","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0","0.00","0","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0","0.00","0","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0","0.00","0","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0","0.00","0","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0","0.00","0","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0","0.00","0","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0","0.00","0","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0","0.00","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0","0.00","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0","0.00","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0","0.00","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0","0.00","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0","0.00","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0","0.00","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0","0.00","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0","0.00","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0","0.00","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0","0.00","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0","0.00","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0","0.00","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0","0.00","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0","0.00","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0","0.00","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0","0.00","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0","0.00","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0","0.00","0","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","2,220","0","0.00","2,150","0","0.00","2,150","0","0.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0","0.00","0","0","0.00"
"10754  :  โรงพยาบาลบางจาก","168","0","0.00","160","0","0.00","166","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","1,305","0","0.00","1,232","0","0.00","1,274","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","1,698","0","0.00","1,626","0","0.00","1,608","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0","0.00","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0","0.00","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","451","0","0.00","411","0","0.00","441","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","114","0","0.00","113","0","0.00","113","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0","0.00","0","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","0","0","0.00","0","0","0.00","0","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","904","0","0.00","823","0","0.00","814","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","2,647","12","0.45","2,468","11","0.45","2,223","11","0.49"
"10759  :  โรงพยาบาลไทรน้อย","1,485","0","0.00","1,434","0","0.00","1,459","0","0.00"
"10760  :  โรงพยาบาลปากเกร็ด","1,315","0","0.00","1,239","0","0.00","606","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0","0.00","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0","0.00","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0","0.00","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0","0.00","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0","0.00","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0","0.00","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00","0","0","0.00","0","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0","0.00","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","351","0","0.00","338","0","0.00","264","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","1,320","0","0.00","1,316","0","0.00","1,263","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","376","0","0.00","365","0","0.00","296","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","1,990","0","0.00","1,947","0","0.00","1,647","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","1,078","0","0.00","1,020","0","0.00","854","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","612","0","0.00","597","0","0.00","601","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","1,187","0","0.00","1,156","0","0.00","735","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0","0.00","0","0","0.00"
"10767  :  โรงพยาบาลสามโคก","436","0","0.00","425","0","0.00","432","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0","0.00","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0","0.00","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","1,286","0","0.00","1,250","0","0.00","1,180","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","1,061","0","0.00","885","0","0.00","1,007","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","99","0","0.00","92","0","0.00","98","0","0.00"
"10770  :  โรงพยาบาลบางไทร","228","0","0.00","221","0","0.00","222","0","0.00"
"10771  :  โรงพยาบาลบางบาล","31","0","0.00","30","0","0.00","31","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","975","0","0.00","967","0","0.00","967","0","0.00"
"10773  :  โรงพยาบาลบางปะหัน","25","0","0.00","24","0","0.00","25","0","0.00"
"10774  :  โรงพยาบาลผักไห่","46","0","0.00","46","0","0.00","46","0","0.00"
"10775  :  โรงพยาบาลภาชี","651","0","0.00","616","0","0.00","616","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","470","0","0.00","464","0","0.00","463","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","208","0","0.00","205","0","0.00","205","0","0.00"
"10778  :  โรงพยาบาลบางซ้าย","199","0","0.00","196","0","0.00","197","0","0.00"
"10779  :  โรงพยาบาลอุทัย","56","0","0.00","56","0","0.00","56","0","0.00"
"10780  :  โรงพยาบาลมหาราช","102","0","0.00","102","0","0.00","100","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","79","0","0.00","76","0","0.00","79","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","1,651","0","0.00","1,644","0","0.00","1,644","0","0.00"
"10782  :  โรงพยาบาลไชโย","134","0","0.00","131","0","0.00","131","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","52","0","0.00","43","0","0.00","45","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","531","0","0.00","527","0","0.00","530","0","0.00"
"10786  :  โรงพยาบาลแสวงหา","384","0","0.00","382","0","0.00","378","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","1,670","0","0.00","1,633","0","0.00","1,625","0","0.00"
"10788  :  โรงพยาบาลสามโก้","156","0","0.00","155","0","0.00","155","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0","0.00","0","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0","0.00","0","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","1,755","0","0.00","1,625","0","0.00","1,653","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","478","0","0.00","464","0","0.00","449","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","2,768","0","0.00","2,638","0","0.00","2,616","0","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","248","0","0.00","247","0","0.00","247","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","738","0","0.00","719","0","0.00","715","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","512","0","0.00","501","0","0.00","481","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","326","0","0.00","313","0","0.00","308","0","0.00"
"10796  :  โรงพยาบาลลำสนธิ","618","0","0.00","604","0","0.00","608","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","1,365","0","0.00","1,313","0","0.00","1,275","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","3,829","0","0.00","27","0","0.00","3,826","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","744","0","0.00","2","0","0.00","744","0","0.00"
"10798  :  โรงพยาบาลบางระจัน","169","0","0.00","0","0","0.00","169","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","284","0","0.00","1","0","0.00","284","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","301","0","0.00","4","0","0.00","301","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","130","0","0.00","1","0","0.00","130","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0","0.00","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","0","0","0.00","0","0","0.00","0","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","0","0","0.00","0","0","0.00","0","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","0","0","0.00","0","0","0.00","0","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"10806  :  โรงพยาบาลหันคา","0","0","0.00","0","0","0.00","0","0","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","0","0","0.00","0","0","0.00","0","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0","0.00","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","164","0","0.00","160","0","0.00","158","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","1,744","0","0.00","1,668","0","0.00","1,601","0","0.00"
"10808  :  โรงพยาบาลหนองแค","580","0","0.00","494","0","0.00","535","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","300","0","0.00","291","0","0.00","297","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","143","0","0.00","140","0","0.00","141","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","792","0","0.00","774","0","0.00","767","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0","0.00","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","219","0","0.00","212","0","0.00","215","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","930","0","0.00","907","0","0.00","897","0","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","1,040","0","0.00","970","0","0.00","934","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","655","0","0.00","587","0","0.00","534","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","991","0","0.00","954","0","0.00","955","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","3,546","0","0.00","3,299","0","0.00","3,257","0","0.00"
"10818  :  โรงพยาบาลหนองใหญ่","740","0","0.00","647","0","0.00","704","0","0.00"
"10819  :  โรงพยาบาลบางละมุง","1,588","0","0.00","1,333","0","0.00","1,250","0","0.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","192","0","0.00","174","0","0.00","191","0","0.00"
"10821  :  โรงพยาบาลพานทอง","1,155","0","0.00","1,117","0","0.00","1,042","0","0.00"
"10822  :  โรงพยาบาลพนัสนิคม","4,266","0","0.00","4,182","0","0.00","3,999","0","0.00"
"10823  :  โรงพยาบาลแหลมฉบัง","5,829","0","0.00","5,563","0","0.00","4,951","0","0.00"
"10824  :  โรงพยาบาลเกาะสีชัง","239","0","0.00","235","0","0.00","233","0","0.00"
"10825  :  โรงพยาบาลสัตหีบกม10","676","0","0.00","636","0","0.00","662","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","921","0","0.00","894","0","0.00","900","0","0.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0","0.00","0","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0","0.00","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","2,669","0","0.00","2,609","0","0.00","1,873","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0","0.00","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0","0.00","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","885","0","0.00","885","0","0.00","0","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","143","0","0.00","119","0","0.00","105","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","589","0","0.00","578","0","0.00","585","0","0.00"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0","0.00","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","3,818","0","0.00","3,665","0","0.00","3,398","0","0.00"
"10828  :  โรงพยาบาลบ้านฉาง","89","0","0.00","76","0","0.00","86","0","0.00"
"10829  :  โรงพยาบาลแกลง","3,726","0","0.00","3,614","0","0.00","3,270","0","0.00"
"10830  :  โรงพยาบาลวังจันทร์","787","0","0.00","722","0","0.00","767","0","0.00"
"10831  :  โรงพยาบาลบ้านค่าย","327","0","0.00","308","0","0.00","316","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","1,794","0","0.00","1,622","0","0.00","1,135","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","72","0","0.00","63","0","0.00","72","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","142","0","0.00","129","0","0.00","141","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","4,008","1,656","41.32","3,991","1,574","39.44","3,976","1,568","39.44"
"10834  :  โรงพยาบาลขลุง","532","0","0.00","507","0","0.00","91","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","1,805","0","0.00","1,767","0","0.00","264","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","147","0","0.00","108","0","0.00","140","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","84","0","0.00","54","0","0.00","79","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","960","0","0.00","910","0","0.00","938","0","0.00"
"10839  :  โรงพยาบาลมะขาม","108","0","0.00","101","0","0.00","106","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","288","0","0.00","263","0","0.00","283","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0","0.00","0","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","999","0","0.00","929","0","0.00","595","0","0.00"
"10843  :  โรงพยาบาลนายายอาม","477","0","0.00","451","0","0.00","132","0","0.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","495","0","0.00","444","0","0.00","488","0","0.00"
"10696  :  โรงพยาบาลตราด","4,032","0","0.00","3,808","0","0.00","2,282","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","1,261","0","0.00","893","0","0.00","1,114","0","0.00"
"10846  :  โรงพยาบาลเขาสมิง","308","0","0.00","241","0","0.00","299","0","0.00"
"10847  :  โรงพยาบาลบ่อไร่","744","0","0.00","706","0","0.00","738","0","0.00"
"10848  :  โรงพยาบาลแหลมงอบ","287","0","0.00","255","0","0.00","284","0","0.00"
"10849  :  โรงพยาบาลเกาะกูด","169","0","0.00","125","0","0.00","163","0","0.00"
"13816  :  โรงพยาบาลเกาะช้าง","60","0","0.00","50","0","0.00","60","0","0.00"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0.00","0","0","0.00","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","641","0","0.00","630","0","0.00","633","0","0.00"
"10850  :  โรงพยาบาลบางคล้า","1,268","0","0.00","1,220","0","0.00","287","0","0.00"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0.00","0","0","0.00","0","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","0","0","0.00","0","0","0.00","0","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","136","0","0.00","127","0","0.00","136","0","0.00"
"10854  :  โรงพยาบาลพนมสารคาม","2,448","96","3.92","2,410","94","3.90","2,003","94","4.69"
"10855  :  โรงพยาบาลสนามชัยเขต","261","0","0.00","236","0","0.00","254","0","0.00"
"10856  :  โรงพยาบาลแปลงยาว","650","0","0.00","631","0","0.00","352","0","0.00"
"13747  :  โรงพยาบาลราชสาส์น","350","0","0.00","335","0","0.00","346","0","0.00"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00","0","0","0.00","0","0","0.00"
