"โรงพยาบาล","ปีการศึกษา 2563 เทอม1","ปีการศึกษา 2563 เทอม2"
"เด็กนักเรียน ป.1-6 ทั้งหมด(C)","ตรวจฟัน(B)","%","เคลือบหลุมร่องฟันแท้(A)","%","เด็กนักเรียน ป.1-6 ทั้งหมด (C)","ตรวจฟัน(B)","%","เคลือบหลุมร่องฟันแท้(A)","%"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","2,795","5","0.18","4","0.14","2,794","25","0.89","41","1.47"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10754  :  โรงพยาบาลบางจาก","1,601","26","1.62","1","0.06","1,619","30","1.85","30","1.85"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","1,501","2","0.13","2","0.13","1,546","0","0.00","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","2,520","5","0.20","10","0.40","2,523","1","0.04","4","0.16"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","667","0","0.00","4","0.60","693","1","0.14","1","0.14"
"28785  :  โรงพยาบาลบางเสาธง","147","21","14.29","21","14.29","147","0","0.00","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","0","0","0.00","0","0.00","203","32","15.76","32","15.76"
"10757  :  โรงพยาบาลบางใหญ่","1,087","8","0.74","5","0.46","1,104","76","6.88","71","6.43"
"10758  :  โรงพยาบาลบางบัวทอง","2,850","21","0.74","41","1.44","2,784","45","1.62","17","0.61"
"10759  :  โรงพยาบาลไทรน้อย","1,894","15","0.79","9","0.48","1,951","11","0.56","27","1.38"
"10760  :  โรงพยาบาลปากเกร็ด","2,551","22","0.86","27","1.06","2,572","5","0.19","16","0.62"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","375","5","1.33","55","14.67","385","2","0.52","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","1,367","4","0.29","12","0.88","1,365","1","0.07","6","0.44"
"10761  :  โรงพยาบาลคลองหลวง","514","33","6.42","0","0.00","514","1","0.19","34","6.61"
"10762  :  โรงพยาบาลธัญบุรี","2,244","21","0.94","20","0.89","2,242","104","4.64","106","4.73"
"10763  :  โรงพยาบาลประชาธิปัตย์","1,324","71","5.36","72","5.44","1,360","6","0.44","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","747","78","10.44","3","0.40","748","81","10.83","85","11.36"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","1,375","49","3.56","8","0.58","1,386","1","0.07","44","3.17"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10767  :  โรงพยาบาลสามโคก","639","18","2.82","2","0.31","653","1","0.15","19","2.91"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","1,327","30","2.26","15","1.13","1,863","120","6.44","87","4.67"
"10768  :  โรงพยาบาลท่าเรือ","1,603","4","0.25","1","0.06","2,567","7","0.27","7","0.27"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","133","0","0.00","0","0.00","142","4","2.82","4","2.82"
"10770  :  โรงพยาบาลบางไทร","245","0","0.00","0","0.00","246","0","0.00","1","0.41"
"10771  :  โรงพยาบาลบางบาล","56","0","0.00","0","0.00","55","0","0.00","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","1,257","127","10.10","97","7.72","1,258","43","3.42","34","2.70"
"10773  :  โรงพยาบาลบางปะหัน","33","5","15.15","4","12.12","37","5","13.51","2","5.41"
"10774  :  โรงพยาบาลผักไห่","36","4","11.11","4","11.11","36","7","19.44","7","19.44"
"10775  :  โรงพยาบาลภาชี","693","1","0.14","1","0.14","701","1","0.14","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","576","15","2.60","0","0.00","580","3","0.52","15","2.59"
"10777  :  โรงพยาบาลวังน้อย","311","11","3.54","42","13.50","309","20","6.47","0","0.00"
"10778  :  โรงพยาบาลบางซ้าย","251","3","1.20","3","1.20","245","3","1.22","0","0.00"
"10779  :  โรงพยาบาลอุทัย","63","1","1.59","1","1.59","66","0","0.00","0","0.00"
"10780  :  โรงพยาบาลมหาราช","114","1","0.88","1","0.88","129","10","7.75","11","8.53"
"10781  :  โรงพยาบาลบ้านแพรก","85","0","0.00","0","0.00","86","0","0.00","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","2,175","9","0.41","15","0.69","2,170","22","1.01","23","1.06"
"10782  :  โรงพยาบาลไชโย","155","77","49.68","55","35.48","159","11","6.92","48","30.19"
"10784  :  โรงพยาบาลป่าโมก","166","0","0.00","0","0.00","184","24","13.04","26","14.13"
"10785  :  โรงพยาบาลโพธิ์ทอง","598","208","34.78","210","35.12","594","17","2.86","2","0.34"
"10786  :  โรงพยาบาลแสวงหา","452","0","0.00","0","0.00","454","20","4.41","46","10.13"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","1,731","189","10.92","595","34.37","1,738","124","7.13","124","7.13"
"10788  :  โรงพยาบาลสามโก้","167","1","0.60","27","16.17","169","1","0.59","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0.00","424","0","0.00","1","0.24"
"10789  :  โรงพยาบาลพัฒนานิคม","2,047","0","0.00","2","0.10","2,065","0","0.00","1","0.05"
"10790  :  โรงพยาบาลโคกสำโรง","535","0","0.00","0","0.00","545","0","0.00","2","0.37"
"10791  :  โรงพยาบาลชัยบาดาล","3,194","11","0.34","10","0.31","3,200","7","0.22","13","0.41"
"10792  :  โรงพยาบาลท่าวุ้ง","263","1","0.38","1","0.38","262","22","8.40","22","8.40"
"10793  :  โรงพยาบาลท่าหลวง","787","1","0.13","0","0.00","787","35","4.45","38","4.83"
"10794  :  โรงพยาบาลสระโบสถ์","503","0","0.00","0","0.00","510","0","0.00","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","363","3","0.83","0","0.00","367","55","14.99","55","14.99"
"10796  :  โรงพยาบาลลำสนธิ","614","8","1.30","2","0.33","615","67","10.89","68","11.06"
"10797  :  โรงพยาบาลหนองม่วง","1,430","3","0.21","4","0.28","1,535","2","0.13","2","0.13"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","3,830","28","0.73","20","0.52","3,815","7","0.18","10","0.26"
"10693  :  โรงพยาบาลอินทร์บุรี","741","150","20.24","1","0.13","735","153","20.82","157","21.36"
"10798  :  โรงพยาบาลบางระจัน","160","11","6.88","3","1.88","166","4","2.41","9","5.42"
"10799  :  โรงพยาบาลค่ายบางระจัน","276","0","0.00","0","0.00","270","69","25.56","78","28.89"
"10800  :  โรงพยาบาลพรหมบุรี","317","0","0.00","0","0.00","322","27","8.39","48","14.91"
"10801  :  โรงพยาบาลท่าช้าง","138","5","3.62","2","1.45","133","44","33.08","44","33.08"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","154","0","0.00","0","0.00","381","91","23.88","92","24.15"
"10803  :  โรงพยาบาลวัดสิงห์","197","55","27.92","57","28.93","198","91","45.96","81","40.91"
"10804  :  โรงพยาบาลสรรพยา","55","4","7.27","4","7.27","57","0","0.00","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","478","225","47.07","180","37.66","418","230","55.02","65","15.55"
"10806  :  โรงพยาบาลหันคา","734","1","0.14","2","0.27","738","231","31.30","240","32.52"
"27974  :  โรงพยาบาลหนองมะโมง","68","53","77.94","32","47.06","69","33","47.83","23","33.33"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","173","17","9.83","11","6.36","169","6","3.55","6","3.55"
"10807  :  โรงพยาบาลแก่งคอย","1,890","38","2.01","19","1.01","2,960","38","1.28","44","1.49"
"10808  :  โรงพยาบาลหนองแค","852","112","13.15","131","15.38","1,665","15","0.90","14","0.84"
"10809  :  โรงพยาบาลวิหารแดง","316","22","6.96","33","10.44","326","2","0.61","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","172","20","11.63","22","12.79","174","18","10.34","18","10.34"
"10811  :  โรงพยาบาลบ้านหมอ","879","298","33.90","311","35.38","887","10","1.13","2","0.23"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","243","0","0.00","0","0.00","273","0","0.00","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","1,021","86","8.42","109","10.68","1,026","19","1.85","10","0.97"
"10815  :  โรงพยาบาลมวกเหล็ก","1,536","124","8.07","124","8.07","1,585","108","6.81","107","6.75"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","912","135","14.80","132","14.47","929","121","13.02","175","18.84"
"11485  :  โรงพยาบาลค่ายอดิศร","1,044","20","1.92","11","1.05","1,320","14","1.06","204","15.45"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","4,106","25","0.61","22","0.54","4,880","300","6.15","287","5.88"
"10818  :  โรงพยาบาลหนองใหญ่","781","6","0.77","11","1.41","850","29","3.41","21","2.47"
"10819  :  โรงพยาบาลบางละมุง","2,007","18","0.90","3","0.15","2,051","16","0.78","19","0.93"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","229","0","0.00","0","0.00","245","23","9.39","24","9.80"
"10821  :  โรงพยาบาลพานทอง","1,523","16","1.05","1","0.07","1,545","266","17.22","268","17.35"
"10822  :  โรงพยาบาลพนัสนิคม","4,729","152","3.21","135","2.85","5,587","433","7.75","402","7.20"
"10823  :  โรงพยาบาลแหลมฉบัง","9,685","947","9.78","785","8.11","11,351","642","5.66","607","5.35"
"10824  :  โรงพยาบาลเกาะสีชัง","246","27","10.98","25","10.16","244","24","9.84","22","9.02"
"10825  :  โรงพยาบาลสัตหีบกม10","991","130","13.12","54","5.45","918","5","0.54","110","11.98"
"10826  :  โรงพยาบาลบ่อทอง","1,038","170","16.38","2","0.19","1,043","200","19.18","201","19.27"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","3,423","0","0.00","3","0.09","4,302","0","0.00","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","1,040","1","0.10","1","0.10","1,040","0","0.00","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","7,483","13","0.17","12","0.16","7,355","67","0.91","75","1.02"
"28006  :  โรงพยาบาลเกาะจันทร์","748","1","0.13","0","0.00","754","17","2.25","18","2.39"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","6,038","30","0.50","30","0.50","6,105","91","1.49","93","1.52"
"10828  :  โรงพยาบาลบ้านฉาง","124","0","0.00","0","0.00","468","0","0.00","1","0.21"
"10829  :  โรงพยาบาลแกลง","4,088","159","3.89","127","3.11","4,297","51","1.19","128","2.98"
"10830  :  โรงพยาบาลวังจันทร์","929","22","2.37","8","0.86","980","23","2.35","18","1.84"
"10831  :  โรงพยาบาลบ้านค่าย","406","16","3.94","17","4.19","427","0","0.00","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","2,915","1","0.03","1","0.03","2,951","1","0.03","1","0.03"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","68","12","17.65","0","0.00","81","15","18.52","17","20.99"
"23962  :  โรงพยาบาลนิคมพัฒนา","203","0","0.00","0","0.00","223","0","0.00","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","4,157","221","5.32","183","4.40","4,148","272","6.56","345","8.32"
"10834  :  โรงพยาบาลขลุง","729","2","0.27","2","0.27","1,539","643","41.78","649","42.17"
"10835  :  โรงพยาบาลท่าใหม่","2,003","202","10.08","197","9.84","2,629","19","0.72","12","0.46"
"10836  :  โรงพยาบาลเขาสุกิม","138","28","20.29","0","0.00","167","32","19.16","32","19.16"
"10837  :  โรงพยาบาลสองพี่น้อง","81","27","33.33","17","20.99","99","48","48.48","41","41.41"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","981","174","17.74","65","6.63","1,012","134","13.24","137","13.54"
"10839  :  โรงพยาบาลมะขาม","106","54","50.94","59","55.66","113","0","0.00","1","0.88"
"10840  :  โรงพยาบาลแหลมสิงห์","301","1","0.33","2","0.66","315","44","13.97","43","13.65"
"10841  :  โรงพยาบาลสอยดาว","7","0","0.00","0","0.00","6","0","0.00","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","1,102","120","10.89","116","10.53","1,151","166","14.42","161","13.99"
"10843  :  โรงพยาบาลนายายอาม","49","1","2.04","0","0.00","49","18","36.73","18","36.73"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","710","75","10.56","63","8.87","565","39","6.90","37","6.55"
"10696  :  โรงพยาบาลตราด","4,013","16","0.40","583","14.53","4,740","743","15.68","233","4.92"
