"โรงพยาบาล","ปีการศึกษา 2564 เทอม1","ปีการศึกษา 2564 เทอม2"
"เด็กนักเรียน ป.3 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ปราศจากฟันแท้ผุ(A)","%","เด็กนักเรียน ป.3 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ปราศจากฟันแท้ผุ(A)","%"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","464","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10754  :  โรงพยาบาลบางจาก","266","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","253","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","460","2","0.43","2","100.00","0","0","0.00","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","112","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","25","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","36","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","215","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10758  :  โรงพยาบาลบางบัวทอง","465","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10759  :  โรงพยาบาลไทรน้อย","335","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10760  :  โรงพยาบาลปากเกร็ด","370","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","51","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","224","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","84","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10762  :  โรงพยาบาลธัญบุรี","360","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","222","4","1.80","4","100.00","0","0","0.00","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","140","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","263","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10767  :  โรงพยาบาลสามโคก","118","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","289","1","0.35","0","0.00","0","0","0.00","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","423","3","0.71","3","100.00","0","0","0.00","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","20","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10770  :  โรงพยาบาลบางไทร","47","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10771  :  โรงพยาบาลบางบาล","6","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","215","7","3.26","4","57.14","0","0","0.00","0","0.00"
"10773  :  โรงพยาบาลบางปะหัน","6","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10774  :  โรงพยาบาลผักไห่","10","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10775  :  โรงพยาบาลภาชี","124","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","111","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","43","1","2.33","1","100.00","0","0","0.00","0","0.00"
"10778  :  โรงพยาบาลบางซ้าย","37","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10779  :  โรงพยาบาลอุทัย","12","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10780  :  โรงพยาบาลมหาราช","18","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","13","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","320","2","0.63","2","100.00","0","0","0.00","0","0.00"
"10782  :  โรงพยาบาลไชโย","21","1","4.76","1","100.00","0","0","0.00","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","24","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","107","1","0.93","1","100.00","0","0","0.00","0","0.00"
"10786  :  โรงพยาบาลแสวงหา","92","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","287","1","0.35","1","100.00","0","0","0.00","0","0.00"
"10788  :  โรงพยาบาลสามโก้","31","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","66","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","350","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","95","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","516","6","1.16","5","83.33","0","0","0.00","0","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","44","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","120","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","74","1","1.35","1","100.00","0","0","0.00","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","75","1","1.33","1","100.00","0","0","0.00","0","0.00"
"10796  :  โรงพยาบาลลำสนธิ","125","3","2.40","2","66.67","0","0","0.00","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","278","2","0.72","0","0.00","0","0","0.00","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","611","10","1.64","9","90.00","0","0","0.00","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","138","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10798  :  โรงพยาบาลบางระจัน","25","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","43","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","59","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","29","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","57","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","37","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","7","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","65","1","1.54","0","0.00","0","0","0.00","0","0.00"
"10806  :  โรงพยาบาลหันคา","122","1","0.82","1","100.00","0","0","0.00","0","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","13","1","7.69","1","100.00","0","0","0.00","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","19","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","447","2","0.45","2","100.00","0","0","0.00","0","0.00"
"10808  :  โรงพยาบาลหนองแค","261","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","61","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","47","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","153","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","37","1","2.70","0","0.00","0","0","0.00","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","193","3","1.55","2","66.67","0","0","0.00","0","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","277","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","158","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","217","5","2.30","2","40.00","0","0","0.00","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","832","2","0.24","2","100.00","0","0","0.00","0","0.00"
"10818  :  โรงพยาบาลหนองใหญ่","147","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10819  :  โรงพยาบาลบางละมุง","321","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","44","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10821  :  โรงพยาบาลพานทอง","250","2","0.80","1","50.00","0","0","0.00","0","0.00"
"10822  :  โรงพยาบาลพนัสนิคม","979","7","0.72","2","28.57","0","0","0.00","0","0.00"
"10823  :  โรงพยาบาลแหลมฉบัง","1,932","1","0.05","1","100.00","0","0","0.00","0","0.00"
"10824  :  โรงพยาบาลเกาะสีชัง","53","2","3.77","1","50.00","0","0","0.00","0","0.00"
"10825  :  โรงพยาบาลสัตหีบกม10","157","1","0.64","1","100.00","0","0","0.00","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","180","2","1.11","2","100.00","0","0","0.00","0","0.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","715","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","1,384","6","0.43","3","50.00","0","0","0.00","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","152","1","0.66","0","0.00","0","0","0.00","0","0.00"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","1,040","3","0.29","3","100.00","0","0","0.00","0","0.00"
"10828  :  โรงพยาบาลบ้านฉาง","87","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10829  :  โรงพยาบาลแกลง","760","3","0.39","3","100.00","0","0","0.00","0","0.00"
"10830  :  โรงพยาบาลวังจันทร์","164","1","0.61","1","100.00","0","0","0.00","0","0.00"
"10831  :  โรงพยาบาลบ้านค่าย","64","2","3.13","2","100.00","0","0","0.00","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","500","1","0.20","1","100.00","0","0","0.00","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","17","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","46","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","839","8","0.95","8","100.00","0","0","0.00","0","0.00"
"10834  :  โรงพยาบาลขลุง","267","2","0.75","2","100.00","0","0","0.00","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","478","4","0.84","3","75.00","0","0","0.00","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","32","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","12","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","171","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10839  :  โรงพยาบาลมะขาม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","70","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","214","2","0.93","2","100.00","0","0","0.00","0","0.00"
"10843  :  โรงพยาบาลนายายอาม","8","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","123","4","3.25","4","100.00","0","0","0.00","0","0.00"
"10696  :  โรงพยาบาลตราด","826","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","232","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10846  :  โรงพยาบาลเขาสมิง","60","0","0.00","0","0.00","0","0","0.00","0","0.00"
